6120_56179_000000_000000	XXIV	twenty four
6120_56179_000027_000000	"No, thank you, sister Edith," responded Philip, "I'm not going to spend my hard earned allowance in presents for children; if you make me buy this doll, out it goes to a certain room in one of the college buildings to become a cherished decoration, and," waving the doll dramatically in the air, "I shall defy any proctor or college authority to tear it away from me."	"No, thank you, sister Edith," responded Philip, "I'm not going to spend my hard earned allowance in presents for children; if you make me buy this doll, out it goes to a certain room in one of the college buildings to become a cherished decoration, and," waving the doll dramatically in the air, "I shall defy any proctor or college authority to tear it away from me."
6120_56179_000028_000001	But you know I'm in earnest about that pillow," he added, for he knew, and Ruth knew that he knew that the down pillow with its rich crimson cover embroidered with a large "H." was the work of her skilful fingers.	But you know I'm in earnest about that pillow," he added, for he knew, and ruth knew that he knew that the down pillow with its rich crimson cover embroidered with a large "H." was the work of her skilful fingers.
6120_56179_000030_000000	"You wouldn't pay a hundred dollars for it?" queried Ruth.	"You wouldn't pay a hundred dollars for it?" queried ruth.
6120_56179_000032_000000	This was not entirely an idle boast, this readiness to spend a large sum of money for a small thing--on the part of Will, as Philip and some of his classmates might have testified.	This was not entirely an idle boast, this readiness to spend a large sum of money for a small thing-on the part of Will, as Philip and some of his classmates might have testified.
6120_56179_000032_000001	Although very quiet in his way of living, and in his general conversation, he had a larger income than many in his set.	Although very quiet in his way of living, and in his general conversation, he had a larger income than many in his set.
6120_56179_000032_000003	No one knew of his liberality except those whom he helped, for he had not the least wish to pose as a benefactor.	No one knew of his liberality except those whom he helped, for he had not the least wish to pose as a benefactor.
6120_56179_000033_000000	Now Ruth, while pleased at his wish for the cushion had no idea that he would, if necessary, pay a hundred dollars for it.	Now ruth, while pleased at his wish for the cushion had no idea that he would, if necessary, pay a hundred dollars for it.
6120_56179_000034_000000	"If you really wish to have it, I'll try to secure it for you," she said.	"If you really wish to have it, I'll try to secure it for you," she said.
6120_56179_000034_000001	"I am sure there won't be any trouble, although I suppose that it can't be laid aside to-night, as long as Edith feels as she does."	"I am sure there won't be any trouble, although I suppose that it can't be laid aside to night, as long as Edith feels as she does."
6120_56179_000036_000000	"Come," cried Brenda, rushing up to them, "you are not doing a thing, you two."	"Come," cried Brenda, rushing up to them, "you are not doing a thing, you two."
6120_56179_000037_000000	"Well, the rest of you seemed so busy that we thought we should only be in the way," said Will with the glibness that is almost second nature with youths of his age, "but we're ready to work now," and they went across the room to the surprise table where half a dozen of their friends were busy.	"Well, the rest of you seemed so busy that we thought we should only be in the way," said Will with the glibness that is almost second nature with youths of his age, "but we're ready to work now," and they went across the room to the surprise table where half a dozen of their friends were busy.
6120_56179_000037_000001	The "surprise table" had been an idea of Belle's, and was a rather agreeable change from the usual grab-bag.	The "surprise table" had been an idea of Belle's, and was a rather agreeable change from the usual grab bag.
6120_56179_000037_000002	All kinds of little things--toys, novelties, like those used as German favors, small books and photographs, were neatly done up in bright tissue paper wrappings, and tied with silk ribbons.	All kinds of little things-toys, novelties, like those used as German favors, small books and photographs, were neatly done up in bright tissue paper wrappings, and tied with silk ribbons.
6120_56179_000037_000003	They were heaped on a large table, and purchasers were permitted to buy each little package at their own price, provided at least, according to a sign placed above the table, that no bid should be for less than fifteen cents.	They were heaped on a large table, and purchasers were permitted to buy each little package at their own price, provided at least, according to a sign placed above the table, that no bid should be for less than fifteen cents.
6120_56179_000037_000004	Nora was to have charge of this table, and she expected to have a great deal of fun out of the misfits between the purchasers and the parcels.	Nora was to have charge of this table, and she expected to have a great deal of fun out of the misfits between the purchasers and the parcels.
6120_56179_000038_000000	Altogether the preparations for the Bazaar had moved along much more smoothly than any one had expected.	Altogether the preparations for the Bazaar had moved along much more smoothly than any one had expected.
6120_56179_000038_000001	It is true that the various mothers of the girls comprising "The Four" had said that they would be glad enough when it was all over, because for a fortnight it had been impossible to get the girls to think of anything else.	It is true that the various mothers of the girls comprising "The Four" had said that they would be glad enough when it was all over, because for a fortnight it had been impossible to get the girls to think of anything else.
6120_56179_000038_000003	Mrs. Barlow was especially pleased with the good spirit that her niece Julia had shown, for it would have been so easy and natural for her at the last to display a little pettishness in the way of a refusal to have anything to do with the Bazaar in view of the fact that she had not been invited to join "The Four" at their weekly meetings for work.	mrs Barlow was especially pleased with the good spirit that her niece Julia had shown, for it would have been so easy and natural for her at the last to display a little pettishness in the way of a refusal to have anything to do with the Bazaar in view of the fact that she had not been invited to join "The Four" at their weekly meetings for work.
6120_56179_000039_000000	But Julia was not one to show this kind of resentment, and since she had become interested in Manuel she was only too glad to help the Bazaar that was to benefit him.	But Julia was not one to show this kind of resentment, and since she had become interested in Manuel she was only too glad to help the Bazaar that was to benefit him.
6120_56179_000039_000001	At her aunt's suggestion she had made it her special duty to collect flowers and plants for the flower table, and armed with notes of introduction from Mrs. Barlow she had gone to many a supposedly close person to ask for some small contribution to the flower table.	At her aunt's suggestion she had made it her special duty to collect flowers and plants for the flower table, and armed with notes of introduction from mrs Barlow she had gone to many a supposedly close person to ask for some small contribution to the flower table.
6120_56179_000039_000002	Her success had been altogether remarkable, and in addition to the cut flowers that were to arrive on Wednesday, a great many beautiful potted plants and vines had been sent in from various conservatories for general decorations.	Her success had been altogether remarkable, and in addition to the cut flowers that were to arrive on Wednesday, a great many beautiful potted plants and vines had been sent in from various conservatories for general decorations.
6120_56179_000040_000001	The work did not, of course, proceed very rapidly, for every one in the group of fifteen or more had to give an opinion on everything, and a unanimous opinion as to what looked best in any particular case was naturally impossible.	The work did not, of course, proceed very rapidly, for every one in the group of fifteen or more had to give an opinion on everything, and a unanimous opinion as to what looked best in any particular case was naturally impossible.
6120_56179_000041_000000	The large room was so handsome as to require comparatively little decoration.	The large room was so handsome as to require comparatively little decoration.
6120_56179_000041_000001	The long mirrors with which every side was paneled formed a complete decoration in themselves, and added to the general effectiveness, as Brenda said by making the tables "look double."	The long mirrors with which every side was paneled formed a complete decoration in themselves, and added to the general effectiveness, as Brenda said by making the tables "look double."
6120_56179_000042_000000	Now if the boys did not find a great deal of work to do they were very outspoken in their admiration for all that had been accomplished by the girls.	Now if the boys did not find a great deal of work to do they were very outspoken in their admiration for all that had been accomplished by the girls.
6120_56179_000043_000000	"Well, if other people will only be as much impressed as you are, and will open their purses accordingly, we shall have nothing to complain of," said Nora, "and I hope that you will all come back and buy everything that is left over by to-morrow evening."	"Well, if other people will only be as much impressed as you are, and will open their purses accordingly, we shall have nothing to complain of," said Nora, "and I hope that you will all come back and buy everything that is left over by to morrow evening."
6120_56179_000044_000000	"Can't we have first choice of anything?" queried Tom Hurst, a mischief loving friend of Philip's whom some of the girls distrusted a little.	"Can't we have first choice of anything?" queried Tom Hurst, a mischief loving friend of Philip's whom some of the girls distrusted a little.
6120_56179_000045_000000	"No," answered Nora, sternly, "you must not be so selfish.	"No," answered Nora, sternly, "you must not be so selfish.
6120_56179_000045_000001	There may be old ladies who will want----"	There may be old ladies who will want----"
6120_56179_000046_000000	"Do you suppose that any old lady will want that tobacco pouch?" asked Tom, with a most innocent expression on his face.	"Do you suppose that any old lady will want that tobacco pouch?" asked Tom, with a most innocent expression on his face.
6120_56179_000047_000000	"She might," answered Nora, with a very dignified manner.	"She might," answered Nora, with a very dignified manner.
6120_56179_000047_000001	"She might if she had a son who was fond of smoking, at any rate she ought to have first choice."	"She might if she had a son who was fond of smoking, at any rate she ought to have first choice."
6120_56179_000048_000000	"Well, then," replied Tom, "I don't believe that I shall return, for I am not sure that I ought to patronize an institution that encourages old ladies to buy tobacco pouches."	"Well, then," replied Tom, "I don't believe that I shall return, for I am not sure that I ought to patronize an institution that encourages old ladies to buy tobacco pouches."
6120_56179_000050_000000	"You shouldn't use tobacco at all," cried Edith in a plaintive tone, "at your age, Philip, you know how mamma feels about it."	"You shouldn't use tobacco at all," cried Edith in a plaintive tone, "at your age, Philip, you know how mamma feels about it."
6120_56179_000051_000001	Anyway it's time we started for Cambridge, we're not used to late hours." At this the rest of the boys laughed rather more loudly than the occasion seemed to warrant, but with a return of good manners they bade the girls good-bye, and promised Mrs. Blair, who had returned to the room that they would certainly drop in some time on Wednesday.	Anyway it's time we started for Cambridge, we're not used to late hours." At this the rest of the boys laughed rather more loudly than the occasion seemed to warrant, but with a return of good manners they bade the girls good bye, and promised mrs Blair, who had returned to the room that they would certainly drop in some time on Wednesday.
6120_56179_000053_000000	"It certainly does look as if it might clear up," said Belle to Nora, as they walked along.	"It certainly does look as if it might clear up," said Belle to Nora, as they walked along.
6120_56179_000054_000000	"Yes, indeed," answered Nora, "there are as many as twenty stars to be seen, and that is almost a sure sign.	"Yes, indeed," answered Nora, "there are as many as twenty stars to be seen, and that is almost a sure sign.
