2570_157243_000000_000000	'Good old carpet,' were Cyril's last sleepy words.	'Good old carpet,' were Cyril's last sleepy words.	false	1.35	5.22	21.385801
2570_157243_000030_000001	They only drink a great deal.	They only drink a great deal.	true	380.57	382.6	21.154804
2570_157243_000030_000002	Much more than other people, because they drink lemonade and fizzy things, and the more you drink of those the more good you get.'	Much more than other people, because they drink lemonade and fizzy things, and the more you drink of those the more good you get.'	false	382.82	392.05	22.690243
2570_157243_000031_000000	'In your mind, perhaps,' said Jane; 'but it wouldn't be good in your body.	'In your mind, perhaps,' said Jane; 'but it wouldn't be good in your body.	true	392.78	397.6	21.723278
2570_157243_000031_000001	You'd get too balloony.'	You'd get too balloony.'	true	397.67	399.49	17.165071
2570_157243_000032_000000	The Phoenix yawned.	The Phoenix yawned.	true	400.28	402.22	18.901989
2570_157243_000033_000000	'Look here,' said Anthea; 'I really have an idea.	'Look here,' said Anthea; 'I really have an idea.	true	402.8	406.24	20
2570_157243_000033_000001	This isn't like a common carpet.	This isn't like a common carpet.	true	406.28	408.57	21.771074
2570_157243_000033_000002	It's very magic indeed.	It's very magic indeed.	true	408.57	410.86	24.472813
2570_157243_000033_000003	Don't you think, if we put Tatcho on it, and then gave it a rest, the magic part of it might grow, like hair is supposed to do?'	Don't you think, if we put Tatcho on it, and then gave it a rest, the magic part of it might grow, like hair is supposed to do?'	true	411.02	419.86	21.252335
2570_157243_000034_000000	'It might,' said Robert; 'but I should think paraffin would do as well--at any rate as far as the smell goes, and that seems to be the great thing about Tatcho.'	'It might,' said Robert; 'but I should think paraffin would do as well-at any rate as far as the smell goes, and that seems to be the great thing about Tatcho.'	true	420.62	431.62	20.09296
2570_157243_000035_000000	But with all its faults Anthea's idea was something to do, and they did it.	But with all its faults Anthea's idea was something to do, and they did it.	true	432.83	438.1	20
2570_157243_000036_000000	It was Cyril who fetched the Tatcho bottle from father's washhand-stand. But the bottle had not much in it.	It was Cyril who fetched the Tatcho bottle from father's washhand stand. But the bottle had not much in it.	false	438.38	446.44	20.72551
2570_157243_000037_000000	'We mustn't take it all,' Jane said, 'in case father's hair began to come off suddenly.	'We mustn't take it all,' Jane said, 'in case father's hair began to come off suddenly.	true	447.05	452.74	20
2570_157243_000037_000001	If he hadn't anything to put on it, it might all drop off before Eliza had time to get round to the chemist's for another bottle.	If he hadn't anything to put on it, it might all drop off before Eliza had time to get round to the chemist's for another bottle.	true	453.26	460.6	18
2570_157243_000037_000002	It would be dreadful to have a bald father, and it would all be our fault.'	It would be dreadful to have a bald father, and it would all be our fault.'	false	461.69	466.51	24.06558
2570_157243_000038_000000	'And wigs are very expensive, I believe,' said Anthea. 'Look here, leave enough in the bottle to wet father's head all over with in case any emergency emerges--and let's make up with paraffin.	'And wigs are very expensive, I believe,' said Anthea. 'Look here, leave enough in the bottle to wet father's head all over with in case any emergency emerges-and let's make up with paraffin.	false	467.15	480.46	22.24179
2570_157243_000038_000001	I expect it's the smell that does the good really--and the smell's exactly the same.'	I expect it's the smell that does the good really-and the smell's exactly the same.'	true	480.71	486.16	20.332615
2570_157243_000039_000000	So a small teaspoonful of the Tatcho was put on the edges of the worst darn in the carpet and rubbed carefully into the roots of the hairs of it, and all the parts that there was not enough Tatcho for had paraffin rubbed into them with a piece of flannel.	So a small teaspoonful of the Tatcho was put on the edges of the worst darn in the carpet and rubbed carefully into the roots of the hairs of it, and all the parts that there was not enough Tatcho for had paraffin rubbed into them with a piece of flannel.	true	486.8	505.21	22
2570_157243_000039_000001	Then the flannel was burned. It made a gay flame, which delighted the Phoenix and the Lamb.	Then the flannel was burned. It made a gay flame, which delighted the Phoenix and the Lamb.	true	505.7	512.05	21.093882
2570_157243_000040_000000	'How often,' said mother, opening the door--'how often am I to tell you that you are NOT to play with paraffin?	'How often,' said mother, opening the door-'how often am I to tell you that you are NOT to play with paraffin?	true	512.69	520.72	22.749031
2570_157243_000040_000001	What have you been doing?'	What have you been doing?'	true	520.91	522.67	19.920849
2570_157243_000041_000000	'We have burnt a paraffiny rag,' Anthea answered.	'We have burnt a paraffiny rag,' Anthea answered.	false	523.31	526.6	21
2570_157243_000042_000000	It was no use telling mother what they had done to the carpet.	It was no use telling mother what they had done to the carpet.	true	527.48	531.16	20.672085
2570_157243_000042_000001	She did not know it was a magic carpet, and no one wants to be laughed at for trying to mend an ordinary carpet with lamp-oil.	She did not know it was a magic carpet, and no one wants to be laughed at for trying to mend an ordinary carpet with lamp oil.	true	531.17	538.66	20
2570_157243_000043_000000	'Well, don't do it again,' said mother.	'Well, don't do it again,' said mother.	true	539.33	541.35	22.05903
2570_157243_000043_000001	'And now, away with melancholy! Father has sent a telegram.	'And now, away with melancholy! Father has sent a telegram.	true	541.35	545.79	21.159395
2570_157243_000043_000002	Look!' She held it out, and the children, holding it by its yielding corners, read--	Look!' She held it out, and the children, holding it by its yielding corners, read-	true	545.79	552.16	20.865736
2570_157243_000044_000000	'Box for kiddies at Garrick.	'Box for kiddies at Garrick.	true	552.92	555.36	23.845259
2570_157243_000044_000001	Stalls for us, Haymarket.	Stalls for us, Haymarket.	true	555.36	557.8	21.843292
2570_157243_000044_000002	Meet Charing Cross, 6.30.'	Meet Charing Cross, six point three zero.'	false	557.81	562.185	19.670195
2570_157243_000045_000000	'That means,' said mother, 'that you're going to see "The Water Babies" all by your happy selves, and father and I will take you and fetch you. Give me the Lamb, dear, and you and Jane put clean lace in your red evening frocks, and I shouldn't wonder if you found they wanted ironing. This paraffin smell is ghastly.	'That means,' said mother, 'that you're going to see "The Water Babies" all by your happy selves, and father and I will take you and fetch you. Give me the Lamb, dear, and you and Jane put clean lace in your red evening frocks, and I shouldn't wonder if you found they wanted ironing. This paraffin smell is ghastly.	false	562.185	584.53	20.82655
2570_157243_000045_000001	Run and get out your frocks.'	Run and get out your frocks.'	true	584.57	586.99	22.713026
2570_157243_000046_000000	The frocks did want ironing--wanted it rather badly, as it happened; for, being of tomato-Coloured Liberty silk, they had been found very useful for tableaux vivants when a red dress was required for Cardinal Richelieu.	The frocks did want ironing-wanted it rather badly, as it happened; for, being of tomato Coloured Liberty silk, they had been found very useful for tableaux vivants when a red dress was required for Cardinal Richelieu.	false	587.57	602.47	20.82001
2570_157243_000046_000001	They were very nice tableaux, these, and I wish I could tell you about them; but one cannot tell everything in a story.	They were very nice tableaux, these, and I wish I could tell you about them; but one cannot tell everything in a story.	true	603.02	610.33	20
2570_157243_000046_000002	You would have been specially interested in hearing about the tableau of the Princes in the Tower, when one of the pillows burst, and the youthful Princes were so covered with feathers that the picture might very well have been called 'Michaelmas Eve; or, Plucking the Geese'.	You would have been specially interested in hearing about the tableau of the Princes in the Tower, when one of the pillows burst, and the youthful Princes were so covered with feathers that the picture might very well have been called 'Michaelmas Eve; or, Plucking the Geese'.	true	610.58	628.03	21.616404
2570_157243_000047_000000	Ironing the dresses and sewing the lace in occupied some time, and no one was dull, because there was the theatre to look forward to, and also the possible growth of hairs on the carpet, for which every one kept looking anxiously.	Ironing the dresses and sewing the lace in occupied some time, and no one was dull, because there was the theatre to look forward to, and also the possible growth of hairs on the carpet, for which every one kept looking anxiously.	true	629.15	645.16	20.24366
2570_157243_000047_000001	By four o'clock Jane was almost sure that several hairs were beginning to grow.	By four o'clock Jane was almost sure that several hairs were beginning to grow.	true	645.86	650.95	21
2570_157243_000048_000000	The Phoenix perched on the fender, and its conversation, as usual, was entertaining and instructive--like school prizes are said to be.	The Phoenix perched on the fender, and its conversation, as usual, was entertaining and instructive-like school prizes are said to be.	true	651.53	660.19	17
2570_157243_000048_000001	But it seemed a little absent-minded, and even a little sad.	But it seemed a little absent minded, and even a little sad.	true	660.53	664.12	14
2570_157243_000049_000000	'Don't you feel well, Phoenix, dear?' asked Anthea, stooping to take an iron off the fire.	'Don't you feel well, Phoenix, dear?' asked Anthea, stooping to take an iron off the fire.	false	664.73	670.12	17
2570_157243_000050_000000	'I am not sick,' replied the golden bird, with a gloomy shake of the head; 'but I am getting old.'	'I am not sick,' replied the golden bird, with a gloomy shake of the head; 'but I am getting old.'	true	670.76	678.25	21.329006
2570_157243_000051_000000	'Why, you've hardly been hatched any time at all.'	'Why, you've hardly been hatched any time at all.'	true	678.77	681.67	18
2570_157243_000052_000000	'Time,' remarked the Phoenix, 'is measured by heartbeats.	'Time,' remarked the Phoenix, 'is measured by heartbeats.	true	682.22	685.81	20
2570_157243_000052_000001	I'm sure the palpitations I've had since I've known you are enough to blanch the feathers of any bird.'	I'm sure the palpitations I've had since I've known you are enough to blanch the feathers of any bird.'	true	685.97	692.26	20.064648
2570_157243_000053_000000	'But I thought you lived 500 years,' said Robert, and you've hardly begun this set of years.	'But I thought you lived five hundred years,' said Robert, and you've hardly begun this set of years.	true	693.11	699.25	19
2570_157243_000053_000001	Think of all the time that's before you.'	Think of all the time that's before you.'	true	699.53	702.22	21.270018
2570_157243_000054_000000	'Time,' said the Phoenix, 'is, as you are probably aware, merely a convenient fiction.	'Time,' said the Phoenix, 'is, as you are probably aware, merely a convenient fiction.	true	702.89	709	20.766928
2570_157243_000054_000001	There is no such thing as time.	There is no such thing as time.	true	709.25	711.67	18.688272
2570_157243_000054_000002	I have lived in these two months at a pace which generously counterbalances 500 years of life in the desert.	I have lived in these two months at a pace which generously counterbalances five hundred years of life in the desert.	true	712.07	719.98	20
2570_157243_000054_000003	I am old, I am weary.	I am old, I am weary.	true	720.41	722.62	19.30529
2570_157243_000054_000004	I feel as if I ought to lay my egg, and lay me down to my fiery sleep.	I feel as if I ought to lay my egg, and lay me down to my fiery sleep.	true	722.84	728.83	20.986902
2570_157243_000054_000005	But unless I'm careful I shall be hatched again instantly, and that is a misfortune which I really do not think I COULD endure.	But unless I'm careful I shall be hatched again instantly, and that is a misfortune which I really do not think I COULD endure.	true	729.83	737.56	19
2570_157243_000054_000006	But do not let me intrude these desperate personal reflections on your youthful happiness.	But do not let me intrude these desperate personal reflections on your youthful happiness.	true	738.08	743.47	16
2570_157243_000054_000007	What is the show at the theatre to-night?	What is the show at the theatre to night?	true	743.75	746.23	20.334362
2570_157243_000054_000008	Wrestlers?	Wrestlers?	true	746.27	747.12	18
2570_157243_000054_000009	Gladiators?	Gladiators?	true	747.12	748.45	20.253769
2570_157243_000054_000010	A combat of cameleopards and unicorns?'	A combat of cameleopards and unicorns?'	false	748.64	753.58	23.076445
2570_157243_000055_000000	'I don't think so,' said Cyril; 'it's called "The Water Babies", and if it's like the book there isn't any gladiating in it.	'I don't think so,' said Cyril; 'it's called "The Water Babies", and if it's like the book there isn't any gladiating in it.	false	754.28	761.95	20.843224
2570_157243_000055_000001	There are chimney-sweeps and professors, and a lobster and an otter and a salmon, and children living in the water.'	There are chimney sweeps and professors, and a lobster and an otter and a salmon, and children living in the water.'	true	762.17	769.54	17
2570_157243_000056_000000	'It sounds chilly.' The Phoenix shivered, and went to sit on the tongs.	'It sounds chilly.' The Phoenix shivered, and went to sit on the tongs.	false	770.3	775.81	21.626366
2570_157243_000057_000000	'I don't suppose there will be REAL water,' said Jane. 'And theatres are very warm and pretty, with a lot of gold and lamps.	'I don't suppose there will be REAL water,' said Jane. 'And theatres are very warm and pretty, with a lot of gold and lamps.	true	776.48	785.05	19.98606
2570_157243_000057_000001	Wouldn't you like to come with us?'	Wouldn't you like to come with us?'	true	785.24	787.17	20
2570_157243_000058_000000	'_I_ was just going to say that,' said Robert, in injured tones, 'only I know how rude it is to interrupt.	'underscore I underscore was just going to say that,' said Robert, in injured tones, 'only I know how rude it is to interrupt.	false	787.17	795.43	19.960522
2570_157243_000058_000001	Do come, Phoenix, old chap; it will cheer you up.	Do come, Phoenix, old chap; it will cheer you up.	true	795.59	799.03	21.37566
2570_157243_000058_000002	It'll make you laugh like any thing.	It'll make you laugh like any thing.	false	799.07	801.79	21.616547
2570_157243_000058_000003	Mr Bourchier always makes ripping plays.	Mr Bourchier always makes ripping plays.	true	802.43	805.9	19.309572
2570_157243_000058_000004	You ought to have seen "Shock-headed Peter" last year.'	You ought to have seen "Shock headed peter" last year.'	true	805.97	809.14	19
2570_157243_000059_000000	'Your words are strange,' said the Phoenix, 'but I will come with you. The revels of this Bourchier, of whom you speak, may help me to forget the weight of my years.' So that evening the Phoenix snugged inside the waistcoat of Robert's Etons--a very tight fit it seemed both to Robert and to the Phoenix--and was taken to the play.	'Your words are strange,' said the Phoenix, 'but I will come with you. The revels of this Bourchier, of whom you speak, may help me to forget the weight of my years.' So that evening the Phoenix snugged inside the waistcoat of Robert's Etons-a very tight fit it seemed both to Robert and to the Phoenix-and was taken to the play.	false	809.99	833.29	21.337002
2570_157243_000060_000000	Robert had to pretend to be cold at the glittering, many-mirrored restaurant where they ate dinner, with father in evening dress, with a very shiny white shirt-front, and mother looking lovely in her grey evening dress, that changes into pink and green when she moves.	Robert had to pretend to be cold at the glittering, many mirrored restaurant where they ate dinner, with father in evening dress, with a very shiny white shirt front, and mother looking lovely in her grey evening dress, that changes into pink and green when she moves.	false	834.86	852.7	19
2570_157243_000060_000001	Robert pretended that he was too cold to take off his great-coat, and so sat sweltering through what would otherwise have been a most thrilling meal. He felt that he was a blot on the smart beauty of the family, and he hoped the Phoenix knew what he was suffering for its sake.	Robert pretended that he was too cold to take off his great coat, and so sat sweltering through what would otherwise have been a most thrilling meal. He felt that he was a blot on the smart beauty of the family, and he hoped the Phoenix knew what he was suffering for its sake.	true	853.46	870.55	21.460835
2570_157243_000060_000002	Of course, we are all pleased to suffer for the sake of others, but we like them to know it unless we are the very best and noblest kind of people, and Robert was just ordinary.	Of course, we are all pleased to suffer for the sake of others, but we like them to know it unless we are the very best and noblest kind of people, and Robert was just ordinary.	false	871.01	882.64	21.73351
2570_157243_000061_000000	Father was full of jokes and fun, and every one laughed all the time, even with their mouths full, which is not manners.	Father was full of jokes and fun, and every one laughed all the time, even with their mouths full, which is not manners.	false	883.52	891.16	22
2570_157243_000061_000001	Robert thought father would not have been quite so funny about his keeping his over-coat on if father had known all the truth.	Robert thought father would not have been quite so funny about his keeping his over coat on if father had known all the truth.	false	891.59	898.78	21.400265
2570_157243_000061_000002	And there Robert was probably right.	And there Robert was probably right.	false	898.82	901.84	21.595713
2570_157243_000062_000000	When dinner was finished to the last grape and the last paddle in the finger glasses--for it was a really truly grown-up dinner--the children were taken to the theatre, guided to a box close to the stage, and left.	When dinner was finished to the last grape and the last paddle in the finger glasses-for it was a really truly grown up dinner-the children were taken to the theatre, guided to a box close to the stage, and left.	false	903.02	917.26	21
2570_157243_000063_000000	Father's parting words were: 'Now, don't you stir out of this box, whatever you do.	Father's parting words were: 'Now, don't you stir out of this box, whatever you do.	true	917.93	923.19	22.178339
2570_157243_000063_000001	I shall be back before the end of the play.	I shall be back before the end of the play.	true	923.19	925.66	21.706356
2570_157243_000063_000002	Be good and you will be happy.	Be good and you will be happy.	true	925.73	927.76	19.99337
2570_157243_000063_000003	Is this zone torrid enough for the abandonment of great-coats, Bobs?	Is this zone torrid enough for the abandonment of great coats, Bobs?	false	927.86	931.99	22.66684
2570_157243_000063_000004	No?	No?	true	932.18	932.92	25.944695
2570_157243_000063_000005	Well, then, I should say you were sickening for something--mumps or measles or thrush or teething.	Well, then, I should say you were sickening for something-mumps or measles or thrush or teething.	true	932.99	938.085	20.197512
2570_157243_000063_000006	Goodbye.'	Goodbye.'	true	938.085	938.98	24.827156
2570_157243_000064_000000	He went, and Robert was at last able to remove his coat, mop his perspiring brow, and release the crushed and dishevelled Phoenix.	He went, and Robert was at last able to remove his coat, mop his perspiring brow, and release the crushed and dishevelled Phoenix.	true	940.4	949.78	22
2570_157243_000064_000001	Robert had to arrange his damp hair at the looking-glass at the back of the box, and the Phoenix had to preen its disordered feathers for some time before either of them was fit to be seen.	Robert had to arrange his damp hair at the looking glass at the back of the box, and the Phoenix had to preen its disordered feathers for some time before either of them was fit to be seen.	true	950.33	962.02	19
2570_157243_000065_000000	They were very, very early.	They were very, very early.	true	962.84	965.17	18.327784
2570_157243_000065_000001	When the lights went up fully, the Phoenix, balancing itself on the gilded back of a chair, swayed in ecstasy.	When the lights went up fully, the Phoenix, balancing itself on the gilded back of a chair, swayed in ecstasy.	true	965.51	973.27	22.31192
2570_157243_000066_000000	'How fair a scene is this!' it murmured; 'how far fairer than my temple! Or have I guessed aright?	'How fair a scene is this!' it murmured; 'how far fairer than my temple! Or have I guessed aright?	false	973.94	981.85	21.288223
2570_157243_000066_000001	Have you brought me hither to lift up my heart with emotions of joyous surprise?	Have you brought me hither to lift up my heart with emotions of joyous surprise?	true	981.89	987.25	17
2570_157243_000066_000002	Tell me, my Robert, is it not that this, THIS is my true temple, and the other was but a humble shrine frequented by outcasts?'	Tell me, my Robert, is it not that this, THIS is my true temple, and the other was but a humble shrine frequented by outcasts?'	true	987.44	997.48	21.148869
2570_157243_000067_000000	'I don't know about outcasts,' said Robert, 'but you can call this your temple if you like.	'I don't know about outcasts,' said Robert, 'but you can call this your temple if you like.	true	998.09	1003.51	20.49488
2570_157243_000067_000001	Hush! the music is beginning.'	Hush! the music is beginning.'	true	1003.61	1006.36	21.888264
2570_157243_000068_000000	I am not going to tell you about the play.	I am not going to tell you about the play.	true	1007.18	1009.9	21.075823
2570_157243_000068_000001	As I said before, one can't tell everything, and no doubt you saw 'The Water Babies' yourselves.	As I said before, one can't tell everything, and no doubt you saw 'The Water Babies' yourselves.	true	1010	1016.02	20
2570_157243_000068_000002	If you did not it was a shame, or, rather, a pity.	If you did not it was a shame, or, rather, a pity.	true	1016.12	1019.68	17
2570_157243_000069_000000	What I must tell you is that, though Cyril and Jane and Robert and Anthea enjoyed it as much as any children possibly could, the pleasure of the Phoenix was far, far greater than theirs.	What I must tell you is that, though Cyril and Jane and Robert and Anthea enjoyed it as much as any children possibly could, the pleasure of the Phoenix was far, far greater than theirs.	true	1021.31	1033.78	20
2570_157243_000070_000000	'This is indeed my temple,' it said again and again.	'This is indeed my temple,' it said again and again.	false	1034.09	1038.13	21
2570_157243_000070_000001	'What radiant rites!	'What radiant rites!	true	1038.38	1040.1	21.81661
