3923_153309_000000_000000	What was at the root of his extreme grief at leaving her?	What was at the root of his extreme grief at leaving her?	false	0	3.03	21.132439
3923_153309_000016_000000	Satisfied now that he had a ticklish matter to handle, he prepared for it, with his usual enthusiasm and circumspection.	Satisfied now that he had a ticklish matter to handle, he prepared for it, with his usual enthusiasm and circumspection.	true	269.57	275.86	19.765501
3923_153309_000017_000000	Sauntering out into the street, he strolled first toward the post-office.	Sauntering out into the street, he strolled first toward the post office.	false	277.01	280.57	22.742657
3923_153309_000017_000001	The train on which he had just come had been a mail-train, and he calculated that he would find half the town there.	The train on which he had just come had been a mail train, and he calculated that he would find half the town there.	true	281.15	286.66	23.674397
3923_153309_000018_000000	His calculation was a correct one.	His calculation was a correct one.	true	287.48	289.54	24.751707
3923_153309_000018_000001	The store was crowded with people. Taking his place in the line drawn up before the post-office window, he awaited his turn, and when it came shouted out the name which was his one talisman--James Wellgood.	The store was crowded with people. Taking his place in the line drawn up before the post office window, he awaited his turn, and when it came shouted out the name which was his one talisman-james Wellgood.	false	289.73	301.57	22.388666
3923_153309_000019_000000	The man behind the boxes was used to the name and reached out a hand toward a box unusually well stacked, but stopped half-way there and gave Sweetwater a sharp look.	The man behind the boxes was used to the name and reached out a hand toward a box unusually well stacked, but stopped half-way there and gave Sweetwater a sharp look.	true	302.09	311.2	22.052094
3923_153309_000020_000000	"Who are you?" he asked.	"Who are you?" he asked.	true	311.33	313.12	23.739323
3923_153309_000021_000000	"A stranger," that young man put in volubly, "looking for James Wellgood.	"A stranger," that young man put in volubly, "looking for james Wellgood.	true	313.61	317.73	24.016943
3923_153309_000021_000001	I thought, perhaps, you could tell me where to find him.	I thought, perhaps, you could tell me where to find him.	true	317.73	319.9	22.954689
3923_153309_000021_000002	I see that his letters pass through this office."	I see that his letters pass through this office."	true	320.09	322.24	23.66791
3923_153309_000022_000000	"You're taking up another man's time," complained the postmaster.	"You're taking up another man's time," complained the postmaster.	true	322.91	326.02	22.628065
3923_153309_000022_000001	He probably alluded to the man whose elbow Sweetwater felt boring into his back.	He probably alluded to the man whose elbow Sweetwater felt boring into his back.	false	326.09	329.95	21.317265
3923_153309_000022_000002	"Ask Dick over there; he knows him."	"Ask Dick over there; he knows him."	true	330.17	332.08	25.13076
3923_153309_000023_000000	The detective was glad enough to escape and ask Dick.	The detective was glad enough to escape and ask Dick.	true	333.05	335.89	21.355679
3923_153309_000023_000001	But he was better pleased yet when Dick--a fellow with a squint whose hand was always in the sugar--told him that Mr. Wellgood would probably be in for his mail in a few moments.	But he was better pleased yet when Dick-a fellow with a squint whose hand was always in the sugar-told him that mr Wellgood would probably be in for his mail in a few moments.	true	335.9	344.65	21.733639
3923_153309_000023_000002	"That is his buggy standing before the drug-store on the opposite side of the way."	"That is his buggy standing before the drug store on the opposite side of the way."	true	344.81	348.13	20.986023
3923_153309_000024_000000	So! he had netted Jones' quondam waiter at the first cast!	So! he had netted Jones' quondam waiter at the first cast!	true	348.77	352.84	20.452322
3923_153309_000024_000001	"Lucky!" was what he said to himself, "still lucky!"	"Lucky!" was what he said to himself, "still lucky!"	true	352.91	356.14	22.116024
3923_153309_000025_000000	Sauntering to the door, he watched for the owner of that buggy.	Sauntering to the door, he watched for the owner of that buggy.	true	356.93	360.07	24.069912
3923_153309_000025_000001	He had learned, as such fellows do, that there was a secret hue and cry after this very man by the New York police; that he was supposed by some to be Sears himself.	He had learned, as such fellows do, that there was a secret hue and cry after this very man by the New York police; that he was supposed by some to be Sears himself.	true	360.23	369.46	21.267317
3923_153309_000025_000002	In this way he would soon be looking upon the very man whose steps he had followed through the Fairbrother house a few nights before, and through whose resolute action he had very nearly run the risk of a lingering death from starvation.	In this way he would soon be looking upon the very man whose steps he had followed through the Fairbrother house a few nights before, and through whose resolute action he had very nearly run the risk of a lingering death from starvation.	true	369.8	381.82	21.003223
3923_153309_000026_000000	"A dangerous customer," thought he.	"A dangerous customer," thought he.	true	382.61	385.09	25.632637
3923_153309_000026_000001	"I wonder if my instinct will go so far as to make me recognize his presence.	"I wonder if my instinct will go so far as to make me recognize his presence.	true	385.13	389.1	21
3923_153309_000026_000002	I shouldn't wonder.	I shouldn't wonder.	false	389.1	390.33	20.912466
3923_153309_000026_000003	It has served me almost as well as that many times before."	It has served me almost as well as that many times before."	false	390.33	393.46	20.423824
3923_153309_000027_000000	It appeared to serve him now, for when the man finally showed himself on the cross-walk separating the two buildings he experienced a sudden indecision not unlike that of dread, and there being nothing in the man's appearance to warrant apprehension, he took it for the instinctive recognition it undoubtedly was.	It appeared to serve him now, for when the man finally showed himself on the cross walk separating the two buildings he experienced a sudden indecision not unlike that of dread, and there being nothing in the man's appearance to warrant apprehension, he took it for the instinctive recognition it undoubtedly was.	false	394.37	410.53	21.441608
3923_153309_000028_000000	He therefore watched him narrowly and succeeded in getting one glance from his eye.	He therefore watched him narrowly and succeeded in getting one glance from his eye.	true	411.23	415.48	19.074118
3923_153309_000028_000001	It was enough.	It was enough.	true	415.58	416.62	23.09711
3923_153309_000028_000002	The man was commonplace,--commonplace in feature, dress and manner, but his eye gave him away.	The man was commonplace,--commonplace in feature, dress and manner, but his eye gave him away.	true	416.66	422.76	24.36072
3923_153309_000028_000003	There was nothing commonplace in that.	There was nothing commonplace in that.	false	422.76	425.16	20.48112
3923_153309_000028_000004	It was an eye to beware of.	It was an eye to beware of.	true	425.16	427	19.826012
3923_153309_000029_000000	He had taken in Sweetwater as he passed, but Sweetwater was of a commonplace type, too, and woke no corresponding dread in the other's mind; for he went whistling into the store, from which he presently reissued with a bundle of mail in his hand.	He had taken in Sweetwater as he passed, but Sweetwater was of a commonplace type, too, and woke no corresponding dread in the other's mind; for he went whistling into the store, from which he presently reissued with a bundle of mail in his hand.	true	428.45	441.58	21.095783
3923_153309_000029_000001	The detective's first instinct was to take him into custody as a suspect much wanted by the New York police; but reason assured him that he not only had no warrant for this, but that he would better serve the ends of justice by following out his present task of bringing this man and the Englishman together and watching the result.	The detective's first instinct was to take him into custody as a suspect much wanted by the New York police; but reason assured him that he not only had no warrant for this, but that he would better serve the ends of justice by following out his present task of bringing this man and the Englishman together and watching the result.	false	442.04	458.56	21.866186
3923_153309_000029_000002	But how, with the conditions laid on him by Mr. Grey, was this to be done?	But how, with the conditions laid on him by mr Grey, was this to be done?	true	458.99	462.64	21.483162
3923_153309_000029_000003	He knew nothing of the man's circumstances or of his position in the town.	He knew nothing of the man's circumstances or of his position in the town.	true	462.92	466.51	20.271973
3923_153309_000029_000004	How, then, go to work to secure his cooperation in a scheme possibly as mysterious to him as it was to himself?	How, then, go to work to secure his cooperation in a scheme possibly as mysterious to him as it was to himself?	true	466.94	473.23	21.837154
3923_153309_000029_000005	He could stop this stranger in mid-street, with some plausible excuse, but it did not follow that he would succeed in luring him to the hotel where Mr. Grey could see him.	He could stop this stranger in mid street, with some plausible excuse, but it did not follow that he would succeed in luring him to the hotel where mr Grey could see him.	true	473.57	482.35	21.36909
3923_153309_000029_000006	Wellgood, or, as he believed, Sears, knew too much of life to be beguiled by any open clap-trap, and Sweetwater was obliged to see him drive off without having made the least advance in the purpose engrossing him.	Wellgood, or, as he believed, Sears, knew too much of life to be beguiled by any open clap trap, and Sweetwater was obliged to see him drive off without having made the least advance in the purpose engrossing him.	true	482.66	494.14	21.037477
3923_153309_000030_000000	But that was nothing.	But that was nothing.	true	494.78	495.91	22.894955
3923_153309_000030_000001	He had all the evening before him, and reentering the store, he took up his stand near the sugar barrel.	He had all the evening before him, and reentering the store, he took up his stand near the sugar barrel.	true	495.98	500.59	21.23171
3923_153309_000030_000002	He had perceived that in the pauses of weighing and tasting, Dick talked; if he were guided with suitable discretion, why should he not talk of Wellgood?	He had perceived that in the pauses of weighing and tasting, Dick talked; if he were guided with suitable discretion, why should he not talk of Wellgood?	true	501.02	509.32	21.716341
3923_153309_000031_000000	He was guided, and he did talk and to some effect.	He was guided, and he did talk and to some effect.	true	509.81	513.19	22.789335
3923_153309_000031_000001	That is, he gave information of the man which surprised Sweetwater.	That is, he gave information of the man which surprised Sweetwater.	true	513.38	516.82	20.346014
3923_153309_000031_000002	If in the past and in New York he had been known as a waiter, or should I say steward, he was known here as a manufacturer of patent medicine designed to rejuvenate the human race.	If in the past and in New York he had been known as a waiter, or should I say steward, he was known here as a manufacturer of patent medicine designed to rejuvenate the human race.	false	517.49	527.17	21.375725
3923_153309_000031_000003	He had not been long in town and was somewhat of a stranger yet, but he wouldn't be so long.	He had not been long in town and was somewhat of a stranger yet, but he wouldn't be so long.	true	527.69	532.42	20.927507
3923_153309_000031_000004	He was going to make things hum, he was.	He was going to make things hum, he was.	true	532.55	534.64	20.659147
3923_153309_000031_000005	Money for this, money for that, a horse where another man would walk, and mail--well, that alone would make this post-office worth while.	Money for this, money for that, a horse where another man would walk, and mail-well, that alone would make this post office worth while.	true	534.71	541.45	22.78302
3923_153309_000031_000006	Then the drugs ordered by wholesale.	Then the drugs ordered by wholesale.	true	541.67	543.67	21.823767
3923_153309_000031_000007	Those boxes over there were his, ready to be carted out to his manufactory.	Those boxes over there were his, ready to be carted out to his manufactory.	true	543.8	547.9	23.713085
3923_153309_000031_000008	Count them, some one, and think of the bottles and bottles of stuff they stand for.	Count them, some one, and think of the bottles and bottles of stuff they stand for.	true	548.15	552.31	22.327374
3923_153309_000031_000009	If it sells as he says it will--then he will soon be rich: and so on, till Sweetwater brought the garrulous Dick to a standstill by asking whether Wellgood had been away for any purpose since he first came to town.	If it sells as he says it will-then he will soon be rich: and so on, till Sweetwater brought the garrulous Dick to a standstill by asking whether Wellgood had been away for any purpose since he first came to town.	true	552.68	563.89	22.279768
3923_153309_000031_000010	He received the reply that he had just come home from New York, where he had been for some articles needed in his manufactory.	He received the reply that he had just come home from New York, where he had been for some articles needed in his manufactory.	false	564.2	570.34	20.420444
3923_153309_000031_000011	Sweetwater felt all his convictions confirmed, and ended the colloquy with the final question:	Sweetwater felt all his convictions confirmed, and ended the colloquy with the final question:	true	570.77	576.07	22.300869
3923_153309_000032_000000	"And where is his manufactory?	"And where is his manufactory?	true	576.41	578.115	21.801907
3923_153309_000032_000001	Might be worth visiting, perhaps."	Might be worth visiting, perhaps."	true	578.115	579.7	23.514143
3923_153309_000033_000000	The other made a gesture, said something about northwest and rushed to help a customer.	The other made a gesture, said something about northwest and rushed to help a customer.	true	580.43	584.8	21.272074
3923_153309_000033_000001	Sweetwater took the opportunity to slide away.	Sweetwater took the opportunity to slide away.	true	584.99	587.59	23.256
3923_153309_000033_000002	More explicit directions could easily be got elsewhere, and he felt anxious to return to Mr. Grey and discover, if possible, whether it would prove as much a matter of surprise to him as to Sweetwater himself that the man who answered to the name of Wellgood was the owner of a manufactory and a barrel or two of drugs, out of which he proposed to make a compound that would rob the doctors of their business and make himself and this little village rich.	More explicit directions could easily be got elsewhere, and he felt anxious to return to mr Grey and discover, if possible, whether it would prove as much a matter of surprise to him as to Sweetwater himself that the man who answered to the name of Wellgood was the owner of a manufactory and a barrel or two of drugs, out of which he proposed to make a compound that would rob the doctors of their business and make himself and this little village rich.	false	587.78	609.91	21.48883
3923_153309_000034_000000	Sweetwater made only one stop on his way to Mr. Grey's hotel rooms, and that was at the stables.	Sweetwater made only one stop on his way to mr Grey's hotel rooms, and that was at the stables.	true	610.61	615.37	21.969894
3923_153309_000034_000001	Here he learned whatever else there was to know, and, armed with definite information, he appeared before Mr. Grey, who, to his astonishment, was dining in his own room.	Here he learned whatever else there was to know, and, armed with definite information, he appeared before mr Grey, who, to his astonishment, was dining in his own room.	true	615.53	624.04	20.79958
3923_153309_000035_000000	He had dismissed the waiter and was rather brooding than eating.	He had dismissed the waiter and was rather brooding than eating.	true	624.65	627.73	18.915113
3923_153309_000035_000001	He looked up eagerly, however, when Sweetwater entered, and asked what news.	He looked up eagerly, however, when Sweetwater entered, and asked what news.	true	628.07	632.08	22.562752
3923_153309_000036_000000	The detective, with some semblance of respect, answered that he had seen Wellgood, but that he had been unable to detain him or bring him within his employer's observation.	The detective, with some semblance of respect, answered that he had seen Wellgood, but that he had been unable to detain him or bring him within his employer's observation.	true	632.75	641.56	20.392126
3923_153309_000037_000000	"He is a patent-medicine man," he then explained, "and manufactures his own concoctions in a house he has rented here on a lonely road some half-mile out of town."	"He is a patent medicine man," he then explained, "and manufactures his own concoctions in a house he has rented here on a lonely road some half mile out of town."	true	642.44	650.86	21.035187
3923_153309_000038_000000	"Wellgood does?	"Wellgood does?	true	651.35	652.56	20.815256
3923_153309_000038_000001	the man named Wellgood?" Mr. Grey exclaimed with all the astonishment the other secretly expected.	the man named Wellgood?" mr Grey exclaimed with all the astonishment the other secretly expected.	true	652.56	657.7	24.128965
3923_153309_000039_000000	"Yes; Wellgood, James Wellgood.	"Yes; Wellgood, james Wellgood.	true	657.89	659.61	21.637232
3923_153309_000039_000001	There is no other in town."	There is no other in town."	true	659.61	661.15	19.408485
3923_153309_000040_000000	"How long has this man been here?" the statesman inquired, after a moment of apparently great discomfiture.	"How long has this man been here?" the statesman inquired, after a moment of apparently great discomfiture.	false	661.52	667.15	22.403288
3923_153309_000041_000000	"Just twenty-four hours, this time.	"Just twenty four hours, this time.	true	667.64	669.34	19.39449
3923_153309_000041_000001	He was here once before, when he rented the house and made all his plans."	He was here once before, when he rented the house and made all his plans."	false	669.41	672.88	23.70337
3923_153309_000042_000000	"Ah!"	"Ah!"	true	673.52	674.34	23.875689
3923_153309_000043_000000	Mr. Grey rose precipitately.	mr Grey rose precipitately.	true	674.34	676.11	23.906013
3923_153309_000043_000001	His manner had changed.	His manner had changed.	true	676.11	677.83	23.488758
3923_153309_000044_000000	"I must see him.	"I must see him.	true	678.05	679.24	21.76595
3923_153309_000044_000001	What you tell me makes it all the more necessary for me to see him.	What you tell me makes it all the more necessary for me to see him.	true	679.4	682.39	21.346016
3923_153309_000044_000002	How can you bring it about?"	How can you bring it about?"	true	682.64	683.89	21.924896
3923_153309_000045_000000	"Without his seeing you?" Sweetwater asked.	"Without his seeing you?" Sweetwater asked.	false	684.44	686.91	24.113464
3923_153309_000046_000000	"Yes, yes; certainly without his seeing me.	"Yes, yes; certainly without his seeing me.	false	686.91	689.31	22.018894
3923_153309_000046_000001	Couldn't you rap him up at his own door, and hold him in talk a minute, while I looked on from the carriage or whatever vehicle we can get to carry us there?	Couldn't you rap him up at his own door, and hold him in talk a minute, while I looked on from the carriage or whatever vehicle we can get to carry us there?	true	689.31	696.37	22.087782
3923_153309_000046_000002	The least glimpse of his face would satisfy me.	The least glimpse of his face would satisfy me.	true	696.44	698.805	24.068748
3923_153309_000046_000003	That is, to-night."	That is, to night."	true	698.805	699.85	23.662886
3923_153309_000047_000000	"I'll try," said Sweetwater, not very sanguine as to the probable result of this effort.	"I'll try," said Sweetwater, not very sanguine as to the probable result of this effort.	true	700.67	705.31	21.52114
3923_153309_000048_000000	Returning to the stables, he ordered the team.	Returning to the stables, he ordered the team.	true	705.8	708.19	21.583227
3923_153309_000048_000001	With the last ray of the sun they set out, the reins in Sweetwater's hands.	With the last ray of the sun they set out, the reins in Sweetwater's hands.	false	708.38	727.11	20.515837
