639_143022_000000_000000	Not much, perhaps, considering the malevolent capacity of the Dedlow Marsh.	Not much, perhaps, considering the malevolent capacity of the Dedlow Marsh.	false	0	4.62	19.033365
639_143022_000005_000008	Dreading some susceptibility to sincere expression on the subject of female loveliness, I walked away, checking the compliment that otherwise might have risen unbidden to my lips, and have brought shame and sorrow to the household.	Dreading some susceptibility to sincere expression on the subject of female loveliness, I walked away, checking the compliment that otherwise might have risen unbidden to my lips, and have brought shame and sorrow to the household.	true	262.31	276.58	16
639_143022_000006_000000	It was with the memory of these experiences resting heavily upon me that I stood hesitatingly before the stage door.	It was with the memory of these experiences resting heavily upon me that I stood hesitatingly before the stage door.	true	277.76	284.56	16
639_143022_000006_000001	The driver, about to mount, was for a moment illuminated by the open door of the hotel.	The driver, about to mount, was for a moment illuminated by the open door of the hotel.	true	284.96	290.32	16
639_143022_000006_000002	He had the wearied look which was the distinguishing expression of Wingdam. Satisfied that I was properly waybilled and receipted for, he took no further notice of me.	He had the wearied look which was the distinguishing expression of Wingdam. Satisfied that I was properly waybilled and receipted for, he took no further notice of me.	true	290.75	300.82	18.72898
639_143022_000006_000003	I looked longingly at the box seat, but he did not respond to the appeal.	I looked longingly at the box seat, but he did not respond to the appeal.	true	301.31	305.68	18
639_143022_000006_000004	I flung my carpetbag into the chasm, dived recklessly after it, and--before I was fairly seated--with a great sigh, a creaking of unwilling springs, complaining bolts, and harshly expostulating axle, we moved away.	I flung my carpetbag into the chasm, dived recklessly after it, and-before I was fairly seated-with a great sigh, a creaking of unwilling springs, complaining bolts, and harshly expostulating axle, we moved away.	false	306.35	320.98	19
639_143022_000006_000005	Rather the hotel door slipped behind, the sound of the piano sank to rest, and the night and its shadows moved solemnly upon us.	Rather the hotel door slipped behind, the sound of the piano sank to rest, and the night and its shadows moved solemnly upon us.	true	321.44	330.04	19.952646
639_143022_000007_000000	To say it was dark expressed but faintly the pitchy obscurity that encompassed the vehicle.	To say it was dark expressed but faintly the pitchy obscurity that encompassed the vehicle.	true	331.64	336.97	17
639_143022_000007_000001	The roadside trees were scarcely distinguishable as deeper masses of shadow; I knew them only by the peculiar sodden odor that from time to time sluggishly flowed in at the open window as we rolled by.	The roadside trees were scarcely distinguishable as deeper masses of shadow; I knew them only by the peculiar sodden odor that from time to time sluggishly flowed in at the open window as we rolled by.	true	337.55	349.54	17
639_143022_000007_000002	We proceeded slowly; so leisurely that, leaning from the carriage, I more than once detected the fragrant sigh of some astonished cow, whose ruminating repose upon the highway we had ruthlessly disturbed.	We proceeded slowly; so leisurely that, leaning from the carriage, I more than once detected the fragrant sigh of some astonished cow, whose ruminating repose upon the highway we had ruthlessly disturbed.	true	349.7	362.32	18
639_143022_000007_000003	But in the darkness our progress, more the guidance of some mysterious instinct than any apparent volition of our own, gave an indefinable charm of security to our journey that a moment's hesitation or indecision on the part of the driver would have destroyed.	But in the darkness our progress, more the guidance of some mysterious instinct than any apparent volition of our own, gave an indefinable charm of security to our journey that a moment's hesitation or indecision on the part of the driver would have destroyed.	true	362.54	377.77	15
639_143022_000008_000000	I had indulged a hope that in the empty vehicle I might obtain that rest so often denied me in its crowded condition.	I had indulged a hope that in the empty vehicle I might obtain that rest so often denied me in its crowded condition.	false	378.68	385.66	11
639_143022_000008_000001	It was a weak delusion. When I stretched out my limbs it was only to find that the ordinary conveniences for making several people distinctly uncomfortable were distributed throughout my individual frame.	It was a weak delusion. When I stretched out my limbs it was only to find that the ordinary conveniences for making several people distinctly uncomfortable were distributed throughout my individual frame.	false	385.97	398.5	18
639_143022_000008_000002	At last, resting my arms on the straps, by dint of much gymnastic effort I became sufficiently composed to be aware of a more refined species of torture.	At last, resting my arms on the straps, by dint of much gymnastic effort I became sufficiently composed to be aware of a more refined species of torture.	true	399.17	409.21	17
639_143022_000008_000003	The springs of the stage, rising and falling regularly, produced a rhythmical beat which began to absorb my attention painfully.	The springs of the stage, rising and falling regularly, produced a rhythmical beat which began to absorb my attention painfully.	true	410.21	418.18	17
639_143022_000008_000004	Slowly this thumping merged into a senseless echo of the mysterious female of the hotel parlor, and shaped itself into this awful and benumbing axiom--"Praise-to-the-face-is-open-disgrace. Praise-to-the-face-is-open-disgrace." Inequalities of the road only quickened its utterance or drawled it to an exasperating length.	Slowly this thumping merged into a senseless echo of the mysterious female of the hotel parlor, and shaped itself into this awful and benumbing axiom-"Praise to the face is open disgrace. Praise to the face is open disgrace." Inequalities of the road only quickened its utterance or drawled it to an exasperating length.	true	418.52	438.82	19.283203
639_143022_000009_000000	It was of no use to consider the statement seriously.	It was of no use to consider the statement seriously.	true	439.61	442.66	18.59887
639_143022_000009_000001	It was of no use to except to it indignantly.	It was of no use to except to it indignantly.	true	442.82	445.78	17
639_143022_000009_000002	It was of no use to recall the many instances where praise to the face had redounded to the everlasting honor of praiser and bepraised; of no use to dwell sentimentally on modest genius and courage lifted up and strengthened by open commendation; of no use to except to the mysterious female, to picture her as rearing a thin-blooded generation on selfish and mechanically repeated axioms--all this failed to counteract the monotonous repetition of this sentence.	It was of no use to recall the many instances where praise to the face had redounded to the everlasting honor of praiser and bepraised; of no use to dwell sentimentally on modest genius and courage lifted up and strengthened by open commendation; of no use to except to the mysterious female, to picture her as rearing a thin blooded generation on selfish and mechanically repeated axioms-all this failed to counteract the monotonous repetition of this sentence.	true	445.85	474.49	17
639_143022_000009_000003	There was nothing to do but to give in--and I was about to accept it weakly, as we too often treat other illusions of darkness and necessity, for the time being, when I became aware of some other annoyance that had been forcing itself upon me for the last few moments.	There was nothing to do but to give in-and I was about to accept it weakly, as we too often treat other illusions of darkness and necessity, for the time being, when I became aware of some other annoyance that had been forcing itself upon me for the last few moments.	true	475.28	490.51	15
639_143022_000009_000004	How quiet the driver was!	How quiet the driver was!	true	490.7	492.58	17
639_143022_000010_000000	Was there any driver?	Was there any driver?	true	493.43	494.83	20.198797
639_143022_000010_000001	Had I any reason to suppose that he was not lying gagged and bound on the roadside, and the highwayman with blackened face who did the thing so quietly driving me--whither?	Had I any reason to suppose that he was not lying gagged and bound on the roadside, and the highwayman with blackened face who did the thing so quietly driving me-whither?	true	495.47	506.47	18.899675
639_143022_000010_000002	The thing is perfectly feasible.	The thing is perfectly feasible.	true	506.81	508.66	19.423056
639_143022_000010_000003	And what is this fancy now being jolted out of me?	And what is this fancy now being jolted out of me?	true	509.03	511.84	18
639_143022_000010_000004	A story? It's of no use to keep it back--particularly in this abysmal vehicle, and here it comes: I am a Marquis--a French Marquis; French, because the peerage is not so well known, and the country is better adapted to romantic incident--a Marquis, because the democratic reader delights in the nobility.	A story? It's of no use to keep it back-particularly in this abysmal vehicle, and here it comes: I am a Marquis-a French Marquis; French, because the peerage is not so well known, and the country is better adapted to romantic incident-a Marquis, because the democratic reader delights in the nobility.	false	511.97	532.45	18.933514
639_143022_000010_000005	My name is something LIGNY.	My name is something l i g n y.	false	532.64	536.13	18.982893
639_143022_000010_000006	I am coming from Paris to my country seat at St. Germain.	I am coming from Paris to my country seat at st Germain.	false	536.13	540.09	18.808441
639_143022_000010_000007	It is a dark night, and I fall asleep and tell my honest coachman, Andre, not to disturb me, and dream of an angel.	It is a dark night, and I fall asleep and tell my honest coachman, Andre, not to disturb me, and dream of an angel.	false	540.09	548.65	19.382195
639_143022_000010_000008	The carriage at last stops at the chateau.	The carriage at last stops at the chateau.	true	548.99	551.32	17
639_143022_000010_000009	It is so dark that when I alight I do not recognize the face of the footman who holds the carriage door.	It is so dark that when I alight I do not recognize the face of the footman who holds the carriage door.	true	551.36	556.69	12
639_143022_000010_000010	But what of that?--PESTE!	But what of that?--PESTE!	false	556.97	558.99	20.472042
639_143022_000010_000011	I am heavy with sleep.	I am heavy with sleep.	true	558.99	560.56	18.617529
639_143022_000010_000012	The same obscurity also hides the old familiar indecencies of the statues on the terrace; but there is a door, and it opens and shuts behind me smartly. Then I find myself in a trap, in the presence of the brigand who has quietly gagged poor Andre and conducted the carriage thither.	The same obscurity also hides the old familiar indecencies of the statues on the terrace; but there is a door, and it opens and shuts behind me smartly. Then I find myself in a trap, in the presence of the brigand who has quietly gagged poor Andre and conducted the carriage thither.	true	560.93	577.09	17
639_143022_000010_000013	There is nothing for me to do, as a gallant French Marquis, but to say, "PARBLEU!" draw my rapier, and die valorously!	There is nothing for me to do, as a gallant French Marquis, but to say, "p a r b l e u!" draw my rapier, and die valorously!	false	577.55	585.58	19.2928
639_143022_000010_000014	I am found a week or two after outside a deserted cabaret near the barrier, with a hole through my ruffled linen and my pockets stripped.	I am found a week or two after outside a deserted cabaret near the barrier, with a hole through my ruffled linen and my pockets stripped.	true	586.22	594.46	17
639_143022_000010_000015	No; on second thoughts, I am rescued--rescued by the angel I have been dreaming of, who is the assumed daughter of the brigand but the real daughter of an intimate friend.	No; on second thoughts, I am rescued-rescued by the angel I have been dreaming of, who is the assumed daughter of the brigand but the real daughter of an intimate friend.	true	594.74	604.93	19
639_143022_000011_000000	Looking from the window again, in the vain hope of distinguishing the driver, I found my eyes were growing accustomed to the darkness.	Looking from the window again, in the vain hope of distinguishing the driver, I found my eyes were growing accustomed to the darkness.	true	606.68	614.62	18.481205
639_143022_000011_000001	I could see the distant horizon, defined by India-inky woods, relieving a lighter sky.	I could see the distant horizon, defined by India inky woods, relieving a lighter sky.	false	615.29	620.89	13
639_143022_000011_000002	A few stars widely spaced in this picture glimmered sadly. I noticed again the infinite depth of patient sorrow in their serene faces; and I hope that the vandal who first applied the flippant "twinkle" to them may not be driven melancholy-mad by their reproachful eyes.	A few stars widely spaced in this picture glimmered sadly. I noticed again the infinite depth of patient sorrow in their serene faces; and I hope that the vandal who first applied the flippant "twinkle" to them may not be driven melancholy mad by their reproachful eyes.	true	621.41	637.78	16
639_143022_000011_000003	I noticed again the mystic charm of space that imparts a sense of individual solitude to each integer of the densest constellation, involving the smallest star with immeasurable loneliness.	I noticed again the mystic charm of space that imparts a sense of individual solitude to each integer of the densest constellation, involving the smallest star with immeasurable loneliness.	false	638.72	649.93	14
639_143022_000011_000004	Something of this calm and solitude crept over me, and I dozed in my gloomy cavern. When I awoke the full moon was rising.	Something of this calm and solitude crept over me, and I dozed in my gloomy cavern. When I awoke the full moon was rising.	true	650.75	659.05	19.251516
639_143022_000011_000005	Seen from my window, it had an indescribably unreal and theatrical effect.	Seen from my window, it had an indescribably unreal and theatrical effect.	true	659.24	664.39	19
639_143022_000011_000006	It was the full moon of NORMA--that remarkable celestial phenomenon which rises so palpably to a hushed audience and a sublime andante chorus, until the CASTA DIVA is sung--the "inconstant moon" that then and thereafter remains fixed in the heavens as though it were a part of the solar system inaugurated by Joshua.	It was the full moon of NORMA-that remarkable celestial phenomenon which rises so palpably to a hushed audience and a sublime andante chorus, until the CASTA DIVA is sung-the "inconstant moon" that then and thereafter remains fixed in the heavens as though it were a part of the solar system inaugurated by joshua.	true	664.97	685.27	17
639_143022_000011_000007	Again the white-robed Druids filed past me, again I saw that improbable mistletoe cut from that impossible oak, and again cold chills ran down my back with the first strain of the recitative.	Again the white robed Druids filed past me, again I saw that improbable mistletoe cut from that impossible oak, and again cold chills ran down my back with the first strain of the recitative.	false	685.79	698.38	18
639_143022_000011_000008	The thumping springs essayed to beat time, and the private-box-like obscurity of the vehicle lent a cheap enchantment to the view.	The thumping springs essayed to beat time, and the private box like obscurity of the vehicle lent a cheap enchantment to the view.	false	699.05	706.06	13
639_143022_000011_000009	But it was a vast improvement upon my past experience, and I hugged the fond delusion.	But it was a vast improvement upon my past experience, and I hugged the fond delusion.	true	706.46	711.31	18
639_143022_000012_000000	My fears for the driver were dissipated with the rising moon.	My fears for the driver were dissipated with the rising moon.	true	712.19	715.63	17.814098
639_143022_000012_000001	A familiar sound had assured me of his presence in the full possession of at least one of his most important functions.	A familiar sound had assured me of his presence in the full possession of at least one of his most important functions.	true	715.73	721.78	13
639_143022_000012_000002	Frequent and full expectoration convinced me that his lips were as yet not sealed by the gag of highwaymen, and soothed my anxious ear.	Frequent and full expectoration convinced me that his lips were as yet not sealed by the gag of highwaymen, and soothed my anxious ear.	false	722.36	731.55	17.368376
639_143022_000012_000003	With this load lifted from my mind, and assisted by the mild presence of Diana, who left, as when she visited Endymion, much of her splendor outside my cavern--I looked around the empty vehicle.	With this load lifted from my mind, and assisted by the mild presence of Diana, who left, as when she visited Endymion, much of her splendor outside my cavern-I looked around the empty vehicle.	true	731.55	742.75	16
639_143022_000012_000004	On the forward seat lay a woman's hairpin.	On the forward seat lay a woman's hairpin.	true	743.15	745.57	18
639_143022_000012_000005	I picked it up with an interest that, however, soon abated.	I picked it up with an interest that, however, soon abated.	true	745.82	749.53	19.824013
639_143022_000012_000006	There was no scent of the roses to cling to it still, not even of hair oil.	There was no scent of the roses to cling to it still, not even of hair oil.	true	749.66	754.06	19.619751
639_143022_000012_000007	No bend or twist in its rigid angles betrayed any trait of its wearer's character.	No bend or twist in its rigid angles betrayed any trait of its wearer's character.	true	754.25	759.22	14
639_143022_000012_000008	I tried to think that it might have been "Mariar's." I tried to imagine that, confining the symmetrical curls of that girl, it might have heard the soft compliments whispered in her ears which provoked the wrath of the aged female.	I tried to think that it might have been "Mariar's." I tried to imagine that, confining the symmetrical curls of that girl, it might have heard the soft compliments whispered in her ears which provoked the wrath of the aged female.	true	759.41	771.43	18
639_143022_000012_000009	But in vain.	But in vain.	true	771.92	773.38	18
639_143022_000012_000010	It was reticent and unswerving in its upright fidelity, and at last slipped listlessly through my fingers.	It was reticent and unswerving in its upright fidelity, and at last slipped listlessly through my fingers.	true	773.6	780.34	16
639_143022_000013_000000	I had dozed repeatedly--waked on the threshold of oblivion by contact with some of the angles of the coach, and feeling that I was unconsciously assuming, in imitation of a humble insect of my childish recollection, that spherical shape which could best resist those impressions, when I perceived that the moon, riding high in the heavens, had begun to separate the formless masses of the shadowy landscape. Trees isolated, in clumps and assemblages, changed places before my window.	I had dozed repeatedly-waked on the threshold of oblivion by contact with some of the angles of the coach, and feeling that I was unconsciously assuming, in imitation of a humble insect of my childish recollection, that spherical shape which could best resist those impressions, when I perceived that the moon, riding high in the heavens, had begun to separate the formless masses of the shadowy landscape. Trees isolated, in clumps and assemblages, changed places before my window.	true	782.33	811.81	17
639_143022_000013_000001	The sharp outlines of the distant hills came back, as in daylight, but little softened in the dry, cold, dewless air of a California summer night.	The sharp outlines of the distant hills came back, as in daylight, but little softened in the dry, cold, dewless air of a California summer night.	true	812	820.84	17
639_143022_000013_000002	I was wondering how late it was, and thinking that if the horses of the night traveled as slowly as the team before us, Faustus might have been spared his agonizing prayer, when a sudden spasm of activity attacked my driver.	I was wondering how late it was, and thinking that if the horses of the night traveled as slowly as the team before us, Faustus might have been spared his agonizing prayer, when a sudden spasm of activity attacked my driver.	true	822.14	835	18
639_143022_000013_000003	A succession of whip-snappings, like a pack of Chinese crackers, broke from the box before me.	A succession of whip snappings, like a pack of Chinese crackers, broke from the box before me.	true	835.22	840.31	17
639_143022_000013_000004	The stage leaped forward, and when I could pick myself from under the seat, a long white building had in some mysterious way rolled before my window. It must be Slumgullion!	The stage leaped forward, and when I could pick myself from under the seat, a long white building had in some mysterious way rolled before my window. It must be Slumgullion!	true	840.74	851.32	19.363895
639_143022_000013_000005	As I descended from the stage I addressed the driver:	As I descended from the stage one addressed the driver:	false	851.72	854.53	20
639_143022_000014_000000	"I thought you changed horses on the road?"	"I thought you changed horses on the road?"	true	855.29	857.56	16.9938
639_143022_000015_000000	"So we did.	"So we did.	true	858.02	858.87	19.164461
639_143022_000015_000001	Two hours ago."	Two hours ago."	true	858.87	859.87	17
639_143022_000016_000000	"That's odd.	"That's odd.	false	860.63	861.33	14.259502
639_143022_000016_000001	I didn't notice it."	I didn't notice it."	true	861.33	862.42	19.381063
639_143022_000017_000000	"Must have been asleep, sir.	"Must have been asleep, sir.	true	862.79	864.25	20.090454
639_143022_000017_000001	Hope you had a pleasant nap.	Hope you had a pleasant nap.	true	864.5	866.22	19.66046
639_143022_000017_000002	Bully place for a nice quiet snooze--empty stage, sir!"	Bully place for a nice quiet snooze-empty stage, sir!"	true	866.22	870.12	20
639_143022_000018_000000	THE MAN OF NO ACCOUNT	THE MAN OF NO ACCOUNT	false	870.12	880.89	15.364312
