5400_34479_000000_000000	Sergey Ivanovitch wound up the last line, untied the horse, and they drove off.	Sergey Ivanovitch wound up the last line, untied the horse, and they drove off.	false	4.47	24.33	24.25802
5400_34479_000024_000003	He was in front of all, and cut his wide row without bending, as though playing with the scythe.	He was in front of all, and cut his wide row without bending, as though playing with the scythe.	true	242.6	246.85	18
5400_34479_000025_000000	Levin got off his mare, and fastening her up by the roadside went to meet Tit, who took a second scythe out of a bush and gave it to him.	Levin got off his mare, and fastening her up by the roadside went to meet Tit, who took a second scythe out of a bush and gave it to him.	true	247.67	254.53	22.971418
5400_34479_000026_000000	"It's ready, sir; it's like a razor, cuts of itself," said Tit, taking off his cap with a smile and giving him the scythe.	"It's ready, sir; it's like a razor, cuts of itself," said Tit, taking off his cap with a smile and giving him the scythe.	true	254.57	261.04	23.343098
5400_34479_000027_000000	Levin took the scythe, and began trying it.	Levin took the scythe, and began trying it.	false	261.44	263.89	21.754595
5400_34479_000027_000001	As they finished their rows, the mowers, hot and good-humored, came out into the road one after another, and, laughing a little, greeted the master.	As they finished their rows, the mowers, hot and good humored, came out into the road one after another, and, laughing a little, greeted the master.	true	263.99	271.81	19
5400_34479_000027_000002	They all stared at him, but no one made any remark, till a tall old man, with a wrinkled, beardless face, wearing a short sheepskin jacket, came out into the road and accosted him.	They all stared at him, but no one made any remark, till a tall old man, with a wrinkled, beardless face, wearing a short sheepskin jacket, came out into the road and accosted him.	true	272.36	282.45	19
5400_34479_000028_000000	"Look'ee now, master, once take hold of the rope there's no letting it go!" he said, and Levin heard smothered laughter among the mowers.	"Look'ee now, master, once take hold of the rope there's no letting it go!" he said, and Levin heard smothered laughter among the mowers.	false	282.45	289.69	19
5400_34479_000029_000000	"I'll try not to let it go," he said, taking his stand behind Tit, and waiting for the time to begin.	"I'll try not to let it go," he said, taking his stand behind Tit, and waiting for the time to begin.	true	290.12	294.85	19
5400_34479_000030_000000	"Mind'ee," repeated the old man.	"Mind'ee," repeated the old man.	true	295.07	297.13	16
5400_34479_000031_000000	Tit made room, and Levin started behind him.	Tit made room, and Levin started behind him.	true	297.41	299.835	21
5400_34479_000031_000001	The grass was short close to the road, and Levin, who had not done any mowing for a long while, and was disconcerted by the eyes fastened upon him, cut badly for the first moments, though he swung his scythe vigorously.	The grass was short close to the road, and Levin, who had not done any mowing for a long while, and was disconcerted by the eyes fastened upon him, cut badly for the first moments, though he swung his scythe vigorously.	true	299.835	311.4	20
5400_34479_000031_000002	Behind him he heard voices:	Behind him he heard voices:	false	311.4	313	16.821106
5400_34479_000032_000000	"It's not set right; handle's too high; see how he has to stoop to it," said one.	"It's not set right; handle's too high; see how he has to stoop to it," said one.	true	313.13	317.85	29.662361
5400_34479_000033_000000	"Press more on the heel," said another.	"Press more on the heel," said another.	true	317.85	319.72	19.687887
5400_34479_000034_000000	"Never mind, he'll get on all right," the old man resumed.	"Never mind, he'll get on all right," the old man resumed.	true	319.82	322.93	22
5400_34479_000035_000000	"He's made a start....	"He's made a start....	true	323.18	324.43	33.307335
5400_34479_000035_000001	You swing it too wide, you'll tire yourself out....	You swing it too wide, you'll tire yourself out....	false	324.53	327.45	26.111868
5400_34479_000035_000002	The master, sure, does his best for himself!	The master, sure, does his best for himself!	true	327.45	330.075	23.551826
5400_34479_000035_000003	But see the grass missed out!	But see the grass missed out!	true	330.075	331.72	24.621103
5400_34479_000035_000004	For such work us fellows would catch it!"	For such work us fellows would catch it!"	true	331.82	333.91	28.150402
5400_34479_000036_000000	The grass became softer, and Levin, listening without answering, followed Tit, trying to do the best he could.	The grass became softer, and Levin, listening without answering, followed Tit, trying to do the best he could.	true	334.4	339.61	24.679188
5400_34479_000036_000001	They moved a hundred paces.	They moved a hundred paces.	true	339.74	341.23	22
5400_34479_000036_000002	Tit kept moving on, without stopping, not showing the slightest weariness, but Levin was already beginning to be afraid he would not be able to keep it up: he was so tired.	Tit kept moving on, without stopping, not showing the slightest weariness, but Levin was already beginning to be afraid he would not be able to keep it up: he was so tired.	true	341.27	350.68	21.16044
5400_34479_000037_000000	He felt as he swung his scythe that he was at the very end of his strength, and was making up his mind to ask Tit to stop.	He felt as he swung his scythe that he was at the very end of his strength, and was making up his mind to ask Tit to stop.	false	351.23	357.525	22.400192
5400_34479_000037_000001	But at that very moment Tit stopped of his own accord, and stooping down picked up some grass, rubbed his scythe, and began whetting it.	But at that very moment Tit stopped of his own accord, and stooping down picked up some grass, rubbed his scythe, and began whetting it.	false	357.525	365.2	23.463873
5400_34479_000037_000002	Levin straightened himself, and drawing a deep breath looked round.	Levin straightened himself, and drawing a deep breath looked round.	true	365.42	368.65	22
5400_34479_000037_000003	Behind him came a peasant, and he too was evidently tired, for he stopped at once without waiting to mow up to Levin, and began whetting his scythe.	Behind him came a peasant, and he too was evidently tired, for he stopped at once without waiting to mow up to Levin, and began whetting his scythe.	false	368.72	376.26	21.140572
5400_34479_000037_000004	Tit sharpened his scythe and Levin's, and they went on.	Tit sharpened his scythe and Levin's, and they went on.	false	376.26	379.21	19
5400_34479_000037_000005	The next time it was just the same.	The next time it was just the same.	true	379.31	381.28	19.034483
5400_34479_000037_000006	Tit moved on with sweep after sweep of his scythe, not stopping nor showing signs of weariness.	Tit moved on with sweep after sweep of his scythe, not stopping nor showing signs of weariness.	true	381.29	386.56	23.858124
5400_34479_000037_000007	Levin followed him, trying not to get left behind, and he found it harder and harder: the moment came when he felt he had no strength left, but at that very moment Tit stopped and whetted the scythes.	Levin followed him, trying not to get left behind, and he found it harder and harder: the moment came when he felt he had no strength left, but at that very moment Tit stopped and whetted the scythes.	false	386.78	399.15	23.831861
5400_34479_000038_000000	So they mowed the first row.	So they mowed the first row.	true	399.15	400.69	18.96029
5400_34479_000038_000001	And this long row seemed particularly hard work to Levin; but when the end was reached and Tit, shouldering his scythe, began with deliberate stride returning on the tracks left by his heels in the cut grass, and Levin walked back in the same way over the space he had cut, in spite of the sweat that ran in streams over his face and fell in drops down his nose, and drenched his back as though he had been soaked in water, he felt very happy.	And this long row seemed particularly hard work to Levin; but when the end was reached and Tit, shouldering his scythe, began with deliberate stride returning on the tracks left by his heels in the cut grass, and Levin walked back in the same way over the space he had cut, in spite of the sweat that ran in streams over his face and fell in drops down his nose, and drenched his back as though he had been soaked in water, he felt very happy.	false	400.73	423.85	22
5400_34479_000038_000002	What delighted him particularly was that now he knew he would be able to hold out.	What delighted him particularly was that now he knew he would be able to hold out.	true	424.49	429.61	15
5400_34479_000039_000000	His pleasure was only disturbed by his row not being well cut.	His pleasure was only disturbed by his row not being well cut.	true	430.22	433.63	20
5400_34479_000039_000001	"I will swing less with my arm and more with my whole body," he thought, comparing Tit's row, which looked as if it had been cut with a line, with his own unevenly and irregularly lying grass.	"I will swing less with my arm and more with my whole body," he thought, comparing Tit's row, which looked as if it had been cut with a line, with his own unevenly and irregularly lying grass.	true	434.15	444.22	15
5400_34479_000040_000000	The first row, as Levin noticed, Tit had mowed specially quickly, probably wishing to put his master to the test, and the row happened to be a long one.	The first row, as Levin noticed, Tit had mowed specially quickly, probably wishing to put his master to the test, and the row happened to be a long one.	true	445.01	453.19	22.484526
5400_34479_000040_000001	The next rows were easier, but still Levin had to strain every nerve not to drop behind the peasants.	The next rows were easier, but still Levin had to strain every nerve not to drop behind the peasants.	true	453.47	458.8	17
5400_34479_000041_000000	He thought of nothing, wished for nothing, but not to be left behind the peasants, and to do his work as well as possible.	He thought of nothing, wished for nothing, but not to be left behind the peasants, and to do his work as well as possible.	true	459.41	466.21	21.964802
5400_34479_000041_000001	He heard nothing but the swish of scythes, and saw before him Tit's upright figure mowing away, the crescent-shaped curve of the cut grass, the grass and flower heads slowly and rhythmically falling before the blade of his scythe, and ahead of him the end of the row, where would come the rest.	He heard nothing but the swish of scythes, and saw before him Tit's upright figure mowing away, the crescent shaped curve of the cut grass, the grass and flower heads slowly and rhythmically falling before the blade of his scythe, and ahead of him the end of the row, where would come the rest.	false	466.76	482.2	23
5400_34479_000042_000000	Suddenly, in the midst of his toil, without understanding what it was or whence it came, he felt a pleasant sensation of chill on his hot, moist shoulders.	Suddenly, in the midst of his toil, without understanding what it was or whence it came, he felt a pleasant sensation of chill on his hot, moist shoulders.	true	483.11	491.8	18
5400_34479_000042_000001	He glanced at the sky in the interval for whetting the scythes.	He glanced at the sky in the interval for whetting the scythes.	false	492.08	495.48	22.300762
5400_34479_000042_000002	A heavy, lowering storm cloud had blown up, and big raindrops were falling.	A heavy, lowering storm cloud had blown up, and big raindrops were falling.	true	495.48	499.33	17
5400_34479_000042_000003	Some of the peasants went to their coats and put them on; others--just like Levin himself--merely shrugged their shoulders, enjoying the pleasant coolness of it.	Some of the peasants went to their coats and put them on; others-just like Levin himself-merely shrugged their shoulders, enjoying the pleasant coolness of it.	false	499.76	507.87	22
5400_34479_000043_000000	Another row, and yet another row, followed--long rows and short rows, with good grass and with poor grass.	Another row, and yet another row, followed-long rows and short rows, with good grass and with poor grass.	true	507.87	514.39	21.768692
5400_34479_000043_000001	Levin lost all sense of time, and could not have told whether it was late or early now.	Levin lost all sense of time, and could not have told whether it was late or early now.	true	514.82	519.4	15
5400_34479_000043_000002	A change began to come over his work, which gave him immense satisfaction.	A change began to come over his work, which gave him immense satisfaction.	true	519.8	524.05	26
5400_34479_000043_000003	In the midst of his toil there were moments during which he forgot what he was doing, and it came all easy to him, and at those same moments his row was almost as smooth and well cut as Tit's.	In the midst of his toil there were moments during which he forgot what he was doing, and it came all easy to him, and at those same moments his row was almost as smooth and well cut as Tit's.	false	524.39	535.18	22
5400_34479_000043_000004	But so soon as he recollected what he was doing, and began trying to do better, he was at once conscious of all the difficulty of his task, and the row was badly mown.	But so soon as he recollected what he was doing, and began trying to do better, he was at once conscious of all the difficulty of his task, and the row was badly mown.	true	535.67	544.57	17
5400_34479_000044_000000	On finishing yet another row he would have gone back to the top of the meadow again to begin the next, but Tit stopped, and going up to the old man said something in a low voice to him.	On finishing yet another row he would have gone back to the top of the meadow again to begin the next, but Tit stopped, and going up to the old man said something in a low voice to him.	true	544.7	554.44	24.614052
5400_34479_000044_000001	They both looked at the sun. "What are they talking about, and why doesn't he go back?" thought Levin, not guessing that the peasants had been mowing no less than four hours without stopping, and it was time for their lunch.	They both looked at the sun "What are they talking about, and why doesn't he go back?" thought Levin, not guessing that the peasants had been mowing no less than four hours without stopping, and it was time for their lunch.	true	554.81	565.45	24
5400_34479_000045_000000	"Lunch, sir," said the old man.	"Lunch, sir," said the old man.	true	565.85	567.64	20
5400_34479_000046_000000	"Is it really time?	"Is it really time?	true	568.04	569.53	24.116894
5400_34479_000046_000001	That's right; lunch, then."	That's right; lunch, then."	true	569.84	571.81	24.119974
5400_34479_000047_000000	Levin gave his scythe to Tit, and together with the peasants, who were crossing the long stretch of mown grass, slightly sprinkled with rain, to get their bread from the heap of coats, he went towards his house. Only then he suddenly awoke to the fact that he had been wrong about the weather and the rain was drenching his hay.	Levin gave his scythe to Tit, and together with the peasants, who were crossing the long stretch of mown grass, slightly sprinkled with rain, to get their bread from the heap of coats, he went towards his house. Only then he suddenly awoke to the fact that he had been wrong about the weather and the rain was drenching his hay.	true	572.27	589.27	24.138996
5400_34479_000048_000000	"The hay will be spoiled," he said.	"The hay will be spoiled," he said.	true	589.64	591.46	20.877647
5400_34479_000049_000000	"Not a bit of it, sir; mow in the rain, and you'll rake in fine weather!" said the old man.	"Not a bit of it, sir; mow in the rain, and you'll rake in fine weather!" said the old man.	true	591.59	596.62	24.12219
5400_34479_000050_000000	Levin untied his horse and rode home to his coffee.	Levin untied his horse and rode home to his coffee.	true	596.87	599.64	21.577116
5400_34479_000050_000001	Sergey Ivanovitch was only just getting up.	Sergey Ivanovitch was only just getting up.	true	599.64	602.29	21.886047
5400_34479_000050_000002	When he had drunk his coffee, Levin rode back again to the mowing before Sergey Ivanovitch had had time to dress and come down to the dining room.	When he had drunk his coffee, Levin rode back again to the mowing before Sergey Ivanovitch had had time to dress and come down to the dining room.	false	602.51	610.62	19
5400_34479_000051_000000	Chapter 5	Chapter five	false	610.62	611.52	18
5400_34479_000052_000000	After lunch Levin was not in the same place in the string of mowers as before, but stood between the old man who had accosted him jocosely, and now invited him to be his neighbor, and a young peasant, who had only been married in the autumn, and who was mowing this summer for the first time.	After lunch Levin was not in the same place in the string of mowers as before, but stood between the old man who had accosted him jocosely, and now invited him to be his neighbor, and a young peasant, who had only been married in the autumn, and who was mowing this summer for the first time.	false	611.52	614.94	23.898146
