6188_78885_000001_000000	CHAPTER IX	CHAPTER nine
6188_78885_000015_000000	During the first scenes, the voice of the Incognita was hardly audible. The constraint of her forced attendance, and the insurmountable awkwardness of her situation, made all exertion difficult, and her tones were so languid, and her pronunciation was so inarticulate, that Elinor began seriously to believe that she must still have recourse to Mr Creek.	During the first scenes, the voice of the Incognita was hardly audible. The constraint of her forced attendance, and the insurmountable awkwardness of her situation, made all exertion difficult, and her tones were so languid, and her pronunciation was so inarticulate, that Elinor began seriously to believe that she must still have recourse to Mr Creek.
6188_78885_000016_000000	Every one else, absorbed in his part and himself, in the hope of being best, or the shame of being worst; in the fear of being out, or the confusion of not understanding what next was to be done, was regardless of all else but his own fancied reputation of the hour.	Every one else, absorbed in his part and himself, in the hope of being best, or the shame of being worst; in the fear of being out, or the confusion of not understanding what next was to be done, was regardless of all else but his own fancied reputation of the hour.
6188_78885_000017_000000	Harleigh, however, as the play proceeded, and the inaccuracy of the performers demanded greater aid, found the patience of his judgment recompensed, and its appreciation of her talents just.	Harleigh, however, as the play proceeded, and the inaccuracy of the performers demanded greater aid, found the patience of his judgment recompensed, and its appreciation of her talents just.
6188_78885_000017_000001	Her voice, from seeming feeble and monotonous, became clear and penetrating: it was varied, with the nicest discrimination, for the expression of every character, changing its modulation from tones of softest sensibility, to those of archest humour; and from reasoning severity, to those of uncultured rusticity.	Her voice, from seeming feeble and monotonous, became clear and penetrating: it was varied, with the nicest discrimination, for the expression of every character, changing its modulation from tones of softest sensibility, to those of archest humour; and from reasoning severity, to those of uncultured rusticity.
6188_78885_000019_000000	The stranger stood still.	The stranger stood still.
6188_78885_000020_000000	'In the first place, tell me, if you please, what's your name?'	'In the first place, tell me, if you please, what's your name?'
6188_78885_000021_000000	The Incognita coloured at this abrupt demand, but remained silent.	The Incognita coloured at this abrupt demand, but remained silent.
6188_78885_000022_000000	'Nay,' said Miss Bydel, 'your name, at least, can be no such great secret, for you must be called something or other.'	'Nay,' said Miss Bydel, 'your name, at least, can be no such great secret, for you must be called something or other.'
6188_78885_000023_000000	Ireton, who had hitherto appeared decided not to take any notice of her, now exclaimed, with a laugh, 'I will tell you what her name is, Miss Bydel; 'tis L.S.'	Ireton, who had hitherto appeared decided not to take any notice of her, now exclaimed, with a laugh, 'I will tell you what her name is, Miss Bydel; 'tis l s'
6188_78885_000024_000000	The stranger dropt her eyes, but Miss Bydel, not comprehending that Ireton meant two initial letters, said.	The stranger dropt her eyes, but Miss Bydel, not comprehending that Ireton meant two initial letters, said.
6188_78885_000025_000000	Selina, tittering, would have cleared up the mistake; but Ireton, laughing yet more heartily, made her a sign to let it pass.	Selina, tittering, would have cleared up the mistake; but Ireton, laughing yet more heartily, made her a sign to let it pass.
6188_78885_000027_000000	'Don't let that young person go,' cried Miss Arbe, who had now finished the labours of her theatrical presidency, 'till I have heard her play and sing.	'Don't let that young person go,' cried Miss Arbe, who had now finished the labours of her theatrical presidency, 'till I have heard her play and sing.
6188_78885_000027_000001	If she is so clever, as you describe her, she shall perform between the acts.'	If she is so clever, as you describe her, she shall perform between the acts.'
6188_78885_000028_000000	The stranger declared her utter inability to comply with such a request.	The stranger declared her utter inability to comply with such a request.
6188_78885_000032_000000	She opened it, and found ten bank notes, of ten pounds each.	She opened it, and found ten bank notes, of ten pounds each.
6188_78885_000035_000000	She was surprised, soon afterwards, by the sight of Selina. 'I would not let Mr Ireton hinder me from coming to you this once,' she cried, 'do what he could; for we are all in such a fidget, that there's only you, I really believe, can help us.	She was surprised, soon afterwards, by the sight of Selina. 'I would not let Mr Ireton hinder me from coming to you this once,' she cried, 'do what he could; for we are all in such a fidget, that there's only you, I really believe, can help us.
6188_78885_000036_000000	The stranger answered that she should gladly be useful in any way that could be proposed.	The stranger answered that she should gladly be useful in any way that could be proposed.
6188_78885_000036_000001	The book, therefore, was brought to her, with writing implements, and she dedicated herself so diligently to copying, that the following morning, when Miss Arbe was expected, the part was prepared.	The book, therefore, was brought to her, with writing implements, and she dedicated herself so diligently to copying, that the following morning, when Miss Arbe was expected, the part was prepared.
6188_78885_000037_000000	Miss Arbe, however, came not; a note arrived in her stead, stating that she had been so exceedingly fatigued the preceding day, in giving so many directions, that she begged they would let somebody read her part, and rehearse without her; and she hoped that she should find them more advanced when she joined them on Monday.	Miss Arbe, however, came not; a note arrived in her stead, stating that she had been so exceedingly fatigued the preceding day, in giving so many directions, that she begged they would let somebody read her part, and rehearse without her; and she hoped that she should find them more advanced when she joined them on Monday.
6188_78885_000038_000000	The stranger was now summoned not only as prompter, but to read the part of Lady Townly.	The stranger was now summoned not only as prompter, but to read the part of Lady Townly.
6188_78885_000038_000001	She could not refuse, but her compliance was without any sort of exertion, from a desire to avoid, not promote similar calls for exhibition.	She could not refuse, but her compliance was without any sort of exertion, from a desire to avoid, not promote similar calls for exhibition.
6188_78885_000039_000000	Elinor remarked to Harleigh, how inadequate were her talents to such a character.	Elinor remarked to Harleigh, how inadequate were her talents to such a character.
6188_78885_000040_000000	Elinor herself, now, would only call the stranger Miss Ellis, a name which, she said, she verily believed that Miss Bydel, with all her stupidity, had hit upon, and which therefore, henceforth, should be adopted.	Elinor herself, now, would only call the stranger Miss Ellis, a name which, she said, she verily believed that Miss Bydel, with all her stupidity, had hit upon, and which therefore, henceforth, should be adopted.
