6877_79973_000000_000000	[Illustration: Does the gentleman wear red breeches, and has he a pointed muzzle?]	[Illustration: Does the gentleman wear red breeches, and has he a pointed muzzle?]	false	0	9.165	19.384348
6877_79973_000042_000000	So they sat down, and he laid his head on her lap and was soon fast asleep.	So they sat down, and he laid his head on her lap and was soon fast asleep.	true	427.28	433	22.953318
6877_79973_000043_000000	As soon as he was asleep, the Maiden slipped the cloak from his shoulders and put it on her own, loaded herself with the precious garnets, and wished herself at home.	As soon as he was asleep, the Maiden slipped the cloak from his shoulders and put it on her own, loaded herself with the precious garnets, and wished herself at home.	true	433.4	442.96	22.19193
6877_79973_000044_000000	When the Huntsman had had his sleep out, he woke up and saw that his beloved had betrayed him, and left him alone on the wild mountain.	When the Huntsman had had his sleep out, he woke up and saw that his beloved had betrayed him, and left him alone on the wild mountain.	false	443.6	452.17	21.482634
6877_79973_000045_000000	'Oh, what treachery there is in the world!' he exclaimed, as he sat down in grief, and did not know what to do.	'Oh, what treachery there is in the world!' he exclaimed, as he sat down in grief, and did not know what to do.	false	452.9	460.45	22.212776
6877_79973_000046_000000	Now the mountain belonged to some wild and savage Giants who lived on it, and before long he saw three of them striding along.	Now the mountain belonged to some wild and savage Giants who lived on it, and before long he saw three of them striding along.	true	461.42	470.05	19.428823
6877_79973_000047_000000	He quickly lay down again and pretended to be fast asleep.	He quickly lay down again and pretended to be fast asleep.	true	470.6	474.61	22.324167
6877_79973_000048_000000	The first one, as he came along, stumbled against him, and said: 'What kind of earthworm is this?'	The first one, as he came along, stumbled against him, and said: 'What kind of earthworm is this?'	true	475.46	482.95	22.430939
6877_79973_000049_000000	The second said: 'Tread on him and kill him.'	The second said: 'Tread on him and kill him.'	true	483.17	486.64	21.48018
6877_79973_000050_000000	But the third said: 'It isn't worth the trouble.	But the third said: 'It isn't worth the trouble.	true	486.95	490.96	21.093708
6877_79973_000050_000001	Let him alone,--he can't live here; and when he climbs higher up the mountain, the clouds will roll down and carry him off.'	Let him alone,--he can't live here; and when he climbs higher up the mountain, the clouds will roll down and carry him off.'	false	491.03	501.31	21.819141
6877_79973_000051_000000	Then they passed on, and as soon as they were gone, the Huntsman, who had heard all they said, got up and climbed up to the top of the mountain.	Then they passed on, and as soon as they were gone, the Huntsman, who had heard all they said, got up and climbed up to the top of the mountain.	true	501.8	510.37	22.041033
6877_79973_000052_000000	After he had sat there for a time, a cloud floated over him, and carried him away.	After he had sat there for a time, a cloud floated over him, and carried him away.	true	511.37	515.92	24.795832
6877_79973_000053_000000	At first he was swept through the air, but then he was gently lowered and deposited within a large walled garden, upon a soft bed of lettuces and other herbs.	At first he was swept through the air, but then he was gently lowered and deposited within a large walled garden, upon a soft bed of lettuces and other herbs.	true	516.74	528.1	21.608412
6877_79973_000054_000000	He looked around him and said: 'If only I had something to eat; I am so hungry.	He looked around him and said: 'If only I had something to eat; I am so hungry.	true	528.56	535.03	21.567942
6877_79973_000054_000001	And it will be difficult to get away from here.	And it will be difficult to get away from here.	true	535.4	537.91	21.718367
6877_79973_000054_000002	I see neither apples nor pears, nor any other fruit, nothing but salad and herbs.'	I see neither apples nor pears, nor any other fruit, nothing but salad and herbs.'	true	538.28	546.19	24.077383
6877_79973_000055_000000	At last, however, he thought: 'At the worst, I can eat some of this salad; it does not taste very good, but it will, at least, be refreshing.'	At last, however, he thought: 'At the worst, I can eat some of this salad; it does not taste very good, but it will, at least, be refreshing.'	false	546.74	556.15	22.326017
6877_79973_000056_000000	He picked out a fine head of lettuce, and began eating it.	He picked out a fine head of lettuce, and began eating it.	true	556.73	560.56	21.15434
6877_79973_000056_000001	But he had hardly swallowed a little piece, when he began to feel very odd, and quite changed.	But he had hardly swallowed a little piece, when he began to feel very odd, and quite changed.	true	560.81	567.79	21.138014
6877_79973_000056_000002	He felt four legs growing, a big head, and two long ears, and he saw to his horror that he was changed into an ass.	He felt four legs growing, a big head, and two long ears, and he saw to his horror that he was changed into an ass.	true	567.89	577.18	22.593647
6877_79973_000057_000000	As he at the same time felt as hungry as ever, and the juicy salad was now very much to his taste, he went on eating greedily.	As he at the same time felt as hungry as ever, and the juicy salad was now very much to his taste, he went on eating greedily.	true	577.7	587.5	22.503078
6877_79973_000058_000000	At last he reached another kind of salad, which he had hardly tasted when he felt a new change taking place, and found himself back in his human shape.	At last he reached another kind of salad, which he had hardly tasted when he felt a new change taking place, and found himself back in his human shape.	true	588.14	598	19.77694
6877_79973_000059_000000	After this he lay down and slept off his fatigue.	After this he lay down and slept off his fatigue.	true	598.31	602.56	21.92024
6877_79973_000060_000000	When he woke next morning he broke off a head of the bad salad, and a head of the good, and thought: 'These will help me to regain my own, and also to punish the traitors.'	When he woke next morning he broke off a head of the bad salad, and a head of the good, and thought: 'These will help me to regain my own, and also to punish the traitors.'	false	602.69	613.51	21.497776
6877_79973_000061_000000	He put the salad into his wallet, climbed over the wall, and went off to find the castle of his beloved.	He put the salad into his wallet, climbed over the wall, and went off to find the castle of his beloved.	true	614.51	621.37	22.970968
6877_79973_000062_000000	After wandering about for a few days, he was fortunate enough to find it.	After wandering about for a few days, he was fortunate enough to find it.	true	622.4	626.65	22.127111
6877_79973_000062_000001	Then he stained his face, and disguised himself so that his own mother would not have known him, and went to the castle to ask for shelter.	Then he stained his face, and disguised himself so that his own mother would not have known him, and went to the castle to ask for shelter.	false	627.08	636.1	21.961767
6877_79973_000063_000000	'I am so tired,' he said; 'I cannot go any further.'	'I am so tired,' he said; 'I cannot go any further.'	true	636.74	641.95	23.718573
6877_79973_000064_000000	The Witch said: 'Who are you, countryman, and what do you want?'	The Witch said: 'Who are you, countryman, and what do you want?'	true	642.47	647.02	22.835047
6877_79973_000065_000000	He answered: 'I am a messenger from the King.	He answered: 'I am a messenger from the King.	true	647.78	651.7	19.436554
6877_79973_000065_000001	He sent me to find the rarest salad which grows under the sun.	He sent me to find the rarest salad which grows under the sun	true	651.71	656.26	18.821459
6877_79973_000065_000002	I have been lucky enough to find it, and I carry it with me.	I have been lucky enough to find it, and I carry it with me.	true	656.27	659.98	26.059122
6877_79973_000065_000003	But the sun is so burning, that I am afraid the tender plant will be withered, and I don't know if I shall be able to take it any further.'	But the sun is so burning, that I am afraid the tender plant will be withered, and I don't know if I shall be able to take it any further.'	true	660.14	669.28	21.01137
6877_79973_000066_000000	When the Old Witch heard about the rare salad, she felt a great desire to have some, and said: 'Good countryman, let me try the wonderful salad!'	When the Old Witch heard about the rare salad, she felt a great desire to have some, and said: 'Good countryman, let me try the wonderful salad!'	true	669.74	680.26	22.676363
6877_79973_000067_000000	'By all means,' he answered.	'By all means,' he answered.	true	680.39	682.575	18.774832
6877_79973_000067_000001	'I have two heads with me, and you shall have one.' So saying, he opened his sack, and handed her the bad one.	'I have two heads with me, and you shall have one.' So saying, he opened his sack, and handed her the bad one.	true	682.575	689.38	21.356674
6877_79973_000068_000000	The Witch had no suspicions, and her mouth so watered for the new dish, that she went to the kitchen herself to prepare it.	The Witch had no suspicions, and her mouth so watered for the new dish, that she went to the kitchen herself to prepare it.	true	690.35	698.23	23.879244
6877_79973_000069_000000	When it was ready, she could not wait till it was put upon the table, but put a few leaves into her mouth at once.	When it was ready, she could not wait till it was put upon the table, but put a few leaves into her mouth at once.	true	698.87	705.16	23.943394
6877_79973_000070_000000	Hardly had she swallowed them, when she lost her human shape, and ran out into the courtyard, as an old she-ass.	Hardly had she swallowed them, when she lost her human shape, and ran out into the courtyard, as an old she ass.	true	705.59	713.2	20.395758
6877_79973_000071_000000	Then the Maid came into the kitchen, saw the salad standing ready, and was about to put it on the table.	Then the Maid came into the kitchen, saw the salad standing ready, and was about to put it on the table.	true	714.62	721.09	23.719027
6877_79973_000071_000001	But on the way the fancy seized her to taste it, according to her usual habit, and she ate a few leaves.	But on the way the fancy seized her to taste it, according to her usual habit, and she ate a few leaves.	true	721.4	728.47	23.805483
6877_79973_000072_000000	The power of the salad at once became apparent, because she also turned into an ass, and ran out into the yard to join the Old Witch, while the dish of salad fell to the ground.	The power of the salad at once became apparent, because she also turned into an ass, and ran out into the yard to join the Old Witch, while the dish of salad fell to the ground.	true	729.41	741.31	21.814047
6877_79973_000073_000000	In the meantime the messenger was sitting with the beautiful Maiden, and as no one appeared with the salad, she also was seized with a desire to taste it, and said: 'I don't know what has become of the salad.'	In the meantime the messenger was sitting with the beautiful Maiden, and as no one appeared with the salad, she also was seized with a desire to taste it, and said: 'I don't know what has become of the salad.'	true	742.7	756.1	20.9823
6877_79973_000074_000000	But the Huntsman thought: 'The plant must have done its work,' and said: 'I will go into the kitchen and see.'	But the Huntsman thought: 'The plant must have done its work,' and said: 'I will go into the kitchen and see.'	true	756.74	763.78	22.070215
6877_79973_000075_000000	As soon as he got downstairs he saw the two asses running about, and the salad lying on the ground.	As soon as he got downstairs he saw the two asses running about, and the salad lying on the ground.	true	764.36	771.04	19
6877_79973_000076_000000	'This is all right!' he said; 'two of them are done for.'	'This is all right!' he said; 'two of them are done for.'	true	771.89	775.84	24.044909
6877_79973_000077_000000	Then he picked up the leaves, put them on a dish, and took them to the Maiden.	Then he picked up the leaves, put them on a dish, and took them to the Maiden.	true	777.14	781.57	22.69113
6877_79973_000078_000000	'I am bringing the precious food to you myself,' said he, 'so that you may not have to wait any longer.'	'I am bringing the precious food to you myself,' said he, 'so that you may not have to wait any longer.'	true	782.48	789.85	22.10917
6877_79973_000079_000000	She ate some, and, like the others, was immediately changed into an ass, and ran out to them in the yard.	She ate some, and, like the others, was immediately changed into an ass, and ran out to them in the yard.	true	790.16	797.85	21.412712
6877_79973_000080_000000	[Illustration: He tied them all together and drove them along till he came to a mill.]	[Illustration: He tied them all together and drove them along till he came to a mill.]	false	797.85	799.02	-20
6877_79973_000081_000000	When the Huntsman had washed his face so that the transformed creatures might know him, he went into the courtyard, and said: 'Now, you shall be paid for your treachery.'	When the Huntsman had washed his face so that the transformed creatures might know him, he went into the courtyard, and said: 'Now, you shall be paid for your treachery.'	true	799.02	809.59	22.256855
6877_79973_000082_000000	He tied them all together with a rope, and drove them along till he came to a mill.	He tied them all together with a rope, and drove them along till he came to a mill.	true	810.41	815.68	24.189285
6877_79973_000082_000001	He tapped at the window, and the Miller put his head out and asked what he wanted.	He tapped at the window, and the Miller put his head out and asked what he wanted.	true	815.99	820.81	23.051062
6877_79973_000083_000000	'I have three bad animals here,' he said, 'that I want to get rid of. If you will take them and feed them, and treat them as I wish, I will pay you what you like to ask.'	'I have three bad animals here,' he said, 'that I want to get rid of. If you will take them and feed them, and treat them as I wish, I will pay you what you like to ask.'	true	821.36	832.21	22.494831
6877_79973_000084_000000	'Why not?' said the Miller.	'Why not?' said the Miller.	true	832.7	834.43	21.777308
6877_79973_000084_000001	'How do you want them treated?'	'How do you want them treated?'	true	834.53	836.32	25.806562
6877_79973_000085_000000	The Huntsman said he wanted the old she-ass (the Witch) to be well beaten three times a day and fed once.	The Huntsman said he wanted the old she ass (the Witch) to be well beaten three times a day and fed once.	true	836.81	844.09	21
6877_79973_000085_000001	The younger one, which was the Maid, beaten once and fed three times.	The younger one, which was the Maid, beaten once and fed three times.	true	844.43	849.07	20.47227
6877_79973_000085_000002	The youngest of all, who was the beautiful Maiden, was to be fed three times, and not beaten at all; he could not find it in his heart to have her beaten.	The youngest of all, who was the beautiful Maiden, was to be fed three times, and not beaten at all; he could not find it in his heart to have her beaten.	true	849.47	858.52	22.696104
6877_79973_000086_000000	Then he went back to the castle and found everything he wanted in it.	Then he went back to the castle and found everything he wanted in it.	true	859.43	863.71	21.707493
6877_79973_000087_000000	A few days later the Miller came and told him that the old ass which was to be beaten three times and fed once, was dead.	A few days later the Miller came and told him that the old ass which was to be beaten three times and fed once, was dead.	true	864.26	872.11	20
6877_79973_000087_000001	'The other two,' he said, 'which are to be fed three times, are not dead, but they are pining away, and won't last long.'	'The other two,' he said, 'which are to be fed three times, are not dead, but they are pining away, and won't last long.'	true	872.63	880.84	23.316046
6877_79973_000088_000000	The Huntsman's heart was stirred with pity, and he told the Miller to bring them back to him.	The Huntsman's heart was stirred with pity, and he told the Miller to bring them back to him.	false	881.54	888.54	22.68869
6877_79973_000089_000000	When they came he gave them some of the other salad to eat, so that they took their human shapes again.	When they came he gave them some of the other salad to eat, so that they took their human shapes again.	true	888.54	894.97	23.290478
6877_79973_000090_000000	The beautiful Maiden fell on her knees before him, and said: 'O my beloved, forgive me all the wrong I have done you.	The beautiful Maiden fell on her knees before him, and said: 'O my beloved, forgive me all the wrong I have done you.	false	895.37	903.16	21.771423
6877_79973_000090_000001	My mother forced me to do it.	My mother forced me to do it.	true	903.29	905.445	20.83462
6877_79973_000090_000002	It was against my own will, for I love you dearly.	It was against my own will, for I love you dearly.	true	905.445	909.16	22.364967
6877_79973_000090_000003	Your wishing-cloak is hanging in the cupboard, and you shall have the bird's heart back too.'	Your wishing cloak is hanging in the cupboard, and you shall have the bird's heart back too.'	true	909.32	914.77	18.740425
6877_79973_000091_000000	But he said: 'Keep it; it will be all the same, as I will take you to be my own true wife.'	But he said: 'Keep it; it will be all the same, as I will take you to be my own true wife.'	true	915.2	922.15	21.909582
6877_79973_000092_000000	Their marriage was soon after celebrated, and they lived happily together till they died.	Their marriage was soon after celebrated, and they lived happily together till they died.	false	922.73	937.53	21.667742
