6877_79973_000003_000001	Pray give me an alms.'	Pray give me an alms.'
6877_79973_000035_000000	So she obeyed the Witch's orders, placed herself at the window, and looked sadly out at the distant hills.	So she obeyed the Witch's orders, placed herself at the window, and looked sadly out at the distant hills.
6877_79973_000037_000000	'Alas! my love,' was her answer, 'over there are the garnet mountains, where the precious stones are found.	'Alas! my love,' was her answer, 'over there are the garnet mountains, where the precious stones are found.
6877_79973_000037_000001	I long for them so much that I grow sad whenever I think of them.	I long for them so much that I grow sad whenever I think of them.
6877_79973_000037_000002	But who could ever get them?	But who could ever get them?
6877_79973_000037_000003	The birds which fly, perhaps; no mortal could ever reach them.'	The birds which fly, perhaps; no mortal could ever reach them.'
6877_79973_000038_000000	'If that is all your trouble,' said the Huntsman, 'I can soon lift that load from your heart.'	'If that is all your trouble,' said the Huntsman, 'I can soon lift that load from your heart.'
6877_79973_000039_000000	Then he drew her under his cloak, and in a moment they were both sitting on the mountain.	Then he drew her under his cloak, and in a moment they were both sitting on the mountain.
6877_79973_000039_000001	The precious stones were glittering around them; their hearts rejoiced at the sight of them, and they soon gathered together some of the finest and largest.	The precious stones were glittering around them; their hearts rejoiced at the sight of them, and they soon gathered together some of the finest and largest.
6877_79973_000042_000000	So they sat down, and he laid his head on her lap and was soon fast asleep.	So they sat down, and he laid his head on her lap and was soon fast asleep.
6877_79973_000043_000000	As soon as he was asleep, the Maiden slipped the cloak from his shoulders and put it on her own, loaded herself with the precious garnets, and wished herself at home.	As soon as he was asleep, the Maiden slipped the cloak from his shoulders and put it on her own, loaded herself with the precious garnets, and wished herself at home.
6877_79973_000047_000000	He quickly lay down again and pretended to be fast asleep.	He quickly lay down again and pretended to be fast asleep.
6877_79973_000048_000000	The first one, as he came along, stumbled against him, and said: 'What kind of earthworm is this?'	The first one, as he came along, stumbled against him, and said: 'What kind of earthworm is this?'
6877_79973_000049_000000	The second said: 'Tread on him and kill him.'	The second said: 'Tread on him and kill him.'
6877_79973_000050_000000	But the third said: 'It isn't worth the trouble.	But the third said: 'It isn't worth the trouble.
6877_79973_000051_000000	Then they passed on, and as soon as they were gone, the Huntsman, who had heard all they said, got up and climbed up to the top of the mountain.	Then they passed on, and as soon as they were gone, the Huntsman, who had heard all they said, got up and climbed up to the top of the mountain.
6877_79973_000052_000000	After he had sat there for a time, a cloud floated over him, and carried him away.	After he had sat there for a time, a cloud floated over him, and carried him away.
6877_79973_000053_000000	At first he was swept through the air, but then he was gently lowered and deposited within a large walled garden, upon a soft bed of lettuces and other herbs.	At first he was swept through the air, but then he was gently lowered and deposited within a large walled garden, upon a soft bed of lettuces and other herbs.
6877_79973_000054_000000	He looked around him and said: 'If only I had something to eat; I am so hungry.	He looked around him and said: 'If only I had something to eat; I am so hungry.
6877_79973_000054_000001	And it will be difficult to get away from here.	And it will be difficult to get away from here.
6877_79973_000054_000002	I see neither apples nor pears, nor any other fruit, nothing but salad and herbs.'	I see neither apples nor pears, nor any other fruit, nothing but salad and herbs.'
6877_79973_000056_000000	He picked out a fine head of lettuce, and began eating it.	He picked out a fine head of lettuce, and began eating it.
6877_79973_000056_000001	But he had hardly swallowed a little piece, when he began to feel very odd, and quite changed.	But he had hardly swallowed a little piece, when he began to feel very odd, and quite changed.
6877_79973_000056_000002	He felt four legs growing, a big head, and two long ears, and he saw to his horror that he was changed into an ass.	He felt four legs growing, a big head, and two long ears, and he saw to his horror that he was changed into an ass.
6877_79973_000057_000000	As he at the same time felt as hungry as ever, and the juicy salad was now very much to his taste, he went on eating greedily.	As he at the same time felt as hungry as ever, and the juicy salad was now very much to his taste, he went on eating greedily.
6877_79973_000059_000000	After this he lay down and slept off his fatigue.	After this he lay down and slept off his fatigue.
6877_79973_000061_000000	He put the salad into his wallet, climbed over the wall, and went off to find the castle of his beloved.	He put the salad into his wallet, climbed over the wall, and went off to find the castle of his beloved.
6877_79973_000062_000000	After wandering about for a few days, he was fortunate enough to find it.	After wandering about for a few days, he was fortunate enough to find it.
6877_79973_000063_000000	'I am so tired,' he said; 'I cannot go any further.'	'I am so tired,' he said; 'I cannot go any further.'
6877_79973_000064_000000	The Witch said: 'Who are you, countryman, and what do you want?'	The Witch said: 'Who are you, countryman, and what do you want?'
6877_79973_000065_000002	I have been lucky enough to find it, and I carry it with me.	I have been lucky enough to find it, and I carry it with me.
6877_79973_000065_000003	But the sun is so burning, that I am afraid the tender plant will be withered, and I don't know if I shall be able to take it any further.'	But the sun is so burning, that I am afraid the tender plant will be withered, and I don't know if I shall be able to take it any further.'
6877_79973_000066_000000	When the Old Witch heard about the rare salad, she felt a great desire to have some, and said: 'Good countryman, let me try the wonderful salad!'	When the Old Witch heard about the rare salad, she felt a great desire to have some, and said: 'Good countryman, let me try the wonderful salad!'
6877_79973_000067_000001	'I have two heads with me, and you shall have one.' So saying, he opened his sack, and handed her the bad one.	'I have two heads with me, and you shall have one.' So saying, he opened his sack, and handed her the bad one.
6877_79973_000068_000000	The Witch had no suspicions, and her mouth so watered for the new dish, that she went to the kitchen herself to prepare it.	The Witch had no suspicions, and her mouth so watered for the new dish, that she went to the kitchen herself to prepare it.
6877_79973_000069_000000	When it was ready, she could not wait till it was put upon the table, but put a few leaves into her mouth at once.	When it was ready, she could not wait till it was put upon the table, but put a few leaves into her mouth at once.
6877_79973_000070_000000	Hardly had she swallowed them, when she lost her human shape, and ran out into the courtyard, as an old she-ass.	Hardly had she swallowed them, when she lost her human shape, and ran out into the courtyard, as an old she ass.
6877_79973_000071_000000	Then the Maid came into the kitchen, saw the salad standing ready, and was about to put it on the table.	Then the Maid came into the kitchen, saw the salad standing ready, and was about to put it on the table.
6877_79973_000071_000001	But on the way the fancy seized her to taste it, according to her usual habit, and she ate a few leaves.	But on the way the fancy seized her to taste it, according to her usual habit, and she ate a few leaves.
6877_79973_000072_000000	The power of the salad at once became apparent, because she also turned into an ass, and ran out into the yard to join the Old Witch, while the dish of salad fell to the ground.	The power of the salad at once became apparent, because she also turned into an ass, and ran out into the yard to join the Old Witch, while the dish of salad fell to the ground.
6877_79973_000073_000000	In the meantime the messenger was sitting with the beautiful Maiden, and as no one appeared with the salad, she also was seized with a desire to taste it, and said: 'I don't know what has become of the salad.'	In the meantime the messenger was sitting with the beautiful Maiden, and as no one appeared with the salad, she also was seized with a desire to taste it, and said: 'I don't know what has become of the salad.'
6877_79973_000074_000000	But the Huntsman thought: 'The plant must have done its work,' and said: 'I will go into the kitchen and see.'	But the Huntsman thought: 'The plant must have done its work,' and said: 'I will go into the kitchen and see.'
6877_79973_000076_000000	'This is all right!' he said; 'two of them are done for.'	'This is all right!' he said; 'two of them are done for.'
6877_79973_000077_000000	Then he picked up the leaves, put them on a dish, and took them to the Maiden.	Then he picked up the leaves, put them on a dish, and took them to the Maiden.
6877_79973_000078_000000	'I am bringing the precious food to you myself,' said he, 'so that you may not have to wait any longer.'	'I am bringing the precious food to you myself,' said he, 'so that you may not have to wait any longer.'
6877_79973_000079_000000	She ate some, and, like the others, was immediately changed into an ass, and ran out to them in the yard.	She ate some, and, like the others, was immediately changed into an ass, and ran out to them in the yard.
6877_79973_000081_000000	When the Huntsman had washed his face so that the transformed creatures might know him, he went into the courtyard, and said: 'Now, you shall be paid for your treachery.'	When the Huntsman had washed his face so that the transformed creatures might know him, he went into the courtyard, and said: 'Now, you shall be paid for your treachery.'
6877_79973_000082_000000	He tied them all together with a rope, and drove them along till he came to a mill.	He tied them all together with a rope, and drove them along till he came to a mill.
6877_79973_000082_000001	He tapped at the window, and the Miller put his head out and asked what he wanted.	He tapped at the window, and the Miller put his head out and asked what he wanted.
6877_79973_000083_000000	'I have three bad animals here,' he said, 'that I want to get rid of. If you will take them and feed them, and treat them as I wish, I will pay you what you like to ask.'	'I have three bad animals here,' he said, 'that I want to get rid of. If you will take them and feed them, and treat them as I wish, I will pay you what you like to ask.'
6877_79973_000084_000000	'Why not?' said the Miller.	'Why not?' said the Miller.
6877_79973_000084_000001	'How do you want them treated?'	'How do you want them treated?'
6877_79973_000085_000000	The Huntsman said he wanted the old she-ass (the Witch) to be well beaten three times a day and fed once.	The Huntsman said he wanted the old she ass (the Witch) to be well beaten three times a day and fed once.
6877_79973_000085_000001	The younger one, which was the Maid, beaten once and fed three times.	The younger one, which was the Maid, beaten once and fed three times.
6877_79973_000085_000002	The youngest of all, who was the beautiful Maiden, was to be fed three times, and not beaten at all; he could not find it in his heart to have her beaten.	The youngest of all, who was the beautiful Maiden, was to be fed three times, and not beaten at all; he could not find it in his heart to have her beaten.
6877_79973_000086_000000	Then he went back to the castle and found everything he wanted in it.	Then he went back to the castle and found everything he wanted in it.
6877_79973_000087_000000	A few days later the Miller came and told him that the old ass which was to be beaten three times and fed once, was dead.	A few days later the Miller came and told him that the old ass which was to be beaten three times and fed once, was dead.
6877_79973_000087_000001	'The other two,' he said, 'which are to be fed three times, are not dead, but they are pining away, and won't last long.'	'The other two,' he said, 'which are to be fed three times, are not dead, but they are pining away, and won't last long.'
6877_79973_000089_000000	When they came he gave them some of the other salad to eat, so that they took their human shapes again.	When they came he gave them some of the other salad to eat, so that they took their human shapes again.
6877_79973_000090_000001	My mother forced me to do it.	My mother forced me to do it.
6877_79973_000090_000002	It was against my own will, for I love you dearly.	It was against my own will, for I love you dearly.
6877_79973_000091_000000	But he said: 'Keep it; it will be all the same, as I will take you to be my own true wife.'	But he said: 'Keep it; it will be all the same, as I will take you to be my own true wife.'
