6904_262291_000002_000000	CHAPTER XXVI.	CHAPTER twenty six.
6904_262291_000047_000000	"Oh, dear!	"Oh, dear!
6904_262291_000047_000002	"It would be quite a dangerous thing, you know, for my Roland to be in the same office."	"It would be quite a dangerous thing, you know, for my Roland to be in the same office."
6904_262291_000048_000000	"Be at ease, Lady Augusta," returned Constance, with a tinge of irony she could not wholly suppress.	"Be at ease, Lady Augusta," returned Constance, with a tinge of irony she could not wholly suppress.
6904_262291_000048_000001	"Your son will incur no harm from the companionship of Arthur."	"Your son will incur no harm from the companionship of Arthur."
6904_262291_000049_000000	"What does Hamish say?--handsome Hamish!	"What does Hamish say?--handsome Hamish!
6904_262291_000049_000001	He does not deserve that such a blow should come to him."	He does not deserve that such a blow should come to him."
6904_262291_000050_000000	Constance felt her colour deepen.	Constance felt her colour deepen.
6904_262291_000050_000001	She bent her face over the exercise she was correcting.	She bent her face over the exercise she was correcting.
6904_262291_000051_000000	"Is he likely to be cleared of the charge?" perseveringly resumed Lady Augusta.	"Is he likely to be cleared of the charge?" perseveringly resumed Lady Augusta.
6904_262291_000052_000000	"Not by actual proof, I fear," answered Constance, pressing her hand upon her brow as she remembered that he could only be proved innocent by another's being proved guilty.	"Not by actual proof, I fear," answered Constance, pressing her hand upon her brow as she remembered that he could only be proved innocent by another's being proved guilty.
6904_262291_000052_000001	"The note seems to have been lost in so very mysterious a manner, that positive proof of his innocence will be difficult."	"The note seems to have been lost in so very mysterious a manner, that positive proof of his innocence will be difficult."
6904_262291_000053_000000	"Well, it is a dreadful thing!" concluded Lady Augusta.	"Well, it is a dreadful thing!" concluded Lady Augusta.
6904_262291_000054_000000	Meanwhile, at the very moment her ladyship was speaking, the magistrates were in the town-hall in full conclave--the case before them.	Meanwhile, at the very moment her ladyship was speaking, the magistrates were in the town hall in full conclave-the case before them.
6904_262291_000054_000001	The news had spread--had excited interest far and wide; the bench was crowded, and the court was one dense sea of heads.	The news had spread-had excited interest far and wide; the bench was crowded, and the court was one dense sea of heads.
6904_262291_000055_000000	Arthur appeared, escorted by his brother Hamish and by Roland Yorke. Roland was in high feather, throwing his haughty glances everywhere, for he had an inkling of what was to be the termination of the affair, and did not conceal his triumph.	Arthur appeared, escorted by his brother Hamish and by Roland Yorke. Roland was in high feather, throwing his haughty glances everywhere, for he had an inkling of what was to be the termination of the affair, and did not conceal his triumph.
6904_262291_000055_000001	Mr. Galloway also was of their party.	mr Galloway also was of their party.
6904_262291_000056_000000	Mr. Galloway was the first witness put forth by Mr. Butterby.	mr Galloway was the first witness put forth by mr Butterby.
6904_262291_000056_000001	The latter gentleman was in high feather also, believing he saw his way clear to a triumphant conviction.	The latter gentleman was in high feather also, believing he saw his way clear to a triumphant conviction.
6904_262291_000056_000002	Mr. Galloway was questioned; and for some minutes it all went on swimmingly.	mr Galloway was questioned; and for some minutes it all went on swimmingly.
6904_262291_000057_000000	"On the afternoon of the loss, before you closed your letter, who were in your office?"	"On the afternoon of the loss, before you closed your letter, who were in your office?"
6904_262291_000058_000000	"My clerks--Roland Yorke and Arthur Channing."	"My clerks-Roland Yorke and Arthur Channing."
6904_262291_000059_000000	"They saw the letter, I believe?"	"They saw the letter, I believe?"
6904_262291_000060_000000	"They did."	"They did."
6904_262291_000061_000000	"And the bank-note?"	"And the bank note?"
6904_262291_000062_000000	"Most probably."	"Most probably."
6904_262291_000063_000000	"It was the prisoner, Arthur Channing, who fetched the bank-note from your private room to the other?	"It was the prisoner, Arthur Channing, who fetched the bank note from your private room to the other?
6904_262291_000063_000001	Did he see you put it into the letter?"	Did he see you put it into the letter?"
6904_262291_000064_000000	"I cannot say."	"I cannot say."
6904_262291_000065_000000	A halt.	A halt.
6904_262291_000065_000001	"But he was in full possession of his eyes just then?"	"But he was in full possession of his eyes just then?"
6904_262291_000066_000000	"No doubt he was."	"No doubt he was."
6904_262291_000067_000000	"Then what should hinder his seeing you put the note into the letter?"	"Then what should hinder his seeing you put the note into the letter?"
6904_262291_000068_000000	"I will not swear that I put the note into the letter."	"I will not swear that I put the note into the letter."
6904_262291_000069_000000	The magistrates pricked up their ears.	The magistrates pricked up their ears.
6904_262291_000069_000001	Mr. Butterby pricked up his, and looked at the witness.	mr Butterby pricked up his, and looked at the witness.
6904_262291_000070_000000	"What do you say?"	"What do you say?"
6904_262291_000071_000000	"I will not swear that I put the bank-note inside the letter," deliberately repeated Mr. Galloway.	"I will not swear that I put the bank note inside the letter," deliberately repeated mr Galloway.
6904_262291_000072_000000	"Not swear that you put the bank-note into the letter?	"Not swear that you put the bank note into the letter?
6904_262291_000072_000001	What is it that you mean?"	What is it that you mean?"
6904_262291_000073_000000	"The meaning is plain enough," replied Mr. Galloway, calmly.	"The meaning is plain enough," replied mr Galloway, calmly.
6904_262291_000073_000001	"Must I repeat it for the third time?	"Must I repeat it for the third time?
6904_262291_000073_000002	I will not swear that I put the note into the letter."	I will not swear that I put the note into the letter."
6904_262291_000075_000000	"I will not swear it," reiterated the witness.	"I will not swear it," reiterated the witness.
6904_262291_000078_000000	"I have been checkmated," ejaculated the angry Butterby.	"I have been checkmated," ejaculated the angry Butterby.
6904_262291_000080_000000	"Who said our office was going to be put down for a thief's!" uttered Roland.	"Who said our office was going to be put down for a thief's!" uttered Roland.
6904_262291_000080_000001	"Old Galloway's a trump!	"Old Galloway's a trump!
6904_262291_000080_000002	Here's your place, Arthur."	Here's your place, Arthur."
6904_262291_000081_000000	Arthur did not take it.	Arthur did not take it.
6904_262291_000081_000001	He had seen from the window the approach of Mr. Galloway, and delicacy prevented his assuming his old post until bade to do so.	He had seen from the window the approach of mr Galloway, and delicacy prevented his assuming his old post until bade to do so.
6904_262291_000081_000002	Mr. Galloway came in, and motioned him into his own room.	mr Galloway came in, and motioned him into his own room.
6904_262291_000082_000000	"Arthur Channing," he said, "I have acted leniently in this unpleasant matter, for your father's sake; but, from my very heart, I believe you to be guilty."	"Arthur Channing," he said, "I have acted leniently in this unpleasant matter, for your father's sake; but, from my very heart, I believe you to be guilty."
6904_262291_000083_000000	"I thank you, sir," Arthur said, "for that and all other kindness.	"I thank you, sir," Arthur said, "for that and all other kindness.
6904_262291_000083_000001	I am not as guilty as you think me.	I am not as guilty as you think me.
6904_262291_000083_000002	Do you wish me to leave?"	Do you wish me to leave?"
6904_262291_000084_000000	"If you can give me no better assurance of your innocence--if you can give me no explanation of the peculiar and most unsatisfactory manner in which you have met the charge--yes.	"If you can give me no better assurance of your innocence-if you can give me no explanation of the peculiar and most unsatisfactory manner in which you have met the charge-yes.
6904_262291_000085_000000	To give this explanation was impossible; neither dared Arthur assert more emphatically his innocence.	To give this explanation was impossible; neither dared Arthur assert more emphatically his innocence.
6904_262291_000085_000001	Once convince Mr. Galloway that he was not the guilty party, and that gentleman would forthwith issue fresh instructions to Butterby for the further investigation of the affair: of this Arthur felt convinced.	Once convince mr Galloway that he was not the guilty party, and that gentleman would forthwith issue fresh instructions to Butterby for the further investigation of the affair: of this Arthur felt convinced.
6904_262291_000085_000002	He could only be silent and remain under the stigma.	He could only be silent and remain under the stigma.
6904_262291_000086_000000	"Then--I had better--you would wish me, perhaps--to go at once?" hesitated Arthur.	"Then-I had better-you would wish me, perhaps-to go at once?" hesitated Arthur.
6904_262291_000087_000000	"Yes," shortly replied Mr. Galloway.	"Yes," shortly replied mr Galloway.
6904_262291_000088_000000	He spoke a word of farewell, which Mr. Galloway replied to by a nod, and went into the front office.	He spoke a word of farewell, which mr Galloway replied to by a nod, and went into the front office.
6904_262291_000088_000001	There he began to collect together certain trifles that belonged to him.	There he began to collect together certain trifles that belonged to him.
6904_262291_000089_000000	"What's that for?" asked Roland Yorke.	"What's that for?" asked Roland Yorke.
6904_262291_000091_000000	"Going!" roared Roland, jumping to his feet, and dashing down his pen full of ink, with little regard to the deed he was copying.	"Going!" roared Roland, jumping to his feet, and dashing down his pen full of ink, with little regard to the deed he was copying.
6904_262291_000091_000001	"Galloway has never turned you off!"	"Galloway has never turned you off!"
6904_262291_000092_000000	"Yes, he has."	"Yes, he has."
6904_262291_000093_000000	"Then I'll go too!" thundered Roland, who, truth to say, had flown into an uncontrollable passion, startling Jenkins and arousing Mr. Galloway. "I'll not stop in a place where that sort of injustice goes on!	"Then I'll go too!" thundered Roland, who, truth to say, had flown into an uncontrollable passion, startling Jenkins and arousing mr Galloway. "I'll not stop in a place where that sort of injustice goes on!
6904_262291_000093_000001	He'll be turning me out next!	He'll be turning me out next!
6904_262291_000093_000002	Catch me stopping for it!"	Catch me stopping for it!"
6904_262291_000094_000000	"Are you taken crazy, Mr. Roland Yorke?"	"Are you taken crazy, mr Roland Yorke?"
6904_262291_000095_000000	The question proceeded from his master, who came forth to make it. Roland turned to him, his temper unsubdued, and his colour rising.	The question proceeded from his master, who came forth to make it. Roland turned to him, his temper unsubdued, and his colour rising.
6904_262291_000096_000000	"Channing never took the money, sir!	"Channing never took the money, sir!
6904_262291_000096_000001	It is not just to turn him away."	It is not just to turn him away."
6904_262291_000097_000000	"Did you help him to take it, pray, that you identify yourself with the affair so persistently and violently?" demanded Mr. Galloway, in a cynical tone.	"Did you help him to take it, pray, that you identify yourself with the affair so persistently and violently?" demanded mr Galloway, in a cynical tone.
6904_262291_000097_000001	And Roland answered with a hot and haughty word.	And Roland answered with a hot and haughty word.
6904_262291_000098_000000	"If you cannot attend to your business a little better, you will get your dismissal from me; you won't require to dismiss yourself," said Mr. Galloway.	"If you cannot attend to your business a little better, you will get your dismissal from me; you won't require to dismiss yourself," said mr Galloway.
6904_262291_000098_000001	"Sit down, sir, and go on with your work."	"Sit down, sir, and go on with your work."
6904_262291_000099_000000	"And that's all the thanks a fellow gets for taking up a cause of oppression!" muttered Mr. Roland Yorke, as he sullenly resumed his place at the desk.	"And that's all the thanks a fellow gets for taking up a cause of oppression!" muttered mr Roland Yorke, as he sullenly resumed his place at the desk.
