1018_133447_000000_000000	This is a LibriVox recording.	This is a LibriVox recording.
1018_133447_000025_000003	I dislike him intensely--I can't tell why, but it's there, and nothing could ever alter the feeling. And though I told him--before--that it was useless--he mentioned it again--yesterday--at Mrs. Folliot's garden-party."	I dislike him intensely-I can't tell why, but it's there, and nothing could ever alter the feeling. And though I told him-before-that it was useless-he mentioned it again-yesterday-at mrs Folliot's garden party."
1018_133447_000026_000000	"Confound his impudence!" growled Ransford.	"Confound his impudence!" growled Ransford.
1018_133447_000026_000002	It's useless trifling with anything like that.	It's useless trifling with anything like that.
1018_133447_000026_000003	I gave him a quiet hint before.	I gave him a quiet hint before.
1018_133447_000026_000004	And since he won't take it--all right!"	And since he won't take it-all right!"
1018_133447_000027_000000	"But--what shall you do?" she asked anxiously.	"But-what shall you do?" she asked anxiously.
1018_133447_000027_000001	"Not--send him away?"	"Not-send him away?"
1018_133447_000028_000001	"Don't you trouble yourself about it--I'm not at all keen about him.	"Don't you trouble yourself about it-I'm not at all keen about him.
1018_133447_000028_000002	He's a clever enough fellow, and a good assistant, but I don't like him, personally--never did."	He's a clever enough fellow, and a good assistant, but I don't like him, personally-never did."
1018_133447_000029_000000	"I don't want to think that anything that I say should lose him his situation--or whatever you call it," she remarked slowly.	"I don't want to think that anything that I say should lose him his situation-or whatever you call it," she remarked slowly.
1018_133447_000029_000001	"That would seem--"	"That would seem-"
1018_133447_000030_000000	"No need to bother," interrupted Ransford.	"No need to bother," interrupted Ransford.
1018_133447_000030_000001	"He'll get another in two minutes--so to speak.	"He'll get another in two minutes-so to speak.
1018_133447_000030_000003	The fellow must be an ass!	The fellow must be an ass!
1018_133447_000030_000004	When I was young--"	When I was young-"
1018_133447_000031_000000	He stopped short at that, and turning away, looked out across the garden as if some recollection had suddenly struck him.	He stopped short at that, and turning away, looked out across the garden as if some recollection had suddenly struck him.
1018_133447_000032_000000	"When you were young--which is, of course, such an awfully long time since!" said the girl, a little teasingly.	"When you were young-which is, of course, such an awfully long time since!" said the girl, a little teasingly.
1018_133447_000032_000001	"What?"	"What?"
1018_133447_000033_000000	"Only that if a woman said No--unmistakably--once, a man took it as final," replied Ransford.	"Only that if a woman said No-unmistakably-once, a man took it as final," replied Ransford.
1018_133447_000033_000001	"At least--so I was always given to believe. Nowadays--"	"At least-so I was always given to believe. Nowadays-"
1018_133447_000034_000000	"You forget that Mr. Pemberton Bryce is what most people would call a very pushing young man," said Mary.	"You forget that mr Pemberton Bryce is what most people would call a very pushing young man," said Mary.
1018_133447_000034_000002	But--if you must speak to him--and I really think you must!--will you tell him that he is not going to get--me?	But-if you must speak to him-and I really think you must!--will you tell him that he is not going to get-me?
1018_133447_000034_000003	Perhaps he'll take it finally from you--as my guardian."	Perhaps he'll take it finally from you-as my guardian."
1018_133447_000035_000000	"I don't know if parents and guardians count for much in these degenerate days," said Ransford.	"I don't know if parents and guardians count for much in these degenerate days," said Ransford.
1018_133447_000035_000001	"But--I won't have him annoying you. And--I suppose it has come to annoyance?"	"But-I won't have him annoying you. And-I suppose it has come to annoyance?"
1018_133447_000036_000001	"It's--irritating!"	"It's-irritating!"
1018_133447_000037_000000	"All right," said Ransford quietly.	"All right," said Ransford quietly.
1018_133447_000037_000001	"I'll speak to him.	"I'll speak to him.
1018_133447_000037_000002	There's going to be no annoyance for you under this roof."	There's going to be no annoyance for you under this roof."
1018_133447_000038_000000	The girl gave him a quick glance, and Ransford turned away from her and picked up his letters.	The girl gave him a quick glance, and Ransford turned away from her and picked up his letters.
1018_133447_000039_000000	"Thank you," she said.	"Thank you," she said.
1018_133447_000039_000001	"But--there's no need to tell me that, because I know it already.	"But-there's no need to tell me that, because I know it already.
1018_133447_000039_000002	Now I wonder if you'll tell me something more?"	Now I wonder if you'll tell me something more?"
1018_133447_000040_000000	Ransford turned back with a sudden apprehension.	Ransford turned back with a sudden apprehension.
1018_133447_000041_000000	"Well?" he asked brusquely.	"Well?" he asked brusquely.
1018_133447_000041_000001	"What?"	"What?"
1018_133447_000042_000000	"When are you going to tell me all about--Dick and myself?" she asked. "You promised that you would, you know, some day.	"When are you going to tell me all about-Dick and myself?" she asked. "You promised that you would, you know, some day.
1018_133447_000042_000001	And--a whole year's gone by since then.	And-a whole year's gone by since then.
1018_133447_000042_000002	And--Dick's seventeen!	And-Dick's seventeen!
1018_133447_000042_000004	Will he, now?"	Will he, now?"
1018_133447_000043_000000	Ransford laid down his letters again, and thrusting his hands in his pockets, squared his shoulders against the mantelpiece.	Ransford laid down his letters again, and thrusting his hands in his pockets, squared his shoulders against the mantelpiece.
1018_133447_000044_000001	"I'm just twenty--do you really think I shall be any wiser in twelve months?	"I'm just twenty-do you really think I shall be any wiser in twelve months?
1018_133447_000044_000002	Of course I shan't!"	Of course I shan't!"
1018_133447_000045_000000	"You don't know that," he replied.	"You don't know that," he replied.
1018_133447_000045_000001	"You may be--a great deal wiser."	"You may be-a great deal wiser."
1018_133447_000046_000000	"But what has that got to do with it?" she persisted.	"But what has that got to do with it?" she persisted.
1018_133447_000047_000000	She was looking at him with a certain amount of demand--and Ransford, who had always known that some moment of this sort must inevitably come, felt that she was not going to be put off with ordinary excuses.	She was looking at him with a certain amount of demand-and Ransford, who had always known that some moment of this sort must inevitably come, felt that she was not going to be put off with ordinary excuses.
1018_133447_000047_000001	He hesitated--and she went on speaking.	He hesitated-and she went on speaking.
1018_133447_000048_000000	"You know," she continued, almost pleadingly.	"You know," she continued, almost pleadingly.
1018_133447_000048_000001	"We don't know anything--at all.	"We don't know anything-at all.
1018_133447_000050_000000	"Once or twice, lately--yes," replied Mary.	"Once or twice, lately-yes," replied Mary.
1018_133447_000050_000001	"It's only natural." She laughed a little--a forced laugh.	"It's only natural." She laughed a little-a forced laugh.
1018_133447_000050_000002	"They say," she went on, "that it doesn't matter, nowadays, if you can't tell who your grandfather was--but, just think, we don't know who our father was--except that his name was John Bewery.	"They say," she went on, "that it doesn't matter, nowadays, if you can't tell who your grandfather was-but, just think, we don't know who our father was-except that his name was john Bewery.
1018_133447_000050_000003	That doesn't convey much."	That doesn't convey much."
1018_133447_000051_000001	"I told you--always have told you--that he was an early friend of mine, a man of business, who, with your mother, died young, and I, as their friend, became guardian to you and Dick.	"I told you-always have told you-that he was an early friend of mine, a man of business, who, with your mother, died young, and I, as their friend, became guardian to you and Dick.
1018_133447_000051_000002	Is--is there anything much more that I could tell?"	Is-is there anything much more that I could tell?"
1018_133447_000052_000000	"There's something I should very much like to know--personally," she answered, after a pause which lasted so long that Ransford began to feel uncomfortable under it.	"There's something I should very much like to know-personally," she answered, after a pause which lasted so long that Ransford began to feel uncomfortable under it.
1018_133447_000052_000001	"Don't be angry--or hurt--if I tell you plainly what it is.	"Don't be angry-or hurt-if I tell you plainly what it is.
1018_133447_000052_000003	It's this--have we been dependent on you?"	It's this-have we been dependent on you?"
1018_133447_000053_000000	Ransford's face flushed and he turned deliberately to the window, and for a moment stood staring out on his garden and the glimpses of the Cathedral.	Ransford's face flushed and he turned deliberately to the window, and for a moment stood staring out on his garden and the glimpses of the Cathedral.
1018_133447_000053_000001	And just as deliberately as he had turned away, he turned back.	And just as deliberately as he had turned away, he turned back.
1018_133447_000054_000000	"No!" he said.	"No!" he said.
1018_133447_000054_000001	"Since you ask me, I'll tell you that.	"Since you ask me, I'll tell you that.
1018_133447_000054_000002	You've both got money--due to you when you're of age.	You've both got money-due to you when you're of age.
1018_133447_000054_000003	It--it's in my hands.	It-it's in my hands.
1018_133447_000054_000004	Not a great lot--but sufficient to--to cover all your expenses. Education--everything.	Not a great lot-but sufficient to-to cover all your expenses. Education-everything.
1018_133447_000054_000006	Perhaps I ought to have told you all that before, but--I didn't think it necessary.	Perhaps I ought to have told you all that before, but-I didn't think it necessary.
1018_133447_000054_000007	I--I dare say I've a tendency to let things slide."	I-I dare say I've a tendency to let things slide."
1018_133447_000055_000000	"You've never let things slide about us," she replied quickly, with a sudden glance which made him turn away again.	"You've never let things slide about us," she replied quickly, with a sudden glance which made him turn away again.
1018_133447_000055_000001	"And I only wanted to know--because I'd got an idea that--well, that we were owing everything to you."	"And I only wanted to know-because I'd got an idea that-well, that we were owing everything to you."
1018_133447_000056_000000	"Not from me!" he exclaimed.	"Not from me!" he exclaimed.
1018_133447_000057_000001	"But--don't you understand? I--wanted to know--something.	"But-don't you understand? I-wanted to know-something.
1018_133447_000057_000002	Thank you.	Thank you.
1018_133447_000057_000003	I won't ask more now."	I won't ask more now."
1018_133447_000058_000000	"I've always meant to tell you--a good deal," remarked Ransford, after another pause.	"I've always meant to tell you-a good deal," remarked Ransford, after another pause.
1018_133447_000058_000001	"You see, I can scarcely--yet--realize that you're both growing up!	"You see, I can scarcely-yet-realize that you're both growing up!
1018_133447_000058_000002	You were at school a year ago.	You were at school a year ago.
1018_133447_000058_000003	And Dick is still very young. Are--are you more satisfied now?" he went on anxiously.	And Dick is still very young. Are-are you more satisfied now?" he went on anxiously.
1018_133447_000058_000004	"If not--"	"If not-"
1018_133447_000059_000000	"I'm quite satisfied," she answered.	"I'm quite satisfied," she answered.
1018_133447_000059_000001	"Perhaps--some day--you'll tell me more about our father and mother?--but never mind even that now.	"Perhaps-some day-you'll tell me more about our father and mother?--but never mind even that now.
1018_133447_000059_000002	You're sure you haven't minded my asking--what I have asked?"	You're sure you haven't minded my asking-what I have asked?"
1018_133447_000060_000000	"Of course not--of course not!" he said hastily.	"Of course not-of course not!" he said hastily.
1018_133447_000060_000002	And--but we'll talk again.	And-but we'll talk again.
1018_133447_000060_000003	I must get into the surgery--and have a word with Bryce, too."	I must get into the surgery-and have a word with Bryce, too."
1018_133447_000061_000001	"Wouldn't that solve the difficulty?"	"Wouldn't that solve the difficulty?"
1018_133447_000062_000000	Ransford shook his head and made no answer.	Ransford shook his head and made no answer.
1018_133447_000062_000002	He was alone there when he had shut the door--and he relieved his feelings with a deep groan.	He was alone there when he had shut the door-and he relieved his feelings with a deep groan.
1018_133447_000063_000000	"Heaven help me if the lad ever insists on the real truth and on having proofs and facts given to him!" he muttered.	"Heaven help me if the lad ever insists on the real truth and on having proofs and facts given to him!" he muttered.
1018_133447_000063_000001	"I shouldn't mind telling her, when she's a bit older--but he wouldn't understand as she would. Anyway, thank God I can keep up the pleasant fiction about the money without her ever knowing that I told her a deliberate lie just now. But--what's in the future?	"I shouldn't mind telling her, when she's a bit older-but he wouldn't understand as she would. Anyway, thank God I can keep up the pleasant fiction about the money without her ever knowing that I told her a deliberate lie just now. But-what's in the future?
1018_133447_000063_000002	Here's one man to be dismissed already, and there'll be others, and one of them will be the favoured man.	Here's one man to be dismissed already, and there'll be others, and one of them will be the favoured man.
1018_133447_000063_000003	That man will have to be told!	That man will have to be told!
1018_133447_000063_000004	And--so will she, then.	And-so will she, then.
1018_133447_000063_000006	She's no idea of it--and she shan't have; I must--must continue to be--only the guardian!"	She's no idea of it-and she shan't have; I must-must continue to be-only the guardian!"
