7665_104979_000000_000000	CHAPTER II.	CHAPTER two.	false	0.6	21.79	19.374865
7665_104979_000006_000001	Gray and forbidding, it towered in its place, a perfect foil to the attractive dwelling whose single step I now amounted with cheerful composure.	Gray and forbidding, it towered in its place, a perfect foil to the attractive dwelling whose single step I now amounted with cheerful composure.	true	201.32	210.4	13
7665_104979_000007_000000	What should I have thought if at that moment I had been told that appearances were deceitful, and that there were many persons then living who, if left to their choice, would prefer life in the dismal walls from which I had instinctively turned, to a single night spent in the promising house I was so eager to enter.	What should I have thought if at that moment I had been told that appearances were deceitful, and that there were many persons then living who, if left to their choice, would prefer life in the dismal walls from which I had instinctively turned, to a single night spent in the promising house I was so eager to enter.	false	211.49	228.67	12
7665_104979_000008_000000	An old serving-man, with a countenance which struck me pleasantly enough at the time, opened the door in response to my ring, only to make instant way for Mayor Packard, who advanced from some near-by room to greet me.	An old serving man, with a countenance which struck me pleasantly enough at the time, opened the door in response to my ring, only to make instant way for Mayor Packard, who advanced from some near by room to greet me.	true	231.08	243.01	15
7665_104979_000008_000001	By this thoughtful attention I was spared the embarrassment from which I might otherwise have suffered.	By this thoughtful attention I was spared the embarrassment from which I might otherwise have suffered.	true	243.38	248.11	13
7665_104979_000009_000000	His few words of greeting set me entirely at my ease, and I was quite ready to follow him when a moment later he invited me to meet Mrs. Packard.	His few words of greeting set me entirely at my ease, and I was quite ready to follow him when a moment later he invited me to meet mrs Packard.	false	248.6	257.23	14
7665_104979_000010_000000	"I can not promise you just the reception you naturally look for," said he, as he led me around the stairs toward an opening at their rear, "but she's a kind woman and can not but be struck with your own kind spirit and quiet manner."	"I can not promise you just the reception you naturally look for," said he, as he led me around the stairs toward an opening at their rear, "but she's a kind woman and can not but be struck with your own kind spirit and quiet manner."	false	257.69	271.57	16
7665_104979_000011_000000	Happily, I was not called upon to answer, for at that moment the door swung open and he ushered me into a room flooded brilliantly with the last rays of the setting sun.	Happily, I was not called upon to answer, for at that moment the door swung open and he ushered me into a room flooded brilliantly with the last rays of the setting sun	true	272.57	281.98	15
7665_104979_000011_000001	The woman who sat in its glow made an instant and permanent impression upon me.	The woman who sat in its glow made an instant and permanent impression upon me.	false	282.56	286.96	16
7665_104979_000011_000002	No one could look intently upon her without feeling that here was a woman of individuality and power, overshadowed at present by the deepest melancholy.	No one could look intently upon her without feeling that here was a woman of individuality and power, overshadowed at present by the deepest melancholy.	true	287.69	296.62	15
7665_104979_000011_000003	As she rose and faced us I decided instantly that her husband had not exaggerated her state of mind.	As she rose and faced us I decided instantly that her husband had not exaggerated her state of mind.	true	297.29	303.55	15
7665_104979_000011_000004	Emotion of no ordinary nature disturbed the lines of her countenance and robbed her naturally fine figure of a goodly portion of its dignity and grace; and though she immediately controlled herself and assumed the imposing aspect of a highly trained woman, ready, if not eager, to welcome an intruding guest, I could not easily forget the drawn look about mouth and eyes which, in the first instant of our meeting, had distorted features naturally harmonious and beautifully serene.	Emotion of no ordinary nature disturbed the lines of her countenance and robbed her naturally fine figure of a goodly portion of its dignity and grace; and though she immediately controlled herself and assumed the imposing aspect of a highly trained woman, ready, if not eager, to welcome an intruding guest, I could not easily forget the drawn look about mouth and eyes which, in the first instant of our meeting, had distorted features naturally harmonious and beautifully serene.	false	304.1	333.1	15
7665_104979_000012_000000	I am sure her husband had observed it also, for his voice trembled slightly as he addressed her.	I am sure her husband had observed it also, for his voice trembled slightly as he addressed her.	true	334.19	339.1	16
7665_104979_000013_000000	"I have brought you a companion, Olympia, one whose business and pleasure it will be to remain with you while I am making speeches a hundred miles away.	"I have brought you a companion, Olympia, one whose business and pleasure it will be to remain with you while I am making speeches a hundred miles away.	false	340.52	348.49	14
7665_104979_000013_000001	Do you not see reason for thanking me?"	Do you not see reason for thanking me?"	false	349.28	351.34	14
7665_104979_000013_000002	This last question he pointed with a glance in my direction, which drew her attention and caused her to give me a kindly look.	This last question he pointed with a glance in my direction, which drew her attention and caused her to give me a kindly look.	false	351.86	358.48	13
7665_104979_000014_000000	I met her eyes fairly.	I met her eyes fairly.	true	359.3	360.66	19
7665_104979_000014_000001	They were large and gray and meant for smiling; eyes that, with a happy heart behind them, would illumine her own beauty and create joy in those upon whom they fell.	They were large and gray and meant for smiling; eyes that, with a happy heart behind them, would illumine her own beauty and create joy in those upon whom they fell.	false	360.66	371.77	16
7665_104979_000014_000002	But to-day, nothing but question lived in their dark and uneasy depths, and it was for me to face that question and give no sign of what the moment was to me.	But to day, nothing but question lived in their dark and uneasy depths, and it was for me to face that question and give no sign of what the moment was to me.	false	372.32	381.7	16
7665_104979_000015_000000	"I think--I am sure, that my thanks are due you," she courteously replied, with a quick turn toward her husband, expressive of confidence, and, as I thought, of love.	"I think-I am sure, that my thanks are due you," she courteously replied, with a quick turn toward her husband, expressive of confidence, and, as I thought, of love.	false	383.03	394.48	16.718786
7665_104979_000015_000001	"I dreaded being left alone."	"I dreaded being left alone."	true	395.06	396.85	16
7665_104979_000016_000000	He drew a deep breath of relief; we both did; then we talked a little, after which Mayor Packard found some excuse for taking me from the room.	He drew a deep breath of relief; we both did; then we talked a little, after which Mayor Packard found some excuse for taking me from the room.	true	397.85	407.29	18
7665_104979_000017_000000	"Now for the few words you requested," said he; and, preceding me down the hall, he led me into what he called his study.	"Now for the few words you requested," said he; and, preceding me down the hall, he led me into what he called his study.	true	408.56	416.14	18.379086
7665_104979_000018_000000	I noted one thing, and only one thing, on entering this place.	I noted one thing, and only one thing, on entering this place.	true	417.2	421.36	18.44256
7665_104979_000018_000001	That was the presence of a young man who sat at a distant table reading and making notes.	That was the presence of a young man who sat at a distant table reading and making notes.	true	421.91	426.97	15
7665_104979_000018_000002	But as Mayor Packard took no notice of him, knowing and expecting him to be there, no doubt, I, with a pardonable confusion, withdrew my eyes from the handsomest face I had ever seen, and, noting that my employer had stopped before a type-writer's table, I took my place at his side, without knowing very well what this move meant or what he expected me to do there.	But as Mayor Packard took no notice of him, knowing and expecting him to be there, no doubt, I, with a pardonable confusion, withdrew my eyes from the handsomest face I had ever seen, and, noting that my employer had stopped before a type writer's table, I took my place at his side, without knowing very well what this move meant or what he expected me to do there.	false	427.46	448.72	16
7665_104979_000019_000000	I was not long left in doubt.	I was not long left in doubt.	true	451.52	454.45	17.750807
7665_104979_000019_000001	With a gesture toward the type-writer, he asked me if I was accustomed to its use; and when I acknowledged some sort of acquaintance with it, he drew an unanswered letter from a pile on the table and requested me to copy it as a sample.	With a gesture toward the type writer, he asked me if I was accustomed to its use; and when I acknowledged some sort of acquaintance with it, he drew an unanswered letter from a pile on the table and requested me to copy it as a sample.	true	454.61	467.55	17
7665_104979_000020_000000	I immediately sat down before the type-writer.	I immediately sat down before the type writer.	false	467.55	470.92	15.529908
7665_104979_000020_000001	I was in something of a maze, but felt that I must follow his lead.	I was in something of a maze, but felt that I must follow his lead.	false	471.14	474.73	16
7665_104979_000020_000002	As I proceeded to insert the paper and lay out the copy to hand, he crossed over to the young man at the other end of the room and began a short conversation which ended in some trivial demand that sent the young man from the room.	As I proceeded to insert the paper and lay out the copy to hand, he crossed over to the young man at the other end of the room and began a short conversation which ended in some trivial demand that sent the young man from the room.	false	474.77	487.39	15
7665_104979_000020_000003	As the door closed behind him Mayor Packard returned to my side.	As the door closed behind him Mayor Packard returned to my side.	true	487.73	491.11	15
7665_104979_000021_000000	"Keep on with your work and never mind mistakes," said he.	"Keep on with your work and never mind mistakes," said he.	true	492.14	495.28	17
7665_104979_000021_000001	"What I want is to hear the questions you told me to expect from you if you stayed."	"What I want is to hear the questions you told me to expect from you if you stayed."	true	495.95	501.01	17
7665_104979_000022_000000	Seemingly Mayor Packard did not wish this young man to know my position in the house.	Seemingly Mayor Packard did not wish this young man to know my position in the house.	true	502.16	506.65	15
7665_104979_000022_000001	Was it possible he did not wholly trust him?	Was it possible he did not wholly trust him?	true	507.14	509.62	14
7665_104979_000022_000002	My hands trembled from the machine and I was about to turn and give my full thought to what I had to say.	My hands trembled from the machine and I was about to turn and give my full thought to what I had to say.	true	509.96	515.97	15
7665_104979_000022_000003	But pride checked the impulse.	But pride checked the impulse.	false	515.97	518.59	15.323414
7665_104979_000022_000004	"No," I muttered in quick dissuasion, to myself.	"No," I muttered in quick dissuasion, to myself.	true	518.78	521.88	15.882207
7665_104979_000022_000005	"He must see that I can do two things at once and do both well." And so I went on with the letter.	"He must see that I can do two things at once and do both well." And so I went on with the letter.	false	521.88	527.83	16
7665_104979_000023_000000	"When," I asked, "did you first see the change in Mrs. Packard?"	"When," I asked, "did you first see the change in mrs Packard?"	true	528.71	532.51	15
7665_104979_000024_000000	"On Tuesday afternoon at about this time."	"On Tuesday afternoon at about this time."	false	533.09	535.63	16
7665_104979_000025_000000	"What had happened on that day?	"What had happened on that day?	true	536.93	538.62	13
7665_104979_000025_000001	Had she been out?"	Had she been out?"	true	538.62	539.59	16
7665_104979_000026_000000	"Yes, I think she told me later that she had been out."	"Yes, I think she told me later that she had been out."	true	539.99	543.46	16
7665_104979_000027_000000	"Do you know where?"	"Do you know where?"	true	544.01	544.96	19
7665_104979_000028_000000	"To some concert, I believe.	"To some concert, I believe.	true	545.42	547.45	17
7665_104979_000028_000001	I did not press her with questions, Miss Saunders; I am a poor inquisitor."	I did not press her with questions, Miss Saunders; I am a poor inquisitor."	true	547.88	551.83	14
7665_104979_000029_000000	Click, click; the machine was working admirably.	Click, click; the machine was working admirably.	true	552.74	555.49	15.169483
7665_104979_000030_000000	"Have you reason to think," I now demanded, "that she brought her unhappiness in with her, when she returned from that concert?"	"Have you reason to think," I now demanded, "that she brought her unhappiness in with her, when she returned from that concert?"	false	556.43	563.59	16
7665_104979_000031_000000	"No; for when I returned home myself, as I did earlier than usual that night, I heard her laughing with the child in the nursery.	"No; for when I returned home myself, as I did earlier than usual that night, I heard her laughing with the child in the nursery.	true	563.93	571.72	17
7665_104979_000031_000001	It was afterward, some few minutes afterward, that I came upon her sitting in such a daze of misery, that she did not recognize me when I spoke to her.	It was afterward, some few minutes afterward, that I came upon her sitting in such a daze of misery, that she did not recognize me when I spoke to her.	false	572.18	581.2	16
7665_104979_000031_000002	I thought it was a passing mood at the time; she is a sensitive woman and she had been reading--I saw the book lying on the floor at her side; but when, having recovered from her dejection--a dejection, mind you, which she would neither acknowledge nor explain--she accompanied me out to dinner, she showed even more feeling on our return, shrinking unaccountably from leaving the carriage and showing, not only in this way but in others, a very evident distaste to reenter her own house. Now, whatever hold I still retain upon her is of so slight a nature that I am afraid every day she will leave me."	I thought it was a passing mood at the time; she is a sensitive woman and she had been reading-I saw the book lying on the floor at her side; but when, having recovered from her dejection-a dejection, mind you, which she would neither acknowledge nor explain-she accompanied me out to dinner, she showed even more feeling on our return, shrinking unaccountably from leaving the carriage and showing, not only in this way but in others, a very evident distaste to reenter her own house. Now, whatever hold I still retain upon her is of so slight a nature that I am afraid every day she will leave me."	false	581.84	619.87	18
7665_104979_000032_000000	"Leave you!"	"Leave you!"	true	620.06	621.01	16.997253
7665_104979_000033_000000	My fingers paused; my astonishment had got the better of me.	My fingers paused; my astonishment had got the better of me.	true	621.35	624.67	15
7665_104979_000034_000000	"Yes; it is as bad as that.	"Yes; it is as bad as that.	true	625.1	627.28	18.936369
7665_104979_000034_000001	I don't know what day you will send me a telegram of three words, 'She has gone.' Yet she loves me, really and truly loves me.	I don't know what day you will send me a telegram of three words, 'She has gone.' Yet she loves me, really and truly loves me.	true	627.83	637.93	17.914047
7665_104979_000034_000002	That is the mystery of it.	That is the mystery of it.	true	639.02	640.69	17
7665_104979_000034_000003	More than this, her very heart-strings are knit up with those of our child."	More than this, her very heart strings are knit up with those of our child."	true	641.09	645.88	16.500534
7665_104979_000035_000000	"Mayor Packard,"--I had resumed work,--"was any letter delivered to her that day?"	"Mayor Packard,"--I had resumed work,--"was any letter delivered to her that day?"	true	646.73	652.63	18.332155
7665_104979_000036_000000	"That I can not say."	"That I can not say."	true	653.63	655.42	18
7665_104979_000037_000000	Fact one for me to establish.	Fact one for me to establish.	true	656.39	658.48	16
7665_104979_000038_000000	"The wives of men like you--men much before the world, men in the thick of strife, social and political--often receive letters of a very threatening character."	"The wives of men like you-men much before the world, men in the thick of strife, social and political-often receive letters of a very threatening character."	true	659.51	670.36	18.401794
7665_104979_000039_000000	"She would have shown me any such, if only to put me on my guard.	"She would have shown me any such, if only to put me on my guard.	true	670.76	674.8	18.262333
7665_104979_000039_000001	She is physically a very brave woman and not at all nervous."	She is physically a very brave woman and not at all nervous."	true	675.05	678.46	16
7665_104979_000040_000000	"Those letters sometimes assume the shape of calumny.	"Those letters sometimes assume the shape of calumny.	true	679.01	682.12	17
7665_104979_000040_000001	Your character may have been attacked."	Your character may have been attacked."	true	682.67	684.94	16
7665_104979_000041_000000	"She believes in my character and would have given me an opportunity to vindicate myself.	"She believes in my character and would have given me an opportunity to vindicate myself.	true	685.55	690.19	18
7665_104979_000041_000001	I have every confidence in my wife's sense of justice."	I have every confidence in my wife's sense of justice."	true	690.44	693.39	18
7665_104979_000042_000000	I experienced a thrill of admiration for the appreciation he evinced in those words.	I experienced a thrill of admiration for the appreciation he evinced in those words.	false	693.39	700.09	16.69101
7665_104979_000042_000001	Yet I pursued the subject resolutely.	Yet I pursued the subject resolutely.	true	700.79	703.39	17
7665_104979_000043_000000	"Have you an enemy, Mayor Packard?	"Have you an enemy, Mayor Packard?	true	703.94	705.76	19
7665_104979_000043_000001	Any real and downright enemy capable of a deep and serious attempt at destroying your happiness?"	Any real and downright enemy capable of a deep and serious attempt at destroying your happiness?"	true	705.86	711.55	15
7665_104979_000044_000000	"None that I know of, Miss Saunders.	"None that I know of, Miss Saunders.	true	712.31	714.31	17
7665_104979_000044_000001	I have political enemies, of course men, who, influenced by party feeling, are not above attacking methods and possibly my official reputation; but personal ones--wretches willing to stab me in my home-life and affections, that I can not believe.	I have political enemies, of course men, who, influenced by party feeling, are not above attacking methods and possibly my official reputation; but personal ones-wretches willing to stab me in my home life and affections, that I can not believe.	true	715.04	732.22	20.940931
7665_104979_000044_000002	My life has been as an open book.	My life has been as an open book.	false	732.41	734.65	24.803461
7665_104979_000044_000003	I have harmed no man knowingly and, as far as I know, no man has ever cherished a wish to injure me."	I have harmed no man knowingly and, as far as I know, no man has ever cherished a wish to injure me."	true	735.02	741.82	14
7665_104979_000045_000000	"Who constitute your household?	"Who constitute your household?	true	742.73	744.345	14
7665_104979_000045_000001	How many servants do you keep and how long have they been with you?"	How many servants do you keep and how long have they been with you?"	false	744.345	747.28	12
7665_104979_000046_000000	"Now you exact details with which only Mrs. Packard is conversant.	"Now you exact details with which only mrs Packard is conversant.	true	748.01	753.19	16
7665_104979_000046_000001	I don't know anything about the servants.	I don't know anything about the servants.	true	753.56	755.625	19.494701
7665_104979_000046_000002	I do not interest myself much in matters purely domestic, and Mrs. Packard spares me.	I do not interest myself much in matters purely domestic, and mrs Packard spares me.	true	755.625	760.71	15
7665_104979_000046_000003	You will have to observe the servants yourself."	You will have to observe the servants yourself."	false	760.71	763.54	18.3562
7665_104979_000047_000000	I made another note in my mind while inquiring:	I made another note in my mind while inquiring:	true	764.03	766.32	13
7665_104979_000048_000000	"Who is the young man who was here just now?	"Who is the young man who was here just now?	false	766.32	769.54	15.451003
7665_104979_000048_000001	He has an uncommon face."	He has an uncommon face."	true	769.7	771.21	18
7665_104979_000049_000000	"A handsome one, do you mean?"	"A handsome one, do you mean?"	false	771.21	774	14.63355
7665_104979_000050_000000	"Yes, and--well, what I should call distinctly clever."	"Yes, and-well, what I should call distinctly clever."	false	774	778.3	19.242037
7665_104979_000051_000000	"He is clever.	"He is clever.	true	778.85	780.04	17.970528
7665_104979_000051_000001	My secretary, Miss Saunders.	My secretary, Miss Saunders.	true	780.95	782.91	18.682005
7665_104979_000051_000002	He helps me in my increased duties; has, in a way, charge of my campaign; reads, sorts and sometimes answers my letters.	He helps me in my increased duties; has, in a way, charge of my campaign; reads, sorts and sometimes answers my letters.	false	782.91	790.81	19.47162
7665_104979_000051_000003	Just now he is arranging my speeches--fitting them to the local requirements of the several audiences I shall be called upon to address.	Just now he is arranging my speeches-fitting them to the local requirements of the several audiences I shall be called upon to address.	true	791	799.27	18.851824
7665_104979_000051_000004	He knows mankind like a book.	He knows mankind like a book.	true	799.64	801.7	19.00239
7665_104979_000051_000005	I shall never give the wrong speech to the wrong people while he is with me."	I shall never give the wrong speech to the wrong people while he is with me."	false	801.86	805.84	19
7665_104979_000052_000000	"Do you like him?--the man, I mean, not his work."	"Do you like him?--the man, I mean, not his work."	true	806.84	810.28	18.931667
7665_104979_000053_000000	"Well--yes.	"Well-yes.	true	810.62	811.93	21.016293
7665_104979_000053_000001	He is very good company, or would have been if, in the week he has been in the house, I had been in better mood to enjoy him.	He is very good company, or would have been if, in the week he has been in the house, I had been in better mood to enjoy him.	true	812.45	820.15	17.957571
7665_104979_000053_000002	He's a capital story-teller."	He's a capital story teller."	true	820.55	822.37	17
7665_104979_000054_000000	"He has been here a week?"	"He has been here a week?"	true	823.37	824.77	19.460558
7665_104979_000055_000000	"Yes, or almost."	"Yes, or almost."	false	825.23	827.28	17.003807
7665_104979_000056_000000	"Came on last Tuesday, didn't he?"	"Came on last Tuesday, didn't he?"	true	827.28	829.48	15
7665_104979_000057_000000	"Yes, I believe that was the day."	"Yes, I believe that was the day."	false	830.27	832.18	19.18856
7665_104979_000058_000000	"Toward afternoon?"	"Toward afternoon?"	true	832.76	833.83	19.319042
7665_104979_000059_000000	"No; he came early; soon after breakfast, in fact."	"No; he came early; soon after breakfast, in fact."	true	834.08	837.31	18.117407
7665_104979_000060_000000	"Does your wife like him?"	"Does your wife like him?"	true	837.77	839.02	16
7665_104979_000061_000000	His Honor gave a start, flushed (I can sometimes see a great deal even while very busily occupied) and answered without anger, but with a good deal of pride:	His Honor gave a start, flushed (I can sometimes see a great deal even while very busily occupied) and answered without anger, but with a good deal of pride:	false	840.05	849.61	17.82296
7665_104979_000062_000000	"I doubt if Mrs. Packard more than knows of his presence.	"I doubt if mrs Packard more than knows of his presence.	true	850.01	853.15	21
7665_104979_000062_000001	She does not come to this room."	She does not come to this room."	false	853.28	855.43	19.751474
7665_104979_000063_000000	"And he does not sit at your table?"	"And he does not sit at your table?"	false	856.01	857.68	15
7665_104979_000064_000000	"No; I must have some few minutes in the day free from the suggestion of politics.	"No; I must have some few minutes in the day free from the suggestion of politics.	false	858.41	863.59	18
7665_104979_000064_000001	Mr. Steele can safely be left out of our discussion.	mr Steele can safely be left out of our discussion.	true	863.99	867.07	19
7665_104979_000064_000002	He does not even sleep in the house."	He does not even sleep in the house."	true	867.08	868.95	17.301945
7665_104979_000065_000000	The note I made at this was very emphatic.	The note I made at this was very emphatic.	false	868.95	873.28	18.60142
7665_104979_000065_000001	"You should know," said I; then quickly "Tuesday was the day Mrs. Packard first showed the change you observed in her."	"You should know," said I; then quickly "Tuesday was the day mrs Packard first showed the change you observed in her."	false	873.62	880.15	15
7665_104979_000066_000000	"Yes, I think so; but that is a coincidence only.	"Yes, I think so; but that is a coincidence only.	false	882.11	885.64	17
7665_104979_000066_000001	She takes no interest in this young man; scarcely noticed him when I introduced him; just bowed to him over her shoulder; she was fastening on our little one's cap.	She takes no interest in this young man; scarcely noticed him when I introduced him; just bowed to him over her shoulder; she was fastening on our little one's cap.	true	885.95	896.29	17
7665_104979_000066_000002	Usually she is extremely, courteous to strangers, but she was abstracted, positively abstracted at that moment.	Usually she is extremely, courteous to strangers, but she was abstracted, positively abstracted at that moment.	true	896.51	904.75	16
7665_104979_000066_000003	I wondered at it, for he usually makes a stir wherever he goes.	I wondered at it, for he usually makes a stir wherever he goes.	true	905.63	910.21	14
7665_104979_000066_000004	But my wife cares little for beauty in a man; I doubt if she noticed his looks at all.	But my wife cares little for beauty in a man; I doubt if she noticed his looks at all.	true	910.58	915.61	17
7665_104979_000066_000005	She did not catch his name, I remember."	She did not catch his name, I remember."	true	915.86	918.28	14
7665_104979_000067_000000	"Pardon me, what is that you say?"	"Pardon me, what is that you say?"	true	919.04	920.89	13
7665_104979_000068_000000	"She did not catch his name, for later she asked me what it was."	"She did not catch his name, for later she asked me what it was."	true	921.38	924.76	18
7665_104979_000069_000000	"Tell me about that, Mr. Packard."	"Tell me about that, mr Packard."	true	925.22	926.89	15.666749
7665_104979_000070_000000	"It is immaterial; but I am ready to answer all your questions.	"It is immaterial; but I am ready to answer all your questions.	true	927.62	930.97	19
7665_104979_000070_000001	It was while we were out dining.	It was while we were out dining.	false	931.28	932.95	19.028158
7665_104979_000070_000002	Chance threw us together, and to fill up the moment she asked the name of the young man I had brought into the library that morning.	Chance threw us together, and to fill up the moment she asked the name of the young man I had brought into the library that morning.	false	933.14	939.4	16
7665_104979_000070_000003	I told her and explained his position and the long training he had had in local politics.	I told her and explained his position and the long training he had had in local politics.	false	939.98	944.74	16
7665_104979_000070_000004	She listened, but not as closely as she did to the music.	She listened, but not as closely as she did to the music.	true	944.87	948.465	16.999506
7665_104979_000070_000005	Oh, she takes no interest in him.	Oh, she takes no interest in him.	true	948.465	950.41	18.178635
7665_104979_000070_000006	I wish she did; his stories might amuse her."	I wish she did; his stories might amuse her."	false	950.72	953.26	20
7665_104979_000071_000000	I did not pursue the subject.	I did not pursue the subject.	true	953.78	955.57	17.068995
7665_104979_000071_000001	Taking out the letter I had been writing, I held it out for his inspection, with the remark:	Taking out the letter I had been writing, I held it out for his inspection, with the remark:	false	955.67	970.05	17.478888
