2598_4662_000005_000000	CHAPTER XII	CHAPTER twelve
2598_4662_000028_000001	William arose with a distinct sense that something important had happened.	William arose with a distinct sense that something important had happened.
2598_4662_000028_000002	Then he thought of the reformation.	Then he thought of the reformation.
2598_4662_000028_000003	He saw himself leading a quiet and blameless life, walking sedately to school, working at high pressure in school, doing his homework conscientiously in the evening, being exquisitely polite to his family, his instructors, and the various foolish people who visited his home for the sole purpose (apparently) of making inane remarks to him.	He saw himself leading a quiet and blameless life, walking sedately to school, working at high pressure in school, doing his homework conscientiously in the evening, being exquisitely polite to his family, his instructors, and the various foolish people who visited his home for the sole purpose (apparently) of making inane remarks to him.
2598_4662_000028_000004	He saw all this, and the picture was far from unattractive--in the distance.	He saw all this, and the picture was far from unattractive-in the distance.
2598_4662_000028_000005	In the immediate future, however, there were various quite important things to be done.	In the immediate future, however, there were various quite important things to be done.
2598_4662_000028_000006	There was a whole normal lifetime of crime to be crowded into one day.	There was a whole normal lifetime of crime to be crowded into one day.
2598_4662_000028_000008	The gardener had a perfectly bald head.	The gardener had a perfectly bald head.
2598_4662_000028_000009	William had sometimes idly imagined the impact of a pea sent violently from a pea-shooter with the gardener's bald head.	William had sometimes idly imagined the impact of a pea sent violently from a pea shooter with the gardener's bald head.
2598_4662_000028_000010	Before there had been a lifetime of experiment before him, and he had put off this one idly in favour of something more pressing.	Before there had been a lifetime of experiment before him, and he had put off this one idly in favour of something more pressing.
2598_4662_000028_000012	He took up his pea-shooter and aimed carefully.	He took up his pea shooter and aimed carefully.
2598_4662_000028_000013	The pea did not embed itself deeply into the gardener's skull as William had sometimes thought it would. It bounced back.	The pea did not embed itself deeply into the gardener's skull as William had sometimes thought it would. It bounced back.
2598_4662_000028_000014	It bounced back quite hard.	It bounced back quite hard.
2598_4662_000028_000015	The gardener also bounced back with a yell of anger, shaking his fist at William's window.	The gardener also bounced back with a yell of anger, shaking his fist at William's window.
2598_4662_000028_000016	But William had discreetly retired.	But William had discreetly retired.
2598_4662_000028_000017	He hid the pea-shooter, assumed his famous expression of innocence, and felt distinctly cheered.	He hid the pea shooter, assumed his famous expression of innocence, and felt distinctly cheered.
2598_4662_000028_000018	The question as to what exactly would happen when the pea met the baldness was now for ever solved.	The question as to what exactly would happen when the pea met the baldness was now for ever solved.
2598_4662_000028_000019	The gardener retired grumbling to the potting shed, so, for the present, all was well.	The gardener retired grumbling to the potting shed, so, for the present, all was well.
2598_4662_000028_000020	Later in the day the gardener might lay his formal complaint before authority, but later in the day was later in the day.	Later in the day the gardener might lay his formal complaint before authority, but later in the day was later in the day.
2598_4662_000028_000021	It did not trouble William.	It did not trouble William.
2598_4662_000028_000022	He dressed briskly and went down to breakfast with a frown of concentration upon his face.	He dressed briskly and went down to breakfast with a frown of concentration upon his face.
2598_4662_000028_000023	It was the last day of his old life.	It was the last day of his old life.
2598_4662_000030_000000	No one else was in the dining-room.	No one else was in the dining room.
2598_4662_000030_000001	It was the work of a few minutes to remove the bacon from beneath the big pewter cover and substitute the kitten, to put a tablespoonful of salt into the coffee, and to put a two-days'-old paper in place of that morning's.	It was the work of a few minutes to remove the bacon from beneath the big pewter cover and substitute the kitten, to put a tablespoonful of salt into the coffee, and to put a two days'-old paper in place of that morning's.
2598_4662_000030_000002	They were all things that he had at one time or another vaguely thought of doing, but for which he had never yet seemed to have time or opportunity.	They were all things that he had at one time or another vaguely thought of doing, but for which he had never yet seemed to have time or opportunity.
2598_4662_000031_000000	He surveyed the scene with a deep sigh of satisfaction.	He surveyed the scene with a deep sigh of satisfaction.
2598_4662_000031_000003	Hearing, therefore, a heavy step on the stairs, he seized several pieces of toast and fled.	Hearing, therefore, a heavy step on the stairs, he seized several pieces of toast and fled.
2598_4662_000031_000005	The kitten, a mass of fury and lust for revenge, came flying through the window. William hid behind a laurel bush till it had passed, then set off down the road.	The kitten, a mass of fury and lust for revenge, came flying through the window. William hid behind a laurel bush till it had passed, then set off down the road.
2598_4662_000032_000000	School, of course, was impossible.	School, of course, was impossible.
2598_4662_000032_000001	The precious hours of such a day as this could not be wasted in school.	The precious hours of such a day as this could not be wasted in school.
2598_4662_000032_000002	He went down the road full of his noble purpose.	He went down the road full of his noble purpose.
2598_4662_000032_000003	The wickedness of a lifetime was somehow or other to be crowded into this day.	The wickedness of a lifetime was somehow or other to be crowded into this day.
2598_4662_000032_000004	To-morrow it would all be impossible.	To morrow it would all be impossible.
2598_4662_000032_000005	To-morrow began the blameless life.	To morrow began the blameless life.
2598_4662_000032_000006	It must all be worked off to-day.	It must all be worked off to day.
2598_4662_000032_000007	He skirted the school by a field path in case any of those narrow souls paid to employ so aimlessly the precious hours of his youth might be there. They would certainly be tactless enough to question him as he passed the door.	He skirted the school by a field path in case any of those narrow souls paid to employ so aimlessly the precious hours of his youth might be there. They would certainly be tactless enough to question him as he passed the door.
2598_4662_000032_000008	Then he joined the main road.	Then he joined the main road.
2598_4662_000033_000000	The main road was empty except for a caravan--a caravan gaily painted in red and yellow.	The main road was empty except for a caravan-a caravan gaily painted in red and yellow.
2598_4662_000033_000001	It had little lace curtains at the window.	It had little lace curtains at the window.
2598_4662_000033_000002	It was altogether a most fascinating caravan.	It was altogether a most fascinating caravan.
2598_4662_000033_000003	No one seemed to be near it. William looked through the windows.	No one seemed to be near it. William looked through the windows.
2598_4662_000033_000004	There was a kind of dresser with crockery hanging from it, a small table and a little oil stove.	There was a kind of dresser with crockery hanging from it, a small table and a little oil stove.
2598_4662_000033_000007	It appeared to be a mule--a mule with a jaundiced view of life.	It appeared to be a mule-a mule with a jaundiced view of life.
2598_4662_000033_000008	It rolled a sad eye towards William, then with a deep sigh returned to its contemplation of the landscape.	It rolled a sad eye towards William, then with a deep sigh returned to its contemplation of the landscape.
2598_4662_000033_000009	William gazed upon caravan and steed fascinated.	William gazed upon caravan and steed fascinated.
2598_4662_000033_000010	Never, in his future life of noble merit, would he be able to annex a caravan.	Never, in his future life of noble merit, would he be able to annex a caravan.
2598_4662_000033_000011	It was his last chance.	It was his last chance.
2598_4662_000033_000014	Conscience stirred faintly in his breast, but he silenced it sternly.	Conscience stirred faintly in his breast, but he silenced it sternly.
2598_4662_000034_000000	William did not know how to drive, but it did not seem to matter.	William did not know how to drive, but it did not seem to matter.
2598_4662_000034_000002	He was driving a caravan.	He was driving a caravan.
2598_4662_000034_000003	He was driving a caravan.	He was driving a caravan.
2598_4662_000034_000004	He was driving a caravan. The very telegraph posts seemed to gape with envy and admiration as he passed.	He was driving a caravan. The very telegraph posts seemed to gape with envy and admiration as he passed.
2598_4662_000034_000005	What ultimately he was going to do with his caravan he neither knew nor cared.	What ultimately he was going to do with his caravan he neither knew nor cared.
2598_4662_000034_000006	All that mattered was, it was a bright sunny morning, and all the others were in school, and he was driving a red and yellow caravan along the high road.	All that mattered was, it was a bright sunny morning, and all the others were in school, and he was driving a red and yellow caravan along the high road.
2598_4662_000034_000008	He was intoxicated with pride.	He was intoxicated with pride.
2598_4662_000034_000010	Carelessly he flicked the mule with the whip.	Carelessly he flicked the mule with the whip.
2598_4662_000034_000011	There are several explanations of what happened then.	There are several explanations of what happened then.
2598_4662_000034_000012	The mule may not have been used to the whip; a wasp may have just stung him at that particular minute; a wandering demon may have entered into him.	The mule may not have been used to the whip; a wasp may have just stung him at that particular minute; a wandering demon may have entered into him.
2598_4662_000034_000013	Mules are notoriously accessible to wandering demons.	Mules are notoriously accessible to wandering demons.
2598_4662_000034_000014	Whatever the explanation, the mule suddenly started forward and galloped at full speed down the hill.	Whatever the explanation, the mule suddenly started forward and galloped at full speed down the hill.
2598_4662_000034_000015	The reins dropped from William's hands; he clung for dear life on to his seat, as the caravan, swaying and jolting along the uneven road, seemed to be doing its utmost to fling him off.	The reins dropped from William's hands; he clung for dear life on to his seat, as the caravan, swaying and jolting along the uneven road, seemed to be doing its utmost to fling him off.
2598_4662_000034_000016	There came a rattle of crockery from within.	There came a rattle of crockery from within.
2598_4662_000034_000018	It was a female scream.	It was a female scream.
2598_4662_000035_000000	William's hair stood on end.	William's hair stood on end.
2598_4662_000035_000001	He almost forgot to cling to the seat. For not one scream came but many.	He almost forgot to cling to the seat. For not one scream came but many.
2598_4662_000035_000002	They rent the still summer air, mingled with the sound of breaking glass and crockery.	They rent the still summer air, mingled with the sound of breaking glass and crockery.
2598_4662_000035_000003	The mule continued his mad career down the hill, his reins trailing in the dust.	The mule continued his mad career down the hill, his reins trailing in the dust.
2598_4662_000035_000004	In the distance was a little gipsy's donkey cart full of pots and pans.	In the distance was a little gipsy's donkey cart full of pots and pans.
2598_4662_000038_000000	But the mule refused to be warned.	But the mule refused to be warned.
2598_4662_000038_000001	He neatly escaped the donkey cart himself, but he crashed the caravan into it with such force that the caravan broke a shaft and overturned completely on to the donkey cart, scattering pots and pans far and wide.	He neatly escaped the donkey cart himself, but he crashed the caravan into it with such force that the caravan broke a shaft and overturned completely on to the donkey cart, scattering pots and pans far and wide.
2598_4662_000038_000002	From within the caravan came inhuman female yells of fear and anger.	From within the caravan came inhuman female yells of fear and anger.
2598_4662_000038_000003	William had fallen on to a soft bank of grass.	William had fallen on to a soft bank of grass.
2598_4662_000038_000004	He was discovering, to his amazement, that he was still alive and practically unhurt.	He was discovering, to his amazement, that he was still alive and practically unhurt.
2598_4662_000038_000005	The mule was standing meekly by and smiling to himself.	The mule was standing meekly by and smiling to himself.
2598_4662_000038_000006	Then out of the window of the caravan climbed a woman--a fat, angry woman, shaking her fist at the world in general.	Then out of the window of the caravan climbed a woman-a fat, angry woman, shaking her fist at the world in general.
2598_4662_000038_000007	Her hair and face were covered with sugar and a fork was embedded in the front of her dress.	Her hair and face were covered with sugar and a fork was embedded in the front of her dress.
2598_4662_000038_000008	Otherwise she, too, had escaped undamaged.	Otherwise she, too, had escaped undamaged.
2598_4662_000039_000001	She screamed at him furiously in reply. Then along the road could be seen the figure of a fat man carrying a fishing rod.	She screamed at him furiously in reply. Then along the road could be seen the figure of a fat man carrying a fishing rod.
2598_4662_000039_000002	He began to run wildly towards the caravan.	He began to run wildly towards the caravan.
2598_4662_000041_000001	The air was rent by their angry shouts. A group of highly appreciative villagers collected round them.	The air was rent by their angry shouts. A group of highly appreciative villagers collected round them.
2598_4662_000041_000002	Then one of them pointed to William, who sat, feeling still slightly shaken, upon the bank.	Then one of them pointed to William, who sat, feeling still slightly shaken, upon the bank.
2598_4662_000043_000000	With one wild glance at the scene of devastation and anger, William turned and fled through the wood.	With one wild glance at the scene of devastation and anger, William turned and fled through the wood.
2598_4662_000044_000002	The fat woman and the donkey man joined the pursuit.	The fat woman and the donkey man joined the pursuit.
2598_4662_000044_000003	To William it was like some ghastly nightmare after an evening's entertainment at the cinematograph.	To William it was like some ghastly nightmare after an evening's entertainment at the cinematograph.
2598_4662_000045_000001	But the fat man was very fat, and the fat woman was very fat, and the donkey man was very old, and William was young and very fleet, so in less than ten minutes they gave up the pursuit and returned panting and quarrelling to the road.	But the fat man was very fat, and the fat woman was very fat, and the donkey man was very old, and William was young and very fleet, so in less than ten minutes they gave up the pursuit and returned panting and quarrelling to the road.
2598_4662_000045_000002	William sat on the further outskirts of the wood and panted.	William sat on the further outskirts of the wood and panted.
2598_4662_000045_000003	He felt on the whole exhilarated by the adventure.	He felt on the whole exhilarated by the adventure.
2598_4662_000045_000004	It was quite a suitable adventure for his last day of unregeneration.	It was quite a suitable adventure for his last day of unregeneration.
2598_4662_000045_000005	But he felt also in need of bodily sustenance, so he purchased a bun and a bottle of lemonade at a neighbouring shop and sat by the roadside to recover.	But he felt also in need of bodily sustenance, so he purchased a bun and a bottle of lemonade at a neighbouring shop and sat by the roadside to recover.
2598_4662_000046_000000	He felt reluctant to return home.	He felt reluctant to return home.
2598_4662_000046_000001	It is always well to follow a morning's absence from school by an afternoon's absence from school.	It is always well to follow a morning's absence from school by an afternoon's absence from school.
2598_4662_000046_000002	A return in the afternoon is ignominious and humiliating.	A return in the afternoon is ignominious and humiliating.
2598_4662_000046_000003	William wandered round the neighbourhood experiencing all the thrill of the outlaw.	William wandered round the neighbourhood experiencing all the thrill of the outlaw.
2598_4662_000046_000004	Certainly by this time the gardener would have complained to his father, probably the schoolmistress would have sent a note. Also--someone had been scratched by the cat.	Certainly by this time the gardener would have complained to his father, probably the schoolmistress would have sent a note. Also-someone had been scratched by the cat.
2598_4662_000047_000000	William decided that all things considered it was best to make a day of it.	William decided that all things considered it was best to make a day of it.
2598_4662_000049_000001	His aim was fairly good, and he succeeded in knocking off the hat and finally prostrating the wooden framework.	His aim was fairly good, and he succeeded in knocking off the hat and finally prostrating the wooden framework.
2598_4662_000049_000002	Followed--an exciting chase by an angry farmer.	Followed-an exciting chase by an angry farmer.
2598_4662_000050_000001	His spirits sank a little as he approached the gate.	His spirits sank a little as he approached the gate.
2598_4662_000050_000002	He could see through the trees the fat caravan-owner gesticulating at the door.	He could see through the trees the fat caravan owner gesticulating at the door.
2598_4662_000050_000004	Phrases floated to him through the summer air.	Phrases floated to him through the summer air.
2598_4662_000052_000000	He could see the gardener smiling in the distance.	He could see the gardener smiling in the distance.
2598_4662_000052_000001	There was a small blue bruise on his shining head.	There was a small blue bruise on his shining head.
2598_4662_000052_000002	William judged from the smile that he had laid his formal complaint before authority.	William judged from the smile that he had laid his formal complaint before authority.
2598_4662_000052_000003	William noticed that his father looked pale and harassed.	William noticed that his father looked pale and harassed.
2598_4662_000053_000000	A small boy came down the road and saw William hesitating at the open gateway.	A small boy came down the road and saw William hesitating at the open gateway.
2598_4662_000054_000001	"They've wrote to say you wasn't in school."	"They've wrote to say you wasn't in school."
2598_4662_000055_000000	William crept round to the back of the house beneath the bushes.	William crept round to the back of the house beneath the bushes.
2598_4662_000055_000001	He felt that the time had come to give himself up to justice, but he wanted, as the popular saying is, to be sure of "getting his money's worth." There was the tin half full of green paint in the tool shed. He'd had his eye on it for some time.	He felt that the time had come to give himself up to justice, but he wanted, as the popular saying is, to be sure of "getting his money's worth." There was the tin half full of green paint in the tool shed. He'd had his eye on it for some time.
2598_4662_000055_000002	He went quietly round to the tool shed.	He went quietly round to the tool shed.
2598_4662_000055_000003	Soon he was contemplating with a satisfied smile a green and enraged cat and a green and enraged hen.	Soon he was contemplating with a satisfied smile a green and enraged cat and a green and enraged hen.
2598_4662_000055_000004	Then, bracing himself for the effort, he delivered himself up to justice.	Then, bracing himself for the effort, he delivered himself up to justice.
2598_4662_000055_000005	When all was said and done no punishment could be really adequate to a day like that.	When all was said and done no punishment could be really adequate to a day like that.
2598_4662_000056_000000	Dusk was falling.	Dusk was falling.
2598_4662_000056_000001	William gazed pensively from his bedroom window.	William gazed pensively from his bedroom window.
2598_4662_000056_000002	He was reviewing his day.	He was reviewing his day.
2598_4662_000056_000003	He had almost forgotten the stormy and decidedly unpleasant scene with his father.	He had almost forgotten the stormy and decidedly unpleasant scene with his father.
2598_4662_000056_000004	Mr. Brown's rhetoric had been rather lost on William, because its pearls of sarcasm had been so far above his head.	mr Brown's rhetoric had been rather lost on William, because its pearls of sarcasm had been so far above his head.
2598_4662_000056_000005	And William had not been really loth to retire at once to bed.	And William had not been really loth to retire at once to bed.
2598_4662_000056_000006	After all, it had been a very tiring day.	After all, it had been a very tiring day.
2598_4662_000057_000000	Now his thoughts were going over some of its most exquisite moments--the moments when the pea and the gardener's head met and rebounded with such satisfactory force; the moment when he swung along the high road, monarch of a caravan and a mule and the whole wide world; the moment when the scarecrow hunched up and collapsed so realistically; the cat covered with green paint....	Now his thoughts were going over some of its most exquisite moments-the moments when the pea and the gardener's head met and rebounded with such satisfactory force; the moment when he swung along the high road, monarch of a caravan and a mule and the whole wide world; the moment when the scarecrow hunched up and collapsed so realistically; the cat covered with green paint....
2598_4662_000057_000001	After all it was his last day.	After all it was his last day.
2598_4662_000057_000002	He saw himself from to-morrow onward leading a quiet and blameless life, walking sedately to school, working at high pressure in school, doing his homework conscientiously in the evening, being exquisitely polite to his family and instructors--and the vision failed utterly to attract.	He saw himself from to morrow onward leading a quiet and blameless life, walking sedately to school, working at high pressure in school, doing his homework conscientiously in the evening, being exquisitely polite to his family and instructors-and the vision failed utterly to attract.
