6927_86045_000000_000000	[Adapted from Folk-lore Bresilien.]	[Adapted from Folk lore Bresilien.]	false	10.17	22.35	24.668312
6927_86045_000007_000001	His children wanted to eat all the fish themselves, and begged their father to tell them what to do with the pieces he had put aside; but the cobbler only laughed, and told them it was no business of theirs.	His children wanted to eat all the fish themselves, and begged their father to tell them what to do with the pieces he had put aside; but the cobbler only laughed, and told them it was no business of theirs.	true	145.31	157.575	21.360687
6927_86045_000007_000002	And when they were safe in bed he stole out and buried the two pieces in the garden.	And when they were safe in bed he stole out and buried the two pieces in the garden.	true	157.575	162.22	24.636774
6927_86045_000008_000000	By and by two babies, exactly alike, lay in a cradle, and in the garden were two tall plants, with two brilliant shields on the top.	By and by two babies, exactly alike, lay in a cradle, and in the garden were two tall plants, with two brilliant shields on the top.	true	163.49	173.17	23.499212
6927_86045_000009_000000	Years passed away, and the babies were almost men.	Years passed away, and the babies were almost men.	true	174.32	177.94	21.176535
6927_86045_000009_000001	They were tired of living quietly at home, being mistaken for each other by everybody they saw, and determined to set off in different directions, to seek adventures.	They were tired of living quietly at home, being mistaken for each other by everybody they saw, and determined to set off in different directions, to seek adventures.	true	178.31	188.05	22.154245
6927_86045_000010_000000	So, one fine morning, the two brothers left the hut, and walked together to the place where the great road divided.	So, one fine morning, the two brothers left the hut, and walked together to the place where the great road divided.	true	189.98	197.08	23.598059
6927_86045_000010_000001	There they embraced and parted, promising that if anything remarkable had happened to either, he would return to the cross roads and wait till his brother came.	There they embraced and parted, promising that if anything remarkable had happened to either, he would return to the cross roads and wait till his brother came.	true	197.51	206.17	22.530748
6927_86045_000011_000000	The youth who took the path that ran eastwards arrived presently at a large city, where he found everybody standing at the doors, wringing their hands and weeping bitterly.	The youth who took the path that ran eastwards arrived presently at a large city, where he found everybody standing at the doors, wringing their hands and weeping bitterly.	true	207.62	217.84	24
6927_86045_000012_000000	'What is the matter?' asked he, pausing and looking round.	'What is the matter?' asked he, pausing and looking round.	true	219.38	223.27	23.777098
6927_86045_000012_000001	And a man replied, in a faltering voice, that each year a beautiful girl was chosen by lot to be offered up to a dreadful fiery dragon, who had a mother even worse than himself, and this year the lot had fallen on their peerless princess.	And a man replied, in a faltering voice, that each year a beautiful girl was chosen by lot to be offered up to a dreadful fiery dragon, who had a mother even worse than himself, and this year the lot had fallen on their peerless princess.	true	223.52	239.74	23.218735
6927_86045_000013_000000	'But where IS the princess?' said the young man once more, and again the man answered him: 'She is standing under a tree, a mile away, waiting for the dragon.'	'But where IS the princess?' said the young man once more, and again the man answered him: 'She is standing under a tree, a mile away, waiting for the dragon.'	false	241.22	251.5	23.57965
6927_86045_000014_000000	This time the Knight of the Fish did not stop to hear more, but ran off as fast as he could, and found the princess bathed in tears, and trembling from head to foot.	This time the Knight of the Fish did not stop to hear more, but ran off as fast as he could, and found the princess bathed in tears, and trembling from head to foot.	true	252.56	263.02	22.979969
6927_86045_000015_000000	She turned as she heard the sound of his sword, and removed her handkerchief from his eyes.	She turned as she heard the sound of his sword, and removed her handkerchief from his eyes.	true	264.02	269.2	20.996712
6927_86045_000016_000000	'Fly,' she cried; 'fly while you have yet time, before that monster sees you.'	'Fly,' she cried; 'fly while you have yet time, before that monster sees you.'	true	269.69	275.8	20.34592
6927_86045_000017_000000	She said it, and she mean it; yet, when he had turned his back, she felt more forsaken than before.	She said it, and she mean it; yet, when he had turned his back, she felt more forsaken than before.	true	276.86	283.99	26.480541
6927_86045_000017_000001	But in reality it was not more than a few minutes before he came back, galloping furiously on a horse he had borrowed, and carrying a huge mirror across its neck.	But in reality it was not more than a few minutes before he came back, galloping furiously on a horse he had borrowed, and carrying a huge mirror across its neck.	true	284.27	294.88	24.182465
6927_86045_000018_000000	'I am in time, then,' he cried, dismounting very carefully, and placing the mirror against the trunk of a tree.	'I am in time, then,' he cried, dismounting very carefully, and placing the mirror against the trunk of a tree.	true	295.64	302.98	21.397266
6927_86045_000019_000000	'Give me your veil,' he said hastily to the princess.	'Give me your veil,' he said hastily to the princess.	true	303.98	307.33	21.059004
6927_86045_000019_000001	And when she had unwound it from her head he covered the mirror with it.	And when she had unwound it from her head he covered the mirror with it.	true	307.64	311.38	21.81637
6927_86045_000020_000000	'The moment the dragon comes near you, you must tear off the veil,' cried he; 'and be sure you hide behind the mirror.	'The moment the dragon comes near you, you must tear off the veil,' cried he; 'and be sure you hide behind the mirror.	true	311.81	318.85	21.937086
6927_86045_000020_000001	Have no fear; I shall be at hand.'	Have no fear; I shall be at hand.'	true	318.86	321.22	21.81217
6927_86045_000021_000000	He and his horse had scarcely found shelter amongst some rocks, when the flap of the dragon's wings could be plainly heard.	He and his horse had scarcely found shelter amongst some rocks, when the flap of the dragon's wings could be plainly heard.	true	323.27	330.46	20.534576
6927_86045_000021_000001	He tossed his head with delight at the sight of her, and approached slowly to the place where she stood, a little in front of the mirror.	He tossed his head with delight at the sight of her, and approached slowly to the place where she stood, a little in front of the mirror.	true	330.95	338.77	23.140442
6927_86045_000021_000002	Then, still looking the monster steadily in the face, she passed one hand behind her back and snatched off the veil, stepping swiftly behind the tree as she did so.	Then, still looking the monster steadily in the face, she passed one hand behind her back and snatched off the veil, stepping swiftly behind the tree as she did so.	false	338.9	348.1	22.238169
6927_86045_000022_000000	The princess had not known, when she obeyed the orders of the Knight of the Fish, what she expected to happen.	The princess had not known, when she obeyed the orders of the Knight of the Fish, what she expected to happen.	true	350.48	356.55	21.04459
6927_86045_000022_000001	Would the dragon with snaky locks be turned to stone, she wondered, like the dragon in an old story her nurse had told her; or would some fiery spark dart from the heart of the mirror, and strike him dead?	Would the dragon with snaky locks be turned to stone, she wondered, like the dragon in an old story her nurse had told her; or would some fiery spark dart from the heart of the mirror, and strike him dead?	false	356.55	369.43	23.508644
6927_86045_000022_000002	Neither of these things occurred, but, instead, the dragon stopped short with surprise and rage when he saw a monster before him as big and strong as himself.	Neither of these things occurred, but, instead, the dragon stopped short with surprise and rage when he saw a monster before him as big and strong as himself.	true	370.31	380.47	21.203228
6927_86045_000022_000003	He shook his mane with rage and fury; the enemy in front did exactly the same.	He shook his mane with rage and fury; the enemy in front did exactly the same.	true	381.08	385.84	25.595415
6927_86045_000022_000004	He lashed his tail, and rolled his red eyes, and the dragon opposite was no whit behind him.	He lashed his tail, and rolled his red eyes, and the dragon opposite was no whit behind him.	true	386.03	392.38	22.534714
6927_86045_000022_000005	Opening his mouth to its very widest, he gave an awful roar; but the other dragon only roared back.	Opening his mouth to its very widest, he gave an awful roar; but the other dragon only roared back.	true	393.56	399.97	23.00896
6927_86045_000022_000006	This was too much, and with another roar which made the princess shake in her shoes, he flung himself upon his foe.	This was too much, and with another roar which made the princess shake in her shoes, he flung himself upon his foe.	true	400.52	407.56	21.79211
6927_86045_000022_000007	In an instant the mirror lay at his feet broken into a thousand pieces, but as every piece reflected part of himself, the dragon thought that he too had been smashed into atoms.	In an instant the mirror lay at his feet broken into a thousand pieces, but as every piece reflected part of himself, the dragon thought that he too had been smashed into atoms.	true	408.05	419.44	22.979534
6927_86045_000023_000000	It was the moment for which the Knight of the Fish had watched and waited, and before the dragon could find out that he was not hurt at all, the young man's lance was down his throat, and he was rolling, dead, on the grass.	It was the moment for which the Knight of the Fish had watched and waited, and before the dragon could find out that he was not hurt at all, the young man's lance was down his throat, and he was rolling, dead, on the grass.	false	421.49	435.04	22.041752
6927_86045_000024_000000	Oh! what shouts of joy rang through the great city, when the youth came riding back with the princess sitting behind him, and dragging the horrible monster by a cord.	Oh! what shouts of joy rang through the great city, when the youth came riding back with the princess sitting behind him, and dragging the horrible monster by a cord.	true	436.13	446.53	22.088278
6927_86045_000024_000001	Everybody cried out that the king must give the victor the hand of the princess; and so he did, and no one had ever seen such balls and feasts and sports before.	Everybody cried out that the king must give the victor the hand of the princess; and so he did, and no one had ever seen such balls and feasts and sports before.	true	446.72	456.79	22.236185
6927_86045_000024_000002	And when they were all over the young couple went to the palace prepared for them, which was so large that it was three miles round.	And when they were all over the young couple went to the palace prepared for them, which was so large that it was three miles round.	true	457.07	464.38	23.2588
6927_86045_000025_000000	The first wet day after their marriage the bridegroom begged the bride to show him all the rooms in the palace, and it was so big and took so long that the sun was shining brightly again before they stepped on to the roof to see the view.	The first wet day after their marriage the bridegroom begged the bride to show him all the rooms in the palace, and it was so big and took so long that the sun was shining brightly again before they stepped on to the roof to see the view.	true	466.43	480.04	21.238798
6927_86045_000026_000000	'What castle is that out there,' asked the knight; 'it seems to be made of black marble?'	'What castle is that out there,' asked the knight; 'it seems to be made of black marble?'	true	481.07	486.37	24.331705
6927_86045_000027_000000	'It is called the castle of Albatroz,' answered the princess.	'It is called the castle of Albatroz,' answered the princess.	true	487.04	491.025	21.695295
6927_86045_000027_000001	'It is enchanted, and no one that has tried to enter it has ever come back.'	'It is enchanted, and no one that has tried to enter it has ever come back.'	true	491.025	495.28	23.297148
6927_86045_000028_000000	Her husband said nothing, and began to talk of something else; but the next morning he ordered his horse, took his spear, called his bloodhound, and set off for the castle.	Her husband said nothing, and began to talk of something else; but the next morning he ordered his horse, took his spear, called his bloodhound, and set off for the castle.	false	496.64	506.95	22.209463
6927_86045_000029_000000	It needed a brave man to approach it, for it made your hair stand on end merely to look at it; it was as dark as the night of a storm, and as silent as the grave.	It needed a brave man to approach it, for it made your hair stand on end merely to look at it; it was as dark as the night of a storm, and as silent as the grave.	false	509.51	519.43	22.494888
6927_86045_000029_000001	But the Knight of the Fish knew no fear, and had never turned his back on an enemy; so he drew out his horn, and blew a blast.	But the Knight of the Fish knew no fear, and had never turned his back on an enemy; so he drew out his horn, and blew a blast.	true	519.68	526.66	23.954786
6927_86045_000030_000000	The sound awoke all the sleeping echoes in the castle, and was repeated now loudly, now softly; now near, and now far.	The sound awoke all the sleeping echoes in the castle, and was repeated now loudly, now softly; now near, and now far.	true	528.32	536.11	22.310987
6927_86045_000030_000001	But nobody stirred for all that.	But nobody stirred for all that.	true	536.75	538.9	21.083872
6927_86045_000031_000000	'Is there anyone inside?' cried the young man in his loudest voice; 'anyone who will give a knight hospitality?	'Is there anyone inside?' cried the young man in his loudest voice; 'anyone who will give a knight hospitality?	true	539.66	547.36	22.702799
6927_86045_000031_000001	Neither governor, nor squire, not even a page?'	Neither governor, nor squire, not even a page?'	true	547.46	550.6	22.312773
6927_86045_000032_000000	'Not even a page!' answered the echoes.	'Not even a page!' answered the echoes.	true	551.33	554.53	22.276154
6927_86045_000032_000001	But the young man did not heed them, and only struck a furious blow at the gate.	But the young man did not heed them, and only struck a furious blow at the gate.	true	555.2	560.8	24.030573
6927_86045_000033_000000	Then a small grating opened, and there appeared the tip of a huge nose, which belonged to the ugliest old woman that ever was seen.	Then a small grating opened, and there appeared the tip of a huge nose, which belonged to the ugliest old woman that ever was seen.	true	561.53	570.16	21.277275
6927_86045_000034_000000	'What do you want?' said she.	'What do you want?' said she.	true	570.86	573.58	25.868813
6927_86045_000035_000000	'To enter,' he answered shortly.	'To enter,' he answered shortly.	true	574.04	576.52	26.42562
6927_86045_000035_000001	'Can I rest here this night?	'Can I rest here this night?	true	576.59	578.41	22.59543
6927_86045_000035_000002	Yes or No?'	Yes or No?'	true	578.69	579.88	21.987795
6927_86045_000036_000000	'No, No, No!' repeated the echoes.	'No, No, No!' repeated the echoes.	true	580.55	583.66	22.17749
6927_86045_000037_000000	Between the fierce sun and his anger at being kept waiting, the Knight of the Fish had grown so hot that he lifted his visor, and when the old woman saw how handsome he was, she began fumbling with the lock of the gate.	Between the fierce sun and his anger at being kept waiting, the Knight of the Fish had grown so hot that he lifted his visor, and when the old woman saw how handsome he was, she began fumbling with the lock of the gate.	true	584.21	597.91	21.058853
6927_86045_000038_000000	'Come in, come in,' said she, 'so fine a gentleman will do us no harm.'	'Come in, come in,' said she, 'so fine a gentleman will do us no harm.'	true	598.88	603.91	21.139387
6927_86045_000039_000000	'Harm!' repeated the echoes, but again the young man paid no heed.	'Harm!' repeated the echoes, but again the young man paid no heed.	true	604.52	609.34	21.395596
6927_86045_000040_000000	'Let us go in, ancient dame,' but she interrupted him.	'Let us go in, ancient dame,' but she interrupted him.	true	609.92	613.57	18.93249
6927_86045_000041_000000	'You must call me the Lady Berberisca,' she answered, sharply; 'and this is my castle, to which I bid you welcome.	'You must call me the Lady Berberisca,' she answered, sharply; 'and this is my castle, to which I bid you welcome.	true	613.88	621.42	21.36419
6927_86045_000041_000001	You shall live here with me and be my husband.' But at these words the knight let his spear fall, so surprised was he.	You shall live here with me and be my husband.' But at these words the knight let his spear fall, so surprised was he.	true	621.42	628.51	21.443758
6927_86045_000042_000000	'I marry YOU? why you must be a hundred at least!' cried he.	'I marry YOU? why you must be a hundred at least!' cried he.	true	628.7	634.69	19.63269
6927_86045_000042_000001	'You are mad!	'You are mad!	true	634.82	636.1	22.237392
6927_86045_000042_000002	All I desire is to inspect the castle and then go.' As he spoke he heard the voices give a mocking laugh; but the old woman took no notice, and only bade the knight follow her.	All I desire is to inspect the castle and then go.' As he spoke he heard the voices give a mocking laugh; but the old woman took no notice, and only bade the knight follow her.	true	636.29	648.82	21.516735
6927_86045_000043_000000	Old though she was, it seemed impossible to tire her.	Old though she was, it seemed impossible to tire her.	true	650.09	653.77	21.950542
6927_86045_000043_000001	There was no room, however small, she did not lead him into, and each room was full of curious things he had never seen before.	There was no room, however small, she did not lead him into, and each room was full of curious things he had never seen before.	true	654.74	662.65	19.88043
6927_86045_000044_000000	At length they came to a stone staircase, which was so dark that you could not see your hand if you held it up before your face.	At length they came to a stone staircase, which was so dark that you could not see your hand if you held it up before your face.	true	663.38	670.63	24.61549
6927_86045_000045_000000	'I have kept my most precious treasure till the last,' said the old woman; 'but let me go first, for the stairs are steep, and you might easily break your leg.' So on she went, now and then calling back to the young man in the darkness.	'I have kept my most precious treasure till the last,' said the old woman; 'but let me go first, for the stairs are steep, and you might easily break your leg.' So on she went, now and then calling back to the young man in the darkness.	true	671.96	688.15	22.048937
6927_86045_000045_000001	But he did not know that she had slipped aside into a recess, till suddenly he put his foot on a trap door which gave way under him, and he fell down, down, as many good knights had done before him, and his voice joined the echoes of theirs.	But he did not know that she had slipped aside into a recess, till suddenly he put his foot on a trap door which gave way under him, and he fell down, down, as many good knights had done before him, and his voice joined the echoes of theirs.	false	688.49	703.9	21.291813
6927_86045_000046_000000	'So you would not marry me!' chuckled the old witch.	'So you would not marry me!' chuckled the old witch.	true	704.87	708.15	23.104774
6927_86045_000046_000001	'Ha! ha!	'Ha! ha!	true	708.15	709.605	23.11256
6927_86045_000046_000002	Ha! ha!'	Ha! ha!'	true	709.605	710.95	21.867704
6927_86045_000047_000000	Meanwhile his brother had wandered far and wide, and at last he wandered back to the same great city where the other young knight had met with so many adventures.	Meanwhile his brother had wandered far and wide, and at last he wandered back to the same great city where the other young knight had met with so many adventures.	true	712.88	723.1	20.696606
6927_86045_000047_000001	He noticed, with amazement, that as he walked through the streets the guards drew themselves up in line, and saluted him, and the drummers played the royal march; but he was still more bewildered when several servants in livery ran up to him and told him that the princess was sure something terrible had befallen him, and had made herself ill with weeping.	He noticed, with amazement, that as he walked through the streets the guards drew themselves up in line, and saluted him, and the drummers played the royal march; but he was still more bewildered when several servants in livery ran up to him and told him that the princess was sure something terrible had befallen him, and had made herself ill with weeping.	false	723.89	744.55	22.1165
6927_86045_000047_000002	At last it occurred to him that once more he had been taken for his brother.	At last it occurred to him that once more he had been taken for his brother.	true	745.61	750.19	25.322449
6927_86045_000047_000003	'I had better say nothing,' thought he; 'perhaps I shall be able to help him after all.'	'I had better say nothing,' thought he; 'perhaps I shall be able to help him after all.'	true	750.53	756.67	22.38935
6927_86045_000048_000000	So he suffered himself to be borne in triumph to the palace, where the princess threw herself into his arms.	So he suffered himself to be borne in triumph to the palace, where the princess threw herself into his arms.	true	758.51	765.19	22.629627
6927_86045_000049_000000	'And so you did go to the castle?' she asked.	'And so you did go to the castle?' she asked.	true	765.5	768.81	20.820929
6927_86045_000050_000000	'Yes, of course I did,' answered he.	'Yes, of course I did,' answered he.	true	768.81	771.58	21.976097
6927_86045_000051_000000	'And what did you see there?'	'And what did you see there?'	true	771.71	773.35	24.343082
6927_86045_000052_000000	'I am forbidden to tell you anything about it, until I have returned there once more,' replied he.	'I am forbidden to tell you anything about it, until I have returned there once more,' replied he.	true	773.93	779.8	22.183659
6927_86045_000053_000000	'Must you really go back to that dreadful place?' she asked wistfully. 'You are the only man who has ever come back from it.'	'Must you really go back to that dreadful place?' she asked wistfully. 'You are the only man who has ever come back from it.'	true	780.32	787.6	21.593317
6927_86045_000054_000000	'I must,' was all he answered.	'I must,' was all he answered.	true	788.75	791.11	21.28114
6927_86045_000054_000001	And the princess, who was a wise woman, only said: 'Well, go to bed now, for I am sure you must be very tired.'	And the princess, who was a wise woman, only said: 'Well, go to bed now, for I am sure you must be very tired.'	true	791.3	799.33	21.687265
6927_86045_000055_000000	But the knight shook his head.	But the knight shook his head.	true	800.15	801.79	23.04392
6927_86045_000055_000001	'I have sworn never to lie in a bed as long as my work in the castle remains standing.' And the princess again sighed, and was silent.	'I have sworn never to lie in a bed as long as my work in the castle remains standing.' And the princess again sighed, and was silent.	true	802.07	811.39	16.344572
6927_86045_000056_000000	Early next day the young man started for the castle, feeling sure that some terrible thing must have happened to his brother.	Early next day the young man started for the castle, feeling sure that some terrible thing must have happened to his brother.	true	812.09	819.58	24.823343
6927_86045_000057_000000	At the blast of his horn the long nose of the old woman appeared at the grating, but the moment she caught sight of his face, she nearly fainted from fright, as she thought it was the ghost of the youth whose bones were lying in the dungeon of the castle.	At the blast of his horn the long nose of the old woman appeared at the grating, but the moment she caught sight of his face, she nearly fainted from fright, as she thought it was the ghost of the youth whose bones were lying in the dungeon of the castle.	false	820.4	834.31	22.356285
6927_86045_000058_000000	'Lady of all the ages,' cried the new comer, 'did you not give hospitality to a young knight but a short time ago?'	'Lady of all the ages,' cried the new comer, 'did you not give hospitality to a young knight but a short time ago?'	true	835.85	843.28	21.676811
6927_86045_000059_000000	'A short time ago!' wailed the voices.	'A short time ago!' wailed the voices.	true	844.19	846.88	20.682701
6927_86045_000060_000000	'And how have you ill-treated him?' he went on.	'And how have you ill treated him?' he went on.	true	847.01	850.33	21.815842
6927_86045_000061_000000	'Ill-treated him!' answered the voices.	'Ill treated him!' answered the voices.	true	850.82	853.6	24.380157
6927_86045_000061_000001	The woman did not stop to hear more; she turned to fly; but the knight's sword entered her body.	The woman did not stop to hear more; she turned to fly; but the knight's sword entered her body.	true	854.39	860.32	22.343142
6927_86045_000062_000000	'Where is my brother, cruel hag?' asked he sternly.	'Where is my brother, cruel hag?' asked he sternly.	true	860.63	864.25	21.326395
6927_86045_000063_000000	'I will tell you,' said she; 'but as I feel that I am going to die I shall keep that piece of news to myself, till you have brought me to life again.'	'I will tell you,' said she; 'but as I feel that I am going to die I shall keep that piece of news to myself, till you have brought me to life again.'	true	864.44	874.3	24.771406
6927_86045_000064_000000	The young man laughed scornfully.	The young man laughed scornfully.	true	875.99	878.02	23.246443
6927_86045_000064_000001	'How do you propose that I should work that miracle?'	'How do you propose that I should work that miracle?'	true	878.18	881.05	25.109497
6927_86045_000065_000000	'Oh, it is quite easy.	'Oh, it is quite easy.	true	881.93	883.93	21.30173
6927_86045_000065_000001	Go into the garden and gather the flowers of the everlasting plant and some of dragon's blood.	Go into the garden and gather the flowers of the everlasting plant and some of dragon's blood.	true	884.03	889.74	22.558937
6927_86045_000065_000002	Crush them together and boil them in a large tub of water, and then put me into it.'	Crush them together and boil them in a large tub of water, and then put me into it.'	true	889.74	894.85	22.033594
6927_86045_000066_000000	The knight did as the old witch bade him, and, sure enough, she came out quite whole, but uglier than ever.	The knight did as the old witch bade him, and, sure enough, she came out quite whole, but uglier than ever.	true	895.94	902.68	24.43825
6927_86045_000066_000001	She then told the young man what had become of his brother, and he went down into the dungeon, and brought up his body and the bodies of the other victims who lay there, and when they were all washed in the magic water their strength was restored to them.	She then told the young man what had become of his brother, and he went down into the dungeon, and brought up his body and the bodies of the other victims who lay there, and when they were all washed in the magic water their strength was restored to them.	true	903.29	916.87	22.026333
6927_86045_000067_000000	And, besides these, he found in another cavern the bodies of the girls who had been sacrificed to the dragon, and brought them back to life also.	And, besides these, he found in another cavern the bodies of the girls who had been sacrificed to the dragon, and brought them back to life also.	true	917.27	925.84	21.797474
6927_86045_000068_000000	As to the old witch, in the end she died of rage at seeing her prey escape her; and at the moment she drew her last breath the castle of Albatroz fell into ruins with a great noise.	As to the old witch, in the end she died of rage at seeing her prey escape her; and at the moment she drew her last breath the castle of Albatroz fell into ruins with a great noise.	true	926.96	938.64	21.517677
6927_86045_000069_000000	[From Cuentos, Oraciones, Adivinas recogidos por Fernan Caballaro.]	[From Cuentos, Oraciones, Adivinas recogidos por Fernan Caballaro.]	false	938.64	939.99	1
6927_86045_000070_000000	End of the Project Gutenberg EBook of The Brown Fairy Book, by Andrew Lang	End of the Project Gutenberg EBook of The Brown Fairy Book, by Andrew Lang	false	939.99	951.54	18.768581
