6927_86045_000001_000000	The Knights of the Fish	The Knights of the Fish
6927_86045_000032_000000	'Not even a page!' answered the echoes.	'Not even a page!' answered the echoes.
6927_86045_000032_000001	But the young man did not heed them, and only struck a furious blow at the gate.	But the young man did not heed them, and only struck a furious blow at the gate.
6927_86045_000033_000000	Then a small grating opened, and there appeared the tip of a huge nose, which belonged to the ugliest old woman that ever was seen.	Then a small grating opened, and there appeared the tip of a huge nose, which belonged to the ugliest old woman that ever was seen.
6927_86045_000034_000000	'What do you want?' said she.	'What do you want?' said she.
6927_86045_000035_000000	'To enter,' he answered shortly.	'To enter,' he answered shortly.
6927_86045_000035_000001	'Can I rest here this night?	'Can I rest here this night?
6927_86045_000035_000002	Yes or No?'	Yes or No?'
6927_86045_000036_000000	'No, No, No!' repeated the echoes.	'No, No, No!' repeated the echoes.
6927_86045_000037_000000	Between the fierce sun and his anger at being kept waiting, the Knight of the Fish had grown so hot that he lifted his visor, and when the old woman saw how handsome he was, she began fumbling with the lock of the gate.	Between the fierce sun and his anger at being kept waiting, the Knight of the Fish had grown so hot that he lifted his visor, and when the old woman saw how handsome he was, she began fumbling with the lock of the gate.
6927_86045_000038_000000	'Come in, come in,' said she, 'so fine a gentleman will do us no harm.'	'Come in, come in,' said she, 'so fine a gentleman will do us no harm.'
6927_86045_000039_000000	'Harm!' repeated the echoes, but again the young man paid no heed.	'Harm!' repeated the echoes, but again the young man paid no heed.
6927_86045_000041_000000	'You must call me the Lady Berberisca,' she answered, sharply; 'and this is my castle, to which I bid you welcome.	'You must call me the Lady Berberisca,' she answered, sharply; 'and this is my castle, to which I bid you welcome.
6927_86045_000041_000001	You shall live here with me and be my husband.' But at these words the knight let his spear fall, so surprised was he.	You shall live here with me and be my husband.' But at these words the knight let his spear fall, so surprised was he.
6927_86045_000042_000001	'You are mad!	'You are mad!
6927_86045_000042_000002	All I desire is to inspect the castle and then go.' As he spoke he heard the voices give a mocking laugh; but the old woman took no notice, and only bade the knight follow her.	All I desire is to inspect the castle and then go.' As he spoke he heard the voices give a mocking laugh; but the old woman took no notice, and only bade the knight follow her.
6927_86045_000043_000000	Old though she was, it seemed impossible to tire her.	Old though she was, it seemed impossible to tire her.
6927_86045_000044_000000	At length they came to a stone staircase, which was so dark that you could not see your hand if you held it up before your face.	At length they came to a stone staircase, which was so dark that you could not see your hand if you held it up before your face.
6927_86045_000045_000000	'I have kept my most precious treasure till the last,' said the old woman; 'but let me go first, for the stairs are steep, and you might easily break your leg.' So on she went, now and then calling back to the young man in the darkness.	'I have kept my most precious treasure till the last,' said the old woman; 'but let me go first, for the stairs are steep, and you might easily break your leg.' So on she went, now and then calling back to the young man in the darkness.
6927_86045_000046_000000	'So you would not marry me!' chuckled the old witch.	'So you would not marry me!' chuckled the old witch.
6927_86045_000046_000001	'Ha! ha!	'Ha! ha!
6927_86045_000046_000002	Ha! ha!'	Ha! ha!'
6927_86045_000047_000000	Meanwhile his brother had wandered far and wide, and at last he wandered back to the same great city where the other young knight had met with so many adventures.	Meanwhile his brother had wandered far and wide, and at last he wandered back to the same great city where the other young knight had met with so many adventures.
6927_86045_000047_000002	At last it occurred to him that once more he had been taken for his brother.	At last it occurred to him that once more he had been taken for his brother.
6927_86045_000047_000003	'I had better say nothing,' thought he; 'perhaps I shall be able to help him after all.'	'I had better say nothing,' thought he; 'perhaps I shall be able to help him after all.'
6927_86045_000048_000000	So he suffered himself to be borne in triumph to the palace, where the princess threw herself into his arms.	So he suffered himself to be borne in triumph to the palace, where the princess threw herself into his arms.
6927_86045_000049_000000	'And so you did go to the castle?' she asked.	'And so you did go to the castle?' she asked.
6927_86045_000050_000000	'Yes, of course I did,' answered he.	'Yes, of course I did,' answered he.
6927_86045_000051_000000	'And what did you see there?'	'And what did you see there?'
6927_86045_000052_000000	'I am forbidden to tell you anything about it, until I have returned there once more,' replied he.	'I am forbidden to tell you anything about it, until I have returned there once more,' replied he.
6927_86045_000053_000000	'Must you really go back to that dreadful place?' she asked wistfully. 'You are the only man who has ever come back from it.'	'Must you really go back to that dreadful place?' she asked wistfully. 'You are the only man who has ever come back from it.'
6927_86045_000054_000000	'I must,' was all he answered.	'I must,' was all he answered.
6927_86045_000054_000001	And the princess, who was a wise woman, only said: 'Well, go to bed now, for I am sure you must be very tired.'	And the princess, who was a wise woman, only said: 'Well, go to bed now, for I am sure you must be very tired.'
6927_86045_000055_000000	But the knight shook his head.	But the knight shook his head.
6927_86045_000056_000000	Early next day the young man started for the castle, feeling sure that some terrible thing must have happened to his brother.	Early next day the young man started for the castle, feeling sure that some terrible thing must have happened to his brother.
6927_86045_000058_000000	'Lady of all the ages,' cried the new comer, 'did you not give hospitality to a young knight but a short time ago?'	'Lady of all the ages,' cried the new comer, 'did you not give hospitality to a young knight but a short time ago?'
6927_86045_000059_000000	'A short time ago!' wailed the voices.	'A short time ago!' wailed the voices.
6927_86045_000060_000000	'And how have you ill-treated him?' he went on.	'And how have you ill treated him?' he went on.
6927_86045_000061_000000	'Ill-treated him!' answered the voices.	'Ill treated him!' answered the voices.
6927_86045_000061_000001	The woman did not stop to hear more; she turned to fly; but the knight's sword entered her body.	The woman did not stop to hear more; she turned to fly; but the knight's sword entered her body.
6927_86045_000062_000000	'Where is my brother, cruel hag?' asked he sternly.	'Where is my brother, cruel hag?' asked he sternly.
6927_86045_000063_000000	'I will tell you,' said she; 'but as I feel that I am going to die I shall keep that piece of news to myself, till you have brought me to life again.'	'I will tell you,' said she; 'but as I feel that I am going to die I shall keep that piece of news to myself, till you have brought me to life again.'
6927_86045_000064_000000	The young man laughed scornfully.	The young man laughed scornfully.
6927_86045_000064_000001	'How do you propose that I should work that miracle?'	'How do you propose that I should work that miracle?'
6927_86045_000065_000000	'Oh, it is quite easy.	'Oh, it is quite easy.
6927_86045_000065_000001	Go into the garden and gather the flowers of the everlasting plant and some of dragon's blood.	Go into the garden and gather the flowers of the everlasting plant and some of dragon's blood.
6927_86045_000065_000002	Crush them together and boil them in a large tub of water, and then put me into it.'	Crush them together and boil them in a large tub of water, and then put me into it.'
6927_86045_000066_000000	The knight did as the old witch bade him, and, sure enough, she came out quite whole, but uglier than ever.	The knight did as the old witch bade him, and, sure enough, she came out quite whole, but uglier than ever.
6927_86045_000066_000001	She then told the young man what had become of his brother, and he went down into the dungeon, and brought up his body and the bodies of the other victims who lay there, and when they were all washed in the magic water their strength was restored to them.	She then told the young man what had become of his brother, and he went down into the dungeon, and brought up his body and the bodies of the other victims who lay there, and when they were all washed in the magic water their strength was restored to them.
6927_86045_000067_000000	And, besides these, he found in another cavern the bodies of the girls who had been sacrificed to the dragon, and brought them back to life also.	And, besides these, he found in another cavern the bodies of the girls who had been sacrificed to the dragon, and brought them back to life also.
6927_86045_000068_000000	As to the old witch, in the end she died of rage at seeing her prey escape her; and at the moment she drew her last breath the castle of Albatroz fell into ruins with a great noise.	As to the old witch, in the end she died of rage at seeing her prey escape her; and at the moment she drew her last breath the castle of Albatroz fell into ruins with a great noise.
