288_131220_000000_000000	CHAPTER XXXIV.	CHAPTER thirty four.	true	25.29	27.1	25.110954
288_131220_000027_000000	"It wouldn't be nice to walk over the flowers with dirty boots--would it, sir?"	"It wouldn't be nice to walk over the flowers with dirty boots-would it, sir?"	true	240.53	244.24	21.450361
288_131220_000028_000000	"No, indeed."	"No, indeed."	true	244.46	245.67	19.074066
288_131220_000029_000000	"They wouldn't like it--would they?"	"They wouldn't like it-would they?"	false	245.67	245.97	-20
288_131220_000030_000000	"No, they wouldn't."	"No, they wouldn't."	false	245.97	246.12	-20
288_131220_000031_000000	"Then Nanny would be better pleased to go, sir."	"Then Nanny would be better pleased to go, sir."	true	246.12	248.22	22.65296
288_131220_000032_000000	"If the flowers didn't like dirty boots to walk over them, Nanny wouldn't mind going to the country?	"If the flowers didn't like dirty boots to walk over them, Nanny wouldn't mind going to the country?	false	248.22	253.71	19.982689
288_131220_000032_000001	Is that it?	Is that it?	false	253.71	254.68	22.18356
288_131220_000032_000002	I don't quite see it."	I don't quite see it."	true	254.69	256.12	20.560074
288_131220_000033_000000	"No, sir; I didn't mean that.	"No, sir; I didn't mean that.	true	256.61	258.45	20.915194
288_131220_000033_000001	I meant, if you would take Jim with you to clean your boots, and do odd jobs, you know, sir, then Nanny would like it better.	I meant, if you would take Jim with you to clean your boots, and do odd jobs, you know, sir, then Nanny would like it better.	true	258.45	264.78	21.93961
288_131220_000033_000002	She's so fond of Jim!"	She's so fond of Jim!"	false	264.78	265.87	18
288_131220_000034_000000	"Now you come to the point, Diamond.	"Now you come to the point, Diamond.	true	266.45	268.24	23.544598
288_131220_000034_000001	I see what you mean, exactly.	I see what you mean, exactly.	true	268.34	270.4	20.449213
288_131220_000034_000002	I will turn it over in my mind.	I will turn it over in my mind.	true	270.53	272.26	20.392176
288_131220_000034_000003	Could you bring Jim to see me?"	Could you bring Jim to see me?"	true	272.75	274.27	19.772682
288_131220_000035_000000	"I'll try, sir.	"I'll try, sir.	true	274.61	275.76	22.269648
288_131220_000035_000001	But they don't mind me much.	But they don't mind me much.	false	275.76	277.39	20.792665
288_131220_000035_000002	They think I'm silly," added Diamond, with one of his sweetest smiles.	They think I'm silly," added Diamond, with one of his sweetest smiles.	true	277.46	281.83	19.61591
288_131220_000036_000000	What Mr. Raymond thought, I dare hardly attempt to put down here.	What mr Raymond thought, I dare hardly attempt to put down here.	true	282.77	286.18	22.297125
288_131220_000036_000001	But one part of it was, that the highest wisdom must ever appear folly to those who do not possess it.	But one part of it was, that the highest wisdom must ever appear folly to those who do not possess it.	false	286.94	292.48	21.820642
288_131220_000037_000000	"I think he would come though--after dark, you know," Diamond continued. "He does well at shining boots.	"I think he would come though-after dark, you know," Diamond continued. "He does well at shining boots.	false	293	299.38	21.534353
288_131220_000037_000001	People's kind to lame boys, you know, sir.	People's kind to lame boys, you know, sir.	true	299.81	302.65	21.897808
288_131220_000037_000002	But after dark, there ain't so much doing."	But after dark, there ain't so much doing."	true	303.14	305.8	24.04377
288_131220_000038_000000	Diamond succeeded in bringing Jim to Mr. Raymond, and the consequence was that he resolved to give the boy a chance.	Diamond succeeded in bringing Jim to mr Raymond, and the consequence was that he resolved to give the boy a chance.	true	306.32	312.04	21.249844
288_131220_000038_000001	He provided new clothes for both him and Nanny; and upon a certain day, Joseph took his wife and three children, and Nanny and Jim, by train to a certain station in the county of Kent, where they found a cart waiting to carry them and their luggage to The Mound, which was the name of Mr. Raymond's new residence. I will not describe the varied feelings of the party as they went, or when they arrived.	He provided new clothes for both him and Nanny; and upon a certain day, Joseph took his wife and three children, and Nanny and Jim, by train to a certain station in the county of Kent, where they found a cart waiting to carry them and their luggage to The Mound, which was the name of mr Raymond's new residence. I will not describe the varied feelings of the party as they went, or when they arrived.	false	312.44	333.01	20.795265
288_131220_000038_000002	All I will say is, that Diamond, who is my only care, was full of quiet delight--a gladness too deep to talk about.	All I will say is, that Diamond, who is my only care, was full of quiet delight-a gladness too deep to talk about.	true	333.26	340.57	21.588873
288_131220_000039_000000	Joseph returned to town the same night, and the next morning drove Ruby and Diamond down, with the carriage behind them, and Mr. Raymond and a lady in the carriage.	Joseph returned to town the same night, and the next morning drove Ruby and Diamond down, with the carriage behind them, and mr Raymond and a lady in the carriage.	false	341.66	350.92	21.259472
288_131220_000039_000001	For Mr. Raymond was an old bachelor no longer: he was bringing his wife with him to live at The Mound.	For mr Raymond was an old bachelor no longer: he was bringing his wife with him to live at The Mound.	false	351.71	357.96	20.362263
288_131220_000039_000002	The moment Nanny saw her, she recognised her as the lady who had lent her the ruby-ring. That ring had been given her by Mr. Raymond.	The moment Nanny saw her, she recognised her as the lady who had lent her the ruby ring. That ring had been given her by mr Raymond.	false	357.96	364.9	20.705914
288_131220_000040_000000	The weather was very hot, and the woods very shadowy.	The weather was very hot, and the woods very shadowy.	false	366.2	369.22	20.825945
288_131220_000040_000001	There were not a great many wild flowers, for it was getting well towards autumn, and the most of the wild flowers rise early to be before the leaves, because if they did not, they would never get a glimpse of the sun for them.	There were not a great many wild flowers, for it was getting well towards autumn, and the most of the wild flowers rise early to be before the leaves, because if they did not, they would never get a glimpse of the sun for them.	false	369.77	382.57	21.058008
288_131220_000040_000002	So they have their fun over, and are ready to go to bed again by the time the trees are dressed.	So they have their fun over, and are ready to go to bed again by the time the trees are dressed.	true	382.58	387.15	20.988207
288_131220_000040_000003	But there was plenty of the loveliest grass and daisies about the house, and Diamond's chief pleasure seemed to be to lie amongst them, and breathe the pure air.	But there was plenty of the loveliest grass and daisies about the house, and Diamond's chief pleasure seemed to be to lie amongst them, and breathe the pure air.	false	387.15	396.07	20.153584
288_131220_000040_000004	But all the time, he was dreaming of the country at the back of the north wind, and trying to recall the songs the river used to sing.	But all the time, he was dreaming of the country at the back of the north wind, and trying to recall the songs the river used to sing.	true	396.86	403.54	21.110153
288_131220_000040_000005	For this was more like being at the back of the north wind than anything he had known since he left it. Sometimes he would have his little brother, sometimes his little sister, and sometimes both of them in the grass with him, and then he felt just like a cat with her first kittens, he said, only he couldn't purr--all he could do was to sing.	For this was more like being at the back of the north wind than anything he had known since he left it. Sometimes he would have his little brother, sometimes his little sister, and sometimes both of them in the grass with him, and then he felt just like a cat with her first kittens, he said, only he couldn't purr-all he could do was to sing.	true	404.18	424.09	19.908895
288_131220_000041_000000	These were very different times from those when he used to drive the cab, but you must not suppose that Diamond was idle.	These were very different times from those when he used to drive the cab, but you must not suppose that Diamond was idle.	true	425.18	431.04	20.115427
288_131220_000041_000001	He did not do so much for his mother now, because Nanny occupied his former place; but he helped his father still, both in the stable and the harness-room, and generally went with him on the box that he might learn to drive a pair, and be ready to open the carriage-door.	He did not do so much for his mother now, because Nanny occupied his former place; but he helped his father still, both in the stable and the harness room, and generally went with him on the box that he might learn to drive a pair, and be ready to open the carriage door.	false	431.04	446.32	21.340694
288_131220_000041_000002	Mr. Raymond advised his father to give him plenty of liberty.	mr Raymond advised his father to give him plenty of liberty.	true	447.92	451.24	20.987171
288_131220_000042_000000	"A boy like that," he said, "ought not to be pushed."	"A boy like that," he said, "ought not to be pushed."	false	453.32	456.79	22.956776
288_131220_000043_000000	Joseph assented heartily, smiling to himself at the idea of pushing Diamond.	Joseph assented heartily, smiling to himself at the idea of pushing Diamond.	true	459.17	463.63	20.984762
288_131220_000043_000001	After doing everything that fell to his share, the boy had a wealth of time at his disposal.	After doing everything that fell to his share, the boy had a wealth of time at his disposal.	true	464.24	469.42	22.679482
288_131220_000043_000002	And a happy, sometimes a merry time it was.	And a happy, sometimes a merry time it was.	true	470.09	472.9	20.699547
288_131220_000043_000003	Only for two months or so, he neither saw nor heard anything of North Wind.	Only for two months or so, he neither saw nor heard anything of North Wind.	false	473.84	488.43	18.704865
