5012_31097_000000_000000	[Illustration]	[Illustration]	false	0.93	1.26	21
5012_31097_000005_000001	This antelope takes me back to the hard, white Plains.	This antelope takes me back to the hard, white Plains.	true	98.66	102.16	23.01662
5012_31097_000005_000002	These huge antlers could grow only amid the forests of the Rockies.	These huge antlers could grow only amid the forests of the Rockies.	true	102.44	106.66	20.030333
5012_31097_000005_000003	That wolf--how many of the hounds he mangled, I remember; and the giant bear, it was a good fight he made, perhaps dangerous, had the old rifle there been less sure. Yes, yes, of course, I could recall each incident.	That wolf-how many of the hounds he mangled, I remember; and the giant bear, it was a good fight he made, perhaps dangerous, had the old rifle there been less sure. Yes, yes, of course, I could recall each incident.	true	107.21	122.77	21.629383
5012_31097_000005_000004	Of course, they all were thrilling, exciting, delightful, glorious, all those things.	Of course, they all were thrilling, exciting, delightful, glorious, all those things.	true	123.05	128.41	22.472494
5012_31097_000005_000005	Of course, the heart must have leaped in those days.	Of course, the heart must have leaped in those days.	true	128.57	131.35	22.247196
5012_31097_000005_000006	The blood must have surged, in those moments.	The blood must have surged, in those moments.	true	131.48	134.44	20.888126
5012_31097_000005_000007	The pulse must have grown hard, the mouth must have been dry with the ardor of the chase, at those times.	The pulse must have grown hard, the mouth must have been dry with the ardor of the chase, at those times.	true	134.69	141.46	22.452614
5012_31097_000005_000008	But now?	But now?	true	141.8	142.81	21.72338
5012_31097_000005_000009	But why?	But why?	true	143.39	144.37	22.938765
5012_31097_000005_000010	Does the heart leap to-night, do the veins fill with the rush of the blood, tumultuous in the joy of stimulus or danger?	Does the heart leap to night, do the veins fill with the rush of the blood, tumultuous in the joy of stimulus or danger?	true	145.07	152.44	22.131975
5012_31097_000005_000011	Why does not the old eagerness come back?	Why does not the old eagerness come back?	true	153.11	155.71	22.307724
5012_31097_000005_000012	Which of these trophies is the one to bring this back again?	Which of these trophies is the one to bring this back again?	true	156.14	159.58	21.694225
5012_31097_000005_000013	To which of these grim, silent heads belongs the keenest story?"	To which of these grim, silent heads belongs the keenest story?"	true	160.4	164.77	19
5012_31097_000006_000000	"I know," said the Singing Mouse, which unknown to me had come and placed itself upon the table.	"I know," said the Singing Mouse, which unknown to me had come and placed itself upon the table.	true	165.56	172.12	22.67233
5012_31097_000006_000001	"I know." And it climbed upon my arm which lay across the table.	"I know." And it climbed upon my arm which lay across the table.	true	172.55	177.55	22.685936
5012_31097_000006_000002	The fire shone fair upon its little form, so that in silhouette its outline was delicate and keen as an image cut from the fiery heart of a noble opal stone.	The fire shone fair upon its little form, so that in silhouette its outline was delicate and keen as an image cut from the fiery heart of a noble opal stone.	true	178.01	188.11	18
5012_31097_000007_000000	"And what is it that you know?" I asked.	"And what is it that you know?" I asked.	true	188.75	191.17	19.9287
5012_31097_000007_000001	"Maker of dreams, tell me what you know to-night."	"Maker of dreams, tell me what you know to night."	true	191.33	194.44	20.222641
5012_31097_000008_000000	The Singing Mouse balanced and moved itself in harmony with the beat of the fire's rays.	The Singing Mouse balanced and moved itself in harmony with the beat of the fire's rays.	true	195.08	200.17	18
5012_31097_000008_000001	I looked at it so closely that a dream came upon my eyes, so that the voice of the Singing Mouse sounded far away and faint, though it was still clear and resonant in its own peculiar way and very fine and sweet.	I looked at it so closely that a dream came upon my eyes, so that the voice of the Singing Mouse sounded far away and faint, though it was still clear and resonant in its own peculiar way and very fine and sweet.	true	200.36	214.72	20.261877
5012_31097_000009_000000	"I will tell you which trophy you most prize," it said.	"I will tell you which trophy you most prize," it said.	true	215.18	218.86	21.032728
5012_31097_000009_000001	"I will show you your _Iliad_ of the chase.	"I will show you your underscore Iliad underscore of the chase.	false	219.26	222.13	18.256079
5012_31097_000009_000002	Do you not remember, do you not see this, the most eventful hunting of all your life?"	Do you not remember, do you not see this, the most eventful hunting of all your life?"	false	222.5	228.94	21.813549
5012_31097_000010_000000	And so I gazed where the Singing Mouse pointed, quite beyond the dusty walls, and there I saw as it had said.	And so I gazed where the Singing Mouse pointed, quite beyond the dusty walls, and there I saw as it had said.	true	229.01	236.59	20.651384
5012_31097_000010_000001	I heard not the thunder of the hoofs of buffalo, nor the faint crack of the twig beneath the panther's foot.	I heard not the thunder of the hoofs of buffalo, nor the faint crack of the twig beneath the panther's foot.	true	236.9	243.37	21.338541
5012_31097_000010_000002	I saw not the lurching gallop of the long-jawed wolf, nor the high, elastic bounding of the deer.	I saw not the lurching gallop of the long jawed wolf, nor the high, elastic bounding of the deer.	true	243.71	250.09	22.239794
5012_31097_000010_000003	The level swinging speed of the antelope, the slinking of the lynx, the crashing flight of the wapiti--no, it was none of these that came to mind; nor did the mountains nor the plains, nor the wilderness of the pines.	The level swinging speed of the antelope, the slinking of the lynx, the crashing flight of the wapiti-no, it was none of these that came to mind; nor did the mountains nor the plains, nor the wilderness of the pines.	true	251	266.41	21.032623
5012_31097_000010_000004	But when the Singing Mouse whispered, "Do you see?" I murmured in reply, "I see it all again!"	But when the Singing Mouse whispered, "Do you see?" I murmured in reply, "I see it all again!"	true	266.54	273.58	24.251736
5012_31097_000011_000000	I saw the small, low hills, well covered with short oaks and hazel bushes, which rolled on away from the village, far out, almost to the Delectable Mountains, which are well known to be upon the edge of the world.	I saw the small, low hills, well covered with short oaks and hazel bushes, which rolled on away from the village, far out, almost to the Delectable Mountains, which are well known to be upon the edge of the world.	true	274.25	288.01	22.147755
5012_31097_000011_000001	Through these low hills a winding road led on, a road whose end no man had ever reached, but which went to places where, no doubt, many wonders were--perhaps even to the Delectable Mountains; for so a wise man once had said, his words harkened to with awe.	Through these low hills a winding road led on, a road whose end no man had ever reached, but which went to places where, no doubt, many wonders were-perhaps even to the Delectable Mountains; for so a wise man once had said, his words harkened to with awe.	true	288.74	306.82	20.936852
5012_31097_000011_000002	This was a pleasant road, lined with brave sumacs, with bushes of the wild blackberry, and with small hazel trees which soon would offer fruit for the regular harvest of the fall, this same to be spread for drying on the woodshed roof.	This was a pleasant road, lined with brave sumacs, with bushes of the wild blackberry, and with small hazel trees which soon would offer fruit for the regular harvest of the fall, this same to be spread for drying on the woodshed roof.	true	307.37	323.2	21.75999
5012_31097_000011_000003	It was perhaps wise curiosity as to the crop of nuts which had brought thus far from home these two figures--an enormous distance, perhaps at least a mile beyond what heretofore had been the utmost limit of their wanderings.	It was perhaps wise curiosity as to the crop of nuts which had brought thus far from home these two figures-an enormous distance, perhaps at least a mile beyond what heretofore had been the utmost limit of their wanderings.	true	323.54	337.81	21.728455
5012_31097_000011_000004	It was not, perhaps, safe to venture so far.	It was not, perhaps, safe to venture so far.	true	338.42	341.47	23.334412
5012_31097_000011_000005	There were known to be strange creatures in these woods, one knew not what.	There were known to be strange creatures in these woods, one knew not what.	true	341.96	346.87	21.21255
5012_31097_000011_000006	It was therefore well that the younger boy should clasp tightly the hand of the older, him who bore with such confidence the bow and arrows, potent weapons of those days gone by!	It was therefore well that the younger boy should clasp tightly the hand of the older, him who bore with such confidence the bow and arrows, potent weapons of those days gone by!	true	347.3	358.17	22.39494
5012_31097_000012_000000	[Illustration]	[Illustration]	false	358.17	358.83	-20
5012_31097_000013_000000	It was half with fear and half with curiosity that these two wandered on, along this mysterious road, through this wild and unknown wilderness, so far from any habitation of mankind.	It was half with fear and half with curiosity that these two wandered on, along this mysterious road, through this wild and unknown wilderness, so far from any habitation of mankind.	true	358.83	370.92	19.951832
5012_31097_000013_000001	The zeal of the explorer held them fast.	The zeal of the explorer held them fast.	false	370.92	374.47	19.453028
5012_31097_000013_000002	They scarce dared fare farther on, but yet would not turn back.	They scarce dared fare farther on, but yet would not turn back.	true	374.72	378.73	23.182697
5012_31097_000013_000003	The noises of the woods thrilled them.	The noises of the woods thrilled them.	true	379.07	381.37	19.931252
5012_31097_000013_000004	The sudden clanging note of the jay near by caused them to stop, heart in mouth for the moment.	The sudden clanging note of the jay near by caused them to stop, heart in mouth for the moment.	true	381.5	387.52	22.899458
5012_31097_000013_000005	Strange rustlings in the leaves made them cross the road, and step more quickly.	Strange rustlings in the leaves made them cross the road, and step more quickly.	true	387.8	392.56	22.331232
5012_31097_000013_000006	Yet the cawing of a crow across the woods seemed friendly, and a small brown bird which hopped ahead along the road was intimate and kind, and thus touched the founts of bravery in the two venturous hearts.	Yet the cawing of a crow across the woods seemed friendly, and a small brown bird which hopped ahead along the road was intimate and kind, and thus touched the founts of bravery in the two venturous hearts.	true	393.02	405.25	21.22612
5012_31097_000013_000007	Certainly they would go on. It was no matter about the sun.	Certainly they would go on. It was no matter about the sun	true	405.56	409.81	22.02304
5012_31097_000013_000008	This was the valley of Ajalon, perhaps, of which one had heard in the class at Sabbath-school. And surely this was a good, droning, yellow-bodied bee--where did the bees go to when they rose up straight into the air?	This was the valley of Ajalon, perhaps, of which one had heard in the class at Sabbath school. And surely this was a good, droning, yellow bodied bee-where did the bees go to when they rose up straight into the air?	true	410.39	423.88	22.282093
5012_31097_000013_000009	And this little mouse, what became of it in winter?	And this little mouse, what became of it in winter?	true	424.58	427.87	20.979061
5012_31097_000013_000010	And--ah!	And-ah!	true	428.75	429.765	20.951496
5012_31097_000013_000011	What was that--that awful burst of sound?	What was that-that awful burst of sound?	true	429.765	432.97	23.074602
5012_31097_000013_000012	Clutch closer, little brother, though both be pale!	Clutch closer, little brother, though both be pale!	true	433.4	436.6	22.782867
5012_31097_000013_000013	How should either of you yet know the thunderous flight of the wild grouse, this great bird which whirled away through the brown leaves of the oaks?	How should either of you yet know the thunderous flight of the wild grouse, this great bird which whirled away through the brown leaves of the oaks?	true	437.18	445.24	22.014023
5012_31097_000013_000014	Father must be asked about this tremendous, startling bird.	Father must be asked about this tremendous, startling bird.	true	445.67	449.38	21.829885
5012_31097_000013_000015	Meantime, the heart having begun to beat again, let the two adventurers press yet a little farther on.	Meantime, the heart having begun to beat again, let the two adventurers press yet a little farther on.	true	449.9	456.22	20.63775
5012_31097_000014_000000	And so, with fears and tremblings, with doubts and joys, through briers and flowers, through hindrances and recompenses, along this crooked, winding, unknown road which led on out into the Unknown, they wandered, as in life we all are wandering to-day.	And so, with fears and tremblings, with doubts and joys, through briers and flowers, through hindrances and recompenses, along this crooked, winding, unknown road which led on out into the Unknown, they wandered, as in life we all are wandering to day.	true	457.01	474.78	20.91422
5012_31097_000015_000000	[Illustration]	[Illustration]	false	474.78	475.53	-20
5012_31097_000016_000000	But hush!	But hush!	true	475.53	476.355	20.76014
5012_31097_000016_000001	Listen!	Listen!	true	476.355	477.01	20.891302
5012_31097_000016_000002	What is it, this sound, approaching, coming directly toward the road?	What is it, this sound, approaching, coming directly toward the road?	true	477.65	481.87	23.110775
5012_31097_000016_000003	Surely, it must be the footfall of some large animal, this cadenced rustling on the leaves!	Surely, it must be the footfall of some large animal, this cadenced rustling on the leaves!	true	482.15	488.11	22.400656
5012_31097_000016_000004	It comes--it will cross near--there, it has turned, it is near the road!	It comes-it will cross near-there, it has turned, it is near the road!	true	488.39	493.995	21.336863
5012_31097_000016_000005	Look!	Look!	true	493.995	494.62	28.862608
5012_31097_000016_000006	There it is, a great animal, half the length of one's arm, with bushy, long red tail arched high for easier running, its grayish coat showing in the bars of sunlight, its eyes bright and black and keen.	There it is, a great animal, half the length of one's arm, with bushy, long red tail arched high for easier running, its grayish coat showing in the bars of sunlight, its eyes bright and black and keen.	true	494.9	509.23	21.146946
5012_31097_000016_000007	Had it not been said there were wild animals in these woods?	Had it not been said there were wild animals in these woods?	true	509.87	513.16	18.662922
5012_31097_000017_000000	Each heart now thumped hard with the surging blood it bore; but it was now the blood of hunters and not of boys.	Each heart now thumped hard with the surging blood it bore; but it was now the blood of hunters and not of boys.	true	514.19	521.17	22.793291
5012_31097_000017_000001	Fear vanished at the sight of the quarry, and the only thought remaining was that of battle and of victory.	Fear vanished at the sight of the quarry, and the only thought remaining was that of battle and of victory.	false	521.51	527.5	21.938967
5012_31097_000017_000002	Well for the animal that it ran--ill for it that it ran down the road and not back into the cover.	Well for the animal that it ran-ill for it that it ran down the road and not back into the cover.	false	527.9	533.95	21.674688
5012_31097_000017_000003	The bow twanged, the arrow flew--blunt, but keenly sped. Down went the smitten prey!	The bow twanged, the arrow flew-blunt, but keenly sped. Down went the smitten prey!	true	534.26	541.32	19.990923
5012_31097_000017_000004	Paean!	Paean!	false	541.32	542.4	22.381144
5012_31097_000017_000005	Forward!	Forward!	true	542.4	543.135	25.566185
5012_31097_000017_000006	Victory!	Victory!	true	543.135	544.03	22.77762
5012_31097_000018_000000	But ho! the creature rallies--recovers!	But ho! the creature rallies-recovers!	true	545.06	547.69	21.048925
5012_31097_000018_000001	It gathers its forces, it flies!	It gathers its forces, it flies!	true	547.88	550.21	21.025055
5012_31097_000018_000002	Pursuit then, but pursuit apparently useless, for the animal has found refuge deep in this hollow stump, beyond the reach of longest mortal arm!	Pursuit then, but pursuit apparently useless, for the animal has found refuge deep in this hollow stump, beyond the reach of longest mortal arm!	true	550.4	559.87	20.655308
5012_31097_000019_000000	Rustle now, ye leaves, and threaten now, all ye boughs with menacings.	Rustle now, ye leaves, and threaten now, all ye boughs with menacings.	true	560.72	565.33	19.56194
5012_31097_000019_000001	Roar, grouse, and clamor on, all ye jangling jays.	Roar, grouse, and clamor on, all ye jangling jays.	true	565.7	569.56	22.055855
5012_31097_000019_000002	No longer can ye strike terror into these two souls, small though they be.	No longer can ye strike terror into these two souls, small though they be.	true	569.96	574.66	19.663282
5012_31097_000019_000003	The heart of the hunter has now been born for each. Fear and defeat are known no longer in the compass of their thoughts.	The heart of the hunter has now been born for each. Fear and defeat are known no longer in the compass of their thoughts.	true	575.15	582.1	20.093216
5012_31097_000019_000004	Follow, follow, follow!	Follow, follow, follow!	true	582.32	584.26	21.670706
5012_31097_000019_000005	So spake the good old savagery of the natural man.	So spake the good old savagery of the natural man.	true	584.39	587.53	21.47088
5012_31097_000019_000006	Better for this creature had it never disturbed these two with its footfalls approaching among the leaves.	Better for this creature had it never disturbed these two with its footfalls approaching among the leaves.	true	587.93	593.5	20.148375
5012_31097_000019_000007	Out of its refuge now must it come.	Out of its refuge now must it come.	false	593.84	596.19	20.58452
5012_31097_000019_000008	Yea, though one lost a thousand suppers that night, and though a thousand stones lay waiting in the dark along the road to hurt bare, unprotected toes.	Yea, though one lost a thousand suppers that night, and though a thousand stones lay waiting in the dark along the road to hurt bare, unprotected toes.	false	596.19	605.8	20.621754
5012_31097_000020_000000	The sun forgot its part, and sank red, though reluctant, beyond the Delectable Mountains.	The sun forgot its part, and sank red, though reluctant, beyond the Delectable Mountains.	true	606.47	612.01	22.836206
5012_31097_000020_000001	Thou moon, this is Ajalon!	Thou moon, this is Ajalon!	false	612.5	615	20.377062
5012_31097_000020_000002	Be kindly, for by moonlight one still may labor, and here is labor to be done.	Be kindly, for by moonlight one still may labor, and here is labor to be done.	true	615	620.38	21.902176
5012_31097_000020_000003	Every blade in the Barlow knives is broken.	Every blade in the Barlow knives is broken.	true	621.02	623.98	23.559475
5012_31097_000020_000004	The hole in the stump yields not to slashings, nor to attempts to pry it open.	The hole in the stump yields not to slashings, nor to attempts to pry it open.	true	624.38	629.23	21.406334
5012_31097_000020_000005	The prey is still unreached.	The prey is still unreached.	true	629.54	631.69	22.76978
5012_31097_000020_000006	What is to be done?	What is to be done?	true	631.85	633.22	20.14383
5012_31097_000021_000000	The elder hunter bethinks him of a solution for this problem. The broken blade will do to gnaw off this bough, and it will serve to make a split in the end of it.	The elder hunter bethinks him of a solution for this problem. The broken blade will do to gnaw off this bough, and it will serve to make a split in the end of it.	true	634.13	643.69	21.248426
5012_31097_000021_000001	And if one be fortunate, and if this split bestride the tail of the concealed animal, and if the stick be twisted--	And if one be fortunate, and if this split bestride the tail of the concealed animal, and if the stick be twisted-	true	644.03	651.22	23.637974
5012_31097_000022_000000	"I've got him!" cried this philosopher for his "Eureka." And then there was twisting and pulling, and scratching and squeaking, and bitten fingers and tears; but after all was over, there lay the squirrel vanquished, at the feet of these young barbarians who had wandered out from home into the unknown lands of earth.	"I've got him!" cried this philosopher for his "Eureka." And then there was twisting and pulling, and scratching and squeaking, and bitten fingers and tears; but after all was over, there lay the squirrel vanquished, at the feet of these young barbarians who had wandered out from home into the unknown lands of earth.	false	651.53	671.14	21.808773
5012_31097_000022_000001	Cruel barbarians, thoughtless, relentless!	Cruel barbarians, thoughtless, relentless!	true	671.24	674.41	23.991035
5012_31097_000022_000002	But how much has the world changed?	But how much has the world changed?	true	674.69	676.95	19.952696
5012_31097_000023_000000	[Illustration]	[Illustration]	false	676.95	677.61	-20
5012_31097_000024_000000	The moon was over Ajalon when these two hunters, after all the perils of the long, black road, marched up into the dooryard, bearing on a pole between them their quarry, well suspended by the gambrels.	The moon was over Ajalon when these two hunters, after all the perils of the long, black road, marched up into the dooryard, bearing on a pole between them their quarry, well suspended by the gambrels.	true	677.61	690.46	22.246912
5012_31097_000024_000001	"My boys, I feared that you were lost!" exclaims the tearful mother who stands waiting in the door. But the silent father, standing back of her in the glow of the lamplight, sees what the pole is bearing, and in his eye there is a smile.	"My boys, I feared that you were lost!" exclaims the tearful mother who stands waiting in the door. But the silent father, standing back of her in the glow of the lamplight, sees what the pole is bearing, and in his eye there is a smile.	true	690.98	705.1	21.664646
5012_31097_000024_000002	After that, motherly reproach, fatherly inquiry, plenteous bread and milk, many eager explanations and much descriptive narrative simultaneously uttered by two mouths eager both to eat and to talk.	After that, motherly reproach, fatherly inquiry, plenteous bread and milk, many eager explanations and much descriptive narrative simultaneously uttered by two mouths eager both to eat and to talk.	true	705.68	720.13	24.59542
5012_31097_000025_000000	"I see it all," I said to the Singing Mouse.	"I see it all," I said to the Singing Mouse.	true	720.77	723.61	18.440786
5012_31097_000025_000001	"It all comes back again.	"It all comes back again.	true	723.95	725.68	25.119932
5012_31097_000025_000002	No chase was ever or will ever be so great as this one--back there, near the Delectable Mountains, in those days gone by, those incomparable days of youth!	No chase was ever or will ever be so great as this one-back there, near the Delectable Mountains, in those days gone by, those incomparable days of youth!	true	726.41	738.37	22.885248
5012_31097_000025_000003	I thank you, Singing Mouse; but I beg you do not go for yet a time.	I thank you, Singing Mouse; but I beg you do not go for yet a time.	true	738.47	743.23	22.45033
5012_31097_000025_000004	The heads upon the wall grin much, and the dust lies thick upon them all."	The heads upon the wall grin much, and the dust lies thick upon them all."	true	743.6	748.89	24.482996
5012_31097_000026_000000	[Illustration]	[Illustration]	false	748.89	749.19	-20
5012_31097_000027_000000	[Illustration: The Passing of Men]	[Illustration: The Passing of Men]	false	749.19	750.33	18.43781
5012_31097_000028_000000	[Illustration]	[Illustration]	false	750.33	750.45	7
5012_31097_000029_000000	THE PASSING OF MEN	THE PASSING OF MEN	false	750.45	750.9	19
5012_31097_000030_000000	One night the moon was shining brightly upon the curtain, which had been drawn tight across the window.	One night the moon was shining brightly upon the curtain, which had been drawn tight across the window.	false	750.9	752.97	19.497782
5012_31097_000030_000001	Within the room the light was dim, so that there could be seen clearly the pictures which the moon was drawing on the curtain, figures which marched, advanced, receded.	Within the room the light was dim, so that there could be seen clearly the pictures which the moon was drawing on the curtain, figures which marched, advanced, receded.	false	752.97	756.27	19.391685
5012_31097_000030_000002	One might almost have thought these the shadows of some moving boughs, had one not known the ways the moon has at certain times.	One might almost have thought these the shadows of some moving boughs, had one not known the ways the moon has at certain times.	false	756.27	759	-20
