8498_287358_000000_000000	CHAPTER IV--ANDY FOGER GETS A FRIGHT	CHAPTER four-ANDY FOGER GETS A FRIGHT
8498_287358_000011_000002	I needed an airship, as I said, and no person who could operate one, would agree to go with me on the quest.	I needed an airship, as I said, and no person who could operate one, would agree to go with me on the quest.
8498_287358_000011_000003	Again I received a warning to drop all search for the diamond makers, but I persisted, and about a week ago I found I was being shadowed."	Again I received a warning to drop all search for the diamond makers, but I persisted, and about a week ago I found I was being shadowed."
8498_287358_000012_000000	"Shadowed; by whom?" asked Tom.	"Shadowed; by whom?" asked Tom.
8498_287358_000014_000000	"Do you think he means you harm?"	"Do you think he means you harm?"
8498_287358_000015_000000	"I'm sure of it.	"I'm sure of it.
8498_287358_000015_000002	I don't want those scoundrels to find out what I am about to do.	I don't want those scoundrels to find out what I am about to do.
8498_287358_000015_000003	On my return from Earthquake Island, I again endeavored to interest an airship man in my plan, but he evidently thought me insane. Then I thought of you, as I had done before, but I was afraid you, too, would laugh at my proposition.	On my return from Earthquake Island, I again endeavored to interest an airship man in my plan, but he evidently thought me insane. Then I thought of you, as I had done before, but I was afraid you, too, would laugh at my proposition.
8498_287358_000015_000004	However, I decided to come here, and I did.	However, I decided to come here, and I did.
8498_287358_000015_000006	I took it as a good omen.	I took it as a good omen.
8498_287358_000015_000007	Now it remains with you.	Now it remains with you.
8498_287358_000015_000008	May I call here to-morrow night, and get your answer?"	May I call here to morrow night, and get your answer?"
8498_287358_000016_000000	Tom Swift made up his mind quickly.	Tom Swift made up his mind quickly.
8498_287358_000016_000001	After all it would be easy enough to find out if the diamonds were real.	After all it would be easy enough to find out if the diamonds were real.
8498_287358_000016_000002	If they were, he could then decide whether or not to go with Mr. Jenks on the mysterious quest.	If they were, he could then decide whether or not to go with mr Jenks on the mysterious quest.
8498_287358_000016_000003	So he answered:	So he answered:
8498_287358_000017_000000	"I'll consider the matter, Mr. Jenks.	"I'll consider the matter, mr Jenks.
8498_287358_000017_000001	I'll meet you here to-morrow night.	I'll meet you here to morrow night.
8498_287358_000017_000002	In the meanwhile, for my own satisfaction, I'll let an expert look at these stones."	In the meanwhile, for my own satisfaction, I'll let an expert look at these stones."
8498_287358_000018_000000	"Get the greatest diamond expert in the world, and he'll pronounce them perfect!" predicted the odd man.	"Get the greatest diamond expert in the world, and he'll pronounce them perfect!" predicted the odd man.
8498_287358_000018_000001	"Now I'll bid you goodnight, and be going.	"Now I'll bid you goodnight, and be going.
8498_287358_000018_000002	I'll be here at this time to-morrow."	I'll be here at this time to morrow."
8498_287358_000020_000000	"Who's that?" asked the diamond man, in a hoarse whisper.	"Who's that?" asked the diamond man, in a hoarse whisper.
8498_287358_000020_000001	"Did you see that, Tom Swift?	"Did you see that, Tom Swift?
8498_287358_000020_000002	Some one was here--listening to what I said!	Some one was here-listening to what I said!
8498_287358_000020_000003	Perhaps it was the man who has been shadowing me!"	Perhaps it was the man who has been shadowing me!"
8498_287358_000021_000000	"I think not.	"I think not.
8498_287358_000021_000001	I guess it was Eradicate Sampson, a colored man who does work for us," said Tom.	I guess it was Eradicate Sampson, a colored man who does work for us," said Tom.
8498_287358_000021_000002	"Is that you, Rad?" he called.	"Is that you, Rad?" he called.
8498_287358_000023_000000	"Where are you, Rad?" called the young inventor.	"Where are you, Rad?" called the young inventor.
8498_287358_000024_000002	Sometimes he's restless, an' don't sleep laik he oughter."	Sometimes he's restless, an' don't sleep laik he oughter."
8498_287358_000025_000000	"Then that wasn't you over in the orchard?" asked Tom, in some uneasiness.	"Then that wasn't you over in the orchard?" asked Tom, in some uneasiness.
8498_287358_000027_000000	"If it wasn't your man, it was some one else," said Mr. Jenks, decidedly.	"If it wasn't your man, it was some one else," said mr Jenks, decidedly.
8498_287358_000028_000000	"We'll have a look!" exclaimed Tom.	"We'll have a look!" exclaimed Tom.
8498_287358_000028_000001	"Here, Rad, come over and scurry among those trees.	"Here, Rad, come over and scurry among those trees.
8498_287358_000028_000002	We just saw some one sneaking around."	We just saw some one sneaking around."
8498_287358_000030_000000	"I don't believe it was any one after the mule," murmured Mr. Jenks, "but it certainly was some one--more likely some one after me."	"I don't believe it was any one after the mule," murmured mr Jenks, "but it certainly was some one-more likely some one after me."
8498_287358_000031_000000	The three made a hasty search among the trees, but the intruder had vanished, leaving no trace.	The three made a hasty search among the trees, but the intruder had vanished, leaving no trace.
8498_287358_000031_000001	They went out into the road, which the moon threw into bold relief along its white stretch, but there was no figure scurrying away.	They went out into the road, which the moon threw into bold relief along its white stretch, but there was no figure scurrying away.
8498_287358_000032_000000	"Whoever it was, is gone," spoke Tom.	"Whoever it was, is gone," spoke Tom.
8498_287358_000032_000001	"You can go back to bed, Rad," for the colored man, of late, had been sleeping in a shack on the Swift premises.	"You can go back to bed, Rad," for the colored man, of late, had been sleeping in a shack on the Swift premises.
8498_287358_000033_000000	"And I guess it's time for me to go, too," added Mr. Jenks.	"And I guess it's time for me to go, too," added mr Jenks.
8498_287358_000033_000001	"I'll be here to-morrow night, Tom, and I hope your answer will be favorable."	"I'll be here to morrow night, Tom, and I hope your answer will be favorable."
8498_287358_000034_000000	Tom did not sleep well the remainder of the night, for his fitful slumbers were disturbed by dreams of enormous caves, filled with diamonds, with dark, shadowy figures trying to put him into a red-hot steel box.	Tom did not sleep well the remainder of the night, for his fitful slumbers were disturbed by dreams of enormous caves, filled with diamonds, with dark, shadowy figures trying to put him into a red hot steel box.
8498_287358_000034_000002	They had not been disturbed.	They had not been disturbed.
8498_287358_000035_000000	Tom made up his mind to find out if the stones were really diamonds, before saying anything to his father about the chance of going to seek Phantom Mountain.	Tom made up his mind to find out if the stones were really diamonds, before saying anything to his father about the chance of going to seek Phantom Mountain.
8498_287358_000036_000000	"Though if this one proves to be a good gem, I'll have Mr. Track set it in a brooch, and give it to Mary for her birthday," decided the young inventor.	"Though if this one proves to be a good gem, I'll have mr Track set it in a brooch, and give it to Mary for her birthday," decided the young inventor.
8498_287358_000036_000001	"Guess I'll take a run over to Chester in the Butterfly, and see what one of the jewelers there has to say."	"Guess I'll take a run over to Chester in the Butterfly, and see what one of the jewelers there has to say."
8498_287358_000037_000000	In addition to his big airship, Red Cloud, Tom owned a small, swift monoplane, which he called Butterfly.	In addition to his big airship, Red Cloud, Tom owned a small, swift monoplane, which he called Butterfly.
8498_287358_000037_000001	This had been damaged by Andy Foger just before Tom left on the trip that ended at Earthquake Island, but the monoplane had been repaired, and Andy had left town, not having returned since.	This had been damaged by Andy Foger just before Tom left on the trip that ended at Earthquake Island, but the monoplane had been repaired, and Andy had left town, not having returned since.
8498_287358_000038_000000	Telling his father that he was going off on a little business trip, which he often did in his aeroplane, Tom, with the aid of Mr. Jackson, the engineer, wheeled the Butterfly out of its shed.	Telling his father that he was going off on a little business trip, which he often did in his aeroplane, Tom, with the aid of mr Jackson, the engineer, wheeled the Butterfly out of its shed.
8498_287358_000039_000000	Adjusting the mechanism, and seeing that it was in good shape, Tom took his place in one of the two seats, for the monoplane would carry two. Mr. Jackson then spun the propellers, and, with a crackle and roar the motor started.	Adjusting the mechanism, and seeing that it was in good shape, Tom took his place in one of the two seats, for the monoplane would carry two. mr Jackson then spun the propellers, and, with a crackle and roar the motor started.
8498_287358_000039_000001	Over the ground ran the dainty, little aeroplane, until, having momentum enough, Tom tilted the wing planes and the machine sailed up into the air.	Over the ground ran the dainty, little aeroplane, until, having momentum enough, Tom tilted the wing planes and the machine sailed up into the air.
8498_287358_000040_000000	Rising about a thousand feet, and circling about several times to test the wind currents, Tom headed his craft toward Chester, a city about fifty miles from Shopton.	Rising about a thousand feet, and circling about several times to test the wind currents, Tom headed his craft toward Chester, a city about fifty miles from Shopton.
8498_287358_000040_000001	In his pocket, snugly tucked away, were the two stones Mr. Jenks had given him.	In his pocket, snugly tucked away, were the two stones mr Jenks had given him.
8498_287358_000041_000000	It was not long before Tom saw, looming up in the distance the church spires and towering factory chimneys of Chester, for his machine was a speedy one, and could make ninety miles an hour when driven.	It was not long before Tom saw, looming up in the distance the church spires and towering factory chimneys of Chester, for his machine was a speedy one, and could make ninety miles an hour when driven.
8498_287358_000041_000001	But now a slower speed satisfied our hero.	But now a slower speed satisfied our hero.
8498_287358_000042_000000	"I'll just drop down outside of the city," he reasoned, "for too much of a crowd gathers when I land in the street.	"I'll just drop down outside of the city," he reasoned, "for too much of a crowd gathers when I land in the street.
8498_287358_000042_000001	Besides I might frighten horses, and then, too, it's hard to get a good start from the street. I'll leave it in some barn until I want to go back."	Besides I might frighten horses, and then, too, it's hard to get a good start from the street. I'll leave it in some barn until I want to go back."
8498_287358_000043_000000	Tom sent his craft down, in order to pick out a safe place for a landing.	Tom sent his craft down, in order to pick out a safe place for a landing.
8498_287358_000044_000000	"Looks like a good place there," he murmured.	"Looks like a good place there," he murmured.
8498_287358_000044_000001	"I'll shut off the motor, and vol-plane down."	"I'll shut off the motor, and vol plane down."
8498_287358_000045_000000	Suiting the action to the word, Tom shut off his power.	Suiting the action to the word, Tom shut off his power.
8498_287358_000045_000001	The little craft dipped toward the ground, but the lad threw up the forward planes, and caught a current of air that sent him skimming along horizontally.	The little craft dipped toward the ground, but the lad threw up the forward planes, and caught a current of air that sent him skimming along horizontally.
8498_287358_000046_000001	Something about the figure struck Tom as being familiar, and he recognized the cyclist a moment later.	Something about the figure struck Tom as being familiar, and he recognized the cyclist a moment later.
8498_287358_000047_000000	"It's Andy Foger!" said Tom, in a whisper.	"It's Andy Foger!" said Tom, in a whisper.
8498_287358_000047_000002	Evidently he doesn't dare venture back to Shopton.	Evidently he doesn't dare venture back to Shopton.
8498_287358_000047_000003	Well, here's where I give him a scare."	Well, here's where I give him a scare."
8498_287358_000048_000000	Tom's monoplane was making no more noise, now, than a soaring bird.	Tom's monoplane was making no more noise, now, than a soaring bird.
8498_287358_000048_000001	He was gliding swiftly toward the earth, and, with the plan in his mind of administering some sort of punishment to the bully, he aimed the machine directly at him.	He was gliding swiftly toward the earth, and, with the plan in his mind of administering some sort of punishment to the bully, he aimed the machine directly at him.
8498_287358_000049_000000	Nearer and nearer shot the monoplane, as quietly as a sheet of paper might fall.	Nearer and nearer shot the monoplane, as quietly as a sheet of paper might fall.
8498_287358_000049_000001	Andy pedaled on, never looking up nor behind him, A moment later, as Tom threw up his headplanes, to make his landing more easy, and just as he swooped down at one side of the cyclist, our hero let out a most alarming yell, right into Andy's ear.	Andy pedaled on, never looking up nor behind him, A moment later, as Tom threw up his headplanes, to make his landing more easy, and just as he swooped down at one side of the cyclist, our hero let out a most alarming yell, right into Andy's ear.
8498_287358_000050_000000	"Now I've got you!" he shouted.	"Now I've got you!" he shouted.
8498_287358_000050_000001	"I'll teach you to slash my aeroplane! Come with me!"	"I'll teach you to slash my aeroplane! Come with me!"
8498_287358_000051_000000	Andy gave one look at the white bird-like apparatus that had flown up beside him so noiselessly, and, being too frightened to recognize Tom's voice, must have thought that he had been overtaken by some supernatural visitor.	Andy gave one look at the white bird like apparatus that had flown up beside him so noiselessly, and, being too frightened to recognize Tom's voice, must have thought that he had been overtaken by some supernatural visitor.
8498_287358_000052_000000	Andy gave a yell like an Indian, about to do a stage scalping act, and fairly dived over the handlebars of his bicycle, sprawling in a heap on the dusty road.	Andy gave a yell like an Indian, about to do a stage scalping act, and fairly dived over the handlebars of his bicycle, sprawling in a heap on the dusty road.
