583_139009_000000_000000	All the other stories were serialized.	All the other stories were serialized.	false	0	0.51	-1
583_139009_000003_000000	I	I	false	25.47	25.65	0
583_139009_000004_000000	Captain MacWhirr, of the steamer Nan-Shan, had a physiognomy that, in the order of material appearances, was the exact counterpart of his mind: it presented no marked characteristics of firmness or stupidity; it had no pronounced characteristics whatever; it was simply ordinary, irresponsive, and unruffled.	Captain MacWhirr, of the steamer Nan Shan, had a physiognomy that, in the order of material appearances, was the exact counterpart of his mind: it presented no marked characteristics of firmness or stupidity; it had no pronounced characteristics whatever; it was simply ordinary, irresponsive, and unruffled.	false	25.65	46.18	16
583_139009_000005_000000	The only thing his aspect might have been said to suggest, at times, was bashfulness; because he would sit, in business offices ashore, sunburnt and smiling faintly, with downcast eyes.	The only thing his aspect might have been said to suggest, at times, was bashfulness; because he would sit, in business offices ashore, sunburnt and smiling faintly, with downcast eyes.	true	47.12	58.63	16
583_139009_000005_000001	When he raised them, they were perceived to be direct in their glance and of blue colour.	When he raised them, they were perceived to be direct in their glance and of blue colour.	true	58.94	63.1	13
583_139009_000005_000002	His hair was fair and extremely fine, clasping from temple to temple the bald dome of his skull in a clamp as of fluffy silk.	His hair was fair and extremely fine, clasping from temple to temple the bald dome of his skull in a clamp as of fluffy silk.	false	63.44	72.4	18
583_139009_000005_000003	The hair of his face, on the contrary, carroty and flaming, resembled a growth of copper wire clipped short to the line of the lip; while, no matter how close he shaved, fiery metallic gleams passed, when he moved his head, over the surface of his cheeks.	The hair of his face, on the contrary, carroty and flaming, resembled a growth of copper wire clipped short to the line of the lip; while, no matter how close he shaved, fiery metallic gleams passed, when he moved his head, over the surface of his cheeks.	false	72.41	88.15	16
583_139009_000005_000004	He was rather below the medium height, a bit round-shouldered, and so sturdy of limb that his clothes always looked a shade too tight for his arms and legs.	He was rather below the medium height, a bit round shouldered, and so sturdy of limb that his clothes always looked a shade too tight for his arms and legs.	false	88.49	96.67	14
583_139009_000005_000005	As if unable to grasp what is due to the difference of latitudes, he wore a brown bowler hat, a complete suit of a brownish hue, and clumsy black boots.	As if unable to grasp what is due to the difference of latitudes, he wore a brown bowler hat, a complete suit of a brownish hue, and clumsy black boots.	false	96.92	107.05	17
583_139009_000005_000006	These harbour togs gave to his thick figure an air of stiff and uncouth smartness.	These harbour togs gave to his thick figure an air of stiff and uncouth smartness.	true	107.42	112.99	13
583_139009_000005_000007	A thin silver watch chain looped his waistcoat, and he never left his ship for the shore without clutching in his powerful, hairy fist an elegant umbrella of the very best quality, but generally unrolled.	A thin silver watch chain looped his waistcoat, and he never left his ship for the shore without clutching in his powerful, hairy fist an elegant umbrella of the very best quality, but generally unrolled.	true	113.39	124.72	17
583_139009_000005_000008	Young Jukes, the chief mate, attending his commander to the gangway, would sometimes venture to say, with the greatest gentleness, "Allow me, sir"--and possessing himself of the umbrella deferentially, would elevate the ferule, shake the folds, twirl a neat furl in a jiffy, and hand it back; going through the performance with a face of such portentous gravity, that Mr. Solomon Rout, the chief engineer, smoking his morning cigar over the skylight, would turn away his head in order to hide a smile.	Young Jukes, the chief mate, attending his commander to the gangway, would sometimes venture to say, with the greatest gentleness, "Allow me, sir"--and possessing himself of the umbrella deferentially, would elevate the ferule, shake the folds, twirl a neat furl in a jiffy, and hand it back; going through the performance with a face of such portentous gravity, that mr Solomon Rout, the chief engineer, smoking his morning cigar over the skylight, would turn away his head in order to hide a smile.	false	125.03	154.09	17
583_139009_000005_000009	"Oh! aye!	"Oh! aye!	true	154.37	155.325	19
583_139009_000005_000010	The blessed gamp. . . .	The blessed gamp. . . .	true	155.325	156.27	10
583_139009_000005_000011	Thank 'ee, Jukes, thank 'ee," would mutter Captain MacWhirr, heartily, without looking up.	Thank 'ee, Jukes, thank 'ee," would mutter Captain MacWhirr, heartily, without looking up.	true	156.27	160.75	18
583_139009_000006_000000	Having just enough imagination to carry him through each successive day, and no more, he was tranquilly sure of himself; and from the very same cause he was not in the least conceited.	Having just enough imagination to carry him through each successive day, and no more, he was tranquilly sure of himself; and from the very same cause he was not in the least conceited.	true	160.97	171.49	15
583_139009_000006_000001	It is your imaginative superior who is touchy, overbearing, and difficult to please; but every ship Captain MacWhirr commanded was the floating abode of harmony and peace. It was, in truth, as impossible for him to take a flight of fancy as it would be for a watchmaker to put together a chronometer with nothing except a two-pound hammer and a whip-saw in the way of tools.	It is your imaginative superior who is touchy, overbearing, and difficult to please; but every ship Captain MacWhirr commanded was the floating abode of harmony and peace. It was, in truth, as impossible for him to take a flight of fancy as it would be for a watchmaker to put together a chronometer with nothing except a two pound hammer and a whip saw in the way of tools.	true	171.77	193.06	15
583_139009_000006_000002	Yet the uninteresting lives of men so entirely given to the actuality of the bare existence have their mysterious side.	Yet the uninteresting lives of men so entirely given to the actuality of the bare existence have their mysterious side.	true	193.49	201.22	14
583_139009_000006_000003	It was impossible in Captain MacWhirr's case, for instance, to understand what under heaven could have induced that perfectly satisfactory son of a petty grocer in Belfast to run away to sea.	It was impossible in Captain MacWhirr's case, for instance, to understand what under heaven could have induced that perfectly satisfactory son of a petty grocer in Belfast to run away to sea.	false	201.98	213.7	16
583_139009_000006_000004	And yet he had done that very thing at the age of fifteen.	And yet he had done that very thing at the age of fifteen.	true	214.22	217.45	18
583_139009_000006_000005	It was enough, when you thought it over, to give you the idea of an immense, potent, and invisible hand thrust into the ant-heap of the earth, laying hold of shoulders, knocking heads together, and setting the unconscious faces of the multitude towards inconceivable goals and in undreamt-of directions.	It was enough, when you thought it over, to give you the idea of an immense, potent, and invisible hand thrust into the ant heap of the earth, laying hold of shoulders, knocking heads together, and setting the unconscious faces of the multitude towards inconceivable goals and in undreamt of directions.	false	217.79	237.61	18
583_139009_000007_000000	His father never really forgave him for this undutiful stupidity.	His father never really forgave him for this undutiful stupidity.	true	238.52	242.08	14
583_139009_000007_000001	"We could have got on without him," he used to say later on, "but there's the business.	"We could have got on without him," he used to say later on, "but there's the business.	true	242.63	247.06	15
583_139009_000007_000002	And he an only son, too!" His mother wept very much after his disappearance.	And he an only son, too!" His mother wept very much after his disappearance.	true	247.34	252.64	18.678682
583_139009_000007_000003	As it had never occurred to him to leave word behind, he was mourned over for dead till, after eight months, his first letter arrived from Talcahuano.	As it had never occurred to him to leave word behind, he was mourned over for dead till, after eight months, his first letter arrived from Talcahuano.	false	253.13	262	14
583_139009_000007_000004	It was short, and contained the statement: "We had very fine weather on our passage out." But evidently, in the writer's mind, the only important intelligence was to the effect that his captain had, on the very day of writing, entered him regularly on the ship's articles as Ordinary Seaman.	It was short, and contained the statement: "We had very fine weather on our passage out." But evidently, in the writer's mind, the only important intelligence was to the effect that his captain had, on the very day of writing, entered him regularly on the ship's articles as Ordinary Seaman.	true	262.34	279.22	18.766523
583_139009_000007_000005	"Because I can do the work," he explained.	"Because I can do the work," he explained.	true	279.74	282.16	16
583_139009_000007_000006	The mother again wept copiously, while the remark, "Tom's an ass," expressed the emotions of the father.	The mother again wept copiously, while the remark, "Tom's an ass," expressed the emotions of the father.	true	282.35	288.46	17
583_139009_000007_000007	He was a corpulent man, with a gift for sly chaffing, which to the end of his life he exercised in his intercourse with his son, a little pityingly, as if upon a half-witted person.	He was a corpulent man, with a gift for sly chaffing, which to the end of his life he exercised in his intercourse with his son, a little pityingly, as if upon a half witted person.	true	288.86	300.31	13
583_139009_000008_000000	MacWhirr's visits to his home were necessarily rare, and in the course of years he despatched other letters to his parents, informing them of his successive promotions and of his movements upon the vast earth.	MacWhirr's visits to his home were necessarily rare, and in the course of years he despatched other letters to his parents, informing them of his successive promotions and of his movements upon the vast earth.	true	301.76	314.26	15
583_139009_000008_000001	In these missives could be found sentences like this: "The heat here is very great." Or: "On Christmas day at 4 P. M. we fell in with some icebergs." The old people ultimately became acquainted with a good many names of ships, and with the names of the skippers who commanded them--with the names of Scots and English shipowners--with the names of seas, oceans, straits, promontories--with outlandish names of lumber-ports, of rice-ports, of cotton-ports--with the names of islands--with the name of their son's young woman.	In these missives could be found sentences like this: "The heat here is very great." Or: "On Christmas day at four p m we fell in with some icebergs." The old people ultimately became acquainted with a good many names of ships, and with the names of the skippers who commanded them-with the names of Scots and English shipowners-with the names of seas, oceans, straits, promontories-with outlandish names of lumber ports, of rice ports, of cotton ports-with the names of islands-with the name of their son's young woman.	false	314.42	344.23	16
583_139009_000008_000002	She was called Lucy. It did not suggest itself to him to mention whether he thought the name pretty.	She was called Lucy. It did not suggest itself to him to mention whether he thought the name pretty.	true	344.36	349.78	16
583_139009_000008_000003	And then they died.	And then they died.	true	350.18	351.52	11
583_139009_000009_000000	The great day of MacWhirr's marriage came in due course, following shortly upon the great day when he got his first command.	The great day of MacWhirr's marriage came in due course, following shortly upon the great day when he got his first command.	true	352.13	359.11	15
583_139009_000010_000000	All these events had taken place many years before the morning when, in the chart-room of the steamer Nan-Shan, he stood confronted by the fall of a barometer he had no reason to distrust.	All these events had taken place many years before the morning when, in the chart room of the steamer Nan Shan, he stood confronted by the fall of a barometer he had no reason to distrust.	true	359.9	370.39	14
583_139009_000010_000001	The fall--taking into account the excellence of the instrument, the time of the year, and the ship's position on the terrestrial globe--was of a nature ominously prophetic; but the red face of the man betrayed no sort of inward disturbance.	The fall-taking into account the excellence of the instrument, the time of the year, and the ship's position on the terrestrial globe-was of a nature ominously prophetic; but the red face of the man betrayed no sort of inward disturbance.	false	370.97	384.22	16
583_139009_000010_000002	Omens were as nothing to him, and he was unable to discover the message of a prophecy till the fulfilment had brought it home to his very door.	Omens were as nothing to him, and he was unable to discover the message of a prophecy till the fulfilment had brought it home to his very door.	true	384.5	392.08	15
583_139009_000010_000003	"That's a fall, and no mistake," he thought.	"That's a fall, and no mistake," he thought.	true	392.96	395.205	16
583_139009_000010_000004	"There must be some uncommonly dirty weather knocking about."	"There must be some uncommonly dirty weather knocking about."	true	395.205	398.2	11
583_139009_000011_000000	The Nan-Shan was on her way from the southward to the treaty port of Fu-chau, with some cargo in her lower holds, and two hundred Chinese coolies returning to their village homes in the province of Fo-kien, after a few years of work in various tropical colonies.	The Nan Shan was on her way from the southward to the treaty port of Fu chau, with some cargo in her lower holds, and two hundred Chinese coolies returning to their village homes in the province of Fo kien, after a few years of work in various tropical colonies.	false	399.26	414.16	12
583_139009_000011_000001	The morning was fine, the oily sea heaved without a sparkle, and there was a queer white misty patch in the sky like a halo of the sun.	The morning was fine, the oily sea heaved without a sparkle, and there was a queer white misty patch in the sky like a halo of the sun	true	414.89	422.59	16
583_139009_000011_000002	The fore-deck, packed with Chinamen, was full of sombre clothing, yellow faces, and pigtails, sprinkled over with a good many naked shoulders, for there was no wind, and the heat was close.	The fore deck, packed with Chinamen, was full of sombre clothing, yellow faces, and pigtails, sprinkled over with a good many naked shoulders, for there was no wind, and the heat was close.	false	422.87	433.51	13
583_139009_000011_000003	The coolies lounged, talked, smoked, or stared over the rail; some, drawing water over the side, sluiced each other; a few slept on hatches, while several small parties of six sat on their heels surrounding iron trays with plates of rice and tiny teacups; and every single Celestial of them was carrying with him all he had in the world--a wooden chest with a ringing lock and brass on the corners, containing the savings of his labours: some clothes of ceremony, sticks of incense, a little opium maybe, bits of nameless rubbish of conventional value, and a small hoard of silver dollars, toiled for in coal lighters, won in gambling-houses or in petty trading, grubbed out of earth, sweated out in mines, on railway lines, in deadly jungle, under heavy burdens--amassed patiently, guarded with care, cherished fiercely.	The coolies lounged, talked, smoked, or stared over the rail; some, drawing water over the side, sluiced each other; a few slept on hatches, while several small parties of six sat on their heels surrounding iron trays with plates of rice and tiny teacups; and every single Celestial of them was carrying with him all he had in the world-a wooden chest with a ringing lock and brass on the corners, containing the savings of his labours: some clothes of ceremony, sticks of incense, a little opium maybe, bits of nameless rubbish of conventional value, and a small hoard of silver dollars, toiled for in coal lighters, won in gambling houses or in petty trading, grubbed out of earth, sweated out in mines, on railway lines, in deadly jungle, under heavy burdens-amassed patiently, guarded with care, cherished fiercely.	true	433.94	485.55	18
583_139009_000012_000000	A cross swell had set in from the direction of Formosa Channel about ten o'clock, without disturbing these passengers much, because the Nan-Shan, with her flat bottom, rolling chocks on bilges, and great breadth of beam, had the reputation of an exceptionally steady ship in a sea-way. Mr. Jukes, in moments of expansion on shore, would proclaim loudly that the "old girl was as good as she was pretty." It would never have occurred to Captain MacWhirr to express his favourable opinion so loud or in terms so fanciful.	A cross swell had set in from the direction of Formosa Channel about ten o'clock, without disturbing these passengers much, because the Nan Shan, with her flat bottom, rolling chocks on bilges, and great breadth of beam, had the reputation of an exceptionally steady ship in a sea way. mr Jukes, in moments of expansion on shore, would proclaim loudly that the "old girl was as good as she was pretty." It would never have occurred to Captain MacWhirr to express his favourable opinion so loud or in terms so fanciful.	false	485.55	519.99	18.588684
583_139009_000013_000000	She was a good ship, undoubtedly, and not old either.	She was a good ship, undoubtedly, and not old either.	true	519.99	523.24	12
583_139009_000013_000001	She had been built in Dumbarton less than three years before, to the order of a firm of merchants in Siam--Messrs.	She had been built in Dumbarton less than three years before, to the order of a firm of merchants in Siam-Messrs.	false	523.43	531	15
583_139009_000013_000002	Sigg and Son.	Sigg and Son.	true	531	532.33	14
583_139009_000013_000003	When she lay afloat, finished in every detail and ready to take up the work of her life, the builders contemplated her with pride.	When she lay afloat, finished in every detail and ready to take up the work of her life, the builders contemplated her with pride.	true	532.61	540.4	15
583_139009_000014_000000	"Sigg has asked us for a reliable skipper to take her out," remarked one of the partners; and the other, after reflecting for a while, said: "I think MacWhirr is ashore just at present." "Is he?	"Sigg has asked us for a reliable skipper to take her out," remarked one of the partners; and the other, after reflecting for a while, said: "I think MacWhirr is ashore just at present." "Is he?	false	541.28	553.06	16
583_139009_000014_000001	Then wire him at once.	Then wire him at once.	false	553.1	554.415	4
583_139009_000014_000002	He's the very man," declared the senior, without a moment's hesitation.	He's the very man," declared the senior, without a moment's hesitation.	true	554.415	558.4	12
583_139009_000015_000000	Next morning MacWhirr stood before them unperturbed, having travelled from London by the midnight express after a sudden but undemonstrative parting with his wife.	Next morning MacWhirr stood before them unperturbed, having travelled from London by the midnight express after a sudden but undemonstrative parting with his wife.	true	559.34	567.79	13
583_139009_000015_000001	She was the daughter of a superior couple who had seen better days.	She was the daughter of a superior couple who had seen better days.	true	568.28	572.29	13
583_139009_000016_000000	"We had better be going together over the ship, Captain," said the senior partner; and the three men started to view the perfections of the Nan-Shan from stem to stern, and from her keelson to the trucks of her two stumpy pole-masts.	"We had better be going together over the ship, Captain," said the senior partner; and the three men started to view the perfections of the Nan Shan from stem to stern, and from her keelson to the trucks of her two stumpy pole masts.	false	572.81	584.02	12
583_139009_000017_000000	Captain MacWhirr had begun by taking off his coat, which he hung on the end of a steam windless embodying all the latest improvements.	Captain MacWhirr had begun by taking off his coat, which he hung on the end of a steam windless embodying all the latest improvements.	true	584.51	591.79	12
583_139009_000018_000000	"My uncle wrote of you favourably by yesterday's mail to our good friends--Messrs.	"My uncle wrote of you favourably by yesterday's mail to our good friends-Messrs.	false	592.46	596.7	9
583_139009_000018_000001	Sigg, you know--and doubtless they'll continue you out there in command," said the junior partner.	Sigg, you know-and doubtless they'll continue you out there in command," said the junior partner.	false	596.7	603.01	16
583_139009_000018_000002	"You'll be able to boast of being in charge of the handiest boat of her size on the coast of China, Captain," he added.	"You'll be able to boast of being in charge of the handiest boat of her size on the coast of China, Captain," he added.	true	603.29	608.8	11
583_139009_000019_000000	"Have you?	"Have you?	true	609.32	610.23	12
583_139009_000019_000001	Thank 'ee," mumbled vaguely MacWhirr, to whom the view of a distant eventuality could appeal no more than the beauty of a wide landscape to a purblind tourist; and his eyes happening at the moment to be at rest upon the lock of the cabin door, he walked up to it, full of purpose, and began to rattle the handle vigorously, while he observed, in his low, earnest voice, "You can't trust the workmen nowadays.	Thank 'ee," mumbled vaguely MacWhirr, to whom the view of a distant eventuality could appeal no more than the beauty of a wide landscape to a purblind tourist; and his eyes happening at the moment to be at rest upon the lock of the cabin door, he walked up to it, full of purpose, and began to rattle the handle vigorously, while he observed, in his low, earnest voice, "You can't trust the workmen nowadays.	false	610.23	633.82	15
583_139009_000019_000002	A brand-new lock, and it won't act at all.	A brand new lock, and it won't act at all.	true	633.86	636.075	12
583_139009_000019_000003	Stuck fast.	Stuck fast.	true	636.075	637.02	17
583_139009_000019_000004	See?	See?	true	637.02	637.5	8
583_139009_000019_000005	See?"	See?"	true	637.5	638.23	9
583_139009_000020_000000	As soon as they found themselves alone in their office across the yard: "You praised that fellow up to Sigg.	As soon as they found themselves alone in their office across the yard: "You praised that fellow up to Sigg.	true	638.54	644.535	13
583_139009_000020_000001	What is it you see in him?" asked the nephew, with faint contempt.	What is it you see in him?" asked the nephew, with faint contempt.	true	644.535	648.07	10
583_139009_000021_000000	"I admit he has nothing of your fancy skipper about him, if that's what you mean," said the elder man, curtly.	"I admit he has nothing of your fancy skipper about him, if that's what you mean," said the elder man, curtly.	true	648.47	654.7	14
583_139009_000021_000001	"Is the foreman of the joiners on the Nan-Shan outside? . . .	"Is the foreman of the joiners on the Nan Shan outside? . . .	false	655.1	657.97	7
583_139009_000021_000002	Come in, Bates.	Come in, Bates.	true	658.01	659.17	21.34328
583_139009_000021_000003	How is it that you let Tait's people put us off with a defective lock on the cabin door?	How is it that you let Tait's people put us off with a defective lock on the cabin door?	false	659.51	663.81	17
583_139009_000021_000004	The Captain could see directly he set eye on it.	The Captain could see directly he set eye on it.	true	663.81	666.24	17.255697
583_139009_000021_000005	Have it replaced at once. The little straws, Bates . . . the little straws. . . ."	Have it replaced at once. The little straws, Bates . . . the little straws. . . ."	true	666.24	670.21	13
583_139009_000022_000000	The lock was replaced accordingly, and a few days afterwards the Nan-Shan steamed out to the East, without MacWhirr having offered any further remark as to her fittings, or having been heard to utter a single word hinting at pride in his ship, gratitude for his appointment, or satisfaction at his prospects.	The lock was replaced accordingly, and a few days afterwards the Nan Shan steamed out to the East, without MacWhirr having offered any further remark as to her fittings, or having been heard to utter a single word hinting at pride in his ship, gratitude for his appointment, or satisfaction at his prospects.	false	672.05	687.88	14
583_139009_000023_000000	With a temperament neither loquacious nor taciturn he found very little occasion to talk.	With a temperament neither loquacious nor taciturn he found very little occasion to talk.	true	688.97	693.46	14
583_139009_000023_000001	There were matters of duty, of course--directions, orders, and so on; but the past being to his mind done with, and the future not there yet, the more general actualities of the day required no comment--because facts can speak for themselves with overwhelming precision.	There were matters of duty, of course-directions, orders, and so on; but the past being to his mind done with, and the future not there yet, the more general actualities of the day required no comment-because facts can speak for themselves with overwhelming precision.	true	693.62	709.09	15
583_139009_000024_000000	Old Mr. Sigg liked a man of few words, and one that "you could be sure would not try to improve upon his instructions." MacWhirr satisfying these requirements, was continued in command of the Nan-Shan, and applied himself to the careful navigation of his ship in the China seas. She had come out on a British register, but after some time Messrs.	Old mr Sigg liked a man of few words, and one that "you could be sure would not try to improve upon his instructions." MacWhirr satisfying these requirements, was continued in command of the Nan Shan, and applied himself to the careful navigation of his ship in the China seas. She had come out on a British register, but after some time Messrs.	false	710.45	731.25	14
583_139009_000024_000001	Sigg judged it expedient to transfer her to the Siamese flag.	Sigg judged it expedient to transfer her to the Siamese flag.	true	731.25	735.01	12
583_139009_000025_000000	At the news of the contemplated transfer Jukes grew restless, as if under a sense of personal affront.	At the news of the contemplated transfer Jukes grew restless, as if under a sense of personal affront.	true	735.59	741.04	13
583_139009_000025_000001	He went about grumbling to himself, and uttering short scornful laughs.	He went about grumbling to himself, and uttering short scornful laughs.	true	741.8	745.54	12
583_139009_000025_000002	"Fancy having a ridiculous Noah's Ark elephant in the ensign of one's ship," he said once at the engine-room door.	"Fancy having a ridiculous Noah's Ark elephant in the ensign of one's ship," he said once at the engine room door.	true	745.82	752.14	16
583_139009_000025_000003	"Dash me if I can stand it: I'll throw up the billet. Don't it make you sick, Mr. Rout?"	"Dash me if I can stand it: I'll throw up the billet. Don't it make you sick, mr Rout?"	false	752.21	757.59	17.851898
583_139009_000025_000004	The chief engineer only cleared his throat with the air of a man who knows the value of a good billet.	The chief engineer only cleared his throat with the air of a man who knows the value of a good billet.	true	757.59	762.67	8
583_139009_000026_000000	The first morning the new flag floated over the stern of the Nan-Shan Jukes stood looking at it bitterly from the bridge.	The first morning the new flag floated over the stern of the Nan Shan Jukes stood looking at it bitterly from the bridge.	true	764.03	770.26	13
583_139009_000026_000001	He struggled with his feelings for a while, and then remarked, "Queer flag for a man to sail under, sir."	He struggled with his feelings for a while, and then remarked, "Queer flag for a man to sail under, sir."	true	770.72	776.29	11
583_139009_000027_000000	"What's the matter with the flag?" inquired Captain MacWhirr.	"What's the matter with the flag?" inquired Captain MacWhirr.	false	777.05	780.93	17
583_139009_000027_000001	"Seems all right to me." And he walked across to the end of the bridge to have a good look.	"Seems all right to me." And he walked across to the end of the bridge to have a good look.	true	780.93	785.77	16
583_139009_000028_000000	"Well, it looks queer to me," burst out Jukes, greatly exasperated, and flung off the bridge.	"Well, it looks queer to me," burst out Jukes, greatly exasperated, and flung off the bridge.	true	786.08	791.95	14
583_139009_000029_000000	Captain MacWhirr was amazed at these manners.	Captain MacWhirr was amazed at these manners.	false	793.31	795.85	11
583_139009_000029_000001	After a while he stepped quietly into the chart-room, and opened his International Signal Code-book at the plate where the flags of all the nations are correctly figured in gaudy rows.	After a while he stepped quietly into the chart room, and opened his International Signal Code book at the plate where the flags of all the nations are correctly figured in gaudy rows.	true	796.13	806.38	9
583_139009_000029_000002	He ran his finger over them, and when he came to Siam he contemplated with great attention the red field and the white elephant.	He ran his finger over them, and when he came to Siam he contemplated with great attention the red field and the white elephant.	true	806.87	813.4	13
583_139009_000029_000003	Nothing could be more simple; but to make sure he brought the book out on the bridge for the purpose of comparing the coloured drawing with the real thing at the flagstaff astern.	Nothing could be more simple; but to make sure he brought the book out on the bridge for the purpose of comparing the coloured drawing with the real thing at the flagstaff astern.	false	813.98	823.47	17.97499
583_139009_000029_000004	When next Jukes, who was carrying on the duty that day with a sort of suppressed fierceness, happened on the bridge, his commander observed:	When next Jukes, who was carrying on the duty that day with a sort of suppressed fierceness, happened on the bridge, his commander observed:	true	823.47	831.61	14
583_139009_000030_000000	"There's nothing amiss with that flag."	"There's nothing amiss with that flag."	false	831.74	833.64	15
583_139009_000031_000000	"Isn't there?" mumbled Jukes, falling on his knees before a deck-locker and jerking therefrom viciously a spare lead-line.	"Isn't there?" mumbled Jukes, falling on his knees before a deck locker and jerking therefrom viciously a spare lead line.	false	833.64	841.54	15
583_139009_000032_000000	"No.	"no	true	843.86	844.545	22.333942
583_139009_000032_000001	I looked up the book.	I looked up the book.	true	844.545	845.92	15
583_139009_000032_000002	Length twice the breadth and the elephant exactly in the middle.	Length twice the breadth and the elephant exactly in the middle.	false	846.17	849.1	12
583_139009_000032_000003	I thought the people ashore would know how to make the local flag.	I thought the people ashore would know how to make the local flag.	true	849.59	852.525	12
583_139009_000032_000004	Stands to reason.	Stands to reason.	true	852.525	853.75	5
583_139009_000032_000005	You were wrong, Jukes. . . ."	You were wrong, Jukes. . . ."	true	853.85	855.16	15
583_139009_000033_000000	"Well, sir," began Jukes, getting up excitedly, "all I can say--" He fumbled for the end of the coil of line with trembling hands.	"Well, sir," began Jukes, getting up excitedly, "all I can say-" He fumbled for the end of the coil of line with trembling hands.	true	855.83	864.55	17.854876
583_139009_000034_000000	"That's all right." Captain MacWhirr soothed him, sitting heavily on a little canvas folding-stool he greatly affected.	"That's all right." Captain MacWhirr soothed him, sitting heavily on a little canvas folding stool he greatly affected.	true	865.04	871.63	14
583_139009_000034_000001	"All you have to do is to take care they don't hoist the elephant upside-down before they get quite used to it."	"All you have to do is to take care they don't hoist the elephant upside-down before they get quite used to it."	true	871.7	876.97	11
583_139009_000035_000000	Jukes flung the new lead-line over on the fore-deck with a loud "Here you are, bo'ss'en--don't forget to wet it thoroughly," and turned with immense resolution towards his commander; but Captain MacWhirr spread his elbows on the bridge-rail comfortably.	Jukes flung the new lead line over on the fore deck with a loud "Here you are, bo'ss'en-don't forget to wet it thoroughly," and turned with immense resolution towards his commander; but Captain MacWhirr spread his elbows on the bridge rail comfortably.	false	877.97	892.75	17.544504
583_139009_000036_000000	"Because it would be, I suppose, understood as a signal of distress," he went on.	"Because it would be, I suppose, understood as a signal of distress," he went on.	true	893.18	898.57	16
583_139009_000036_000001	"What do you think?	"What do you think?	true	898.64	899.685	18.286837
583_139009_000036_000002	That elephant there, I take it, stands for something in the nature of the Union Jack in the flag. . . ."	That elephant there, I take it, stands for something in the nature of the Union Jack in the flag. . . ."	true	899.685	904.9	14
583_139009_000037_000000	"Does it!" yelled Jukes, so that every head on the Nan-Shan's decks looked towards the bridge.	"Does it!" yelled Jukes, so that every head on the Nan Shan's decks looked towards the bridge.	false	905	911.44	19
583_139009_000037_000001	Then he sighed, and with sudden resignation: "It would certainly be a dam' distressful sight," he said, meekly.	Then he sighed, and with sudden resignation: "It would certainly be a dam' distressful sight," he said, meekly.	true	911.78	919.42	17.143082
583_139009_000038_000000	Later in the day he accosted the chief engineer with a confidential, "Here, let me tell you the old man's latest."	Later in the day he accosted the chief engineer with a confidential, "Here, let me tell you the old man's latest."	true	921.38	928.27	16
583_139009_000039_000000	Mr. Solomon Rout (frequently alluded to as Long Sol, Old Sol, or Father Rout), from finding himself almost invariably the tallest man on board every ship he joined, had acquired the habit of a stooping, leisurely condescension.	mr Solomon Rout (frequently alluded to as Long Sol, Old Sol, or Father Rout), from finding himself almost invariably the tallest man on board every ship he joined, had acquired the habit of a stooping, leisurely condescension.	false	928.46	942.49	13
