64_76974_000000_000000	CHAPTER XX	CHAPTER twenty
64_76974_000059_000000	"That is, some of us are," corrected Ned, with a sly glance at Stacy, who was eating industriously.	"That is, some of us are," corrected Ned, with a sly glance at Stacy, who was eating industriously.
64_76974_000059_000001	"Others are eating for their keep."	"Others are eating for their keep."
64_76974_000060_000000	The Pony Rider Boys caught the hidden meaning in his words, but they tried not to let their hosts observe that it was a joke at the expense of one of them.	The Pony Rider Boys caught the hidden meaning in his words, but they tried not to let their hosts observe that it was a joke at the expense of one of them.
64_76974_000061_000000	"Stallings," murmured Miss Brayton, her eyes staring vacantly at Tad Butler.	"Stallings," murmured Miss Brayton, her eyes staring vacantly at Tad Butler.
64_76974_000063_000000	Miss Brayton excused herself rather abruptly and left the room.	Miss Brayton excused herself rather abruptly and left the room.
64_76974_000063_000001	They did not see her again that evening.	They did not see her again that evening.
64_76974_000064_000000	"My niece has been ailing of late," explained Mrs. McClure.	"My niece has been ailing of late," explained mrs McClure.
64_76974_000066_000000	"Oh, yes, I wish her to.	"Oh, yes, I wish her to.
64_76974_000066_000001	It will do her good--it will take her mind from herself."	It will do her good-it will take her mind from herself."
64_76974_000067_000000	Tad Butler noted the last half of the sentence particularly.	Tad Butler noted the last half of the sentence particularly.
64_76974_000067_000001	For him it held a deeper meaning than it did for his companions.	For him it held a deeper meaning than it did for his companions.
64_76974_000068_000002	No, I won't.	No, I won't.
64_76974_000068_000003	It's none of my business.	It's none of my business.
64_76974_000068_000004	Still, it will do no harm to ask him, or to mention the name to him.	Still, it will do no harm to ask him, or to mention the name to him.
64_76974_000068_000005	That surely would not be wrong."	That surely would not be wrong."
64_76974_000069_000001	After supper games were brought out and a happy evening followed.	After supper games were brought out and a happy evening followed.
64_76974_000070_000000	Ten o'clock came, and Professor Zepplin, glancing at his watch, was about to propose a return to camp, when one of Colonel McClure's cowboys appeared in the doorway, hat in hand.	Ten o'clock came, and Professor Zepplin, glancing at his watch, was about to propose a return to camp, when one of Colonel McClure's cowboys appeared in the doorway, hat in hand.
64_76974_000071_000000	"Beg pardon; may I speak with you a moment?" asked the man.	"Beg pardon; may I speak with you a moment?" asked the man.
64_76974_000073_000000	After a little their host returned, but rather hurriedly, it seemed, and Tad's keen eyes noticed that he seemed disturbed.	After a little their host returned, but rather hurriedly, it seemed, and Tad's keen eyes noticed that he seemed disturbed.
64_76974_000074_000000	Mr. McClure caught the lad's inquiring gaze fixed upon him.	mr McClure caught the lad's inquiring gaze fixed upon him.
64_76974_000074_000001	He nodded.	He nodded.
64_76974_000075_000000	"Is anything wrong?" asked the rancher's wife.	"Is anything wrong?" asked the rancher's wife.
64_76974_000076_000000	"Yes; I am afraid there is," he answered quietly.	"Yes; I am afraid there is," he answered quietly.
64_76974_000077_000000	"What is it?"	"What is it?"
64_76974_000078_000000	"I am not sure.	"I am not sure.
64_76974_000078_000001	Perhaps I should not alarm you young gentlemen, but I think you should know."	Perhaps I should not alarm you young gentlemen, but I think you should know."
64_76974_000079_000000	"At the camp, you mean?" asked Tad.	"At the camp, you mean?" asked Tad.
64_76974_000080_000000	"Yes."	"Yes."
64_76974_000081_000000	"What's that?" demanded Professor Zepplin sharply.	"What's that?" demanded Professor Zepplin sharply.
64_76974_000081_000001	"Something wrong at the camp?"	"Something wrong at the camp?"
64_76974_000082_000000	"My men think so.	"My men think so.
64_76974_000082_000001	They say they hear shooting off in that direction, and want to know if they shall ride out."	They say they hear shooting off in that direction, and want to know if they shall ride out."
64_76974_000084_000000	"A stampede?	"A stampede?
64_76974_000084_000001	Yes; I should not be surprised."	Yes; I should not be surprised."
64_76974_000085_000000	"We must go," announced the lad, rising promptly.	"We must go," announced the lad, rising promptly.
64_76974_000086_000000	"Why go?" asked Margaret.	"Why go?" asked Margaret.
64_76974_000087_000000	"We may be needed."	"We may be needed."
64_76974_000088_000000	"But my men have started already," replied the rancher.	"But my men have started already," replied the rancher.
64_76974_000088_000001	"They surely will be help enough."	"They surely will be help enough."
64_76974_000089_000000	"Mr.	"mr
64_76974_000089_000001	Stallings will expect us.	Stallings will expect us.
64_76974_000089_000002	We may be able to be of some assistance."	We may be able to be of some assistance."
64_76974_000090_000000	"Well, if you must.	"Well, if you must.
64_76974_000090_000001	Yes; you are right.	Yes; you are right.
64_76974_000090_000002	Business is business, even when one is out on a pleasure trip.	Business is business, even when one is out on a pleasure trip.
64_76974_000090_000003	It's a good sign in a young man.	It's a good sign in a young man.
64_76974_000090_000004	Tell your foreman that he may call upon us to any extent."	Tell your foreman that he may call upon us to any extent."
64_76974_000091_000000	"Thank you, I will," replied Tad.	"Thank you, I will," replied Tad.
64_76974_000092_000000	Bidding their hosts a hasty good night, and promising to be on hand at the appointed hour on the following day if the condition of the herd permitted, the Pony Rider Boys ran for their ponies.	Bidding their hosts a hasty good night, and promising to be on hand at the appointed hour on the following day if the condition of the herd permitted, the Pony Rider Boys ran for their ponies.
64_76974_000092_000002	They, too, were now able to hear the short, spiteful bark of the six-shooters.	They, too, were now able to hear the short, spiteful bark of the six shooters.
64_76974_000093_000000	It was a significant sound.	It was a significant sound.
64_76974_000093_000001	They had heard it too many times before not to understand it.	They had heard it too many times before not to understand it.
64_76974_000093_000002	In their minds they could see the hardy cowboys riding in front of the unreasoning animals, shooting into the ground in front of them, seeking to check the rush.	In their minds they could see the hardy cowboys riding in front of the unreasoning animals, shooting into the ground in front of them, seeking to check the rush.
64_76974_000094_000000	"What do you think about this business?" asked Tad Butler, drawing up beside Ned Rector.	"What do you think about this business?" asked Tad Butler, drawing up beside Ned Rector.
64_76974_000095_000000	"I think there is more in this spook story than Colonel McClure knows of, or, at least, will admit."	"I think there is more in this spook story than Colonel McClure knows of, or, at least, will admit."
64_76974_000096_000000	"So do I," answered Tad.	"So do I," answered Tad.
