7938_109179_000000_000000	The horde of marauders were chasing through the lake again, and behind them came the pike.	The horde of marauders were chasing through the lake again, and behind them came the pike.	false	2.91	29.35	21.112146
7938_109179_000019_000001	Now it is Grim who has the mastery, and shakes her opponent so that the perch's tail slaps her weakly on the cheeks, and fetches her blow after blow upon the back of her neck.	Now it is Grim who has the mastery, and shakes her opponent so that the perch's tail slaps her weakly on the cheeks, and fetches her blow after blow upon the back of her neck.	false	320.51	329.23	20
7938_109179_000019_000002	Now it is the Rasper's turn to use Grim as a ferule, running her against stones and water-plants on the bottom, and whirling her round.	Now it is the Rasper's turn to use Grim as a ferule, running her against stones and water plants on the bottom, and whirling her round.	false	329.42	335.98	14
7938_109179_000020_000000	But no matter how much they exert themselves, it is without result; they do not succeed in getting away from one another.	But no matter how much they exert themselves, it is without result; they do not succeed in getting away from one another.	true	336.26	342.91	19.417631
7938_109179_000021_000000	Faint and dead-beat, they fall over on their sides.	Faint and dead beat, they fall over on their sides.	true	343.01	345.94	18.425333
7938_109179_000021_000001	The blood in their red gills scarcely circulates, their strength is ebbing, and there is no longer any question of either being _leader_.	The blood in their red gills scarcely circulates, their strength is ebbing, and there is no longer any question of either being underscore leader underscore.	false	346.13	354.27	19.503551
7938_109179_000021_000002	They only take it in turns now to splash a little with their tails and try to right themselves.	They only take it in turns now to splash a little with their tails and try to right themselves.	true	354.27	358.69	17
7938_109179_000022_000000	Grim, who is lying with her gills outside in the free water, is still alive and in possession of all her senses, but the Rasper is half dead.	Grim, who is lying with her gills outside in the free water, is still alive and in possession of all her senses, but the Rasper is half dead.	false	359.21	366.73	20
7938_109179_000023_000000	Then they float up and drift over the surface of the water like dead fish.	Then they float up and drift over the surface of the water like dead fish.	true	367.4	371.47	19
7938_109179_000024_000000	Thunder is rolling over the lake.	Thunder is rolling over the lake.	true	371.84	373.68	19.384424
7938_109179_000025_000000	A scorching sun and oppressive heat have long foreboded the storm that is brewing, and now at last it has burst; the clouds and the water have met.	A scorching sun and oppressive heat have long foreboded the storm that is brewing, and now at last it has burst; the clouds and the water have met.	false	373.68	381.96	19
7938_109179_000026_000000	The celestial salute begins rumbling and crackling a long way off in the farthest corner where the reed-forests rally round the mouth of the brook.	The celestial salute begins rumbling and crackling a long way off in the farthest corner where the reed forests rally round the mouth of the brook.	false	381.96	390.52	20.710693
7938_109179_000026_000001	The lightning ploughs long, white-glowing fibrous sparks out of the sombre, purple horizon, from which the showers come chasing and sweeping over the lake, casting dark, threatening shadows before them.	The lightning ploughs long, white glowing fibrous sparks out of the sombre, purple horizon, from which the showers come chasing and sweeping over the lake, casting dark, threatening shadows before them.	false	390.98	401.47	17
7938_109179_000027_000000	Under the fringe of forest on the lee-side, where all the grebes have crept together, one of the "big birds" is lying at anchor.	Under the fringe of forest on the lee side, where all the grebes have crept together, one of the "big birds" is lying at anchor.	true	402.32	409.12	18
7938_109179_000027_000001	She is riding out the storm while the whirlwinds are playing touch over the deep water.	She is riding out the storm while the whirlwinds are playing touch over the deep water.	true	409.28	413.35	19
7938_109179_000027_000002	She has no lines or fishing-tackle out; she knows well that all angling is in vain.	She has no lines or fishing tackle out; she knows well that all angling is in vain.	true	413.39	418.39	19.056608
7938_109179_000028_000000	The water seethes and boils on all sides; the grey troughs of the waves are full of bursting bubbles.	The water seethes and boils on all sides; the grey troughs of the waves are full of bursting bubbles.	false	418.7	424.6	18.423567
7938_109179_000028_000001	Little slate-coloured showers dart about, and plough up the surface of the water like the scratching of a cat on the skin; they dash themselves against the reedy margin and the edge of the wood, cutting broad lanes through them.	Little slate coloured showers dart about, and plough up the surface of the water like the scratching of a cat on the skin; they dash themselves against the reedy margin and the edge of the wood, cutting broad lanes through them.	true	424.7	436.93	19
7938_109179_000029_000000	All the fish have left the shallow water for the depths where they can lie far enough below the surface to escape the movement of the waves. Only the sheat-fish, the old water-hyena, is out roaming.	All the fish have left the shallow water for the depths where they can lie far enough below the surface to escape the movement of the waves. Only the sheat fish, the old water hyena, is out roaming.	false	437.33	449.07	23.054445
7938_109179_000030_000000	The wild weather puts life into Oa; it brings her great opportunities. The fish cannot see in the rough water, they are thrown out of their course, at one moment jumbled together, then separated; and one and another come to grief.	The wild weather puts life into Oa; it brings her great opportunities. The fish cannot see in the rough water, they are thrown out of their course, at one moment jumbled together, then separated; and one and another come to grief.	false	449.07	460.9	20
7938_109179_000030_000001	It is corpse-weather today.	It is corpse weather today.	true	460.91	462.34	26.961353
7938_109179_000030_000002	The angry waves stir up carrion from the bottom, or carry it out from bridge and bank.	The angry waves stir up carrion from the bottom, or carry it out from bridge and bank.	true	462.68	467.08	22
7938_109179_000030_000003	She always gets so hungry in stormy weather, and feels as if she must go to the surface for air.	She always gets so hungry in stormy weather, and feels as if she must go to the surface for air.	true	467.6	472.36	19
7938_109179_000031_000000	Feeling her way with her sensitive barbels, she glides out of her hole on the east side of the submarine mountain slope.	Feeling her way with her sensitive barbels, she glides out of her hole on the east side of the submarine mountain slope.	false	472.88	479.44	19.832378
7938_109179_000031_000001	Like a huge eel she wriggles up to the surface, where she lies in wait, slowly drifting with the current.	Like a huge eel she wriggles up to the surface, where she lies in wait, slowly drifting with the current.	true	479.6	485.14	20.559166
7938_109179_000032_000000	Grim's white belly is not turned down now.	Grim's white belly is not turned down now.	true	485.24	488.115	18.908144
7938_109179_000032_000001	The colour that makes the fish look one with the water would then have hidden her well enough for any one looking up from below.	The colour that makes the fish look one with the water would then have hidden her well enough for any one looking up from below.	false	488.115	493.99	19
7938_109179_000032_000002	Now her flecked sides and black back make a distinct stripe in the water.	Now her flecked sides and black back make a distinct stripe in the water.	true	494.12	498.58	23.141268
7938_109179_000033_000000	A cunning expression comes into Oa's little eyes.	A cunning expression comes into Oa's little eyes.	true	498.83	501.85	20
7938_109179_000033_000001	The queer fish with two tails attracts her.	The queer fish with two tails attracts her.	true	502.13	504.82	24.126612
7938_109179_000034_000000	The storm is abating; the last heavy shower is over.	The storm is abating; the last heavy shower is over.	true	505.01	508.14	18.941618
7938_109179_000034_000001	A patch of blue sky peeps out like a smiling eye between the frayed, swollen clouds. The lake sinks to rest, and even the pennons of the rushes hang loosely from their stalks; but in the distance can be heard the low rumbling of another storm.	A patch of blue sky peeps out like a smiling eye between the frayed, swollen clouds. The lake sinks to rest, and even the pennons of the rushes hang loosely from their stalks; but in the distance can be heard the low rumbling of another storm.	false	508.14	521.71	21.01842
7938_109179_000035_000000	The boat takes advantage of the lull, and is on her way home.	The boat takes advantage of the lull, and is on her way home.	false	522.11	525.165	14
7938_109179_000036_000000	Oa, hearing the swish of her bow, has only time to make a few hasty snaps at the big perch's already swollen belly; her thick, fleshy lips are still pulling at the Rasper's intestines as she slowly dives down into deep water.	Oa, hearing the swish of her bow, has only time to make a few hasty snaps at the big perch's already swollen belly; her thick, fleshy lips are still pulling at the Rasper's intestines as she slowly dives down into deep water.	false	525.165	537.21	17
7938_109179_000037_000000	The gulls and terns, which have begun to gather about the spot, are filled with renewed hope, and swoop down upon their prey with vociferous cries.	The gulls and terns, which have begun to gather about the spot, are filled with renewed hope, and swoop down upon their prey with vociferous cries.	false	537.21	545.74	22.477139
7938_109179_000037_000001	Involuntarily the angler's attention is attracted to them.	Involuntarily the angler's attention is attracted to them.	true	546.14	549.61	20.118574
7938_109179_000038_000000	He takes out his glasses, then rows nearer; and in another moment he has the two fish in his landing-net.	He takes out his glasses, then rows nearer; and in another moment he has the two fish in his landing net.	true	549.68	554.89	15
7938_109179_000039_000000	What a haul!	What a haul!	true	554.9	555.97	23.756388
7938_109179_000039_000001	A pike that has gorged itself on a giant perch!	A pike that has gorged itself on a giant perch!	true	556.16	559.03	21.553139
7938_109179_000039_000002	And it can only just have happened, for as soon as he has them in the boat he puts his nose to them and smells that they are fresh.	And it can only just have happened, for as soon as he has them in the boat he puts his nose to them and smells that they are fresh.	true	559.34	565.98	19
7938_109179_000040_000000	The perch, it is true, looks rather poorly, but that is probably because the gulls have been at him already; and he carefully begins to release it, and is greatly pleased when he discovers that the big, voracious pike, which is quite lively, is one of his marked fish.	The perch, it is true, looks rather poorly, but that is probably because the gulls have been at him already; and he carefully begins to release it, and is greatly pleased when he discovers that the big, voracious pike, which is quite lively, is one of his marked fish.	false	565.98	578.98	20.838266
7938_109179_000041_000000	Grim is furious, and tries to bite and snap while the happy angler makes a guess at her weight by swinging the landing-net up and down in his hands.	Grim is furious, and tries to bite and snap while the happy angler makes a guess at her weight by swinging the landing net up and down in his hands.	true	579.14	587.44	17
7938_109179_000041_000001	Ten pounds at the very lowest!	Ten pounds at the very lowest!	false	587.48	589.48	17.43648
7938_109179_000041_000002	No throwing this one back again!	No throwing this one back again!	true	589.52	591.13	21.739801
7938_109179_000042_000000	So she was once more in man's power, between his fingers and nails.	So she was once more in man's power, between his fingers and nails.	true	591.35	595.35	19
7938_109179_000042_000001	The light made her eyes prick and smart, the dry air stopped the course of her blood and her scales rose in terror and pain.	The light made her eyes prick and smart, the dry air stopped the course of her blood and her scales rose in terror and pain.	false	595.35	602.2	22.525562
7938_109179_000042_000002	For the third time she was as it were in the heron's throat!	For the third time she was as it were in the heron's throat!	true	602.75	606.04	20.319094
7938_109179_000043_000000	Then at last she awoke, her sight returned and the breath to her red gills; her brain became clear, and she no longer felt that uncomfortable pressure on the back of her neck.	Then at last she awoke, her sight returned and the breath to her red gills; her brain became clear, and she no longer felt that uncomfortable pressure on the back of her neck.	false	606.05	615.37	20.784237
7938_109179_000043_000001	Life was once more coursing through her veins.	Life was once more coursing through her veins.	true	615.47	617.68	20.175745
7938_109179_000044_000000	She was in water, and with a stroke of her tail she made for the bottom.	She was in water, and with a stroke of her tail she made for the bottom.	true	617.87	621.94	20.919832
7938_109179_000044_000001	Oh!	Oh!	true	622.13	622.935	28.243368
7938_109179_000044_000002	She had run her nose against a "stone!" She turned away and tried to go to one side, but there was another stone; there were stones all round her.	She had run her nose against a "stone!" She turned away and tried to go to one side, but there was another stone; there were stones all round her.	false	622.935	631.81	19.796925
7938_109179_000045_000000	The fisherman had put her into the well of his boat.	The fisherman had put her into the well of his boat.	false	631.85	634.54	20.25324
7938_109179_000045_000001	She would be all right there--for the present!	She would be all right there-for the present!	true	634.73	637.24	22.907074
7938_109179_000046_000000	The well was full of small fish, which at her appearance immediately crowded together in a corner.	The well was full of small fish, which at her appearance immediately crowded together in a corner.	false	637.67	643.27	21
7938_109179_000046_000001	She scowled at them, but although her stomach was empty, she felt no desire to eat.	She scowled at them, but although her stomach was empty, she felt no desire to eat.	true	643.34	648.37	23
7938_109179_000046_000002	She remained perfectly still in the darkest corner of the well, and took note in her own way of what went on around her--the angler's tread on the planks of the boat, his rattling with the oars and gear, his shouts and hailing of other sportsmen gliding past, fastened themselves in her memory.	She remained perfectly still in the darkest corner of the well, and took note in her own way of what went on around her-the angler's tread on the planks of the boat, his rattling with the oars and gear, his shouts and hailing of other sportsmen gliding past, fastened themselves in her memory.	false	648.62	663.73	21
7938_109179_000046_000003	Now and again a "bushy plant" came down and waved its stalks and leaves about her head.	Now and again a "bushy plant" came down and waved its stalks and leaves about her head.	true	664.13	669.28	17
7938_109179_000046_000004	She wanted to get away from the bush, and started with a stroke of her tail, but she ran straight into the landing-net.	She wanted to get away from the bush, and started with a stroke of her tail, but she ran straight into the landing net.	true	669.47	675.07	18
7938_109179_000046_000005	She could not tear the bushy plant, its numerous thick tendrils were so absurdly strong; and it increased her suspicion and gave her fresh experience.	She could not tear the bushy plant, its numerous thick tendrils were so absurdly strong; and it increased her suspicion and gave her fresh experience.	true	675.32	683.05	18
7938_109179_000047_000000	Deep down, Oa follows the boat and listens to the ripple of the water against the keeled breast of the great "swimming bird." The old hyena, who had fed on the carrion of the lake for more than fifty years, knew all about the fishermen.	Deep down, Oa follows the boat and listens to the ripple of the water against the keeled breast of the great "swimming bird." The old hyena, who had fed on the carrion of the lake for more than fifty years, knew all about the fishermen.	true	683.51	695.73	19
7938_109179_000047_000001	With her little blinking, bronze-coloured eyes, that lay floating at the sides of her head, right out where the nostrils are generally placed in mammals, she gives careful attention to the refuse that the fisherman throws out when he cleans the dead perch.	With her little blinking, bronze coloured eyes, that lay floating at the sides of her head, right out where the nostrils are generally placed in mammals, she gives careful attention to the refuse that the fisherman throws out when he cleans the dead perch.	false	695.73	708.76	21.346428
7938_109179_000048_000000	She dares not venture up to the surface.	She dares not venture up to the surface.	true	708.83	711.13	22.627977
7938_109179_000048_000001	The sun is shining again, and there is no archipelago of water-lily leaves under which she can hide her head.	The sun is shining again, and there is no archipelago of water lily leaves under which she can hide her head.	true	711.2	716.985	19
7938_109179_000048_000002	She must wait patiently until her perquisites descend.	She must wait patiently until her perquisites descend.	true	716.985	720.31	24.302887
7938_109179_000049_000000	She also hears the splashing of the bird, and shouts and strange thumps on the boat-planks; and she keeps her blue-black pupils fixed expectantly upon the great dark shadow up there.	She also hears the splashing of the bird, and shouts and strange thumps on the boat planks; and she keeps her blue black pupils fixed expectantly upon the great dark shadow up there.	true	720.35	730.33	23.78766
7938_109179_000050_000000	Who knows, some day perhaps a young one might drop out!	Who knows, some day perhaps a young one might drop out!	true	730.7	733.75	21
7938_109179_000051_000000	As the angler neared the shore he lifted the lid of the well, and stood rejoicing over his catch.	As the angler neared the shore he lifted the lid of the well, and stood rejoicing over his catch.	true	733.88	738.88	16
7938_109179_000051_000001	He saw the pike throw up her head, and was glad to find her still as lively as ever.	He saw the pike throw up her head, and was glad to find her still as lively as ever.	true	739.25	743.47	21.377155
7938_109179_000052_000000	And to think that Heaven should at last reward him for his magnanimity! For the mark on the dorsal fin showed distinctly that this fish had been in his hands before.	And to think that Heaven should at last reward him for his magnanimity! For the mark on the dorsal fin showed distinctly that this fish had been in his hands before.	true	743.78	753.16	22.058819
7938_109179_000053_000000	Grim saw glimpses of the open water from which the dark land-shadows, in the form of the sides of the boat, shut her off.	Grim saw glimpses of the open water from which the dark land shadows, in the form of the sides of the boat, shut her off.	false	754.4	760.69	19
7938_109179_000053_000001	It must be a ditch she had got into, a pool; such mishaps had befallen her before on her annual wedding-tours up in narrow channels and bogs.	It must be a ditch she had got into, a pool; such mishaps had befallen her before on her annual wedding tours up in narrow channels and bogs.	false	761.03	770.95	22.741037
7938_109179_000054_000000	Well then, she knew what to do, and she crouched in a corner, where she lay awaiting her opportunity.	Well then, she knew what to do, and she crouched in a corner, where she lay awaiting her opportunity.	false	771.38	776.14	21.699272
7938_109179_000055_000000	The angler should have replaced the lid before taking his usual nip.	The angler should have replaced the lid before taking his usual nip.	true	776.54	779.53	17.900198
7938_109179_000055_000001	As it was, he was standing quietly leaning back with crooked arm, when suddenly, with a tremendous leap, Grim sprang out of the well and over the side of the boat, and with a splash disappeared into the lake.	As it was, he was standing quietly leaning back with crooked arm, when suddenly, with a tremendous leap, Grim sprang out of the well and over the side of the boat, and with a splash disappeared into the lake.	true	779.81	790.21	18
7938_109179_000056_000000	"Funny thing, very funny!" said a traveller a little later in the railway-carriage, to whom the angler had wrathfully related his story.	"Funny thing, very funny!" said a traveller a little later in the railway carriage, to whom the angler had wrathfully related his story.	false	790.61	808.2	21.520466
