8464_282934_000001_000000	Calliope Catesby was in his humours again.	Calliope Catesby was in his humours again.
8464_282934_000008_000002	The din was perforated at intervals by the /staccato/ of the Terror's guns, and was drowned periodically by the brazen screech that Quicksand knew so well.	The din was perforated at intervals by the /staccato/ of the Terror's guns, and was drowned periodically by the brazen screech that Quicksand knew so well.
8464_282934_000009_000000	But some four squares farther down lively preparations were being made to minister to Mr. Catesby's love for interchange of compliments and repartee.	But some four squares farther down lively preparations were being made to minister to mr Catesby's love for interchange of compliments and repartee.
8464_282934_000009_000002	The patience of that official, often strained in extending leniency toward the disturber's misdeeds, had been overtaxed.	The patience of that official, often strained in extending leniency toward the disturber's misdeeds, had been overtaxed.
8464_282934_000009_000004	Providing that the lives of the more useful citizens were not recklessly squandered, or too much property needlessly laid waste, the community sentiment was against a too strict enforcement of the law. But Calliope had raised the limit.	Providing that the lives of the more useful citizens were not recklessly squandered, or too much property needlessly laid waste, the community sentiment was against a too strict enforcement of the law. But Calliope had raised the limit.
8464_282934_000009_000005	His outbursts had been too frequent and too violent to come within the classification of a normal and sanitary relaxation of spirit.	His outbursts had been too frequent and too violent to come within the classification of a normal and sanitary relaxation of spirit.
8464_282934_000010_000000	Buck Patterson had been expecting and awaiting in his little ten-by- twelve frame office that preliminary yell announcing that Calliope was feeling blue.	Buck Patterson had been expecting and awaiting in his little ten by twelve frame office that preliminary yell announcing that Calliope was feeling blue.
8464_282934_000011_000000	"Gather that fellow in," said Buck Patterson, setting forth the lines of the campaign.	"Gather that fellow in," said Buck Patterson, setting forth the lines of the campaign.
8464_282934_000011_000001	"Don't have no talk, but shoot as soon as you can get a show.	"Don't have no talk, but shoot as soon as you can get a show.
8464_282934_000011_000004	It's up to Calliope to turn up his toes this time, I reckon.	It's up to Calliope to turn up his toes this time, I reckon.
8464_282934_000011_000005	Go to him all spraddled out, boys.	Go to him all spraddled out, boys.
8464_282934_000012_000000	Buck Patterson, tall, muscular, and solemn-faced, with his bright "City Marshal" badge shining on the breast of his blue flannel shirt, gave his posse directions for the onslaught upon Calliope.	Buck Patterson, tall, muscular, and solemn faced, with his bright "City Marshal" badge shining on the breast of his blue flannel shirt, gave his posse directions for the onslaught upon Calliope.
8464_282934_000012_000001	The plan was to accomplish the downfall of the Quicksand Terror without loss to the attacking party, if possible.	The plan was to accomplish the downfall of the Quicksand Terror without loss to the attacking party, if possible.
8464_282934_000013_000000	The splenetic Calliope, unconscious of retributive plots, was steaming down the channel, cannonading on either side, when he suddenly became aware of breakers ahead.	The splenetic Calliope, unconscious of retributive plots, was steaming down the channel, cannonading on either side, when he suddenly became aware of breakers ahead.
8464_282934_000013_000001	The city marshal and one of the deputies rose up behind some dry-goods boxes half a square to the front and opened fire.	The city marshal and one of the deputies rose up behind some dry goods boxes half a square to the front and opened fire.
8464_282934_000013_000002	At the same time the rest of the posse, divided, shelled him from two side streets up which they were cautiously manoeuvring from a well-executed detour.	At the same time the rest of the posse, divided, shelled him from two side streets up which they were cautiously manoeuvring from a well executed detour.
8464_282934_000014_000001	Feeling braced up by this unexpected tonic to his spiritual depression, Calliope executed a fortissimo note from his upper register, and returned the fire like an echo.	Feeling braced up by this unexpected tonic to his spiritual depression, Calliope executed a fortissimo note from his upper register, and returned the fire like an echo.
8464_282934_000015_000001	Choosing with a rapid eye the street from which the weakest and least accurate fire had come, he invaded it at a double-quick, abandoning the unprotected middle of the street.	Choosing with a rapid eye the street from which the weakest and least accurate fire had come, he invaded it at a double quick, abandoning the unprotected middle of the street.
8464_282934_000015_000002	With rare cunning the opposing force in that direction--one of the deputies and two of the valorous volunteers-- waited, concealed by beer barrels, until Calliope had passed their retreat, and then peppered him from the rear.	With rare cunning the opposing force in that direction-one of the deputies and two of the valorous volunteers- waited, concealed by beer barrels, until Calliope had passed their retreat, and then peppered him from the rear.
8464_282934_000015_000004	His eye fell upon a structure that seemed to hold out this promise, providing he could reach it.	His eye fell upon a structure that seemed to hold out this promise, providing he could reach it.
8464_282934_000016_000000	Not far away was the little railroad station, its building a strong box house, ten by twenty feet, resting upon a platform four feet above ground.	Not far away was the little railroad station, its building a strong box house, ten by twenty feet, resting upon a platform four feet above ground.
8464_282934_000016_000001	Windows were in each of its walls.	Windows were in each of its walls.
8464_282934_000016_000002	Something like a fort it might become to a man thus sorely pressed by superior numbers.	Something like a fort it might become to a man thus sorely pressed by superior numbers.
8464_282934_000017_000000	Calliope made a bold and rapid spurt for it, the marshal's crowd "smoking" him as he ran.	Calliope made a bold and rapid spurt for it, the marshal's crowd "smoking" him as he ran.
8464_282934_000017_000001	He reached the haven in safety, the station agent leaving the building by a window, like a flying squirrel, as the garrison entered the door.	He reached the haven in safety, the station agent leaving the building by a window, like a flying squirrel, as the garrison entered the door.
8464_282934_000018_000001	In the station was an unterrified desperado who was an excellent shot and carried an abundance of ammunition.	In the station was an unterrified desperado who was an excellent shot and carried an abundance of ammunition.
8464_282934_000019_000000	The city marshal was resolved.	The city marshal was resolved.
8464_282934_000019_000001	He had decided that Calliope Catesby should no more wake the echoes of Quicksand with his strident whoop. He had so announced.	He had decided that Calliope Catesby should no more wake the echoes of Quicksand with his strident whoop. He had so announced.
8464_282934_000019_000003	It played bad tunes.	It played bad tunes.
8464_282934_000020_000000	Standing near was a hand truck used in the manipulation of small freight.	Standing near was a hand truck used in the manipulation of small freight.
8464_282934_000020_000001	It stood by a shed full of sacked wool, a consignment from one of the sheep ranches.	It stood by a shed full of sacked wool, a consignment from one of the sheep ranches.
8464_282934_000020_000002	On this truck the marshal and his men piled three heavy sacks of wool.	On this truck the marshal and his men piled three heavy sacks of wool.
8464_282934_000020_000004	The posse, scattering broadly, stood ready to nip the besieged in case he should show himself in an effort to repel the juggernaut of justice that was creeping upon him.	The posse, scattering broadly, stood ready to nip the besieged in case he should show himself in an effort to repel the juggernaut of justice that was creeping upon him.
8464_282934_000020_000005	Only once did Calliope make demonstration.	Only once did Calliope make demonstration.
8464_282934_000020_000006	He fired from a window, and some tufts of wool spurted from the marshal's trustworthy bulwark.	He fired from a window, and some tufts of wool spurted from the marshal's trustworthy bulwark.
8464_282934_000020_000007	The return shots from the posse pattered against the window frame of the fort.	The return shots from the posse pattered against the window frame of the fort.
8464_282934_000020_000008	No loss resulted on either side.	No loss resulted on either side.
8464_282934_000021_000000	The marshal was too deeply engrossed in steering his protected battleship to be aware of the approach of the morning train until he was within a few feet of the platform.	The marshal was too deeply engrossed in steering his protected battleship to be aware of the approach of the morning train until he was within a few feet of the platform.
8464_282934_000021_000004	He had only to step out the other door, mount the train, and away.	He had only to step out the other door, mount the train, and away.
8464_282934_000022_000001	The members of the posse heard one shot fired inside, and then there was silence.	The members of the posse heard one shot fired inside, and then there was silence.
8464_282934_000024_000001	After a blank space he again could see and hear and feel and think.	After a blank space he again could see and hear and feel and think.
8464_282934_000024_000003	A tall man with a perplexed countenance, wearing a big badge with "City Marshal" engraved upon it, stood over him.	A tall man with a perplexed countenance, wearing a big badge with "City Marshal" engraved upon it, stood over him.
8464_282934_000024_000004	A little old woman in black, with a wrinkled face and sparkling black eyes, was holding a wet handkerchief against one of his temples.	A little old woman in black, with a wrinkled face and sparkling black eyes, was holding a wet handkerchief against one of his temples.
8464_282934_000024_000005	He was trying to get these facts fixed in his mind and connected with past events, when the old woman began to talk.	He was trying to get these facts fixed in his mind and connected with past events, when the old woman began to talk.
8464_282934_000025_000000	"There now, great, big, strong man!	"There now, great, big, strong man!
8464_282934_000025_000008	You don't know me, I reckon, and 'tain't surprisin' that you shouldn't.	You don't know me, I reckon, and 'tain't surprisin' that you shouldn't.
8464_282934_000025_000012	This is my son, sir."	This is my son, sir."
8464_282934_000026_000000	Half turning, the old woman looked up at the standing man, her worn face lighting with a proud and wonderful smile.	Half turning, the old woman looked up at the standing man, her worn face lighting with a proud and wonderful smile.
8464_282934_000026_000001	She reached out one veined and calloused hand and took one of her son's.	She reached out one veined and calloused hand and took one of her son's.
8464_282934_000027_000001	One of my nephews, Elkanah Price, he's a conductor on one of them railroads and he got me a pass to come out here.	One of my nephews, Elkanah Price, he's a conductor on one of them railroads and he got me a pass to come out here.
8464_282934_000027_000002	I can stay a whole week on it, and then it'll take me back again.	I can stay a whole week on it, and then it'll take me back again.
8464_282934_000027_000006	I reckon he thought his old mother'd be skeered about the danger he was in.	I reckon he thought his old mother'd be skeered about the danger he was in.
8464_282934_000027_000007	But, laws!	But, laws!
8464_282934_000027_000013	He met me at the door, and squeezes me 'most to death.	He met me at the door, and squeezes me 'most to death.
8464_282934_000028_000000	"I think I'll sit up now," said the concussion patient.	"I think I'll sit up now," said the concussion patient.
8464_282934_000028_000001	"I'm feeling pretty fair by this time."	"I'm feeling pretty fair by this time."
8464_282934_000029_000000	He sat, somewhat weakly yet, leaning against the wall.	He sat, somewhat weakly yet, leaning against the wall.
8464_282934_000029_000001	He was a rugged man, big-boned and straight.	He was a rugged man, big boned and straight.
8464_282934_000030_000002	Don't you take it as meddlesome fer an old woman with a son as big as you to talk about it.	Don't you take it as meddlesome fer an old woman with a son as big as you to talk about it.
8464_282934_000030_000004	A officer has got to take up for the law--it's his duty--and them that acts bad and lives wrong has to suffer.	A officer has got to take up for the law-it's his duty-and them that acts bad and lives wrong has to suffer.
8464_282934_000030_000005	Don't blame my son any, sir--'tain't his fault.	Don't blame my son any, sir-'tain't his fault.
8464_282934_000030_000006	He's always been a good boy--good when he was growin' up, and kind and 'bedient and well-behaved.	He's always been a good boy-good when he was growin' up, and kind and 'bedient and well behaved.
8464_282934_000030_000007	Won't you let me advise you, sir, not to do so no more?	Won't you let me advise you, sir, not to do so no more?
8464_282934_000030_000008	Be a good man, and leave liquor alone and live peaceably and goodly.	Be a good man, and leave liquor alone and live peaceably and goodly.
8464_282934_000031_000000	The black-mitted hand of the old pleader gently touched the breast of the man she addressed.	The black mitted hand of the old pleader gently touched the breast of the man she addressed.
8464_282934_000032_000000	"What does the marshal say?" he asked.	"What does the marshal say?" he asked.
8464_282934_000032_000002	Suppose the marshal speaks up and says if the talk's all right?"	Suppose the marshal speaks up and says if the talk's all right?"
8464_282934_000033_000001	He fingered the badge on his breast for a moment, and then he put an arm around the old woman and drew her close to him.	He fingered the badge on his breast for a moment, and then he put an arm around the old woman and drew her close to him.
8464_282934_000034_000003	I'll drop the tanglefoot and the gun play, and won't play hoss no more.	I'll drop the tanglefoot and the gun play, and won't play hoss no more.
8464_282934_000034_000004	I'll be a good citizen and go to work and quit my foolishness.	I'll be a good citizen and go to work and quit my foolishness.
8464_282934_000034_000005	So help me God!' That's what I'd say to you if you was marshal and I was in your place."	So help me God!' That's what I'd say to you if you was marshal and I was in your place."
8464_282934_000035_000000	"Hear my son talkin'," said the old woman softly.	"Hear my son talkin'," said the old woman softly.
8464_282934_000035_000001	"Hear him, sir.	"Hear him, sir.
8464_282934_000035_000002	You promise to be good and he won't do you no harm.	You promise to be good and he won't do you no harm.
8464_282934_000038_000003	I wouldn't have nothin' happen to them jars for a red apple."	I wouldn't have nothin' happen to them jars for a red apple."
8464_282934_000040_000001	I seen her through the window a-comin' in.	I seen her through the window a comin' in.
8464_282934_000040_000005	The idea struck me sudden, and I just took your badge off and fastened it onto myself, and I fastened my reputation onto you.	The idea struck me sudden, and I just took your badge off and fastened it onto myself, and I fastened my reputation onto you.
8464_282934_000040_000007	You can take your badge back now, Buck."	You can take your badge back now, Buck."
8464_282934_000042_000000	"Easy there!" said Buck Patterson.	"Easy there!" said Buck Patterson.
8464_282934_000042_000001	"You keep that badge right where it is, Calliope Catesby.	"You keep that badge right where it is, Calliope Catesby.
8464_282934_000042_000002	Don't you dare to take it off till the day your mother leaves this town.	Don't you dare to take it off till the day your mother leaves this town.
8464_282934_000044_000000	"Shut up," said Buck.	"Shut up," said Buck.
