242_122627_000000_000000	"Did ever anybody see such a picture of passion!"	"Did ever anybody see such a picture of passion!"	false	0	2.43	19.693016
242_122627_000022_000000	They went, shutting the door, and locking it behind them.	They went, shutting the door, and locking it behind them.	true	245.18	248.29	21.098648
242_122627_000023_000000	The red-room was a square chamber, very seldom slept in, I might say never, indeed, unless when a chance influx of visitors at Gateshead Hall rendered it necessary to turn to account all the accommodation it contained: yet it was one of the largest and stateliest chambers in the mansion.	The red room was a square chamber, very seldom slept in, I might say never, indeed, unless when a chance influx of visitors at Gateshead Hall rendered it necessary to turn to account all the accommodation it contained: yet it was one of the largest and stateliest chambers in the mansion.	true	249.32	267.61	20.62561
242_122627_000023_000001	A bed supported on massive pillars of mahogany, hung with curtains of deep red damask, stood out like a tabernacle in the centre; the two large windows, with their blinds always drawn down, were half shrouded in festoons and falls of similar drapery; the carpet was red; the table at the foot of the bed was covered with a crimson cloth; the walls were a soft fawn colour with a blush of pink in it; the wardrobe, the toilet-table, the chairs were of darkly polished old mahogany.	A bed supported on massive pillars of mahogany, hung with curtains of deep red damask, stood out like a tabernacle in the centre; the two large windows, with their blinds always drawn down, were half shrouded in festoons and falls of similar drapery; the carpet was red; the table at the foot of the bed was covered with a crimson cloth; the walls were a soft fawn colour with a blush of pink in it; the wardrobe, the toilet table, the chairs were of darkly polished old mahogany.	true	267.89	299.56	21.94801
242_122627_000023_000002	Out of these deep surrounding shades rose high, and glared white, the piled- up mattresses and pillows of the bed, spread with a snowy Marseilles counterpane.	Out of these deep surrounding shades rose high, and glared white, the piled up mattresses and pillows of the bed, spread with a snowy Marseilles counterpane.	false	299.78	309.79	21.807589
242_122627_000023_000003	Scarcely less prominent was an ample cushioned easy-chair near the head of the bed, also white, with a footstool before it; and looking, as I thought, like a pale throne.	Scarcely less prominent was an ample cushioned easy chair near the head of the bed, also white, with a footstool before it; and looking, as I thought, like a pale throne.	true	309.92	320.44	23.138603
242_122627_000024_000000	This room was chill, because it seldom had a fire; it was silent, because remote from the nursery and kitchen; solemn, because it was known to be so seldom entered.	This room was chill, because it seldom had a fire; it was silent, because remote from the nursery and kitchen; solemn, because it was known to be so seldom entered.	true	320.75	331.27	20.710503
242_122627_000024_000001	The house-maid alone came here on Saturdays, to wipe from the mirrors and the furniture a week's quiet dust: and Mrs. Reed herself, at far intervals, visited it to review the contents of a certain secret drawer in the wardrobe, where were stored divers parchments, her jewel-casket, and a miniature of her deceased husband; and in those last words lies the secret of the red-room--the spell which kept it so lonely in spite of its grandeur.	The house maid alone came here on Saturdays, to wipe from the mirrors and the furniture a week's quiet dust: and mrs Reed herself, at far intervals, visited it to review the contents of a certain secret drawer in the wardrobe, where were stored divers parchments, her jewel casket, and a miniature of her deceased husband; and in those last words lies the secret of the red room-the spell which kept it so lonely in spite of its grandeur.	false	331.43	360.85	22.140675
242_122627_000025_000000	Mr. Reed had been dead nine years: it was in this chamber he breathed his last; here he lay in state; hence his coffin was borne by the undertaker's men; and, since that day, a sense of dreary consecration had guarded it from frequent intrusion.	mr Reed had been dead nine years: it was in this chamber he breathed his last; here he lay in state; hence his coffin was borne by the undertaker's men; and, since that day, a sense of dreary consecration had guarded it from frequent intrusion.	false	361.31	378.37	20.44468
242_122627_000026_000000	My seat, to which Bessie and the bitter Miss Abbot had left me riveted, was a low ottoman near the marble chimney-piece; the bed rose before me; to my right hand there was the high, dark wardrobe, with subdued, broken reflections varying the gloss of its panels; to my left were the muffled windows; a great looking-glass between them repeated the vacant majesty of the bed and room.	My seat, to which Bessie and the bitter Miss Abbot had left me riveted, was a low ottoman near the marble chimney piece; the bed rose before me; to my right hand there was the high, dark wardrobe, with subdued, broken reflections varying the gloss of its panels; to my left were the muffled windows; a great looking glass between them repeated the vacant majesty of the bed and room.	false	378.62	402.88	21.837847
242_122627_000026_000001	I was not quite sure whether they had locked the door; and when I dared move, I got up and went to see.	I was not quite sure whether they had locked the door; and when I dared move, I got up and went to see.	true	403.16	409.3	22.244669
242_122627_000026_000002	Alas! yes: no jail was ever more secure.	Alas! yes: no jail was ever more secure.	true	409.61	413.68	20.83587
242_122627_000026_000003	Returning, I had to cross before the looking- glass; my fascinated glance involuntarily explored the depth it revealed. All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie's evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers.	Returning, I had to cross before the looking glass; my fascinated glance involuntarily explored the depth it revealed. All looked colder and darker in that visionary hollow than in reality: and the strange little figure there gazing at me, with a white face and arms specking the gloom, and glittering eyes of fear moving where all else was still, had the effect of a real spirit: I thought it like one of the tiny phantoms, half fairy, half imp, Bessie's evening stories represented as coming out of lone, ferny dells in moors, and appearing before the eyes of belated travellers.	false	413.84	452.83	22.364744
242_122627_000026_000004	I returned to my stool.	I returned to my stool.	true	453.08	454.9	22.36181
242_122627_000027_000000	Superstition was with me at that moment; but it was not yet her hour for complete victory: my blood was still warm; the mood of the revolted slave was still bracing me with its bitter vigour; I had to stem a rapid rush of retrospective thought before I quailed to the dismal present.	Superstition was with me at that moment; but it was not yet her hour for complete victory: my blood was still warm; the mood of the revolted slave was still bracing me with its bitter vigour; I had to stem a rapid rush of retrospective thought before I quailed to the dismal present.	false	455.33	472.93	22.043428
242_122627_000028_000000	All John Reed's violent tyrannies, all his sisters' proud indifference, all his mother's aversion, all the servants' partiality, turned up in my disturbed mind like a dark deposit in a turbid well.	All john Reed's violent tyrannies, all his sisters' proud indifference, all his mother's aversion, all the servants' partiality, turned up in my disturbed mind like a dark deposit in a turbid well.	false	473.51	486.7	20.494009
242_122627_000028_000001	Why was I always suffering, always browbeaten, always accused, for ever condemned?	Why was I always suffering, always browbeaten, always accused, for ever condemned?	true	487.13	493.71	20.572819
242_122627_000028_000002	Why could I never please?	Why could I never please?	true	493.71	495.46	25.626968
242_122627_000028_000003	Why was it useless to try to win any one's favour? Eliza, who was headstrong and selfish, was respected.	Why was it useless to try to win any one's favour? Eliza, who was headstrong and selfish, was respected.	false	495.59	503.32	21.839844
242_122627_000028_000004	Georgiana, who had a spoiled temper, a very acrid spite, a captious and insolent carriage, was universally indulged.	Georgiana, who had a spoiled temper, a very acrid spite, a captious and insolent carriage, was universally indulged.	true	503.45	512.53	20.855343
242_122627_000028_000005	Her beauty, her pink cheeks and golden curls, seemed to give delight to all who looked at her, and to purchase indemnity for every fault.	Her beauty, her pink cheeks and golden curls, seemed to give delight to all who looked at her, and to purchase indemnity for every fault.	true	512.6	521.59	21.858845
242_122627_000028_000006	John no one thwarted, much less punished; though he twisted the necks of the pigeons, killed the little pea-chicks, set the dogs at the sheep, stripped the hothouse vines of their fruit, and broke the buds off the choicest plants in the conservatory: he called his mother "old girl," too; sometimes reviled her for her dark skin, similar to his own; bluntly disregarded her wishes; not unfrequently tore and spoiled her silk attire; and he was still "her own darling." I dared commit no fault: I strove to fulfil every duty; and I was termed naughty and tiresome, sullen and sneaking, from morning to noon, and from noon to night.	john no one thwarted, much less punished; though he twisted the necks of the pigeons, killed the little pea chicks, set the dogs at the sheep, stripped the hothouse vines of their fruit, and broke the buds off the choicest plants in the conservatory: he called his mother "old girl," too; sometimes reviled her for her dark skin, similar to his own; bluntly disregarded her wishes; not unfrequently tore and spoiled her silk attire; and he was still "her own darling." I dared commit no fault: I strove to fulfil every duty; and I was termed naughty and tiresome, sullen and sneaking, from morning to noon, and from noon to night.	false	521.78	564.64	22.232176
242_122627_000029_000000	My head still ached and bled with the blow and fall I had received: no one had reproved John for wantonly striking me; and because I had turned against him to avert farther irrational violence, I was loaded with general opprobrium.	My head still ached and bled with the blow and fall I had received: no one had reproved john for wantonly striking me; and because I had turned against him to avert farther irrational violence, I was loaded with general opprobrium.	false	565.19	580.69	21.978048
242_122627_000030_000000	"Unjust!--unjust!" said my reason, forced by the agonising stimulus into precocious though transitory power: and Resolve, equally wrought up, instigated some strange expedient to achieve escape from insupportable oppression--as running away, or, if that could not be effected, never eating or drinking more, and letting myself die.	"Unjust!--unjust!" said my reason, forced by the agonising stimulus into precocious though transitory power: and Resolve, equally wrought up, instigated some strange expedient to achieve escape from insupportable oppression-as running away, or, if that could not be effected, never eating or drinking more, and letting myself die.	false	580.97	604.72	23.176228
242_122627_000031_000000	What a consternation of soul was mine that dreary afternoon!	What a consternation of soul was mine that dreary afternoon!	true	605.21	608.98	20.62931
242_122627_000031_000001	How all my brain was in tumult, and all my heart in insurrection!	How all my brain was in tumult, and all my heart in insurrection!	false	609.05	613.96	18.880594
242_122627_000031_000002	Yet in what darkness, what dense ignorance, was the mental battle fought!	Yet in what darkness, what dense ignorance, was the mental battle fought!	true	614.27	618.97	27.032438
242_122627_000031_000003	I could not answer the ceaseless inward question--_why_ I thus suffered; now, at the distance of--I will not say how many years, I see it clearly.	I could not answer the ceaseless inward question-underscore why underscore I thus suffered; now, at the distance of-I will not say how many years, I see it clearly.	false	619.1	628.18	21.494278
242_122627_000032_000000	I was a discord in Gateshead Hall: I was like nobody there; I had nothing in harmony with Mrs. Reed or her children, or her chosen vassalage.	I was a discord in Gateshead Hall: I was like nobody there; I had nothing in harmony with mrs Reed or her children, or her chosen vassalage.	false	628.37	637.93	22.723898
242_122627_000032_000001	If they did not love me, in fact, as little did I love them.	If they did not love me, in fact, as little did I love them.	false	638.15	641.95	21
242_122627_000032_000002	They were not bound to regard with affection a thing that could not sympathise with one amongst them; a heterogeneous thing, opposed to them in temperament, in capacity, in propensities; a useless thing, incapable of serving their interest, or adding to their pleasure; a noxious thing, cherishing the germs of indignation at their treatment, of contempt of their judgment.	They were not bound to regard with affection a thing that could not sympathise with one amongst them; a heterogeneous thing, opposed to them in temperament, in capacity, in propensities; a useless thing, incapable of serving their interest, or adding to their pleasure; a noxious thing, cherishing the germs of indignation at their treatment, of contempt of their judgment.	false	642.05	666.04	21.839912
242_122627_000032_000003	I know that had I been a sanguine, brilliant, careless, exacting, handsome, romping child--though equally dependent and friendless--Mrs.	I know that had I been a sanguine, brilliant, careless, exacting, handsome, romping child-though equally dependent and friendless-mrs	true	666.08	674.73	21.385025
242_122627_000032_000004	Reed would have endured my presence more complacently; her children would have entertained for me more of the cordiality of fellow-feeling; the servants would have been less prone to make me the scapegoat of the nursery.	Reed would have endured my presence more complacently; her children would have entertained for me more of the cordiality of fellow feeling; the servants would have been less prone to make me the scapegoat of the nursery.	false	674.73	686.71	20.919817
242_122627_000033_000000	Daylight began to forsake the red-room; it was past four o'clock, and the beclouded afternoon was tending to drear twilight.	Daylight began to forsake the red room; it was past four o'clock, and the beclouded afternoon was tending to drear twilight.	false	687.23	695.38	23.774511
242_122627_000033_000001	I heard the rain still beating continuously on the staircase window, and the wind howling in the grove behind the hall; I grew by degrees cold as a stone, and then my courage sank.	I heard the rain still beating continuously on the staircase window, and the wind howling in the grove behind the hall; I grew by degrees cold as a stone, and then my courage sank.	false	695.48	707.77	19.332457
242_122627_000033_000002	My habitual mood of humiliation, self-doubt, forlorn depression, fell damp on the embers of my decaying ire.	My habitual mood of humiliation, self doubt, forlorn depression, fell damp on the embers of my decaying ire.	false	707.84	716.13	21.85541
242_122627_000033_000003	All said I was wicked, and perhaps I might be so; what thought had I been but just conceiving of starving myself to death?	All said I was wicked, and perhaps I might be so; what thought had I been but just conceiving of starving myself to death?	false	716.13	724.14	20.13022
242_122627_000033_000004	That certainly was a crime: and was I fit to die?	That certainly was a crime: and was I fit to die?	true	724.14	727.99	22.56034
242_122627_000033_000005	Or was the vault under the chancel of Gateshead Church an inviting bourne?	Or was the vault under the chancel of Gateshead Church an inviting bourne?	true	728.12	732.55	21
242_122627_000033_000006	In such vault I had been told did Mr. Reed lie buried; and led by this thought to recall his idea, I dwelt on it with gathering dread.	In such vault I had been told did mr Reed lie buried; and led by this thought to recall his idea, I dwelt on it with gathering dread.	true	732.83	741.76	21.405323
242_122627_000033_000007	I could not remember him; but I knew that he was my own uncle--my mother's brother--that he had taken me when a parentless infant to his house; and that in his last moments he had required a promise of Mrs. Reed that she would rear and maintain me as one of her own children. Mrs. Reed probably considered she had kept this promise; and so she had, I dare say, as well as her nature would permit her; but how could she really like an interloper not of her race, and unconnected with her, after her husband's death, by any tie?	I could not remember him; but I knew that he was my own uncle-my mother's brother-that he had taken me when a parentless infant to his house; and that in his last moments he had required a promise of mrs Reed that she would rear and maintain me as one of her own children. mrs Reed probably considered she had kept this promise; and so she had, I dare say, as well as her nature would permit her; but how could she really like an interloper not of her race, and unconnected with her, after her husband's death, by any tie?	false	741.89	775.42	21.787374
242_122627_000033_000008	It must have been most irksome to find herself bound by a hard-wrung pledge to stand in the stead of a parent to a strange child she could not love, and to see an uncongenial alien permanently intruded on her own family group.	It must have been most irksome to find herself bound by a hard wrung pledge to stand in the stead of a parent to a strange child she could not love, and to see an uncongenial alien permanently intruded on her own family group.	true	775.85	790.12	20
242_122627_000034_000000	A singular notion dawned upon me.	A singular notion dawned upon me.	false	790.79	793.62	20.663286
242_122627_000034_000001	I doubted not--never doubted--that if Mr. Reed had been alive he would have treated me kindly; and now, as I sat looking at the white bed and overshadowed walls--occasionally also turning a fascinated eye towards the dimly gleaning mirror--I began to recall what I had heard of dead men, troubled in their graves by the violation of their last wishes, revisiting the earth to punish the perjured and avenge the oppressed; and I thought Mr. Reed's spirit, harassed by the wrongs of his sister's child, might quit its abode--whether in the church vault or in the unknown world of the departed--and rise before me in this chamber.	I doubted not-never doubted-that if mr Reed had been alive he would have treated me kindly; and now, as I sat looking at the white bed and overshadowed walls-occasionally also turning a fascinated eye towards the dimly gleaning mirror-I began to recall what I had heard of dead men, troubled in their graves by the violation of their last wishes, revisiting the earth to punish the perjured and avenge the oppressed; and I thought mr Reed's spirit, harassed by the wrongs of his sister's child, might quit its abode-whether in the church vault or in the unknown world of the departed-and rise before me in this chamber.	false	793.62	833.92	21.094202
242_122627_000034_000002	I wiped my tears and hushed my sobs, fearful lest any sign of violent grief might waken a preternatural voice to comfort me, or elicit from the gloom some haloed face, bending over me with strange pity.	I wiped my tears and hushed my sobs, fearful lest any sign of violent grief might waken a preternatural voice to comfort me, or elicit from the gloom some haloed face, bending over me with strange pity.	true	834.38	848.29	20.986807
242_122627_000034_000003	This idea, consolatory in theory, I felt would be terrible if realised: with all my might I endeavoured to stifle it--I endeavoured to be firm.	This idea, consolatory in theory, I felt would be terrible if realised: with all my might I endeavoured to stifle it-I endeavoured to be firm.	true	848.9	858.82	21.641066
242_122627_000034_000004	Shaking my hair from my eyes, I lifted my head and tried to look boldly round the dark room; at this moment a light gleamed on the wall.	Shaking my hair from my eyes, I lifted my head and tried to look boldly round the dark room; at this moment a light gleamed on the wall.	true	858.98	867.1	20
242_122627_000034_000005	Was it, I asked myself, a ray from the moon penetrating some aperture in the blind?	Was it, I asked myself, a ray from the moon penetrating some aperture in the blind?	true	867.32	873.4	22.744408
242_122627_000034_000006	No; moonlight was still, and this stirred; while I gazed, it glided up to the ceiling and quivered over my head.	No; moonlight was still, and this stirred; while I gazed, it glided up to the ceiling and quivered over my head.	false	873.65	881.86	21.329988
242_122627_000034_000007	I can now conjecture readily that this streak of light was, in all likelihood, a gleam from a lantern carried by some one across the lawn: but then, prepared as my mind was for horror, shaken as my nerves were by agitation, I thought the swift darting beam was a herald of some coming vision from another world.	I can now conjecture readily that this streak of light was, in all likelihood, a gleam from a lantern carried by some one across the lawn: but then, prepared as my mind was for horror, shaken as my nerves were by agitation, I thought the swift darting beam was a herald of some coming vision from another world.	false	882.23	902.76	21.979343
242_122627_000034_000008	My heart beat thick, my head grew hot; a sound filled my ears, which I deemed the rushing of wings; something seemed near me; I was oppressed, suffocated: endurance broke down; I rushed to the door and shook the lock in desperate effort. Steps came running along the outer passage; the key turned, Bessie and Abbot entered.	My heart beat thick, my head grew hot; a sound filled my ears, which I deemed the rushing of wings; something seemed near me; I was oppressed, suffocated: endurance broke down; I rushed to the door and shook the lock in desperate effort. Steps came running along the outer passage; the key turned, Bessie and Abbot entered.	false	902.76	925.815	21.369772
242_122627_000035_000000	"Miss Eyre, are you ill?" said Bessie.	"Miss Eyre, are you ill?" said Bessie.	true	925.815	928.87	25.909277
242_122627_000036_000000	"What a dreadful noise! it went quite through me!" exclaimed Abbot.	"What a dreadful noise! it went quite through me!" exclaimed Abbot.	false	929.03	932.89	21.924093
242_122627_000037_000000	"Take me out!	"Take me out!	true	933.14	934.365	26.836817
242_122627_000037_000001	Let me go into the nursery!" was my cry.	Let me go into the nursery!" was my cry.	false	934.365	937.54	22.219145
242_122627_000038_000000	"What for?	"What for?	true	938.21	939	24.446867
242_122627_000038_000001	Are you hurt?	Are you hurt?	true	939	940.035	19.354856
242_122627_000038_000002	Have you seen something?" again demanded Bessie.	Have you seen something?" again demanded Bessie.	true	940.035	943.38	20.053932
242_122627_000039_000000	"Oh!	"Oh!	false	943.38	944.13	100
242_122627_000039_000001	I saw a light, and I thought a ghost would come." I had now got hold of Bessie's hand, and she did not snatch it from me.	I saw a light, and I thought a ghost would come." I had now got hold of Bessie's hand, and she did not snatch it from me.	false	944.13	951.49	23
242_122627_000040_000000	"She has screamed out on purpose," declared Abbot, in some disgust.	"She has screamed out on purpose," declared Abbot, in some disgust.	false	951.95	956.44	24.044685
242_122627_000040_000001	"And what a scream!	"And what a scream!	true	956.63	958.5	23.648361
242_122627_000040_000002	If she had been in great pain one would have excused it, but she only wanted to bring us all here: I know her naughty tricks."	If she had been in great pain one would have excused it, but she only wanted to bring us all here: I know her naughty tricks."	true	958.5	966.58	20.560198
242_122627_000041_000000	"What is all this?" demanded another voice peremptorily; and Mrs. Reed came along the corridor, her cap flying wide, her gown rustling stormily. "Abbot and Bessie, I believe I gave orders that Jane Eyre should be left in the red-room till I came to her myself."	"What is all this?" demanded another voice peremptorily; and mrs Reed came along the corridor, her cap flying wide, her gown rustling stormily. "Abbot and Bessie, I believe I gave orders that Jane Eyre should be left in the red room till I came to her myself."	false	967.16	988.36	21.339348
242_122627_000042_000000	"Miss Jane screamed so loud, ma'am," pleaded Bessie.	"Miss Jane screamed so loud, ma'am," pleaded Bessie.	true	989.3	993.37	17.134993
242_122627_000043_000000	"Let her go," was the only answer.	"Let her go," was the only answer.	true	993.74	996.75	23.255163
242_122627_000043_000001	"Loose Bessie's hand, child: you cannot succeed in getting out by these means, be assured.	"Loose Bessie's hand, child: you cannot succeed in getting out by these means, be assured.	true	996.75	1003.51	20.383482
242_122627_000043_000002	I abhor artifice, particularly in children; it is my duty to show you that tricks will not answer: you will now stay here an hour longer, and it is only on condition of perfect submission and stillness that I shall liberate you then."	I abhor artifice, particularly in children; it is my duty to show you that tricks will not answer: you will now stay here an hour longer, and it is only on condition of perfect submission and stillness that I shall liberate you then."	true	1003.52	1019.59	20.433603
242_122627_000044_000000	"O aunt! have pity!	"O aunt! have pity!	true	1019.96	1022.02	27.295742
242_122627_000044_000001	Forgive me!	Forgive me!	true	1022.06	1022.82	27.341557
242_122627_000044_000002	I cannot endure it--let me be punished some other way!	I cannot endure it-let me be punished some other way!	true	1022.82	1026.21	18
242_122627_000044_000003	I shall be killed if--"	I shall be killed if-"	true	1026.21	1027.58	22.917467
242_122627_000045_000000	"Silence!	"Silence!	true	1027.58	1028.8	18.20082
242_122627_000045_000001	This violence is all most repulsive:" and so, no doubt, she felt it.	This violence is all most repulsive:" and so, no doubt, she felt it.	false	1029.11	1034.25	21.728312
242_122627_000045_000002	I was a precocious actress in her eyes; she sincerely looked on me as a compound of virulent passions, mean spirit, and dangerous duplicity.	I was a precocious actress in her eyes; she sincerely looked on me as a compound of virulent passions, mean spirit, and dangerous duplicity.	true	1034.25	1043.71	20.606749
242_122627_000046_000000	Bessie and Abbot having retreated, Mrs. Reed, impatient of my now frantic anguish and wild sobs, abruptly thrust me back and locked me in, without farther parley.	Bessie and Abbot having retreated, mrs Reed, impatient of my now frantic anguish and wild sobs, abruptly thrust me back and locked me in, without farther parley.	true	1043.9	1055.41	22
242_122627_000046_000001	I heard her sweeping away; and soon after she was gone, I suppose I had a species of fit: unconsciousness closed the scene.	I heard her sweeping away; and soon after she was gone, I suppose I had a species of fit: unconsciousness closed the scene.	true	1055.72	1064.22	22.775965
242_122627_000047_000000	CHAPTER III	CHAPTER three	false	1064.22	1064.46	-20
242_122627_000048_000000	The next thing I remember is, waking up with a feeling as if I had had a frightful nightmare, and seeing before me a terrible red glare, crossed with thick black bars.	The next thing I remember is, waking up with a feeling as if I had had a frightful nightmare, and seeing before me a terrible red glare, crossed with thick black bars.	false	1064.46	1069.32	20.827377
242_122627_000048_000001	I heard voices, too, speaking with a hollow sound, and as if muffled by a rush of wind or water: agitation, uncertainty, and an all-predominating sense of terror confused my faculties.	I heard voices, too, speaking with a hollow sound, and as if muffled by a rush of wind or water: agitation, uncertainty, and an all predominating sense of terror confused my faculties.	false	1069.32	1070.37	12
