345_1129_000001_000000	Chapter 19	Chapter nineteen
345_1129_000016_000002	I wish you very happy and very rich, and by refusing your hand, do all in my power to prevent your being otherwise. In making me the offer, you must have satisfied the delicacy of your feelings with regard to my family, and may take possession of Longbourn estate whenever it falls, without any self-reproach.	I wish you very happy and very rich, and by refusing your hand, do all in my power to prevent your being otherwise. In making me the offer, you must have satisfied the delicacy of your feelings with regard to my family, and may take possession of Longbourn estate whenever it falls, without any self reproach.
345_1129_000016_000003	This matter may be considered, therefore, as finally settled." And rising as she thus spoke, she would have quitted the room, had Mr. Collins not thus addressed her:	This matter may be considered, therefore, as finally settled." And rising as she thus spoke, she would have quitted the room, had mr Collins not thus addressed her:
345_1129_000018_000000	"Really, Mr. Collins," cried Elizabeth with some warmth, "you puzzle me exceedingly.	"Really, mr Collins," cried Elizabeth with some warmth, "you puzzle me exceedingly.
345_1129_000019_000000	"You must give me leave to flatter myself, my dear cousin, that your refusal of my addresses is merely words of course.	"You must give me leave to flatter myself, my dear cousin, that your refusal of my addresses is merely words of course.
345_1129_000019_000001	My reasons for believing it are briefly these: It does not appear to me that my hand is unworthy your acceptance, or that the establishment I can offer would be any other than highly desirable.	My reasons for believing it are briefly these: It does not appear to me that my hand is unworthy your acceptance, or that the establishment I can offer would be any other than highly desirable.
345_1129_000019_000003	Your portion is unhappily so small that it will in all likelihood undo the effects of your loveliness and amiable qualifications.	Your portion is unhappily so small that it will in all likelihood undo the effects of your loveliness and amiable qualifications.
345_1129_000019_000004	As I must therefore conclude that you are not serious in your rejection of me, I shall choose to attribute it to your wish of increasing my love by suspense, according to the usual practice of elegant females."	As I must therefore conclude that you are not serious in your rejection of me, I shall choose to attribute it to your wish of increasing my love by suspense, according to the usual practice of elegant females."
345_1129_000020_000001	I would rather be paid the compliment of being believed sincere.	I would rather be paid the compliment of being believed sincere.
345_1129_000020_000002	I thank you again and again for the honour you have done me in your proposals, but to accept them is absolutely impossible.	I thank you again and again for the honour you have done me in your proposals, but to accept them is absolutely impossible.
345_1129_000020_000003	My feelings in every respect forbid it.	My feelings in every respect forbid it.
345_1129_000020_000004	Can I speak plainer?	Can I speak plainer?
345_1129_000020_000005	Do not consider me now as an elegant female, intending to plague you, but as a rational creature, speaking the truth from her heart."	Do not consider me now as an elegant female, intending to plague you, but as a rational creature, speaking the truth from her heart."
345_1129_000021_000000	"You are uniformly charming!" cried he, with an air of awkward gallantry; "and I am persuaded that when sanctioned by the express authority of both your excellent parents, my proposals will not fail of being acceptable."	"You are uniformly charming!" cried he, with an air of awkward gallantry; "and I am persuaded that when sanctioned by the express authority of both your excellent parents, my proposals will not fail of being acceptable."
