7809_108638_000000_000000	A TALE OF THE RAGGED MOUNTAINS	A TALE OF THE RAGGED MOUNTAINS
7809_108638_000002_000003	For many years past he had been attended by a physician, named Templeton--an old gentleman, perhaps seventy years of age--whom he had first encountered at Saratoga, and from whose attention, while there, he either received, or fancied that he received, great benefit.	For many years past he had been attended by a physician, named Templeton-an old gentleman, perhaps seventy years of age-whom he had first encountered at Saratoga, and from whose attention, while there, he either received, or fancied that he received, great benefit.
7809_108638_000002_000004	The result was that Bedloe, who was wealthy, had made an arrangement with Dr. Templeton, by which the latter, in consideration of a liberal annual allowance, had consented to devote his time and medical experience exclusively to the care of the invalid.	The result was that Bedloe, who was wealthy, had made an arrangement with dr Templeton, by which the latter, in consideration of a liberal annual allowance, had consented to devote his time and medical experience exclusively to the care of the invalid.
7809_108638_000003_000000	Doctor Templeton had been a traveller in his younger days, and at Paris had become a convert, in great measure, to the doctrines of Mesmer.	Doctor Templeton had been a traveller in his younger days, and at Paris had become a convert, in great measure, to the doctrines of Mesmer.
7809_108638_000003_000002	The Doctor, however, like all enthusiasts, had struggled hard to make a thorough convert of his pupil, and finally so far gained his point as to induce the sufferer to submit to numerous experiments.	The Doctor, however, like all enthusiasts, had struggled hard to make a thorough convert of his pupil, and finally so far gained his point as to induce the sufferer to submit to numerous experiments.
7809_108638_000003_000003	By a frequent repetition of these, a result had arisen, which of late days has become so common as to attract little or no attention, but which, at the period of which I write, had very rarely been known in America.	By a frequent repetition of these, a result had arisen, which of late days has become so common as to attract little or no attention, but which, at the period of which I write, had very rarely been known in America.
7809_108638_000003_000004	I mean to say, that between Doctor Templeton and Bedloe there had grown up, little by little, a very distinct and strongly marked rapport, or magnetic relation.	I mean to say, that between Doctor Templeton and Bedloe there had grown up, little by little, a very distinct and strongly marked rapport, or magnetic relation.
7809_108638_000003_000005	I am not prepared to assert, however, that this rapport extended beyond the limits of the simple sleep-producing power, but this power itself had attained great intensity.	I am not prepared to assert, however, that this rapport extended beyond the limits of the simple sleep producing power, but this power itself had attained great intensity.
7809_108638_000003_000006	At the first attempt to induce the magnetic somnolency, the mesmerist entirely failed.	At the first attempt to induce the magnetic somnolency, the mesmerist entirely failed.
7809_108638_000003_000007	In the fifth or sixth he succeeded very partially, and after long continued effort.	In the fifth or sixth he succeeded very partially, and after long continued effort.
7809_108638_000003_000008	Only at the twelfth was the triumph complete.	Only at the twelfth was the triumph complete.
7809_108638_000003_000009	After this the will of the patient succumbed rapidly to that of the physician, so that, when I first became acquainted with the two, sleep was brought about almost instantaneously by the mere volition of the operator, even when the invalid was unaware of his presence.	After this the will of the patient succumbed rapidly to that of the physician, so that, when I first became acquainted with the two, sleep was brought about almost instantaneously by the mere volition of the operator, even when the invalid was unaware of his presence.
7809_108638_000003_000010	It is only now, in the year 1845, when similar miracles are witnessed daily by thousands, that I dare venture to record this apparent impossibility as a matter of serious fact.	It is only now, in the year eighteen forty five, when similar miracles are witnessed daily by thousands, that I dare venture to record this apparent impossibility as a matter of serious fact.
7809_108638_000004_000000	The temperature of Bedloe was, in the highest degree sensitive, excitable, enthusiastic.	The temperature of Bedloe was, in the highest degree sensitive, excitable, enthusiastic.
7809_108638_000005_000000	Upon a dim, warm, misty day, toward the close of November, and during the strange interregnum of the seasons which in America is termed the Indian Summer, Mr. Bedloe departed as usual for the hills.	Upon a dim, warm, misty day, toward the close of November, and during the strange interregnum of the seasons which in America is termed the Indian Summer, mr Bedloe departed as usual for the hills.
7809_108638_000005_000001	The day passed, and still he did not return.	The day passed, and still he did not return.
7809_108638_000006_000000	About eight o'clock at night, having become seriously alarmed at his protracted absence, we were about setting out in search of him, when he unexpectedly made his appearance, in health no worse than usual, and in rather more than ordinary spirits.	About eight o'clock at night, having become seriously alarmed at his protracted absence, we were about setting out in search of him, when he unexpectedly made his appearance, in health no worse than usual, and in rather more than ordinary spirits.
7809_108638_000006_000001	The account which he gave of his expedition, and of the events which had detained him, was a singular one indeed.	The account which he gave of his expedition, and of the events which had detained him, was a singular one indeed.
7809_108638_000007_000001	I bent my steps immediately to the mountains, and, about ten, entered a gorge which was entirely new to me.	I bent my steps immediately to the mountains, and, about ten, entered a gorge which was entirely new to me.
7809_108638_000007_000003	The scenery which presented itself on all sides, although scarcely entitled to be called grand, had about it an indescribable and to me a delicious aspect of dreary desolation.	The scenery which presented itself on all sides, although scarcely entitled to be called grand, had about it an indescribable and to me a delicious aspect of dreary desolation.
7809_108638_000007_000004	The solitude seemed absolutely virgin.	The solitude seemed absolutely virgin.
7809_108638_000008_000000	"The thick and peculiar mist, or smoke, which distinguishes the Indian Summer, and which now hung heavily over all objects, served, no doubt, to deepen the vague impressions which these objects created.	"The thick and peculiar mist, or smoke, which distinguishes the Indian Summer, and which now hung heavily over all objects, served, no doubt, to deepen the vague impressions which these objects created.
7809_108638_000008_000001	So dense was this pleasant fog that I could at no time see more than a dozen yards of the path before me.	So dense was this pleasant fog that I could at no time see more than a dozen yards of the path before me.
7809_108638_000008_000002	This path was excessively sinuous, and as the sun could not be seen, I soon lost all idea of the direction in which I journeyed.	This path was excessively sinuous, and as the sun could not be seen, I soon lost all idea of the direction in which I journeyed.
7809_108638_000009_000001	And now an indescribable uneasiness possessed me--a species of nervous hesitation and tremor.	And now an indescribable uneasiness possessed me-a species of nervous hesitation and tremor.
7809_108638_000009_000003	I remembered, too, strange stories told about these Ragged Hills, and of the uncouth and fierce races of men who tenanted their groves and caverns.	I remembered, too, strange stories told about these Ragged Hills, and of the uncouth and fierce races of men who tenanted their groves and caverns.
7809_108638_000010_000000	"My amazement was, of course, extreme.	"My amazement was, of course, extreme.
7809_108638_000010_000001	A drum in these hills was a thing unknown.	A drum in these hills was a thing unknown.
7809_108638_000010_000002	I could not have been more surprised at the sound of the trump of the Archangel.	I could not have been more surprised at the sound of the trump of the Archangel.
7809_108638_000010_000005	He came so close to my person that I felt his hot breath upon my face.	He came so close to my person that I felt his hot breath upon my face.
7809_108638_000010_000007	Scarcely had he disappeared in the mist before, panting after him, with open mouth and glaring eyes, there darted a huge beast.	Scarcely had he disappeared in the mist before, panting after him, with open mouth and glaring eyes, there darted a huge beast.
7809_108638_000010_000008	I could not be mistaken in its character.	I could not be mistaken in its character.
7809_108638_000010_000009	It was a hyena.	It was a hyena.
7809_108638_000011_000000	"The sight of this monster rather relieved than heightened my terrors--for I now made sure that I dreamed, and endeavored to arouse myself to waking consciousness.	"The sight of this monster rather relieved than heightened my terrors-for I now made sure that I dreamed, and endeavored to arouse myself to waking consciousness.
7809_108638_000011_000001	I stepped boldly and briskly forward. I rubbed my eyes.	I stepped boldly and briskly forward. I rubbed my eyes.
7809_108638_000011_000002	I called aloud.	I called aloud.
7809_108638_000011_000005	This seemed to dissipate the equivocal sensations which had hitherto annoyed me.	This seemed to dissipate the equivocal sensations which had hitherto annoyed me.
7809_108638_000012_000002	At this shadow I gazed wonderingly for many minutes.	At this shadow I gazed wonderingly for many minutes.
7809_108638_000012_000003	Its character stupefied me with astonishment.	Its character stupefied me with astonishment.
7809_108638_000012_000004	I looked upward.	I looked upward.
7809_108638_000012_000005	The tree was a palm.	The tree was a palm.
7809_108638_000013_000002	The heat became all at once intolerable.	The heat became all at once intolerable.
7809_108638_000013_000003	A strange odor loaded the breeze.	A strange odor loaded the breeze.
7809_108638_000013_000004	A low, continuous murmur, like that arising from a full, but gently flowing river, came to my ears, intermingled with the peculiar hum of multitudinous human voices.	A low, continuous murmur, like that arising from a full, but gently flowing river, came to my ears, intermingled with the peculiar hum of multitudinous human voices.
7809_108638_000015_000002	The streets seemed innumerable, and crossed each other irregularly in all directions, but were rather long winding alleys than streets, and absolutely swarmed with inhabitants.	The streets seemed innumerable, and crossed each other irregularly in all directions, but were rather long winding alleys than streets, and absolutely swarmed with inhabitants.
7809_108638_000015_000007	From the swarming streets to the banks of the river, there descended innumerable flights of steps leading to bathing places, while the river itself seemed to force a passage with difficulty through the vast fleets of deeply--burthened ships that far and wide encountered its surface.	From the swarming streets to the banks of the river, there descended innumerable flights of steps leading to bathing places, while the river itself seemed to force a passage with difficulty through the vast fleets of deeply-burthened ships that far and wide encountered its surface.
7809_108638_000016_000000	"You will say now, of course, that I dreamed; but not so.	"You will say now, of course, that I dreamed; but not so.
7809_108638_000016_000002	All was rigorously self-consistent.	All was rigorously self consistent.
7809_108638_000016_000003	At first, doubting that I was really awake, I entered into a series of tests, which soon convinced me that I really was. Now, when one dreams, and, in the dream, suspects that he dreams, the suspicion never fails to confirm itself, and the sleeper is almost immediately aroused.	At first, doubting that I was really awake, I entered into a series of tests, which soon convinced me that I really was. Now, when one dreams, and, in the dream, suspects that he dreams, the suspicion never fails to confirm itself, and the sleeper is almost immediately aroused.
7809_108638_000018_000002	Against the crowd which environed me, however, I experienced a deep sentiment of animosity.	Against the crowd which environed me, however, I experienced a deep sentiment of animosity.
7809_108638_000018_000003	I shrank from amid them, and, swiftly, by a circuitous path, reached and entered the city. Here all was the wildest tumult and contention.	I shrank from amid them, and, swiftly, by a circuitous path, reached and entered the city. Here all was the wildest tumult and contention.
7809_108638_000018_000005	I joined the weaker party, arming myself with the weapons of a fallen officer, and fighting I knew not whom with the nervous ferocity of despair.	I joined the weaker party, arming myself with the weapons of a fallen officer, and fighting I knew not whom with the nervous ferocity of despair.
7809_108638_000018_000007	Here we barricaded ourselves, and, for the present were secure.	Here we barricaded ourselves, and, for the present were secure.
7809_108638_000019_000000	"And now a new object took possession of my soul.	"And now a new object took possession of my soul.
7809_108638_000019_000002	They retreated, at first, before us.	They retreated, at first, before us.
7809_108638_000019_000003	They rallied, fought madly, and retreated again.	They rallied, fought madly, and retreated again.
7809_108638_000019_000005	The rabble pressed impetuously upon us, harrassing us with their spears, and overwhelming us with flights of arrows.	The rabble pressed impetuously upon us, harrassing us with their spears, and overwhelming us with flights of arrows.
7809_108638_000019_000008	One of them struck me upon the right temple.	One of them struck me upon the right temple.
7809_108638_000019_000009	I reeled and fell.	I reeled and fell.
7809_108638_000019_000010	An instantaneous and dreadful sickness seized me.	An instantaneous and dreadful sickness seized me.
7809_108638_000019_000011	I struggled--I gasped--I died." "You will hardly persist now," said I smiling, "that the whole of your adventure was not a dream.	I struggled-I gasped-I died." "You will hardly persist now," said I smiling, "that the whole of your adventure was not a dream.
7809_108638_000020_000001	I looked toward Templeton.	I looked toward Templeton.
7809_108638_000020_000002	He sat erect and rigid in his chair--his teeth chattered, and his eyes were starting from their sockets.	He sat erect and rigid in his chair-his teeth chattered, and his eyes were starting from their sockets.
7809_108638_000021_000000	"For many minutes," continued the latter, "my sole sentiment--my sole feeling--was that of darkness and nonentity, with the consciousness of death.	"For many minutes," continued the latter, "my sole sentiment-my sole feeling-was that of darkness and nonentity, with the consciousness of death.
7809_108638_000021_000001	At length there seemed to pass a violent and sudden shock through my soul, as if of electricity.	At length there seemed to pass a violent and sudden shock through my soul, as if of electricity.
7809_108638_000021_000003	This latter I felt--not saw.	This latter I felt-not saw.
7809_108638_000021_000004	In an instant I seemed to rise from the ground.	In an instant I seemed to rise from the ground.
7809_108638_000021_000007	The tumult had ceased.	The tumult had ceased.
7809_108638_000021_000008	The city was in comparative repose.	The city was in comparative repose.
7809_108638_000021_000009	Beneath me lay my corpse, with the arrow in my temple, the whole head greatly swollen and disfigured.	Beneath me lay my corpse, with the arrow in my temple, the whole head greatly swollen and disfigured.
7809_108638_000021_000010	But all these things I felt--not saw.	But all these things I felt-not saw.
7809_108638_000021_000011	I took interest in nothing.	I took interest in nothing.
7809_108638_000021_000012	Even the corpse seemed a matter in which I had no concern.	Even the corpse seemed a matter in which I had no concern.
7809_108638_000021_000013	Volition I had none, but appeared to be impelled into motion, and flitted buoyantly out of the city, retracing the circuitous path by which I had entered it.	Volition I had none, but appeared to be impelled into motion, and flitted buoyantly out of the city, retracing the circuitous path by which I had entered it.
7809_108638_000021_000015	I became my original self, and bent my steps eagerly homeward--but the past had not lost the vividness of the real--and not now, even for an instant, can I compel my understanding to regard it as a dream."	I became my original self, and bent my steps eagerly homeward-but the past had not lost the vividness of the real-and not now, even for an instant, can I compel my understanding to regard it as a dream."
7809_108638_000022_000002	Let us content ourselves with this supposition.	Let us content ourselves with this supposition.
7809_108638_000022_000003	For the rest I have some explanation to make.	For the rest I have some explanation to make.
7809_108638_000023_000000	We looked at the picture which he presented.	We looked at the picture which he presented.
7809_108638_000023_000001	I saw nothing in it of an extraordinary character, but its effect upon Bedloe was prodigious.	I saw nothing in it of an extraordinary character, but its effect upon Bedloe was prodigious.
7809_108638_000023_000002	He nearly fainted as he gazed.	He nearly fainted as he gazed.
7809_108638_000023_000003	And yet it was but a miniature portrait--a miraculously accurate one, to be sure--of his own very remarkable features.	And yet it was but a miniature portrait-a miraculously accurate one, to be sure-of his own very remarkable features.
7809_108638_000023_000004	At least this was my thought as I regarded it.	At least this was my thought as I regarded it.
7809_108638_000024_000003	I was then only twenty years old.	I was then only twenty years old.
7809_108638_000025_000000	"In your detail of the vision which presented itself to you amid the hills, you have described, with the minutest accuracy, the Indian city of Benares, upon the Holy River.	"In your detail of the vision which presented itself to you amid the hills, you have described, with the minutest accuracy, the Indian city of Benares, upon the Holy River.
7809_108638_000025_000003	The party in the kiosk were sepoys and British officers, headed by Hastings.	The party in the kiosk were sepoys and British officers, headed by Hastings.
7809_108638_000025_000005	That officer was my dearest friend.	That officer was my dearest friend.
7809_108638_000027_000000	"We have the painful duty of announcing the death of Mr. Augustus Bedlo, a gentleman whose amiable manners and many virtues have long endeared him to the citizens of Charlottesville.	"We have the painful duty of announcing the death of mr Augustus Bedlo, a gentleman whose amiable manners and many virtues have long endeared him to the citizens of Charlottesville.
7809_108638_000028_000001	The proximate cause was one of especial singularity.	The proximate cause was one of especial singularity.
7809_108638_000028_000003	To relieve this, Dr. Templeton resorted to topical bleeding.	To relieve this, dr Templeton resorted to topical bleeding.
7809_108638_000028_000004	Leeches were applied to the temples.	Leeches were applied to the temples.
7809_108638_000028_000006	This creature fastened itself upon a small artery in the right temple.	This creature fastened itself upon a small artery in the right temple.
7809_108638_000028_000007	Its close resemblance to the medicinal leech caused the mistake to be overlooked until too late.	Its close resemblance to the medicinal leech caused the mistake to be overlooked until too late.
7809_108638_000029_000002	The poisonous sangsue of Charlottesville may always be distinguished from the medicinal leech by its blackness, and especially by its writhing or vermicular motions, which very nearly resemble those of a snake."	The poisonous sangsue of Charlottesville may always be distinguished from the medicinal leech by its blackness, and especially by its writhing or vermicular motions, which very nearly resemble those of a snake."
7809_108638_000030_000000	I was speaking with the editor of the paper in question, upon the topic of this remarkable accident, when it occurred to me to ask how it happened that the name of the deceased had been given as Bedlo.	I was speaking with the editor of the paper in question, upon the topic of this remarkable accident, when it occurred to me to ask how it happened that the name of the deceased had been given as Bedlo.
7809_108638_000031_000000	"I presume," I said, "you have authority for this spelling, but I have always supposed the name to be written with an e at the end."	"I presume," I said, "you have authority for this spelling, but I have always supposed the name to be written with an e at the end."
7809_108638_000032_000000	"Authority?--no," he replied.	"Authority?--no," he replied.
7809_108638_000032_000002	The name is Bedlo with an e, all the world over, and I never knew it to be spelt otherwise in my life."	The name is Bedlo with an e, all the world over, and I never knew it to be spelt otherwise in my life."
7809_108638_000033_000000	"Then," said I mutteringly, as I turned upon my heel, "then indeed has it come to pass that one truth is stranger than any fiction--for Bedloe, without the e, what is it but Oldeb conversed!	"Then," said I mutteringly, as I turned upon my heel, "then indeed has it come to pass that one truth is stranger than any fiction-for Bedloe, without the e, what is it but Oldeb conversed!
7809_108638_000033_000001	And this man tells me that it is a typographical error."	And this man tells me that it is a typographical error."
