2056_143893_000001_000000	CHAPTER XLV	CHAPTER forty five
2056_143893_000002_000015	Ralph never said a word against him, but Osmond's sore, mute protest was none the less founded.	Ralph never said a word against him, but Osmond's sore, mute protest was none the less founded.
2056_143893_000002_000016	If he should positively interpose, if he should put forth his authority, she would have to decide, and that wouldn't be easy.	If he should positively interpose, if he should put forth his authority, she would have to decide, and that wouldn't be easy.
2056_143893_000002_000017	The prospect made her heart beat and her cheeks burn, as I say, in advance; there were moments when, in her wish to avoid an open rupture, she found herself wishing Ralph would start even at a risk.	The prospect made her heart beat and her cheeks burn, as I say, in advance; there were moments when, in her wish to avoid an open rupture, she found herself wishing Ralph would start even at a risk.
2056_143893_000002_000018	And it was of no use that, when catching herself in this state of mind, she called herself a feeble spirit, a coward. It was not that she loved Ralph less, but that almost anything seemed preferable to repudiating the most serious act--the single sacred act--of her life.	And it was of no use that, when catching herself in this state of mind, she called herself a feeble spirit, a coward. It was not that she loved Ralph less, but that almost anything seemed preferable to repudiating the most serious act-the single sacred act-of her life.
2056_143893_000002_000019	That appeared to make the whole future hideous. To break with Osmond once would be to break for ever; any open acknowledgement of irreconcilable needs would be an admission that their whole attempt had proved a failure.	That appeared to make the whole future hideous. To break with Osmond once would be to break for ever; any open acknowledgement of irreconcilable needs would be an admission that their whole attempt had proved a failure.
2056_143893_000002_000020	For them there could be no condonement, no compromise, no easy forgetfulness, no formal readjustment.	For them there could be no condonement, no compromise, no easy forgetfulness, no formal readjustment.
2056_143893_000002_000021	They had attempted only one thing, but that one thing was to have been exquisite.	They had attempted only one thing, but that one thing was to have been exquisite.
2056_143893_000002_000022	Once they missed it nothing else would do; there was no conceivable substitute for that success.	Once they missed it nothing else would do; there was no conceivable substitute for that success.
2056_143893_000002_000023	For the moment, Isabel went to the Hotel de Paris as often as she thought well; the measure of propriety was in the canon of taste, and there couldn't have been a better proof that morality was, so to speak, a matter of earnest appreciation.	For the moment, Isabel went to the Hotel de Paris as often as she thought well; the measure of propriety was in the canon of taste, and there couldn't have been a better proof that morality was, so to speak, a matter of earnest appreciation.
2056_143893_000002_000024	Isabel's application of that measure had been particularly free to-day, for in addition to the general truth that she couldn't leave Ralph to die alone she had something important to ask of him.	Isabel's application of that measure had been particularly free to day, for in addition to the general truth that she couldn't leave Ralph to die alone she had something important to ask of him.
2056_143893_000002_000025	This indeed was Gilbert's business as well as her own.	This indeed was Gilbert's business as well as her own.
2056_143893_000003_000000	She came very soon to what she wished to speak of.	She came very soon to what she wished to speak of.
2056_143893_000003_000001	"I want you to answer me a question.	"I want you to answer me a question.
2056_143893_000003_000002	It's about Lord Warburton."	It's about Lord Warburton."
2056_143893_000005_000000	"Very possibly you guess it.	"Very possibly you guess it.
2056_143893_000005_000001	Please then answer it."	Please then answer it."
2056_143893_000006_000000	"Oh, I don't say I can do that."	"Oh, I don't say I can do that."
2056_143893_000007_000000	"You're intimate with him," she said; "you've a great deal of observation of him."	"You're intimate with him," she said; "you've a great deal of observation of him."
2056_143893_000008_000000	"Very true.	"Very true.
2056_143893_000008_000001	But think how he must dissimulate!"	But think how he must dissimulate!"
2056_143893_000009_000000	"Why should he dissimulate?	"Why should he dissimulate?
2056_143893_000009_000001	That's not his nature."	That's not his nature."
2056_143893_000011_000000	"To a certain extent--yes.	"To a certain extent-yes.
2056_143893_000012_000000	"Very much, I think.	"Very much, I think.
2056_143893_000012_000001	I can make that out."	I can make that out."
2056_143893_000013_000000	"Ah!" said Isabel with a certain dryness.	"Ah!" said Isabel with a certain dryness.
2056_143893_000014_000000	Ralph looked at her as if his mild hilarity had been touched with mystification.	Ralph looked at her as if his mild hilarity had been touched with mystification.
2056_143893_000015_000000	Isabel got up, slowly smoothing her gloves and eyeing them thoughtfully. "It's after all no business of mine."	Isabel got up, slowly smoothing her gloves and eyeing them thoughtfully. "It's after all no business of mine."
2056_143893_000016_000000	"You're very philosophic," said her cousin.	"You're very philosophic," said her cousin.
2056_143893_000017_000001	"I thought you knew.	"I thought you knew.
2056_143893_000017_000002	Lord Warburton tells me he wants, of all things in the world, to marry Pansy.	Lord Warburton tells me he wants, of all things in the world, to marry Pansy.
2056_143893_000017_000003	I've told you that before, without eliciting a comment from you.	I've told you that before, without eliciting a comment from you.
2056_143893_000017_000004	You might risk one this morning, I think.	You might risk one this morning, I think.
2056_143893_000017_000005	Is it your belief that he really cares for her?"	Is it your belief that he really cares for her?"
2056_143893_000018_000000	"Ah, for Pansy, no!" cried Ralph very positively.	"Ah, for Pansy, no!" cried Ralph very positively.
2056_143893_000019_000000	"But you said just now he did."	"But you said just now he did."
2056_143893_000020_000000	Ralph waited a moment.	Ralph waited a moment.
2056_143893_000020_000001	"That he cared for you, Mrs. Osmond."	"That he cared for you, mrs Osmond."
2056_143893_000021_000000	Isabel shook her head gravely.	Isabel shook her head gravely.
2056_143893_000021_000001	"That's nonsense, you know."	"That's nonsense, you know."
2056_143893_000022_000000	"Of course it is.	"Of course it is.
2056_143893_000022_000001	But the nonsense is Warburton's, not mine."	But the nonsense is Warburton's, not mine."
2056_143893_000023_000000	"That would be very tiresome." She spoke, as she flattered herself, with much subtlety.	"That would be very tiresome." She spoke, as she flattered herself, with much subtlety.
2056_143893_000024_000000	"I ought to tell you indeed," Ralph went on, "that to me he has denied it."	"I ought to tell you indeed," Ralph went on, "that to me he has denied it."
2056_143893_000026_000000	"He has spoken very well of her--very properly.	"He has spoken very well of her-very properly.
2056_143893_000026_000001	He has let me know, of course, that he thinks she would do very well at Lockleigh."	He has let me know, of course, that he thinks she would do very well at Lockleigh."
2056_143893_000028_000000	"Ah, what Warburton really thinks--!" said Ralph.	"Ah, what Warburton really thinks-!" said Ralph.
2056_143893_000029_000000	Isabel fell to smoothing her gloves again; they were long, loose gloves on which she could freely expend herself.	Isabel fell to smoothing her gloves again; they were long, loose gloves on which she could freely expend herself.
2056_143893_000030_000000	It was the first time she had alluded to the need for help, and the words shook her cousin with their violence.	It was the first time she had alluded to the need for help, and the words shook her cousin with their violence.
2056_143893_000030_000001	He gave a long murmur of relief, of pity, of tenderness; it seemed to him that at last the gulf between them had been bridged.	He gave a long murmur of relief, of pity, of tenderness; it seemed to him that at last the gulf between them had been bridged.
2056_143893_000030_000002	It was this that made him exclaim in a moment: "How unhappy you must be!"	It was this that made him exclaim in a moment: "How unhappy you must be!"
2056_143893_000031_000000	He had no sooner spoken than she recovered her self-possession, and the first use she made of it was to pretend she had not heard him.	He had no sooner spoken than she recovered her self possession, and the first use she made of it was to pretend she had not heard him.
2056_143893_000031_000001	"When I talk of your helping me I talk great nonsense," she said with a quick smile.	"When I talk of your helping me I talk great nonsense," she said with a quick smile.
2056_143893_000031_000002	"The idea of my troubling you with my domestic embarrassments! The matter's very simple; Lord Warburton must get on by himself.	"The idea of my troubling you with my domestic embarrassments! The matter's very simple; Lord Warburton must get on by himself.
2056_143893_000031_000003	I can't undertake to see him through."	I can't undertake to see him through."
2056_143893_000032_000000	"He ought to succeed easily," said Ralph.	"He ought to succeed easily," said Ralph.
2056_143893_000033_000000	Isabel debated.	Isabel debated.
2056_143893_000033_000001	"Yes--but he has not always succeeded."	"Yes-but he has not always succeeded."
2056_143893_000034_000000	"Very true.	"Very true.
2056_143893_000034_000001	You know, however, how that always surprised me.	You know, however, how that always surprised me.
2056_143893_000034_000002	Is Miss Osmond capable of giving us a surprise?"	Is Miss Osmond capable of giving us a surprise?"
2056_143893_000035_000000	"It will come from him, rather.	"It will come from him, rather.
2056_143893_000035_000001	I seem to see that after all he'll let the matter drop."	I seem to see that after all he'll let the matter drop."
2056_143893_000036_000000	"He'll do nothing dishonourable," said Ralph.	"He'll do nothing dishonourable," said Ralph.
2056_143893_000037_000002	She cares for another person, and it's cruel to attempt to bribe her by magnificent offers to give him up."	She cares for another person, and it's cruel to attempt to bribe her by magnificent offers to give him up."
2056_143893_000038_000000	"Cruel to the other person perhaps--the one she cares for.	"Cruel to the other person perhaps-the one she cares for.
2056_143893_000038_000001	But Warburton isn't obliged to mind that."	But Warburton isn't obliged to mind that."
2056_143893_000039_000000	"No, cruel to her," said Isabel.	"No, cruel to her," said Isabel.
2056_143893_000039_000003	He has the merit--for Pansy--of being in love with Pansy.	He has the merit-for Pansy-of being in love with Pansy.
2056_143893_000039_000004	She can see at a glance that Lord Warburton isn't."	She can see at a glance that Lord Warburton isn't."
2056_143893_000041_000000	"He has been good to her already.	"He has been good to her already.
2056_143893_000041_000001	Fortunately, however, he has not said a word to disturb her.	Fortunately, however, he has not said a word to disturb her.
2056_143893_000042_000000	"How would your husband like that?"	"How would your husband like that?"
2056_143893_000043_000000	"Not at all; and he may be right in not liking it.	"Not at all; and he may be right in not liking it.
2056_143893_000043_000001	Only he must obtain satisfaction himself."	Only he must obtain satisfaction himself."
2056_143893_000044_000000	"Has he commissioned you to obtain it?" Ralph ventured to ask.	"Has he commissioned you to obtain it?" Ralph ventured to ask.
2056_143893_000045_000000	"It was natural that as an old friend of Lord Warburton's--an older friend, that is, than Gilbert--I should take an interest in his intentions."	"It was natural that as an old friend of Lord Warburton's-an older friend, that is, than Gilbert-I should take an interest in his intentions."
2056_143893_000046_000000	"Take an interest in his renouncing them, you mean?"	"Take an interest in his renouncing them, you mean?"
2056_143893_000047_000000	Isabel hesitated, frowning a little.	Isabel hesitated, frowning a little.
2056_143893_000047_000001	"Let me understand.	"Let me understand.
2056_143893_000047_000002	Are you pleading his cause?"	Are you pleading his cause?"
2056_143893_000048_000000	"Not in the least.	"Not in the least.
2056_143893_000048_000001	I'm very glad he shouldn't become your stepdaughter's husband.	I'm very glad he shouldn't become your stepdaughter's husband.
2056_143893_000048_000002	It makes such a very queer relation to you!" said Ralph, smiling.	It makes such a very queer relation to you!" said Ralph, smiling.
2056_143893_000048_000003	"But I'm rather nervous lest your husband should think you haven't pushed him enough."	"But I'm rather nervous lest your husband should think you haven't pushed him enough."
2056_143893_000049_000000	Isabel found herself able to smile as well as he.	Isabel found herself able to smile as well as he.
2056_143893_000049_000001	"He knows me well enough not to have expected me to push.	"He knows me well enough not to have expected me to push.
2056_143893_000049_000003	I'm not afraid I shall not be able to justify myself!" she said lightly.	I'm not afraid I shall not be able to justify myself!" she said lightly.
2056_143893_000050_000000	Her mask had dropped for an instant, but she had put it on again, to Ralph's infinite disappointment.	Her mask had dropped for an instant, but she had put it on again, to Ralph's infinite disappointment.
2056_143893_000050_000003	Ralph was certain that this was her situation; he knew by instinct, in advance, the form that in such an event Osmond's displeasure would take.	Ralph was certain that this was her situation; he knew by instinct, in advance, the form that in such an event Osmond's displeasure would take.
2056_143893_000050_000004	It could only take the meanest and cruellest.	It could only take the meanest and cruellest.
2056_143893_000050_000005	He would have liked to warn Isabel of it--to let her see at least how he judged for her and how he knew.	He would have liked to warn Isabel of it-to let her see at least how he judged for her and how he knew.
2056_143893_000050_000006	It little mattered that Isabel would know much better; it was for his own satisfaction more than for hers that he longed to show her he was not deceived.	It little mattered that Isabel would know much better; it was for his own satisfaction more than for hers that he longed to show her he was not deceived.
2056_143893_000050_000007	He tried and tried again to make her betray Osmond; he felt cold-blooded, cruel, dishonourable almost, in doing so.	He tried and tried again to make her betray Osmond; he felt cold blooded, cruel, dishonourable almost, in doing so.
2056_143893_000050_000008	But it scarcely mattered, for he only failed.	But it scarcely mattered, for he only failed.
2056_143893_000050_000009	What had she come for then, and why did she seem almost to offer him a chance to violate their tacit convention? Why did she ask him his advice if she gave him no liberty to answer her? How could they talk of her domestic embarrassments, as it pleased her humorously to designate them, if the principal factor was not to be mentioned?	What had she come for then, and why did she seem almost to offer him a chance to violate their tacit convention? Why did she ask him his advice if she gave him no liberty to answer her? How could they talk of her domestic embarrassments, as it pleased her humorously to designate them, if the principal factor was not to be mentioned?
2056_143893_000050_000010	These contradictions were themselves but an indication of her trouble, and her cry for help, just before, was the only thing he was bound to consider.	These contradictions were themselves but an indication of her trouble, and her cry for help, just before, was the only thing he was bound to consider.
2056_143893_000050_000011	"You'll be decidedly at variance, all the same," he said in a moment.	"You'll be decidedly at variance, all the same," he said in a moment.
2056_143893_000050_000012	And as she answered nothing, looking as if she scarce understood, "You'll find yourselves thinking very differently," he continued.	And as she answered nothing, looking as if she scarce understood, "You'll find yourselves thinking very differently," he continued.
2056_143893_000051_000000	"That may easily happen, among the most united couples!" She took up her parasol; he saw she was nervous, afraid of what he might say.	"That may easily happen, among the most united couples!" She took up her parasol; he saw she was nervous, afraid of what he might say.
2056_143893_000051_000001	"It's a matter we can hardly quarrel about, however," she added; "for almost all the interest is on his side.	"It's a matter we can hardly quarrel about, however," she added; "for almost all the interest is on his side.
2056_143893_000051_000002	That's very natural.	That's very natural.
2056_143893_000051_000003	Pansy's after all his daughter--not mine." And she put out her hand to wish him goodbye.	Pansy's after all his daughter-not mine." And she put out her hand to wish him goodbye.
2056_143893_000052_000000	Ralph took an inward resolution that she shouldn't leave him without his letting her know that he knew everything: it seemed too great an opportunity to lose.	Ralph took an inward resolution that she shouldn't leave him without his letting her know that he knew everything: it seemed too great an opportunity to lose.
2056_143893_000052_000001	"Do you know what his interest will make him say?" he asked as he took her hand.	"Do you know what his interest will make him say?" he asked as he took her hand.
2056_143893_000052_000002	She shook her head, rather dryly--not discouragingly--and he went on.	She shook her head, rather dryly-not discouragingly-and he went on.
2056_143893_000052_000003	"It will make him say that your want of zeal is owing to jealousy." He stopped a moment; her face made him afraid.	"It will make him say that your want of zeal is owing to jealousy." He stopped a moment; her face made him afraid.
2056_143893_000053_000000	"To jealousy?"	"To jealousy?"
2056_143893_000054_000000	"To jealousy of his daughter."	"To jealousy of his daughter."
2056_143893_000055_000000	She blushed red and threw back her head.	She blushed red and threw back her head.
2056_143893_000055_000001	"You're not kind," she said in a voice that he had never heard on her lips.	"You're not kind," she said in a voice that he had never heard on her lips.
2056_143893_000056_000000	"Be frank with me and you'll see," he answered.	"Be frank with me and you'll see," he answered.
2056_143893_000057_000000	But she made no reply; she only pulled her hand out of his own, which he tried still to hold, and rapidly withdrew from the room.	But she made no reply; she only pulled her hand out of his own, which he tried still to hold, and rapidly withdrew from the room.
2056_143893_000057_000001	She made up her mind to speak to Pansy, and she took an occasion on the same day, going to the girl's room before dinner.	She made up her mind to speak to Pansy, and she took an occasion on the same day, going to the girl's room before dinner.
2056_143893_000057_000004	Isabel had a difficult task--the only thing was to perform it as simply as possible.	Isabel had a difficult task-the only thing was to perform it as simply as possible.
2056_143893_000057_000005	She felt bitter and angry, but she warned herself against betraying this heat.	She felt bitter and angry, but she warned herself against betraying this heat.
2056_143893_000057_000006	She was afraid even of looking too grave, or at least too stern; she was afraid of causing alarm.	She was afraid even of looking too grave, or at least too stern; she was afraid of causing alarm.
2056_143893_000057_000008	What Isabel wished to do was to hear from her own lips that her mind was not occupied with Lord Warburton; but if she desired the assurance she felt herself by no means at liberty to provoke it.	What Isabel wished to do was to hear from her own lips that her mind was not occupied with Lord Warburton; but if she desired the assurance she felt herself by no means at liberty to provoke it.
2056_143893_000057_000009	The girl's father would have qualified this as rank treachery; and indeed Isabel knew that if Pansy should display the smallest germ of a disposition to encourage Lord Warburton her own duty was to hold her tongue.	The girl's father would have qualified this as rank treachery; and indeed Isabel knew that if Pansy should display the smallest germ of a disposition to encourage Lord Warburton her own duty was to hold her tongue.
2056_143893_000057_000010	It was difficult to interrogate without appearing to suggest; Pansy's supreme simplicity, an innocence even more complete than Isabel had yet judged it, gave to the most tentative enquiry something of the effect of an admonition.	It was difficult to interrogate without appearing to suggest; Pansy's supreme simplicity, an innocence even more complete than Isabel had yet judged it, gave to the most tentative enquiry something of the effect of an admonition.
2056_143893_000057_000011	As she knelt there in the vague firelight, with her pretty dress dimly shining, her hands folded half in appeal and half in submission, her soft eyes, raised and fixed, full of the seriousness of the situation, she looked to Isabel like a childish martyr decked out for sacrifice and scarcely presuming even to hope to avert it.	As she knelt there in the vague firelight, with her pretty dress dimly shining, her hands folded half in appeal and half in submission, her soft eyes, raised and fixed, full of the seriousness of the situation, she looked to Isabel like a childish martyr decked out for sacrifice and scarcely presuming even to hope to avert it.
2056_143893_000058_000000	"It's difficult for me to advise you," Isabel returned.	"It's difficult for me to advise you," Isabel returned.
2056_143893_000058_000001	"I don't know how I can undertake that.	"I don't know how I can undertake that.
2056_143893_000058_000002	That's for your father; you must get his advice and, above all, you must act on it."	That's for your father; you must get his advice and, above all, you must act on it."
2056_143893_000059_000000	At this Pansy dropped her eyes; for a moment she said nothing.	At this Pansy dropped her eyes; for a moment she said nothing.
2056_143893_000060_000001	"I love you very much, but your father loves you better."	"I love you very much, but your father loves you better."
2056_143893_000061_000001	"A lady can advise a young girl better than a man."	"A lady can advise a young girl better than a man."
2056_143893_000062_000000	"I advise you then to pay the greatest respect to your father's wishes."	"I advise you then to pay the greatest respect to your father's wishes."
2056_143893_000064_000000	"But if I speak to you now about your getting married it's not for your own sake, it's for mine," Isabel went on.	"But if I speak to you now about your getting married it's not for your own sake, it's for mine," Isabel went on.
2056_143893_000064_000001	"If I try to learn from you what you expect, what you desire, it's only that I may act accordingly."	"If I try to learn from you what you expect, what you desire, it's only that I may act accordingly."
2056_143893_000065_000000	Pansy stared, and then very quickly, "Will you do everything I want?" she asked.	Pansy stared, and then very quickly, "Will you do everything I want?" she asked.
2056_143893_000066_000000	"Before I say yes I must know what such things are."	"Before I say yes I must know what such things are."
2056_143893_000067_000000	Pansy presently told her that the only thing she wanted in life was to marry Mr. Rosier.	Pansy presently told her that the only thing she wanted in life was to marry mr Rosier.
2056_143893_000067_000001	He had asked her and she had told him she would do so if her papa would allow it.	He had asked her and she had told him she would do so if her papa would allow it.
2056_143893_000067_000002	Now her papa wouldn't allow it.	Now her papa wouldn't allow it.
2056_143893_000068_000000	"Very well then, it's impossible," Isabel pronounced.	"Very well then, it's impossible," Isabel pronounced.
2056_143893_000069_000000	"Yes, it's impossible," said Pansy without a sigh and with the same extreme attention in her clear little face.	"Yes, it's impossible," said Pansy without a sigh and with the same extreme attention in her clear little face.
2056_143893_000070_000000	"You must think of something else then," Isabel went on; but Pansy, sighing at this, told her that she had attempted that feat without the least success.	"You must think of something else then," Isabel went on; but Pansy, sighing at this, told her that she had attempted that feat without the least success.
2056_143893_000071_000000	"You think of those who think of you," she said with a faint smile.	"You think of those who think of you," she said with a faint smile.
2056_143893_000071_000001	"I know Mr. Rosier thinks of me."	"I know mr Rosier thinks of me."
2056_143893_000072_000000	"He ought not to," said Isabel loftily.	"He ought not to," said Isabel loftily.
2056_143893_000072_000001	"Your father has expressly requested he shouldn't."	"Your father has expressly requested he shouldn't."
2056_143893_000073_000000	"He can't help it, because he knows I think of HIM."	"He can't help it, because he knows I think of HIM."
2056_143893_000074_000000	"You shouldn't think of him.	"You shouldn't think of him.
2056_143893_000075_000000	"I wish you would try to find one," the girl exclaimed as if she were praying to the Madonna.	"I wish you would try to find one," the girl exclaimed as if she were praying to the Madonna.
2056_143893_000076_000000	"I should be very sorry to attempt it," said the Madonna with unusual frigidity.	"I should be very sorry to attempt it," said the Madonna with unusual frigidity.
2056_143893_000077_000000	"No one can think of me as Mr. Rosier does; no one has the right."	"No one can think of me as mr Rosier does; no one has the right."
2056_143893_000078_000000	"Ah, but I don't admit Mr. Rosier's right!" Isabel hypocritically cried.	"Ah, but I don't admit mr Rosier's right!" Isabel hypocritically cried.
2056_143893_000079_000000	Pansy only gazed at her, evidently much puzzled; and Isabel, taking advantage of it, began to represent to her the wretched consequences of disobeying her father.	Pansy only gazed at her, evidently much puzzled; and Isabel, taking advantage of it, began to represent to her the wretched consequences of disobeying her father.
2056_143893_000079_000001	At this Pansy stopped her with the assurance that she would never disobey him, would never marry without his consent.	At this Pansy stopped her with the assurance that she would never disobey him, would never marry without his consent.
2056_143893_000079_000002	And she announced, in the serenest, simplest tone, that, though she might never marry Mr. Rosier, she would never cease to think of him.	And she announced, in the serenest, simplest tone, that, though she might never marry mr Rosier, she would never cease to think of him.
2056_143893_000079_000003	She appeared to have accepted the idea of eternal singleness; but Isabel of course was free to reflect that she had no conception of its meaning. She was perfectly sincere; she was prepared to give up her lover.	She appeared to have accepted the idea of eternal singleness; but Isabel of course was free to reflect that she had no conception of its meaning. She was perfectly sincere; she was prepared to give up her lover.
2056_143893_000079_000004	This might seem an important step toward taking another, but for Pansy, evidently, it failed to lead in that direction.	This might seem an important step toward taking another, but for Pansy, evidently, it failed to lead in that direction.
2056_143893_000079_000005	She felt no bitterness toward her father; there was no bitterness in her heart; there was only the sweetness of fidelity to Edward Rosier, and a strange, exquisite intimation that she could prove it better by remaining single than even by marrying him.	She felt no bitterness toward her father; there was no bitterness in her heart; there was only the sweetness of fidelity to Edward Rosier, and a strange, exquisite intimation that she could prove it better by remaining single than even by marrying him.
2056_143893_000080_000000	"Your father would like you to make a better marriage," said Isabel. "Mr.	"Your father would like you to make a better marriage," said Isabel. "mr
2056_143893_000080_000001	Rosier's fortune is not at all large."	Rosier's fortune is not at all large."
2056_143893_000081_000000	"How do you mean better--if that would be good enough?	"How do you mean better-if that would be good enough?
2056_143893_000081_000001	And I have myself so little money; why should I look for a fortune?"	And I have myself so little money; why should I look for a fortune?"
2056_143893_000082_000000	"Your having so little is a reason for looking for more." With which Isabel was grateful for the dimness of the room; she felt as if her face were hideously insincere.	"Your having so little is a reason for looking for more." With which Isabel was grateful for the dimness of the room; she felt as if her face were hideously insincere.
2056_143893_000082_000001	It was what she was doing for Osmond; it was what one had to do for Osmond!	It was what she was doing for Osmond; it was what one had to do for Osmond!
2056_143893_000082_000002	Pansy's solemn eyes, fixed on her own, almost embarrassed her; she was ashamed to think she had made so light of the girl's preference.	Pansy's solemn eyes, fixed on her own, almost embarrassed her; she was ashamed to think she had made so light of the girl's preference.
2056_143893_000083_000000	"What should you like me to do?" her companion softly demanded.	"What should you like me to do?" her companion softly demanded.
2056_143893_000084_000000	The question was a terrible one, and Isabel took refuge in timorous vagueness.	The question was a terrible one, and Isabel took refuge in timorous vagueness.
2056_143893_000084_000001	"To remember all the pleasure it's in your power to give your father."	"To remember all the pleasure it's in your power to give your father."
2056_143893_000085_000000	"To marry some one else, you mean--if he should ask me?"	"To marry some one else, you mean-if he should ask me?"
2056_143893_000086_000000	For a moment Isabel's answer caused itself to be waited for; then she heard herself utter it in the stillness that Pansy's attention seemed to make.	For a moment Isabel's answer caused itself to be waited for; then she heard herself utter it in the stillness that Pansy's attention seemed to make.
2056_143893_000086_000001	"Yes--to marry some one else."	"Yes-to marry some one else."
2056_143893_000087_000000	The child's eyes grew more penetrating; Isabel believed she was doubting her sincerity, and the impression took force from her slowly getting up from her cushion.	The child's eyes grew more penetrating; Isabel believed she was doubting her sincerity, and the impression took force from her slowly getting up from her cushion.
2056_143893_000087_000001	She stood there a moment with her small hands unclasped and then quavered out: "Well, I hope no one will ask me!"	She stood there a moment with her small hands unclasped and then quavered out: "Well, I hope no one will ask me!"
2056_143893_000088_000000	"There has been a question of that.	"There has been a question of that.
2056_143893_000088_000001	Some one else would have been ready to ask you."	Some one else would have been ready to ask you."
2056_143893_000089_000000	"I don't think he can have been ready," said Pansy.	"I don't think he can have been ready," said Pansy.
2056_143893_000090_000000	"It would appear so if he had been sure he'd succeed."	"It would appear so if he had been sure he'd succeed."
2056_143893_000091_000000	"If he had been sure?	"If he had been sure?
2056_143893_000091_000001	Then he wasn't ready!"	Then he wasn't ready!"
2056_143893_000092_000000	Isabel thought this rather sharp; she also got up and stood a moment looking into the fire.	Isabel thought this rather sharp; she also got up and stood a moment looking into the fire.
2056_143893_000092_000001	"Lord Warburton has shown you great attention," she resumed; "of course you know it's of him I speak." She found herself, against her expectation, almost placed in the position of justifying herself; which led her to introduce this nobleman more crudely than she had intended.	"Lord Warburton has shown you great attention," she resumed; "of course you know it's of him I speak." She found herself, against her expectation, almost placed in the position of justifying herself; which led her to introduce this nobleman more crudely than she had intended.
2056_143893_000093_000000	"He has been very kind to me, and I like him very much.	"He has been very kind to me, and I like him very much.
2056_143893_000093_000001	But if you mean that he'll propose for me I think you're mistaken."	But if you mean that he'll propose for me I think you're mistaken."
2056_143893_000094_000000	"Perhaps I am.	"Perhaps I am.
2056_143893_000094_000001	But your father would like it extremely."	But your father would like it extremely."
2056_143893_000095_000000	Pansy shook her head with a little wise smile.	Pansy shook her head with a little wise smile.
2056_143893_000096_000000	"Your father would like you to encourage him," Isabel went on mechanically.	"Your father would like you to encourage him," Isabel went on mechanically.
2056_143893_000097_000000	"How can I encourage him?"	"How can I encourage him?"
2056_143893_000098_000000	"I don't know.	"I don't know.
2056_143893_000098_000001	Your father must tell you that."	Your father must tell you that."
2056_143893_000099_000000	Pansy said nothing for a moment; she only continued to smile as if she were in possession of a bright assurance.	Pansy said nothing for a moment; she only continued to smile as if she were in possession of a bright assurance.
2056_143893_000099_000001	"There's no danger--no danger!" she declared at last.	"There's no danger-no danger!" she declared at last.
2056_143893_000100_000000	There was a conviction in the way she said this, and a felicity in her believing it, which conduced to Isabel's awkwardness.	There was a conviction in the way she said this, and a felicity in her believing it, which conduced to Isabel's awkwardness.
2056_143893_000100_000001	She felt accused of dishonesty, and the idea was disgusting.	She felt accused of dishonesty, and the idea was disgusting.
2056_143893_000100_000002	To repair her self-respect she was on the point of saying that Lord Warburton had let her know that there was a danger.	To repair her self respect she was on the point of saying that Lord Warburton had let her know that there was a danger.
2056_143893_000100_000003	But she didn't; she only said--in her embarrassment rather wide of the mark--that he surely had been most kind, most friendly.	But she didn't; she only said-in her embarrassment rather wide of the mark-that he surely had been most kind, most friendly.
2056_143893_000101_000000	"Yes, he has been very kind," Pansy answered.	"Yes, he has been very kind," Pansy answered.
