2512_157242_000000_000000	CHAPTER 10.	CHAPTER ten.	false	6.57	25.17	21.010565
2512_157242_000017_000000	'Yes,' said Jane, 'and if you find a purse I suppose it is only because some one has lost it, and you ought to take it to the policeman.'	'Yes,' said Jane, 'and if you find a purse I suppose it is only because some one has lost it, and you ought to take it to the policeman.'	false	166.61	172.27	21
2512_157242_000018_000000	'The situation,' remarked the Phoenix, 'does indeed bristle with difficulties.'	'The situation,' remarked the Phoenix, 'does indeed bristle with difficulties.'	true	173	176.95	20
2512_157242_000019_000000	'What about a buried treasure,' said Cyril, 'and every one was dead that it belonged to?'	'What about a buried treasure,' said Cyril, 'and every one was dead that it belonged to?'	true	177.56	181.3	18
2512_157242_000020_000000	'Mother wouldn't believe THAT,' said more than one voice.	'Mother wouldn't believe THAT,' said more than one voice.	true	182	184.75	22.424295
2512_157242_000021_000000	'Suppose,' said Robert--'suppose we asked to be taken where we could find a purse and give it back to the person it belonged to, and they would give us something for finding it?'	'Suppose,' said Robert-'suppose we asked to be taken where we could find a purse and give it back to the person it belonged to, and they would give us something for finding it?'	true	185.18	192.64	22
2512_157242_000022_000000	'We aren't allowed to take money from strangers.	'We aren't allowed to take money from strangers.	true	193.91	195.72	19.158348
2512_157242_000022_000001	You know we aren't, Bobs,' said Anthea, making a knot at the end of a needleful of Scotch heather-mixture fingering wool (which is very wrong, and you must never do it when you are darning).	You know we aren't, Bobs,' said Anthea, making a knot at the end of a needleful of Scotch heather mixture fingering wool (which is very wrong, and you must never do it when you are darning).	true	195.72	204.37	16
2512_157242_000023_000000	'No, THAT wouldn't do,' said Cyril. 'Let's chuck it and go to the North Pole, or somewhere really interesting.'	'No, THAT wouldn't do,' said Cyril. 'Let's chuck it and go to the North Pole, or somewhere really interesting.'	true	205.01	210.19	20
2512_157242_000024_000000	'No,' said the girls together, 'there must be SOME way.'	'No,' said the girls together, 'there must be SOME way.'	true	210.59	213.4	21.887215
2512_157242_000025_000000	'Wait a sec,' Anthea added.	'Wait a sec,' Anthea added.	false	214.07	215.64	21.67823
2512_157242_000025_000001	'I've got an idea coming.	'I've got an idea coming.	true	215.64	216.66	12
2512_157242_000025_000002	Don't speak.'	Don't speak.'	true	216.66	217.57	24.566256
2512_157242_000026_000000	There was a silence as she paused with the darning-needle in the air! Suddenly she spoke:	There was a silence as she paused with the darning needle in the air! Suddenly she spoke:	true	218.15	223.42	19.30757
2512_157242_000027_000000	'I see.	'I see.	true	223.85	224.595	20.270803
2512_157242_000027_000001	Let's tell the carpet to take us somewhere where we can get the money for mother's present, and--and--and get it some way that she'll believe in and not think wrong.'	Let's tell the carpet to take us somewhere where we can get the money for mother's present, and-and-and get it some way that she'll believe in and not think wrong.'	true	224.595	232.69	21.963003
2512_157242_000028_000000	'Well, I must say you are learning the way to get the most out of the carpet,' said Cyril.	'Well, I must say you are learning the way to get the most out of the carpet,' said Cyril.	true	233.3	237.34	21.083078
2512_157242_000028_000001	He spoke more heartily and kindly than usual, because he remembered how Anthea had refrained from snarking him about tearing the carpet.	He spoke more heartily and kindly than usual, because he remembered how Anthea had refrained from snarking him about tearing the carpet.	true	237.47	243.7	17
2512_157242_000029_000000	'Yes,' said the Phoenix, 'you certainly are.	'Yes,' said the Phoenix, 'you certainly are.	true	244.97	246.82	21.197285
2512_157242_000029_000001	And you have to remember that if you take a thing out it doesn't stay in.'	And you have to remember that if you take a thing out it doesn't stay in.'	true	247.07	250.18	18
2512_157242_000030_000000	No one paid any attention to this remark at the time, but afterwards every one thought of it.	No one paid any attention to this remark at the time, but afterwards every one thought of it.	true	251.87	256.24	18
2512_157242_000031_000000	'Do hurry up, Panther,' said Robert; and that was why Anthea did hurry up, and why the big darn in the middle of the carpet was all open and webby like a fishing net, not tight and close like woven cloth, which is what a good, well-behaved darn should be.	'Do hurry up, Panther,' said Robert; and that was why Anthea did hurry up, and why the big darn in the middle of the carpet was all open and webby like a fishing net, not tight and close like woven cloth, which is what a good, well behaved darn should be.	true	256.7	268.81	16
2512_157242_000032_000000	Then every one put on its outdoor things, the Phoenix fluttered on to the mantelpiece and arranged its golden feathers in the glass, and all was ready.	Then every one put on its outdoor things, the Phoenix fluttered on to the mantelpiece and arranged its golden feathers in the glass, and all was ready.	true	269.6	276.3	20
2512_157242_000032_000001	Every one got on to the carpet.	Every one got on to the carpet.	true	276.3	278.02	19.224718
2512_157242_000033_000000	'Please go slowly, dear carpet,' Anthea began; we like to see where we're going.' And then she added the difficult wish that had been decided on.	'Please go slowly, dear carpet,' Anthea began; we like to see where we're going.' And then she added the difficult wish that had been decided on.	false	278.54	285.73	19
2512_157242_000034_000000	Next moment the carpet, stiff and raftlike, was sailing over the roofs of Kentish Town.	Next moment the carpet, stiff and raftlike, was sailing over the roofs of Kentish Town.	false	286.22	292.59	21.123142
2512_157242_000035_000000	'I wish--No, I don't mean that.	'I wish-No, I don't mean that.	true	292.59	294.51	18.885529
2512_157242_000035_000001	I mean it's a PITY we aren't higher up,' said Anthea, as the edge of the carpet grazed a chimney-pot.	I mean it's a PITY we aren't higher up,' said Anthea, as the edge of the carpet grazed a chimney pot.	true	294.51	300.13	22.223251
2512_157242_000036_000000	'That's right.	'That's right.	true	300.44	301.08	21.654732
2512_157242_000036_000001	Be careful,' said the Phoenix, in warning tones.	Be careful,' said the Phoenix, in warning tones.	true	301.08	303.22	20.368277
2512_157242_000036_000002	'If you wish when you're on a wishing carpet, you DO wish, and there's an end of it.'	'If you wish when you're on a wishing carpet, you DO wish, and there's an end of it.'	true	303.29	307.12	14
2512_157242_000037_000000	So for a short time no one spoke, and the carpet sailed on in calm magnificence over St Pancras and King's Cross stations and over the crowded streets of Clerkenwell.	So for a short time no one spoke, and the carpet sailed on in calm magnificence over St Pancras and King's Cross stations and over the crowded streets of Clerkenwell.	false	307.94	317.59	22
2512_157242_000038_000000	'We're going out Greenwich way,' said Cyril, as they crossed the streak of rough, tumbled water that was the Thames.	'We're going out Greenwich way,' said Cyril, as they crossed the streak of rough, tumbled water that was the Thames.	false	318.08	324.48	18.997007
2512_157242_000038_000001	'We might go and have a look at the Palace.'	'We might go and have a look at the Palace.'	true	324.48	326.44	20
2512_157242_000039_000000	On and on the carpet swept, still keeping much nearer to the chimney-pots than the children found at all comfortable.	On and on the carpet swept, still keeping much nearer to the chimney pots than the children found at all comfortable.	false	326.75	332.38	22.357723
2512_157242_000039_000001	And then, just over New Cross, a terrible thing happened.	And then, just over New Cross, a terrible thing happened.	true	333.11	336.73	19.324017
2512_157242_000040_000000	Jane and Robert were in the middle of the carpet.	Jane and Robert were in the middle of the carpet.	true	337.61	339.94	19.69685
2512_157242_000040_000001	Part of them was on the carpet, and part of them--the heaviest part--was on the great central darn.	Part of them was on the carpet, and part of them-the heaviest part-was on the great central darn.	true	340.04	344.89	21.423252
2512_157242_000041_000000	'It's all very misty,' said Jane; 'it looks partly like out of doors and partly like in the nursery at home.	'It's all very misty,' said Jane; 'it looks partly like out of doors and partly like in the nursery at home.	false	345.56	351.31	19.765533
2512_157242_000041_000001	I feel as if I was going to have measles; everything looked awfully rum then, remember.'	I feel as if I was going to have measles; everything looked awfully rum then, remember.'	true	351.53	355.96	20
2512_157242_000042_000000	'I feel just exactly the same,' Robert said.	'I feel just exactly the same,' Robert said.	true	356.63	359.17	23.097635
2512_157242_000043_000000	'It's the hole,' said the Phoenix; 'it's not measles whatever that possession may be.'	'It's the hole,' said the Phoenix; 'it's not measles whatever that possession may be.'	true	360.2	363.88	23.146978
2512_157242_000044_000000	And at that both Robert and Jane suddenly, and at once, made a bound to try and get on to the safer part of the carpet, and the darn gave way and their boots went up, and the heavy heads and bodies of them went down through the hole, and they landed in a position something between sitting and sprawling on the flat leads on the top of a high, grey, gloomy, respectable house whose address was 705, Amersham Road, New Cross.	And at that both Robert and Jane suddenly, and at once, made a bound to try and get on to the safer part of the carpet, and the darn gave way and their boots went up, and the heavy heads and bodies of them went down through the hole, and they landed in a position something between sitting and sprawling on the flat leads on the top of a high, grey, gloomy, respectable house whose address was seven oh five Amersham Road ,New Cross.	false	365.12	388.39	20.215244
2512_157242_000045_000000	The carpet seemed to awaken to new energy as soon as it had got rid of their weight, and it rose high in the air.	The carpet seemed to awaken to new energy as soon as it had got rid of their weight, and it rose high in the air.	true	389.27	395.17	20.409096
2512_157242_000045_000001	The others lay down flat and peeped over the edge of the rising carpet.	The others lay down flat and peeped over the edge of the rising carpet.	true	395.54	399.01	21.970411
2512_157242_000046_000000	'Are you hurt?' cried Cyril, and Robert shouted 'No,' and next moment the carpet had sped away, and Jane and Robert were hidden from the sight of the others by a stack of smoky chimneys.	'Are you hurt?' cried Cyril, and Robert shouted 'No,' and next moment the carpet had sped away, and Jane and Robert were hidden from the sight of the others by a stack of smoky chimneys.	true	399.23	408.76	20.480444
2512_157242_000047_000000	'Oh, how awful!' said Anthea.	'Oh, how awful!' said Anthea.	true	409.25	411.31	21.969887
2512_157242_000048_000000	'It might have been worse,' said the Phoenix. 'What would have been the sentiments of the survivors if that darn had given way when we were crossing the river?'	'It might have been worse,' said the Phoenix. 'What would have been the sentiments of the survivors if that darn had given way when we were crossing the river?'	true	411.38	418.18	18.888702
2512_157242_000049_000000	'Yes, there's that,' said Cyril, recovering himself.	'Yes, there's that,' said Cyril, recovering himself.	true	419.09	421.71	22.559315
2512_157242_000049_000001	'They'll be all right.	'They'll be all right.	true	421.71	422.68	22.084286
2512_157242_000049_000002	They'll howl till some one gets them down, or drop tiles into the front garden to attract attention of passersby.	They'll howl till some one gets them down, or drop tiles into the front garden to attract attention of passersby.	true	422.72	428.74	20.88197
2512_157242_000049_000003	Bobs has got my one-and-fivepence--lucky you forgot to mend that hole in my pocket, Panther, or he wouldn't have had it.	Bobs has got my one and fivepence-lucky you forgot to mend that hole in my pocket, Panther, or he wouldn't have had it.	false	429.14	434.08	19
2512_157242_000049_000004	They can tram it home.'	They can tram it home.'	true	434.27	435.55	17.16903
2512_157242_000050_000000	But Anthea would not be comforted.	But Anthea would not be comforted.	true	436.19	438.01	20.086115
2512_157242_000051_000000	'It's all my fault,' she said.	'It's all my fault,' she said.	true	438.26	439.71	22.207779
2512_157242_000051_000001	'I KNEW the proper way to darn, and I didn't do it.	'I KNEW the proper way to darn, and I didn't do it.	true	439.71	442.215	13
2512_157242_000051_000002	It's all my fault.	It's all my fault.	true	442.215	443.35	22.409927
2512_157242_000051_000003	Let's go home and patch the carpet with your Etons--something really strong--and send it to fetch them.'	Let's go home and patch the carpet with your Etons-something really strong-and send it to fetch them.'	true	443.75	448.57	20.30887
2512_157242_000052_000000	'All right,' said Cyril; 'but your Sunday jacket is stronger than my Etons.	'All right,' said Cyril; 'but your Sunday jacket is stronger than my Etons.	false	449.99	453.06	17
2512_157242_000052_000001	We must just chuck mother's present, that's all.	We must just chuck mother's present, that's all.	true	453.06	455.32	23
2512_157242_000052_000002	I wish--'	I wish-'	true	455.48	456.31	23.475578
2512_157242_000053_000000	'Stop!' cried the Phoenix; 'the carpet is dropping to earth.'	'Stop!' cried the Phoenix; 'the carpet is dropping to earth.'	true	456.68	459.4	24.758772
2512_157242_000054_000000	And indeed it was.	And indeed it was.	true	459.47	460.9	21.914707
2512_157242_000055_000000	It sank swiftly, yet steadily, and landed on the pavement of the Deptford Road.	It sank swiftly, yet steadily, and landed on the pavement of the Deptford Road.	true	461.45	466.27	20.595608
2512_157242_000055_000001	It tipped a little as it landed, so that Cyril and Anthea naturally walked off it, and in an instant it had rolled itself up and hidden behind a gate-post.	It tipped a little as it landed, so that Cyril and Anthea naturally walked off it, and in an instant it had rolled itself up and hidden behind a gate post.	true	466.55	474.22	21
2512_157242_000055_000002	It did this so quickly that not a single person in the Deptford Road noticed it.	It did this so quickly that not a single person in the Deptford Road noticed it.	true	474.56	478.51	18.91773
2512_157242_000055_000003	The Phoenix rustled its way into the breast of Cyril's coat, and almost at the same moment a well-known voice remarked--	The Phoenix rustled its way into the breast of Cyril's coat, and almost at the same moment a well-known voice remarked-	true	478.76	484.96	19.687155
2512_157242_000056_000000	'Well, I never!	'Well, I never!	true	485.21	486.27	13.294952
2512_157242_000056_000001	What on earth are you doing here?'	What on earth are you doing here?'	true	486.27	487.84	18
2512_157242_000057_000000	They were face to face with their pet uncle--their Uncle Reginald.	They were face to face with their pet uncle-their Uncle Reginald.	true	488.48	491.5	21.10231
2512_157242_000058_000000	'We DID think of going to Greenwich Palace and talking about Nelson,' said Cyril, telling as much of the truth as he thought his uncle could believe.	'We DID think of going to Greenwich Palace and talking about Nelson,' said Cyril, telling as much of the truth as he thought his uncle could believe.	true	491.9	499.33	21.299847
2512_157242_000059_000000	'And where are the others?' asked Uncle Reginald.	'And where are the others?' asked Uncle Reginald.	true	499.67	501.7	20.891243
2512_157242_000060_000000	'I don't exactly know,' Cyril replied, this time quite truthfully.	'I don't exactly know,' Cyril replied, this time quite truthfully.	true	502.1	505.69	21.591957
2512_157242_000061_000000	'Well,' said Uncle Reginald, 'I must fly.	'Well,' said Uncle Reginald, 'I must fly.	true	506.12	508.33	22.60618
2512_157242_000061_000001	I've a case in the County Court.	I've a case in the County Court.	true	508.85	510.405	24.779528
2512_157242_000061_000002	That's the worst of being a beastly solicitor.	That's the worst of being a beastly solicitor.	true	510.405	512.43	20
2512_157242_000061_000003	One can't take the chances of life when one gets them.	One can't take the chances of life when one gets them.	true	512.43	514.84	17
2512_157242_000061_000004	If only I could come with you to the Painted Hall and give you lunch at the "Ship" afterwards!	If only I could come with you to the Painted Hall and give you lunch at the "Ship" afterwards!	true	515	518.68	20
2512_157242_000061_000005	But, alas!	But, alas!	true	518.78	519.66	25.321873
2512_157242_000061_000006	it may not be.'	it may not be.'	false	519.66	520.63	18
2512_157242_000062_000000	The uncle felt in his pocket.	The uncle felt in his pocket.	true	521.24	522.99	24.613338
2512_157242_000063_000000	'_I_ mustn't enjoy myself,' he said, 'but that's no reason why you shouldn't.	'underscore I underscore mustn't enjoy myself,' he said, 'but that's no reason why you shouldn't.	false	522.99	527.13	19.101116
2512_157242_000063_000001	Here, divide this by four, and the product ought to give you some desired result.	Here, divide this by four, and the product ought to give you some desired result.	false	527.13	530.89	23
2512_157242_000063_000002	Take care of yourselves.	Take care of yourselves.	true	530.9	531.99	21.50962
2512_157242_000063_000003	Adieu.'	Adieu.'	false	531.99	533.13	21.627417
2512_157242_000064_000000	And waving a cheery farewell with his neat umbrella, the good and high-hatted uncle passed away, leaving Cyril and Anthea to exchange eloquent glances over the shining golden sovereign that lay in Cyril's hand.	And waving a cheery farewell with his neat umbrella, the good and high hatted uncle passed away, leaving Cyril and Anthea to exchange eloquent glances over the shining golden sovereign that lay in Cyril's hand.	true	533.13	543.67	19
2512_157242_000065_000000	'Well!' said Anthea.	'Well!' said Anthea.	true	544.22	545.95	23.080708
2512_157242_000066_000000	'Well!' said Cyril.	'Well!' said Cyril.	true	546.2	547.69	25.427681
2512_157242_000067_000000	'Well!' said the Phoenix.	'Well!' said the Phoenix.	true	548.21	549.61	23.106451
2512_157242_000068_000000	'Good old carpet!' said Cyril, joyously.	'Good old carpet!' said Cyril, joyously.	true	549.89	552.52	24.497482
2512_157242_000069_000000	'It WAS clever of it--so adequate and yet so simple,' said the Phoenix, with calm approval.	'It WAS clever of it-so adequate and yet so simple,' said the Phoenix, with calm approval.	true	552.68	557.44	23.36101
2512_157242_000070_000000	'Oh, come on home and let's mend the carpet.	'Oh, come on home and let's mend the carpet.	true	557.96	559.92	20
2512_157242_000070_000001	I am a beast.	I am a beast.	false	559.92	560.58	9
2512_157242_000070_000002	I'd forgotten the others just for a minute,' said the conscience-stricken Anthea.	I'd forgotten the others just for a minute,' said the conscience stricken Anthea.	false	560.58	564.52	19
2512_157242_000071_000000	They unrolled the carpet quickly and slyly--they did not want to attract public attention--and the moment their feet were on the carpet Anthea wished to be at home, and instantly they were.	They unrolled the carpet quickly and slyly-they did not want to attract public attention-and the moment their feet were on the carpet Anthea wished to be at home, and instantly they were.	true	566.18	574.63	19
2512_157242_000072_000000	The kindness of their excellent uncle had made it unnecessary for them to go to such extremes as Cyril's Etons or Anthea's Sunday jacket for the patching of the carpet.	The kindness of their excellent uncle had made it unnecessary for them to go to such extremes as Cyril's Etons or Anthea's Sunday jacket for the patching of the carpet.	true	575.18	584.17	19
2512_157242_000073_000000	Anthea set to work at once to draw the edges of the broken darn together, and Cyril hastily went out and bought a large piece of the marble-patterned American oil-cloth which careful house-wives use to cover dressers and kitchen tables.	Anthea set to work at once to draw the edges of the broken darn together, and Cyril hastily went out and bought a large piece of the marble patterned American oil cloth which careful house wives use to cover dressers and kitchen tables.	true	584.63	597.76	20.13707
2512_157242_000073_000001	It was the strongest thing he could think of.	It was the strongest thing he could think of.	true	598.1	600.04	21.381218
2512_157242_000074_000000	Then they set to work to line the carpet throughout with the oil-cloth. The nursery felt very odd and empty without the others, and Cyril did not feel so sure as he had done about their being able to 'tram it' home.	Then they set to work to line the carpet throughout with the oil cloth. The nursery felt very odd and empty without the others, and Cyril did not feel so sure as he had done about their being able to 'tram it' home.	true	600.86	611.77	20.851423
2512_157242_000074_000001	So he tried to help Anthea, which was very good of him, but not much use to her.	So he tried to help Anthea, which was very good of him, but not much use to her.	true	612.26	616.06	20
2512_157242_000075_000000	The Phoenix watched them for a time, but it was plainly growing more and more restless.	The Phoenix watched them for a time, but it was plainly growing more and more restless.	true	616.46	620.47	20
2512_157242_000075_000001	It fluffed up its splendid feathers, and stood first on one gilded claw and then on the other, and at last it said--	It fluffed up its splendid feathers, and stood first on one gilded claw and then on the other, and at last it said-	true	620.66	626.29	20
2512_157242_000076_000000	'I can bear it no longer.	'I can bear it no longer.	true	626.6	627.78	18.067396
2512_157242_000076_000001	This suspense!	This suspense!	true	627.78	628.635	21.879108
2512_157242_000076_000002	My Robert--who set my egg to hatch--in the bosom of whose Norfolk raiment I have nestled so often and so pleasantly!	My Robert-who set my egg to hatch-in the bosom of whose Norfolk raiment I have nestled so often and so pleasantly!	true	628.635	635.17	21.726807
2512_157242_000076_000003	I think, if you'll excuse me--'	I think, if you'll excuse me-'	true	635.24	637.06	24.326954
2512_157242_000077_000000	'Yes--DO,' cried Anthea, 'I wish we'd thought of asking you before.'	'Yes-DO,' cried Anthea, 'I wish we'd thought of asking you before.'	true	637.58	641.14	22
2512_157242_000078_000000	Cyril opened the window.	Cyril opened the window.	true	641.66	642.945	20
2512_157242_000078_000001	The Phoenix flapped its sunbright wings and vanished.	The Phoenix flapped its sunbright wings and vanished.	true	642.945	645.67	21.006897
2512_157242_000079_000000	'So THAT'S all right,' said Cyril, taking up his needle and instantly pricking his hand in a new place.	'So THAT'S all right,' said Cyril, taking up his needle and instantly pricking his hand in a new place.	true	646.85	651.7	19
2512_157242_000080_000000	Of course I know that what you have really wanted to know about all this time is not what Anthea and Cyril did, but what happened to Jane and Robert after they fell through the carpet on to the leads of the house which was called number 705, Amersham Road.	Of course I know that what you have really wanted to know about all this time is not what Anthea and Cyril did, but what happened to Jane and Robert after they fell through the carpet on to the leads of the house which was called number seven hundred five, Amersham Road.	false	652.73	665.26	19
2512_157242_000081_000000	But I had to tell you the other first.	But I had to tell you the other first.	true	665.57	667.6	20.08226
2512_157242_000081_000001	That is one of the most annoying things about stories, you cannot tell all the different parts of them at the same time.	That is one of the most annoying things about stories, you cannot tell all the different parts of them at the same time.	true	667.64	673.03	21.045584
2512_157242_000082_000000	Robert's first remark when he found himself seated on the damp, cold, sooty leads was--	Robert's first remark when he found himself seated on the damp, cold, sooty leads was-	true	673.58	678.49	22
2512_157242_000083_000000	'Here's a go!'	'Here's a go!'	true	678.62	679.69	23.392801
2512_157242_000084_000000	Jane's first act was tears.	Jane's first act was tears.	true	680.3	682.21	21.512283
2512_157242_000085_000000	'Dry up, Pussy; don't be a little duffer,' said her brother, kindly, 'it'll be all right.'	'Dry up, Pussy; don't be a little duffer,' said her brother, kindly, 'it'll be all right.'	true	682.67	686.68	21
2512_157242_000086_000000	And then he looked about, just as Cyril had known he would, for something to throw down, so as to attract the attention of the wayfarers far below in the street.	And then he looked about, just as Cyril had known he would, for something to throw down, so as to attract the attention of the wayfarers far below in the street.	true	686.9	695.2	20.940351
2512_157242_000086_000001	He could not find anything.	He could not find anything.	true	695.48	696.88	24.851643
2512_157242_000086_000002	Curiously enough, there were no stones on the leads, not even a loose tile.	Curiously enough, there were no stones on the leads, not even a loose tile.	true	697.4	701.175	16
2512_157242_000086_000003	The roof was of slate, and every single slate knew its place and kept it.	The roof was of slate, and every single slate knew its place and kept it.	true	701.175	705.52	20.645906
2512_157242_000086_000004	But, as so often happens, in looking for one thing he found another.	But, as so often happens, in looking for one thing he found another.	true	705.68	709.06	21.451908
2512_157242_000086_000005	There was a trap-door leading down into the house.	There was a trap door leading down into the house.	true	709.07	711.43	21.012922
2512_157242_000087_000000	And that trap-door was not fastened.	And that trap door was not fastened.	true	712.34	714.4	23.87985
2512_157242_000088_000000	'Stop snivelling and come here, Jane,' he cried, encouragingly.	'Stop snivelling and come here, Jane,' he cried, encouragingly.	true	715.13	717.97	19
2512_157242_000088_000001	'Lend a hand to heave this up.	'Lend a hand to heave this up.	true	718.01	719.4	20
2512_157242_000088_000002	If we can get into the house, we might sneak down without meeting any one, with luck.	If we can get into the house, we might sneak down without meeting any one, with luck.	false	719.4	722.715	16
2512_157242_000088_000003	Come on.'	Come on.'	true	722.715	723.21	19.939941
2512_157242_000089_000000	They heaved up the door till it stood straight up, and, as they bent to look into the hole below, the door fell back with a hollow clang on the leads behind, and with its noise was mingled a blood-curdling scream from underneath.	They heaved up the door till it stood straight up, and, as they bent to look into the hole below, the door fell back with a hollow clang on the leads behind, and with its noise was mingled a blood curdling scream from underneath.	false	723.21	736.36	21.64782
2512_157242_000090_000000	'Discovered!' hissed Robert.	'Discovered!' hissed Robert.	true	736.73	738.255	20.23809
2512_157242_000090_000001	'Oh, my cats alive!'	'Oh, my cats alive!'	true	738.255	739.96	25.518764
2512_157242_000091_000000	They were indeed discovered.	They were indeed discovered.	true	740.09	741.97	20.029867
2512_157242_000092_000000	They found themselves looking down into an attic, which was also a lumber-room.	They found themselves looking down into an attic, which was also a lumber room.	true	742.85	746.83	20.677734
2512_157242_000092_000001	It had boxes and broken chairs, old fenders and picture-frames, and rag-bags hanging from nails.	It had boxes and broken chairs, old fenders and picture frames, and rag bags hanging from nails.	true	747.23	752.62	20.074041
2512_157242_000093_000000	In the middle of the floor was a box, open, half full of clothes.	In the middle of the floor was a box, open, half full of clothes.	true	753.26	756.52	21.702795
2512_157242_000093_000001	Other clothes lay on the floor in neat piles.	Other clothes lay on the floor in neat piles.	true	756.86	759.28	24.67591
2512_157242_000093_000002	In the middle of the piles of clothes sat a lady, very fat indeed, with her feet sticking out straight in front of her.	In the middle of the piles of clothes sat a lady, very fat indeed, with her feet sticking out straight in front of her.	true	759.71	765.52	19.787619
