597_133239_000004_000000	MEMORY RHYMES.	MEMORY RHYMES.
597_133239_000038_000000	APPALLING DEPTHS OF SPACE. Distances that Stun the Mind and Baffle Comprehension.	APPALLING DEPTHS OF SPACE. Distances that Stun the Mind and Baffle Comprehension.
597_133239_000039_000000	"The stars," though appearing small to us because of their immense distance, are in reality great and shining suns.	"The stars," though appearing small to us because of their immense distance, are in reality great and shining suns.
597_133239_000039_000001	If we were to escape from the earth into space, the moon, Jupiter, Saturn, and eventually the sun would become invisible.	If we were to escape from the earth into space, the moon, Jupiter, Saturn, and eventually the sun would become invisible.
597_133239_000039_000002	Mizar, the middle star in the tail of the Great Bear, is forty times as heavy as the sun.	Mizar, the middle star in the tail of the Great Bear, is forty times as heavy as the sun
597_133239_000039_000003	To the naked eye there are five or six thousand of these heavenly bodies visible.	To the naked eye there are five or six thousand of these heavenly bodies visible.
597_133239_000040_000000	Cygni is the nearest star to us in this part of the sky.	Cygni is the nearest star to us in this part of the sky.
597_133239_000040_000003	At the speed of an electric current, 180,000 miles per second, a message to be sent from a point on the earth's surface would go seven times around the earth in one second.	At the speed of an electric current, one hundred eighty thousand miles per second, a message to be sent from a point on the earth's surface would go seven times around the earth in one second.
597_133239_000040_000004	Let it be supposed that messages were sent off to the different heavenly bodies.	Let it be supposed that messages were sent off to the different heavenly bodies.
597_133239_000040_000005	To reach the moon at this rate it would take about one second.	To reach the moon at this rate it would take about one second.
597_133239_000040_000006	In eight minutes a message would get to the sun, and allowing for a couple of minutes' delay, one could send a message to the sun and get an answer all within twenty minutes.	In eight minutes a message would get to the sun, and allowing for a couple of minutes' delay, one could send a message to the sun and get an answer all within twenty minutes.
597_133239_000040_000008	If, when Wellington won the battle of Waterloo, in 1815, the news had been telegraphed off immediately, there are some stars so remote that it would not yet have reached them.	If, when Wellington won the battle of Waterloo, in eighteen fifteen, the news had been telegraphed off immediately, there are some stars so remote that it would not yet have reached them.
597_133239_000040_000009	To go a step further, if in 1066 the result of the Norman Conquest had been wired to some of these stars, the message would still be on its way.	To go a step further, if in ten sixty six the result of the Norman Conquest had been wired to some of these stars, the message would still be on its way.
597_133239_000041_000000	SENATOR VEST'S EULOGY ON THE DOG.	SENATOR VEST'S EULOGY ON THE DOG.
597_133239_000042_000000	"Gentlemen of the Jury: The best friend a man has in this world may turn against him and become his enemy.	"Gentlemen of the Jury: The best friend a man has in this world may turn against him and become his enemy.
597_133239_000042_000002	Those who are nearest and dearest to us, those whom we trust with our happiness and our good name, may become traitors to their faith.	Those who are nearest and dearest to us, those whom we trust with our happiness and our good name, may become traitors to their faith.
597_133239_000042_000003	The money that a man has he may lose.	The money that a man has he may lose.
597_133239_000042_000004	It flies away from him when he may need it most.	It flies away from him when he may need it most.
597_133239_000042_000006	The people who are prone to fall on their knees and do us honor when success is with us may be the first to throw the stone of malice when failure settles its cloud upon our head.	The people who are prone to fall on their knees and do us honor when success is with us may be the first to throw the stone of malice when failure settles its cloud upon our head.
597_133239_000042_000007	The one absolutely unselfish friend a man may have in this selfish world, the one that never deserts him, the one that never proves ungrateful or treacherous, is the dog.	The one absolutely unselfish friend a man may have in this selfish world, the one that never deserts him, the one that never proves ungrateful or treacherous, is the dog.
597_133239_000043_000000	"Gentlemen of the jury, A man's dog stands by him in prosperity and poverty, in health and in sickness.	"Gentlemen of the jury, A man's dog stands by him in prosperity and poverty, in health and in sickness.
597_133239_000043_000003	He guards the sleep of his pauper master as if he were a prince.	He guards the sleep of his pauper master as if he were a prince.
