258_130878_000001_000000	The Coral Realm	The Coral Realm
258_130878_000048_000001	This bottom was completely different from the one I had visited during my first excursion under the waters of the Pacific Ocean.	This bottom was completely different from the one I had visited during my first excursion under the waters of the Pacific Ocean.
258_130878_000048_000002	Here I saw no fine-grained sand, no underwater prairies, not one open-sea forest.	Here I saw no fine grained sand, no underwater prairies, not one open sea forest.
258_130878_000049_000000	In the zoophyte branch, class Alcyonaria, one finds the order Gorgonaria, which contains three groups: sea fans, isidian polyps, and coral polyps. It's in this last that precious coral belongs, an unusual substance that, at different times, has been classified in the mineral, vegetable, and animal kingdoms.	In the zoophyte branch, class Alcyonaria, one finds the order Gorgonaria, which contains three groups: sea fans, isidian polyps, and coral polyps. It's in this last that precious coral belongs, an unusual substance that, at different times, has been classified in the mineral, vegetable, and animal kingdoms.
258_130878_000050_000001	These polyps have a unique generating mechanism that reproduces them via the budding process, and they have an individual existence while also participating in a communal life.	These polyps have a unique generating mechanism that reproduces them via the budding process, and they have an individual existence while also participating in a communal life.
258_130878_000051_000000	We turned on our Ruhmkorff devices and went along a coral shoal in the process of forming, which, given time, will someday close off this whole part of the Indian Ocean.	We turned on our Ruhmkorff devices and went along a coral shoal in the process of forming, which, given time, will someday close off this whole part of the Indian Ocean.
258_130878_000052_000000	Our lights produced a thousand delightful effects while playing over these brightly colored boughs.	Our lights produced a thousand delightful effects while playing over these brightly colored boughs.
258_130878_000053_000000	Sheer chance had placed me in the presence of the most valuable specimens of this zoophyte.	Sheer chance had placed me in the presence of the most valuable specimens of this zoophyte.
258_130878_000053_000001	This coral was the equal of those fished up from the Mediterranean off the Barbary Coast or the shores of France and Italy.	This coral was the equal of those fished up from the Mediterranean off the Barbary Coast or the shores of France and Italy.
258_130878_000053_000002	With its bright colors, it lived up to those poetic names of blood flower and blood foam that the industry confers on its finest exhibits.	With its bright colors, it lived up to those poetic names of blood flower and blood foam that the industry confers on its finest exhibits.
258_130878_000053_000003	Coral sells for as much as 500 francs per kilogram, and in this locality the liquid strata hid enough to make the fortunes of a whole host of coral fishermen. This valuable substance often merges with other polyparies, forming compact, hopelessly tangled units known as "macciota," and I noted some wonderful pink samples of this coral.	Coral sells for as much as five hundred francs per kilogram, and in this locality the liquid strata hid enough to make the fortunes of a whole host of coral fishermen. This valuable substance often merges with other polyparies, forming compact, hopelessly tangled units known as "macciota," and I noted some wonderful pink samples of this coral.
258_130878_000054_000001	The light from our glass coils produced magical effects at times, lingering on the wrinkled roughness of some natural arch, or some overhang suspended like a chandelier, which our lamps flecked with fiery sparks.	The light from our glass coils produced magical effects at times, lingering on the wrinkled roughness of some natural arch, or some overhang suspended like a chandelier, which our lamps flecked with fiery sparks.
258_130878_000055_000000	Finally, after two hours of walking, we reached a depth of about 300 meters, in other words, the lowermost limit at which coral can begin to form.	Finally, after two hours of walking, we reached a depth of about three hundred meters, in other words, the lowermost limit at which coral can begin to form.
258_130878_000055_000001	But here it was no longer some isolated bush or a modest grove of low timber.	But here it was no longer some isolated bush or a modest grove of low timber.
258_130878_000056_000000	What an indescribable sight!	What an indescribable sight!
258_130878_000056_000001	Oh, if only we could share our feelings! Why were we imprisoned behind these masks of metal and glass! Why were we forbidden to talk with each other!	Oh, if only we could share our feelings! Why were we imprisoned behind these masks of metal and glass! Why were we forbidden to talk with each other!
258_130878_000057_000000	Meanwhile Captain Nemo had called a halt.	Meanwhile Captain Nemo had called a halt.
258_130878_000057_000001	My companions and I stopped walking, and turning around, I saw the crewmen form a semicircle around their leader.	My companions and I stopped walking, and turning around, I saw the crewmen form a semicircle around their leader.
258_130878_000057_000002	Looking with greater care, I observed that four of them were carrying on their shoulders an object that was oblong in shape.	Looking with greater care, I observed that four of them were carrying on their shoulders an object that was oblong in shape.
258_130878_000058_000000	At this locality we stood in the center of a huge clearing surrounded by the tall tree forms of this underwater forest. Our lamps cast a sort of brilliant twilight over the area, making inordinately long shadows on the seafloor.	At this locality we stood in the center of a huge clearing surrounded by the tall tree forms of this underwater forest. Our lamps cast a sort of brilliant twilight over the area, making inordinately long shadows on the seafloor.
258_130878_000058_000001	Past the boundaries of the clearing, the darkness deepened again, relieved only by little sparkles given off by the sharp crests of coral.	Past the boundaries of the clearing, the darkness deepened again, relieved only by little sparkles given off by the sharp crests of coral.
258_130878_000059_000000	Ned Land and Conseil stood next to me.	Ned Land and Conseil stood next to me.
258_130878_000059_000001	We stared, and it dawned on me that I was about to witness a strange scene. Observing the seafloor, I saw that it swelled at certain points from low bulges that were encrusted with limestone deposits and arranged with a symmetry that betrayed the hand of man.	We stared, and it dawned on me that I was about to witness a strange scene. Observing the seafloor, I saw that it swelled at certain points from low bulges that were encrusted with limestone deposits and arranged with a symmetry that betrayed the hand of man.
258_130878_000060_000000	In the middle of the clearing, on a pedestal of roughly piled rocks, there stood a cross of coral, extending long arms you would have thought were made of petrified blood.	In the middle of the clearing, on a pedestal of roughly piled rocks, there stood a cross of coral, extending long arms you would have thought were made of petrified blood.
258_130878_000061_000000	At a signal from Captain Nemo, one of his men stepped forward and, a few feet from this cross, detached a mattock from his belt and began to dig a hole.	At a signal from Captain Nemo, one of his men stepped forward and, a few feet from this cross, detached a mattock from his belt and began to dig a hole.
258_130878_000062_000000	I finally understood!	I finally understood!
258_130878_000062_000001	This clearing was a cemetery, this hole a grave, that oblong object the body of the man who must have died during the night!	This clearing was a cemetery, this hole a grave, that oblong object the body of the man who must have died during the night!
258_130878_000062_000002	Captain Nemo and his men had come to bury their companion in this communal resting place on the inaccessible ocean floor!	Captain Nemo and his men had come to bury their companion in this communal resting place on the inaccessible ocean floor!
258_130878_000063_000000	No!	No!
258_130878_000063_000001	My mind was reeling as never before!	My mind was reeling as never before!
258_130878_000063_000002	Never had ideas of such impact raced through my brain!	Never had ideas of such impact raced through my brain!
258_130878_000064_000000	Meanwhile the grave digging went slowly.	Meanwhile the grave digging went slowly.
258_130878_000064_000002	I heard the pick ringing on the limestone soil, its iron tip sometimes giving off sparks when it hit a stray piece of flint on the sea bottom.	I heard the pick ringing on the limestone soil, its iron tip sometimes giving off sparks when it hit a stray piece of flint on the sea bottom.
258_130878_000064_000003	The hole grew longer, wider, and soon was deep enough to receive the body.	The hole grew longer, wider, and soon was deep enough to receive the body.
258_130878_000065_000000	Then the pallbearers approached.	Then the pallbearers approached.
258_130878_000066_000000	The grave was then covered over with the rubble dug from the seafloor, and it formed a low mound.	The grave was then covered over with the rubble dug from the seafloor, and it formed a low mound.
258_130878_000067_000000	When this was done, Captain Nemo and his men stood up; then they all approached the grave, sank again on bended knee, and extended their hands in a sign of final farewell. . . .	When this was done, Captain Nemo and his men stood up; then they all approached the grave, sank again on bended knee, and extended their hands in a sign of final farewell. . . .
258_130878_000068_000000	Then the funeral party went back up the path to the Nautilus, returning beneath the arches of the forest, through the thickets, along the coral bushes, going steadily higher.	Then the funeral party went back up the path to the Nautilus, returning beneath the arches of the forest, through the thickets, along the coral bushes, going steadily higher.
258_130878_000069_000000	Finally the ship's rays appeared.	Finally the ship's rays appeared.
258_130878_000069_000001	Their luminous trail guided us to the Nautilus.	Their luminous trail guided us to the Nautilus.
258_130878_000069_000002	By one o'clock we had returned.	By one o'clock we had returned.
258_130878_000070_000000	After changing clothes, I climbed onto the platform, and in the grip of dreadfully obsessive thoughts, I sat next to the beacon.	After changing clothes, I climbed onto the platform, and in the grip of dreadfully obsessive thoughts, I sat next to the beacon.
258_130878_000071_000000	Captain Nemo rejoined me.	Captain Nemo rejoined me.
258_130878_000072_000000	"So, as I predicted, that man died during the night?"	"So, as I predicted, that man died during the night?"
258_130878_000073_000000	"Yes, Professor Aronnax," Captain Nemo replied.	"Yes, Professor Aronnax," Captain Nemo replied.
258_130878_000074_000000	"And now he rests beside his companions in that coral cemetery?"	"And now he rests beside his companions in that coral cemetery?"
258_130878_000075_000000	"Yes, forgotten by the world but not by us!	"Yes, forgotten by the world but not by us!
258_130878_000075_000001	We dig the graves, then entrust the polyps with sealing away our dead for eternity!"	We dig the graves, then entrust the polyps with sealing away our dead for eternity!"
258_130878_000077_000000	"There lies our peaceful cemetery, hundreds of feet beneath the surface of the waves!"	"There lies our peaceful cemetery, hundreds of feet beneath the surface of the waves!"
258_130878_000078_000000	"At least, captain, your dead can sleep serenely there, out of the reach of sharks!"	"At least, captain, your dead can sleep serenely there, out of the reach of sharks!"
258_130878_000079_000000	"Yes, sir," Captain Nemo replied solemnly, "of sharks and men!"	"Yes, sir," Captain Nemo replied solemnly, "of sharks and men!"
