5731_50778_000000_000000	VI.	VI.	false	12.03	12.45	6
5731_50778_000007_000001	"But where is Baby Larry?" she cried, looking over the group with searching eye.	"But where is Baby Larry?" she cried, looking over the group with searching eye.	true	131.63	136.18	26.042582
5731_50778_000007_000002	"Didn't he come?"	"Didn't he come?"	true	136.46	137.68	24.841637
5731_50778_000008_000000	"Larry!	"Larry!	true	137.93	138.82	29.971283
5731_50778_000008_000001	Larry!" Good Gracious, where was Larry?	Larry!" Good Gracious, where was Larry?	true	138.86	142.15	25.154171
5731_50778_000008_000002	They were all sure that he had come in with them, for Susan remembered scolding him for tripping over the door-mat.	They were all sure that he had come in with them, for Susan remembered scolding him for tripping over the door mat.	true	142.52	148.75	21.475536
5731_50778_000008_000003	Uncle Jack went into convulsions of laughter.	Uncle Jack went into convulsions of laughter.	true	148.91	152.02	23.577988
5731_50778_000008_000004	"Are you sure there were nine of you?" he asked, merrily.	"Are you sure there were nine of you?" he asked, merrily.	true	152.09	155.38	20.784084
5731_50778_000009_000000	"I think so, sir," said Peoria, timidly; "but, anyhow, there was Larry;" and she showed signs of weeping.	"I think so, sir," said Peoria, timidly; "but, anyhow, there was Larry;" and she showed signs of weeping.	true	155.6	162.97	22.680656
5731_50778_000010_000000	"Oh, well, cheer up!" cried Uncle Jack.	"Oh, well, cheer up!" cried Uncle Jack.	true	163.16	166.035	28.199066
5731_50778_000010_000001	"I guess he's not lost--only mislaid.	"I guess he's not lost-only mislaid.	true	166.035	168.79	21.419188
5731_50778_000010_000002	I'll go and find him before you can say Jack Robinson!"	I'll go and find him before you can say Jack Robinson!"	true	168.86	171.72	26.075104
5731_50778_000011_000000	"I'll go, too, if you please, sir," said Sarah Maud, "for it was my place to mind him, an' if he's lost I can't relish my vittles!"	"I'll go, too, if you please, sir," said Sarah Maud, "for it was my place to mind him, an' if he's lost I can't relish my vittles!"	false	171.72	179.65	24.480972
5731_50778_000012_000000	The other Ruggleses stood rooted to the floor.	The other Ruggleses stood rooted to the floor.	true	180.05	182.74	26
5731_50778_000012_000001	Was this a dinner party, forsooth; and, if so, why were such things ever spoken of as festive occasions?	Was this a dinner party, forsooth; and, if so, why were such things ever spoken of as festive occasions?	false	182.9	189.7	23
5731_50778_000013_000000	Sarah Maud went out through the hall, calling, "Larry!	Sarah Maud went out through the hall, calling, "Larry!	true	189.98	193.06	25.696589
5731_50778_000013_000001	Larry!" and without any interval of suspense a thin voice piped up from below, "Here I be!" The truth was that Larry, being deserted by his natural guardian, dropped behind the rest, and wriggled into the hat-tree to wait for her, having no notion of walking unprotected into the jaws of a dinner-party.	Larry!" and without any interval of suspense a thin voice piped up from below, "Here I be!" The truth was that Larry, being deserted by his natural guardian, dropped behind the rest, and wriggled into the hat tree to wait for her, having no notion of walking unprotected into the jaws of a dinner party.	false	193.07	213.01	24.316467
5731_50778_000013_000002	Finding that she did not come, he tried to crawl from his refuge and call somebody, when--dark and dreadful ending to a tragic day--he found that he was too much intertwined with umbrellas and canes to move a single step.	Finding that she did not come, he tried to crawl from his refuge and call somebody, when-dark and dreadful ending to a tragic day-he found that he was too much intertwined with umbrellas and canes to move a single step.	false	213.29	227.5	24.399866
5731_50778_000013_000003	He was afraid to yell!	He was afraid to yell!	true	227.6	229.24	25.204803
5731_50778_000013_000004	When I have said this of Larry Ruggles I have pictured a state of helpless terror that ought to wring tears from every eye; and the sound of Sarah Maud's beloved voice, some seconds later, was like a strain of angel music in his ears.	When I have said this of Larry Ruggles I have pictured a state of helpless terror that ought to wring tears from every eye; and the sound of Sarah Maud's beloved voice, some seconds later, was like a strain of angel music in his ears.	false	229.55	243.01	23
5731_50778_000013_000005	Uncle Jack dried his tears, carried him upstairs, and soon had him in breathless fits of laughter, while Carol so made the other Ruggleses forget themselves that they were soon talking like accomplished diners-out.	Uncle Jack dried his tears, carried him upstairs, and soon had him in breathless fits of laughter, while Carol so made the other Ruggleses forget themselves that they were soon talking like accomplished diners out.	true	243.32	257.92	24.326363
5731_50778_000014_000000	Carol's bed had been moved into the farthest corner of the room, and she was lying on the outside, dressed in a wonderful soft white wrapper.	Carol's bed had been moved into the farthest corner of the room, and she was lying on the outside, dressed in a wonderful soft white wrapper.	true	257.96	265.96	24.271885
5731_50778_000014_000001	Her golden hair fell in soft fluffy curls over her white forehead and neck, her cheeks flushed delicately, her eyes beamed with joy, and the children told their mother, afterwards, that she looked as beautiful as the pictures of the Blessed Virgin.	Her golden hair fell in soft fluffy curls over her white forehead and neck, her cheeks flushed delicately, her eyes beamed with joy, and the children told their mother, afterwards, that she looked as beautiful as the pictures of the Blessed Virgin.	true	266.06	279.94	24.356726
5731_50778_000014_000002	There was great bustle behind a huge screen in another part of the room, and at half-past five this was taken away, and the Christmas dinner-table stood revealed.	There was great bustle behind a huge screen in another part of the room, and at half past five this was taken away, and the Christmas dinner table stood revealed.	true	280.52	289.96	27
5731_50778_000014_000003	What a wonderful sight it was to the poor little Ruggles children, who ate their sometimes scanty meals on the kitchen table!	What a wonderful sight it was to the poor little Ruggles children, who ate their sometimes scanty meals on the kitchen table!	true	290.18	297.28	25
5731_50778_000014_000004	It blazed with tall colored candles, it gleamed with glass and silver, it blushed with flowers, it groaned with good things to eat; so it was not strange that the Ruggleses, forgetting that their mother was a McGrill, shrieked in admiration of the fairy spectacle.	It blazed with tall colored candles, it gleamed with glass and silver, it blushed with flowers, it groaned with good things to eat; so it was not strange that the Ruggleses, forgetting that their mother was a McGrill, shrieked in admiration of the fairy spectacle.	true	297.47	314.26	24.116924
5731_50778_000014_000005	But Larry's behavior was the most disgraceful, for he stood not upon the order of his going, but went at once for a high chair that pointed unmistakably to him, climbed up like a squirrel, gave a comprehensive look at the turkey, clapped his hands in ecstacy, rested his fat arms on the table, and cried, with joy, "I beat the hull lot o' yer!" Carol laughed until she cried, giving orders, meanwhile, "Uncle Jack, please sit at the head, Sarah Maud at the foot, and that will leave four on each side; Mama is going to help Elfrida, so that the children need not look after each other, but just have a good time."	But Larry's behavior was the most disgraceful, for he stood not upon the order of his going, but went at once for a high chair that pointed unmistakably to him, climbed up like a squirrel, gave a comprehensive look at the turkey, clapped his hands in ecstacy, rested his fat arms on the table, and cried, with joy, "I beat the hull lot o' yer!" Carol laughed until she cried, giving orders, meanwhile, "Uncle Jack, please sit at the head, Sarah Maud at the foot, and that will leave four on each side; Mama is going to help Elfrida, so that the children need not look after each other, but just have a good time."	false	314.42	353.71	25.216095
5731_50778_000015_000000	A sprig of holly lay by each plate, and nothing would do but each little Ruggles must leave his seat and have it pinned on by Carol, and as each course was served one of them pleaded to take something to her. There was hurrying to and fro, I can assure you, for it is quite a difficult matter to serve a Christmas dinner on the third floor of a great city house; but if every dish had had to be carried up a rope ladder the servants would gladly have done so.	A sprig of holly lay by each plate, and nothing would do but each little Ruggles must leave his seat and have it pinned on by Carol, and as each course was served one of them pleaded to take something to her. There was hurrying to and fro, I can assure you, for it is quite a difficult matter to serve a Christmas dinner on the third floor of a great city house; but if every dish had had to be carried up a rope ladder the servants would gladly have done so.	true	354.05	381.13	23.989096
5731_50778_000015_000001	There was turkey and chicken, with delicious gravy and stuffing, and there were half-a-dozen vegetables, with cranberry jelly, and celery, and pickles; and as for the way these delicacies were served, the Ruggleses never forgot it as long as they lived.	There was turkey and chicken, with delicious gravy and stuffing, and there were half a dozen vegetables, with cranberry jelly, and celery, and pickles; and as for the way these delicacies were served, the Ruggleses never forgot it as long as they lived.	true	381.68	396.97	25.012276
5731_50778_000016_000000	Peter nudged Kitty, who sat next him, and said, "Look, will yer, ev'ry feller's got his own partic'lar butter; I suppose that's to show yer can eat that much 'n no more.	peter nudged Kitty, who sat next him, and said, "Look, will yer, ev'ry feller's got his own partic'lar butter; I suppose that's to show yer can eat that much 'n no more.	false	397.34	407.4	25
5731_50778_000016_000001	No, it ain't neither, for that pig of a Peory's just gittin' another helpin'!" "Yes," whispered Kitty, "an' the napkins is marked with big red letters.	No, it ain't neither, for that pig of a Peory's just gittin' another helpin'!" "Yes," whispered Kitty, "an' the napkins is marked with big red letters.	false	407.4	415.81	24.618431
5731_50778_000016_000002	I wonder if that's so nobody 'll nip 'em; an' oh, Peter, look at the pictures painted right on ter the dishes.	I wonder if that's so nobody 'l l nip 'em; an' oh, peter, look at the pictures painted right on ter the dishes.	false	415.82	422.32	19
5731_50778_000016_000003	Did yer ever!"	Did yer ever!"	false	422.33	423.67	26.83848
5731_50778_000017_000000	"The plums is all took out o' my cramb'ry sarse, an' it's friz to a stiff jell!" shouted Peoria, in wild excitement.	"The plums is all took out o' my cramb'ry sarse, an' it's friz to a stiff jell!" shouted Peoria, in wild excitement.	false	425.12	432.72	25.681437
5731_50778_000018_000000	"Hi--yah!	"Hi-yah!	false	432.72	433.86	22
5731_50778_000018_000001	I got a wish-bone!" sung Larry, regardless of Sarah Maud's frown; after which she asked to have his seat changed, giving as excuse that he gen'ally set beside her, an' would "feel strange;" the true reason being that she desired to kick him gently, under the table, whenever he passed what might be termed "the McGrill line."	I got a wish bone!" sung Larry, regardless of Sarah Maud's frown; after which she asked to have his seat changed, giving as excuse that he gen'ally set beside her, an' would "feel strange;" the true reason being that she desired to kick him gently, under the table, whenever he passed what might be termed "the McGrill line."	false	433.86	454.36	24.413195
5731_50778_000019_000000	"I declare to goodness," murmured Susan, on the other side, "there's so much to look at I can't scarcely eat nothin!"	"I declare to goodness," murmured Susan, on the other side, "there's so much to look at I can't scarcely eat nothin!"	true	454.97	462	27.057682
5731_50778_000020_000000	"Bet yer life I can!" said Peter, who had kept one servant busily employed ever since he sat down; for, luckily, no one was asked by Uncle Jack whether he would have a second helping, but the dishes were quietly passed under their noses, and not a single Ruggles refused anything that was offered him, even unto the seventh time.	"Bet yer life I can!" said peter, who had kept one servant busily employed ever since he sat down; for, luckily, no one was asked by Uncle Jack whether he would have a second helping, but the dishes were quietly passed under their noses, and not a single Ruggles refused anything that was offered him, even unto the seventh time.	false	462	482.65	24.061337
5731_50778_000020_000001	Then, when Carol and Uncle Jack perceived that more turkey was a physical impossibility, the meats were taken off and the dessert was brought in--a dessert that would have frightened a strong man after such a dinner as had preceded it.	Then, when Carol and Uncle Jack perceived that more turkey was a physical impossibility, the meats were taken off and the dessert was brought in-a dessert that would have frightened a strong man after such a dinner as had preceded it.	true	482.96	495.79	23
5731_50778_000020_000002	Not so the Ruggleses--for a strong man is nothing to a small boy--and they kindled to the dessert as if the turkey had been a dream and the six vegetables an optical delusion. There was plum-pudding, mince-pie, and ice-cream, and there were nuts, and raisins, and oranges.	Not so the Ruggleses-for a strong man is nothing to a small boy-and they kindled to the dessert as if the turkey had been a dream and the six vegetables an optical delusion. There was plum pudding, mince pie, and ice cream, and there were nuts, and raisins, and oranges.	false	495.92	513.93	23
5731_50778_000020_000003	Kitty chose ice-cream, explaining that she knew it "by sight," but hadn't never tasted none; but all the rest took the entire variety, without any regard to consequences.	Kitty chose ice cream, explaining that she knew it "by sight," but hadn't never tasted none; but all the rest took the entire variety, without any regard to consequences.	true	513.93	525.1	25.85199
5731_50778_000021_000000	"My dear child," whispered Uncle Jack, as he took Carol an orange, "there is no doubt about the necessity of this feast, but I do advise you after this to have them twice a year, or quarterly, perhaps, for the way they eat is positively dangerous; I assure you I tremble for that terrible Peoria.	"My dear child," whispered Uncle Jack, as he took Carol an orange, "there is no doubt about the necessity of this feast, but I do advise you after this to have them twice a year, or quarterly, perhaps, for the way they eat is positively dangerous; I assure you I tremble for that terrible Peoria.	true	525.86	544.24	24.888212
5731_50778_000021_000001	I'm going to run races with her after dinner."	I'm going to run races with her after dinner."	true	544.37	546.82	24.19425
5731_50778_000022_000000	"Never mind," laughed Carol, "let them eat for once; it does my heart good to see them, and they shall come oftener next year."	"Never mind," laughed Carol, "let them eat for once; it does my heart good to see them, and they shall come oftener next year."	false	546.98	554.14	25.537899
5731_50778_000023_000000	The feast being over, the Ruggleses lay back in their chairs languidly, and the table was cleared in a trice; then a door was opened into the next room, and there, in a corner facing Carol's bed, which had been wheeled as close as possible, stood the brilliantly lighted Christmas-tree, glittering with gilded walnuts and tiny silver balloons, and wreathed with snowy chains of pop-corn.	The feast being over, the Ruggleses lay back in their chairs languidly, and the table was cleared in a trice; then a door was opened into the next room, and there, in a corner facing Carol's bed, which had been wheeled as close as possible, stood the brilliantly lighted Christmas tree, glittering with gilded walnuts and tiny silver balloons, and wreathed with snowy chains of pop corn.	true	554.84	577.87	24.709337
5731_50778_000023_000001	The presents had been bought mostly with Carol's story money, and were selected after long consultations with Mrs. Bird.	The presents had been bought mostly with Carol's story money, and were selected after long consultations with mrs Bird.	false	578	584.44	24.500364
5731_50778_000023_000002	Each girl had a blue knitted hood, and each boy a red crocheted comforter, all made by Mama, Carol and Elfrida ("because if you buy everything, it doesn't show so much love," said Carol).	Each girl had a blue knitted hood, and each boy a red crocheted comforter, all made by Mama, Carol and Elfrida ("because if you buy everything, it doesn't show so much love," said Carol).	true	584.63	596.2	27.281485
5731_50778_000023_000003	Then every girl had a pretty plaid dress of a different color, and every boy a warm coat of the right size.	Then every girl had a pretty plaid dress of a different color, and every boy a warm coat of the right size.	true	596.39	602.77	25
5731_50778_000023_000004	Here the useful presents stopped, and they were quite enough; but Carol had pleaded to give them something "for fun."	Here the useful presents stopped, and they were quite enough; but Carol had pleaded to give them something "for fun."	true	602.9	609.55	25.042255
5731_50778_000023_000005	"I know they need the clothes," she had said, when they were talking over the matter just after Thanksgiving, "but they don't care much for them, after all.	"I know they need the clothes," she had said, when they were talking over the matter just after Thanksgiving, "but they don't care much for them, after all.	true	609.8	617.38	24.903854
5731_50778_000023_000006	Now, Papa, won't you PLEASE let me go without part of my presents this year, and give me the money they would cost, to buy something to amuse them?"	Now, Papa, won't you PLEASE let me go without part of my presents this year, and give me the money they would cost, to buy something to amuse them?"	false	617.39	625.6	26.94951
5731_50778_000024_000000	"You can have both," said Mr. Bird, promptly; "is there any need of my little girl's going without her Christmas, I should like to know? Spend all the money you like."	"You can have both," said mr Bird, promptly; "is there any need of my little girl's going without her Christmas, I should like to know? Spend all the money you like."	true	625.76	634.75	25.217161
5731_50778_000025_000000	"But that isn't the thing," objected Carol, nestling close to her father; "it wouldn't be mine.	"But that isn't the thing," objected Carol, nestling close to her father; "it wouldn't be mine.	true	634.85	640.03	23.024343
5731_50778_000025_000001	What is the use?	What is the use?	true	640.16	641.28	26.611687
5731_50778_000025_000002	Haven't I almost everything already, and am I not the happiest girl in the world this year, with Uncle Jack and Donald at home?	Haven't I almost everything already, and am I not the happiest girl in the world this year, with Uncle Jack and Donald at home?	true	641.28	648.13	21
5731_50778_000025_000003	Now, Papa, you know very well it is more blessed to give than to receive; then why won't you let me do it?	Now, Papa, you know very well it is more blessed to give than to receive; then why won't you let me do it?	false	648.29	654.34	25.666056
5731_50778_000025_000004	You never look half as happy when you are getting your presents as when you are giving us ours.	You never look half as happy when you are getting your presents as when you are giving us ours.	true	654.35	658.66	20
5731_50778_000025_000005	Now, Papa, submit, or I shall have to be very firm and disagreeable with you!"	Now, Papa, submit, or I shall have to be very firm and disagreeable with you!"	true	658.76	663.76	24.895313
5731_50778_000026_000000	"Very well, your Highness, I surrender."	"Very well, your Highness, I surrender."	true	664.25	666.46	21.419878
5731_50778_000027_000000	"That's a dear Papa!	"That's a dear Papa!	true	666.56	668.01	29.804836
5731_50778_000027_000001	Now, what were you going to give me?	Now, what were you going to give me?	true	668.01	670.005	29.530575
5731_50778_000027_000002	Confess!"	Confess!"	true	670.005	670.84	24.522015
5731_50778_000028_000000	"A bronze figure of Santa Claus; and in the little round belly, that shakes, when he laughs, like a bowl full of jelly, is a wonderful clock.	"A bronze figure of Santa Claus; and in the little round belly, that shakes, when he laughs, like a bowl full of jelly, is a wonderful clock.	true	671.21	679.095	21
5731_50778_000028_000001	Oh, you would never give it up if you could see it."	Oh, you would never give it up if you could see it."	true	679.095	681.79	26.144688
5731_50778_000029_000000	"Nonsense," laughed Carol; "as I never have to get up to breakfast, nor go to bed, nor catch trains, I think my old clock will do very well! Now, Mama, what were you going to give me?"	"Nonsense," laughed Carol; "as I never have to get up to breakfast, nor go to bed, nor catch trains, I think my old clock will do very well! Now, Mama, what were you going to give me?"	true	682.19	692.74	23.872879
5731_50778_000030_000000	"Oh, I hadn't decided.	"Oh, I hadn't decided.	true	693.05	695.32	22.251156
5731_50778_000030_000001	A few more books, and a gold thimble, and a smelling-bottle, and a music-box."	A few more books, and a gold thimble, and a smelling bottle, and a music box."	true	695.33	699.91	25.37791
5731_50778_000031_000000	"Poor Carol," laughed the child, merrily, "she can afford to give up these lovely things, for there will still be left Uncle Jack, and Donald, and Paul, and Hugh, and Uncle Rob, and Aunt Elsie, and a dozen other people."	"Poor Carol," laughed the child, merrily, "she can afford to give up these lovely things, for there will still be left Uncle Jack, and Donald, and Paul, and Hugh, and Uncle Rob, and Aunt Elsie, and a dozen other people."	true	700.25	713.02	25.79197
5731_50778_000032_000000	So Carol had her way, as she generally did, but it was usually a good way, which was fortunate, under the circumstances; and Sarah Maud had a set of Miss Alcott's books, and Peter a modest silver watch, Cornelius a tool-chest, Clement a dog-house for his "lame puppy," Larry a magnificent Noah's ark, and each of the little girls a beautiful doll. You can well believe that everybody was very merry and very thankful. All the family, from Mr. Bird down to the cook, said they had never seen so much happiness in the space of three hours; but it had to end, as all things do.	So Carol had her way, as she generally did, but it was usually a good way, which was fortunate, under the circumstances; and Sarah Maud had a set of Miss Alcott's books, and peter a modest silver watch, Cornelius a tool chest, Clement a dog house for his "lame puppy," Larry a magnificent Noah's ark, and each of the little girls a beautiful doll. You can well believe that everybody was very merry and very thankful. All the family, from mr Bird down to the cook, said they had never seen so much happiness in the space of three hours; but it had to end, as all things do.	false	713.45	750.4	23.865063
5731_50778_000032_000001	The candles flickered and went out, the tree was left alone with its gilded ornaments, and Mrs. Bird sent the children down stairs at half-past eight, thinking that Carol looked tired.	The candles flickered and went out, the tree was left alone with its gilded ornaments, and mrs Bird sent the children down stairs at half past eight, thinking that Carol looked tired.	true	750.71	761.29	24.164978
5731_50778_000033_000000	"Now, my darling, you have done quite enough for one day," said Mrs. Bird, getting Carol into her little night-dress; "I am afraid you will feel worse to-morrow, and that would be a sad ending to such a good time."	"Now, my darling, you have done quite enough for one day," said mrs Bird, getting Carol into her little night dress; "I am afraid you will feel worse to morrow, and that would be a sad ending to such a good time."	true	762.53	774.25	22.793947
5731_50778_000034_000000	"Oh, wasn't it a lovely, lovely time," sighed Carol.	"Oh, wasn't it a lovely, lovely time," sighed Carol.	true	774.26	778.06	22.487127
5731_50778_000034_000001	"From first to last, everything was just right.	"From first to last, everything was just right.	true	778.1	781	22.33755
5731_50778_000034_000002	I shall never forget Larry's face when he looked at the turkey; nor Peter's, when he saw his watch; nor that sweet, sweet Kitty's smile when she kissed her dolly; nor the tears in poor, dull Sarah Maud's eyes when she thanked me for her books; nor--"	I shall never forget Larry's face when he looked at the turkey; nor Peter's, when he saw his watch; nor that sweet, sweet Kitty's smile when she kissed her dolly; nor the tears in poor, dull Sarah Maud's eyes when she thanked me for her books; nor-"	false	781.13	795.6	22
5731_50778_000035_000000	"But we mustn't talk any longer about it to-night," said Mrs. Bird, anxiously; "you are too tired, dear."	"But we mustn't talk any longer about it to night," said mrs Bird, anxiously; "you are too tired, dear."	true	795.6	802.18	27.32297
5731_50778_000036_000000	"I am not so very tired, Mama.	"I am not so very tired, Mama.	true	802.64	804.735	26.07322
5731_50778_000036_000001	I have felt well all day; not a bit of pain anywhere.	I have felt well all day; not a bit of pain anywhere.	true	804.735	807.85	26.05463
5731_50778_000036_000002	Perhaps this has done me good."	Perhaps this has done me good."	true	807.98	809.95	34.04208
5731_50778_000037_000000	"Perhaps; I hope so.	"Perhaps; I hope so.	true	810.23	812.08	27.300816
5731_50778_000037_000001	There was no noise or confusion; it was just a merry time.	There was no noise or confusion; it was just a merry time.	true	812.39	815.74	24.591398
5731_50778_000037_000002	Now, may I close the door and leave you alone?	Now, may I close the door and leave you alone?	true	815.9	818.53	24.33988
5731_50778_000037_000003	I will steal in softly the first thing in the morning, and see if you are all right; but I think you need to be quiet."	I will steal in softly the first thing in the morning, and see if you are all right; but I think you need to be quiet."	true	818.69	824.86	23.15917
5731_50778_000038_000000	"Oh, I'm willing to stay alone; but I am not sleepy yet, and I am going to hear the music by and by, you know."	"Oh, I'm willing to stay alone; but I am not sleepy yet, and I am going to hear the music by and by, you know."	true	825.08	830.68	21.71517
5731_50778_000039_000000	"Yes, I have opened the window a little, and put the screen in front of it, so that you will not feel the air."	"Yes, I have opened the window a little, and put the screen in front of it, so that you will not feel the air."	true	831.05	836.92	24.63648
5731_50778_000040_000000	"Can I have the shutters open; and won't you turn my bed a little, please?	"Can I have the shutters open; and won't you turn my bed a little, please?	true	837.2	840.85	26
5731_50778_000040_000001	This morning I woke ever so early, and one bright beautiful star shone in that eastern window.	This morning I woke ever so early, and one bright beautiful star shone in that eastern window.	false	840.89	846.37	16
5731_50778_000040_000002	I never saw it before, and I thought of the Star in the East, that guided the wise men to the place where Jesus was.	I never saw it before, and I thought of the Star in the East, that guided the wise men to the place where Jesus was.	true	846.38	852.49	22
5731_50778_000040_000003	Good night, Mama.	Good night, Mama.	true	852.59	853.695	31.099926
5731_50778_000040_000004	Such a happy, happy day!"	Such a happy, happy day!"	true	853.695	855.61	28.49566
5731_50778_000041_000000	"Good night, my precious little Christmas Carol--mother's blessed Christmas child."	"Good night, my precious little Christmas Carol-mother's blessed Christmas child."	true	855.95	861.49	27.606157
5731_50778_000042_000000	"Bend your head a minute, mother dear," whispered Carol, calling her mother back.	"Bend your head a minute, mother dear," whispered Carol, calling her mother back.	true	862.25	866.14	24
5731_50778_000042_000001	"Mama, dear, I do think that we have kept Christ's birthday this time just as He would like it.	"Mama, dear, I do think that we have kept Christ's birthday this time just as He would like it.	true	866.18	871.81	25.163822
5731_50778_000042_000002	Don't you?"	Don't you?"	true	872.06	873.04	28.06869
5731_50778_000043_000000	"I am sure of it," said Mrs. Bird, softly.	"I am sure of it," said mrs Bird, softly.	true	873.41	876.63	25.958824
5731_50778_000044_000000	VII.	seven.	false	876.63	876.63	
5731_50778_000045_000000	THE BIRDLING FLIES AWAY.	THE b i r d l i n g FLIES AWAY.	false	876.63	876.81	-20
5731_50778_000046_000000	The Ruggleses had finished a last romp in the library with Paul and Hugh, and Uncle Jack had taken them home, and stayed a while to chat with Mrs. Ruggles, who opened the door for them, her face all aglow with excitement and delight.	The Ruggleses had finished a last romp in the library with Paul and Hugh, and Uncle Jack had taken them home, and stayed a while to chat with mrs Ruggles, who opened the door for them, her face all aglow with excitement and delight.	false	876.81	877.59	-20
5731_50778_000046_000001	When Kitty and Clem showed her the oranges and nuts they had kept for her, she astonished them by saying that at six o'clock Mrs. Bird had sent her in the finest dinner she had ever seen in her life; and not only that, but a piece of dress-goods that must have cost a dollar a yard if it cost a cent.	When Kitty and Clem showed her the oranges and nuts they had kept for her, she astonished them by saying that at six o'clock mrs Bird had sent her in the finest dinner she had ever seen in her life; and not only that, but a piece of dress goods that must have cost a dollar a yard if it cost a cent.	false	877.59	878.55	20.448763
5731_50778_000046_000002	As Uncle Jack went down the little porch he looked back into the window for a last glimpse of the family, as the children gathered about their mother, showing their beautiful presents again and again, and then upward to a window in the great house yonder.	As Uncle Jack went down the little porch he looked back into the window for a last glimpse of the family, as the children gathered about their mother, showing their beautiful presents again and again, and then upward to a window in the great house yonder.	false	878.55	882.12	37.68808
5731_50778_000046_000003	"A little child shall lead them," he thought; "well, if--if anything ever happens to Carol, I will take the Ruggleses under my wing."	"A little child shall lead them," he thought; "well, if-if anything ever happens to Carol, I will take the Ruggleses under my wing."	false	882.12	884.82	-20
