5731_50778_000001_000000	"WHEN THE PIE WAS OPENED, THE BIRDS BEGAN TO SING!"	"WHEN THE PIE WAS OPENED, THE BIRDS BEGAN TO SING!"
5731_50778_000028_000001	Oh, you would never give it up if you could see it."	Oh, you would never give it up if you could see it."
5731_50778_000029_000000	"Nonsense," laughed Carol; "as I never have to get up to breakfast, nor go to bed, nor catch trains, I think my old clock will do very well! Now, Mama, what were you going to give me?"	"Nonsense," laughed Carol; "as I never have to get up to breakfast, nor go to bed, nor catch trains, I think my old clock will do very well! Now, Mama, what were you going to give me?"
5731_50778_000030_000000	"Oh, I hadn't decided.	"Oh, I hadn't decided.
5731_50778_000030_000001	A few more books, and a gold thimble, and a smelling-bottle, and a music-box."	A few more books, and a gold thimble, and a smelling bottle, and a music box."
5731_50778_000031_000000	"Poor Carol," laughed the child, merrily, "she can afford to give up these lovely things, for there will still be left Uncle Jack, and Donald, and Paul, and Hugh, and Uncle Rob, and Aunt Elsie, and a dozen other people."	"Poor Carol," laughed the child, merrily, "she can afford to give up these lovely things, for there will still be left Uncle Jack, and Donald, and Paul, and Hugh, and Uncle Rob, and Aunt Elsie, and a dozen other people."
5731_50778_000032_000001	The candles flickered and went out, the tree was left alone with its gilded ornaments, and Mrs. Bird sent the children down stairs at half-past eight, thinking that Carol looked tired.	The candles flickered and went out, the tree was left alone with its gilded ornaments, and mrs Bird sent the children down stairs at half past eight, thinking that Carol looked tired.
5731_50778_000033_000000	"Now, my darling, you have done quite enough for one day," said Mrs. Bird, getting Carol into her little night-dress; "I am afraid you will feel worse to-morrow, and that would be a sad ending to such a good time."	"Now, my darling, you have done quite enough for one day," said mrs Bird, getting Carol into her little night dress; "I am afraid you will feel worse to morrow, and that would be a sad ending to such a good time."
5731_50778_000034_000000	"Oh, wasn't it a lovely, lovely time," sighed Carol.	"Oh, wasn't it a lovely, lovely time," sighed Carol.
5731_50778_000034_000001	"From first to last, everything was just right.	"From first to last, everything was just right.
5731_50778_000035_000000	"But we mustn't talk any longer about it to-night," said Mrs. Bird, anxiously; "you are too tired, dear."	"But we mustn't talk any longer about it to night," said mrs Bird, anxiously; "you are too tired, dear."
5731_50778_000036_000000	"I am not so very tired, Mama.	"I am not so very tired, Mama.
5731_50778_000036_000001	I have felt well all day; not a bit of pain anywhere.	I have felt well all day; not a bit of pain anywhere.
5731_50778_000036_000002	Perhaps this has done me good."	Perhaps this has done me good."
5731_50778_000037_000000	"Perhaps; I hope so.	"Perhaps; I hope so.
5731_50778_000037_000001	There was no noise or confusion; it was just a merry time.	There was no noise or confusion; it was just a merry time.
5731_50778_000037_000002	Now, may I close the door and leave you alone?	Now, may I close the door and leave you alone?
5731_50778_000037_000003	I will steal in softly the first thing in the morning, and see if you are all right; but I think you need to be quiet."	I will steal in softly the first thing in the morning, and see if you are all right; but I think you need to be quiet."
5731_50778_000038_000000	"Oh, I'm willing to stay alone; but I am not sleepy yet, and I am going to hear the music by and by, you know."	"Oh, I'm willing to stay alone; but I am not sleepy yet, and I am going to hear the music by and by, you know."
5731_50778_000039_000000	"Yes, I have opened the window a little, and put the screen in front of it, so that you will not feel the air."	"Yes, I have opened the window a little, and put the screen in front of it, so that you will not feel the air."
5731_50778_000040_000000	"Can I have the shutters open; and won't you turn my bed a little, please?	"Can I have the shutters open; and won't you turn my bed a little, please?
5731_50778_000040_000002	I never saw it before, and I thought of the Star in the East, that guided the wise men to the place where Jesus was.	I never saw it before, and I thought of the Star in the East, that guided the wise men to the place where Jesus was.
5731_50778_000040_000003	Good night, Mama.	Good night, Mama.
5731_50778_000040_000004	Such a happy, happy day!"	Such a happy, happy day!"
5731_50778_000041_000000	"Good night, my precious little Christmas Carol--mother's blessed Christmas child."	"Good night, my precious little Christmas Carol-mother's blessed Christmas child."
5731_50778_000042_000000	"Bend your head a minute, mother dear," whispered Carol, calling her mother back.	"Bend your head a minute, mother dear," whispered Carol, calling her mother back.
5731_50778_000042_000001	"Mama, dear, I do think that we have kept Christ's birthday this time just as He would like it.	"Mama, dear, I do think that we have kept Christ's birthday this time just as He would like it.
5731_50778_000042_000002	Don't you?"	Don't you?"
5731_50778_000043_000000	"I am sure of it," said Mrs. Bird, softly.	"I am sure of it," said mrs Bird, softly.
