3540_163612_000000_000000	'Now you are mine!' said he to the Princess.	'Now you are mine!' said he to the Princess.	false	0	2.07	24.946833
3540_163612_000016_000000	Some time afterwards, it happened that the Prior of the Abbey of Saint Amand sent to the Lord of Avesnes a basket of oranges, with a beautifully-written letter saying that these golden fruit, then unknown in Flanders, came straight from a land where the sun always shone.	Some time afterwards, it happened that the Prior of the Abbey of Saint Amand sent to the Lord of Avesnes a basket of oranges, with a beautifully written letter saying that these golden fruit, then unknown in Flanders, came straight from a land where the sun always shone.	false	162.33	178.69	22.990984
3540_163612_000017_000000	That evening Tubby and his son ate the golden apples at supper, and thought them delicious.	That evening Tubby and his son ate the golden apples at supper, and thought them delicious.	true	179.21	184.57	26.183676
3540_163612_000018_000000	Next morning as the day dawned, Desire went down to the stable and saddled his pretty white horse.	Next morning as the day dawned, Desire went down to the stable and saddled his pretty white horse.	false	185.21	191.26	24.046694
3540_163612_000018_000001	Then he went, all dressed for a journey, to the bedside of Tubby, and found him smoking his first pipe.	Then he went, all dressed for a journey, to the bedside of Tubby, and found him smoking his first pipe.	true	191.57	197.92	23.308655
3540_163612_000019_000000	'Father,' he said gravely, 'I have come to bid you farewell.	'Father,' he said gravely, 'I have come to bid you farewell.	true	198.44	202.72	25.551441
3540_163612_000019_000001	Last night I dreamed that I was walking in a wood, where the trees were covered with golden apples.	Last night I dreamed that I was walking in a wood, where the trees were covered with golden apples.	true	203.12	209.11	23.057837
3540_163612_000019_000002	I gathered one of them, and when I opened it there came out a lovely princess with a golden skin.	I gathered one of them, and when I opened it there came out a lovely princess with a golden skin.	true	209.45	215.2	22.044373
3540_163612_000019_000003	That is the wife I want, and I am going to look for her.'	That is the wife I want, and I am going to look for her.'	true	215.45	218.68	26.002506
3540_163612_000020_000000	The Lord of Avesnes was so much astonished that he let his pipe fall to the ground; then he became so diverted at the notion of his son marrying a yellow woman, and a woman shut up inside an orange, that he burst into fits of laughter.	The Lord of Avesnes was so much astonished that he let his pipe fall to the ground; then he became so diverted at the notion of his son marrying a yellow woman, and a woman shut up inside an orange, that he burst into fits of laughter.	false	219.68	233.8	22.45775
3540_163612_000021_000000	Desire waited to bid him good-bye until he was quiet again; but as his father went on laughing and showed no signs of stopping, the young man took his hand, kissed it tenderly, opened the door, and in the twinkling of an eye was as at the bottom of the staircase.	Desire waited to bid him good bye until he was quiet again; but as his father went on laughing and showed no signs of stopping, the young man took his hand, kissed it tenderly, opened the door, and in the twinkling of an eye was as at the bottom of the staircase.	false	233.87	248.53	22.987787
3540_163612_000021_000001	He jumped lightly on his horse, and was a mile from home before Tubby had ceased laughing.	He jumped lightly on his horse, and was a mile from home before Tubby had ceased laughing.	true	248.87	253.63	24.984722
3540_163612_000022_000000	'A yellow wife!	'A yellow wife!	true	254.69	255.825	30.949398
3540_163612_000022_000001	He must be mad! fit for a strait waistcoat!' cried the good man, when he was able to speak.	He must be mad! fit for a strait waistcoat!' cried the good man, when he was able to speak.	true	255.825	261.61	23.879566
3540_163612_000022_000002	'Here! quick! bring him back to me.'	'Here! quick! bring him back to me.'	true	261.83	264.43	31.19656
3540_163612_000023_000000	The servants mounted their horses and rode after the Prince; but as they did not know which road he had taken, they went all ways except the right one, and instead of bringing him back they returned themselves when it grew dark, with their horses worn out and covered with dust.	The servants mounted their horses and rode after the Prince; but as they did not know which road he had taken, they went all ways except the right one, and instead of bringing him back they returned themselves when it grew dark, with their horses worn out and covered with dust.	true	265.52	280.2	24.213598
3540_163612_000024_000000	III	three	false	280.2	280.95	-20
3540_163612_000025_000000	When Desire thought they could no longer catch him, he pulled his horse into a walk, like a prudent man who knows he has far to go.	When Desire thought they could no longer catch him, he pulled his horse into a walk, like a prudent man who knows he has far to go.	false	280.95	288.25	24.543766
3540_163612_000025_000001	He travelled in this way for many weeks, passing by villages, towns, mountains, valleys, and plains, but always pushing south, where every day the sun seemed hotter and more brilliant.	He travelled in this way for many weeks, passing by villages, towns, mountains, valleys, and plains, but always pushing south, where every day the sun seemed hotter and more brilliant.	true	288.74	300.91	22.99197
3540_163612_000026_000000	At last one day at sunset Desire felt the sun so warm, that he thought he must now be near the place of his dream.	At last one day at sunset Desire felt the sun so warm, that he thought he must now be near the place of his dream.	true	301.79	308.95	23.360828
3540_163612_000026_000001	He was at that moment close to the corner of a wood where stood a little hut, before the door of which his horse stopped of his own accord.	He was at that moment close to the corner of a wood where stood a little hut, before the door of which his horse stopped of his own accord.	true	309.41	317.77	23.262821
3540_163612_000026_000002	An old man with a white beard was sitting on the doorstep enjoying the fresh air.	An old man with a white beard was sitting on the doorstep enjoying the fresh air.	true	317.78	321.97	25.075426
3540_163612_000026_000003	The Prince got down from his horse and asked leave to rest.	The Prince got down from his horse and asked leave to rest.	true	322.31	325.48	23.998337
3540_163612_000027_000000	'Come in, my young friend,' said the old man; 'my house is not large, but it is big enough to hold a stranger.'	'Come in, my young friend,' said the old man; 'my house is not large, but it is big enough to hold a stranger.'	true	326.15	333.1	23.623728
3540_163612_000028_000000	The traveller entered, and his host put before him a simple meal.	The traveller entered, and his host put before him a simple meal.	true	333.38	336.94	22.391273
3540_163612_000028_000001	When his hunger was satisfied the old man said to him:	When his hunger was satisfied the old man said to him:	true	337.19	340.24	22.363466
3540_163612_000029_000000	'If I do not mistake, you come from far.	'If I do not mistake, you come from far.	true	340.85	343.84	24.163628
3540_163612_000029_000001	May I ask where you are going?'	May I ask where you are going?'	true	344.12	345.94	23.583332
3540_163612_000030_000000	'I will tell you,' answered Desire, 'though most likely you will laugh at me.	'I will tell you,' answered Desire, 'though most likely you will laugh at me.	false	346.61	350.74	23.291882
3540_163612_000030_000001	I dreamed that in the land of the sun there was a wood full of orange trees, and that in one of the oranges I should find a beautiful princess who is to be my wife.	I dreamed that in the land of the sun there was a wood full of orange trees, and that in one of the oranges I should find a beautiful princess who is to be my wife.	true	351.17	360.22	20.846119
3540_163612_000030_000002	It is she I am seeking.'	It is she I am seeking.'	true	360.35	362.08	23.195442
3540_163612_000031_000000	'Why should I laugh?' asked the old man.	'Why should I laugh?' asked the old man.	true	362.93	365.14	26.559061
3540_163612_000031_000001	'Madness in youth is true wisdom.	'Madness in youth is true wisdom.	true	365.3	367.75	21.731218
3540_163612_000031_000002	Go, young man, follow your dream, and if you do not find the happiness that you seek, at any rate you will have had the happiness of seeking it.'	Go, young man, follow your dream, and if you do not find the happiness that you seek, at any rate you will have had the happiness of seeking it.'	true	368.06	376.62	24.394451
3540_163612_000032_000000	IV	i v	false	376.62	379.65	20.012238
3540_163612_000033_000000	The next day the Prince arose early and took leave of his host.	The next day the Prince arose early and took leave of his host.	true	379.65	383.14	24.93601
3540_163612_000034_000000	'The wood that you saw in your dream is not far from here,' said the old man.	'The wood that you saw in your dream is not far from here,' said the old man.	true	384.05	388.12	20.68177
3540_163612_000034_000001	'It is in the depth of the forest, and this road will lead you there.	'It is in the depth of the forest, and this road will lead you there.	true	388.43	391.93	22.401909
3540_163612_000034_000002	You will come to a vast park surrounded by high walls.	You will come to a vast park surrounded by high walls.	true	392.3	395.8	23.187634
3540_163612_000034_000003	In the middle of the park is a castle, where dwells a horrible witch who allows no living being to enter the doors.	In the middle of the park is a castle, where dwells a horrible witch who allows no living being to enter the doors.	true	395.96	402.79	21.31819
3540_163612_000034_000004	Behind the castle is the orange grove.	Behind the castle is the orange grove.	true	403.61	406.12	25.378698
3540_163612_000034_000005	Follow the wall till you come to a heavy iron gate.	Follow the wall till you come to a heavy iron gate.	true	406.4	409.6	25.210878
3540_163612_000034_000006	Don't try to press it open, but oil the hinges with this,' and the old man gave him a small bottle.	Don't try to press it open, but oil the hinges with this,' and the old man gave him a small bottle.	true	409.94	416.8	22.946644
3540_163612_000035_000000	'The gate will open of itself,' he continued, 'and a huge dog which guards the castle will come to you with his mouth wide open, but just throw him this oat cake.	'The gate will open of itself,' he continued, 'and a huge dog which guards the castle will come to you with his mouth wide open, but just throw him this oat cake.	true	417.2	426.46	24.884668
3540_163612_000035_000001	Next, you will see a baking woman leaning over her heated oven.	Next, you will see a baking woman leaning over her heated oven.	true	426.83	430.54	22.458868
3540_163612_000035_000002	Give her this brush.	Give her this brush.	true	430.73	432.19	22.261202
3540_163612_000035_000003	Lastly, you will find a well on your left; do not forget to take the cord of the bucket and spread it in the sun.	Lastly, you will find a well on your left; do not forget to take the cord of the bucket and spread it in the sun	true	432.74	439.69	25.078749
3540_163612_000035_000004	When you have done this, do not enter the castle, but go round it and enter the orange grove.	When you have done this, do not enter the castle, but go round it and enter the orange grove.	true	439.97	445.36	22.77419
3540_163612_000035_000005	Then gather three oranges, and get back to the gate as fast as you can.	Then gather three oranges, and get back to the gate as fast as you can.	true	445.58	449.98	24.57841
3540_163612_000035_000006	Once out of the gate, leave the forest by the opposite side.	Once out of the gate, leave the forest by the opposite side.	true	450.35	453.97	22.002884
3540_163612_000036_000000	'Now, attend to this: whatever happens, do not open your oranges till you reach the bank of a river, or a fountain.	'Now, attend to this: whatever happens, do not open your oranges till you reach the bank of a river, or a fountain.	true	454.37	461.92	25.067396
3540_163612_000036_000001	Out of each orange will come a princess, and you can choose which you like for your wife.	Out of each orange will come a princess, and you can choose which you like for your wife.	true	462.41	467.35	23.278658
3540_163612_000036_000002	Your choice once made, be very careful never to leave your bride for an instant, and remember that the danger which is most to be feared is never the danger we are most afraid of.'	Your choice once made, be very careful never to leave your bride for an instant, and remember that the danger which is most to be feared is never the danger we are most afraid of.'	true	467.63	478.38	23.54001
3540_163612_000037_000000	V	V	false	478.38	481.95	27.176367
3540_163612_000038_000000	Desire thanked his host warmly, and took the road he pointed out.	Desire thanked his host warmly, and took the road he pointed out.	false	481.95	485.77	25.704952
3540_163612_000038_000001	In less than an hour he arrived at the wall, which was very high indeed.	In less than an hour he arrived at the wall, which was very high indeed.	true	486.23	490.15	21.90566
3540_163612_000038_000002	He sprang to the ground, fastened his horse to a tree, and soon found the iron gate.	He sprang to the ground, fastened his horse to a tree, and soon found the iron gate.	true	490.37	495.73	24.138594
3540_163612_000038_000003	Then he took out his bottle and oiled the hinges, when the gate opened of itself, and he saw an old castle standing inside.	Then he took out his bottle and oiled the hinges, when the gate opened of itself, and he saw an old castle standing inside.	true	496.07	502.69	22.897095
3540_163612_000038_000004	The Prince entered boldly into the courtyard.	The Prince entered boldly into the courtyard.	true	503.51	505.93	24.810587
3540_163612_000039_000000	Suddenly he heard fierce howls, and a dog as tall as a donkey, with eyes like billiard balls, came towards him, showing his teeth, which were like the prongs of a fork.	Suddenly he heard fierce howls, and a dog as tall as a donkey, with eyes like billiard balls, came towards him, showing his teeth, which were like the prongs of a fork.	true	506.42	516.1	25.247517
3540_163612_000039_000001	Desire flung him the oat cake, which the great dog instantly snapped up, and the young Prince passed quietly on.	Desire flung him the oat cake, which the great dog instantly snapped up, and the young Prince passed quietly on.	false	516.14	522.49	24.342876
3540_163612_000040_000000	A few yards further he saw a huge oven, with a wide, red-hot gaping mouth.	A few yards further he saw a huge oven, with a wide, red hot gaping mouth.	true	523.07	527.95	22.90026
3540_163612_000040_000001	A woman as tall as a giant was leaning over the oven.	A woman as tall as a giant was leaning over the oven.	true	528.02	531.1	19.775675
3540_163612_000040_000002	Desire gave her the brush, which she took in silence.	Desire gave her the brush, which she took in silence.	false	531.26	534.19	22.58347
3540_163612_000041_000000	Then he went on to the well, drew up the cord, which was half rotten, and stretched it out in the sun.	Then he went on to the well, drew up the cord, which was half rotten, and stretched it out in the sun	true	534.77	541.21	23.773977
3540_163612_000042_000000	Lastly he went round the castle, and plunged into the orange grove. There he gathered the three most beautiful oranges he could find, and turned to go back to the gate.	Lastly he went round the castle, and plunged into the orange grove. There he gathered the three most beautiful oranges he could find, and turned to go back to the gate.	true	541.73	552.15	21.738562
3540_163612_000043_000000	But just at this moment the sun was darkened, the earth trembled, and Desire heard a voice crying:	But just at this moment the sun was darkened, the earth trembled, and Desire heard a voice crying:	false	552.15	557.71	25.269876
3540_163612_000044_000000	'Baker, baker, take him by his feet, and throw him into the oven!'	'Baker, baker, take him by his feet, and throw him into the oven!'	true	557.87	562.15	25.417461
3540_163612_000045_000000	'No,' replied the baker; 'a long time has passed since I first began to scour this oven with my own flesh.	'No,' replied the baker; 'a long time has passed since I first began to scour this oven with my own flesh.	true	562.64	569.44	24.375658
3540_163612_000045_000001	YOU never cared to give me a brush; but he has given me one, and he shall go in peace.'	YOU never cared to give me a brush; but he has given me one, and he shall go in peace.'	true	569.69	575.14	24.4971
3540_163612_000046_000000	'Rope, O rope!' cried the voice again, 'twine yourself round his neck and strangle him.'	'Rope, O rope!' cried the voice again, 'twine yourself round his neck and strangle him.'	true	575.99	582.22	23.31418
3540_163612_000047_000000	'No,' replied the rope; 'you have left me for many years past to fall to pieces with the damp.	'No,' replied the rope; 'you have left me for many years past to fall to pieces with the damp.	true	582.62	588.46	23.64964
3540_163612_000047_000001	He has stretched me out in the sun.	He has stretched me out in the sun	true	588.53	590.62	23.61171
3540_163612_000047_000002	Let him go in peace.'	Let him go in peace.'	true	590.81	592.33	20.93297
3540_163612_000048_000000	'Dog, my good dog,' cried the voice, more and more angry, 'jump at his throat and eat him up.'	'Dog, my good dog,' cried the voice, more and more angry, 'jump at his throat and eat him up.'	true	593.03	599.05	24.725138
3540_163612_000049_000000	'No,' replied the dog; 'though I have served you long, you never gave me any bread.	'No,' replied the dog; 'though I have served you long, you never gave me any bread.	true	599.3	604.54	22.487574
3540_163612_000049_000001	He has given me as much as I want.	He has given me as much as I want.	true	604.55	606.6	28.069798
3540_163612_000049_000002	Let him go in peace.'	Let him go in peace.'	true	606.6	608.05	24.875837
3540_163612_000050_000000	'Iron gate, iron gate,' cried the voice, growling like thunder, 'fall on him and grind him to powder.'	'Iron gate, iron gate,' cried the voice, growling like thunder, 'fall on him and grind him to powder.'	true	608.93	615.64	23.050974
3540_163612_000051_000000	'No,' replied the gate; 'it is a hundred years since you left me to rust, and he has oiled me.	'No,' replied the gate; 'it is a hundred years since you left me to rust, and he has oiled me.	true	615.86	621.58	22.144909
3540_163612_000051_000001	Let him go in peace.'	Let him go in peace.'	true	621.68	624.06	23.76198
3540_163612_000052_000000	VI	VI	false	624.06	627.3	25.991371
3540_163612_000053_000000	Once outside, the young adventurer put his oranges into a bag that hung from his saddle, mounted his horse, and rode quickly out of the forest.	Once outside, the young adventurer put his oranges into a bag that hung from his saddle, mounted his horse, and rode quickly out of the forest.	true	627.3	635.68	22.355707
3540_163612_000054_000000	Now, as he was longing to see the princesses, he was very anxious to come to a river or a fountain, but, though he rode for hours, a river or fountain was nowhere to be seen.	Now, as he was longing to see the princesses, he was very anxious to come to a river or a fountain, but, though he rode for hours, a river or fountain was nowhere to be seen.	true	635.75	646.72	23.773235
3540_163612_000054_000001	Still his heart was light, for he felt that he had got through the most difficult part of his task, and the rest was easy.	Still his heart was light, for he felt that he had got through the most difficult part of his task, and the rest was easy.	true	646.97	653.89	25.662222
3540_163612_000055_000000	About mid-day he reached a sandy plain, scorching in the sun.	About mid day he reached a sandy plain, scorching in the sun	true	654.59	659.05	24.392561
3540_163612_000055_000001	Here he was seized with dreadful thirst; he took his gourd and raised it to his lips.	Here he was seized with dreadful thirst; he took his gourd and raised it to his lips.	true	659.45	664.48	24.70984
3540_163612_000056_000000	But the gourd was empty; in the excitement of his joy he had forgotten to fill it.	But the gourd was empty; in the excitement of his joy he had forgotten to fill it.	true	665.09	669.91	25.563046
3540_163612_000056_000001	He rode on, struggling with his sufferings, but at last he could bear it no longer.	He rode on, struggling with his sufferings, but at last he could bear it no longer.	true	670.31	675.91	24.102518
3540_163612_000057_000000	He let himself slide to the earth, and lay down beside his horse, his throat burning, his chest heaving, and his head going round.	He let himself slide to the earth, and lay down beside his horse, his throat burning, his chest heaving, and his head going round.	true	676.58	686.41	20.219639
3540_163612_000057_000001	Already he felt that death was near him, when his eyes fell on the bag where the oranges peeped out.	Already he felt that death was near him, when his eyes fell on the bag where the oranges peeped out.	true	686.42	692.11	24.59847
3540_163612_000058_000000	Poor Desire, who had braved so many dangers to win the lady of his dreams, would have given at this moment all the princesses in the world, were they pink or golden, for a single drop of water.	Poor Desire, who had braved so many dangers to win the lady of his dreams, would have given at this moment all the princesses in the world, were they pink or golden, for a single drop of water.	false	693.14	705.64	22.031435
3540_163612_000059_000000	'Ah!' he said to himself.	'Ah!' he said to himself.	true	706.04	708.13	21.865507
3540_163612_000059_000001	'If only these oranges were real fruit--fruit as refreshing as what I ate in Flanders!	'If only these oranges were real fruit-fruit as refreshing as what I ate in Flanders!	true	708.35	713.92	22.698317
3540_163612_000059_000002	And, after all, who knows?'	And, after all, who knows?'	true	714.71	717.97	23.16318
3540_163612_000060_000000	This idea put some life into him.	This idea put some life into him.	true	718.7	720.85	24.472475
3540_163612_000060_000001	He had the strength to lift himself up and put his hand into his bag.	He had the strength to lift himself up and put his hand into his bag.	true	721.04	725.17	23.550447
3540_163612_000060_000002	He drew out an orange and opened it with his knife.	He drew out an orange and opened it with his knife.	true	725.3	728.23	26.86963
3540_163612_000061_000000	Out of it flew the prettiest little female canary that ever was seen.	Out of it flew the prettiest little female canary that ever was seen.	true	728.75	732.49	23.274199
3540_163612_000062_000000	'Give me something to drink, I am dying of thirst,' said the golden bird.	'Give me something to drink, I am dying of thirst,' said the golden bird.	true	733.01	737.23	25.63917
3540_163612_000063_000000	'Wait a minute,' replied Desire, so much astonished that he forgot his own sufferings; and to satisfy the bird he took a second orange, and opened it without thinking what he was doing.	'Wait a minute,' replied Desire, so much astonished that he forgot his own sufferings; and to satisfy the bird he took a second orange, and opened it without thinking what he was doing.	false	737.24	746.68	23.931498
3540_163612_000063_000001	Out of it flew another canary, and she too began to cry:	Out of it flew another canary, and she too began to cry:	true	746.93	750.46	25.047094
3540_163612_000064_000000	'I am dying of thirst; give me something to drink.'	'I am dying of thirst; give me something to drink.'	true	750.83	753.76	25.714499
3540_163612_000065_000000	Then Tubby's son saw his folly, and while the two canaries flew away he sank on the ground, where, exhausted by his last effort, he lay unconscious.	Then Tubby's son saw his folly, and while the two canaries flew away he sank on the ground, where, exhausted by his last effort, he lay unconscious.	true	754.1	765.07	23.953482
3540_163612_000066_000000	VII	seven	true	765.59	766.45	25.686497
3540_163612_000067_000000	When he came to himself, he had a pleasant feeling of freshness all about him.	When he came to himself, he had a pleasant feeling of freshness all about him.	true	767.75	772.51	26.491806
3540_163612_000067_000001	It was night, the sky was sparkling with stars, and the earth was covered with a heavy dew.	It was night, the sky was sparkling with stars, and the earth was covered with a heavy dew.	true	772.88	778.3	23.89422
3540_163612_000068_000000	The traveller having recovered, mounted his horse, and at the first streak of dawn he saw a stream dancing in front of him, and stooped down and drank his fill.	The traveller having recovered, mounted his horse, and at the first streak of dawn he saw a stream dancing in front of him, and stooped down and drank his fill.	true	779	788.98	22.131132
3540_163612_000069_000000	He hardly had courage to open his last orange.	He hardly had courage to open his last orange.	true	789.44	792.1	21.748556
3540_163612_000069_000001	Then he remembered that the night before he had disobeyed the orders of the old man.	Then he remembered that the night before he had disobeyed the orders of the old man.	true	792.53	796.87	21.783916
3540_163612_000069_000002	Perhaps his terrible thirst was a trick of the cunning witch, and suppose, even though he opened the orange on the banks of the stream, that he did not find in it the princess that he sought?	Perhaps his terrible thirst was a trick of the cunning witch, and suppose, even though he opened the orange on the banks of the stream, that he did not find in it the princess that he sought?	true	797.27	808.24	22.914724
3540_163612_000070_000000	He took his knife and cut it open.	He took his knife and cut it open.	true	808.91	810.73	26.044035
3540_163612_000070_000001	Alas! out of it flew a little canary, just like the others, who cried:	Alas! out of it flew a little canary, just like the others, who cried:	true	810.98	815.17	24.077528
3540_163612_000071_000000	'I am thirsty; give me something to drink.'	'I am thirsty; give me something to drink.'	true	815.39	817.93	34.49035
3540_163612_000072_000000	Great was the disappointment of Desire.	Great was the disappointment of Desire.	false	819.17	821.55	25.89919
3540_163612_000072_000001	However, he was determined not to let this bird fly away; so he took up some water in the palm of his hand and held it to its beak.	However, he was determined not to let this bird fly away; so he took up some water in the palm of his hand and held it to its beak.	true	821.55	829.06	24.585226
3540_163612_000073_000000	Scarcely had the canary drunk when she became a beautiful girl, tall and straight as a poplar tree, with black eyes and a golden skin.	Scarcely had the canary drunk when she became a beautiful girl, tall and straight as a poplar tree, with black eyes and a golden skin.	true	829.85	837.07	23.971806
3540_163612_000073_000001	Desire had never seen anyone half so lovely, and he stood gazing at her in delight.	Desire had never seen anyone half so lovely, and he stood gazing at her in delight.	false	837.38	842.02	19.949337
3540_163612_000074_000000	On her side she seemed quite bewildered, but she looked about her with happy eyes, and was not at all afraid of her deliverer.	On her side she seemed quite bewildered, but she looked about her with happy eyes, and was not at all afraid of her deliverer.	true	843.14	849.82	23.530111
3540_163612_000075_000000	He asked her name.	He asked her name.	true	850.52	851.76	25.246939
3540_163612_000075_000001	She answered that she was called the Princess Zizi; she was about sixteen years old, and for ten years of that time the witch had kept her shut up in an orange, in the shape of a canary.	She answered that she was called the Princess Zizi; she was about sixteen years old, and for ten years of that time the witch had kept her shut up in an orange, in the shape of a canary.	true	851.76	863.11	24.33841
3540_163612_000076_000000	'Well, then, my charming Zizi,' said the young Prince, who was longing to marry her, 'let us ride away quickly so as to escape from the wicked witch.'	'Well, then, my charming Zizi,' said the young Prince, who was longing to marry her, 'let us ride away quickly so as to escape from the wicked witch.'	true	863.42	871.72	24.648874
3540_163612_000077_000000	But Zizi wished to know where he meant to take her.	But Zizi wished to know where he meant to take her.	true	871.76	874.9	19.804855
3540_163612_000078_000000	'To my father's castle,' he said.	'To my father's castle,' he said.	true	875.18	877.06	25.116741
3540_163612_000079_000000	He mounted his horse and took her in front of him, and, holding her carefully in his arms, they began their journey.	He mounted his horse and took her in front of him, and, holding her carefully in his arms, they began their journey.	true	877.43	885.55	22.340586
3540_163612_000080_000000	VIII	eight	true	885.68	886.33	35.04788
3540_163612_000081_000000	Everything the Princess saw was new to her, and in passing through mountains, valleys, and towns, she asked a thousand questions.	Everything the Princess saw was new to her, and in passing through mountains, valleys, and towns, she asked a thousand questions.	false	887.63	894.93	21.686733
3540_163612_000081_000001	Desire was charmed to answer them.	Desire was charmed to answer them.	false	894.93	896.86	23.873833
3540_163612_000081_000002	It is so delightful to teach those one loves!	It is so delightful to teach those one loves!	true	896.9	900.49	23.373661
3540_163612_000082_000000	Once she inquired what the girls in his country were like.	Once she inquired what the girls in his country were like.	true	900.74	903.76	24.520082
3540_163612_000083_000000	'They are pink and white,' he replied, 'and their eyes are blue.'	'They are pink and white,' he replied, 'and their eyes are blue.'	true	904.58	908.77	25.983025
3540_163612_000084_000000	'Do you like blue eyes?' said the Princess; but Desire thought it was a good opportunity to find out what was in her heart, so he did not answer.	'Do you like blue eyes?' said the Princess; but Desire thought it was a good opportunity to find out what was in her heart, so he did not answer.	false	908.9	917.32	22.850197
