2393_144496_000000_000001	MARTHA	MARTHA
2393_144496_000019_000001	Knowing that this state must pass, before we could speak to her with any hope, I ventured to restrain him when he would have raised her, and we stood by in silence until she became more tranquil.	Knowing that this state must pass, before we could speak to her with any hope, I ventured to restrain him when he would have raised her, and we stood by in silence until she became more tranquil.
2393_144496_000024_000000	'Are you composed enough,' said I, 'to speak on the subject which so interested you--I hope Heaven may remember it!--that snowy night?'	'Are you composed enough,' said I, 'to speak on the subject which so interested you-I hope Heaven may remember it!--that snowy night?'
2393_144496_000025_000000	Her sobs broke out afresh, and she murmured some inarticulate thanks to me for not having driven her away from the door.	Her sobs broke out afresh, and she murmured some inarticulate thanks to me for not having driven her away from the door.
2393_144496_000026_000000	'I want to say nothing for myself,' she said, after a few moments.	'I want to say nothing for myself,' she said, after a few moments.
2393_144496_000026_000001	'I am bad, I am lost.	'I am bad, I am lost.
2393_144496_000026_000002	I have no hope at all.	I have no hope at all.
2393_144496_000027_000000	'It was you, if I don't deceive myself,' she said, in a broken voice, 'that came into the kitchen, the night she took such pity on me; was so gentle to me; didn't shrink away from me like all the rest, and gave me such kind help!	'It was you, if I don't deceive myself,' she said, in a broken voice, 'that came into the kitchen, the night she took such pity on me; was so gentle to me; didn't shrink away from me like all the rest, and gave me such kind help!
2393_144496_000030_000001	'You are innocent of any part in it, we thoroughly believe,--we know.'	'You are innocent of any part in it, we thoroughly believe,--we know.'
2393_144496_000031_000001	She never spoke a word to me but what was pleasant and right.	She never spoke a word to me but what was pleasant and right.
2393_144496_000033_000001	When, Heaven knows, I would have died to have brought back her good name!'	When, Heaven knows, I would have died to have brought back her good name!'
2393_144496_000034_000000	Long unused to any self-control, the piercing agony of her remorse and grief was terrible.	Long unused to any self control, the piercing agony of her remorse and grief was terrible.
2393_144496_000035_000000	'To have died, would not have been much--what can I say?---I would have lived!' she cried.	'To have died, would not have been much-what can I say?---I would have lived!' she cried.
2393_144496_000037_000001	'How can I go on as I am, a solitary curse to myself, a living disgrace to everyone I come near!' Suddenly she turned to my companion.	'How can I go on as I am, a solitary curse to myself, a living disgrace to everyone I come near!' Suddenly she turned to my companion.
2393_144496_000037_000002	'Stamp upon me, kill me!	'Stamp upon me, kill me!
2393_144496_000037_000006	I don't complain.	I don't complain.
2393_144496_000037_000009	Oh, don't think that all the power I had of loving anything is quite worn out!	Oh, don't think that all the power I had of loving anything is quite worn out!
2393_144496_000037_000011	Kill me for being what I am, and having ever known her; but don't think that of me!'	Kill me for being what I am, and having ever known her; but don't think that of me!'
2393_144496_000039_000000	'Martha,' said Mr. Peggotty, 'God forbid as I should judge you.	'Martha,' said mr Peggotty, 'God forbid as I should judge you.
2393_144496_000039_000001	Forbid as I, of all men, should do that, my girl!	Forbid as I, of all men, should do that, my girl!
2393_144496_000039_000003	Well!' he paused a moment, then went on.	Well!' he paused a moment, then went on.
2393_144496_000039_000004	'You doen't understand how 'tis that this here gentleman and me has wished to speak to you.	'You doen't understand how 'tis that this here gentleman and me has wished to speak to you.
2393_144496_000040_000001	She stood, shrinkingly, before him, as if she were afraid to meet his eyes; but her passionate sorrow was quite hushed and mute.	She stood, shrinkingly, before him, as if she were afraid to meet his eyes; but her passionate sorrow was quite hushed and mute.
2393_144496_000041_000001	My dear niece,' he repeated steadily.	My dear niece,' he repeated steadily.
2393_144496_000043_000000	'I have heerd her tell,' said Mr. Peggotty, 'as you was early left fatherless and motherless, with no friend fur to take, in a rough seafaring-way, their place.	'I have heerd her tell,' said mr Peggotty, 'as you was early left fatherless and motherless, with no friend fur to take, in a rough seafaring way, their place.
2393_144496_000043_000001	Maybe you can guess that if you'd had such a friend, you'd have got into a way of being fond of him in course of time, and that my niece was kiender daughter-like to me.'	Maybe you can guess that if you'd had such a friend, you'd have got into a way of being fond of him in course of time, and that my niece was kiender daughter like to me.'
2393_144496_000044_000000	As she was silently trembling, he put her shawl carefully about her, taking it up from the ground for that purpose.	As she was silently trembling, he put her shawl carefully about her, taking it up from the ground for that purpose.
2393_144496_000046_000000	I read, in every word of his plain impressive way of delivering himself, new evidence of his having thought of this one topic, in every feature it presented.	I read, in every word of his plain impressive way of delivering himself, new evidence of his having thought of this one topic, in every feature it presented.
2393_144496_000047_000000	'According to our reckoning,' he proceeded, 'Mas'r Davy's here, and mine, she is like, one day, to make her own poor solitary course to London.	'According to our reckoning,' he proceeded, 'Mas'r Davy's here, and mine, she is like, one day, to make her own poor solitary course to London.
2393_144496_000047_000003	Bless her, I knew she was!	Bless her, I knew she was!
2393_144496_000047_000004	I knew she always was, to all.	I knew she always was, to all.
2393_144496_000047_000005	You're thankful to her, and you love her.	You're thankful to her, and you love her.
2393_144496_000048_000000	She looked at him hastily, and for the first time, as if she were doubtful of what he had said.	She looked at him hastily, and for the first time, as if she were doubtful of what he had said.
2393_144496_000049_000000	'Will you trust me?' she asked, in a low voice of astonishment.	'Will you trust me?' she asked, in a low voice of astonishment.
2393_144496_000052_000000	We both replied together, 'Yes!'	We both replied together, 'Yes!'
2393_144496_000053_000000	She lifted up her eyes, and solemnly declared that she would devote herself to this task, fervently and faithfully.	She lifted up her eyes, and solemnly declared that she would devote herself to this task, fervently and faithfully.
2393_144496_000054_000000	She did not raise her voice above her breath, or address us, but said this to the night sky; then stood profoundly quiet, looking at the gloomy water.	She did not raise her voice above her breath, or address us, but said this to the night sky; then stood profoundly quiet, looking at the gloomy water.
2393_144496_000055_000001	She listened with great attention, and with a face that often changed, but had the same purpose in all its varying expressions.	She listened with great attention, and with a face that often changed, but had the same purpose in all its varying expressions.
2393_144496_000055_000003	It seemed as if her spirit were quite altered, and she could not be too quiet.	It seemed as if her spirit were quite altered, and she could not be too quiet.
2393_144496_000056_000000	She asked, when all was told, where we were to be communicated with, if occasion should arise.	She asked, when all was told, where we were to be communicated with, if occasion should arise.
2393_144496_000056_000003	She said, after a pause, in no place long.	She said, after a pause, in no place long.
2393_144496_000057_000002	She continued steadfast.	She continued steadfast.
2393_144496_000057_000003	In this particular, his influence upon her was equally powerless with mine.	In this particular, his influence upon her was equally powerless with mine.
2393_144496_000057_000004	She gratefully thanked him but remained inexorable.	She gratefully thanked him but remained inexorable.
2393_144496_000058_000000	'There may be work to be got,' she said.	'There may be work to be got,' she said.
2393_144496_000058_000001	'I'll try.'	'I'll try.'
2393_144496_000060_000000	'I could not do what I have promised, for money,' she replied.	'I could not do what I have promised, for money,' she replied.
2393_144496_000060_000001	'I could not take it, if I was starving.	'I could not take it, if I was starving.
2393_144496_000061_000001	We can all do some good, if we will.'	We can all do some good, if we will.'
2393_144496_000063_000000	'It has been put into your hearts, perhaps, to save a wretched creature for repentance.	'It has been put into your hearts, perhaps, to save a wretched creature for repentance.
2393_144496_000063_000001	I am afraid to think so; it seems too bold.	I am afraid to think so; it seems too bold.
2393_144496_000063_000002	If any good should come of me, I might begin to hope; for nothing but harm has ever come of my deeds yet.	If any good should come of me, I might begin to hope; for nothing but harm has ever come of my deeds yet.
2393_144496_000063_000003	I am to be trusted, for the first time in a long while, with my miserable life, on account of what you have given me to try for.	I am to be trusted, for the first time in a long while, with my miserable life, on account of what you have given me to try for.
2393_144496_000064_000000	Again she repressed the tears that had begun to flow; and, putting out her trembling hand, and touching Mr. Peggotty, as if there was some healing virtue in him, went away along the desolate road.	Again she repressed the tears that had begun to flow; and, putting out her trembling hand, and touching mr Peggotty, as if there was some healing virtue in him, went away along the desolate road.
2393_144496_000065_000001	I had such implicit confidence in her declaration, that I then put it to Mr. Peggotty, whether it would not seem, in the onset, like distrusting her, to follow her any farther.	I had such implicit confidence in her declaration, that I then put it to mr Peggotty, whether it would not seem, in the onset, like distrusting her, to follow her any farther.
2393_144496_000065_000003	He accompanied me a good part of the way; and when we parted, with a prayer for the success of this fresh effort, there was a new and thoughtful compassion in him that I was at no loss to interpret.	He accompanied me a good part of the way; and when we parted, with a prayer for the success of this fresh effort, there was a new and thoughtful compassion in him that I was at no loss to interpret.
2393_144496_000066_000000	It was midnight when I arrived at home.	It was midnight when I arrived at home.
2393_144496_000067_000000	Thinking that my aunt might have relapsed into one of her old alarms, and might be watching the progress of some imaginary conflagration in the distance, I went to speak to her.	Thinking that my aunt might have relapsed into one of her old alarms, and might be watching the progress of some imaginary conflagration in the distance, I went to speak to her.
2393_144496_000068_000000	He had a glass and bottle in his hand, and was in the act of drinking.	He had a glass and bottle in his hand, and was in the act of drinking.
2393_144496_000069_000000	He was eating as well as drinking, and seemed to eat with a hungry appetite.	He was eating as well as drinking, and seemed to eat with a hungry appetite.
2393_144496_000070_000000	The light in the passage was obscured for a moment, and my aunt came out.	The light in the passage was obscured for a moment, and my aunt came out.
2393_144496_000070_000002	I heard it chink.	I heard it chink.
2393_144496_000071_000000	'What's the use of this?' he demanded.	'What's the use of this?' he demanded.
2393_144496_000073_000000	'Then I can't go,' said he.	'Then I can't go,' said he.
2393_144496_000073_000001	'Here!	'Here!
2393_144496_000073_000002	You may take it back!'	You may take it back!'
2393_144496_000074_000000	'You bad man,' returned my aunt, with great emotion; 'how can you use me so?	'You bad man,' returned my aunt, with great emotion; 'how can you use me so?
2393_144496_000074_000001	But why do I ask?	But why do I ask?
2393_144496_000074_000002	It is because you know how weak I am!	It is because you know how weak I am!
2393_144496_000074_000003	What have I to do, to free myself for ever of your visits, but to abandon you to your deserts?'	What have I to do, to free myself for ever of your visits, but to abandon you to your deserts?'
2393_144496_000075_000000	'And why don't you abandon me to my deserts?' said he.	'And why don't you abandon me to my deserts?' said he.
2393_144496_000076_000001	'What a heart you must have!'	'What a heart you must have!'
2393_144496_000078_000000	'Is this all you mean to give me, then?'	'Is this all you mean to give me, then?'
2393_144496_000079_000000	'It is all I CAN give you,' said my aunt.	'It is all I CAN give you,' said my aunt.
2393_144496_000079_000002	I have told you so.	I have told you so.
2393_144496_000079_000003	Having got it, why do you give me the pain of looking at you for another moment, and seeing what you have become?'	Having got it, why do you give me the pain of looking at you for another moment, and seeing what you have become?'
2393_144496_000080_000000	'I have become shabby enough, if you mean that,' he said.	'I have become shabby enough, if you mean that,' he said.
2393_144496_000080_000001	'I lead the life of an owl.'	'I lead the life of an owl.'
2393_144496_000081_000001	You treated me falsely, ungratefully, and cruelly.	You treated me falsely, ungratefully, and cruelly.
2393_144496_000082_000000	'Aye!' he returned.	'Aye!' he returned.
2393_144496_000082_000001	'It's all very fine--Well!	'It's all very fine-Well!
2393_144496_000082_000002	I must do the best I can, for the present, I suppose.'	I must do the best I can, for the present, I suppose.'
2393_144496_000083_000000	In spite of himself, he appeared abashed by my aunt's indignant tears, and came slouching out of the garden.	In spite of himself, he appeared abashed by my aunt's indignant tears, and came slouching out of the garden.
2393_144496_000083_000001	Taking two or three quick steps, as if I had just come up, I met him at the gate, and went in as he came out.	Taking two or three quick steps, as if I had just come up, I met him at the gate, and went in as he came out.
2393_144496_000084_000002	Let me speak to him.	Let me speak to him.
2393_144496_000084_000003	Who is he?'	Who is he?'
2393_144496_000086_000000	We sat down in her little parlour.	We sat down in her little parlour.
2393_144496_000086_000002	Then she came out, and took a seat beside me.	Then she came out, and took a seat beside me.
2393_144496_000087_000000	'Trot,' said my aunt, calmly, 'it's my husband.'	'Trot,' said my aunt, calmly, 'it's my husband.'
2393_144496_000088_000000	'Your husband, aunt?	'Your husband, aunt?
2393_144496_000088_000001	I thought he had been dead!'	I thought he had been dead!'
2393_144496_000091_000001	When she loved him, Trot, right well.	When she loved him, Trot, right well.
2393_144496_000091_000003	He repaid her by breaking her fortune, and nearly breaking her heart.	He repaid her by breaking her fortune, and nearly breaking her heart.
2393_144496_000091_000004	So she put all that sort of sentiment, once and for ever, in a grave, and filled it up, and flattened it down.'	So she put all that sort of sentiment, once and for ever, in a grave, and filled it up, and flattened it down.'
2393_144496_000092_000000	'My dear, good aunt!'	'My dear, good aunt!'
2393_144496_000093_000003	He soon made ducks and drakes of what I gave him, sank lower and lower, married another woman, I believe, became an adventurer, a gambler, and a cheat.	He soon made ducks and drakes of what I gave him, sank lower and lower, married another woman, I believe, became an adventurer, a gambler, and a cheat.
2393_144496_000094_000000	She gave my hand a squeeze, and shook her head.	She gave my hand a squeeze, and shook her head.
