98_121658_000000_000000	Mistress Mary	Mistress Mary	false	10.89	14.52	22.093267
98_121658_000012_000001	But when the cold winds begin to blow, and the flowers are gone, then, God willing, we shall come back to you; and by that time you may have grown wiser and bigger, and I am sure you will have grown older.	But when the cold winds begin to blow, and the flowers are gone, then, God willing, we shall come back to you; and by that time you may have grown wiser and bigger, and I am sure you will have grown older.	false	181.49	194.65	23.659536
98_121658_000012_000002	So one more kiss, sweetheart, and then we must go, for our time is up."	So one more kiss, sweetheart, and then we must go, for our time is up."	true	195.02	199.57	26.817976
98_121658_000013_000000	The next morning, when Mary and her mother had dried their eyes, which had been wet with grief at the departure of their loved ones, the little girl asked earnestly,	The next morning, when Mary and her mother had dried their eyes, which had been wet with grief at the departure of their loved ones, the little girl asked earnestly,	true	200.99	210.61	24.911943
98_121658_000014_000000	"Mamma, may I make a flower-garden?"	"Mamma, may I make a flower garden?"	true	211.31	214.33	22.743528
98_121658_000015_000000	"A flower-garden!" repeated her mother in surprise; "why do you wish a flower-garden, Mary?"	"A flower garden!" repeated her mother in surprise; "why do you wish a flower garden, Mary?"	false	215.18	221.38	23.979126
98_121658_000016_000000	"I want to plant in it the cockle-shells and the cowslips and the dingle-bells," she answered.	"I want to plant in it the cockle shells and the cowslips and the dingle bells," she answered.	true	222.53	227.74	24.65255
98_121658_000017_000000	And her mother, who had heard what the sailor had said to his little girl, knew at once what Mary meant; so she kissed her daughter and replied,	And her mother, who had heard what the sailor had said to his little girl, knew at once what Mary meant; so she kissed her daughter and replied,	true	228.53	237.49	24.766356
98_121658_000018_000000	"Yes, Mary, you may have the flower-garden, if you wish.	"Yes, Mary, you may have the flower garden, if you wish.	true	237.92	241.48	22.79555
98_121658_000018_000001	We will dig a nice little bed just at the side of the house, and you shall plant your flowers and care for them yourself."	We will dig a nice little bed just at the side of the house, and you shall plant your flowers and care for them yourself."	true	241.76	248.32	22.737015
98_121658_000019_000000	"I think I 'd rather have the flowers at the front of the house," said Mary.	"I think I 'd rather have the flowers at the front of the house," said Mary.	true	249.44	253.06	23.247969
98_121658_000020_000000	"But why?" enquired her mother; "they will be better sheltered at the side."	"But why?" enquired her mother; "they will be better sheltered at the side."	true	253.97	258.37	23.678902
98_121658_000021_000000	"I want them in front," persisted Mary, "for the sun shines stronger there."	"I want them in front," persisted Mary, "for the sun shines stronger there."	true	259.25	264.07	22.820486
98_121658_000022_000000	"Very well," answered her mother, "make your garden at the front, if you will, and I will help you to dig up the ground."	"Very well," answered her mother, "make your garden at the front, if you will, and I will help you to dig up the ground."	false	265.13	271.39	24.401875
98_121658_000023_000000	"But I do n't want you to help," said Mary, "for this is to be my own little flower-garden, and I want to do all the work myself."	"But I do n't want you to help," said Mary, "for this is to be my own little flower garden, and I want to do all the work myself."	true	273.11	281.8	26.604687
98_121658_000024_000000	Now I must tell you that this little girl, although very sweet in many ways, had one serious fault.	Now I must tell you that this little girl, although very sweet in many ways, had one serious fault.	true	283.13	289.6	24.780285
98_121658_000024_000001	She was inclined to be a bit contrary, and put her own opinions and ideas before those of her elders.	She was inclined to be a bit contrary, and put her own opinions and ideas before those of her elders.	true	289.85	296.26	24
98_121658_000024_000002	Perhaps Mary meant no wrong in this; she often thought knew better how to do a thing than others did; and in such a case she was not only contrary, but anxious to have her own way.	Perhaps Mary meant no wrong in this; she often thought knew better how to do a thing than others did; and in such a case she was not only contrary, but anxious to have her own way.	false	297.17	309.16	24.718605
98_121658_000025_000000	And so her mother, who did not like her little daughter to be unhappy, often gave way to her in small things, and now she permitted Mary to make her own garden, and plant it as she would.	And so her mother, who did not like her little daughter to be unhappy, often gave way to her in small things, and now she permitted Mary to make her own garden, and plant it as she would.	false	310.01	321.52	22.515717
98_121658_000026_000000	So Mary made a long, narrow bed at the front of the house, and then she prepared to plant her flowers.	So Mary made a long, narrow bed at the front of the house, and then she prepared to plant her flowers.	true	322.16	327.85	23.088362
98_121658_000027_000000	"If you scatter the seeds," said her mother, "the flower-bed will look very pretty."	"If you scatter the seeds," said her mother, "the flower bed will look very pretty."	true	328.79	333.43	26.018595
98_121658_000028_000000	Now this was what Mary was about to do; but since her mother advised it, she tried to think of another way, for, as I said, she was contrary at times.	Now this was what Mary was about to do; but since her mother advised it, she tried to think of another way, for, as I said, she was contrary at times.	false	334.28	344.68	25.867598
98_121658_000028_000001	And in the end she planted the dingle-bells all in one straight row, and the cockle-shells in another straight row the length of the bed, and she finished by planting the cowslips in another long row at the back.	And in the end she planted the dingle bells all in one straight row, and the cockle shells in another straight row the length of the bed, and she finished by planting the cowslips in another long row at the back.	true	345.29	357.88	26.724396
98_121658_000029_000000	Her mother smiled, but said nothing; and now, as the days passed by, Mary watered and tended her garden with great care; and when the flowers began to sprout she plucked all the weeds that grew among them, and so in the mild spring weather the plants grew finely.	Her mother smiled, but said nothing; and now, as the days passed by, Mary watered and tended her garden with great care; and when the flowers began to sprout she plucked all the weeds that grew among them, and so in the mild spring weather the plants grew finely.	true	358.67	375.52	23.817648
98_121658_000030_000000	"When they have grown up big and strong," said Mary one morning, as she weeded the bed, "and when they have budded and blossomed and faded away again, then papa and my brothers will come home.	"When they have grown up big and strong," said Mary one morning, as she weeded the bed, "and when they have budded and blossomed and faded away again, then papa and my brothers will come home.	true	376.85	388.03	25.297022
98_121658_000030_000001	And I shall call the cockle-shells papa, for they are the biggest and strongest; and the dingle-bells shall be brother Hobart, and the cowslips brother Robart.	And I shall call the cockle shells papa, for they are the biggest and strongest; and the dingle bells shall be brother Hobart, and the cowslips brother Robart.	false	388.4	399.09	24.72771
98_121658_000030_000002	And now I feel as if the flowers were really my dear ones, and I must be very careful that they come to no harm!"	And now I feel as if the flowers were really my dear ones, and I must be very careful that they come to no harm!"	true	399.09	405.85	25.249832
98_121658_000031_000000	She was filled with joy when one morning she ran out to her flower-garden after breakfast and found the dingle-bells and cowslips were actually blossoming, while even the cockle-shells were showing their white buds.	She was filled with joy when one morning she ran out to her flower garden after breakfast and found the dingle bells and cowslips were actually blossoming, while even the cockle shells were showing their white buds.	true	407.24	419.5	23.132738
98_121658_000031_000001	They looked rather comical, all standing in stiff, straight rows, one after the other; but Mary did not mind that.	They looked rather comical, all standing in stiff, straight rows, one after the other; but Mary did not mind that.	true	420.11	427.42	26.205908
98_121658_000032_000000	While she was working she heard the tramp of a horse's hoofs, and looking up saw the big bluff Squire riding toward her.	While she was working she heard the tramp of a horse's hoofs, and looking up saw the big bluff Squire riding toward her.	true	428.96	436.66	21.781244
98_121658_000032_000001	The big Squire was very fond of children, and whenever he rode near the little white cottage he stopped to have a word with Mary.	The big Squire was very fond of children, and whenever he rode near the little white cottage he stopped to have a word with Mary.	true	437.42	445.39	24.131609
98_121658_000032_000002	He was old and bald-headed, and he had side-whiskers that were very red in color and very short and stubby; but there was ever a merry twinkle in his blue eyes, and Mary well knew him for her friend.	He was old and bald headed, and he had side whiskers that were very red in color and very short and stubby; but there was ever a merry twinkle in his blue eyes, and Mary well knew him for her friend.	true	446.15	459.4	23.31145
98_121658_000033_000000	Now, when she looked up and saw him coming toward her flower-garden, she nodded and smiled to him, and the big bluff Squire rode up to her side, and looked down with a smile at her flowers.	Now, when she looked up and saw him coming toward her flower garden, she nodded and smiled to him, and the big bluff Squire rode up to her side, and looked down with a smile at her flowers.	true	460.19	471.61	23.427748
98_121658_000034_000000	Then he said to her in rhyme (for it was a way of speaking the jolly Squire had),	Then he said to her in rhyme (for it was a way of speaking the jolly Squire had),	true	472.88	478.36	22.376484
98_121658_000035_000000	"Mistress Mary, so contrary, How does your garden grow? With dingle-bells and cockle-shells And cowslips all in a row!"	"Mistress Mary, so contrary, How does your garden grow? With dingle bells and cockle shells And cowslips all in a row!"	true	479.3	487.6	23.70825
98_121658_000036_000000	And Mary, being a sharp little girl, and knowing the Squire's queer ways, replied to him likewise in rhyme, saying,	And Mary, being a sharp little girl, and knowing the Squire's queer ways, replied to him likewise in rhyme, saying,	true	488.78	496.72	25.931559
98_121658_000037_000000	"I thank you, Squire, that you enquire How well the flowers are growing; The dingle-bells and cockle-shells And cowslips all are blowing!"	"I thank you, Squire, that you enquire How well the flowers are growing; The dingle bells and cockle shells And cowslips all are blowing!"	true	497.3	505.87	23.506676
98_121658_000038_000000	The Squire laughed at this reply, and patted her upon her head, and then he continued,	The Squire laughed at this reply, and patted her upon her head, and then he continued,	false	507.32	512.82	22.380014
98_121658_000039_000000	"'T is aptly said.	"'T is aptly said.	false	512.82	514.905	26.96943
98_121658_000039_000001	But prithee, maid, Why thus your garden fill When ev'ry field the same flowers yield To pluck them as you will?"	But prithee, maid, Why thus your garden fill When ev'ry field the same flowers yield To pluck them as you will?"	false	514.905	522.64	24.09749
98_121658_000040_000000	"That is a long story, Squire," said Mary; "but this much I may tell you,	"That is a long story, Squire," said Mary; "but this much I may tell you,	true	524	529.21	27.891088
98_121658_000041_000000	"The cockle-shell is father's flower, The cowslip here is Robart, The dingle-bell, I now must tell, I 've named for Brother Hobart	"The cockle shell is father's flower, The cowslip here is Robart, The dingle bell, I now must tell, I 've named for Brother Hobart	false	530.42	539.65	24.849684
98_121658_000042_000000	"And when the flowers have lived their lives In sunshine and in rain, And then do fade, why, papa said He 'd sure come home again."	"And when the flowers have lived their lives In sunshine and in rain, And then do fade, why, papa said He 'd sure come home again."	false	540.44	548.86	20.860516
98_121658_000043_000000	"Oh, that 's the idea, is it?" asked the big bluff Squire, forgetting his poetry.	"Oh, that 's the idea, is it?" asked the big bluff Squire, forgetting his poetry.	true	549.68	555.22	24.69852
98_121658_000043_000001	"Well, it 's a pretty thought, my child, and I think because the flowers are strong and hearty that you may know your father and brothers are the same; and I 'm sure I hope they 'll come back from their voyage safe and sound.	"Well, it 's a pretty thought, my child, and I think because the flowers are strong and hearty that you may know your father and brothers are the same; and I 'm sure I hope they 'l l come back from their voyage safe and sound.	false	555.53	568.03	23.613693
98_121658_000043_000002	I shall come and see you again, little one, and watch the garden grow." And then he said "gee-up" to his gray mare, and rode away.	I shall come and see you again, little one, and watch the garden grow." And then he said "gee up" to his gray mare, and rode away.	true	568.37	577.42	25.321245
98_121658_000044_000000	The very next day, to Mary's great surprise and grief; she found the leaves of the dingle-bells curling and beginning to wither.	The very next day, to Mary's great surprise and grief; she found the leaves of the dingle bells curling and beginning to wither.	true	579.2	586.63	23.773586
98_121658_000045_000000	"Oh, mamma," she called, "come quick!	"Oh, mamma," she called, "come quick!	true	587.48	590.175	25.110752
98_121658_000045_000001	Something is surely the matter with brother Hobart!"	Something is surely the matter with brother Hobart!"	true	590.175	593.11	22.755913
98_121658_000046_000000	"The dingle-bells are dying," said her mother, after looking carefully at the flowers; "but the reason is that the cold winds from the sea swept right over your garden last night, and dingle-bells are delicate flowers and grow best where they are sheltered by the woods.	"The dingle bells are dying," said her mother, after looking carefully at the flowers; "but the reason is that the cold winds from the sea swept right over your garden last night, and dingle bells are delicate flowers and grow best where they are sheltered by the woods.	true	594.35	609.28	26.280981
98_121658_000046_000001	If you had planted them at the side of the house, as I wished you to, the wind would not have killed them."	If you had planted them at the side of the house, as I wished you to, the wind would not have killed them."	true	609.77	615.1	22.283676
98_121658_000047_000000	Mary did not reply to this, but sat down and began to weep, feeling at the same time that her mother was right and it was her own fault for being so contrary.	Mary did not reply to this, but sat down and began to weep, feeling at the same time that her mother was right and it was her own fault for being so contrary.	true	616.7	627.61	26.202003
98_121658_000048_000000	While she sat thus the Squire rode up, and called to her	While she sat thus the Squire rode up, and called to her	true	628.79	632.62	23.761332
98_121658_000049_000000	"Fie, Mary, fie!	"Fie, Mary, fie!	true	632.78	634.02	21.10993
98_121658_000049_000001	Why do you cry; And blind your eyes to knowing How dingle-bells and cockle-shells And cowslips all are growing?"	Why do you cry; And blind your eyes to knowing How dingle bells and cockle shells And cowslips all are growing?"	true	634.02	641.38	25.132668
98_121658_000050_000000	"Oh, Squire!" sobbed Mary, "I am in great trouble "Each dingle-bell I loved so well Before my eyes is dying, And much I fear my brother dear In sickness now is lying!"	"Oh, Squire!" sobbed Mary, "I am in great trouble "Each dingle bell I loved so well Before my eyes is dying, And much I fear my brother dear In sickness now is lying!"	true	642.32	654.25	24.15949
98_121658_000051_000000	"Nonsense!" said the Squire; "because you named the flowers after your brother Hobart is no reason he should be affected by the fading of the dingle-bells.	"Nonsense!" said the Squire; "because you named the flowers after your brother Hobart is no reason he should be affected by the fading of the dingle bells.	true	655.13	663.64	23.577082
98_121658_000051_000001	I very much suspect the real reason they are dying is because the cold sea wind caught them last night.	I very much suspect the real reason they are dying is because the cold sea wind caught them last night.	false	664.1	669.76	24.430933
98_121658_000051_000002	Dingle-bells are delicate.	Dingle bells are delicate.	true	670.04	671.77	30.844614
98_121658_000051_000003	If you had scattered the cockle-shells and cowslips all about them, the stronger plants would have protected the weaker; but you see, my girl, you planted the dingle-bells all in a row, and so the wind caught them nicely."	If you had scattered the cockle shells and cowslips all about them, the stronger plants would have protected the weaker; but you see, my girl, you planted the dingle bells all in a row, and so the wind caught them nicely."	false	671.84	684.07	25.19413
98_121658_000052_000000	Again Mary reproached herself for having been contrary and refusing to listen to her mother's advice; but the Squire's words comforted her, nevertheless, and made her feel that brother Hobart and the flowers had really nothing to do with each other.	Again Mary reproached herself for having been contrary and refusing to listen to her mother's advice; but the Squire's words comforted her, nevertheless, and made her feel that brother Hobart and the flowers had really nothing to do with each other.	false	685.28	701.86	22.13551
98_121658_000053_000000	The weather now began to change, and the cold sea winds blew each night over Mary's garden.	The weather now began to change, and the cold sea winds blew each night over Mary's garden.	true	702.83	708.46	21
98_121658_000053_000001	She did not know this, for she was always lying snugly tucked up in her bed, and the warm morning sun usually drove away the winds; but her mother knew it, and feared Mary's garden would suffer.	She did not know this, for she was always lying snugly tucked up in her bed, and the warm morning sun usually drove away the winds; but her mother knew it, and feared Mary's garden would suffer.	true	709.01	721.42	21.846199
98_121658_000054_000000	One day Mary came into the house where her mother was at work and said, gleefully,	One day Mary came into the house where her mother was at work and said, gleefully,	true	723.11	727.96	24.941555
98_121658_000055_000000	"Papa and my brothers will soon be home now."	"Papa and my brothers will soon be home now."	false	728.66	731.59	24.363691
98_121658_000056_000000	"Why do you think so?" asked her mother.	"Why do you think so?" asked her mother.	true	732.5	735.04	24.52912
98_121658_000057_000000	"Because the cockle-shells and cowslips are both fading away and dying, just as the dingle-bells did, and papa said when they faded and withered he and the boys would come back to us."	"Because the cockle shells and cowslips are both fading away and dying, just as the dingle bells did, and papa said when they faded and withered he and the boys would come back to us."	true	735.74	746.83	26.188005
98_121658_000058_000000	Mary's mother knew that the harsh winds had killed the flowers before their time, but she did not like to disappoint her darling, so she only said, with a sigh,	Mary's mother knew that the harsh winds had killed the flowers before their time, but she did not like to disappoint her darling, so she only said, with a sigh,	true	748.7	758.41	22.59377
98_121658_000059_000000	"I hope you are right, Mary, for we both shall be glad to welcome our dear ones home again."	"I hope you are right, Mary, for we both shall be glad to welcome our dear ones home again."	true	758.99	764.5	23.752882
98_121658_000060_000000	But soon afterward the big bluff Squire came riding up, as was his wont, to where Mary stood by her garden, and he at once asked,	But soon afterward the big bluff Squire came riding up, as was his wont, to where Mary stood by her garden, and he at once asked,	false	766.1	775.27	28.584803
98_121658_000061_000000	"Pray tell me, dear, though much I fear The answer sad I know, How grow the sturdy cockle-shells And cowslips, all in a row?"	"Pray tell me, dear, though much I fear The answer sad I know, How grow the sturdy cockle shells And cowslips, all in a row?"	true	775.7	784.36	23.390526
98_121658_000062_000000	And Mary looked up at him with her bright smile and answered,	And Mary looked up at him with her bright smile and answered,	true	785.27	788.89	26.476046
98_121658_000063_000000	"Dingle-bells and cockle-shells And cowslips are all dead, And now my papa's coming home, For so he surely said."	"Dingle bells and cockle shells And cowslips are all dead, And now my papa's coming home, For so he surely said."	false	789.26	797.02	22.898922
98_121658_000064_000000	"Ah," said the Squire, looking at her curiously, "I 'm afraid you are getting way ahead of time.	"Ah," said the Squire, looking at her curiously, "I 'm afraid you are getting way ahead of time.	false	798.47	804.73	22.541811
98_121658_000064_000001	See here, Mary, how would you like a little ride with me on my nag?"	See here, Mary, how would you like a little ride with me on my nag?"	true	805.01	809.35	21.20636
98_121658_000065_000000	"I would like it very much, sir," replied Mary.	"I would like it very much, sir," replied Mary.	true	809.93	812.59	28.774086
98_121658_000066_000000	"Then reach up your hand.	"Then reach up your hand.	true	813.14	814.545	26.57183
98_121658_000066_000001	Now!--there you are, little one!" and Mary found herself seated safely in front of the Squire, who clasped her with one strong arm so that she could not slip off.	Now!--there you are, little one!" and Mary found herself seated safely in front of the Squire, who clasped her with one strong arm so that she could not slip off.	false	814.545	823.81	23.396702
98_121658_000067_000000	"Now, then," he said "we 'll take a little ride down the hill and by the path that runs beside the wood."	"Now, then," he said "we 'l l take a little ride down the hill and by the path that runs beside the wood."	false	824.81	831.01	23.31403
98_121658_000068_000000	So he gave the rein to his mare and they rode along, chatting merrily together, till they came to the wood.	So he gave the rein to his mare and they rode along, chatting merrily together, till they came to the wood.	false	832.01	838.36	22.427124
98_121658_000068_000001	Then said the Squire,	Then said the Squire,	true	838.85	840.4	24.554846
98_121658_000069_000000	"Take a look within that nook And tell me what is there."	"Take a look within that nook And tell me what is there."	true	840.89	844.09	28.288237
98_121658_000070_000000	And Mary exclaimed,	And Mary exclaimed,	true	844.43	846.18	27.202318
98_121658_000071_000000	"A dingle-bell, and truth to tell In full bloom, I declare!"	"A dingle bell, and truth to tell In full bloom, I declare!"	true	846.18	850.36	28.44379
98_121658_000072_000000	The Squire now clucked to his nag, and as they rode away he said,	The Squire now clucked to his nag, and as they rode away he said,	true	851.3	855.43	24.580992
98_121658_000073_000000	"Now come with me and you shall see A field with cowslips bright And not a garden in the land Can show so fair a sight."	"Now come with me and you shall see A field with cowslips bright And not a garden in the land Can show so fair a sight."	true	855.77	863.56	23.757687
98_121658_000074_000000	And so it was, for as they rode through the pastures the cowslips bloomed on every hand, and Mary's eyes grew bigger and bigger as she thought of her poor garden with its dead flowers.	And so it was, for as they rode through the pastures the cowslips bloomed on every hand, and Mary's eyes grew bigger and bigger as she thought of her poor garden with its dead flowers.	true	864.53	875.65	24.483458
98_121658_000075_000000	And then the Squire took her toward the little brook that wandered through the meadows, flowing over the pebbles with a soft, gurgling sound that was very nearly as sweet as music; and when they reached it the big Squire said,	And then the Squire took her toward the little brook that wandered through the meadows, flowing over the pebbles with a soft, gurgling sound that was very nearly as sweet as music; and when they reached it the big Squire said,	true	876.89	889.9	27.642414
98_121658_000076_000000	"If you will look beside the brook You 'll see, I know quite well, That hidden in each mossy nook Is many a cockle-shell."	"If you will look beside the brook You 'l l see, I know quite well, That hidden in each mossy nook Is many a cockle shell."	false	890.24	898.51	26.884521
98_121658_000077_000000	This was indeed true, and as Mary saw them she suddenly dropped her head and began to weep.	This was indeed true, and as Mary saw them she suddenly dropped her head and began to weep.	true	899.36	906.13	23.742762
98_121658_000078_000000	"What 's the matter, little one?" asked the Squire in his kind, bluff voice.	"What 's the matter, little one?" asked the Squire in his kind, bluff voice.	true	906.74	911.29	24.297722
98_121658_000078_000001	And Mary answered,	And Mary answered,	true	911.93	913.33	20.035782
98_121658_000079_000000	"Although the flowers I much admire, You know papa did say He won't be home again, Squire, Till all have passed away."	"Although the flowers I much admire, You know papa did say He won't be home again, Squire, Till all have passed away."	true	913.94	922.42	25.79034
98_121658_000080_000000	"You must be patient, my child," replied her friend; "and surely you would not have been thus disappointed had you not tried to make the field flowers grow where they do not belong.	"You must be patient, my child," replied her friend; "and surely you would not have been thus disappointed had you not tried to make the field flowers grow where they do not belong.	true	923.87	934.51	27.855543
98_121658_000080_000001	Gardens are all well enough for fancy flowers to grow in, but the posies that God gave to all the world, and made to grow wild in the great garden of Nature, will never thrive in other places.	Gardens are all well enough for fancy flowers to grow in, but the posies that God gave to all the world, and made to grow wild in the great garden of Nature, will never thrive in other places.	false	935.21	947.86	21.746195
98_121658_000080_000002	Your father meant you to watch the flowers in the field; and if you will come and visit them each day, you will find the time waiting very short indeed."	Your father meant you to watch the flowers in the field; and if you will come and visit them each day, you will find the time waiting very short indeed."	true	948.41	957.67	25.547539
98_121658_000081_000000	Mary dried her eyes and thanked the kindly old Squire, and after that she visited the fields each day and watched the flowers grow.	Mary dried her eyes and thanked the kindly old Squire, and after that she visited the fields each day and watched the flowers grow.	true	959.09	967.36	26.223978
98_121658_000082_000000	And it was not so very long, as the Squire said before the blossoms began to wither and fall away; and finally one day Mary looked out over the sea and saw a little speck upon the waters that looked like a sail.	And it was not so very long, as the Squire said before the blossoms began to wither and fall away; and finally one day Mary looked out over the sea and saw a little speck upon the waters that looked like a sail.	false	968.27	982.93	24.845362
98_121658_000082_000001	And when it came nearer and had grown larger, both she and her mother saw that it was the "Skylark" come home again, and you can imagine how pleased and happy the sight of the pretty little ship made them.	And when it came nearer and had grown larger, both she and her mother saw that it was the "Skylark" come home again, and you can imagine how pleased and happy the sight of the pretty little ship made them.	true	983.45	996.19	25.60974
98_121658_000083_000000	And soon after, when Mary had been hugged by her two sunburned brothers and was clasped in her father's strong arms, she whispered,	And soon after, when Mary had been hugged by her two sunburned brothers and was clasped in her father's strong arms, she whispered,	true	997.4	1006.09	23.9265
98_121658_000084_000000	"I knew you were coming soon, papa."	"I knew you were coming soon, papa."	true	1006.67	1009.33	27.405746
98_121658_000085_000000	"And how did you know, sweetheart?" he asked, giving her an extra kiss.	"And how did you know, sweetheart?" he asked, giving her an extra kiss.	true	1010.51	1015.09	27.001465
98_121658_000086_000000	"Because I watched the flowers; and the dingle-bells and cowslips and cockle-shells are all withered and faded away.	"Because I watched the flowers; and the dingle bells and cowslips and cockle shells are all withered and faded away.	false	1015.94	1023.64	21.396914
98_121658_000086_000001	And did you not say that, God willing, when this happened you would come back to us?"	And did you not say that, God willing, when this happened you would come back to us?"	true	1024.1	1029.7	22.42287
98_121658_000087_000000	"To be sure I did," answered her father, with a happy laugh; "and I must have spoken truly, sweetheart, for God in His goodness was willing, and here I am!"	"To be sure I did," answered her father, with a happy laugh; "and I must have spoken truly, sweetheart, for God in His goodness was willing, and here I am!"	true	1030.85	1042.8	22.246666
98_121658_000088_000000	The Wond'rous Wise Man	The Wond'rous Wise Man	false	1042.8	1043.64	6
98_121658_000089_000000	The Wond'rous Wise Man	The Wond'rous Wise Man	false	1043.64	1044.51	-20
98_121658_000090_000000	There was a man in our town And he was wond'rous wise; He jumped into a bramble bush And scratched out both his eyes. And when he saw his eyes were out, With all his might and main He jumped into another bush And scratched them in again!	There was a man in our town And he was wond'rous wise; He jumped into a bramble bush And scratched out both his eyes. And when he saw his eyes were out, With all his might and main He jumped into another bush And scratched them in again!	false	1044.51	1053.69	17.589943
