7881_109662_000000_000000	The two passengers in a seat near by had heard most of the conversation.	The two passengers in a seat near by had heard most of the conversation.	false	0	2.79	24.932924
7881_109662_000008_000003	He shuddered at the thought that to others, before now, the garments of his soul must have appeared sorry and threadbare.	He shuddered at the thought that to others, before now, the garments of his soul must have appeared sorry and threadbare.	true	153.74	161.56	19.921944
7881_109662_000008_000004	Vanity and conceit?	Vanity and conceit?	true	162.23	164.05	29.889175
7881_109662_000008_000005	These were the joints in his armor.	These were the joints in his armor.	true	164.48	166.9	20.304104
7881_109662_000008_000006	And how free from either she had always been--But why--	And how free from either she had always been-But why-	true	167.78	172.54	22.531588
7881_109662_000009_000000	As she had slowly moved up the aisle toward the altar he had felt an unworthy, sullen exultation that had served to support him.	As she had slowly moved up the aisle toward the altar he had felt an unworthy, sullen exultation that had served to support him.	true	174.62	182.62	18
7881_109662_000009_000001	He had told himself that her paleness was from thoughts of another than the man to whom she was about to give herself.	He had told himself that her paleness was from thoughts of another than the man to whom she was about to give herself.	true	183.59	190.24	23
7881_109662_000009_000002	But even that poor consolation had been wrenched from him.	But even that poor consolation had been wrenched from him.	true	190.67	194.02	21.342838
7881_109662_000009_000003	For, when he saw that swift, limpid, upward look that she gave the man when he took her hand, he knew himself to be forgotten.	For, when he saw that swift, limpid, upward look that she gave the man when he took her hand, he knew himself to be forgotten.	true	194.51	202.57	21.659428
7881_109662_000009_000004	Once that same look had been raised to him, and he had gauged its meaning.	Once that same look had been raised to him, and he had gauged its meaning.	true	203.24	208	24.30922
7881_109662_000009_000005	Indeed, his conceit had crumbled; its last prop was gone.	Indeed, his conceit had crumbled; its last prop was gone.	true	208.79	213.22	23.723228
7881_109662_000009_000006	Why had it ended thus?	Why had it ended thus?	true	213.98	215.74	18.465244
7881_109662_000009_000007	There had been no quarrel between them, nothing--	There had been no quarrel between them, nothing-	true	216.05	218.53	23.17156
7881_109662_000010_000000	For the thousandth time he remarshalled in his mind the events of those last few days before the tide had so suddenly turned.	For the thousandth time he remarshalled in his mind the events of those last few days before the tide had so suddenly turned.	true	219.8	227.62	19.393196
7881_109662_000011_000000	She had always insisted upon placing him upon a pedestal, and he had accepted her homage with royal grandeur.	She had always insisted upon placing him upon a pedestal, and he had accepted her homage with royal grandeur.	true	228.68	236.11	22.015953
7881_109662_000011_000001	It had been a very sweet incense that she had burned before him; so modest (he told himself); so childlike and worshipful, and (he would once have sworn) so sincere. She had invested him with an almost supernatural number of high attributes and excellencies and talents, and he had absorbed the oblation as a desert drinks the rain that can coax from it no promise of blossom or fruit.	It had been a very sweet incense that she had burned before him; so modest (he told himself); so childlike and worshipful, and (he would once have sworn) so sincere. She had invested him with an almost supernatural number of high attributes and excellencies and talents, and he had absorbed the oblation as a desert drinks the rain that can coax from it no promise of blossom or fruit.	false	236.9	267.34	21.997469
7881_109662_000012_000000	As Trysdale grimly wrenched apart the seam of his last glove, the crowning instance of his fatuous and tardily mourned egoism came vividly back to him.	As Trysdale grimly wrenched apart the seam of his last glove, the crowning instance of his fatuous and tardily mourned egoism came vividly back to him.	true	268.34	279.25	22
7881_109662_000012_000001	The scene was the night when he had asked her to come up on his pedestal with him and share his greatness.	The scene was the night when he had asked her to come up on his pedestal with him and share his greatness.	true	280.28	286.33	23.022741
7881_109662_000012_000002	He could not, now, for the pain of it, allow his mind to dwell upon the memory of her convincing beauty that night--the careless wave of her hair, the tenderness and virginal charm of her looks and words.	He could not, now, for the pain of it, allow his mind to dwell upon the memory of her convincing beauty that night-the careless wave of her hair, the tenderness and virginal charm of her looks and words.	true	287.3	301.48	23.282398
7881_109662_000012_000003	But they had been enough, and they had brought him to speak.	But they had been enough, and they had brought him to speak.	true	302.33	306.22	21.60349
7881_109662_000012_000004	During their conversation she had said:	During their conversation she had said:	true	306.98	309.25	21.568283
7881_109662_000013_000000	"And Captain Carruthers tells me that you speak the Spanish language like a native.	"And Captain Carruthers tells me that you speak the Spanish language like a native.	true	309.83	314.26	19.924921
7881_109662_000013_000001	Why have you hidden this accomplishment from me?	Why have you hidden this accomplishment from me?	true	314.57	317.17	22.390223
7881_109662_000013_000002	Is there anything you do not know?"	Is there anything you do not know?"	true	317.57	320.14	26
7881_109662_000014_000000	Now, Carruthers was an idiot.	Now, Carruthers was an idiot.	true	321.26	323.53	26.197794
7881_109662_000014_000001	No doubt he (Trysdale) had been guilty (he sometimes did such things) of airing at the club some old, canting Castilian proverb dug from the hotchpotch at the back of dictionaries. Carruthers, who was one of his incontinent admirers, was the very man to have magnified this exhibition of doubtful erudition.	No doubt he (Trysdale) had been guilty (he sometimes did such things) of airing at the club some old, canting Castilian proverb dug from the hotchpotch at the back of dictionaries. Carruthers, who was one of his incontinent admirers, was the very man to have magnified this exhibition of doubtful erudition.	true	324.2	346.75	23.244522
7881_109662_000015_000000	But, alas! the incense of her admiration had been so sweet and flattering.	But, alas! the incense of her admiration had been so sweet and flattering.	true	348.32	353.23	19.256496
7881_109662_000015_000001	He allowed the imputation to pass without denial.	He allowed the imputation to pass without denial.	true	353.81	356.92	20.692282
7881_109662_000015_000002	Without protest, he allowed her to twine about his brow this spurious bay of Spanish scholarship.	Without protest, he allowed her to twine about his brow this spurious bay of Spanish scholarship.	true	357.5	364.3	23.304089
7881_109662_000015_000003	He let it grace his conquering head, and, among its soft convolutions, he did not feel the prick of the thorn that was to pierce him later.	He let it grace his conquering head, and, among its soft convolutions, he did not feel the prick of the thorn that was to pierce him later.	true	364.97	373.69	22.418394
7881_109662_000016_000000	How glad, how shy, how tremulous she was!	How glad, how shy, how tremulous she was!	true	375.11	378.64	18
7881_109662_000016_000001	How she fluttered like a snared bird when he laid his mightiness at her feet!	How she fluttered like a snared bird when he laid his mightiness at her feet!	true	379.28	383.98	18.283825
7881_109662_000016_000002	He could have sworn, and he could swear now, that unmistakable consent was in her eyes, but, coyly, she would give him no direct answer.	He could have sworn, and he could swear now, that unmistakable consent was in her eyes, but, coyly, she would give him no direct answer.	true	384.68	394.57	25.234098
7881_109662_000016_000003	"I will send you my answer to-morrow," she said; and he, the indulgent, confident victor, smilingly granted the delay.	"I will send you my answer to morrow," she said; and he, the indulgent, confident victor, smilingly granted the delay.	true	395.48	404.44	20.875063
7881_109662_000016_000004	The next day he waited, impatient, in his rooms for the word.	The next day he waited, impatient, in his rooms for the word.	true	405.23	409.84	19.73187
7881_109662_000016_000005	At noon her groom came to the door and left the strange cactus in the red earthen jar.	At noon her groom came to the door and left the strange cactus in the red earthen jar.	true	410.39	415.84	17
7881_109662_000016_000006	There was no note, no message, merely a tag upon the plant bearing a barbarous foreign or botanical name.	There was no note, no message, merely a tag upon the plant bearing a barbarous foreign or botanical name.	true	417.02	425.38	21.231638
7881_109662_000016_000007	He waited until night, but her answer did not come.	He waited until night, but her answer did not come.	true	426.23	429.91	21.887411
7881_109662_000016_000008	His large pride and hurt vanity kept him from seeking her. Two evenings later they met at a dinner.	His large pride and hurt vanity kept him from seeking her. Two evenings later they met at a dinner.	true	431.09	438.31	22.155014
7881_109662_000016_000009	Their greetings were conventional, but she looked at him, breathless, wondering, eager.	Their greetings were conventional, but she looked at him, breathless, wondering, eager.	true	438.89	444.34	20.104158
7881_109662_000016_000010	He was courteous, adamant, waiting her explanation.	He was courteous, adamant, waiting her explanation.	true	445.13	449.65	21.561478
7881_109662_000016_000011	With womanly swiftness she took her cue from his manner, and turned to snow and ice. Thus, and wider from this on, they had drifted apart.	With womanly swiftness she took her cue from his manner, and turned to snow and ice. Thus, and wider from this on, they had drifted apart.	true	450.41	461.35	20.671642
7881_109662_000016_000012	Where was his fault?	Where was his fault?	true	461.84	463.42	23.84159
7881_109662_000016_000013	Who had been to blame?	Who had been to blame?	true	463.52	465.22	21.532822
7881_109662_000016_000014	Humbled now, he sought the answer amid the ruins of his self-conceit.	Humbled now, he sought the answer amid the ruins of his self conceit.	true	465.74	470.44	22.80595
7881_109662_000016_000015	If--	If-	true	470.9	471.82	22.782564
7881_109662_000017_000000	The voice of the other man in the room, querulously intruding upon his thoughts, aroused him.	The voice of the other man in the room, querulously intruding upon his thoughts, aroused him.	true	472.88	478.3	17.814756
7881_109662_000018_000000	"I say, Trysdale, what the deuce is the matter with you?	"I say, Trysdale, what the deuce is the matter with you?	true	478.7	482.23	21.162922
7881_109662_000018_000001	You look unhappy as if you yourself had been married instead of having acted merely as an accomplice.	You look unhappy as if you yourself had been married instead of having acted merely as an accomplice.	true	482.72	488.89	21.291235
7881_109662_000018_000002	Look at me, another accessory, come two thousand miles on a garlicky, cockroachy banana steamer all the way from South America to connive at the sacrifice--please to observe how lightly my guilt rests upon my shoulders.	Look at me, another accessory, come two thousand miles on a garlicky, cockroachy banana steamer all the way from South America to connive at the sacrifice-please to observe how lightly my guilt rests upon my shoulders.	true	489.41	505	21.719212
7881_109662_000018_000003	Only little sister I had, too, and now she's gone.	Only little sister I had, too, and now she's gone.	true	505.64	508.96	18.816963
7881_109662_000018_000004	Come now!	Come now!	true	509.27	509.91	17.112255
7881_109662_000018_000005	take something to ease your conscience."	take something to ease your conscience."	true	509.91	512.11	24
7881_109662_000019_000000	"I don't drink just now, thanks," said Trysdale.	"I don't drink just now, thanks," said Trysdale.	true	513.2	516.97	25.066303
7881_109662_000020_000000	"Your brandy," resumed the other, coming over and joining him, "is abominable.	"Your brandy," resumed the other, coming over and joining him, "is abominable.	true	517.25	523.51	22.654615
7881_109662_000020_000001	Run down to see me some time at Punta Redonda, and try some of our stuff that old Garcia smuggles in.	Run down to see me some time at Punta Redonda, and try some of our stuff that old Garcia smuggles in.	true	523.94	529.72	17
7881_109662_000020_000002	It's worth the trip. Hallo! here's an old acquaintance.	It's worth the trip. Hallo! here's an old acquaintance.	true	529.82	534.25	22.215334
7881_109662_000020_000003	Wherever did you rake up this cactus, Trysdale?"	Wherever did you rake up this cactus, Trysdale?"	true	534.53	537.55	27.696722
7881_109662_000021_000000	"A present," said Trysdale, "from a friend.	"A present," said Trysdale, "from a friend.	true	538.16	541.89	23.2075
7881_109662_000021_000001	Know the species?"	Know the species?"	false	541.89	543.34	23.855268
7881_109662_000022_000000	"Very well.	"Very well.	true	544.07	545.565	18.163307
7881_109662_000022_000001	It's a tropical concern.	It's a tropical concern.	true	545.565	547.36	29.275105
7881_109662_000022_000002	See hundreds of 'em around Punta every day.	See hundreds of 'em around Punta every day.	true	547.76	550.27	20.466015
7881_109662_000022_000003	Here's the name on this tag tied to it.	Here's the name on this tag tied to it.	true	550.64	552.82	23.204948
7881_109662_000022_000004	Know any Spanish, Trysdale?"	Know any Spanish, Trysdale?"	true	552.83	554.47	25.832428
7881_109662_000023_000000	"No," said Trysdale, with the bitter wraith of a smile--"Is it Spanish?"	"No," said Trysdale, with the bitter wraith of a smile-"Is it Spanish?"	true	555.26	561.1	21.930641
7881_109662_000024_000000	"Yes.	"Yes.	true	561.53	562.05	20.377768
7881_109662_000024_000001	The natives imagine the leaves are reaching out and beckoning to you.	The natives imagine the leaves are reaching out and beckoning to you.	true	562.05	565.96	17
7881_109662_000024_000002	They call it by this name--Ventomarme.	They call it by this name-Ventomarme.	true	566.33	569.05	25.124937
7881_109662_000024_000003	Name means in English, 'Come and take me.'"	Name means in English, 'Come and take me.'"	false	569.72	583.68	15.6529
