3994_149798_000000_000000	"What next?"	"What next?"	false	16.68	22.89	22.802103
3994_149798_000043_000000	"It will not be necessary to use the boat for that purpose," replied Glinda.	"It will not be necessary to use the boat for that purpose," replied Glinda.	true	549.98	555.16	27.305237
3994_149798_000043_000001	"Wherever in the lake the enchanted fishes may be, they will answer to my call.	"Wherever in the lake the enchanted fishes may be, they will answer to my call.	true	555.92	561.22	26.180927
3994_149798_000043_000002	What I am trying to discover is how the boat came to be on this shore, while the island on which it belongs is under water yonder.	What I am trying to discover is how the boat came to be on this shore, while the island on which it belongs is under water yonder.	true	561.8	570.7	23.253145
3994_149798_000043_000003	Did Coo-ee-oh come here in the boat to meet the Flatheads before the island was sunk, or afterward?"	Did Coo ee oh come here in the boat to meet the Flatheads before the island was sunk, or afterward?"	true	571.4	578.17	27.836546
3994_149798_000044_000000	No one could answer that question, of course; but while they pondered the matter three young men advanced from the line of trees, and rather timidly bowed to the strangers.	No one could answer that question, of course; but while they pondered the matter three young men advanced from the line of trees, and rather timidly bowed to the strangers.	true	578.99	588.28	21.387877
3994_149798_000045_000000	"Who are you, and where did you come from?" inquired the Wizard.	"Who are you, and where did you come from?" inquired the Wizard.	true	589.97	593.68	25.666698
3994_149798_000046_000000	"We are Skeezers," answered one of them, "and our home is on the Magic Isle of the Lake.	"We are Skeezers," answered one of them, "and our home is on the Magic Isle of the Lake.	true	595.4	601.33	24.256174
3994_149798_000046_000001	We ran away when we saw you coming, and hid behind the trees, but as you are Strangers and seem to be friendly we decided to meet you, for we are in great trouble and need assistance."	We ran away when we saw you coming, and hid behind the trees, but as you are Strangers and seem to be friendly we decided to meet you, for we are in great trouble and need assistance."	true	601.82	612.34	21.96414
3994_149798_000047_000000	"If you belong on the island, why are you here?" demanded Glinda.	"If you belong on the island, why are you here?" demanded Glinda.	true	613.94	619.3	20.801167
3994_149798_000048_000000	So they told her all the story: How the Queen had defied the Flatheads and submerged the whole island so that her enemies could not get to it or destroy it; how, when the Flatheads came to the shore, Coo-ee-oh had commanded them, together with their friend Ervic, to go with her in the submarine to conquer the Su-dic, and how the boat had shot out from the basement of the sunken isle, obeying a magic word, and risen to the surface, where it opened and floated upon the water.	So they told her all the story: How the Queen had defied the Flatheads and submerged the whole island so that her enemies could not get to it or destroy it; how, when the Flatheads came to the shore, Coo ee oh had commanded them, together with their friend Ervic, to go with her in the submarine to conquer the Su dic, and how the boat had shot out from the basement of the sunken isle, obeying a magic word, and risen to the surface, where it opened and floated upon the water.	false	620.81	648.49	24.503658
3994_149798_000049_000000	Then followed the account of how the Su-dic had transformed Coo-ee-oh into a swan, after which she had forgotten all the witchcraft she ever knew.	Then followed the account of how the Su dic had transformed Coo ee oh into a swan, after which she had forgotten all the witchcraft she ever knew.	false	650	658.78	23.741985
3994_149798_000049_000001	The young men told how, in the night when they were asleep, their comrade Ervic had mysteriously disappeared, while the boat in some strange manner had floated to the shore and stranded upon the beach.	The young men told how, in the night when they were asleep, their comrade Ervic had mysteriously disappeared, while the boat in some strange manner had floated to the shore and stranded upon the beach.	true	659.09	670.42	22.294748
3994_149798_000050_000000	That was all they knew.	That was all they knew.	true	671.06	672.43	22.974495
3994_149798_000050_000001	They had searched in vain for three days for Ervic.	They had searched in vain for three days for Ervic.	true	672.83	676.12	23.640882
3994_149798_000050_000002	As their island was under water and they could not get back to it, the three Skeezers had no place to go, and so had waited patiently beside their boat for something to happen.	As their island was under water and they could not get back to it, the three Skeezers had no place to go, and so had waited patiently beside their boat for something to happen.	true	676.4	686.35	21.474533
3994_149798_000051_000000	Being questioned by Glinda and the Wizard, they told all they knew about Ozma and Dorothy and declared the two girls were still in the village under the Great Dome.	Being questioned by Glinda and the Wizard, they told all they knew about Ozma and Dorothy and declared the two girls were still in the village under the Great Dome.	true	688.43	697.18	22.918678
3994_149798_000051_000001	They were quite safe and would be well cared for by Lady Aurex, now that the Queen who opposed them was out of the way.	They were quite safe and would be well cared for by Lady Aurex, now that the Queen who opposed them was out of the way.	true	697.7	704.38	26.517588
3994_149798_000052_000000	When they had gleaned all the information they could from these Skeezers, the Wizard said to Glinda:	When they had gleaned all the information they could from these Skeezers, the Wizard said to Glinda:	true	705.86	711.16	24.717016
3994_149798_000053_000000	"If you find you can make this boat obey your sorcery, you could have it return to the island, submerge itself, and enter the door in the basement from which it came.	"If you find you can make this boat obey your sorcery, you could have it return to the island, submerge itself, and enter the door in the basement from which it came.	true	711.56	720.58	22.478601
3994_149798_000053_000001	But I cannot see that our going to the sunken island would enable our friends to escape.	But I cannot see that our going to the sunken island would enable our friends to escape.	true	720.8	725.65	23.33415
3994_149798_000053_000002	We would only Join them as prisoners."	We would only Join them as prisoners."	true	725.93	728.02	21.577341
3994_149798_000054_000000	"Not so, friend Wizard," replied Glinda.	"Not so, friend Wizard," replied Glinda.	true	729.05	732.73	24.803812
3994_149798_000054_000001	"If the boat would obey my commands to enter the basement door, it would also obey my commands to come out again, and I could bring Ozma and Dorothy back with me."	"If the boat would obey my commands to enter the basement door, it would also obey my commands to come out again, and I could bring Ozma and Dorothy back with me."	true	733.31	742.57	25.530481
3994_149798_000055_000000	"And leave all of our people still imprisoned?" asked one of the Skeezers reproachfully.	"And leave all of our people still imprisoned?" asked one of the Skeezers reproachfully.	true	743.81	749.56	26.138144
3994_149798_000056_000000	"By making several trips in the boat, Glinda could fetch all your people to the shore," replied the Wizard.	"By making several trips in the boat, Glinda could fetch all your people to the shore," replied the Wizard.	true	750.23	755.89	29.609392
3994_149798_000057_000000	"But what could they do then?" inquired another Skeezer.	"But what could they do then?" inquired another Skeezer.	true	757.85	761.35	25.071785
3994_149798_000057_000001	"They would have no homes and no place to go, and would be at the mercy of their enemies, the Flatheads."	"They would have no homes and no place to go, and would be at the mercy of their enemies, the Flatheads."	true	762.08	767.41	22.81021
3994_149798_000058_000000	"That is true," said Glinda the Good.	"That is true," said Glinda the Good.	true	768.5	771.43	26.816534
3994_149798_000058_000001	"And as these people are Ozma's subjects, I think she would refuse to escape with Dorothy and leave the others behind, or to abandon the island which is the lawful home of the Skeezers.	"And as these people are Ozma's subjects, I think she would refuse to escape with Dorothy and leave the others behind, or to abandon the island which is the lawful home of the Skeezers.	false	772.16	782.74	22.495665
3994_149798_000058_000002	I believe the best plan will be to summon the three fishes and learn from them how to raise the island."	I believe the best plan will be to summon the three fishes and learn from them how to raise the island."	true	782.87	788.86	20.088858
3994_149798_000059_000000	The little Wizard seemed to think that this was rather a forlorn hope.	The little Wizard seemed to think that this was rather a forlorn hope.	true	790.13	795.03	22.542206
3994_149798_000060_000000	"How will you summon them," he asked the lovely Sorceress, "and how can they hear you?"	"How will you summon them," he asked the lovely Sorceress, "and how can they hear you?"	false	795.03	799.84	22.535843
3994_149798_000061_000000	"That is something we must consider carefully," responded stately Glinda, with a serene smile.	"That is something we must consider carefully," responded stately Glinda, with a serene smile.	true	801.5	808.06	24.295528
3994_149798_000061_000001	"I think I can find a way."	"I think I can find a way."	true	808.43	810.97	23.851318
3994_149798_000062_000000	All of Ozma's counsellors applauded this sentiment, for they knew well the powers of the Sorceress.	All of Ozma's counsellors applauded this sentiment, for they knew well the powers of the Sorceress.	true	811.91	817.81	22.721514
3994_149798_000063_000000	"Very well," agreed the Wizard.	"Very well," agreed the Wizard.	true	818.57	820.86	23.087286
3994_149798_000063_000001	"Summon them, most noble Glinda."	"Summon them, most noble Glinda."	false	820.86	837.33	19.929226
