8266_279363_000000_000000	Miss Woodville stepped aside and smiled wanly.	Miss Woodville stepped aside and smiled wanly.	false	0	2.7	22.863794
8266_279363_000006_000000	They reached the door, the cut in the side of the ravine, and at once a wide portion of the battlefield sprang into the light, while the roar of the guns was redoubled.	They reached the door, the cut in the side of the ravine, and at once a wide portion of the battlefield sprang into the light, while the roar of the guns was redoubled.	true	61.61	70.24	22.116388
8266_279363_000006_000001	Dick would have stepped back now, but Colonel Woodville's hand rested on his shoulder and his support was needed.	Dick would have stepped back now, but Colonel Woodville's hand rested on his shoulder and his support was needed.	true	70.67	76.03	23.20365
8266_279363_000007_000000	"My glasses, Margaret!" said the colonel.	"My glasses, Margaret!" said the colonel.	true	76.58	78.85	24.182974
8266_279363_000007_000001	"I must see!	"I must see!	true	79.1	80.17	23.003437
8266_279363_000007_000002	I will see!	I will see!	true	80.24	81.37	20.224884
8266_279363_000007_000003	If I am but an old hound, lying here while the pack is in full cry, I will nevertheless see the chase!	If I am but an old hound, lying here while the pack is in full cry, I will nevertheless see the chase!	true	81.65	87.28	21.703447
8266_279363_000007_000004	And even if I am an old hound I could run with the best of them if that infernal Yankee bullet had not taken me in the leg!"	And even if I am an old hound I could run with the best of them if that infernal Yankee bullet had not taken me in the leg!"	true	87.65	94	22.94222
8266_279363_000008_000000	Miss Woodville brought him the glasses, a powerful pair, and he glued them instantly to his eyes.	Miss Woodville brought him the glasses, a powerful pair, and he glued them instantly to his eyes.	false	94.04	99.07	21.581644
8266_279363_000008_000001	Dick saw only the field of battle, dark lines and blurs, the red flare of cannon and rifle fire, and towers and banks of smoke, but the colonel saw individual human beings, and, with his trained military eye, he knew what the movements meant.	Dick saw only the field of battle, dark lines and blurs, the red flare of cannon and rifle fire, and towers and banks of smoke, but the colonel saw individual human beings, and, with his trained military eye, he knew what the movements meant.	true	99.68	114.19	21.4448
8266_279363_000008_000002	Dick felt the hand upon his shoulder trembling with excitement.	Dick felt the hand upon his shoulder trembling with excitement.	true	114.77	117.73	24.932842
8266_279363_000008_000003	He was excited himself.	He was excited himself.	true	118.16	119.74	21.513502
8266_279363_000008_000004	Miss Woodville stood just behind them, and a faint tinge of color appeared in her pale face.	Miss Woodville stood just behind them, and a faint tinge of color appeared in her pale face.	true	120.23	124.78	22.501366
8266_279363_000009_000000	"The Yankees are getting ready to charge," said the colonel.	"The Yankees are getting ready to charge," said the colonel.	true	125.54	128.35	23.972649
8266_279363_000009_000001	"At the point we see they will not yet rush forward.	"At the point we see they will not yet rush forward.	true	128.72	131.44	24.498407
8266_279363_000009_000002	They will, of course, wait for a preconcerted signal, and then their whole army will attack at once.	They will, of course, wait for a preconcerted signal, and then their whole army will attack at once.	false	131.48	136.36	21.178799
8266_279363_000009_000003	But the woods and ravines are filled with their skirmishers, trying to clear the way.	But the woods and ravines are filled with their skirmishers, trying to clear the way.	true	137.12	140.89	23.556757
8266_279363_000009_000004	I can see them in hundreds and hundreds, and their rifles make sheets of flame.	I can see them in hundreds and hundreds, and their rifles make sheets of flame.	true	141.2	145.27	20.41386
8266_279363_000009_000005	All the time the cannon are firing over their heads.	All the time the cannon are firing over their heads.	true	145.64	148.18	24.64317
8266_279363_000009_000006	Heavens, what a bombardment!	Heavens, what a bombardment!	true	148.61	150.28	23.018818
8266_279363_000009_000007	I've never before listened to its like!"	I've never before listened to its like!"	true	150.5	152.53	23.792238
8266_279363_000010_000000	"What are our troops doing, father?" asked Miss Woodville.	"What are our troops doing, father?" asked Miss Woodville.	true	152.78	155.71	27.286976
8266_279363_000011_000000	"Very little yet, and they should do little.	"Very little yet, and they should do little.	true	155.99	158.23	22.58364
8266_279363_000011_000001	Pemberton is showing more judgment than I expected of him.	Pemberton is showing more judgment than I expected of him.	true	158.39	161.2	21.080423
8266_279363_000011_000002	The defense should hold its fire until the enemy is well within range and that's what we're doing!"	The defense should hold its fire until the enemy is well within range and that's what we're doing!"	true	161.48	166	20.8377
8266_279363_000012_000000	The colonel leaned a little more heavily upon him, but Dick steadied himself.	The colonel leaned a little more heavily upon him, but Dick steadied himself.	true	166.52	170.05	21.521757
8266_279363_000012_000001	The old man still kept the glasses to his eyes, and swept them back and forth in as wide an arc as their position permitted.	The old man still kept the glasses to his eyes, and swept them back and forth in as wide an arc as their position permitted.	false	170.39	176.41	23.04521
8266_279363_000012_000002	The hills shook with the thunder of the cannon, and the brilliant sun, piercing through the smoke, lighted up the vast battle line.	The hills shook with the thunder of the cannon, and the brilliant sun, piercing through the smoke, lighted up the vast battle line.	true	176.93	183.85	23.964201
8266_279363_000013_000000	"The attack of the skirmishers grows hotter," said the old man.	"The attack of the skirmishers grows hotter," said the old man.	true	184.04	187.12	25.151754
8266_279363_000013_000001	"The thickets blaze with the fire of their rifles.	"The thickets blaze with the fire of their rifles.	true	187.43	189.91	21.590864
8266_279363_000013_000002	Heavy masses of infantry are moving forward.	Heavy masses of infantry are moving forward.	true	190.16	192.61	19.902105
8266_279363_000013_000003	Now they stop and lie on their arms.	Now they stop and lie on their arms.	true	193.1	195.04	21.713964
8266_279363_000013_000004	They are awaiting the word from other parts of the field, and it shows with certainty that a grand attack is coming.	They are awaiting the word from other parts of the field, and it shows with certainty that a grand attack is coming.	true	195.41	200.41	21.85363
8266_279363_000013_000005	Two batteries of eight guns each have come nearer.	Two batteries of eight guns each have come nearer.	true	201.02	203.56	21.499685
8266_279363_000013_000006	I did not think it possible for the fire of their cannon to increase, but it has done so.	I did not think it possible for the fire of their cannon to increase, but it has done so.	true	203.99	208.09	24.397604
8266_279363_000013_000007	Young sir, would you care to look through the glasses?"	Young sir, would you care to look through the glasses?"	true	208.49	210.85	22.08343
8266_279363_000014_000000	"I believe not, Colonel.	"I believe not, Colonel.	true	211.4	212.655	26.751091
8266_279363_000014_000001	I will trust to the naked eye and your report."	I will trust to the naked eye and your report."	true	212.655	214.93	21.236797
8266_279363_000015_000000	It was an odd feeling that made Dick decline the glasses.	It was an odd feeling that made Dick decline the glasses.	true	215.27	217.81	21.814484
8266_279363_000015_000001	If he looked he must tell to the others what he saw, and he wished to show neither exultation nor depression.	If he looked he must tell to the others what he saw, and he wished to show neither exultation nor depression.	true	218.27	223.9	22.134558
8266_279363_000015_000002	The colonel, the duty of courtesy discharged, resumed his own position of witness and herald.	The colonel, the duty of courtesy discharged, resumed his own position of witness and herald.	true	224.54	229.9	23.233932
8266_279363_000016_000000	"The columns of infantry are getting up again," he said.	"The columns of infantry are getting up again," he said.	true	230.3	233.17	22.003479
8266_279363_000016_000001	"I see a man in what I take to be a general's uniform riding along their front.	"I see a man in what I take to be a general's uniform riding along their front.	true	233.48	237.07	21.127779
8266_279363_000016_000002	He must be making a speech.	He must be making a speech.	true	237.35	238.87	23.94883
8266_279363_000016_000003	No doubt he knows the desperate nature of the attack, and would inspire them.	No doubt he knows the desperate nature of the attack, and would inspire them.	true	239.18	242.83	22.420872
8266_279363_000016_000004	Now he is gone and other officers, colonels and majors are moving about."	Now he is gone and other officers, colonels and majors are moving about."	true	243.2	246.88	22.375746
8266_279363_000017_000000	"What are the skirmishers doing, Colonel?"	"What are the skirmishers doing, Colonel?"	true	247.16	248.86	20.32117
8266_279363_000018_000000	"Their fire is not so hot.	"Their fire is not so hot.	true	249.38	250.93	26.429659
8266_279363_000018_000001	They must be drawing back.	They must be drawing back.	true	250.94	252.4	21.97
8266_279363_000018_000002	They have made the prelude, and the importance of their role has passed.	They have made the prelude, and the importance of their role has passed.	true	252.68	255.82	24.172
8266_279363_000018_000003	The masses of infantry are drawing together again.	The masses of infantry are drawing together again.	true	256.19	258.55	22.757673
8266_279363_000018_000004	Now I see men on horseback with trumpets to their lips.	Now I see men on horseback with trumpets to their lips.	true	259.07	261.73	21.621662
8266_279363_000018_000005	Yes, the charge is coming.	Yes, the charge is coming.	true	262.19	263.74	25.896896
8266_279363_000018_000006	Ah-h!	Ah h!	false	264.26	265.23	22.940697
8266_279363_000018_000007	That burnt them!"	That burnt them!"	true	265.23	266.32	27.050856
8266_279363_000019_000000	There was a terrific crash much nearer, and Dick knew that it was the Southern batteries opening fire.	There was a terrific crash much nearer, and Dick knew that it was the Southern batteries opening fire.	true	266.57	271.57	23.632063
8266_279363_000019_000001	The shoulder upon which the colonel's hand rested shook a little, but it was from excitement.	The shoulder upon which the colonel's hand rested shook a little, but it was from excitement.	true	271.91	276.1	24.49
8266_279363_000019_000002	He said nothing and Colonel Woodville continued:	He said nothing and Colonel Woodville continued:	true	276.47	278.95	21.131907
8266_279363_000020_000000	"The smoke is so heavy I can't see what damage was done!	"The smoke is so heavy I can't see what damage was done!	true	279.14	281.68	23.356544
8266_279363_000020_000001	Now it has cleared away!	Now it has cleared away!	true	282.29	283.54	24.505472
8266_279363_000020_000002	There are gaps in the Yankee lines, but the men have closed up, and they come on at the double quick with their cannon still firing over their heads!"	There are gaps in the Yankee lines, but the men have closed up, and they come on at the double quick with their cannon still firing over their heads!"	true	284.12	290.59	23.770407
8266_279363_000021_000000	In his excitement he took his hand off Dick's shoulder and leaned forward a little farther, supporting himself now against the earthen wall.	In his excitement he took his hand off Dick's shoulder and leaned forward a little farther, supporting himself now against the earthen wall.	true	290.87	297.64	22.359388
8266_279363_000021_000001	Dick stood just behind him, shielded from the sight of any one who might be passing in the ravine, although there was little danger now from searchers with a great battle going on.	Dick stood just behind him, shielded from the sight of any one who might be passing in the ravine, although there was little danger now from searchers with a great battle going on.	true	298.1	306.37	20.921242
8266_279363_000021_000002	Meanwhile he watched the combat with an eagerness fully equal to that of the old colonel.	Meanwhile he watched the combat with an eagerness fully equal to that of the old colonel.	true	307.1	311.41	23.383135
8266_279363_000022_000000	The mighty crash of cannon and rifles together continued, but for a little while the smoke banked up in front so densely that the whole combat was hidden from them.	The mighty crash of cannon and rifles together continued, but for a little while the smoke banked up in front so densely that the whole combat was hidden from them.	true	311.87	320.08	22.446962
8266_279363_000022_000001	Then a wind slowly rolled the smoke away. The figures of the men began to appear like shadowy tracery, and then emerged, distinct and separate from the haze.	Then a wind slowly rolled the smoke away. The figures of the men began to appear like shadowy tracery, and then emerged, distinct and separate from the haze.	true	320.78	330.16	20.527266
8266_279363_000023_000000	"They are nearer now," said the Colonel.	"They are nearer now," said the Colonel.	true	330.71	332.71	22.824436
8266_279363_000023_000001	"I can plainly see their long lines moving and their light guns coming with them.	"I can plainly see their long lines moving and their light guns coming with them.	true	333.2	336.88	19.543064
8266_279363_000023_000002	But our batteries are raking them horribly.	But our batteries are raking them horribly.	true	337.25	339.4	21.59158
8266_279363_000023_000003	Their men are falling by the scores and hundreds."	Their men are falling by the scores and hundreds."	true	339.71	342.16	20.988708
8266_279363_000024_000000	Miss Woodville uttered a deep sigh and turned her face away.	Miss Woodville uttered a deep sigh and turned her face away.	true	342.53	345.34	20.168905
8266_279363_000024_000001	But she looked again in a few moments.	But she looked again in a few moments.	true	345.59	347.35	21.847584
8266_279363_000024_000002	The terrible spell was upon her, too.	The terrible spell was upon her, too.	true	347.81	349.93	25.958572
8266_279363_000025_000000	Dick's nerves were quivering.	Dick's nerves were quivering.	true	350.39	351.88	24.019936
8266_279363_000025_000001	His heart was with the assailants and theirs with the assailed, but he would not speak aloud against the hopes of Colonel Woodville and his daughter, since he was in their house, such as it was, and, in a measure, under their protection.	His heart was with the assailants and theirs with the assailed, but he would not speak aloud against the hopes of Colonel Woodville and his daughter, since he was in their house, such as it was, and, in a measure, under their protection.	true	352.13	364.12	22.236614
8266_279363_000026_000000	"Their charge is splendid," continued the colonel, "and I hope Pemberton has made full use of the ground for defense!	"Their charge is splendid," continued the colonel, "and I hope Pemberton has made full use of the ground for defense!	true	364.7	370.48	23.598091
8266_279363_000026_000001	He will need all the help he can get!	He will need all the help he can get!	true	370.76	372.46	22.227245
8266_279363_000026_000002	Oh, to be out of the battle on such a day!	Oh, to be out of the battle on such a day!	true	372.95	375.22	23.453413
8266_279363_000026_000003	The smoke is in the way again and I can see nothing.	The smoke is in the way again and I can see nothing.	true	375.71	377.98	22.499063
8266_279363_000026_000004	Now it has passed and the enemy is still advancing, but our fire grows hotter and hotter!	Now it has passed and the enemy is still advancing, but our fire grows hotter and hotter!	true	378.5	382.81	22.275627
8266_279363_000026_000005	The shells and the grape and the canister and the bullets are smashing through them. They cannot live under it!	The shells and the grape and the canister and the bullets are smashing through them. They cannot live under it!	false	383.48	388.84	23.404663
8266_279363_000026_000006	They must go back!"	They must go back!"	true	388.97	390.19	27.674683
8266_279363_000027_000000	Nevertheless the blue lines came steadily toward the Southern earthworks.	Nevertheless the blue lines came steadily toward the Southern earthworks.	true	390.62	394.36	22.116709
8266_279363_000027_000001	Dick saw officers, some ahorse, and some afoot, rushing about and encouraging the men, and he saw many fall and lie still while the regiments passed on.	Dick saw officers, some ahorse, and some afoot, rushing about and encouraging the men, and he saw many fall and lie still while the regiments passed on.	false	394.88	403.47	21.205082
8266_279363_000028_000000	"They are in the nearer thickets," cried the colonel, "and now they're climbing the slopes!	"They are in the nearer thickets," cried the colonel, "and now they're climbing the slopes!	false	403.47	408.34	21.226673
8266_279363_000028_000001	Ah, you riflemen, your target is there!"	Ah, you riflemen, your target is there!"	true	408.5	410.95	22.688646
8266_279363_000029_000000	The Northern army was so near now that the Southern rifle fire was beating upon it like a storm.	The Northern army was so near now that the Southern rifle fire was beating upon it like a storm.	true	411.47	416.08	18.488943
8266_279363_000029_000001	Never flinching, the men of the west and northwest hurled themselves upon the powerful fortified positions.	Never flinching, the men of the west and northwest hurled themselves upon the powerful fortified positions.	true	416.54	422.17	21.962618
8266_279363_000029_000002	Some reached shelves of the plateau almost at the mouths of the guns and hung there, their comrades falling dead or dying around them, but now the rebel yell began to swell along the vast line, and reached the ears of those in the ravine.	Some reached shelves of the plateau almost at the mouths of the guns and hung there, their comrades falling dead or dying around them, but now the rebel yell began to swell along the vast line, and reached the ears of those in the ravine.	true	422.81	435.4	20.631884
8266_279363_000030_000000	"The omen of victory!" exclaimed the colonel exultantly.	"The omen of victory!" exclaimed the colonel exultantly.	true	435.83	439.36	23.184334
8266_279363_000030_000001	"Our brave lads feel that they're about to triumph!	"Our brave lads feel that they're about to triumph!	true	439.61	442.36	25.954372
8266_279363_000030_000002	Grant can't break through our line! Why doesn't he call off his men?	Grant can't break through our line! Why doesn't he call off his men?	true	442.43	446.16	23.73123
8266_279363_000030_000003	It's slaughter!"	It's slaughter!"	true	446.16	447.22	24.637222
8266_279363_000031_000000	Dick's heart sank.	Dick's heart sank.	true	447.71	448.99	29.18429
8266_279363_000031_000001	He knew that the colonel's words were true.	He knew that the colonel's words were true.	true	449.27	451.3	24.422607
8266_279363_000031_000002	The Southern army, posted in its defenses, was breaking the ring of steel that sought to crush it to death.	The Southern army, posted in its defenses, was breaking the ring of steel that sought to crush it to death.	true	451.55	457.09	20.73395
8266_279363_000031_000003	Groups of men in blue who had seized ground in the very front of the defenses either died there or were gradually driven back.	Groups of men in blue who had seized ground in the very front of the defenses either died there or were gradually driven back.	true	457.31	464.05	21.329147
8266_279363_000031_000004	The inner ring along its front of miles thundered incessantly on the outer ring, and repelled every attempt to crush it.	The inner ring along its front of miles thundered incessantly on the outer ring, and repelled every attempt to crush it.	true	464.57	470.86	22.140768
8266_279363_000032_000000	"They yield," said the colonel, after a long time.	"They yield," said the colonel, after a long time.	true	471.35	474.16	23.180407
8266_279363_000032_000001	"The Northern fire has sunk at many points, and there! and there!	"The Northern fire has sunk at many points, and there! and there!	true	474.41	478.81	25.746101
8266_279363_000032_000002	they're retreating!	they're retreating!	true	479.15	480.22	24.783901
8266_279363_000032_000003	The attack has failed and the South has won a victory!"	The attack has failed and the South has won a victory!"	true	480.62	483.55	22.882856
8266_279363_000033_000000	"But Grant will come again," said Dick, speaking his opinion for the first time.	"But Grant will come again," said Dick, speaking his opinion for the first time.	true	483.89	488.08	25.476946
8266_279363_000034_000000	"No doubt of it," said Colonel Woodville, "but likely he will come to the same fate."	"No doubt of it," said Colonel Woodville, "but likely he will come to the same fate."	true	488.39	492.79	25.521086
8266_279363_000035_000000	He spoke wholly without animosity.	He spoke wholly without animosity.	true	493.22	495.31	23.37411
8266_279363_000035_000001	The battle now died fast.	The battle now died fast.	true	495.62	497.38	23.113266
8266_279363_000035_000002	The men in gray had been invincible.	The men in gray had been invincible.	true	497.51	499.45	22.735914
8266_279363_000035_000003	Their cannon and rifles had made an impenetrable barrier of fire, and Grant, despite the valor of his troops, had been forced to draw off.	Their cannon and rifles had made an impenetrable barrier of fire, and Grant, despite the valor of his troops, had been forced to draw off.	false	499.67	507.52	23.44444
8266_279363_000035_000004	Many thousands had fallen and the Southern generals were exultant.	Many thousands had fallen and the Southern generals were exultant.	true	507.89	511.24	20.680826
8266_279363_000035_000005	Johnston would come up, and Grant, having such heavy losses, would be unable to withstand the united Confederate armies.	Johnston would come up, and Grant, having such heavy losses, would be unable to withstand the united Confederate armies.	true	511.79	518.47	24.892609
8266_279363_000036_000000	But Grant, as Colonel Woodville foresaw, had no idea of retreating. Fresh troops were pouring down the great river for him, and while he would not again attempt to storm Vicksburg, the ring of steel around it would be made so broad and strong that Pemberton could not get out nor could Johnston get in.	But Grant, as Colonel Woodville foresaw, had no idea of retreating. Fresh troops were pouring down the great river for him, and while he would not again attempt to storm Vicksburg, the ring of steel around it would be made so broad and strong that Pemberton could not get out nor could Johnston get in.	false	518.87	535.39	22.984459
8266_279363_000037_000000	When the last cannon shot echoed over the far hills Colonel Woodville turned away from the door of his hillside home.	When the last cannon shot echoed over the far hills Colonel Woodville turned away from the door of his hillside home.	true	535.85	541.93	21.039152
8266_279363_000038_000000	"I must ask your shoulder again, young sir," he said to Dick.	"I must ask your shoulder again, young sir," he said to Dick.	false	542.24	545.71	25.02064
8266_279363_000038_000001	"What I have seen rejoices me greatly, but I do not say it to taunt you.	"What I have seen rejoices me greatly, but I do not say it to taunt you.	true	546.23	549.94	24.708694
8266_279363_000038_000002	In war if one wins the other must lose, and bear in mind that you are the invader."	In war if one wins the other must lose, and bear in mind that you are the invader."	true	550.13	555.37	19.18173
8266_279363_000039_000000	"May I help you back to your bed, sir?" asked Dick.	"May I help you back to your bed, sir?" asked Dick.	true	555.65	558.37	27.532364
8266_279363_000040_000000	"You may.	"You may.	true	558.95	559.72	24.82589
8266_279363_000040_000001	You are a good young man.	You are a good young man.	true	559.73	561.13	24.92687
8266_279363_000040_000002	I'm glad I saved you from that scoundrel, Slade.	I'm glad I saved you from that scoundrel, Slade.	true	561.32	564.01	20.40486
8266_279363_000040_000003	As the score between us is even I wish that you were out of Vicksburg and with your own people."	As the score between us is even I wish that you were out of Vicksburg and with your own people."	true	564.29	569.02	20.73507
8266_279363_000041_000000	"I was thinking, too, sir, that I ought to go.	"I was thinking, too, sir, that I ought to go.	true	569.33	571.66	25.952135
8266_279363_000041_000001	I may take a quick departure."	I may take a quick departure."	true	571.91	573.64	27.38089
8266_279363_000042_000000	"Then if you do go I wish you a speedy and safe journey, but I tell you to beware of one, Slade, who has a malicious heart and a long memory."	"Then if you do go I wish you a speedy and safe journey, but I tell you to beware of one, Slade, who has a malicious heart and a long memory."	true	573.89	581.98	22.90177
8266_279363_000043_000000	Dick withdrew to his own cell, as he called it, and he passed bitter hours there.	Dick withdrew to his own cell, as he called it, and he passed bitter hours there.	true	582.53	587.11	21.052776
8266_279363_000043_000001	The repulse had struck him a hard blow.	The repulse had struck him a hard blow.	true	587.57	589.69	23.498793
8266_279363_000043_000002	Was it possible that Grant could not win?	Was it possible that Grant could not win?	true	590.21	592.24	23.655207
8266_279363_000043_000003	And if he could not win what terrible risks he would run in the heart of the Confederacy, with perhaps two armies to fight!	And if he could not win what terrible risks he would run in the heart of the Confederacy, with perhaps two armies to fight!	true	592.7	598.78	22.872372
8266_279363_000043_000004	He felt that only the Mississippi, that life-line connecting him with the North, could save him.	He felt that only the Mississippi, that life line connecting him with the North, could save him.	true	599.36	604.36	24.231836
8266_279363_000044_000000	But as dusk came gradually in the ravine he resolved that he would go. His supper, as usual, was brought to him by Miss Woodville.	But as dusk came gradually in the ravine he resolved that he would go. His supper, as usual, was brought to him by Miss Woodville.	true	604.88	612.07	23.05575
8266_279363_000044_000001	She was as taciturn as ever, speaking scarcely a half-dozen words.	She was as taciturn as ever, speaking scarcely a half dozen words.	true	612.56	616.21	23.968481
8266_279363_000044_000002	When he asked her if Victor had gone through the battle unharmed she merely nodded, and presently he was alone again, with the dusk deepening in the great gully.	When he asked her if Victor had gone through the battle unharmed she merely nodded, and presently he was alone again, with the dusk deepening in the great gully.	false	616.7	624.79	20.259686
8266_279363_000045_000000	Dick was confident that nobody but Colonel Woodville, his daughter, and himself were in the cave-home.	Dick was confident that nobody but Colonel Woodville, his daughter, and himself were in the cave home.	true	625.22	630.19	21.292099
8266_279363_000045_000001	It was but a small place, and new callous places on her hands indicated that she was doing the cooking and all other work.	It was but a small place, and new callous places on her hands indicated that she was doing the cooking and all other work.	true	630.71	637.09	24.171019
8266_279363_000045_000002	His resolve to risk everything and go was strengthened.	His resolve to risk everything and go was strengthened.	true	637.61	640.33	23.014639
8266_279363_000046_000000	He waited patiently until the full night had come and only the usual sounds of an army in camp arose.	He waited patiently until the full night had come and only the usual sounds of an army in camp arose.	true	640.91	646.05	18
8266_279363_000046_000001	Then he made ready.	Then he made ready.	false	646.05	647.8	19.300491
8266_279363_000046_000002	He had surrendered his holster and pistols to Colonel Woodville, and so he must issue forth unarmed, but it could not be helped.	He had surrendered his holster and pistols to Colonel Woodville, and so he must issue forth unarmed, but it could not be helped.	true	648.26	654.58	23.598215
8266_279363_000046_000003	He had several ten dollar gold pieces in his pocket, and he put one of them on the tiny table in his cell.	He had several ten dollar gold pieces in his pocket, and he put one of them on the tiny table in his cell.	true	654.86	660.04	25.218336
8266_279363_000046_000004	He knew that it would be most welcome, and he could not calculate how many hundreds in Confederacy currency it was worth.	He knew that it would be most welcome, and he could not calculate how many hundreds in Confederacy currency it was worth.	true	660.44	666.07	21.902328
8266_279363_000046_000005	He was glad that he could repay a little at least.	He was glad that he could repay a little at least.	true	666.62	668.86	23.183502
8266_279363_000047_000000	Then he stepped lightly toward the larger chamber in which Colonel Woodville lay.	Then he stepped lightly toward the larger chamber in which Colonel Woodville lay.	true	669.5	673.12	22
8266_279363_000047_000001	The usual candle was burning on the table near his bed, but the great bald head lay motionless on the pillow, and the heavy white eyebrows drooped over closed lids.	The usual candle was burning on the table near his bed, but the great bald head lay motionless on the pillow, and the heavy white eyebrows drooped over closed lids.	true	673.67	682.03	23.02328
8266_279363_000047_000002	Sound asleep!	Sound asleep!	true	682.58	683.89	21.653015
8266_279363_000047_000003	Dick was glad of it.	Dick was glad of it.	true	684.05	685.18	27.621395
8266_279363_000047_000004	The colonel, with his strong loyalty to the South, might seek to hold him, at least as his personal prisoner, and now the trouble was avoided.	The colonel, with his strong loyalty to the South, might seek to hold him, at least as his personal prisoner, and now the trouble was avoided.	true	685.52	693.52	24.031328
8266_279363_000048_000000	He moved gently across the floor, and then passed toward the open door. How good that puff of fresh air and freedom felt on his face!	He moved gently across the floor, and then passed toward the open door. How good that puff of fresh air and freedom felt on his face!	true	694.01	701.5	21.796173
8266_279363_000048_000001	He did not know that Colonel Woodville raised his head on the pillow, glanced after him, and then let his head sink back and his eyes close again.	He did not know that Colonel Woodville raised his head on the pillow, glanced after him, and then let his head sink back and his eyes close again.	true	702.2	709.36	22.071384
8266_279363_000048_000002	A low sigh came between the colonel's lips, and it would have been difficult to say whether it was relief or regret.	A low sigh came between the colonel's lips, and it would have been difficult to say whether it was relief or regret.	false	709.82	715.45	24.568222
8266_279363_000049_000000	Dick stepped into the narrow path cut in the side of the ravine and inhaled more draughts of the fresh air.	Dick stepped into the narrow path cut in the side of the ravine and inhaled more draughts of the fresh air.	true	715.82	720.79	20.855003
8266_279363_000049_000001	How sweet and strong it was!	How sweet and strong it was!	true	721.28	722.98	23.92503
8266_279363_000049_000002	How it filled one's lungs and brought with it life, courage and confidence! One had to live in a hole in a hill before he could appreciate fully the blessed winds that blew about the world.	How it filled one's lungs and brought with it life, courage and confidence! One had to live in a hole in a hill before he could appreciate fully the blessed winds that blew about the world.	true	723.35	733.63	22.468098
8266_279363_000049_000003	He knew that the path ran in front of other hollows dug in the earth, and he felt sorry for the people who were compelled to burrow in them.	He knew that the path ran in front of other hollows dug in the earth, and he felt sorry for the people who were compelled to burrow in them.	true	734.18	740.41	20.717148
8266_279363_000049_000004	He felt sorry, in truth, for all Vicksburg, because now that he was outside his fears for Grant disappeared, and he knew that he must win.	He felt sorry, in truth, for all Vicksburg, because now that he was outside his fears for Grant disappeared, and he knew that he must win.	true	740.78	748.87	22.900259
8266_279363_000050_000000	While he remained in the path a deep boom came from the direction of the Union army and a huge shell burst over the town.	While he remained in the path a deep boom came from the direction of the Union army and a huge shell burst over the town.	true	749.48	755.95	22.160965
8266_279363_000050_000001	It was followed in a moment by another and then by many others.	It was followed in a moment by another and then by many others.	true	756.47	759.82	24.576963
8266_279363_000050_000002	While the besieged rejoiced in victory the besiegers had begun anew the terrible bombardment, sending a warning that the iron ring still held.	While the besieged rejoiced in victory the besiegers had begun anew the terrible bombardment, sending a warning that the iron ring still held.	true	760.43	768.4	20.5276
8266_279363_000051_000000	Dick paused no longer, but ran rapidly along the path until he emerged upon the open plateau and proceeded toward the center of the town.	Dick paused no longer, but ran rapidly along the path until he emerged upon the open plateau and proceeded toward the center of the town.	true	768.71	775.69	23.743376
