6505_231836_000002_000000	CHAPTER IV	CHAPTER four
6505_231836_000022_000001	Berwin!	Berwin!
6505_231836_000022_000003	A very good name, Berwin, but not for me.	A very good name, Berwin, but not for me.
6505_231836_000022_000004	Oh, was there ever so unhappy a creature as I? False name, false friend, in disgrace, in hiding!	Oh, was there ever so unhappy a creature as I? False name, false friend, in disgrace, in hiding!
6505_231836_000022_000005	Curse everybody!	Curse everybody!
6505_231836_000022_000006	Go! go!	Go! go!
6505_231836_000022_000007	Mr. Denzil, and leave me to die here like a rat in its hole!"	mr Denzil, and leave me to die here like a rat in its hole!"
6505_231836_000023_000000	"You are ill!" said Lucian, amazed by the man's fury.	"You are ill!" said Lucian, amazed by the man's fury.
6505_231836_000025_000000	"Good-night, then," said Denzil, seeing that nothing could be done.	"Good night, then," said Denzil, seeing that nothing could be done.
6505_231836_000025_000001	"I hope you will be better in the morning."	"I hope you will be better in the morning."
6505_231836_000026_000000	Berwin shook his head, and with a silent tongue, which contrasted strangely with his late outcry, ushered Denzil out of the house.	Berwin shook his head, and with a silent tongue, which contrasted strangely with his late outcry, ushered Denzil out of the house.
6505_231836_000027_000001	He could make nothing of Berwin--as he chose to call himself--he could see no meaning in his wild words and mad behaviour; but as he walked briskly back to his lodgings he came to the conclusion that the man was nothing worse than a tragic drunkard, haunted by terrors engendered by over-indulgence in stimulants.	He could make nothing of Berwin-as he chose to call himself-he could see no meaning in his wild words and mad behaviour; but as he walked briskly back to his lodgings he came to the conclusion that the man was nothing worse than a tragic drunkard, haunted by terrors engendered by over indulgence in stimulants.
6505_231836_000028_000004	Henceforth I'll neither see nor think of this drunken lunatic," and with such resolve he dismissed all thoughts of his strange acquaintance from his mind, which, under the circumstances, was perhaps the wisest thing he could do.	Henceforth I'll neither see nor think of this drunken lunatic," and with such resolve he dismissed all thoughts of his strange acquaintance from his mind, which, under the circumstances, was perhaps the wisest thing he could do.
6505_231836_000029_000000	But later on certain events took place which forced him to alter his determination.	But later on certain events took place which forced him to alter his determination.
6505_231836_000029_000001	Fate, with her own ends to bring about is not to be denied by her puppets; and of these Lucian was one, designed for an important part in the drama which was to be played.	Fate, with her own ends to bring about is not to be denied by her puppets; and of these Lucian was one, designed for an important part in the drama which was to be played.
6505_231836_000030_000000	Mrs. Margery Kebby, who attended to the domestic economy of Berwin's house, was a deaf old crone with a constant thirst, only to be assuaged by strong drink; and a filching hand which was usually in every pocket save her own.	mrs Margery Kebby, who attended to the domestic economy of Berwin's house, was a deaf old crone with a constant thirst, only to be assuaged by strong drink; and a filching hand which was usually in every pocket save her own.
6505_231836_000030_000001	She had neither kith nor kin, nor friends, nor even acquaintances; but, being something of a miser, scraped and screwed to amass money she had no need for, and dwelt in a wretched little apartment in a back slum, whence she daily issued to work little and pilfer much.	She had neither kith nor kin, nor friends, nor even acquaintances; but, being something of a miser, scraped and screwed to amass money she had no need for, and dwelt in a wretched little apartment in a back slum, whence she daily issued to work little and pilfer much.
6505_231836_000031_000000	Usually at nine o'clock she brought in her employer's breakfast from the Nelson Hotel, which was outside the Square, and while he was enjoying it in bed, after his fashion, she cleaned out and made tidy the sitting-room.	Usually at nine o'clock she brought in her employer's breakfast from the Nelson Hotel, which was outside the Square, and while he was enjoying it in bed, after his fashion, she cleaned out and made tidy the sitting room.
6505_231836_000031_000001	Berwin then dressed and went out for a walk, despite Miss Greeb's contention that he took the air only at night, like an owl, and during his absence Mrs. Kebby attended to the bedroom.	Berwin then dressed and went out for a walk, despite Miss Greeb's contention that he took the air only at night, like an owl, and during his absence mrs Kebby attended to the bedroom.
6505_231836_000031_000002	She then went about her own business, which was connected with the cleaning of various other apartments, and only returned at midday and at night to lay the table for Berwin's luncheon and dinner, or rather dinner and supper, which were also sent in from the hotel.	She then went about her own business, which was connected with the cleaning of various other apartments, and only returned at midday and at night to lay the table for Berwin's luncheon and dinner, or rather dinner and supper, which were also sent in from the hotel.
6505_231836_000032_000000	For these services Berwin paid her well, and only enjoined her to keep a quiet tongue about his private affairs, which Mrs. Kebby usually did until excited by too copious drams of gin, when she talked freely and unwisely to all the servants in the Square.	For these services Berwin paid her well, and only enjoined her to keep a quiet tongue about his private affairs, which mrs Kebby usually did until excited by too copious drams of gin, when she talked freely and unwisely to all the servants in the Square.
6505_231836_000033_000001	Also, she could tell fortunes by reading tea-leaves and shuffling cards, and was not above aiding the maid servants in their small love affairs.	Also, she could tell fortunes by reading tea leaves and shuffling cards, and was not above aiding the maid servants in their small love affairs.
6505_231836_000034_000000	In short, Mrs. Kebby was a dangerous old witch, who, a century back, would have been burnt at the stake; and the worst possible person for Berwin to have in his house.	In short, mrs Kebby was a dangerous old witch, who, a century back, would have been burnt at the stake; and the worst possible person for Berwin to have in his house.
6505_231836_000034_000002	She had a firm idea that Berwin had, in her own emphatic phrase, "done something" for which he was wanted by the police, and was always on the look out to learn the secret of his isolated life, in order to betray him, or blackmail him, or get him in some way under her thumb.	She had a firm idea that Berwin had, in her own emphatic phrase, "done something" for which he was wanted by the police, and was always on the look out to learn the secret of his isolated life, in order to betray him, or blackmail him, or get him in some way under her thumb.
6505_231836_000034_000003	As yet she had been unsuccessful.	As yet she had been unsuccessful.
6505_231836_000035_000000	Deeming her a weak, quiet old creature, Berwin, in spite of his suspicious nature, entrusted Mrs. Kebby with the key of the front door, so that she could enter for her morning's work without disturbing him. The sitting-room door itself was not always locked, but Berwin usually bolted the portal of his bedroom, and had invariably to rise and admit Mrs. Kebby with his breakfast.	Deeming her a weak, quiet old creature, Berwin, in spite of his suspicious nature, entrusted mrs Kebby with the key of the front door, so that she could enter for her morning's work without disturbing him. The sitting room door itself was not always locked, but Berwin usually bolted the portal of his bedroom, and had invariably to rise and admit mrs Kebby with his breakfast.
6505_231836_000036_000000	The same routine was observed each morning, and everything went smoothly.	The same routine was observed each morning, and everything went smoothly.
6505_231836_000036_000003	The man was as great a mystery to Mrs. Kebby as he was to the square, in spite of her superior opportunities of learning the truth.	The man was as great a mystery to mrs Kebby as he was to the square, in spite of her superior opportunities of learning the truth.
6505_231836_000037_000001	She laid the table, made up the fire, and before taking her leave asked Mr. Berwin if he wanted anything else.	She laid the table, made up the fire, and before taking her leave asked mr Berwin if he wanted anything else.
6505_231836_000038_000000	"No, I think not," replied the man, who looked wretchedly ill.	"No, I think not," replied the man, who looked wretchedly ill.
6505_231836_000038_000001	"You can bring my breakfast to-morrow."	"You can bring my breakfast to morrow."
6505_231836_000039_000000	"At nine, sir?"	"At nine, sir?"
6505_231836_000040_000000	"At the usual time," answered Berwin impatiently.	"At the usual time," answered Berwin impatiently.
6505_231836_000041_000001	As she left the house eight o'clock chimed from the steeple of a near church, and Mrs. Kebby, clinking her newly-received wages in her pocket, hurried out of the square to do her Christmas marketing.	As she left the house eight o'clock chimed from the steeple of a near church, and mrs Kebby, clinking her newly received wages in her pocket, hurried out of the square to do her Christmas marketing.
6505_231836_000041_000002	As she went down the street which led to it, Blinders, a burly, ruddy-faced policeman, who knew her well, stopped to make an observation.	As she went down the street which led to it, Blinders, a burly, ruddy faced policeman, who knew her well, stopped to make an observation.
6505_231836_000042_000000	"Is that good gentleman of yours home, Mrs. Kebby?" he asked, in the loud tones used to deaf people.	"Is that good gentleman of yours home, mrs Kebby?" he asked, in the loud tones used to deaf people.
6505_231836_000044_000000	"I saw him an hour ago," explained Blinders, "and I thought he looked ill."	"I saw him an hour ago," explained Blinders, "and I thought he looked ill."
6505_231836_000045_000000	"So he do, like a corpse.	"So he do, like a corpse.
6505_231836_000045_000001	What of that?	What of that?
6505_231836_000045_000002	We've all got to come to it some day.	We've all got to come to it some day.
6505_231836_000045_000004	Well, I don't care.	Well, I don't care.
6505_231836_000045_000005	He's paid me up till to-night.	He's paid me up till to night.
6505_231836_000046_000000	"Don't you get drunk, Mrs. Kebby, or I'll lock you up."	"Don't you get drunk, mrs Kebby, or I'll lock you up."
6505_231836_000047_000000	"Garn!" grunted the old beldame.	"Garn!" grunted the old beldame.
6505_231836_000048_000000	"I'm taking the place of a sick comrade, and I'll be on duty all night. That's my Christmas."	"I'm taking the place of a sick comrade, and I'll be on duty all night. That's my Christmas."
6505_231836_000049_000000	"Well! well!	"Well! well!
6505_231836_000050_000000	Here she began to celebrate the season, and afterwards went shopping; then she celebrated the season again, and later carried home her purchases to the miserable garret she occupied.	Here she began to celebrate the season, and afterwards went shopping; then she celebrated the season again, and later carried home her purchases to the miserable garret she occupied.
6505_231836_000051_000000	Next morning she woke in anything but an amiable mood, and had to fortify herself with an early drink before she was fit to go about her business.	Next morning she woke in anything but an amiable mood, and had to fortify herself with an early drink before she was fit to go about her business.
6505_231836_000052_000000	It was almost nine when she reached the Nelson Hotel, and found the covered tray with Mr. Berwin's breakfast waiting for her; so she hurried with it to Geneva Square as speedily as possible, fearful of a scolding. Having admitted herself into the house, Mrs. Kebby took up the tray with both hands, and pushed open the sitting-room door with her foot.	It was almost nine when she reached the Nelson Hotel, and found the covered tray with mr Berwin's breakfast waiting for her; so she hurried with it to Geneva Square as speedily as possible, fearful of a scolding. Having admitted herself into the house, mrs Kebby took up the tray with both hands, and pushed open the sitting room door with her foot.
6505_231836_000052_000001	Here, at the sight which met her eyes, she dropped the tray with a crash, and let off a shrill yell.	Here, at the sight which met her eyes, she dropped the tray with a crash, and let off a shrill yell.
