203_132073_000009_000000	THE BADGE OF POLICEMAN O'ROON	THE BADGE OF POLICEMAN O'ROON
203_132073_000023_000001	"Why do they build hotels that go round and round like catherine wheels? They'll take away my shield and break me.	"Why do they build hotels that go round and round like catherine wheels? They'll take away my shield and break me.
203_132073_000023_000003	I've got to go on duty in three hours.	I've got to go on duty in three hours.
203_132073_000023_000004	The jig is up, Remsen.	The jig is up, Remsen.
203_132073_000023_000005	The jig is up, I tell you."	The jig is up, I tell you."
203_132073_000026_000001	"You see Mounted Policeman O'Roon.	"You see Mounted Policeman O'Roon.
203_132073_000026_000002	Look at your face--no; you can't do that without a glass--but look at mine, and think of yours.	Look at your face-no; you can't do that without a glass-but look at mine, and think of yours.
203_132073_000026_000003	How much alike are we?	How much alike are we?
203_132073_000026_000005	With your badge, on your horse, in your uniform, will I charm nurse-maids and prevent the grass from growing under people's feet in the Park this day.	With your badge, on your horse, in your uniform, will I charm nurse maids and prevent the grass from growing under people's feet in the Park this day.
203_132073_000026_000006	I will have your badge and your honor, besides having the jolliest lark I've been blessed with since we licked Spain."	I will have your badge and your honor, besides having the jolliest lark I've been blessed with since we licked Spain."
203_132073_000027_000000	Promptly on time the counterfeit presentment of Mounted Policeman O'Roon single-footed into the Park on his chestnut steed.	Promptly on time the counterfeit presentment of Mounted Policeman O'Roon single footed into the Park on his chestnut steed.
203_132073_000027_000001	In a uniform two men who are unlike will look alike; two who somewhat resemble each other in feature and figure will appear as twin brothers.	In a uniform two men who are unlike will look alike; two who somewhat resemble each other in feature and figure will appear as twin brothers.
203_132073_000027_000002	So Remsen trotted down the bridle paths, enjoying himself hugely, so few real pleasures do ten-millionaires have.	So Remsen trotted down the bridle paths, enjoying himself hugely, so few real pleasures do ten millionaires have.
203_132073_000028_000000	Along the driveway in the early morning spun a victoria drawn by a pair of fiery bays.	Along the driveway in the early morning spun a victoria drawn by a pair of fiery bays.
203_132073_000028_000001	There was something foreign about the affair, for the Park is rarely used in the morning except by unimportant people who love to be healthy, poor and wise.	There was something foreign about the affair, for the Park is rarely used in the morning except by unimportant people who love to be healthy, poor and wise.
203_132073_000028_000002	In the vehicle sat an old gentleman with snowy side-whiskers and a Scotch plaid cap which could not be worn while driving except by a personage.	In the vehicle sat an old gentleman with snowy side whiskers and a Scotch plaid cap which could not be worn while driving except by a personage.
203_132073_000028_000003	At his side sat the lady of Remsen's heart--the lady who looked like pomegranate blossoms and the gibbous moon.	At his side sat the lady of Remsen's heart-the lady who looked like pomegranate blossoms and the gibbous moon.
203_132073_000029_000000	Remsen met them coming.	Remsen met them coming.
203_132073_000029_000003	The bays had bolted.	The bays had bolted.
203_132073_000030_000001	There was work cut out for the impersonator of Policeman O'Roon.	There was work cut out for the impersonator of Policeman O'Roon.
203_132073_000030_000002	The chestnut ranged alongside the off bay thirty seconds after the chase began, rolled his eye back at Remsen, and said in the only manner open to policemen's horses:	The chestnut ranged alongside the off bay thirty seconds after the chase began, rolled his eye back at Remsen, and said in the only manner open to policemen's horses:
203_132073_000031_000000	"Well, you duffer, are you going to do your share?	"Well, you duffer, are you going to do your share?
203_132073_000031_000001	You're not O'Roon, but it seems to me if you'd lean to the right you could reach the reins of that foolish slow-running bay--ah! you're all right; O'Roon couldn't have done it more neatly!"	You're not O'Roon, but it seems to me if you'd lean to the right you could reach the reins of that foolish slow running bay-ah! you're all right; O'Roon couldn't have done it more neatly!"
203_132073_000032_000000	The runaway team was tugged to an inglorious halt by Remsen's tough muscles.	The runaway team was tugged to an inglorious halt by Remsen's tough muscles.
203_132073_000032_000001	The driver released his hands from the wrapped reins, jumped from his seat and stood at the heads of the team. The chestnut, approving his new rider, danced and pranced, reviling equinely the subdued bays.	The driver released his hands from the wrapped reins, jumped from his seat and stood at the heads of the team. The chestnut, approving his new rider, danced and pranced, reviling equinely the subdued bays.
203_132073_000032_000003	And he was acutely conscious of a pair of violet eyes that would have drawn Saint Pyrites from his iron pillar--or whatever the allusion is--and of the lady's smile and look--a little frightened, but a look that, with the ever coward heart of a true lover, he could not yet construe.	And he was acutely conscious of a pair of violet eyes that would have drawn Saint Pyrites from his iron pillar-or whatever the allusion is-and of the lady's smile and look-a little frightened, but a look that, with the ever coward heart of a true lover, he could not yet construe.
203_132073_000032_000004	They were asking his name and bestowing upon him wellbred thanks for his heroic deed, and the Scotch cap was especially babbling and insistent.	They were asking his name and bestowing upon him wellbred thanks for his heroic deed, and the Scotch cap was especially babbling and insistent.
203_132073_000032_000005	But the eloquent appeal was in the eyes of the lady.	But the eloquent appeal was in the eyes of the lady.
203_132073_000033_000000	A little thrill of satisfaction ran through Remsen, because he had a name to give which, without undue pride, was worthy of being spoken in high places, and a small fortune which, with due pride, he could leave at his end without disgrace.	A little thrill of satisfaction ran through Remsen, because he had a name to give which, without undue pride, was worthy of being spoken in high places, and a small fortune which, with due pride, he could leave at his end without disgrace.
203_132073_000034_000000	He opened his lips to speak and closed them again.	He opened his lips to speak and closed them again.
203_132073_000035_000000	Who was he?	Who was he?
203_132073_000035_000001	Mounted Policeman O'Roon.	Mounted Policeman O'Roon.
203_132073_000035_000002	The badge and the honor of his comrade were in his hands.	The badge and the honor of his comrade were in his hands.
203_132073_000035_000004	Off his beat, exposed, disgraced, discharged.	Off his beat, exposed, disgraced, discharged.
203_132073_000036_000000	Remsen touched his cap, looked between the chestnut's ears, and took refuge in vernacularity.	Remsen touched his cap, looked between the chestnut's ears, and took refuge in vernacularity.
203_132073_000037_000000	"Don't mention it," he said stolidly.	"Don't mention it," he said stolidly.
203_132073_000037_000001	"We policemen are paid to do these things.	"We policemen are paid to do these things.
203_132073_000039_000000	At the end of the day Remsen sent the chestnut to his stable and went to O'Roon's room.	At the end of the day Remsen sent the chestnut to his stable and went to O'Roon's room.
203_132073_000039_000001	The policeman was again a well set up, affable, cool young man who sat by the window smoking cigars.	The policeman was again a well set up, affable, cool young man who sat by the window smoking cigars.
203_132073_000041_000000	O'Roon smiled with evident satisfaction.	O'Roon smiled with evident satisfaction.
203_132073_000042_000000	"Good old Remsen," he said, affably, "I know all about it.	"Good old Remsen," he said, affably, "I know all about it.
203_132073_000042_000001	They trailed me down and cornered me here two hours ago.	They trailed me down and cornered me here two hours ago.
203_132073_000042_000002	There was a little row at home, you know, and I cut sticks just to show them.	There was a little row at home, you know, and I cut sticks just to show them.
203_132073_000042_000003	I don't believe I told you that my Governor was the Earl of Ardsley. Funny you should bob against them in the Park.	I don't believe I told you that my Governor was the Earl of Ardsley. Funny you should bob against them in the Park.
203_132073_000042_000004	If you damaged that horse of mine I'll never forgive you.	If you damaged that horse of mine I'll never forgive you.
203_132073_000042_000005	I'm going to buy him and take him back with me.	I'm going to buy him and take him back with me.
203_132073_000042_000006	Oh, yes, and I think my sister--Lady Angela, you know--wants particularly for you to come up to the hotel with me this evening.	Oh, yes, and I think my sister-Lady Angela, you know-wants particularly for you to come up to the hotel with me this evening.
203_132073_000042_000007	Didn't lose my badge, did you, Remsen?	Didn't lose my badge, did you, Remsen?
