7868_110706_000000_000000	"Oh!" cried poor Gluck, running to look up the chimney after him; "oh dear, dear, dear me!	"Oh!" cried poor Gluck, running to look up the chimney after him; "oh dear, dear, dear me!	false	7.86	30.99	24.782907
7868_110706_000004_000003	So Hans went to vespers in the evening for the first time in his life, and, under pretence of crossing himself, stole a cupful and returned home in triumph.	So Hans went to vespers in the evening for the first time in his life, and, under pretence of crossing himself, stole a cupful and returned home in triumph.	false	136.43	146.26	25.022665
7868_110706_000005_000000	Next morning he got up before the sun rose, put the holy water into a strong flask, and two bottles of wine and some meat in a basket, slung them over his back, took his alpine staff in his hand, and set off for the mountains.	Next morning he got up before the sun rose, put the holy water into a strong flask, and two bottles of wine and some meat in a basket, slung them over his back, took his alpine staff in his hand, and set off for the mountains.	true	147.02	160.365	24.228903
7868_110706_000006_000000	On his way out of the town he had to pass the prison, and as he looked in at the windows, whom should he see but Schwartz himself peeping out of the bars, and looking very disconsolate.	On his way out of the town he had to pass the prison, and as he looked in at the windows, whom should he see but Schwartz himself peeping out of the bars, and looking very disconsolate.	true	160.365	171.85	22.832176
7868_110706_000007_000000	"Good morning, brother," said Hans; "have you any message for the King of the Golden River?"	"Good morning, brother," said Hans; "have you any message for the King of the Golden River?"	true	172.94	178.06	22.19348
7868_110706_000008_000000	Schwartz gnashed his teeth with rage, and shook the bars with all his strength; but Hans only laughed at him, and advising him to make himself comfortable till he came back again, shouldered his basket, shook the bottle of holy water in Schwartz's face till it frothed again, and marched off in the highest spirits in the world.	Schwartz gnashed his teeth with rage, and shook the bars with all his strength; but Hans only laughed at him, and advising him to make himself comfortable till he came back again, shouldered his basket, shook the bottle of holy water in Schwartz's face till it frothed again, and marched off in the highest spirits in the world.	false	178.55	196.96	24.267231
7868_110706_000009_000000	It was, indeed, a morning that might have made anyone happy, even with no Golden River to seek for.	It was, indeed, a morning that might have made anyone happy, even with no Golden River to seek for.	true	197.66	203.02	22.667196
7868_110706_000009_000001	Level lines of dewy mist lay stretched along the valley, out of which rose the massy mountains--their lower cliffs in pale gray shadow, hardly distinguishable from the floating vapour, but gradually ascending till they caught the sunlight, which ran in sharp touches of ruddy colour along the angular crags, and pierced, in long level rays, through their fringes of spear-like pine.	Level lines of dewy mist lay stretched along the valley, out of which rose the massy mountains-their lower cliffs in pale gray shadow, hardly distinguishable from the floating vapour, but gradually ascending till they caught the sunlight, which ran in sharp touches of ruddy colour along the angular crags, and pierced, in long level rays, through their fringes of spear like pine.	true	203.21	227.14	24.015144
7868_110706_000009_000002	Far above, shot up red splintered masses of castellated rock, jagged and shivered into myriads of fantastic forms, with here and there a streak of sunlit snow, traced down their chasms like a line of forked lightning; and, far beyond, and far above all these, fainter than the morning cloud, but purer and changeless, slept, in the blue sky, the utmost peaks of the eternal snow.	Far above, shot up red splintered masses of castellated rock, jagged and shivered into myriads of fantastic forms, with here and there a streak of sunlit snow, traced down their chasms like a line of forked lightning; and, far beyond, and far above all these, fainter than the morning cloud, but purer and changeless, slept, in the blue sky, the utmost peaks of the eternal snow.	false	227.99	254.5	23.848314
7868_110706_000010_000000	The Golden River, which sprang from one of the lower and snowless elevations, was now nearly in shadow; all but the uppermost jets of spray, which rose like slow smoke above the undulating line of the cataract, and floated away in feeble wreaths upon the morning wind.	The Golden River, which sprang from one of the lower and snowless elevations, was now nearly in shadow; all but the uppermost jets of spray, which rose like slow smoke above the undulating line of the cataract, and floated away in feeble wreaths upon the morning wind.	false	255.53	272.65	22.151314
7868_110706_000011_000000	On this object, and on this alone, Hans's eyes and thoughts were fixed; forgetting the distance he had to traverse, he set off at an imprudent rate of walking, which greatly exhausted him before he had scaled the first range of the green and low hills.	On this object, and on this alone, Hans's eyes and thoughts were fixed; forgetting the distance he had to traverse, he set off at an imprudent rate of walking, which greatly exhausted him before he had scaled the first range of the green and low hills.	true	273.56	290.05	26.374104
7868_110706_000011_000001	He was, moreover, surprised, on surmounting them, to find that a large glacier, of whose existence, notwithstanding his previous knowledge of the mountains, he had been absolutely ignorant, lay between him and the source of the Golden River.	He was, moreover, surprised, on surmounting them, to find that a large glacier, of whose existence, notwithstanding his previous knowledge of the mountains, he had been absolutely ignorant, lay between him and the source of the Golden River.	true	290.72	305.71	26.656254
7868_110706_000011_000002	He entered on it with the boldness of a practised mountaineer; yet he thought he had never traversed so strange or so dangerous a glacier in his life.	He entered on it with the boldness of a practised mountaineer; yet he thought he had never traversed so strange or so dangerous a glacier in his life.	true	306.77	315.7	24.986559
7868_110706_000011_000003	The ice was excessively slippery, and out of all its chasms came wild sounds of gushing water; not monotonous or low; but changeful and loud, rising occasionally into drifting passages of wild melody, then breaking off into short melancholy tones, or sudden shrieks, resembling those of human voices in distress or pain.	The ice was excessively slippery, and out of all its chasms came wild sounds of gushing water; not monotonous or low; but changeful and loud, rising occasionally into drifting passages of wild melody, then breaking off into short melancholy tones, or sudden shrieks, resembling those of human voices in distress or pain.	true	316.28	338.8	24.972958
7868_110706_000011_000004	The ice was broken into thousands of confused shapes, but none, Hans thought like the ordinary forms of splintered ice.	The ice was broken into thousands of confused shapes, but none, Hans thought like the ordinary forms of splintered ice.	false	339.14	347.91	26.479536
7868_110706_000011_000005	There seemed a curious _expression_ about all their outlines--a perpetual resemblance to living features, distorted and scornful. Myriads of deceitful shadows, and lurid lights, played and floated about and through the pale-blue pinnacles, dazzling and confusing the sight of the traveller; while his ears grew dull and his head giddy with the constant gush and roar of the concealed waters.	There seemed a curious underscore expression underscore about all their outlines-a perpetual resemblance to living features, distorted and scornful. Myriads of deceitful shadows, and lurid lights, played and floated about and through the pale blue pinnacles, dazzling and confusing the sight of the traveller; while his ears grew dull and his head giddy with the constant gush and roar of the concealed waters.	false	347.91	374.74	24.255527
7868_110706_000011_000006	These painful circumstances increased upon him as he advanced; the ice crashed and yawned into fresh chasms at his feet, tottering spires nodded around him, and fell thundering across his path; and, though he had repeatedly faced these dangers on the most terrific glaciers, and in the wildest weather, it was with a new and oppressive feeling of panic terror that he leaped the last chasm, and flung himself, exhausted and shuddering, on the firm turf of the mountain.	These painful circumstances increased upon him as he advanced; the ice crashed and yawned into fresh chasms at his feet, tottering spires nodded around him, and fell thundering across his path; and, though he had repeatedly faced these dangers on the most terrific glaciers, and in the wildest weather, it was with a new and oppressive feeling of panic terror that he leaped the last chasm, and flung himself, exhausted and shuddering, on the firm turf of the mountain.	false	376.22	405.28	24.710201
7868_110706_000012_000000	He had been compelled to abandon his basket of food, which became a perilous incumbrance on the glacier, and had now no means of refreshing himself but by breaking off and eating some of the pieces of ice.	He had been compelled to abandon his basket of food, which became a perilous incumbrance on the glacier, and had now no means of refreshing himself but by breaking off and eating some of the pieces of ice.	true	407.15	419.5	25.554628
7868_110706_000012_000001	This, however, relieved his thirst; an hour's repose recruited his hardy frame, and, with the indomitable spirit of avarice, he resumed his laborious journey.	This, however, relieved his thirst; an hour's repose recruited his hardy frame, and, with the indomitable spirit of avarice, he resumed his laborious journey.	true	420.23	430.33	25.283047
7868_110706_000013_000000	His way now lay straight up a ridge of bare red rocks, without a blade of grass to ease the foot, or a projecting angle to afford an inch of shade from the south sun.	His way now lay straight up a ridge of bare red rocks, without a blade of grass to ease the foot, or a projecting angle to afford an inch of shade from the south sun	false	430.79	440.56	24.60941
7868_110706_000013_000001	It was past noon, and the rays beat intensely upon the steep path, while the whole atmosphere was motionless, and penetrated with heat.	It was past noon, and the rays beat intensely upon the steep path, while the whole atmosphere was motionless, and penetrated with heat.	true	441.38	450.58	26.490839
7868_110706_000013_000002	Intense thirst was soon added to the bodily fatigue with which Hans was now afflicted; glance after glance he cast on the flask of water which hung at his belt.	Intense thirst was soon added to the bodily fatigue with which Hans was now afflicted; glance after glance he cast on the flask of water which hung at his belt.	true	451.73	460.9	25.429611
7868_110706_000013_000003	"Three drops are enough," at last thought he; "I may, at least, cool my lips with it."	"Three drops are enough," at last thought he; "I may, at least, cool my lips with it."	true	461.39	466.51	24.299469
7868_110706_000014_000000	He opened the flask, and was raising it to his lips, when his eye fell on an object lying on the rock beside him; he thought it moved.	He opened the flask, and was raising it to his lips, when his eye fell on an object lying on the rock beside him; he thought it moved.	true	467.33	475.9	23.9268
7868_110706_000014_000001	It was a small dog, apparently in the last agony of death from thirst.	It was a small dog, apparently in the last agony of death from thirst.	true	476.42	481.81	24.077053
7868_110706_000014_000002	Its tongue was out, its jaws dry, its limbs extended lifelessly, and a swarm of black ants were crawling about its lips and throat.	Its tongue was out, its jaws dry, its limbs extended lifelessly, and a swarm of black ants were crawling about its lips and throat.	true	482.18	490.96	25.373013
7868_110706_000014_000003	Its eye moved to the bottle which Hans held in his hand.	Its eye moved to the bottle which Hans held in his hand.	true	491.36	494.35	25
7868_110706_000014_000004	He raised it, drank, spurned the animal with his foot, and passed on.	He raised it, drank, spurned the animal with his foot, and passed on.	true	494.72	500.2	26.872667
7868_110706_000014_000005	And he did not know how it was, but he thought that a strange shadow had suddenly come across the blue sky.	And he did not know how it was, but he thought that a strange shadow had suddenly come across the blue sky.	true	500.57	507.22	22.05886
7868_110706_000015_000000	The path became steeper and more rugged every moment; and the high hill air, instead of refreshing him, seemed to throw his blood into a fever.	The path became steeper and more rugged every moment; and the high hill air, instead of refreshing him, seemed to throw his blood into a fever.	true	508.25	517.21	24.640741
7868_110706_000015_000001	The noise of the hill cataracts sounded like mockery in his ears; they were all distant, and his thirst increased every moment. Another hour passed, and he again looked down to the flask at his side; it was half empty; but there was much more than three drops in it.	The noise of the hill cataracts sounded like mockery in his ears; they were all distant, and his thirst increased every moment. Another hour passed, and he again looked down to the flask at his side; it was half empty; but there was much more than three drops in it.	false	517.58	534.13	24.662865
7868_110706_000015_000002	He stopped to open it, and again, as he did so, something moved in the path above him.	He stopped to open it, and again, as he did so, something moved in the path above him.	true	534.62	540.7	26.606857
7868_110706_000015_000003	It was a fair child, stretched nearly lifeless on the rock, its breast heaving with thirst, its eyes closed, and its lips parched and burning.	It was a fair child, stretched nearly lifeless on the rock, its breast heaving with thirst, its eyes closed, and its lips parched and burning.	true	541.28	550.63	26.092945
7868_110706_000015_000004	Hans eyed it deliberately, drank, and passed on.	Hans eyed it deliberately, drank, and passed on.	true	551.57	556.02	24.11744
7868_110706_000015_000005	And a dark-gray cloud came over the sun, and long, snake-like shadows crept up along the mountain sides.	And a dark gray cloud came over the sun, and long, snake like shadows crept up along the mountain sides.	false	556.02	562.96	23.177437
7868_110706_000015_000006	Hans struggled on.	Hans struggled on.	true	563.96	565.54	25.165243
7868_110706_000015_000007	The sun was sinking, but its descent seemed to bring no coolness; the leaden weight of the dead air pressed upon his brow and heart, but the goal was near.	The sun was sinking, but its descent seemed to bring no coolness; the leaden weight of the dead air pressed upon his brow and heart, but the goal was near.	true	565.79	576.25	23.893826
7868_110706_000015_000008	He saw the cataract of the Golden River springing from the hillside, scarcely five hundred feet above him.	He saw the cataract of the Golden River springing from the hillside, scarcely five hundred feet above him.	true	576.62	582.64	23.672518
7868_110706_000015_000009	He paused for a moment to breathe, and sprang on to complete his task.	He paused for a moment to breathe, and sprang on to complete his task.	true	583.07	587.44	26.106947
7868_110706_000016_000000	At this instant a faint cry fell on his ear.	At this instant a faint cry fell on his ear.	true	588.2	591.52	28.998579
7868_110706_000016_000001	He turned, and saw a gray-haired old man extended on the rocks.	He turned, and saw a gray haired old man extended on the rocks.	true	591.89	595.84	24.89146
7868_110706_000016_000002	His eyes were sunk, his features deadly pale, and gathered into an expression of despair. "Water!" he stretched his arms to Hans, and cried feebly, "Water!	His eyes were sunk, his features deadly pale, and gathered into an expression of despair. "Water!" he stretched his arms to Hans, and cried feebly, "Water!	false	596.15	607.3	26.124956
7868_110706_000016_000003	I am dying."	I am dying."	true	607.31	608.56	21.933594
7868_110706_000017_000000	"I have none," replied Hans; "thou hast had thy share of life." He strode over the prostrate body, and darted on.	"I have none," replied Hans; "thou hast had thy share of life." He strode over the prostrate body, and darted on.	true	608.87	616.72	22.229467
7868_110706_000017_000001	And a flash of blue lightning rose out of the east, shaped like a sword; it shook thrice over the whole heaven, and left it dark with one heavy, impenetrable shade.	And a flash of blue lightning rose out of the east, shaped like a sword; it shook thrice over the whole heaven, and left it dark with one heavy, impenetrable shade.	true	617.15	627.55	23.217731
7868_110706_000017_000002	The sun was setting; it plunged toward the horizon like a red-hot ball.	The sun was setting; it plunged toward the horizon like a red hot ball.	true	627.77	632.71	23.497374
7868_110706_000018_000000	The roar of the Golden River rose on Hans's ear.	The roar of the Golden River rose on Hans's ear.	true	633.5	636.4	19.133402
7868_110706_000018_000001	He stood at the brink of the chasm through which it ran.	He stood at the brink of the chasm through which it ran.	true	636.59	639.37	26.501373
7868_110706_000018_000002	Its waves were filled with the red glory of the sunset: they shook their crests like tongues of fire, and flashes of bloody light gleamed along their foam.	Its waves were filled with the red glory of the sunset: they shook their crests like tongues of fire, and flashes of bloody light gleamed along their foam.	false	639.95	649.18	25.450647
7868_110706_000018_000003	Their sound came mightier and mightier on his senses; his brain grew giddy with the prolonged thunder.	Their sound came mightier and mightier on his senses; his brain grew giddy with the prolonged thunder.	false	649.46	656.68	24.481012
7868_110706_000018_000004	Shuddering he drew the flask from his girdle, and hurled it into the centre of the torrent.	Shuddering he drew the flask from his girdle, and hurled it into the centre of the torrent.	false	657.14	662.08	25.107533
7868_110706_000018_000005	As he did so, an icy chill shot through his limbs: he staggered, shrieked, and fell.	As he did so, an icy chill shot through his limbs: he staggered, shrieked, and fell.	true	662.6	669.7	22.877317
7868_110706_000018_000006	The waters closed over his cry.	The waters closed over his cry.	true	670.1	672.79	25.179049
7868_110706_000018_000007	And the moaning of the river rose wildly into the night, as it gushed over _The Black Stone_.	And the moaning of the river rose wildly into the night, as it gushed over underscore The Black Stone underscore.	false	673.76	680.4	21.880886
7868_110706_000019_000000	IV.--HOW MR.	i v.--HOW mr	false	680.4	681	-20
7868_110706_000019_000001	SCHWARTZ SET OFF ON AN EXPEDITION TO THE GOLDEN RIVER, AND HOW HE PROSPERED THEREIN	SCHWARTZ SET OFF ON AN EXPEDITION TO THE GOLDEN RIVER, AND HOW HE PROSPERED THEREIN	false	681	687.6	22.141958
