2494_156017_000000_000000	THOUGHT AND PURPOSE	THOUGHT AND PURPOSE	true	22.575	24.1	25.975214
2494_156017_000005_000000	The weakest soul, knowing its own weakness, and believing this truth _that strength can only be developed by effort and practice,_ will, thus believing, at once begin to exert itself, and, adding effort to effort, patience to patience, and strength to strength, will never cease to develop, and will at last grow divinely strong.	The weakest soul, knowing its own weakness, and believing this truth underscore that strength can only be developed by effort and practice,underscore will, thus believing, at once begin to exert itself, and, adding effort to effort, patience to patience, and strength to strength, will never cease to develop, and will at last grow divinely strong.	false	152.93	173.8	22.140335
2494_156017_000006_000000	As the physically weak man can make himself strong by careful and patient training, so the man of weak thoughts can make them strong by exercising himself in right thinking.	As the physically weak man can make himself strong by careful and patient training, so the man of weak thoughts can make them strong by exercising himself in right thinking.	true	174.98	185.2	21
2494_156017_000007_000000	To put away aimlessness and weakness, and to begin to think with purpose, is to enter the ranks of those strong ones who only recognize failure as one of the pathways to attainment; who make all conditions serve them, and who think strongly, attempt fearlessly, and accomplish masterfully.	To put away aimlessness and weakness, and to begin to think with purpose, is to enter the ranks of those strong ones who only recognize failure as one of the pathways to attainment; who make all conditions serve them, and who think strongly, attempt fearlessly, and accomplish masterfully.	true	186.08	205.3	20.608517
2494_156017_000008_000000	Having conceived of his purpose, a man should mentally mark out a _straight_ pathway to its achievement, looking neither to the right nor the left.	Having conceived of his purpose, a man should mentally mark out a underscore straight underscore pathway to its achievement, looking neither to the right nor the left.	false	206.15	214.69	22.645443
2494_156017_000008_000001	Doubts and fears should be rigorously excluded; they are disintegrating elements, which break up the straight line of effort, rendering it crooked, ineffectual, useless.	Doubts and fears should be rigorously excluded; they are disintegrating elements, which break up the straight line of effort, rendering it crooked, ineffectual, useless.	true	215.51	227.62	22.08076
2494_156017_000008_000002	Thoughts of doubt and fear never accomplished anything, and never can.	Thoughts of doubt and fear never accomplished anything, and never can.	true	228.38	232.57	22.81144
2494_156017_000008_000003	They always lead to failure.	They always lead to failure.	true	233.09	234.73	22.524517
2494_156017_000008_000004	Purpose, energy, power to do, and all strong thoughts cease when doubt and fear creep in.	Purpose, energy, power to do, and all strong thoughts cease when doubt and fear creep in.	true	235.25	241.66	25.20821
2494_156017_000009_000000	The will to do springs from the knowledge that we _can_ do.	The will to do springs from the knowledge that we underscore can underscore do.	false	242.72	246.13	16
2494_156017_000009_000001	Doubt and fear are the great enemies of knowledge, and he who encourages them, who does not slay them, thwarts himself at every step.	Doubt and fear are the great enemies of knowledge, and he who encourages them, who does not slay them, thwarts himself at every step.	true	246.74	255.91	23.225273
2494_156017_000010_000000	He who has conquered doubt and fear has conquered failure.	He who has conquered doubt and fear has conquered failure.	true	256.64	259.75	20.471159
2494_156017_000010_000001	His every thought is allied with power, and all difficulties are bravely met and wisely overcome.	His every thought is allied with power, and all difficulties are bravely met and wisely overcome.	true	260.09	266.56	20.78027
2494_156017_000010_000002	His purposes are seasonably planted, and they bloom and bring forth fruit, which does not fall prematurely to the ground.	His purposes are seasonably planted, and they bloom and bring forth fruit, which does not fall prematurely to the ground.	true	266.96	274.15	22
2494_156017_000011_000000	Thought allied fearlessly to purpose becomes creative force: he who _knows_ this is ready to become something higher and stronger than a mere bundle of wavering thoughts and fluctuating sensations; he who _does_ this has become the conscious and intelligent wielder of his mental powers.	Thought allied fearlessly to purpose becomes creative force: he who underscore knows underscore this is ready to become something higher and stronger than a mere bundle of wavering thoughts and fluctuating sensations; he who underscore does underscore this has become the conscious and intelligent wielder of his mental powers.	false	275.33	295.02	21.3876
2494_156017_000012_000000	THE THOUGHT-FACTOR IN ACHIEVEMENT	THE THOUGHT FACTOR IN ACHIEVEMENT	false	295.02	295.53	-20
2494_156017_000013_000000	ALL that a man achieves and all that he fails to achieve is the direct result of his own thoughts.	ALL that a man achieves and all that he fails to achieve is the direct result of his own thoughts.	false	295.53	296.7	22.391428
2494_156017_000013_000001	In a justly ordered universe, where loss of equipoise would mean total destruction, individual responsibility must be absolute.	In a justly ordered universe, where loss of equipoise would mean total destruction, individual responsibility must be absolute.	false	296.7	298.14	24.123804
2494_156017_000013_000002	A man's weakness and strength, purity and impurity, are his own, and not another man's; they are brought about by himself, and not by another; and they can only be altered by himself, never by another.	A man's weakness and strength, purity and impurity, are his own, and not another man's; they are brought about by himself, and not by another; and they can only be altered by himself, never by another.	false	298.14	300.75	20.552488
2494_156017_000013_000003	His condition is also his own, and not another man's.	His condition is also his own, and not another man's.	false	300.75	301.44	-20
2494_156017_000013_000004	His suffering and his happiness are evolved from within.	His suffering and his happiness are evolved from within.	false	301.44	302.07	-20
2494_156017_000013_000005	As he thinks, so he is; as he continues to think, so he remains.	As he thinks, so he is; as he continues to think, so he remains.	false	302.07	303.06	-1
