476_134312_000002_000000	CHAPTER VI	CHAPTER six
476_134312_000035_000002	We are going to get the pile and then we're off to South America, and you won't see us for dust."	We are going to get the pile and then we're off to South America, and you won't see us for dust."
476_134312_000037_000000	The warder's step on the stones outside reduced them to silence. Suddenly his voice came up the stairs.	The warder's step on the stones outside reduced them to silence. Suddenly his voice came up the stairs.
476_134312_000038_000000	"Forty-three," he called sharply, "I want you down here."	"Forty three," he called sharply, "I want you down here."
476_134312_000039_000000	John took his paint pot and brush and went clattering down the uncarpeted stairs.	john took his paint pot and brush and went clattering down the uncarpeted stairs.
476_134312_000040_000000	"Where's the other man?" asked the warder, in a low voice.	"Where's the other man?" asked the warder, in a low voice.
476_134312_000041_000000	"He's upstairs in the back room."	"He's upstairs in the back room."
476_134312_000042_000001	Coming up from Princetown was a big, grey car.	Coming up from Princetown was a big, grey car.
476_134312_000043_000000	"Put down your paint pot," he said.	"Put down your paint pot," he said.
476_134312_000045_000000	"I am going upstairs.	"I am going upstairs.
476_134312_000045_000001	When that car comes abreast of the gate, ask no questions and jump into it.	When that car comes abreast of the gate, ask no questions and jump into it.
476_134312_000045_000002	Get down into the bottom and pull a sack over you, and do not get up until the car stops."	Get down into the bottom and pull a sack over you, and do not get up until the car stops."
476_134312_000049_000000	Like an automaton John put down his brushes, and walked slowly to the gate.	Like an automaton john put down his brushes, and walked slowly to the gate.
476_134312_000049_000005	Now it was going fast, now faster, now it rocked and swayed as it gathered speed.	Now it was going fast, now faster, now it rocked and swayed as it gathered speed.
476_134312_000051_000000	"Get out," said a voice.	"Get out," said a voice.
476_134312_000054_000001	Where could he go?	Where could he go?
476_134312_000056_000001	At the foot there was a smooth stretch of green sward.	At the foot there was a smooth stretch of green sward.
476_134312_000059_000000	"But, I do not understand.	"But, I do not understand.
476_134312_000067_000001	They discovered your escape," he said. "Get in."	They discovered your escape," he said. "Get in."
476_134312_000070_000000	He clicked over a lever and with a roar the big three-bladed tractor screw spun.	He clicked over a lever and with a roar the big three bladed tractor screw spun.
476_134312_000072_000000	Up, up, they climbed in one long sweeping ascent, passing through drifting clouds till the machine soared like a bird above the blue sea.	Up, up, they climbed in one long sweeping ascent, passing through drifting clouds till the machine soared like a bird above the blue sea.
476_134312_000073_000000	John Lexman looked down.	john Lexman looked down.
476_134312_000074_000000	Talking was impossible.	Talking was impossible.
476_134312_000075_000000	Kara was evidently a skilful pilot.	Kara was evidently a skilful pilot.
476_134312_000075_000001	From time to time he consulted the compass on the board before him, and changed his course ever so slightly.	From time to time he consulted the compass on the board before him, and changed his course ever so slightly.
476_134312_000076_000000	John Lexman read:	john Lexman read:
476_134312_000077_000000	"If you cannot swim there is a life belt under your seat."	"If you cannot swim there is a life belt under your seat."
476_134312_000082_000000	A white steam yacht, long and narrow of beam, was steaming slowly westward.	A white steam yacht, long and narrow of beam, was steaming slowly westward.
476_134312_000082_000001	He could see the feathery wake in her rear, and as the aeroplane fell he had time to observe that a boat had been put off.	He could see the feathery wake in her rear, and as the aeroplane fell he had time to observe that a boat had been put off.
476_134312_000082_000002	Then with a jerk the monoplane flattened out and came like a skimming bird to the surface of the water; her engines stopped.	Then with a jerk the monoplane flattened out and came like a skimming bird to the surface of the water; her engines stopped.
476_134312_000083_000000	"We ought to be able to keep afloat for ten minutes," said Kara, "and by that time they will pick us up."	"We ought to be able to keep afloat for ten minutes," said Kara, "and by that time they will pick us up."
476_134312_000085_000000	In less than five minutes the boat had come alongside, manned, as Lexman gathered from a glimpse of the crew, by Greeks.	In less than five minutes the boat had come alongside, manned, as Lexman gathered from a glimpse of the crew, by Greeks.
476_134312_000085_000002	Kara was by his side.	Kara was by his side.
