781_127518_000000_000000	"Livesey," returned the squire, "you are always in the right of it.	"Livesey," returned the squire, "you are always in the right of it.	false	4.23	9.36	20
781_127518_000007_000000	Dear Livesey--As I do not know whether you are at the hall or still in London, I send this in double to both places.	Dear Livesey-As I do not know whether you are at the hall or still in London, I send this in double to both places.	true	147.54	155.35	21.438429
781_127518_000008_000000	The ship is bought and fitted.	The ship is bought and fitted.	true	155.72	157.99	27.246819
781_127518_000008_000001	She lies at anchor, ready for sea.	She lies at anchor, ready for sea.	true	158.27	160.96	20.679546
781_127518_000008_000002	You never imagined a sweeter schooner--a child might sail her--two hundred tons; name, HISPANIOLA.	You never imagined a sweeter schooner-a child might sail her-two hundred tons; name, HISPANIOLA.	true	161.12	169.24	21.563408
781_127518_000009_000000	I got her through my old friend, Blandly, who has proved himself throughout the most surprising trump.	I got her through my old friend, Blandly, who has proved himself throughout the most surprising trump.	true	169.55	176.68	20.929895
781_127518_000009_000001	The admirable fellow literally slaved in my interest, and so, I may say, did everyone in Bristol, as soon as they got wind of the port we sailed for--treasure, I mean.	The admirable fellow literally slaved in my interest, and so, I may say, did everyone in Bristol, as soon as they got wind of the port we sailed for-treasure, I mean.	false	177.17	188.56	20.04024
781_127518_000010_000000	"Redruth," said I, interrupting the letter, "Dr. Livesey will not like that.	"Redruth," said I, interrupting the letter, "dr Livesey will not like that.	true	189.38	193.77	22.558174
781_127518_000010_000001	The squire has been talking, after all."	The squire has been talking, after all."	true	193.77	195.91	21.371292
781_127518_000011_000000	"Well, who's a better right?" growled the gamekeeper.	"Well, who's a better right?" growled the gamekeeper.	true	196.7	199.66	21.634964
781_127518_000011_000001	"A pretty rum go if squire ain't to talk for Dr. Livesey, I should think."	"A pretty rum go if squire ain't to talk for dr Livesey, I should think."	true	199.79	204.79	23.948448
781_127518_000012_000000	At that I gave up all attempts at commentary and read straight on:	At that I gave up all attempts at commentary and read straight on:	true	205.85	209.8	22
781_127518_000013_000000	Blandly himself found the HISPANIOLA, and by the most admirable management got her for the merest trifle.	Blandly himself found the HISPANIOLA, and by the most admirable management got her for the merest trifle.	true	211.4	219.1	21.038233
781_127518_000013_000001	There is a class of men in Bristol monstrously prejudiced against Blandly.	There is a class of men in Bristol monstrously prejudiced against Blandly.	true	219.71	224.05	20.589756
781_127518_000013_000002	They go the length of declaring that this honest creature would do anything for money, that the HISPANIOLA belonged to him, and that he sold it me absurdly high--the most transparent calumnies.	They go the length of declaring that this honest creature would do anything for money, that the HISPANIOLA belonged to him, and that he sold it me absurdly high-the most transparent calumnies.	true	224.27	237.07	21.343927
781_127518_000013_000003	None of them dare, however, to deny the merits of the ship.	None of them dare, however, to deny the merits of the ship.	true	237.14	240.79	20.62822
781_127518_000014_000000	So far there was not a hitch.	So far there was not a hitch.	true	241.25	243.4	19.653381
781_127518_000014_000001	The workpeople, to be sure--riggers and what not--were most annoyingly slow; but time cured that.	The workpeople, to be sure-riggers and what not-were most annoyingly slow; but time cured that.	true	243.5	249.76	22.661566
781_127518_000014_000002	It was the crew that troubled me.	It was the crew that troubled me.	true	249.95	252.22	21.454344
781_127518_000015_000000	I wished a round score of men--in case of natives, buccaneers, or the odious French--and I had the worry of the deuce itself to find so much as half a dozen, till the most remarkable stroke of fortune brought me the very man that I required.	I wished a round score of men-in case of natives, buccaneers, or the odious French-and I had the worry of the deuce itself to find so much as half a dozen, till the most remarkable stroke of fortune brought me the very man that I required.	true	253.4	269.8	19.375814
781_127518_000016_000000	I was standing on the dock, when, by the merest accident, I fell in talk with him.	I was standing on the dock, when, by the merest accident, I fell in talk with him.	true	270.23	275.83	22.014572
781_127518_000016_000001	I found he was an old sailor, kept a public-house, knew all the seafaring men in Bristol, had lost his health ashore, and wanted a good berth as cook to get to sea again.	I found he was an old sailor, kept a public house, knew all the seafaring men in Bristol, had lost his health ashore, and wanted a good berth as cook to get to sea again.	true	276.02	287.68	21.10561
781_127518_000016_000002	He had hobbled down there that morning, he said, to get a smell of the salt.	He had hobbled down there that morning, he said, to get a smell of the salt.	true	288.56	293.38	18.063007
781_127518_000017_000000	I was monstrously touched--so would you have been--and, out of pure pity, I engaged him on the spot to be ship's cook.	I was monstrously touched-so would you have been-and, out of pure pity, I engaged him on the spot to be ship's cook.	false	293.66	301.96	20.780558
781_127518_000017_000001	Long John Silver, he is called, and has lost a leg; but that I regarded as a recommendation, since he lost it in his country's service, under the immortal Hawke.	Long john Silver, he is called, and has lost a leg; but that I regarded as a recommendation, since he lost it in his country's service, under the immortal Hawke.	true	302.33	313.3	21.090233
781_127518_000017_000002	He has no pension, Livesey.	He has no pension, Livesey.	true	314.48	316.39	22.993473
781_127518_000017_000003	Imagine the abominable age we live in!	Imagine the abominable age we live in!	true	316.61	319.93	19.029861
781_127518_000018_000000	Well, sir, I thought I had only found a cook, but it was a crew I had discovered.	Well, sir, I thought I had only found a cook, but it was a crew I had discovered.	true	320.27	325.03	23.048325
781_127518_000018_000001	Between Silver and myself we got together in a few days a company of the toughest old salts imaginable--not pretty to look at, but fellows, by their faces, of the most indomitable spirit.	Between Silver and myself we got together in a few days a company of the toughest old salts imaginable-not pretty to look at, but fellows, by their faces, of the most indomitable spirit.	true	325.07	339.4	21.616411
781_127518_000018_000002	I declare we could fight a frigate.	I declare we could fight a frigate.	true	339.92	342.34	22.91712
781_127518_000019_000000	Long John even got rid of two out of the six or seven I had already engaged.	Long john even got rid of two out of the six or seven I had already engaged.	true	342.89	348.97	19.691525
781_127518_000019_000001	He showed me in a moment that they were just the sort of fresh-water swabs we had to fear in an adventure of importance.	He showed me in a moment that they were just the sort of fresh water swabs we had to fear in an adventure of importance.	true	349.01	357.64	21.283463
781_127518_000020_000000	I am in the most magnificent health and spirits, eating like a bull, sleeping like a tree, yet I shall not enjoy a moment till I hear my old tarpaulins tramping round the capstan.	I am in the most magnificent health and spirits, eating like a bull, sleeping like a tree, yet I shall not enjoy a moment till I hear my old tarpaulins tramping round the capstan.	true	358.04	370.66	21.875998
781_127518_000020_000001	Seaward, ho!	Seaward, ho!	true	370.94	372.4	20.929327
781_127518_000020_000002	Hang the treasure!	Hang the treasure!	true	372.47	373.665	20.903217
781_127518_000020_000003	It's the glory of the sea that has turned my head.	It's the glory of the sea that has turned my head.	true	373.665	376.56	17
781_127518_000020_000004	So now, Livesey, come post; do not lose an hour, if you respect me.	So now, Livesey, come post; do not lose an hour, if you respect me.	true	376.56	381.55	21.41092
781_127518_000021_000000	Let young Hawkins go at once to see his mother, with Redruth for a guard; and then both come full speed to Bristol. John Trelawney	Let young Hawkins go at once to see his mother, with Redruth for a guard; and then both come full speed to Bristol. john Trelawney	true	381.65	391.66	22.826466
781_127518_000022_000000	Postscript--I did not tell you that Blandly, who, by the way, is to send a consort after us if we don't turn up by the end of August, had found an admirable fellow for sailing master--a stiff man, which I regret, but in all other respects a treasure.	Postscript-I did not tell you that Blandly, who, by the way, is to send a consort after us if we don't turn up by the end of August, had found an admirable fellow for sailing master-a stiff man, which I regret, but in all other respects a treasure.	true	393.08	409.81	21.701536
781_127518_000022_000001	Long John Silver unearthed a very competent man for a mate, a man named Arrow.	Long john Silver unearthed a very competent man for a mate, a man named Arrow.	true	410.3	415.84	21.584984
781_127518_000022_000002	I have a boatswain who pipes, Livesey; so things shall go man-o'-war fashion on board the good ship HISPANIOLA.	I have a boatswain who pipes, Livesey; so things shall go man o'-war fashion on board the good ship HISPANIOLA.	true	415.97	423.28	21.041155
781_127518_000023_000000	I forgot to tell you that Silver is a man of substance; I know of my own knowledge that he has a banker's account, which has never been overdrawn.	I forgot to tell you that Silver is a man of substance; I know of my own knowledge that he has a banker's account, which has never been overdrawn.	true	424.52	433.78	20.268072
781_127518_000023_000001	He leaves his wife to manage the inn; and as she is a woman of colour, a pair of old bachelors like you and I may be excused for guessing that it is the wife, quite as much as the health, that sends him back to roving. J. T.	He leaves his wife to manage the inn; and as she is a woman of colour, a pair of old bachelors like you and I may be excused for guessing that it is the wife, quite as much as the health, that sends him back to roving. j t	true	434.24	449.38	21.537403
781_127518_000024_000000	P.P.S.--Hawkins may stay one night with his mother. J. T.	p p s--Hawkins may stay one night with his mother. j t	true	450.29	455.41	23.89289
781_127518_000025_000000	You can fancy the excitement into which that letter put me.	You can fancy the excitement into which that letter put me.	true	456.8	459.87	21.709778
781_127518_000025_000001	I was half beside myself with glee; and if ever I despised a man, it was old Tom Redruth, who could do nothing but grumble and lament.	I was half beside myself with glee; and if ever I despised a man, it was old Tom Redruth, who could do nothing but grumble and lament.	true	459.87	469.51	22.736385
781_127518_000025_000002	Any of the under-gamekeepers would gladly have changed places with him; but such was not the squire's pleasure, and the squire's pleasure was like law among them all.	Any of the under gamekeepers would gladly have changed places with him; but such was not the squire's pleasure, and the squire's pleasure was like law among them all.	true	469.76	480.58	21.859524
781_127518_000025_000003	Nobody but old Redruth would have dared so much as even to grumble.	Nobody but old Redruth would have dared so much as even to grumble.	true	480.95	485.83	20.074808
781_127518_000026_000000	The next morning he and I set out on foot for the Admiral Benbow, and there I found my mother in good health and spirits.	The next morning he and I set out on foot for the Admiral Benbow, and there I found my mother in good health and spirits.	true	487.28	496.21	22.975172
781_127518_000026_000001	The captain, who had so long been a cause of so much discomfort, was gone where the wicked cease from troubling.	The captain, who had so long been a cause of so much discomfort, was gone where the wicked cease from troubling.	true	496.43	504.64	20.86302
781_127518_000026_000002	The squire had had everything repaired, and the public rooms and the sign repainted, and had added some furniture--above all a beautiful armchair for mother in the bar.	The squire had had everything repaired, and the public rooms and the sign repainted, and had added some furniture-above all a beautiful armchair for mother in the bar.	true	505.01	516.37	20.466242
781_127518_000026_000003	He had found her a boy as an apprentice also so that she should not want help while I was gone.	He had found her a boy as an apprentice also so that she should not want help while I was gone.	true	517.01	523.09	20.425144
781_127518_000027_000000	It was on seeing that boy that I understood, for the first time, my situation.	It was on seeing that boy that I understood, for the first time, my situation.	true	523.91	529.21	20
781_127518_000027_000001	I had thought up to that moment of the adventures before me, not at all of the home that I was leaving; and now, at sight of this clumsy stranger, who was to stay here in my place beside my mother, I had my first attack of tears.	I had thought up to that moment of the adventures before me, not at all of the home that I was leaving; and now, at sight of this clumsy stranger, who was to stay here in my place beside my mother, I had my first attack of tears.	false	529.58	546.43	21.924393
781_127518_000027_000002	I am afraid I led that boy a dog's life, for as he was new to the work, I had a hundred opportunities of setting him right and putting him down, and I was not slow to profit by them.	I am afraid I led that boy a dog's life, for as he was new to the work, I had a hundred opportunities of setting him right and putting him down, and I was not slow to profit by them.	true	546.59	559.63	21.322458
781_127518_000028_000000	The night passed, and the next day, after dinner, Redruth and I were afoot again and on the road.	The night passed, and the next day, after dinner, Redruth and I were afoot again and on the road.	true	559.88	566.535	23.390759
781_127518_000028_000001	I said good-bye to Mother and the cove where I had lived since I was born, and the dear old Admiral Benbow--since he was repainted, no longer quite so dear.	I said good bye to Mother and the cove where I had lived since I was born, and the dear old Admiral Benbow-since he was repainted, no longer quite so dear.	true	566.535	578.65	19.42452
781_127518_000028_000002	One of my last thoughts was of the captain, who had so often strode along the beach with his cocked hat, his sabre-cut cheek, and his old brass telescope. Next moment we had turned the corner and my home was out of sight.	One of my last thoughts was of the captain, who had so often strode along the beach with his cocked hat, his sabre cut cheek, and his old brass telescope. Next moment we had turned the corner and my home was out of sight.	true	579.95	595.93	22.549625
781_127518_000029_000000	The mail picked us up about dusk at the Royal George on the heath.	The mail picked us up about dusk at the Royal George on the heath.	true	597.29	601.75	23.173073
781_127518_000029_000001	I was wedged in between Redruth and a stout old gentleman, and in spite of the swift motion and the cold night air, I must have dozed a great deal from the very first, and then slept like a log up hill and down dale through stage after stage, for when I was awakened at last it was by a punch in the ribs, and I opened my eyes to find that we were standing still before a large building in a city street and that the day had already broken a long time.	I was wedged in between Redruth and a stout old gentleman, and in spite of the swift motion and the cold night air, I must have dozed a great deal from the very first, and then slept like a log up hill and down dale through stage after stage, for when I was awakened at last it was by a punch in the ribs, and I opened my eyes to find that we were standing still before a large building in a city street and that the day had already broken a long time.	true	601.88	634.6	21.220345
781_127518_000030_000000	"Where are we?" I asked.	"Where are we?" I asked.	true	635.36	636.85	19.306177
781_127518_000031_000000	"Bristol," said Tom.	"Bristol," said Tom.	true	637.16	638.46	21.213076
781_127518_000031_000001	"Get down."	"Get down."	true	638.46	639.25	23.20023
781_127518_000032_000000	Mr. Trelawney had taken up his residence at an inn far down the docks to superintend the work upon the schooner.	mr Trelawney had taken up his residence at an inn far down the docks to superintend the work upon the schooner.	true	639.44	647.53	21.820322
781_127518_000032_000001	Thither we had now to walk, and our way, to my great delight, lay along the quays and beside the great multitude of ships of all sizes and rigs and nations.	Thither we had now to walk, and our way, to my great delight, lay along the quays and beside the great multitude of ships of all sizes and rigs and nations.	true	647.9	659.1	20.875675
781_127518_000032_000002	In one, sailors were singing at their work, in another there were men aloft, high over my head, hanging to threads that seemed no thicker than a spider's. Though I had lived by the shore all my life, I seemed never to have been near the sea till then.	In one, sailors were singing at their work, in another there were men aloft, high over my head, hanging to threads that seemed no thicker than a spider's. Though I had lived by the shore all my life, I seemed never to have been near the sea till then.	true	659.1	677.41	21.820988
781_127518_000032_000003	The smell of tar and salt was something new. I saw the most wonderful figureheads, that had all been far over the ocean.	The smell of tar and salt was something new. I saw the most wonderful figureheads, that had all been far over the ocean.	true	678.17	686.32	18.886738
781_127518_000032_000004	I saw, besides, many old sailors, with rings in their ears, and whiskers curled in ringlets, and tarry pigtails, and their swaggering, clumsy sea-walk; and if I had seen as many kings or archbishops I could not have been more delighted.	I saw, besides, many old sailors, with rings in their ears, and whiskers curled in ringlets, and tarry pigtails, and their swaggering, clumsy sea walk; and if I had seen as many kings or archbishops I could not have been more delighted.	true	686.39	704.14	19.6824
781_127518_000033_000000	And I was going to sea myself, to sea in a schooner, with a piping boatswain and pig-tailed singing seamen, to sea, bound for an unknown island, and to seek for buried treasure!	And I was going to sea myself, to sea in a schooner, with a piping boatswain and pig tailed singing seamen, to sea, bound for an unknown island, and to seek for buried treasure!	true	705.05	717.13	23
781_127518_000034_000000	While I was still in this delightful dream, we came suddenly in front of a large inn and met Squire Trelawney, all dressed out like a sea-officer, in stout blue cloth, coming out of the door with a smile on his face and a capital imitation of a sailor's walk.	While I was still in this delightful dream, we came suddenly in front of a large inn and met Squire Trelawney, all dressed out like a sea officer, in stout blue cloth, coming out of the door with a smile on his face and a capital imitation of a sailor's walk.	true	717.65	736.03	22.055124
781_127518_000035_000000	"Here you are," he cried, "and the doctor came last night from London. Bravo!	"Here you are," he cried, "and the doctor came last night from London. Bravo!	true	736.58	741.645	21.304922
781_127518_000035_000001	The ship's company complete!"	The ship's company complete!"	true	741.645	743.68	24.489017
781_127518_000036_000000	"Oh, sir," cried I, "when do we sail?"	"Oh, sir," cried I, "when do we sail?"	true	743.78	746.76	21.077335
781_127518_000037_000000	"Sail!" says he.	"Sail!" says he.	true	746.76	748.155	24.729933
781_127518_000037_000001	"We sail tomorrow!"	"We sail tomorrow!"	false	748.155	753.24	22.754282
781_127518_000038_000000	8	eight	true	753.24	753.91	30.391836
781_127518_000039_000000	At the Sign of the Spy-glass	At the Sign of the Spy glass	true	753.95	756.25	21.835438
781_127518_000040_000000	WHEN I had done breakfasting the squire gave me a note addressed to John Silver, at the sign of the Spy-glass, and told me I should easily find the place by following the line of the docks and keeping a bright lookout for a little tavern with a large brass telescope for sign.	WHEN I had done breakfasting the squire gave me a note addressed to john Silver, at the sign of the Spy glass, and told me I should easily find the place by following the line of the docks and keeping a bright lookout for a little tavern with a large brass telescope for sign.	true	757.04	775.51	21.341791
781_127518_000040_000001	I set off, overjoyed at this opportunity to see some more of the ships and seamen, and picked my way among a great crowd of people and carts and bales, for the dock was now at its busiest, until I found the tavern in question.	I set off, overjoyed at this opportunity to see some more of the ships and seamen, and picked my way among a great crowd of people and carts and bales, for the dock was now at its busiest, until I found the tavern in question.	true	776.39	792.13	22.44887
781_127518_000041_000000	It was a bright enough little place of entertainment.	It was a bright enough little place of entertainment.	true	792.98	796.81	19.867794
781_127518_000041_000001	The sign was newly painted; the windows had neat red curtains; the floor was cleanly sanded.	The sign was newly painted; the windows had neat red curtains; the floor was cleanly sanded.	true	797.06	803.79	21.777792
781_127518_000041_000002	There was a street on each side and an open door on both, which made the large, low room pretty clear to see in, in spite of clouds of tobacco smoke.	There was a street on each side and an open door on both, which made the large, low room pretty clear to see in, in spite of clouds of tobacco smoke.	true	803.79	814.42	21.091322
781_127518_000042_000000	The customers were mostly seafaring men, and they talked so loudly that I hung at the door, almost afraid to enter.	The customers were mostly seafaring men, and they talked so loudly that I hung at the door, almost afraid to enter.	true	815.06	822.7	22.90527
781_127518_000043_000000	As I was waiting, a man came out of a side room, and at a glance I was sure he must be Long John.	As I was waiting, a man came out of a side room, and at a glance I was sure he must be Long john.	true	822.83	829.9	21
781_127518_000043_000001	His left leg was cut off close by the hip, and under the left shoulder he carried a crutch, which he managed with wonderful dexterity, hopping about upon it like a bird.	His left leg was cut off close by the hip, and under the left shoulder he carried a crutch, which he managed with wonderful dexterity, hopping about upon it like a bird.	true	830.33	842.29	23.733398
781_127518_000043_000002	He was very tall and strong, with a face as big as a ham--plain and pale, but intelligent and smiling.	He was very tall and strong, with a face as big as a ham-plain and pale, but intelligent and smiling.	true	842.48	849.91	19.550566
781_127518_000043_000003	Indeed, he seemed in the most cheerful spirits, whistling as he moved about among the tables, with a merry word or a slap on the shoulder for the more favoured of his guests.	Indeed, he seemed in the most cheerful spirits, whistling as he moved about among the tables, with a merry word or a slap on the shoulder for the more favoured of his guests.	true	850.07	861.88	20.776428
781_127518_000044_000000	Now, to tell you the truth, from the very first mention of Long John in Squire Trelawney's letter I had taken a fear in my mind that he might prove to be the very one-legged sailor whom I had watched for so long at the old Benbow.	Now, to tell you the truth, from the very first mention of Long john in Squire Trelawney's letter I had taken a fear in my mind that he might prove to be the very one legged sailor whom I had watched for so long at the old Benbow.	true	862.7	880.06	21.457026
781_127518_000044_000001	But one look at the man before me was enough.	But one look at the man before me was enough.	true	880.1	882.825	24.286057
781_127518_000044_000002	I had seen the captain, and Black Dog, and the blind man, Pew, and I thought I knew what a buccaneer was like--a very different creature, according to me, from this clean and pleasant-tempered landlord.	I had seen the captain, and Black Dog, and the blind man, Pew, and I thought I knew what a buccaneer was like-a very different creature, according to me, from this clean and pleasant tempered landlord.	true	882.825	894.79	22.761547
781_127518_000045_000000	I plucked up courage at once, crossed the threshold, and walked right up to the man where he stood, propped on his crutch, talking to a customer.	I plucked up courage at once, crossed the threshold, and walked right up to the man where he stood, propped on his crutch, talking to a customer.	true	895.28	903.79	23.952696
781_127518_000046_000000	"Mr. Silver, sir?" I asked, holding out the note.	"mr Silver, sir?" I asked, holding out the note.	true	904.49	907.785	22.221972
781_127518_000047_000000	"Yes, my lad," said he; "such is my name, to be sure.	"Yes, my lad," said he; "such is my name, to be sure.	false	907.785	911.1	20.651482
781_127518_000047_000001	And who may you be?" And then as he saw the squire's letter, he seemed to me to give something almost like a start.	And who may you be?" And then as he saw the squire's letter, he seemed to me to give something almost like a start.	true	911.1	918.94	20.406004
781_127518_000048_000000	"Oh!" said he, quite loud, and offering his hand.	"Oh!" said he, quite loud, and offering his hand.	true	919.1	922.53	15.3581295
781_127518_000048_000001	"I see.	"I see.	true	922.53	923.35	21.449125
781_127518_000048_000002	You are our new cabin-boy; pleased I am to see you."	You are our new cabin boy; pleased I am to see you."	true	923.81	927.94	24.433268
781_127518_000049_000000	And he took my hand in his large firm grasp.	And he took my hand in his large firm grasp.	true	928.16	931.57	19.281935
781_127518_000050_000000	Just then one of the customers at the far side rose suddenly and made for the door.	Just then one of the customers at the far side rose suddenly and made for the door.	true	931.91	938.26	21.35037
781_127518_000050_000001	It was close by him, and he was out in the street in a moment.	It was close by him, and he was out in the street in a moment.	true	938.57	942.07	21.327356
781_127518_000050_000002	But his hurry had attracted my notice, and I recognized him at glance.	But his hurry had attracted my notice, and I recognized him at glance.	true	942.35	946.72	22.430712
781_127518_000050_000003	It was the tallow-faced man, wanting two fingers, who had come first to the Admiral Benbow.	It was the tallow faced man, wanting two fingers, who had come first to the Admiral Benbow.	true	947.03	953.41	20.938818
781_127518_000051_000000	"Oh," I cried, "stop him!	"Oh," I cried, "stop him!	true	953.78	955.47	28.490093
781_127518_000051_000001	It's Black Dog!"	It's Black Dog!"	true	955.47	956.98	25.998266
781_127518_000052_000000	"I don't care two coppers who he is," cried Silver.	"I don't care two coppers who he is," cried Silver.	true	957.23	960.075	25.898441
781_127518_000052_000001	"But he hasn't paid his score.	"But he hasn't paid his score.	true	960.075	961.75	23.348766
781_127518_000052_000002	Harry, run and catch him."	Harry, run and catch him."	true	961.76	963.52	23.715647
781_127518_000053_000000	One of the others who was nearest the door leaped up and started in pursuit.	One of the others who was nearest the door leaped up and started in pursuit.	true	964.46	968.62	22.457676
781_127518_000054_000000	"If he were Admiral Hawke he shall pay his score," cried Silver; and then, relinquishing my hand, "Who did you say he was?" he asked.	"If he were Admiral Hawke he shall pay his score," cried Silver; and then, relinquishing my hand, "Who did you say he was?" he asked.	true	968.87	976.545	22.0469
781_127518_000054_000001	"Black what?"	"Black what?"	true	976.545	977.53	31.063757
781_127518_000055_000000	"Dog, sir," said I. "Has Mr. Trelawney not told you of the buccaneers? He was one of them."	"Dog, sir," said i "Has mr Trelawney not told you of the buccaneers? He was one of them."	true	977.9	984.52	24.165749
781_127518_000056_000000	"So?" cried Silver.	"So?" cried Silver.	true	984.65	985.92	23.712698
781_127518_000056_000001	"In my house!	"In my house!	true	985.92	986.98	25.746185
781_127518_000056_000002	Ben, run and help Harry.	Ben, run and help Harry.	true	987.23	989.11	22.391527
781_127518_000056_000003	One of those swabs, was he?	One of those swabs, was he?	true	989.12	990.97	20.811985
781_127518_000056_000004	Was that you drinking with him, Morgan?	Was that you drinking with him, Morgan?	true	991.46	993.315	19.805964
781_127518_000056_000005	Step up here."	Step up here."	true	993.315	994.45	26.766994
781_127518_000057_000000	The man whom he called Morgan--an old, grey-haired, mahogany-faced sailor--came forward pretty sheepishly, rolling his quid.	The man whom he called Morgan-an old, grey haired, mahogany faced sailor-came forward pretty sheepishly, rolling his quid.	true	994.7	1003.84	19.982153
781_127518_000058_000000	"Now, Morgan," said Long John very sternly, "you never clapped your eyes on that Black--Black Dog before, did you, now?"	"Now, Morgan," said Long john very sternly, "you never clapped your eyes on that Black-Black Dog before, did you, now?"	true	1004.54	1012	23.32232
781_127518_000059_000000	"Not I, sir," said Morgan with a salute.	"Not I, sir," said Morgan with a salute.	true	1012.58	1015.09	20.671091
781_127518_000060_000000	"You didn't know his name, did you?"	"You didn't know his name, did you?"	true	1015.25	1016.95	19.547274
781_127518_000061_000000	"No, sir."	"No, sir."	true	1017.38	1019.17	22.33066
781_127518_000062_000000	"By the powers, Tom Morgan, it's as good for you!" exclaimed the landlord.	"By the powers, Tom Morgan, it's as good for you!" exclaimed the landlord.	true	1019.17	1023.25	19
781_127518_000062_000001	"If you had been mixed up with the like of that, you would never have put another foot in my house, you may lay to that.	"If you had been mixed up with the like of that, you would never have put another foot in my house, you may lay to that.	true	1023.26	1029.49	26.118254
781_127518_000062_000002	And what was he saying to you?"	And what was he saying to you?"	true	1030.22	1031.92	21.198221
781_127518_000063_000000	"I don't rightly know, sir," answered Morgan.	"I don't rightly know, sir," answered Morgan.	true	1032.32	1035.04	19.520994
781_127518_000064_000000	"Do you call that a head on your shoulders, or a blessed dead-eye?" cried Long John.	"Do you call that a head on your shoulders, or a blessed dead eye?" cried Long john.	true	1035.71	1039.9	19.509146
781_127518_000064_000001	"Don't rightly know, don't you!	"Don't rightly know, don't you!	true	1039.9	1041.79	21.018555
781_127518_000064_000002	Perhaps you don't happen to rightly know who you was speaking to, perhaps?	Perhaps you don't happen to rightly know who you was speaking to, perhaps?	true	1041.98	1046.14	23.179377
781_127518_000064_000003	Come, now, what was he jawing--v'yages, cap'ns, ships?	Come, now, what was he jawing-v'yages, cap'ns, ships?	false	1046.21	1050.24	19.812616
781_127518_000064_000004	Pipe up!	Pipe up!	true	1050.24	1050.84	29.862831
781_127518_000064_000005	What was it?"	What was it?"	true	1050.84	1052.02	26.291376
781_127518_000065_000000	"We was a-talkin' of keel-hauling," answered Morgan.	"We was a talkin' of keel hauling," answered Morgan.	true	1052.93	1056.31	23.13058
781_127518_000066_000000	"Keel-hauling, was you?	"Keel hauling, was you?	true	1056.62	1058.16	19.266863
781_127518_000066_000001	And a mighty suitable thing, too, and you may lay to that.	And a mighty suitable thing, too, and you may lay to that.	true	1058.16	1061.62	23.00611
781_127518_000066_000002	Get back to your place for a lubber, Tom."	Get back to your place for a lubber, Tom."	true	1061.96	1064.47	25.337143
781_127518_000067_000000	And then, as Morgan rolled back to his seat, Silver added to me in a confidential whisper that was very flattering, as I thought, "He's quite an honest man, Tom Morgan, on'y stupid.	And then, as Morgan rolled back to his seat, Silver added to me in a confidential whisper that was very flattering, as I thought, "He's quite an honest man, Tom Morgan, on'y stupid.	false	1065.44	1076.86	20.329834
