1859_145703_000000_000000	'An old horse's hoof shall be our wineglass.'	'An old horse's hoof shall be our wineglass.'	false	0	7.17	22.988983
1859_145703_000004_000000	The Hunter thanked the wise woman, and thought to himself 'These are splendid things she has promised me, if only they come to pass!' So he walked on about a hundred yards, and then he heard above him in the branches such a screaming and chirping that he looked up, and there he saw a heap of birds tearing a cloth with their beaks and feet, shrieking, tugging, and fighting, as if each wanted it for himself. 'Well,' said the Hunter, 'this is wonderful!	The Hunter thanked the wise woman, and thought to himself 'These are splendid things she has promised me, if only they come to pass!' So he walked on about a hundred yards, and then he heard above him in the branches such a screaming and chirping that he looked up, and there he saw a heap of birds tearing a cloth with their beaks and feet, shrieking, tugging, and fighting, as if each wanted it for himself. 'Well,' said the Hunter, 'this is wonderful!	true	97.46	125.05	20
1859_145703_000004_000001	It is just as the old woman said'; and he took his gun on his shoulder, pulled the trigger, and shot into the midst of them, so that their feathers flew about.	It is just as the old woman said'; and he took his gun on his shoulder, pulled the trigger, and shot into the midst of them, so that their feathers flew about.	true	125.06	134.17	22.334496
1859_145703_000004_000002	Then the flock took flight with much screaming, but one fell dead, and the cloak fluttered down.	Then the flock took flight with much screaming, but one fell dead, and the cloak fluttered down.	true	134.45	141.25	22.379183
1859_145703_000004_000003	Then the Hunter did as the old woman had told him: he cut open the bird, found its heart, swallowed it, and took the cloak home with him.	Then the Hunter did as the old woman had told him: he cut open the bird, found its heart, swallowed it, and took the cloak home with him.	true	141.83	149.92	21
1859_145703_000004_000004	The next morning when he awoke he remembered the promise, and wanted to see if it had come true.	The next morning when he awoke he remembered the promise, and wanted to see if it had come true.	true	150.08	154.84	17
1859_145703_000004_000005	But when he lifted up his pillow, there sparkled the gold piece, and the next morning he found another, and so on every time he got up.	But when he lifted up his pillow, there sparkled the gold piece, and the next morning he found another, and so on every time he got up.	true	154.94	164.11	21.69761
1859_145703_000004_000006	He collected a heap of gold, but at last he thought to himself, 'What good is all my gold to me if I stay at home?	He collected a heap of gold, but at last he thought to himself, 'What good is all my gold to me if I stay at home?	false	164.18	170.64	21
1859_145703_000004_000007	I will travel and look a bit about me in the world.' So he took leave of his parents, slung his hunting knapsack and his gun round him, and journeyed into the world.	I will travel and look a bit about me in the world.' So he took leave of his parents, slung his hunting knapsack and his gun round him, and journeyed into the world.	true	170.64	179.95	15
1859_145703_000005_000000	It happened that one day he went through a thick wood, and when he came to the end of it there lay in the plain before him a large castle.	It happened that one day he went through a thick wood, and when he came to the end of it there lay in the plain before him a large castle.	true	180.53	188.13	17
1859_145703_000005_000001	At one of the windows in it stood an old woman with a most beautiful maiden by her side, looking out.	At one of the windows in it stood an old woman with a most beautiful maiden by her side, looking out.	true	188.13	194.13	13
1859_145703_000005_000002	But the old woman was a witch, and she said to the girl, 'There comes one out of the wood who has a wonderful treasure in his body which we must manage to possess ourselves of, darling daughter; we have more right to it than he.	But the old woman was a witch, and she said to the girl, 'There comes one out of the wood who has a wonderful treasure in his body which we must manage to possess ourselves of, darling daughter; we have more right to it than he.	true	194.13	207.91	19
1859_145703_000005_000003	He has a bird's heart in him, and so every morning there lies a gold piece under his pillow.'	He has a bird's heart in him, and so every morning there lies a gold piece under his pillow.'	true	208.07	214.03	17
1859_145703_000006_000000	She told her how they could get hold of it, and how she was to coax it from him, and at last threatened her angrily, saying, 'And if you do not obey me, you shall repent it!'	She told her how they could get hold of it, and how she was to coax it from him, and at last threatened her angrily, saying, 'And if you do not obey me, you shall repent it!'	false	214.73	224.95	21.778992
1859_145703_000007_000000	When the Hunter came nearer he saw the maiden, and said to himself, 'I have travelled so far now that I will rest, and turn into this beautiful castle; money I have in plenty.' But the real reason was that he had caught sight of the lovely face.	When the Hunter came nearer he saw the maiden, and said to himself, 'I have travelled so far now that I will rest, and turn into this beautiful castle; money I have in plenty.' But the real reason was that he had caught sight of the lovely face.	true	225.68	240.58	19
1859_145703_000008_000000	He went into the house, and was kindly received and hospitably entertained.	He went into the house, and was kindly received and hospitably entertained.	true	241.58	246.34	13
1859_145703_000008_000001	It was not long before he was so much in love with the witch-maiden that he thought of nothing else, and only looked in her eyes, and whatever she wanted, that he gladly did.	It was not long before he was so much in love with the witch maiden that he thought of nothing else, and only looked in her eyes, and whatever she wanted, that he gladly did.	true	246.35	256.21	16
1859_145703_000008_000002	Then the old witch said, 'Now we must have the bird-heart; he will not feel when it is gone.' She prepared a drink, and when it was ready she poured it in a goblet and gave it to the maiden, who had to hand it to the hunter.	Then the old witch said, 'Now we must have the bird heart; he will not feel when it is gone.' She prepared a drink, and when it was ready she poured it in a goblet and gave it to the maiden, who had to hand it to the hunter.	false	256.61	269.5	21
1859_145703_000009_000000	'Drink to me now, my dearest,' she said.	'Drink to me now, my dearest,' she said.	true	270.05	272.65	20
1859_145703_000009_000001	Then he took the goblet, and when he had swallowed the drink the bird-heart came out of his mouth. The maiden had to get hold of it secretly and then swallow it herself, for the old witch wanted to have it.	Then he took the goblet, and when he had swallowed the drink the bird heart came out of his mouth. The maiden had to get hold of it secretly and then swallow it herself, for the old witch wanted to have it.	true	272.81	284.83	20.887367
1859_145703_000009_000002	Thenceforward he found no more gold under his pillow, and it lay under the maiden's; but he was so much in love and so much bewitched that he thought of nothing except spending all his time with the maiden.	Thenceforward he found no more gold under his pillow, and it lay under the maiden's; but he was so much in love and so much bewitched that he thought of nothing except spending all his time with the maiden.	false	285.29	297.82	19
1859_145703_000010_000000	Then the old witch said, 'We have the bird-heart, but we must also get the wishing-cloak from him.'	Then the old witch said, 'We have the bird heart, but we must also get the wishing cloak from him.'	true	298.85	304.6	19.407856
1859_145703_000011_000000	The maiden answered, 'We will leave him that; he has already lost his wealth!'	The maiden answered, 'We will leave him that; he has already lost his wealth!'	true	304.91	309.43	15
1859_145703_000012_000000	The old witch grew angry, and said, 'Such a cloak is a wonderful thing, it is seldom to be had in the world, and have it I must and will.' She beat the maiden, and said that if she did not obey it would go ill with her.	The old witch grew angry, and said, 'Such a cloak is a wonderful thing, it is seldom to be had in the world, and have it I must and will.' She beat the maiden, and said that if she did not obey it would go ill with her.	true	310.01	323.14	22
1859_145703_000013_000000	So she did her mother's bidding, and, standing one day by the window, she looked away into the far distance as if she were very sad.	So she did her mother's bidding, and, standing one day by the window, she looked away into the far distance as if she were very sad.	true	324.35	332.71	15
1859_145703_000014_000000	'Why are you standing there looking so sad?' asked the Hunter.	'Why are you standing there looking so sad?' asked the Hunter.	true	333.23	337.18	21.785208
1859_145703_000015_000000	'Alas, my love,' she replied, 'over there lies the granite mountain where the costly precious stones grow.	'Alas, my love,' she replied, 'over there lies the granite mountain where the costly precious stones grow.	true	337.7	345.1	19
1859_145703_000015_000001	I have a great longing to go there, so that when I think of it I am very sad.	I have a great longing to go there, so that when I think of it I am very sad.	true	345.35	351.105	23.572279
1859_145703_000015_000002	For who can fetch them? Only the birds who fly; a man, never.'	For who can fetch them? Only the birds who fly; a man, never.'	true	351.105	356.08	23.295517
1859_145703_000016_000000	'If you have no other trouble,' said the Hunter, 'that one I can easily remove from your heart.'	'If you have no other trouble,' said the Hunter, 'that one I can easily remove from your heart.'	true	357.02	362.89	23.274052
1859_145703_000017_000000	So he wrapped her round in his cloak and wished themselves to the granite mountain, and in an instant there they were, sitting on it!	So he wrapped her round in his cloak and wished themselves to the granite mountain, and in an instant there they were, sitting on it!	false	363.02	370.12	20
1859_145703_000017_000001	The precious stones sparkled so brightly on all sides that it was a pleasure to see them, and they collected the most beautiful and costly together. But now the old witch had through her caused the Hunter's eyes to become heavy.	The precious stones sparkled so brightly on all sides that it was a pleasure to see them, and they collected the most beautiful and costly together. But now the old witch had through her caused the Hunter's eyes to become heavy.	true	370.46	384.97	23.12103
1859_145703_000018_000000	He said to the maiden, 'We will sit down for a little while and rest; I am so tired that I can hardly stand on my feet.'	He said to the maiden, 'We will sit down for a little while and rest; I am so tired that I can hardly stand on my feet.'	false	385.61	393.64	19.435726
1859_145703_000019_000000	So they sat down, and he laid his head on her lap and fell asleep.	So they sat down, and he laid his head on her lap and fell asleep.	true	395.03	399.79	19.875425
1859_145703_000019_000001	As soon as he was sound asleep she unfastened the cloak from his shoulders, threw it on her own, left the granite and stones, and wished herself home again.	As soon as he was sound asleep she unfastened the cloak from his shoulders, threw it on her own, left the granite and stones, and wished herself home again.	true	399.8	409.9	21
1859_145703_000020_000000	But when the Hunter had finished his sleep and awoke, he found that his love had betrayed him and left him alone on the wild mountain.	But when the Hunter had finished his sleep and awoke, he found that his love had betrayed him and left him alone on the wild mountain.	true	410.39	418.42	21
1859_145703_000020_000001	'Oh,' said he, 'why is faithlessness so great in the world?' and he sat down in sorrow and trouble, not knowing what to do.	'Oh,' said he, 'why is faithlessness so great in the world?' and he sat down in sorrow and trouble, not knowing what to do.	true	418.88	427.51	18
1859_145703_000021_000000	But the mountain belonged to fierce and huge giants, who lived on it and traded there, and he had not sat long before he saw three of them striding towards him.	But the mountain belonged to fierce and huge giants, who lived on it and traded there, and he had not sat long before he saw three of them striding towards him.	true	428.03	438.22	16
1859_145703_000021_000001	So he lay down as if he had fallen into a deep sleep.	So he lay down as if he had fallen into a deep sleep.	false	438.26	441.61	23
1859_145703_000022_000000	The giants came up, and the first pushed him with his foot, and said, 'What sort of an earthworm is that?'	The giants came up, and the first pushed him with his foot, and said, 'What sort of an earthworm is that?'	true	441.95	447.67	22.716984
1859_145703_000023_000000	The second said, 'Crush him dead.'	The second said, 'Crush him dead.'	true	447.83	449.86	26.339085
1859_145703_000024_000000	But the third said contemptuously, 'It is not worth the trouble!	But the third said contemptuously, 'It is not worth the trouble!	true	450.26	454.035	25.915653
1859_145703_000024_000001	Let him live; he cannot remain here, and if he goes higher up the mountain the clouds will take him and carry him off.'	Let him live; he cannot remain here, and if he goes higher up the mountain the clouds will take him and carry him off.'	true	454.035	459.94	19
1859_145703_000025_000000	Talking thus they went away.	Talking thus they went away.	true	460.55	462.375	12
1859_145703_000025_000001	But the Hunter had listened to their talk, and as soon as they had gone he rose and climbed to the summit.	But the Hunter had listened to their talk, and as soon as they had gone he rose and climbed to the summit.	true	462.375	467.77	15
1859_145703_000025_000002	When he had sat there a little while a cloud swept by, and, seizing him, carried him away.	When he had sat there a little while a cloud swept by, and, seizing him, carried him away.	true	468.08	473.89	19
1859_145703_000025_000003	It travelled for a time in the sky, and then it sank down and hovered over a large vegetable garden surrounded by walls, so that he came safely to the ground amidst cabbages and vegetables.	It travelled for a time in the sky, and then it sank down and hovered over a large vegetable garden surrounded by walls, so that he came safely to the ground amidst cabbages and vegetables.	true	474.05	485.77	18
1859_145703_000025_000004	The Hunter then looked about him, saying, 'If only I had something to eat!	The Hunter then looked about him, saying, 'If only I had something to eat!	true	486.02	490.62	25.059666
1859_145703_000025_000005	I am so hungry, and it will go badly with me in the future, for I see here not an apple or pear or fruit of any kind--nothing but vegetables everywhere.' At last he thought, 'At a pinch I can eat a salad; it does not taste particularly nice, but it will refresh me.' So he looked about for a good head and ate it, but no sooner had he swallowed a couple of mouthfuls than he felt very strange, and found himself wonderfully changed.	I am so hungry, and it will go badly with me in the future, for I see here not an apple or pear or fruit of any kind-nothing but vegetables everywhere.' At last he thought, 'At a pinch I can eat a salad; it does not taste particularly nice, but it will refresh me.' So he looked about for a good head and ate it, but no sooner had he swallowed a couple of mouthfuls than he felt very strange, and found himself wonderfully changed.	false	490.62	515.71	21
1859_145703_000025_000006	Four legs began to grow on him, a thick head, and two long ears, and he saw with horror that he had changed into a donkey.	Four legs began to grow on him, a thick head, and two long ears, and he saw with horror that he had changed into a donkey.	false	515.81	524.88	21.311054
1859_145703_000025_000007	But as he was still very hungry and this juicy salad tasted very good to his present nature, he went on eating with a still greater appetite.	But as he was still very hungry and this juicy salad tasted very good to his present nature, he went on eating with a still greater appetite.	false	524.88	533.29	16
1859_145703_000025_000008	At last he got hold of another kind of cabbage, but scarcely had swallowed it when he felt another change, and he once more regained his human form.	At last he got hold of another kind of cabbage, but scarcely had swallowed it when he felt another change, and he once more regained his human form.	true	533.3	542.14	20
1859_145703_000026_000000	The Hunter now lay down and slept off his weariness.	The Hunter now lay down and slept off his weariness.	true	543.17	546.19	14
1859_145703_000026_000001	When he awoke the next morning he broke off a head of the bad and a head of the good cabbage, thinking, 'This will help me to regain my own, and to punish faithlessness.' Then he put the heads in his pockets, climbed the wall, and started off to seek the castle of his love.	When he awoke the next morning he broke off a head of the bad and a head of the good cabbage, thinking, 'This will help me to regain my own, and to punish faithlessness.' Then he put the heads in his pockets, climbed the wall, and started off to seek the castle of his love.	true	546.29	562.15	20
1859_145703_000026_000002	When he had wandered about for a couple of days he found it quite easily.	When he had wandered about for a couple of days he found it quite easily.	false	562.37	566.97	21.687725
1859_145703_000026_000003	He then browned his face quickly, so that his own mother would not have known him, and went into the castle, where he begged for a lodging.	He then browned his face quickly, so that his own mother would not have known him, and went into the castle, where he begged for a lodging.	false	566.97	573.61	14
1859_145703_000027_000000	'I am so tired,' he said, 'I can go no farther.'	'I am so tired,' he said, 'I can go no farther.'	true	573.95	577.48	20
1859_145703_000028_000000	The witch asked, 'Countryman, who are you, and what is your business?'	The witch asked, 'Countryman, who are you, and what is your business?'	true	577.88	582.61	20
1859_145703_000029_000000	He answered, 'I am a messenger of the King, and have been sent to seek the finest salad that grows under the sun.	He answered, 'I am a messenger of the King, and have been sent to seek the finest salad that grows under the sun	true	582.95	589.87	19
1859_145703_000029_000001	I have been so lucky as to find it, and am bringing it with me; but the heat of the sun is so great that the tender cabbage threatens to grow soft, and I do not know if I shall be able to bring it any farther.'	I have been so lucky as to find it, and am bringing it with me; but the heat of the sun is so great that the tender cabbage threatens to grow soft, and I do not know if I shall be able to bring it any farther.'	true	589.94	600.61	18
1859_145703_000030_000000	When the old witch heard of the fine salad she wanted to eat it, and said, 'Dear countryman, just let me taste the wonderful salad.'	When the old witch heard of the fine salad she wanted to eat it, and said, 'Dear countryman, just let me taste the wonderful salad.'	true	601.19	609.4	19
1859_145703_000031_000000	'Why not?' he answered; 'I have brought two heads with me, and will give you one.'	'Why not?' he answered; 'I have brought two heads with me, and will give you one.'	true	609.68	614.29	21
1859_145703_000032_000000	So saying, he opened his sack and gave her the bad one.	So saying, he opened his sack and gave her the bad one.	true	614.72	618.52	17
1859_145703_000032_000001	The witch suspected no evil, and her mouth watered to taste the new dish, so that she went into the kitchen to prepare it herself.	The witch suspected no evil, and her mouth watered to taste the new dish, so that she went into the kitchen to prepare it herself.	true	618.59	625.45	15
1859_145703_000032_000002	When it was ready she could not wait till it was served at the table, but she immediately took a couple of leaves and put them in her mouth.	When it was ready she could not wait till it was served at the table, but she immediately took a couple of leaves and put them in her mouth.	true	625.64	632.4	17
1859_145703_000032_000003	No sooner, however, had she swallowed them than she lost human form, and ran into the courtyard in the shape of a donkey.	No sooner, however, had she swallowed them than she lost human form, and ran into the courtyard in the shape of a donkey.	true	632.4	640.15	15
1859_145703_000033_000000	Now the servant came into the kitchen, and when she saw the salad standing there ready cooked she was about to carry it up, but on the way, according to her old habit, she tasted it and ate a couple of leaves.	Now the servant came into the kitchen, and when she saw the salad standing there ready cooked she was about to carry it up, but on the way, according to her old habit, she tasted it and ate a couple of leaves.	true	640.7	652.875	21
1859_145703_000033_000001	Immediately the charm worked, and she became a donkey, and ran out to join the old witch, and the dish with the salad in it fell to the ground.	Immediately the charm worked, and she became a donkey, and ran out to join the old witch, and the dish with the salad in it fell to the ground.	false	652.875	660.64	17
1859_145703_000033_000002	In the meantime, the messenger was sitting with the lovely maiden, and as no one came with the salad, and she wanted very much to taste it, she said, 'I don't know where the salad is.'	In the meantime, the messenger was sitting with the lovely maiden, and as no one came with the salad, and she wanted very much to taste it, she said, 'I don't know where the salad is.'	true	661.28	671.53	16
1859_145703_000034_000000	Then thought the Hunter, 'The cabbage must have already begun to work.' And he said, 'I will go to the kitchen and fetch it myself.'	Then thought the Hunter, 'The cabbage must have already begun to work.' And he said, 'I will go to the kitchen and fetch it myself.'	true	671.78	679	21.660616
1859_145703_000035_000000	When he came there he saw the two donkeys running about in the courtyard, but the salad was lying on the ground.	When he came there he saw the two donkeys running about in the courtyard, but the salad was lying on the ground.	true	679.37	684.76	14
1859_145703_000036_000000	'That's all right,' said he; 'two have had their share!' And lifting the remaining leaves up, he laid them on the dish and brought them to the maiden.	'That's all right,' said he; 'two have had their share!' And lifting the remaining leaves up, he laid them on the dish and brought them to the maiden.	true	685.28	693.4	19
1859_145703_000037_000000	'I am bringing you the delicious food my own self,' he said, 'so that you need not wait any longer.'	'I am bringing you the delicious food my own self,' he said, 'so that you need not wait any longer.'	false	693.65	699.1	16
1859_145703_000038_000000	Then she ate, and, as the others had done, she at once lost her human form, and ran as a donkey into the yard.	Then she ate, and, as the others had done, she at once lost her human form, and ran as a donkey into the yard.	false	699.47	706.78	17
1859_145703_000039_000000	When the Hunter had washed his face, so that the changed ones might know him, he went into the yard, saying, 'Now you shall receive a reward for your faithlessness.'	When the Hunter had washed his face, so that the changed ones might know him, he went into the yard, saying, 'Now you shall receive a reward for your faithlessness.'	true	707.42	717.01	16
1859_145703_000040_000000	He tied them all three with a rope, and drove them away till he came to a mill.	He tied them all three with a rope, and drove them away till he came to a mill.	true	717.38	722.02	19
1859_145703_000040_000001	He knocked at the window, and the miller put his head out and asked what he wanted.	He knocked at the window, and the miller put his head out and asked what he wanted.	true	722.12	725.74	16
1859_145703_000041_000000	'I have three tiresome animals,' he answered, 'which I don't want to keep any longer.	'I have three tiresome animals,' he answered, 'which I don't want to keep any longer.	true	725.93	730.65	18.48557
1859_145703_000041_000001	If you will take them, give them food and stabling, and do as I tell you with them, I will pay you as much as you want.'	If you will take them, give them food and stabling, and do as I tell you with them, I will pay you as much as you want.'	true	730.65	736.75	17
1859_145703_000042_000000	The miller replied, 'Why not?	The miller replied, 'Why not?	true	736.97	739.06	25
1859_145703_000042_000001	What shall I do with them?'	What shall I do with them?'	true	739.19	740.53	20.055475
1859_145703_000043_000000	Then the Hunter said that to the old donkey, which was the witch, three beatings and one meal; to the younger one, which was the servant, one beating and three meals; and to the youngest one, which was the maiden, no beating and three meals; for he could not find it in his heart to let the maiden be beaten.	Then the Hunter said that to the old donkey, which was the witch, three beatings and one meal; to the younger one, which was the servant, one beating and three meals; and to the youngest one, which was the maiden, no beating and three meals; for he could not find it in his heart to let the maiden be beaten.	true	740.81	759.82	18
1859_145703_000044_000000	Then he went back into the castle, and he found there all that he wanted.	Then he went back into the castle, and he found there all that he wanted.	true	760.28	764.44	18
1859_145703_000044_000001	After a couple of days the miller came and said that he must tell him that the old donkey which was to have three beatings and only one meal had died.	After a couple of days the miller came and said that he must tell him that the old donkey which was to have three beatings and only one meal had died.	true	764.48	772.63	16
1859_145703_000044_000002	'The two others,' he added, 'are certainly not dead, and get their three meals every day, but they are so sad that they cannot last much longer.'	'The two others,' he added, 'are certainly not dead, and get their three meals every day, but they are so sad that they cannot last much longer.'	true	772.88	781.18	22.428867
1859_145703_000045_000000	Then the Hunter took pity on them, laid aside his anger, and told the miller to drive them back again.	Then the Hunter took pity on them, laid aside his anger, and told the miller to drive them back again.	true	782.06	787.75	20
1859_145703_000045_000001	And when they came he gave them some of the good cabbage to eat, so that they became human again.	And when they came he gave them some of the good cabbage to eat, so that they became human again.	true	788	793.03	18
1859_145703_000045_000002	Then the beautiful maiden fell on her knees before him, saying, 'Oh, my dearest, forgive me the ill I have done you!	Then the beautiful maiden fell on her knees before him, saying, 'Oh, my dearest, forgive me the ill I have done you!	true	793.1	799.62	18
1859_145703_000045_000003	My mother compelled me to do it; it was against my will, for I love you dearly.	My mother compelled me to do it; it was against my will, for I love you dearly.	false	799.62	804.46	16
1859_145703_000045_000004	Your wishing-cloak is hanging in a cupboard, and as for the bird-heart I will make a drink and give it back to you.'	Your wishing cloak is hanging in a cupboard, and as for the bird heart I will make a drink and give it back to you.'	true	804.59	810.4	16
1859_145703_000046_000000	But he changed his mind, and said, 'Keep it; it makes no difference, for I will take you to be my own dear true wife.'	But he changed his mind, and said, 'Keep it; it makes no difference, for I will take you to be my own dear true wife.'	true	811.58	820.87	24.670118
1859_145703_000047_000000	And the wedding was celebrated, and they lived happy together till death.	And the wedding was celebrated, and they lived happy together till death.	false	820.91	827.49	18.57322
