7938_109180_000000_000000	But the angler himself saw nothing funny in it at all.	But the angler himself saw nothing funny in it at all.	false	6.87	17.025	25.186497
7938_109180_000014_000000	Now the weather is clearing, however, and the lake is calming down--real fishing weather, thinks the angler, and he hums the old angler's song:	Now the weather is clearing, however, and the lake is calming down-real fishing weather, thinks the angler, and he hums the old angler's song:	false	169.16	176.26	21.717342
7938_109180_000015_000000	"When the wind is in the east, 'Tis neither good for man nor beast; When the wind is in the south, It blows the bait in the fishes' mouth."	"When the wind is in the east, 'tis neither good for man nor beast; When the wind is in the south, It blows the bait in the fishes' mouth."	false	176.6	184.36	20.020815
7938_109180_000016_000000	The terns, with their long forked tails and black caps rise and fall in the air around him.	The terns, with their long forked tails and black caps rise and fall in the air around him.	false	184.37	189.25	23.251106
7938_109180_000016_000001	They are good Samaritans to all the half-dead bait he from time to time throws overboard.	They are good Samaritans to all the half dead bait he from time to time throws overboard.	true	189.5	194.445	20.269146
7938_109180_000016_000002	The poor little ill-used things hastily make for the shadow of the boat or take up a position beside a floating weed.	The poor little ill used things hastily make for the shadow of the boat or take up a position beside a floating weed.	false	194.445	200.89	18
7938_109180_000016_000003	They want to hide because they feel weak; they do not want to go down into deep water to Oa.	They want to hide because they feel weak; they do not want to go down into deep water to Oa.	true	201.02	205.87	22.235317
7938_109180_000016_000004	Then the terns snap them up, and put them down their little red throats.	Then the terns snap them up, and put them down their little red throats.	true	206.18	209.89	21.361444
7938_109180_000017_000000	Three or four of them are pursuing, with shrieks and snarls, another which is flying away with a little bleak, like a piece of white stick in its jaws.	Three or four of them are pursuing, with shrieks and snarls, another which is flying away with a little bleak, like a piece of white stick in its jaws.	true	210.05	217.33	17
7938_109180_000017_000001	It reminds the fisherman of a heron he once shot at, and which sent out a shower of such half-dead little fish.	It reminds the fisherman of a heron he once shot at, and which sent out a shower of such half dead little fish.	true	217.82	223.75	20
7938_109180_000018_000000	At that moment he has a bite at one of his lines.	At that moment he has a bite at one of his lines.	false	223.82	226.12	18.26982
7938_109180_000018_000001	The line runs off the reel at a great pace, and the rod, which rests on the row-lock, but with its thick end wedged under a board at the bottom of the boat, bends like a flag-leaf and dips its point down into the water.	The line runs off the reel at a great pace, and the rod, which rests on the row lock, but with its thick end wedged under a board at the bottom of the boat, bends like a flag leaf and dips its point down into the water.	false	226.37	237.94	18
7938_109180_000019_000000	He seizes the rod and lifts it.	He seizes the rod and lifts it.	true	238.46	240.31	24.14456
7938_109180_000019_000001	The line is running out at full speed. He carefully checks it, making the resistance stronger and stronger, so as to prevent the fish from breaking the line with a sudden jerk.	The line is running out at full speed. He carefully checks it, making the resistance stronger and stronger, so as to prevent the fish from breaking the line with a sudden jerk.	true	240.44	249.01	22
7938_109180_000020_000000	Grim has taken the bait, and is now darting about with it.	Grim has taken the bait, and is now darting about with it.	false	250.13	253.45	23.727303
7938_109180_000020_000001	She had been hungry after three days' storm and wind, and had therefore rushed blindly at the lure.	She had been hungry after three days' storm and wind, and had therefore rushed blindly at the lure.	false	253.61	259.26	20.960112
7938_109180_000020_000002	Alas, it is another of those prickly fish, she notices at once, one of those confounded tit-bits that are only to be looked at, but which neither teeth nor throat are ever glad to deal with; and she opens her mouth and chokes and spits.	Alas, it is another of those prickly fish, she notices at once, one of those confounded tit bits that are only to be looked at, but which neither teeth nor throat are ever glad to deal with; and she opens her mouth and chokes and spits.	true	259.26	271.75	20
7938_109180_000021_000000	She gets rid of the fish she had snatched; she sees it, half dead and with long rents in its sides from her teeth, floating on its side with a reddish yellow eye turned up towards her through the water.	She gets rid of the fish she had snatched; she sees it, half dead and with long rents in its sides from her teeth, floating on its side with a reddish yellow eye turned up towards her through the water.	false	272.09	281.77	21.878338
7938_109180_000021_000001	But the prickly thorn that she took in at the same time is fixed in her jaw.	But the prickly thorn that she took in at the same time is fixed in her jaw.	false	282.14	286.05	24.459343
7938_109180_000022_000000	She darts hither and thither, turning and twisting.	She darts hither and thither, turning and twisting.	true	286.05	288.82	26.6754
7938_109180_000022_000001	Now she is down in deep water, rubbing her wounded mouth upon the bottom, now she darts, with the bubbles in her wake rising above her, round a clump of water-lilies.	Now she is down in deep water, rubbing her wounded mouth upon the bottom, now she darts, with the bubbles in her wake rising above her, round a clump of water lilies.	true	289.34	297.88	19
7938_109180_000023_000000	The angler sees an island of leaves as big as a dining-table disappear.	The angler sees an island of leaves as big as a dining table disappear.	true	298.25	302.13	18
7938_109180_000024_000000	Then she is off again.	Then she is off again.	false	302.13	303.915	22.35551
7938_109180_000024_000001	The reel shrieks and hums as if a giant grasshopper sat chirping in it.	The reel shrieks and hums as if a giant grasshopper sat chirping in it.	true	303.915	307.45	20
7938_109180_000024_000002	All at once, Grim leaps out of the water high into the air, so that her golden, black-streaked body, with the panther-like spots and the trickling water-drops, casts a gleam over the lake.	All at once, Grim leaps out of the water high into the air, so that her golden, black streaked body, with the panther like spots and the trickling water drops, casts a gleam over the lake.	true	307.55	316.69	21
7938_109180_000025_000000	Never had the good man seen such a fish!	Never had the good man seen such a fish!	true	317	319.44	16.491135
7938_109180_000025_000001	The very waves that it raises as it returns to the water, breaking the surface like a submarine, show him that it is--as he is accustomed to express it--"one of the good old-fashioned sort." He continues to gaze open-mouthed at the place where it disappeared, while a flurry of rings spreads out in all directions.	The very waves that it raises as it returns to the water, breaking the surface like a submarine, show him that it is-as he is accustomed to express it-"one of the good old-fashioned sort." He continues to gaze open mouthed at the place where it disappeared, while a flurry of rings spreads out in all directions.	false	319.44	335.2	19.027617
7938_109180_000026_000000	A little later a whirlpool appears on the seething water, and he catches a glimpse of a dorsal fin with the hinder point missing.	A little later a whirlpool appears on the seething water, and he catches a glimpse of a dorsal fin with the hinder point missing.	true	335.36	342.1	20
7938_109180_000026_000001	Then the old fisherman rejoices.	Then the old fisherman rejoices.	true	342.14	343.99	19.632416
7938_109180_000026_000002	A marked fish, one of his oldest, perhaps his biggest!	A marked fish, one of his oldest, perhaps his biggest!	true	344	347.64	23.123817
7938_109180_000027_000000	He winds in, lets the line run out, and winds in again.	He winds in, lets the line run out, and winds in again.	true	347.64	351.315	17
7938_109180_000027_000001	His big body is perspiring with his exertions, and he has to stand with his legs wide apart and his feet firmly fixed whenever the mighty fish gives one of its sudden jerks.	His big body is perspiring with his exertions, and he has to stand with his legs wide apart and his feet firmly fixed whenever the mighty fish gives one of its sudden jerks.	true	351.315	361.15	20.306604
7938_109180_000028_000000	While this is going on there are bites on two of the perch-lines, and the angler can see they are not small fish either.	While this is going on there are bites on two of the perch lines, and the angler can see they are not small fish either.	false	361.28	367.96	19.21878
7938_109180_000028_000001	The lines, which are lying loose over the gunwale, run out at a great pace, so that the winders hop and dance about at the bottom of the boat.	The lines, which are lying loose over the gunwale, run out at a great pace, so that the winders hop and dance about at the bottom of the boat.	false	368	374.98	19
7938_109180_000028_000002	One of them is jerked over the edge, so that fish, hooks, and line are lost; the other he tries to make sure of by setting his foot upon it.	One of them is jerked over the edge, so that fish, hooks, and line are lost; the other he tries to make sure of by setting his foot upon it.	false	375.23	384	22.337736
7938_109180_000029_000000	Like the back of a cat about to spring, the rod bends under its floundering burden.	Like the back of a cat about to spring, the rod bends under its floundering burden.	true	384	388.42	18
7938_109180_000029_000001	The old man has to keep on incessantly slacking and tightening the line; hoping to tire out the fish that was dragging his rod from one side to the other.	The old man has to keep on incessantly slacking and tightening the line; hoping to tire out the fish that was dragging his rod from one side to the other.	false	389.09	397.06	19
7938_109180_000030_000000	He notes the smallest movement of his captive.	He notes the smallest movement of his captive.	true	397.07	399.33	27.333076
7938_109180_000030_000001	It is still in full vigour, and there are many water-plants and stalks in the way.	It is still in full vigour, and there are many water plants and stalks in the way.	true	399.33	403.09	23.05562
7938_109180_000030_000002	Will he be able to draw it from the deep water with his fine, fragile line?	Will he be able to draw it from the deep water with his fine, fragile line?	true	403.22	407.41	20
7938_109180_000031_000000	Suddenly Grim turns and darts in beneath the boat with such force that the rod must either break or follow her.	Suddenly Grim turns and darts in beneath the boat with such force that the rod must either break or follow her.	false	407.54	413.71	21
7938_109180_000031_000001	The angler chooses to let it go in the hope of picking it up on the other side.	The angler chooses to let it go in the hope of picking it up on the other side.	true	413.9	418.11	22.742924
7938_109180_000032_000000	It happens as he expected: the rod appears, floats up; he leans over and reaches it.	It happens as he expected: the rod appears, floats up; he leans over and reaches it.	false	418.11	422.92	24.179918
7938_109180_000033_000000	The fight and nervous excitement recommence--the quick, exciting contest between man and fish.	The fight and nervous excitement recommence-the quick, exciting contest between man and fish.	true	423.17	428.32	23.42219
7938_109180_000034_000000	The wind plays its autumn hymn upon the rushes, and ruffles the water between the yellow-spotted water-lily leaves, while the sun's rays, as they come and go, light flaming torches among the trees and reeds.	The wind plays its autumn hymn upon the rushes, and ruffles the water between the yellow spotted water lily leaves, while the sun's rays, as they come and go, light flaming torches among the trees and reeds.	false	428.33	440.29	18
7938_109180_000034_000001	They gleam, they sparkle, they flash; and great, heavy, September clouds drift over the lake.	They gleam, they sparkle, they flash; and great, heavy, September clouds drift over the lake.	true	440.54	446.08	24.891525
7938_109180_000035_000000	At last the shrewd fisherman has the upper hand, and cautiously draws his captive close up to the boat.	At last the shrewd fisherman has the upper hand, and cautiously draws his captive close up to the boat.	false	446.54	451.95	21.285885
7938_109180_000035_000001	He bends down, with his knees upon the gunwale, and leans over with the landing-net, in his right hand.	He bends down, with his knees upon the gunwale, and leans over with the landing net, in his right hand.	false	451.95	457.18	17
7938_109180_000036_000000	Grim suddenly finds herself close to the great "water-bird," and gives a violent jerk.	Grim suddenly finds herself close to the great "water bird," and gives a violent jerk.	false	457.76	462.36	21.596424
7938_109180_000036_000001	The fisherman reaches out with his arm, and the upper part of his body as far as they will go; but he forgets that he is in a boat and on unsafe ground, loses his balance, and falls overboard with a splash, upsetting the boat as he does so.	The fisherman reaches out with his arm, and the upper part of his body as far as they will go; but he forgets that he is in a boat and on unsafe ground, loses his balance, and falls overboard with a splash, upsetting the boat as he does so.	false	462.36	475.45	21.197353
7938_109180_000037_000000	No one sees the accident, and his heavy waders drag him quickly down.	No one sees the accident, and his heavy waders drag him quickly down.	true	475.88	480.16	20.66561
7938_109180_000038_000000	Grim darts this way and that, winding the line round him and drawing him to the bottom.	Grim darts this way and that, winding the line round him and drawing him to the bottom.	false	480.17	484.33	21.586367
7938_109180_000038_000001	And then, among the rocks of the reef, the line breaks; the angler's body drifts in among the reeds.	And then, among the rocks of the reef, the line breaks; the angler's body drifts in among the reeds.	true	484.76	490.48	20.819574
7938_109180_000039_000000	Towards evening the sky becomes overcast and the troubled water looks thick and muddy.	Towards evening the sky becomes overcast and the troubled water looks thick and muddy.	true	490.79	495.13	22.751692
7938_109180_000039_000001	Little waves leap up, stand for a moment at their height as if trying to keep their balance, and then give up the attempt and roll down.	Little waves leap up, stand for a moment at their height as if trying to keep their balance, and then give up the attempt and roll down.	false	495.26	502.29	23.641842
7938_109180_000040_000000	A solitary little sunbeam still now and again brightens up all the grey-veiled colours, and then the water takes the hues of a fallow-deer, and the water-lily leaves become floating patches of rainbow.	A solitary little sunbeam still now and again brightens up all the grey veiled colours, and then the water takes the hues of a fallow deer, and the water lily leaves become floating patches of rainbow.	true	502.29	513.61	18
7938_109180_000041_000000	In the muddy valley between the bottom-springs, Oa is beginning to move.	In the muddy valley between the bottom springs, Oa is beginning to move.	true	514.04	518.32	19.926975
7938_109180_000041_000001	She blinks her cunning eyes, and their blue-black pupils become large and round.	She blinks her cunning eyes, and their blue black pupils become large and round.	true	518.36	523.21	20
7938_109180_000041_000002	Then she sets out on a nocturnal expedition across the lake, steals into the rocky grottos of the cloister-cells, and finds a new hiding-place beneath the wreck of a boat--a new arrival.	Then she sets out on a nocturnal expedition across the lake, steals into the rocky grottos of the cloister cells, and finds a new hiding place beneath the wreck of a boat-a new arrival.	false	523.55	533.35	23.51415
7938_109180_000041_000003	With her snout just in the rent between the bottom and the gunwale, she lies like a dog in its kennel, until night closes in and all is dark and silent.	With her snout just in the rent between the bottom and the gunwale, she lies like a dog in its kennel, until night closes in and all is dark and silent.	false	533.9	541.84	19
7938_109180_000042_000000	Then she lets herself slowly drift along the edge to the reedy borders of the lake, taking every drowned dog or cat as gifts from the Creator's hand.	Then she lets herself slowly drift along the edge to the reedy borders of the lake, taking every drowned dog or cat as gifts from the Creator's hand.	false	542.12	550.42	20
7938_109180_000043_000000	Everything that has no longer the power to keep above the water, all that is dead and drifts about, belongs to the crayfish and to her.	Everything that has no longer the power to keep above the water, all that is dead and drifts about, belongs to the crayfish and to her.	false	550.7	567.48	23.321348
