957_132568_000000_000000	'Come,' said Sebastian, 'let us go to our posts--the moon is setting. Good night, lady!'	'Come,' said Sebastian, 'let us go to our posts-the moon is setting. Good night, lady!'	false	0	6.84	13.813312
957_132568_000008_000005	Sometimes, a cloud opened its light upon a distant mountain, and, while the sudden splendour illumined all its recesses of rock and wood, the rest of the scene remained in deep shadow; at others, partial features of the castle were revealed by the glimpse--the antient arch leading to the east rampart, the turret above, or the fortifications beyond; and then, perhaps, the whole edifice with all its towers, its dark massy walls and pointed casements would appear, and vanish in an instant.	Sometimes, a cloud opened its light upon a distant mountain, and, while the sudden splendour illumined all its recesses of rock and wood, the rest of the scene remained in deep shadow; at others, partial features of the castle were revealed by the glimpse-the antient arch leading to the east rampart, the turret above, or the fortifications beyond; and then, perhaps, the whole edifice with all its towers, its dark massy walls and pointed casements would appear, and vanish in an instant.	false	273.2	305.32	21.124073
957_132568_000009_000000	Emily, looking again upon the rampart, perceived the flame she had seen before; it moved onward; and, soon after, she thought she heard a footstep.	Emily, looking again upon the rampart, perceived the flame she had seen before; it moved onward; and, soon after, she thought she heard a footstep.	true	307.19	316.87	20.601482
957_132568_000009_000001	The light appeared and disappeared frequently, while, as she watched, it glided under her casements, and, at the same instant, she was certain, that a footstep passed, but the darkness did not permit her to distinguish any object except the flame.	The light appeared and disappeared frequently, while, as she watched, it glided under her casements, and, at the same instant, she was certain, that a footstep passed, but the darkness did not permit her to distinguish any object except the flame.	true	317.69	332.08	21.606443
957_132568_000009_000002	It moved away, and then, by a gleam of lightning, she perceived some person on the terrace.	It moved away, and then, by a gleam of lightning, she perceived some person on the terrace.	true	332.75	337.99	20.092402
957_132568_000009_000003	All the anxieties of the preceding night returned.	All the anxieties of the preceding night returned.	true	339.83	342.82	18
957_132568_000009_000004	This person advanced, and the playing flame alternately appeared and vanished.	This person advanced, and the playing flame alternately appeared and vanished.	true	343.91	348.64	21.388416
957_132568_000009_000005	Emily wished to speak, to end her doubts, whether this figure were human or supernatural; but her courage failed as often as she attempted utterance, till the light moved again under the casement, and she faintly demanded, who passed.	Emily wished to speak, to end her doubts, whether this figure were human or supernatural; but her courage failed as often as she attempted utterance, till the light moved again under the casement, and she faintly demanded, who passed.	true	348.86	362.47	20.889784
957_132568_000010_000000	'A friend,' replied a voice.	'A friend,' replied a voice.	true	362.72	364.57	19.865414
957_132568_000011_000000	'What friend?' said Emily, somewhat encouraged 'who are you, and what is that light you carry?'	'What friend?' said Emily, somewhat encouraged 'who are you, and what is that light you carry?'	true	365.09	370.93	19.29536
957_132568_000012_000000	'I am Anthonio, one of the Signor's soldiers,' replied the voice.	'I am Anthonio, one of the Signor's soldiers,' replied the voice.	false	371.99	376.33	18.37418
957_132568_000013_000000	'And what is that tapering light you bear?' said Emily, 'see how it darts upwards,--and now it vanishes!'	'And what is that tapering light you bear?' said Emily, 'see how it darts upwards,--and now it vanishes!'	true	377.93	382.96	18
957_132568_000014_000000	'This light, lady,' said the soldier, 'has appeared to-night as you see it, on the point of my lance, ever since I have been on watch; but what it means I cannot tell.'	'This light, lady,' said the soldier, 'has appeared to night as you see it, on the point of my lance, ever since I have been on watch; but what it means I cannot tell.'	true	384.5	394.9	20.617138
957_132568_000015_000000	'This is very strange!' said Emily.	'This is very strange!' said Emily.	true	395.54	397.51	15.120754
957_132568_000016_000000	'My fellow-guard,' continued the man, 'has the same flame on his arms; he says he has sometimes seen it before.	'My fellow guard,' continued the man, 'has the same flame on his arms; he says he has sometimes seen it before.	true	398.99	405.46	18.661776
957_132568_000016_000001	I never did; I am but lately come to the castle, for I have not been long a soldier.'	I never did; I am but lately come to the castle, for I have not been long a soldier.'	true	405.71	411.25	19.535097
957_132568_000017_000000	'How does your comrade account for it?' said Emily.	'How does your comrade account for it?' said Emily.	true	412.7	415.09	22.104906
957_132568_000018_000000	'He says it is an omen, lady, and bodes no good.'	'He says it is an omen, lady, and bodes no good.'	true	416.33	419.32	18.193874
957_132568_000019_000000	'And what harm can it bode?' rejoined Emily.	'And what harm can it bode?' rejoined Emily.	true	420.17	422.65	22.042112
957_132568_000020_000000	'He knows not so much as that, lady.'	'He knows not so much as that, lady.'	true	424.4	426.49	21.359285
957_132568_000021_000000	Whether Emily was alarmed by this omen, or not, she certainly was relieved from much terror by discovering this man to be only a soldier on duty, and it immediately occurred to her, that it might be he, who had occasioned so much alarm on the preceding night.	Whether Emily was alarmed by this omen, or not, she certainly was relieved from much terror by discovering this man to be only a soldier on duty, and it immediately occurred to her, that it might be he, who had occasioned so much alarm on the preceding night.	true	427.31	441.88	18
957_132568_000021_000001	There were, however, some circumstances, that still required explanation.	There were, however, some circumstances, that still required explanation.	true	443.51	447.52	18
957_132568_000021_000002	As far as she could judge by the faint moon-light, that had assisted her observation, the figure she had seen did not resemble this man either in shape or size; besides, she was certain it had carried no arms.	As far as she could judge by the faint moon light, that had assisted her observation, the figure she had seen did not resemble this man either in shape or size; besides, she was certain it had carried no arms.	true	448.22	461.29	19.563185
957_132568_000021_000003	The silence of its steps, if steps it had, the moaning sounds, too, which it had uttered, and its strange disappearance, were circumstances of mysterious import, that did not apply, with probability, to a soldier engaged in the duty of his guard.	The silence of its steps, if steps it had, the moaning sounds, too, which it had uttered, and its strange disappearance, were circumstances of mysterious import, that did not apply, with probability, to a soldier engaged in the duty of his guard.	false	461.42	477.25	22.15643
957_132568_000022_000000	She now enquired of the sentinel, whether he had seen any person besides his fellow watch, walking on the terrace, about midnight; and then briefly related what she had herself observed.	She now enquired of the sentinel, whether he had seen any person besides his fellow watch, walking on the terrace, about midnight; and then briefly related what she had herself observed.	false	479.54	489.91	20.556963
957_132568_000023_000000	'I was not on guard that night, lady,' replied the man, 'but I heard of what happened.	'I was not on guard that night, lady,' replied the man, 'but I heard of what happened.	true	491.75	496.45	19.431437
957_132568_000023_000001	There are amongst us, who believe strange things.	There are amongst us, who believe strange things.	true	497.78	500.67	20
957_132568_000023_000002	Strange stories, too, have long been told of this castle, but it is no business of mine to repeat them; and, for my part, I have no reason to complain; our Chief does nobly by us.'	Strange stories, too, have long been told of this castle, but it is no business of mine to repeat them; and, for my part, I have no reason to complain; our Chief does nobly by us.'	true	500.67	511.93	20.803356
957_132568_000024_000000	'I commend your prudence,' said Emily. 'Good night, and accept this from me,' she added, throwing him a small piece of coin, and then closing the casement to put an end to the discourse.	'I commend your prudence,' said Emily. 'Good night, and accept this from me,' she added, throwing him a small piece of coin, and then closing the casement to put an end to the discourse.	false	513.86	524.2	23.230663
957_132568_000025_000000	When he was gone, she opened it again, listened with a gloomy pleasure to the distant thunder, that began to murmur among the mountains, and watched the arrowy lightnings, which broke over the remoter scene.	When he was gone, she opened it again, listened with a gloomy pleasure to the distant thunder, that began to murmur among the mountains, and watched the arrowy lightnings, which broke over the remoter scene.	true	526.1	537.76	21
957_132568_000025_000001	The pealing thunder rolled onward, and then, reverbed by the mountains, other thunder seemed to answer from the opposite horizon; while the accumulating clouds, entirely concealing the moon, assumed a red sulphureous tinge, that foretold a violent storm.	The pealing thunder rolled onward, and then, reverbed by the mountains, other thunder seemed to answer from the opposite horizon; while the accumulating clouds, entirely concealing the moon, assumed a red sulphureous tinge, that foretold a violent storm.	true	539.81	555.73	21
957_132568_000026_000000	Emily remained at her casement, till the vivid lightning, that now, every instant, revealed the wide horizon and the landscape below, made it no longer safe to do so, and she went to her couch; but, unable to compose her mind to sleep, still listened in silent awe to the tremendous sounds, that seemed to shake the castle to its foundation.	Emily remained at her casement, till the vivid lightning, that now, every instant, revealed the wide horizon and the landscape below, made it no longer safe to do so, and she went to her couch; but, unable to compose her mind to sleep, still listened in silent awe to the tremendous sounds, that seemed to shake the castle to its foundation.	false	557.36	578.17	19.760952
957_132568_000027_000000	She had continued thus for a considerable time, when, amidst the uproar of the storm, she thought she heard a voice, and, raising herself to listen, saw the chamber door open, and Annette enter with a countenance of wild affright.	She had continued thus for a considerable time, when, amidst the uproar of the storm, she thought she heard a voice, and, raising herself to listen, saw the chamber door open, and Annette enter with a countenance of wild affright.	true	580.22	594.49	20.17349
957_132568_000028_000000	'She is dying, ma'amselle, my lady is dying!' said she.	'She is dying, ma'amselle, my lady is dying!' said she.	false	595.25	598.39	18
957_132568_000029_000000	Emily started up, and ran to Madame Montoni's room.	Emily started up, and ran to Madame Montoni's room.	true	599.57	602.65	17
957_132568_000029_000001	When she entered, her aunt appeared to have fainted, for she was quite still, and insensible; and Emily with a strength of mind, that refused to yield to grief, while any duty required her activity, applied every means that seemed likely to restore her.	When she entered, her aunt appeared to have fainted, for she was quite still, and insensible; and Emily with a strength of mind, that refused to yield to grief, while any duty required her activity, applied every means that seemed likely to restore her.	true	603.17	618.13	21.34895
957_132568_000029_000002	But the last struggle was over--she was gone for ever.	But the last struggle was over-she was gone for ever.	true	618.89	622.12	18.981737
957_132568_000030_000000	When Emily perceived, that all her efforts were ineffectual, she interrogated the terrified Annette, and learned, that Madame Montoni had fallen into a doze soon after Emily's departure, in which she had continued, until a few minutes before her death.	When Emily perceived, that all her efforts were ineffectual, she interrogated the terrified Annette, and learned, that Madame Montoni had fallen into a doze soon after Emily's departure, in which she had continued, until a few minutes before her death.	true	624.53	638.23	20.453579
957_132568_000031_000000	'I wondered, ma'amselle,' said Annette, 'what was the reason my lady did not seem frightened at the thunder, when I was so terrified, and I went often to the bed to speak to her, but she appeared to be asleep; till presently I heard a strange noise, and, on going to her, saw she was dying.'	'I wondered, ma'amselle,' said Annette, 'what was the reason my lady did not seem frightened at the thunder, when I was so terrified, and I went often to the bed to speak to her, but she appeared to be asleep; till presently I heard a strange noise, and, on going to her, saw she was dying.'	false	639.8	655.84	21.716734
957_132568_000032_000000	Emily, at this recital, shed tears.	Emily, at this recital, shed tears.	true	657.74	660.58	20.722937
957_132568_000032_000001	She had no doubt but that the violent change in the air, which the tempest produced, had effected this fatal one, on the exhausted frame of Madame Montoni.	She had no doubt but that the violent change in the air, which the tempest produced, had effected this fatal one, on the exhausted frame of Madame Montoni.	true	661.19	670.06	20
957_132568_000033_000000	After some deliberation, she determined that Montoni should not be informed of this event till the morning, for she considered, that he might, perhaps, utter some inhuman expressions, such as in the present temper of her spirits she could not bear.	After some deliberation, she determined that Montoni should not be informed of this event till the morning, for she considered, that he might, perhaps, utter some inhuman expressions, such as in the present temper of her spirits she could not bear.	true	672.38	686.53	19.967968
957_132568_000033_000001	With Annette alone, therefore, whom she encouraged by her own example, she performed some of the last solemn offices for the dead, and compelled herself to watch during the night, by the body of her deceased aunt.	With Annette alone, therefore, whom she encouraged by her own example, she performed some of the last solemn offices for the dead, and compelled herself to watch during the night, by the body of her deceased aunt.	true	687.17	699.76	20
957_132568_000033_000002	During this solemn period, rendered more awful by the tremendous storm that shook the air, she frequently addressed herself to Heaven for support and protection, and her pious prayers, we may believe, were accepted of the God, that giveth comfort.	During this solemn period, rendered more awful by the tremendous storm that shook the air, she frequently addressed herself to Heaven for support and protection, and her pious prayers, we may believe, were accepted of the God, that giveth comfort.	false	700.25	720.63	20.370255
