2992_164101_000000_000000	VI	VI	false	1.8	2.43	22
2992_164101_000016_000001	Sometimes the band took measured steps in unison to one side or the other, or backward and again forward--it all seemed very silly and meaningless to me, but at the end of the first piece the Mahars upon the rocks showed the first indications of enthusiasm that I had seen displayed by the dominant race of Pellucidar.	Sometimes the band took measured steps in unison to one side or the other, or backward and again forward-it all seemed very silly and meaningless to me, but at the end of the first piece the Mahars upon the rocks showed the first indications of enthusiasm that I had seen displayed by the dominant race of Pellucidar.	false	312.14	329.68	19
2992_164101_000016_000002	They beat their great wings up and down, and smote their rocky perches with their mighty tails until the ground shook. Then the band started another piece, and all was again as silent as the grave.	They beat their great wings up and down, and smote their rocky perches with their mighty tails until the ground shook. Then the band started another piece, and all was again as silent as the grave.	true	330.35	342.45	22.585106
2992_164101_000016_000003	That was one great beauty about Mahar music--if you didn't happen to like a piece that was being played all you had to do was shut your eyes.	That was one great beauty about Mahar music-if you didn't happen to like a piece that was being played all you had to do was shut your eyes.	false	342.45	350.86	23.53458
2992_164101_000017_000000	When the band had exhausted its repertory it took wing and settled upon the rocks above and behind the queen.	When the band had exhausted its repertory it took wing and settled upon the rocks above and behind the queen.	true	351.56	357.7	19.993622
2992_164101_000017_000001	Then the business of the day was on.	Then the business of the day was on.	true	357.98	360.19	19.183472
2992_164101_000017_000002	A man and woman were pushed into the arena by a couple of Sagoth guardsmen.	A man and woman were pushed into the arena by a couple of Sagoth guardsmen.	false	360.68	364.72	18
2992_164101_000017_000003	I leaned forward in my seat to scrutinize the female--hoping against hope that she might prove to be another than Dian the Beautiful.	I leaned forward in my seat to scrutinize the female-hoping against hope that she might prove to be another than Dian the Beautiful.	true	366.11	374.2	23.563196
2992_164101_000017_000004	Her back was toward me for a while, and the sight of the great mass of raven hair piled high upon her head filled me with alarm.	Her back was toward me for a while, and the sight of the great mass of raven hair piled high upon her head filled me with alarm.	false	374.75	381.58	16
2992_164101_000018_000000	Presently a door in one side of the arena wall was opened to admit a huge, shaggy, bull-like creature.	Presently a door in one side of the arena wall was opened to admit a huge, shaggy, bull like creature.	true	382.25	388.81	20.990488
2992_164101_000019_000000	"A Bos," whispered Perry, excitedly.	"A Bos," whispered Perry, excitedly.	false	389.21	392.5	24.138802
2992_164101_000019_000001	"His kind roamed the outer crust with the cave bear and the mammoth ages and ages ago.	"His kind roamed the outer crust with the cave bear and the mammoth ages and ages ago.	true	392.69	397.75	20
2992_164101_000019_000002	We have been carried back a million years, David, to the childhood of a planet--is it not wondrous?"	We have been carried back a million years, David, to the childhood of a planet-is it not wondrous?"	true	398.39	403.54	26.340319
2992_164101_000020_000000	But I saw only the raven hair of a half-naked girl, and my heart stood still in dumb misery at the sight of her, nor had I any eyes for the wonders of natural history.	But I saw only the raven hair of a half naked girl, and my heart stood still in dumb misery at the sight of her, nor had I any eyes for the wonders of natural history.	false	404.33	414.73	20.417463
2992_164101_000020_000001	But for Perry and Ghak I should have leaped to the floor of the arena and shared whatever fate lay in store for this priceless treasure of the Stone Age.	But for Perry and g h a k I should have leaped to the floor of the arena and shared whatever fate lay in store for this priceless treasure of the Stone Age.	false	415.04	422.83	18
2992_164101_000021_000000	With the advent of the Bos--they call the thing a thag within Pellucidar--two spears were tossed into the arena at the feet of the prisoners.	With the advent of the Bos-they call the thing a thag within Pellucidar-two spears were tossed into the arena at the feet of the prisoners.	false	423.47	431.35	19
2992_164101_000021_000001	It seemed to me that a bean shooter would have been as effective against the mighty monster as these pitiful weapons.	It seemed to me that a bean shooter would have been as effective against the mighty monster as these pitiful weapons.	true	431.36	436.78	16
2992_164101_000022_000000	As the animal approached the two, bellowing and pawing the ground with the strength of many earthly bulls, another door directly beneath us was opened, and from it issued the most terrific roar that ever had fallen upon my outraged ears.	As the animal approached the two, bellowing and pawing the ground with the strength of many earthly bulls, another door directly beneath us was opened, and from it issued the most terrific roar that ever had fallen upon my outraged ears.	false	437.3	450.07	18
2992_164101_000022_000001	I could not at first see the beast from which emanated this fearsome challenge, but the sound had the effect of bringing the two victims around with a sudden start, and then I saw the girl's face--she was not Dian!	I could not at first see the beast from which emanated this fearsome challenge, but the sound had the effect of bringing the two victims around with a sudden start, and then I saw the girl's face-she was not Dian!	true	450.5	461.62	20.64222
2992_164101_000022_000002	I could have wept for relief.	I could have wept for relief.	true	461.78	463.78	24.070354
2992_164101_000023_000000	And now, as the two stood frozen in terror, I saw the author of that fearsome sound creeping stealthily into view.	And now, as the two stood frozen in terror, I saw the author of that fearsome sound creeping stealthily into view.	false	464.36	471.22	20
2992_164101_000023_000001	It was a huge tiger--such as hunted the great Bos through the jungles primeval when the world was young.	It was a huge tiger-such as hunted the great Bos through the jungles primeval when the world was young.	false	471.56	478.21	19.41541
2992_164101_000023_000002	In contour and markings it was not unlike the noblest of the Bengals of our own world, but as its dimensions were exaggerated to colossal proportions so too were its colorings exaggerated.	In contour and markings it was not unlike the noblest of the Bengals of our own world, but as its dimensions were exaggerated to colossal proportions so too were its colorings exaggerated.	true	478.43	489.46	23.878626
2992_164101_000023_000003	Its vivid yellows fairly screamed aloud; its whites were as eider down; its blacks glossy as the finest anthracite coal, and its coat long and shaggy as a mountain goat.	Its vivid yellows fairly screamed aloud; its whites were as eider down; its blacks glossy as the finest anthracite coal, and its coat long and shaggy as a mountain goat.	true	489.86	500.98	21.807293
2992_164101_000023_000004	That it is a beautiful animal there is no gainsaying, but if its size and colors are magnified here within Pellucidar, so is the ferocity of its disposition.	That it is a beautiful animal there is no gainsaying, but if its size and colors are magnified here within Pellucidar, so is the ferocity of its disposition.	true	501.86	511.875	21.189976
2992_164101_000023_000005	It is not the occasional member of its species that is a man hunter--all are man hunters; but they do not confine their foraging to man alone, for there is no flesh or fish within Pellucidar that they will not eat with relish in the constant efforts which they make to furnish their huge carcasses with sufficient sustenance to maintain their mighty thews.	It is not the occasional member of its species that is a man hunter-all are man hunters; but they do not confine their foraging to man alone, for there is no flesh or fish within Pellucidar that they will not eat with relish in the constant efforts which they make to furnish their huge carcasses with sufficient sustenance to maintain their mighty thews.	false	511.875	533.92	22.473547
2992_164101_000024_000000	Upon one side of the doomed pair the thag bellowed and advanced, and upon the other tarag, the frightful, crept toward them with gaping mouth and dripping fangs.	Upon one side of the doomed pair the thag bellowed and advanced, and upon the other tarag, the frightful, crept toward them with gaping mouth and dripping fangs.	false	534.95	545.7	21.286264
2992_164101_000025_000000	The man seized the spears, handing one of them to the woman.	The man seized the spears, handing one of them to the woman.	false	545.7	548.62	18
2992_164101_000025_000001	At the sound of the roaring of the tiger the bull's bellowing became a veritable frenzy of rageful noise.	At the sound of the roaring of the tiger the bull's bellowing became a veritable frenzy of rageful noise.	true	548.87	554.86	18
2992_164101_000025_000002	Never in my life had I heard such an infernal din as the two brutes made, and to think it was all lost upon the hideous reptiles for whom the show was staged!	Never in my life had I heard such an infernal din as the two brutes made, and to think it was all lost upon the hideous reptiles for whom the show was staged!	true	555.2	564.07	21.2307
2992_164101_000026_000000	The thag was charging now from one side, and the tarag from the other. The two puny things standing between them seemed already lost, but at the very moment that the beasts were upon them the man grasped his companion by the arm and together they leaped to one side, while the frenzied creatures came together like locomotives in collision.	The thag was charging now from one side, and the tarag from the other. The two puny things standing between them seemed already lost, but at the very moment that the beasts were upon them the man grasped his companion by the arm and together they leaped to one side, while the frenzied creatures came together like locomotives in collision.	false	564.38	583.93	24.350002
2992_164101_000027_000000	There ensued a battle royal which for sustained and frightful ferocity transcends the power of imagination or description.	There ensued a battle royal which for sustained and frightful ferocity transcends the power of imagination or description.	true	584.48	592.03	20
2992_164101_000027_000001	Time and again the colossal bull tossed the enormous tiger high into the air, but each time that the huge cat touched the ground he returned to the encounter with apparently undiminished strength, and seemingly increased ire.	Time and again the colossal bull tossed the enormous tiger high into the air, but each time that the huge cat touched the ground he returned to the encounter with apparently undiminished strength, and seemingly increased ire.	false	592.7	605.17	23.872932
2992_164101_000028_000000	For a while the man and woman busied themselves only with keeping out of the way of the two creatures, but finally I saw them separate and each creep stealthily toward one of the combatants.	For a while the man and woman busied themselves only with keeping out of the way of the two creatures, but finally I saw them separate and each creep stealthily toward one of the combatants.	true	605.66	615.37	20.090519
2992_164101_000028_000001	The tiger was now upon the bull's broad back, clinging to the huge neck with powerful fangs while its long, strong talons ripped the heavy hide into shreds and ribbons.	The tiger was now upon the bull's broad back, clinging to the huge neck with powerful fangs while its long, strong talons ripped the heavy hide into shreds and ribbons.	true	615.71	625.81	21
2992_164101_000029_000000	For a moment the bull stood bellowing and quivering with pain and rage, its cloven hoofs widespread, its tail lashing viciously from side to side, and then, in a mad orgy of bucking it went careening about the arena in frenzied attempt to unseat its rending rider.	For a moment the bull stood bellowing and quivering with pain and rage, its cloven hoofs widespread, its tail lashing viciously from side to side, and then, in a mad orgy of bucking it went careening about the arena in frenzied attempt to unseat its rending rider.	false	626.42	643.03	22.714268
2992_164101_000029_000001	It was with difficulty that the girl avoided the first mad rush of the wounded animal.	It was with difficulty that the girl avoided the first mad rush of the wounded animal.	true	643.4	647.89	21.386665
2992_164101_000030_000000	All its efforts to rid itself of the tiger seemed futile, until in desperation it threw itself upon the ground, rolling over and over.	All its efforts to rid itself of the tiger seemed futile, until in desperation it threw itself upon the ground, rolling over and over.	false	648.47	655.54	22
2992_164101_000030_000001	A little of this so disconcerted the tiger, knocking its breath from it I imagine, that it lost its hold and then, quick as a cat, the great thag was up again and had buried those mighty horns deep in the tarag's abdomen, pinning him to the floor of the arena.	A little of this so disconcerted the tiger, knocking its breath from it I imagine, that it lost its hold and then, quick as a cat, the great thag was up again and had buried those mighty horns deep in the tarag's abdomen, pinning him to the floor of the arena.	false	655.91	670.39	22.530102
2992_164101_000031_000000	The great cat clawed at the shaggy head until eyes and ears were gone, and naught but a few strips of ragged, bloody flesh remained upon the skull.	The great cat clawed at the shaggy head until eyes and ears were gone, and naught but a few strips of ragged, bloody flesh remained upon the skull.	true	670.58	678.73	19
2992_164101_000031_000001	Yet through all the agony of that fearful punishment the thag still stood motionless pinning down his adversary, and then the man leaped in, seeing that the blind bull would be the least formidable enemy, and ran his spear through the tarag's heart.	Yet through all the agony of that fearful punishment the thag still stood motionless pinning down his adversary, and then the man leaped in, seeing that the blind bull would be the least formidable enemy, and ran his spear through the tarag's heart.	true	679.07	691.84	16
2992_164101_000032_000000	As the animal's fierce clawing ceased, the bull raised his gory, sightless head, and with a horrid roar ran headlong across the arena. With great leaps and bounds he came, straight toward the arena wall directly beneath where we sat, and then accident carried him, in one of his mighty springs, completely over the barrier into the midst of the slaves and Sagoths just in front of us.	As the animal's fierce clawing ceased, the bull raised his gory, sightless head, and with a horrid roar ran headlong across the arena. With great leaps and bounds he came, straight toward the arena wall directly beneath where we sat, and then accident carried him, in one of his mighty springs, completely over the barrier into the midst of the slaves and Sagoths just in front of us.	false	692.45	714.58	19
2992_164101_000032_000001	Swinging his bloody horns from side to side the beast cut a wide swath before him straight upward toward our seats.	Swinging his bloody horns from side to side the beast cut a wide swath before him straight upward toward our seats.	true	714.71	721.5	18.644817
2992_164101_000032_000002	Before him slaves and gorilla-men fought in mad stampede to escape the menace of the creature's death agonies, for such only could that frightful charge have been.	Before him slaves and gorilla men fought in mad stampede to escape the menace of the creature's death agonies, for such only could that frightful charge have been.	true	721.5	730.24	20
2992_164101_000033_000000	Forgetful of us, our guards joined in the general rush for the exits, many of which pierced the wall of the amphitheater behind us.	Forgetful of us, our guards joined in the general rush for the exits, many of which pierced the wall of the amphitheater behind us.	false	730.7	737.38	21.857994
2992_164101_000033_000001	Perry, Ghak, and I became separated in the chaos which reigned for a few moments after the beast cleared the wall of the arena, each intent upon saving his own hide.	Perry, g h a k, and I became separated in the chaos which reigned for a few moments after the beast cleared the wall of the arena, each intent upon saving his own hide.	false	738.17	747.61	19.681496
2992_164101_000034_000000	I ran to the right, passing several exits choked with the fear mad mob that were battling to escape.	I ran to the right, passing several exits choked with the fear mad mob that were battling to escape.	true	748.19	754	20.754929
2992_164101_000034_000001	One would have thought that an entire herd of thags was loose behind them, rather than a single blinded, dying beast; but such is the effect of panic upon a crowd.	One would have thought that an entire herd of thags was loose behind them, rather than a single blinded, dying beast; but such is the effect of panic upon a crowd.	false	754.1	763.47	23.906805
2992_164101_000035_000000	VII	seven	false	763.47	763.89	-20
2992_164101_000036_000000	FREEDOM	FREEDOM	false	763.89	764.31	3
2992_164101_000037_000000	ONCE OUT OF THE DIRECT PATH OF THE ANIMAL, fear of it left me, but another emotion as quickly gripped me--hope of escape that the demoralized condition of the guards made possible for the instant.	ONCE OUT OF THE DIRECT PATH OF THE ANIMAL, fear of it left me, but another emotion as quickly gripped me-hope of escape that the demoralized condition of the guards made possible for the instant.	false	764.31	765.33	19.164444
2992_164101_000038_000000	I thought of Perry, and but for the hope that I might better encompass his release if myself free I should have put the thought of freedom from me at once.	I thought of Perry, and but for the hope that I might better encompass his release if myself free I should have put the thought of freedom from me at once.	false	765.33	765.39	35
2992_164101_000038_000001	As it was I hastened on toward the right searching for an exit toward which no Sagoths were fleeing, and at last I found it--a low, narrow aperture leading into a dark corridor.	As it was I hastened on toward the right searching for an exit toward which no Sagoths were fleeing, and at last I found it-a low, narrow aperture leading into a dark corridor.	false	765.39	766.29	16
