1422_149735_000001_000000	Wherein Freckles Wins Honor and Finds a Footprint on the Trail	Wherein Freckles Wins Honor and Finds a Footprint on the Trail
1422_149735_000028_000002	He went and picked it up, oh! so carefully, gazing at it with hungry eyes, but touching it only to carry it to his case, where he hung it on the shining handlebar of the new wheel and locked it among his treasures.	He went and picked it up, oh! so carefully, gazing at it with hungry eyes, but touching it only to carry it to his case, where he hung it on the shining handlebar of the new wheel and locked it among his treasures.
1422_149735_000028_000003	Then he went to the trail, with a new expression on his face and a strange throbbing in his heart.	Then he went to the trail, with a new expression on his face and a strange throbbing in his heart.
1422_149735_000028_000004	He was not in the least afraid of anything that morning.	He was not in the least afraid of anything that morning.
1422_149735_000029_000000	What Black Jack's next move would be he could not imagine, but that there would be a move of some kind was certain.	What Black Jack's next move would be he could not imagine, but that there would be a move of some kind was certain.
1422_149735_000029_000001	The big bully was not a man to give up his purpose, or to have the hat swept from his head with a bullet and bear it meekly.	The big bully was not a man to give up his purpose, or to have the hat swept from his head with a bullet and bear it meekly.
1422_149735_000029_000002	Moreover, Wessner would cling to his revenge with a Dutchman's singleness of mind.	Moreover, Wessner would cling to his revenge with a Dutchman's singleness of mind.
1422_149735_000030_000001	She had stepped in one mucky spot and left a sharp impression.	She had stepped in one mucky spot and left a sharp impression.
1422_149735_000030_000002	The afternoon sun had baked it hard, and the horses' hoofs had not obliterated any part of it, as they had in so many places.	The afternoon sun had baked it hard, and the horses' hoofs had not obliterated any part of it, as they had in so many places.
1422_149735_000030_000003	Freckles stood fascinated, gazing at it.	Freckles stood fascinated, gazing at it.
1422_149735_000030_000005	He would not have ventured a caress on her hat any more than on her person, but this was different. Surely a footprint on a trail might belong to anyone who found and wanted it.	He would not have ventured a caress on her hat any more than on her person, but this was different. Surely a footprint on a trail might belong to anyone who found and wanted it.
1422_149735_000030_000006	He stooped under the wires and entered the swamp.	He stooped under the wires and entered the swamp.
1422_149735_000031_000000	When he reached his room, he tenderly laid the hat upon his bookshelf, and to wear off his awkwardness, mounted his wheel and went spinning on trail again.	When he reached his room, he tenderly laid the hat upon his bookshelf, and to wear off his awkwardness, mounted his wheel and went spinning on trail again.
1422_149735_000031_000001	It was like flying, for the path was worn smooth with his feet and baked hard with the sun almost all the way.	It was like flying, for the path was worn smooth with his feet and baked hard with the sun almost all the way.
1422_149735_000031_000002	When he came to the bark, he veered far to one side and smiled at it in passing.	When he came to the bark, he veered far to one side and smiled at it in passing.
1422_149735_000031_000003	Suddenly he was off the wheel, kneeling beside it.	Suddenly he was off the wheel, kneeling beside it.
1422_149735_000031_000004	He removed his hat, carefully lifted the bark, and gazed lovingly at the imprint.	He removed his hat, carefully lifted the bark, and gazed lovingly at the imprint.
1422_149735_000032_000000	"I wonder what she was going to say of me voice," he whispered.	"I wonder what she was going to say of me voice," he whispered.
1422_149735_000032_000001	"She never got it said, but from the face of her, I believe she was liking it fairly well.	"She never got it said, but from the face of her, I believe she was liking it fairly well.
1422_149735_000032_000003	That's what they all thought at the Home.	That's what they all thought at the Home.
1422_149735_000032_000004	Well, if it is, I'll just shut me eyes, think of me little room, the face of her watching, and the heart of her beating, and I'll raise them.	Well, if it is, I'll just shut me eyes, think of me little room, the face of her watching, and the heart of her beating, and I'll raise them.
1422_149735_000032_000005	Damn them, if singing will do it, I'll raise them from the benches!"	Damn them, if singing will do it, I'll raise them from the benches!"
1422_149735_000033_000000	With this dire threat, Freckles knelt, as at a wayside spring, and deliberately laid his lips on the footprint.	With this dire threat, Freckles knelt, as at a wayside spring, and deliberately laid his lips on the footprint.
1422_149735_000033_000001	Then he arose, appearing as if he had been drinking at the fountain of gladness.	Then he arose, appearing as if he had been drinking at the fountain of gladness.
