5293_82020_000000_000000	Karl soon found himself before the house in which his friend Hoellenrachen resided.	Karl soon found himself before the house in which his friend Hoellenrachen resided.
5293_82020_000012_000001	She too had no doubt that she had seen the body-ghost of poor Karl, and that the vampire had, according to rule, paid her the first visit because he loved her best.	She too had no doubt that she had seen the body ghost of poor Karl, and that the vampire had, according to rule, paid her the first visit because he loved her best.
5293_82020_000012_000003	And then, though he had visited her, he had not, as far as she was aware, deprived her of a drop of blood.	And then, though he had visited her, he had not, as far as she was aware, deprived her of a drop of blood.
5293_82020_000012_000004	She could not be certain that he had not bitten her, for she had been in such a strange condition of mind that she might not have felt it, but she believed that he had restrained the impulses of his vampire nature, and had left her, lest he should yet yield to them.	She could not be certain that he had not bitten her, for she had been in such a strange condition of mind that she might not have felt it, but she believed that he had restrained the impulses of his vampire nature, and had left her, lest he should yet yield to them.
5293_82020_000012_000005	She fell fast asleep; and, when morning came, there was not, as far as she could judge, one of those triangular leech-like perforations to be found upon her whole body.	She fell fast asleep; and, when morning came, there was not, as far as she could judge, one of those triangular leech like perforations to be found upon her whole body.
5293_82020_000012_000006	Will it be believed that the moment she was satisfied of this, she was seized by a terrible jealousy, lest Karl should have gone and bitten some one else?	Will it be believed that the moment she was satisfied of this, she was seized by a terrible jealousy, lest Karl should have gone and bitten some one else?
5293_82020_000012_000009	They were very different causes, and the effects must be very different.	They were very different causes, and the effects must be very different.
5293_82020_000013_000001	There lay the awful white block, seeming to his eyes just the same as he had left it.	There lay the awful white block, seeming to his eyes just the same as he had left it.
5293_82020_000013_000002	What was to be done with it?	What was to be done with it?
5293_82020_000013_000003	He dared not open it.	He dared not open it.
5293_82020_000013_000004	Mould and model must go together.	Mould and model must go together.
5293_82020_000013_000006	If inquiry should be made after Wolkenlicht, and this were discovered anywhere on his premises, would it not be enough to bring him at once to the gallows?	If inquiry should be made after Wolkenlicht, and this were discovered anywhere on his premises, would it not be enough to bring him at once to the gallows?
5293_82020_000013_000007	Therefore it would be dangerous to bury it in the garden, or in the cellar.	Therefore it would be dangerous to bury it in the garden, or in the cellar.
5293_82020_000014_000000	"Besides," thought he, with a shudder, "that would be to fix the vampire as a guest for ever."--And the horrors of the past night rushed back upon his imagination with renewed intensity.	"Besides," thought he, with a shudder, "that would be to fix the vampire as a guest for ever."--And the horrors of the past night rushed back upon his imagination with renewed intensity.
5293_82020_000014_000001	What would it be to have the dead Karl crawling about his house for ever, now inside, now out, now sitting on the stairs, now staring in at the windows?	What would it be to have the dead Karl crawling about his house for ever, now inside, now out, now sitting on the stairs, now staring in at the windows?
5293_82020_000015_000000	He would have dragged it to the bottom of his garden, past which the Moldau flowed, and plunged it into the stream; but then, should the spectre continue to prove troublesome, it would be almost impossible to reach the body so as to destroy it by fire; besides which, he could not do it without assistance, and the probability of discovery.	He would have dragged it to the bottom of his garden, past which the Moldau flowed, and plunged it into the stream; but then, should the spectre continue to prove troublesome, it would be almost impossible to reach the body so as to destroy it by fire; besides which, he could not do it without assistance, and the probability of discovery.
5293_82020_000015_000001	If, however, the apparition should turn out to be no vampire, but only a respectable ghost, they might manage to endure its presence, till it should be weary of haunting them.	If, however, the apparition should turn out to be no vampire, but only a respectable ghost, they might manage to endure its presence, till it should be weary of haunting them.
5293_82020_000016_000000	He resolved at last to convey the body for the meantime into a concealed cellar in the house, seeing something must be done before his daughter came down.	He resolved at last to convey the body for the meantime into a concealed cellar in the house, seeing something must be done before his daughter came down.
5293_82020_000016_000001	Proceeding to remove it, his consternation as greatly increased when he discovered how the body had grown in weight since he had thus disposed of it, leaving on his mind scarcely a hope that it could turn out not to be a vampire after all.	Proceeding to remove it, his consternation as greatly increased when he discovered how the body had grown in weight since he had thus disposed of it, leaving on his mind scarcely a hope that it could turn out not to be a vampire after all.
5293_82020_000016_000002	He could scarcely stir it, and there was but one whom he could call to his assistance--the old woman who acted as his housekeeper and servant.	He could scarcely stir it, and there was but one whom he could call to his assistance-the old woman who acted as his housekeeper and servant.
5293_82020_000017_000000	He went to her room, roused her, and told her the whole story.	He went to her room, roused her, and told her the whole story.
5293_82020_000017_000001	Devoted to her master for many years, and not quite so sensitive to fearful influences as when less experienced in horrors, she showed immediate readiness to render him assistance.	Devoted to her master for many years, and not quite so sensitive to fearful influences as when less experienced in horrors, she showed immediate readiness to render him assistance.
5293_82020_000017_000002	Utterly unable, however, to lift the mass between them, they could only drag and push it along; and such a slow toil was it that there was no time to remove the traces of its track, before Lilith came down and saw a broad white line leading from the door of the studio down the cellarstairs.	Utterly unable, however, to lift the mass between them, they could only drag and push it along; and such a slow toil was it that there was no time to remove the traces of its track, before Lilith came down and saw a broad white line leading from the door of the studio down the cellarstairs.
5293_82020_000017_000003	She knew in a moment what it meant; but not a word was uttered about the matter, and the name of Karl Wolkenlicht seemed to be entirely forgotten.	She knew in a moment what it meant; but not a word was uttered about the matter, and the name of Karl Wolkenlicht seemed to be entirely forgotten.
5293_82020_000018_000001	So it was not surprising that the painter abandoned his studio early, and that the three found themselves together in the gorgeous room formerly described, as soon as twilight began to fall.	So it was not surprising that the painter abandoned his studio early, and that the three found themselves together in the gorgeous room formerly described, as soon as twilight began to fall.
5293_82020_000019_000000	Already Teufelsbuerst had begun to experience a kind of shrinking from the horrid faces in his own pictures, and to feel disgusted at the abortions of his own mind.	Already Teufelsbuerst had begun to experience a kind of shrinking from the horrid faces in his own pictures, and to feel disgusted at the abortions of his own mind.
5293_82020_000019_000003	As much as possible, however, they avoided alarming Lilith, who, knowing all they knew, was as silent as they.	As much as possible, however, they avoided alarming Lilith, who, knowing all they knew, was as silent as they.
5293_82020_000019_000004	But her mind was in a strange state of excitement, partly from the presence of a new sense of love, the pleasure of which all the atmosphere of grief into which it grew could not totally quench.	But her mind was in a strange state of excitement, partly from the presence of a new sense of love, the pleasure of which all the atmosphere of grief into which it grew could not totally quench.
5293_82020_000019_000005	It comforted her somehow, as a child may comfort when his father is away.	It comforted her somehow, as a child may comfort when his father is away.
5293_82020_000020_000000	Bedtime came, and no one made a move to go.	Bedtime came, and no one made a move to go.
5293_82020_000020_000001	Without a word spoken on the subject, the three remained together all night; the elders nodding and slumbering occasionally, and Lilith getting some share of repose on a couch.	Without a word spoken on the subject, the three remained together all night; the elders nodding and slumbering occasionally, and Lilith getting some share of repose on a couch.
5293_82020_000020_000002	All night the shape of death might be somewhere about the house; but it did not disturb them.	All night the shape of death might be somewhere about the house; but it did not disturb them.
5293_82020_000020_000003	They heard no sound, saw no sight; and when the morning dawned, they separated, chilled and stupid, and for the time beyond fear, to seek repose in their private chambers.	They heard no sound, saw no sight; and when the morning dawned, they separated, chilled and stupid, and for the time beyond fear, to seek repose in their private chambers.
5293_82020_000020_000004	There they remained equally undisturbed.	There they remained equally undisturbed.
5293_82020_000021_000000	But when the painter approached his easel a few hours after, looking more pale and haggard still than he was wont, from the fears of the night, a new bewilderment took possession of him.	But when the painter approached his easel a few hours after, looking more pale and haggard still than he was wont, from the fears of the night, a new bewilderment took possession of him.
5293_82020_000021_000001	He had been busy with a fresh embodiment of his favourite subject, into which he had sketched the form of the student as the sufferer.	He had been busy with a fresh embodiment of his favourite subject, into which he had sketched the form of the student as the sufferer.
5293_82020_000021_000003	At an open door he had painted Lilith passing, with her face buried in a bunch of sweet peas.	At an open door he had painted Lilith passing, with her face buried in a bunch of sweet peas.
5293_82020_000021_000004	But when he came to the picture, he found, to his astonishment and terror, that the face of one of the group was now turned towards that of the victim, regarding his revival with demoniac satisfaction, and taking pains to prevent the others from discovering it.	But when he came to the picture, he found, to his astonishment and terror, that the face of one of the group was now turned towards that of the victim, regarding his revival with demoniac satisfaction, and taking pains to prevent the others from discovering it.
5293_82020_000021_000005	The face of this prince of torturers was that of Teufelsbuerst himself.	The face of this prince of torturers was that of Teufelsbuerst himself.
5293_82020_000021_000006	Lilith had altogether vanished, and in her place stood the dim vampire reiteration of the body that lay extended on the table, staring greedily at the assembled company.	Lilith had altogether vanished, and in her place stood the dim vampire reiteration of the body that lay extended on the table, staring greedily at the assembled company.
5293_82020_000021_000007	With trembling hands the painter removed the picture from the easel, and turned its face to the wall.	With trembling hands the painter removed the picture from the easel, and turned its face to the wall.
5293_82020_000022_000000	Of course this was the work of Lottchen.	Of course this was the work of Lottchen.
5293_82020_000022_000001	When he left the house, he took with him the key of a small private door, which was so seldom used that, while it remained closed, the key would not be missed, perhaps for many months.	When he left the house, he took with him the key of a small private door, which was so seldom used that, while it remained closed, the key would not be missed, perhaps for many months.
5293_82020_000022_000002	Watching the windows, he had chosen a safe time to enter, and had been hard at work all night on these alterations.	Watching the windows, he had chosen a safe time to enter, and had been hard at work all night on these alterations.
5293_82020_000022_000003	Teufelsbuerst attributed them to the vampire, and left the picture as he found it, not daring to put brush to it again.	Teufelsbuerst attributed them to the vampire, and left the picture as he found it, not daring to put brush to it again.
5293_82020_000023_000000	The next night was passed much after the same fashion.	The next night was passed much after the same fashion.
5293_82020_000023_000001	But the fear had begun to die away a little in the hearts of the women, who did not know what had taken place in the studio on the previous night.	But the fear had begun to die away a little in the hearts of the women, who did not know what had taken place in the studio on the previous night.
5293_82020_000023_000003	But this night likewise passed in peace; and before it was over, the old woman had taken to speculating in her own mind as to the best way of disposing of the body, seeing it was not at all likely to be troublesome.	But this night likewise passed in peace; and before it was over, the old woman had taken to speculating in her own mind as to the best way of disposing of the body, seeing it was not at all likely to be troublesome.
5293_82020_000023_000004	But when the painter entered his studio in trepidation the next morning, he found that the form of the lovely Lilith was painted out of every picture in the room.	But when the painter entered his studio in trepidation the next morning, he found that the form of the lovely Lilith was painted out of every picture in the room.
5293_82020_000023_000005	This could not be concealed; and Lilith and the servant became aware that the studio was the portion of the house in haunting which the vampire left the rest in peace.	This could not be concealed; and Lilith and the servant became aware that the studio was the portion of the house in haunting which the vampire left the rest in peace.
5293_82020_000024_000000	Karl recounted all the tricks he had played to his friend Heinrich, who begged to be allowed to bear him company the following night.	Karl recounted all the tricks he had played to his friend Heinrich, who begged to be allowed to bear him company the following night.
5293_82020_000024_000002	So they took a couple of bottles of wine and some provisions with them, and before midnight found themselves snug in the studio.	So they took a couple of bottles of wine and some provisions with them, and before midnight found themselves snug in the studio.
5293_82020_000024_000003	They sat very quiet for some time, for they knew that if they were seen, two vampires would not be so terrible as one, and might occasion discovery.	They sat very quiet for some time, for they knew that if they were seen, two vampires would not be so terrible as one, and might occasion discovery.
5293_82020_000024_000004	But at length Heinrich could bear it no longer.	But at length Heinrich could bear it no longer.
5293_82020_000026_000000	"I think I know.	"I think I know.
5293_82020_000026_000001	Stop; let me peep out.	Stop; let me peep out.
5293_82020_000026_000002	All right!	All right!
5293_82020_000026_000003	Come along."	Come along."
5293_82020_000027_000000	With a lamp in his hand, he led the way to the cellars, and after searching about a little they discovered it.	With a lamp in his hand, he led the way to the cellars, and after searching about a little they discovered it.
5293_82020_000029_000000	So he took a bottle from his pocket, and after they had had a glass apiece, he dropped a third in blots all over the plaster.	So he took a bottle from his pocket, and after they had had a glass apiece, he dropped a third in blots all over the plaster.
5293_82020_000029_000001	Being red wine, it had the effect Hoellenrachen desired.	Being red wine, it had the effect Hoellenrachen desired.
5293_82020_000031_000000	In a corner close by the plaster, they found the clothes Karl had worn.	In a corner close by the plaster, they found the clothes Karl had worn.
5293_82020_000033_000000	So he carried them with him to the studio.	So he carried them with him to the studio.
5293_82020_000033_000001	There he got hold of the lay-figure.	There he got hold of the lay figure.
5293_82020_000034_000000	"What are you about, Heinrich?"	"What are you about, Heinrich?"
5293_82020_000035_000001	He next seated the creature at an easel with its back to the door, so that it should be the first thing the painter should see when he entered.	He next seated the creature at an easel with its back to the door, so that it should be the first thing the painter should see when he entered.
5293_82020_000035_000002	Karl meant to remove this before he went, for it was too comical to fall in with the rest of his proceedings.	Karl meant to remove this before he went, for it was too comical to fall in with the rest of his proceedings.
5293_82020_000035_000003	But the two sat down to their supper, and by the time they had finished the wine, they thought they should like to go to bed.	But the two sat down to their supper, and by the time they had finished the wine, they thought they should like to go to bed.
5293_82020_000035_000004	So they got up and went home, and Karl forgot the lay-figure, leaving it in busy motionlessness all night before the easel.	So they got up and went home, and Karl forgot the lay figure, leaving it in busy motionlessness all night before the easel.
5293_82020_000035_000005	When Teufelsbuerst saw it, he turned and fled with a cry that brought his daughter to his help.	When Teufelsbuerst saw it, he turned and fled with a cry that brought his daughter to his help.
5293_82020_000035_000006	He rushed past her, able only to articulate:	He rushed past her, able only to articulate:
5293_82020_000036_000001	The vampire!	The vampire!
5293_82020_000037_000000	Far more courageous than he, because her conscience was more peaceful, Lilith passed on to the studio.	Far more courageous than he, because her conscience was more peaceful, Lilith passed on to the studio.
5293_82020_000037_000001	She too recoiled a step or two when she saw the figure; but with the sight of the back of Karl, as she supposed it to be, came the longing to see the face that was on the other side. So she crept round and round by the wall, as far off as she could.	She too recoiled a step or two when she saw the figure; but with the sight of the back of Karl, as she supposed it to be, came the longing to see the face that was on the other side. So she crept round and round by the wall, as far off as she could.
5293_82020_000037_000003	It was a strange kind of shock that she experienced when she saw the face, disgusting from its inanity.	It was a strange kind of shock that she experienced when she saw the face, disgusting from its inanity.
5293_82020_000037_000004	The absurdity next struck her; and with the absurdity flashed into her mind the conviction that this was not the doing of a vampire; for of all creatures under the moon, he could not be expected to be a humorist.	The absurdity next struck her; and with the absurdity flashed into her mind the conviction that this was not the doing of a vampire; for of all creatures under the moon, he could not be expected to be a humorist.
5293_82020_000037_000005	A wild hope sprang up in her mind that Karl was not dead.	A wild hope sprang up in her mind that Karl was not dead.
5293_82020_000037_000006	Of this she soon resolved to make herself sure.	Of this she soon resolved to make herself sure.
5293_82020_000038_000000	She closed the door of the studio; in the strength of her new hope undressed the figure, put it in its place, concealed the garments--all the work of a few minutes; and then, finding her father just recovering from the worst of his fear, told him there was nothing in the studio but what ought to be there, and persuaded him to go and see.	She closed the door of the studio; in the strength of her new hope undressed the figure, put it in its place, concealed the garments-all the work of a few minutes; and then, finding her father just recovering from the worst of his fear, told him there was nothing in the studio but what ought to be there, and persuaded him to go and see.
5293_82020_000038_000001	He not only saw no one, but found that no further liberties had been taken with his pictures.	He not only saw no one, but found that no further liberties had been taken with his pictures.
5293_82020_000038_000002	Reassured, he soon persuaded himself that the spectre in this case had been the offspring of his own terror-haunted brain.	Reassured, he soon persuaded himself that the spectre in this case had been the offspring of his own terror haunted brain.
5293_82020_000038_000003	But he had no spirit for painting now.	But he had no spirit for painting now.
5293_82020_000038_000004	He wandered about the house, himself haunting it like a restless ghost.	He wandered about the house, himself haunting it like a restless ghost.
5293_82020_000039_000000	When night came, Lilith retired to her own room.	When night came, Lilith retired to her own room.
5293_82020_000039_000001	The waters of fear had begun to subside in the house; but the painter and his old attendant did not yet follow her example.	The waters of fear had begun to subside in the house; but the painter and his old attendant did not yet follow her example.
5293_82020_000040_000000	As soon, however, as the house was quite still, Lilith glided noiselessly down the stairs, went into the studio, where as yet there assuredly was no vampire, and concealed herself in a corner.	As soon, however, as the house was quite still, Lilith glided noiselessly down the stairs, went into the studio, where as yet there assuredly was no vampire, and concealed herself in a corner.
5293_82020_000041_000000	As it would not do for an earnest student like Heinrich to be away from his work very often, he had not asked to accompany Lottchen this time. And indeed Karl himself, a little anxious about the result of the scarecrow, greatly preferred going alone.	As it would not do for an earnest student like Heinrich to be away from his work very often, he had not asked to accompany Lottchen this time. And indeed Karl himself, a little anxious about the result of the scarecrow, greatly preferred going alone.
5293_82020_000042_000000	While she was waiting for what might happen, the conviction grew upon Lilith, as she reviewed all the past of the story, that these phenomena were the work of the real Karl, and of no vampire.	While she was waiting for what might happen, the conviction grew upon Lilith, as she reviewed all the past of the story, that these phenomena were the work of the real Karl, and of no vampire.
5293_82020_000042_000001	In a few moments she was still more sure of this.	In a few moments she was still more sure of this.
5293_82020_000042_000002	Behind the screen where she had taken refuge, hung one of the pictures out of which her portrait had been painted the night before last.	Behind the screen where she had taken refuge, hung one of the pictures out of which her portrait had been painted the night before last.
5293_82020_000042_000004	She had not looked at it long, before she wetted the tip of her forefinger, and began to rub away at the obliteration.	She had not looked at it long, before she wetted the tip of her forefinger, and began to rub away at the obliteration.
5293_82020_000042_000005	Her suspicions were instantly confirmed: the substance employed was only a gummy wash over the paint.	Her suspicions were instantly confirmed: the substance employed was only a gummy wash over the paint.
5293_82020_000042_000006	The delight she experienced at the discovery threw her into a mischievous humour.	The delight she experienced at the discovery threw her into a mischievous humour.
5293_82020_000043_000000	"I will see," she said to herself, "whether I cannot match Karl Wolkenlicht at this game."	"I will see," she said to herself, "whether I cannot match Karl Wolkenlicht at this game."
5293_82020_000044_000000	In a closet in the room hung a number of costumes, which Lilith had at different times worn for her father.	In a closet in the room hung a number of costumes, which Lilith had at different times worn for her father.
5293_82020_000044_000001	Among them was a large white drapery, which she easily disposed as a shroud.	Among them was a large white drapery, which she easily disposed as a shroud.
5293_82020_000044_000002	With the help of some chalk, she soon made herself ghastly enough, and then placing her lamp on the floor behind the screen, and setting a chair over it, so that it should throw no light in any direction, she waited once more for the vampire.	With the help of some chalk, she soon made herself ghastly enough, and then placing her lamp on the floor behind the screen, and setting a chair over it, so that it should throw no light in any direction, she waited once more for the vampire.
5293_82020_000044_000003	Nor had she much longer to wait.	Nor had she much longer to wait.
5293_82020_000044_000004	She soon heard a door move, the sound of which she hardly knew, and then the studio door opened.	She soon heard a door move, the sound of which she hardly knew, and then the studio door opened.
5293_82020_000044_000005	Her heart beat dreadfully, not with fear lest it should be a vampire after all, but with hope that it was Karl.	Her heart beat dreadfully, not with fear lest it should be a vampire after all, but with hope that it was Karl.
5293_82020_000044_000006	To see him once more was too great joy.	To see him once more was too great joy.
5293_82020_000044_000007	Would she not make up to him for all her coldness!	Would she not make up to him for all her coldness!
5293_82020_000044_000008	But would he care for her now?	But would he care for her now?
5293_82020_000044_000009	Perhaps he had been quite cured of his longing for a hard heart like hers.	Perhaps he had been quite cured of his longing for a hard heart like hers.
5293_82020_000044_000010	She peeped.	She peeped.
5293_82020_000044_000011	It was he sure enough, looking as handsome as ever.	It was he sure enough, looking as handsome as ever.
5293_82020_000044_000012	He was holding his light to look at her last work, and the expression of his face, even in regarding her handiwork, was enough to let her know that he loved her still.	He was holding his light to look at her last work, and the expression of his face, even in regarding her handiwork, was enough to let her know that he loved her still.
5293_82020_000044_000013	If she had not seen this, she dared not have shown herself from her hiding-place.	If she had not seen this, she dared not have shown herself from her hiding place.
5293_82020_000044_000015	She then made a slight noise to attract Karl's attention.	She then made a slight noise to attract Karl's attention.
5293_82020_000044_000016	He looked up, evidently rather startled, and saw the face of Lilith in the air: He gave a stifled cry threw himself on his knees with his arms stretched towards her, and moaned--	He looked up, evidently rather startled, and saw the face of Lilith in the air: He gave a stifled cry threw himself on his knees with his arms stretched towards her, and moaned-
5293_82020_000045_000000	"I have killed her!	"I have killed her!
5293_82020_000045_000001	I have killed her!"	I have killed her!"
5293_82020_000046_000000	Lilith descended, and approached him noiselessly.	Lilith descended, and approached him noiselessly.
5293_82020_000046_000001	He did not move.	He did not move.
5293_82020_000046_000002	She came close to him and said--	She came close to him and said-
5293_82020_000047_000000	"Are you Karl Wolkenlicht?"	"Are you Karl Wolkenlicht?"
5293_82020_000048_000000	His lips moved, but no sound came.	His lips moved, but no sound came.
5293_82020_000050_000000	Karl sprang to his feet.	Karl sprang to his feet.
5293_82020_000050_000001	Lilith's laugh changed into a burst of sobbing and weeping, and in another moment the ghost was in the arms of the vampire.	Lilith's laugh changed into a burst of sobbing and weeping, and in another moment the ghost was in the arms of the vampire.
5293_82020_000051_000000	Lilith had no idea how far her father had wronged Karl, and though, from thinking over the past, he had no doubt that the painter had drugged him, he did not wish to pain her by imparting this conviction.	Lilith had no idea how far her father had wronged Karl, and though, from thinking over the past, he had no doubt that the painter had drugged him, he did not wish to pain her by imparting this conviction.
5293_82020_000051_000001	But Lilith was afraid of a reaction of rage and hatred in her father after the terror was removed; and Karl saw that he might thus be deprived of all further intercourse with Lilith, and all chance of softening the old man's heart towards him; while Lilith would not hear of forsaking him who had banished all the human race but herself.	But Lilith was afraid of a reaction of rage and hatred in her father after the terror was removed; and Karl saw that he might thus be deprived of all further intercourse with Lilith, and all chance of softening the old man's heart towards him; while Lilith would not hear of forsaking him who had banished all the human race but herself.
5293_82020_000051_000002	They managed at length to agree upon a plan of operation.	They managed at length to agree upon a plan of operation.
5293_82020_000052_000000	The first thing they did was to go to the cellar where the plaster mass lay, Karl carrying with him a great axe used for cleaving wood.	The first thing they did was to go to the cellar where the plaster mass lay, Karl carrying with him a great axe used for cleaving wood.
5293_82020_000052_000001	Lilith shuddered when she saw it, stained as it was with the wine Heinrich had spilt over it, and almost believed herself the midnight companion of a vampire after all, visiting with him the terrible corpse in which he lived all day.	Lilith shuddered when she saw it, stained as it was with the wine Heinrich had spilt over it, and almost believed herself the midnight companion of a vampire after all, visiting with him the terrible corpse in which he lived all day.
5293_82020_000052_000002	But Karl soon reassured her; and a few good blows of the axe revealed a very different core to that which Teufelsbuerst supposed to be in it.	But Karl soon reassured her; and a few good blows of the axe revealed a very different core to that which Teufelsbuerst supposed to be in it.
5293_82020_000052_000003	Karl broke it into pieces, and with Lilith's help, who insisted on carrying her share, the whole was soon at the bottom of the Moldau and every trace of its ever having existed removed.	Karl broke it into pieces, and with Lilith's help, who insisted on carrying her share, the whole was soon at the bottom of the Moldau and every trace of its ever having existed removed.
5293_82020_000052_000004	Before morning, too, the form of Lilith had dawned anew in every picture.	Before morning, too, the form of Lilith had dawned anew in every picture.
5293_82020_000053_000000	When they had done, and Lilith, for all his entreaties, would remain with him no longer, Karl took his former clothes with him, and having spent the rest of the night in his old room, dressed in them in the morning.	When they had done, and Lilith, for all his entreaties, would remain with him no longer, Karl took his former clothes with him, and having spent the rest of the night in his old room, dressed in them in the morning.
5293_82020_000053_000002	The painter started, stared, rubbed his eyes, thought it was another spectral illusion, and was on the point of yielding to his terror, when Karl rose, and approached him with a smile.	The painter started, stared, rubbed his eyes, thought it was another spectral illusion, and was on the point of yielding to his terror, when Karl rose, and approached him with a smile.
5293_82020_000053_000003	The healthy, sunshiny countenance of Karl, let him be ghost or goblin, could not fail to produce somewhat of a tranquillising effect on Teufelsbuerst.	The healthy, sunshiny countenance of Karl, let him be ghost or goblin, could not fail to produce somewhat of a tranquillising effect on Teufelsbuerst.
5293_82020_000053_000004	He took his offered hand mechanically, his countenance utterly vacant with idiotic bewilderment. Karl said--	He took his offered hand mechanically, his countenance utterly vacant with idiotic bewilderment. Karl said-
5293_82020_000054_000000	"I was not well, and thought it better to pay a visit to a friend for a few days; but I shall soon make up for lost time, for I am all right now."	"I was not well, and thought it better to pay a visit to a friend for a few days; but I shall soon make up for lost time, for I am all right now."
5293_82020_000055_000003	In a few moments he came up again.	In a few moments he came up again.
5293_82020_000055_000004	Karl stole a glance at him.	Karl stole a glance at him.
5293_82020_000055_000005	There he stood in the same spot, no doubt more full of bewilderment than ever, but it was not possible that his face should express more.	There he stood in the same spot, no doubt more full of bewilderment than ever, but it was not possible that his face should express more.
5293_82020_000055_000006	At last he went to his easel, and sat down with a long-drawn sigh as if of relief.	At last he went to his easel, and sat down with a long drawn sigh as if of relief.
5293_82020_000055_000007	But though he sat at his easel, he painted none that day; and as often as Karl ventured a glance, he saw him still staring at him.	But though he sat at his easel, he painted none that day; and as often as Karl ventured a glance, he saw him still staring at him.
5293_82020_000055_000008	The discovery that his pictures were restored to their former condition aided, no doubt, in leading him to the same conclusion as the other facts, whatever that conclusion might be--probably that he had been the sport of some evil power, and had been for the greater part of a week utterly bewitched.	The discovery that his pictures were restored to their former condition aided, no doubt, in leading him to the same conclusion as the other facts, whatever that conclusion might be-probably that he had been the sport of some evil power, and had been for the greater part of a week utterly bewitched.
5293_82020_000055_000010	But when all was restored again to the old routine, it became evident that the peculiar direction of his art in which he had hitherto indulged had ceased to interest him.	But when all was restored again to the old routine, it became evident that the peculiar direction of his art in which he had hitherto indulged had ceased to interest him.
5293_82020_000055_000011	The shock had acted chiefly upon that part of his mental being which had been so absorbed.	The shock had acted chiefly upon that part of his mental being which had been so absorbed.
5293_82020_000055_000013	Karl paid him every attention; and the old man, for he now looked much older than before, submitted to receive his services as well as those of Lilith.	Karl paid him every attention; and the old man, for he now looked much older than before, submitted to receive his services as well as those of Lilith.
5293_82020_000055_000014	At length, one morning, he said in a slow thoughtful tone--	At length, one morning, he said in a slow thoughtful tone-
5293_82020_000056_000000	"Karl Wolkenlicht, I should like to paint you."	"Karl Wolkenlicht, I should like to paint you."
5293_82020_000057_000000	"Certainly, sir," answered Karl, jumping up, "where would you like me to sit?"	"Certainly, sir," answered Karl, jumping up, "where would you like me to sit?"
5293_82020_000058_000001	And as soon as he had finished Karl, he began once more to paint Lilith; and when he had painted her, he composed a picture for the very purpose of introducing them together; and in this picture there was neither ugliness nor torture, but human feeling and human hope instead.	And as soon as he had finished Karl, he began once more to paint Lilith; and when he had painted her, he composed a picture for the very purpose of introducing them together; and in this picture there was neither ugliness nor torture, but human feeling and human hope instead.
5293_82020_000058_000002	Then Karl knew that he might speak to him of Lilith; and he spoke, and was heard with a smile.	Then Karl knew that he might speak to him of Lilith; and he spoke, and was heard with a smile.
