3380_6175_000000_000000	Perhaps her words were not just like these, but her thoughts were.	Perhaps her words were not just like these, but her thoughts were.	false	0	6.78	20.94185
3380_6175_000002_000007	Neither, when she found herself wrapped in the dark folds of the wise woman's cloak, did she behave in the least like the princess, for she was not afraid.	Neither, when she found herself wrapped in the dark folds of the wise woman's cloak, did she behave in the least like the princess, for she was not afraid.	false	129.32	138.58	26.055561
3380_6175_000002_000008	"She'll soon set me down," she said, too self-important to suppose that any one would dare do her an injury.	"She'll soon set me down," she said, too self important to suppose that any one would dare do her an injury.	false	139.31	145.39	22.89913
3380_6175_000003_000000	Whether it be a good thing or a bad not to be afraid depends on what the fearlessness is founded upon.	Whether it be a good thing or a bad not to be afraid depends on what the fearlessness is founded upon.	true	146.63	152.8	21.525558
3380_6175_000003_000001	Some have no fear, because they have no knowledge of the danger: there is nothing fine in that.	Some have no fear, because they have no knowledge of the danger: there is nothing fine in that.	true	153.56	159.58	22.757904
3380_6175_000003_000002	Some are too stupid to be afraid: there is nothing fine in that.	Some are too stupid to be afraid: there is nothing fine in that.	true	160.28	164.74	24.78777
3380_6175_000003_000003	Some who are not easily frightened would yet turn their backs and run, the moment they were frightened: such never had more courage than fear.	Some who are not easily frightened would yet turn their backs and run, the moment they were frightened: such never had more courage than fear.	true	165.77	174.61	21.671917
3380_6175_000003_000004	But the man who will do his work in spite of his fear is a man of true courage.	But the man who will do his work in spite of his fear is a man of true courage.	true	176.24	181.12	22.16736
3380_6175_000003_000005	The fearlessness of Agnes was only ignorance: she did not know what it was to be hurt; she had never read a single story of giant, or ogress or wolf; and her mother had never carried out one of her threats of punishment.	The fearlessness of Agnes was only ignorance: she did not know what it was to be hurt; she had never read a single story of giant, or ogress or wolf; and her mother had never carried out one of her threats of punishment.	true	182.12	197.23	20.55173
3380_6175_000003_000006	If the wise woman had but pinched her, she would have shown herself an abject little coward, trembling with fear at every change of motion so long as she carried her.	If the wise woman had but pinched her, she would have shown herself an abject little coward, trembling with fear at every change of motion so long as she carried her.	false	198.26	209.31	19.670977
3380_6175_000004_000000	Nothing such, however, was in the wise woman's plan for the curing of her.	Nothing such, however, was in the wise woman's plan for the curing of her.	true	209.31	213.61	22.454035
3380_6175_000004_000001	On and on she carried her without a word.	On and on she carried her without a word.	true	214.07	216.79	23.968246
3380_6175_000004_000002	She knew that if she set her down she would never run after her like the princess, at least not before the evil thing was already upon her.	She knew that if she set her down she would never run after her like the princess, at least not before the evil thing was already upon her.	true	217.13	225.04	21.957714
3380_6175_000004_000003	On and on she went, never halting, never letting the light look in, or Agnes look out.	On and on she went, never halting, never letting the light look in, or Agnes look out.	true	226.01	232.36	23.847748
3380_6175_000004_000004	She walked very fast, and got home to her cottage very soon after the princess had gone from it.	She walked very fast, and got home to her cottage very soon after the princess had gone from it.	true	233.09	238.84	24.856604
3380_6175_000005_000000	But she did not set Agnes down either in the cottage or in the great hall.	But she did not set Agnes down either in the cottage or in the great hall.	true	240.2	244.54	24.75126
3380_6175_000005_000001	She had other places, none of them alike.	She had other places, none of them alike.	true	245	247.96	25.197947
3380_6175_000005_000002	The place she had chosen for Agnes was a strange one--such a one as is to be found nowhere else in the wide world.	The place she had chosen for Agnes was a strange one-such a one as is to be found nowhere else in the wide world.	true	248.24	255.34	23.233847
3380_6175_000006_000000	It was a great hollow sphere, made of a substance similar to that of the mirror which Rosamond had broken, but differently compounded.	It was a great hollow sphere, made of a substance similar to that of the mirror which Rosamond had broken, but differently compounded.	true	257.3	265.18	22.35608
3380_6175_000006_000001	That substance no one could see by itself.	That substance no one could see by itself.	false	265.97	268.99	26.777609
3380_6175_000006_000002	It had neither door, nor window, nor any opening to break its perfect roundness.	It had neither door, nor window, nor any opening to break its perfect roundness.	true	269.51	275.14	26.438623
3380_6175_000007_000000	The wise woman carried Agnes into a dark room, there undressed her, took from her hand her knitting-needles, and put her, naked as she was born, into the hollow sphere.	The wise woman carried Agnes into a dark room, there undressed her, took from her hand her knitting needles, and put her, naked as she was born, into the hollow sphere.	true	277.13	287.83	23.024817
3380_6175_000008_000000	What sort of a place it was she could not tell.	What sort of a place it was she could not tell.	true	289.73	292.57	20.519367
3380_6175_000008_000001	She could see nothing but a faint cold bluish light all about her.	She could see nothing but a faint cold bluish light all about her.	true	292.79	296.98	25.358934
3380_6175_000008_000002	She could not feel that any thing supported her, and yet she did not sink.	She could not feel that any thing supported her, and yet she did not sink.	true	297.74	302.2	23.997427
3380_6175_000008_000003	She stood for a while, perfectly calm, then sat down.	She stood for a while, perfectly calm, then sat down.	true	302.96	307.09	21.504185
3380_6175_000008_000004	Nothing bad could happen to HER--she was so important!	Nothing bad could happen to HER-she was so important!	false	307.91	311.74	24.492647
3380_6175_000008_000005	And, indeed, it was but this: she had cared only for Somebody, and now she was going to have only Somebody.	And, indeed, it was but this: she had cared only for Somebody, and now she was going to have only Somebody.	true	312.47	321.55	24.490112
3380_6175_000008_000006	Her own choice was going to be carried a good deal farther for her than she would have knowingly carried it for herself.	Her own choice was going to be carried a good deal farther for her than she would have knowingly carried it for herself.	true	322.4	329.17	23.656992
3380_6175_000009_000000	After sitting a while, she wished she had something to do, but nothing came.	After sitting a while, she wished she had something to do, but nothing came.	true	331.19	336.19	23.42814
3380_6175_000009_000001	A little longer, and it grew wearisome.	A little longer, and it grew wearisome.	true	336.65	339.22	20.889921
3380_6175_000009_000002	She would see whether she could not walk out of the strange luminous dusk that surrounded her.	She would see whether she could not walk out of the strange luminous dusk that surrounded her.	true	339.98	344.8	21.956213
3380_6175_000010_000000	Walk she found she could, well enough, but walk out she could not.	Walk she found she could, well enough, but walk out she could not.	true	346.82	351.49	24.769547
3380_6175_000010_000001	On and on she went, keeping as much in a straight line as she might, but after walking until she was thoroughly tired, she found herself no nearer out of her prison than before.	On and on she went, keeping as much in a straight line as she might, but after walking until she was thoroughly tired, she found herself no nearer out of her prison than before.	true	351.86	363.01	24.047277
3380_6175_000010_000002	She had not, indeed, advanced a single step; for, in whatever direction she tried to go, the sphere turned round and round, answering her feet accordingly.	She had not, indeed, advanced a single step; for, in whatever direction she tried to go, the sphere turned round and round, answering her feet accordingly.	true	363.89	375.28	22.66159
3380_6175_000010_000003	Like a squirrel in his cage she but kept placing another spot of the cunningly suspended sphere under her feet, and she would have been still only at its lowest point after walking for ages.	Like a squirrel in his cage she but kept placing another spot of the cunningly suspended sphere under her feet, and she would have been still only at its lowest point after walking for ages.	true	376.67	387.64	25.107534
3380_6175_000011_000000	At length she cried aloud; but there was no answer.	At length she cried aloud; but there was no answer.	true	389.45	393.31	24.671217
3380_6175_000011_000001	It grew dreary and drearier--in her, that is: outside there was no change.	It grew dreary and drearier-in her, that is: outside there was no change.	true	393.8	400.06	21.697329
3380_6175_000011_000002	Nothing was overhead, nothing under foot, nothing on either hand, but the same pale, faint, bluish glimmer.	Nothing was overhead, nothing under foot, nothing on either hand, but the same pale, faint, bluish glimmer.	true	400.76	408.97	23.060812
3380_6175_000011_000003	She wept at last, then grew very angry, and then sullen; but nobody heeded whether she cried or laughed.	She wept at last, then grew very angry, and then sullen; but nobody heeded whether she cried or laughed.	true	409.55	418	21.677473
3380_6175_000011_000004	It was all the same to the cold unmoving twilight that rounded her.	It was all the same to the cold unmoving twilight that rounded her.	true	418.28	422.41	23.658833
3380_6175_000011_000005	On and on went the dreary hours--or did they go at all?--"no change, no pause, no hope;"--on and on till she FELT she was forgotten, and then she grew strangely still and fell asleep.	On and on went the dreary hours-or did they go at all?--"no change, no pause, no hope;"--on and on till she FELT she was forgotten, and then she grew strangely still and fell asleep.	true	423.41	439	21.447172
3380_6175_000012_000000	The moment she was asleep, the wise woman came, lifted her out, and laid her in her bosom; fed her with a wonderful milk, which she received without knowing it; nursed her all the night long, and, just ere she woke, laid her back in the blue sphere again.	The moment she was asleep, the wise woman came, lifted her out, and laid her in her bosom; fed her with a wonderful milk, which she received without knowing it; nursed her all the night long, and, just ere she woke, laid her back in the blue sphere again.	true	440.27	456.58	21.34735
3380_6175_000013_000000	When first she came to herself, she thought the horrors of the preceding day had been all a dream of the night.	When first she came to herself, she thought the horrors of the preceding day had been all a dream of the night.	true	458.27	464.65	21.82702
3380_6175_000013_000001	But they soon asserted themselves as facts, for here they were!--nothing to see but a cold blue light, and nothing to do but see it.	But they soon asserted themselves as facts, for here they were!--nothing to see but a cold blue light, and nothing to do but see it.	true	465.32	474.28	22.739079
3380_6175_000013_000002	Oh, how slowly the hours went by!	Oh, how slowly the hours went by!	true	475.25	477.76	20.127241
3380_6175_000013_000003	She lost all notion of time.	She lost all notion of time.	true	478.22	480.34	21.399927
3380_6175_000013_000004	If she had been told that she had been there twenty years, she would have believed it--or twenty minutes--it would have been all the same: except for weariness, time was for her no more.	If she had been told that she had been there twenty years, she would have believed it-or twenty minutes-it would have been all the same: except for weariness, time was for her no more.	true	480.86	493.15	21.995535
3380_6175_000014_000000	Another night came, and another still, during both of which the wise woman nursed and fed her.	Another night came, and another still, during both of which the wise woman nursed and fed her.	true	494.42	500.83	23.925083
3380_6175_000014_000001	But she knew nothing of that, and the same one dreary day seemed ever brooding over her.	But she knew nothing of that, and the same one dreary day seemed ever brooding over her.	true	501.29	507.07	20.861391
3380_6175_000015_000000	All at once, on the third day, she was aware that a naked child was seated beside her.	All at once, on the third day, she was aware that a naked child was seated beside her.	true	508.31	514.03	22.227123
3380_6175_000015_000001	But there was something about the child that made her shudder.	But there was something about the child that made her shudder.	true	514.76	517.66	22.54303
3380_6175_000015_000002	She never looked at Agnes, but sat with her chin sunk on her chest, and her eyes staring at her own toes.	She never looked at Agnes, but sat with her chin sunk on her chest, and her eyes staring at her own toes.	false	518.27	524.92	22.160526
3380_6175_000015_000003	She was the color of pale earth, with a pinched nose, and a mere slit in her face for a mouth.	She was the color of pale earth, with a pinched nose, and a mere slit in her face for a mouth.	true	525.71	532.62	24.700876
3380_6175_000016_000000	"How ugly she is!" thought Agnes.	"How ugly she is!" thought Agnes.	true	532.62	534.55	20.97876
3380_6175_000016_000001	"What business has she beside me!"	"What business has she beside me!"	true	534.77	536.95	22.52473
3380_6175_000017_000000	But it was so lonely that she would have been glad to play with a serpent, and put out her hand to touch her.	But it was so lonely that she would have been glad to play with a serpent, and put out her hand to touch her.	true	538.49	544.36	20.509811
3380_6175_000017_000001	She touched nothing.	She touched nothing.	true	545.21	546.61	24.049175
3380_6175_000017_000002	The child, also, put out her hand--but in the direction away from Agnes. And that was well, for if she had touched Agnes it would have killed her.	The child, also, put out her hand-but in the direction away from Agnes. And that was well, for if she had touched Agnes it would have killed her.	true	547.34	557.26	20.915588
3380_6175_000017_000003	Then Agnes said, "Who are you?" And the little girl said, "Who are you?"	Then Agnes said, "Who are you?" And the little girl said, "Who are you?"	true	558.26	563.74	21.45436
3380_6175_000017_000004	"I am Agnes," said Agnes; and the little girl said, "I am Agnes." Then Agnes thought she was mocking her, and said, "You are ugly;" and the little girl said, "You are ugly."	"I am Agnes," said Agnes; and the little girl said, "I am Agnes." Then Agnes thought she was mocking her, and said, "You are ugly;" and the little girl said, "You are ugly."	true	564.35	577.39	22.575155
3380_6175_000018_000000	Then Agnes lost her temper, and put out her hands to seize the little girl; but lo! the little girl was gone, and she found herself tugging at her own hair.	Then Agnes lost her temper, and put out her hands to seize the little girl; but lo! the little girl was gone, and she found herself tugging at her own hair.	true	578.45	588.37	22.11148
3380_6175_000018_000001	She let go; and there was the little girl again!	She let go; and there was the little girl again!	false	588.98	592.3	21.218666
3380_6175_000018_000002	Agnes was furious now, and flew at her to bite her.	Agnes was furious now, and flew at her to bite her.	true	592.88	596.71	20.59038
3380_6175_000018_000003	But she found her teeth in her own arm, and the little girl was gone--only to return again; and each time she came back she was tenfold uglier than before.	But she found her teeth in her own arm, and the little girl was gone-only to return again; and each time she came back she was tenfold uglier than before.	true	597.5	608.47	22.772211
3380_6175_000018_000004	And now Agnes hated her with her whole heart.	And now Agnes hated her with her whole heart.	true	609.23	612.13	22.728863
3380_6175_000019_000000	The moment she hated her, it flashed upon her with a sickening disgust that the child was not another, but her Self, her Somebody, and that she was now shut up with her for ever and ever--no more for one moment ever to be alone.	The moment she hated her, it flashed upon her with a sickening disgust that the child was not another, but her Self, her Somebody, and that she was now shut up with her for ever and ever-no more for one moment ever to be alone.	true	614.21	630.49	22.5737
3380_6175_000019_000001	In her agony of despair, sleep descended, and she slept.	In her agony of despair, sleep descended, and she slept.	true	631.25	635.89	21.575928
3380_6175_000020_000000	When she woke, there was the little girl, heedless, ugly, miserable, staring at her own toes.	When she woke, there was the little girl, heedless, ugly, miserable, staring at her own toes.	true	637.79	644.68	24.871687
3380_6175_000020_000001	All at once, the creature began to smile, but with such an odious, self-satisfied expression, that Agnes felt ashamed of seeing her.	All at once, the creature began to smile, but with such an odious, self satisfied expression, that Agnes felt ashamed of seeing her.	true	645.47	654.64	22.109777
3380_6175_000020_000002	Then she began to pat her own cheeks, to stroke her own body, and examine her finger-ends, nodding her head with satisfaction. Agnes felt that there could not be such another hateful, ape-like creature, and at the same time was perfectly aware she was only doing outside of her what she herself had been doing, as long as she could remember, inside of her.	Then she began to pat her own cheeks, to stroke her own body, and examine her finger ends, nodding her head with satisfaction. Agnes felt that there could not be such another hateful, ape like creature, and at the same time was perfectly aware she was only doing outside of her what she herself had been doing, as long as she could remember, inside of her.	false	655.55	679.84	22.573195
3380_6175_000021_000000	She turned sick at herself, and would gladly have been put out of existence, but for three days the odious companionship went on.	She turned sick at herself, and would gladly have been put out of existence, but for three days the odious companionship went on.	true	681.35	689.41	23.067959
3380_6175_000021_000001	By the third day, Agnes was not merely sick but ashamed of the life she had hitherto led, was despicable in her own eyes, and astonished that she had never seen the truth concerning herself before.	By the third day, Agnes was not merely sick but ashamed of the life she had hitherto led, was despicable in her own eyes, and astonished that she had never seen the truth concerning herself before.	true	690.05	702.88	22.66387
3380_6175_000022_000000	The next morning she woke in the arms of the wise woman; the horror had vanished from her sight, and two heavenly eyes were gazing upon her. She wept and clung to her, and the more she clung, the more tenderly did the great strong arms close around her.	The next morning she woke in the arms of the wise woman; the horror had vanished from her sight, and two heavenly eyes were gazing upon her. She wept and clung to her, and the more she clung, the more tenderly did the great strong arms close around her.	true	705.08	721.39	22.648329
3380_6175_000023_000000	When she had lain thus for a while, the wise woman carried her into her cottage, and washed her in the little well; then dressed her in clean garments, and gave her bread and milk.	When she had lain thus for a while, the wise woman carried her into her cottage, and washed her in the little well; then dressed her in clean garments, and gave her bread and milk.	true	723.02	733.15	21.26991
3380_6175_000023_000001	When she had eaten it, she called her to her, and said very solemnly,--	When she had eaten it, she called her to her, and said very solemnly,--	true	733.46	738.04	22.081085
3380_6175_000024_000000	"Agnes, you must not imagine you are cured.	"Agnes, you must not imagine you are cured.	true	738.5	741.94	23.794756
3380_6175_000024_000001	That you are ashamed of yourself now is no sign that the cause for such shame has ceased.	That you are ashamed of yourself now is no sign that the cause for such shame has ceased.	true	742.43	747.7	20
3380_6175_000024_000002	In new circumstances, especially after you have done well for a while, you will be in danger of thinking just as much of yourself as before.	In new circumstances, especially after you have done well for a while, you will be in danger of thinking just as much of yourself as before.	true	748.19	757.39	23.13231
3380_6175_000024_000003	So beware of yourself.	So beware of yourself.	true	757.76	759.43	21.223928
3380_6175_000024_000004	I am going from home, and leave you in charge of the house.	I am going from home, and leave you in charge of the house.	true	759.8	763.18	20.975468
3380_6175_000024_000005	Do just as I tell you till my return."	Do just as I tell you till my return."	false	763.52	768.39	25.084572
3380_6175_000025_000000	She then gave her the same directions she had formerly given Rosamond--with this difference, that she told her to go into the picture-hall when she pleased, showing her the entrance, against which the clock no longer stood--and went away, closing the door behind her.	She then gave her the same directions she had formerly given Rosamond-with this difference, that she told her to go into the picture hall when she pleased, showing her the entrance, against which the clock no longer stood-and went away, closing the door behind her.	false	768.39	791.91	21.82184
