3905_149791_000001_000000	Chapter Ten	Chapter Ten
3905_149791_000034_000000	"Good!" exclaimed the Su-dic, who had armed all his followers and had brought with him two copper vessels, which he carefully set down upon the ground beside him.	"Good!" exclaimed the Su dic, who had armed all his followers and had brought with him two copper vessels, which he carefully set down upon the ground beside him.
3905_149791_000035_000000	"Kill them, then, while we have time, and then we can go home again," advised one of the chief officers.	"Kill them, then, while we have time, and then we can go home again," advised one of the chief officers.
3905_149791_000036_000000	"Not yet," objected the Su-dic.	"Not yet," objected the Su dic.
3905_149791_000037_000000	"Look out!" suddenly exclaimed the officers, pointing into the lake; "something's going to happen."	"Look out!" suddenly exclaimed the officers, pointing into the lake; "something's going to happen."
3905_149791_000038_000000	From the submerged dome a door opened and something black shot swiftly out into the water.	From the submerged dome a door opened and something black shot swiftly out into the water.
3905_149791_000039_000000	"What is that?" Dorothy asked the Lady Aurex.	"What is that?" Dorothy asked the Lady Aurex.
3905_149791_000040_000001	"It is all enclosed, and can move under water.	"It is all enclosed, and can move under water.
3905_149791_000040_000002	Coo-ee-oh has several of these boats which are kept in little rooms in the basement under our village. When the island is submerged, the Queen uses these boats to reach the shore, and I believe she now intends to fight the Flatheads with them."	Coo ee oh has several of these boats which are kept in little rooms in the basement under our village. When the island is submerged, the Queen uses these boats to reach the shore, and I believe she now intends to fight the Flatheads with them."
3905_149791_000041_000000	The Su-dic and his people knew nothing of Coo-ee-oh's submarines, so they watched with surprise as the under-water boat approached them. When it was quite near the shore it rose to the surface and the top parted and fell back, disclosing a boat full of armed Skeezers.	The Su dic and his people knew nothing of Coo ee oh's submarines, so they watched with surprise as the under water boat approached them. When it was quite near the shore it rose to the surface and the top parted and fell back, disclosing a boat full of armed Skeezers.
3905_149791_000042_000000	The boat halted and Coo-ee-oh drew back her arm to throw the silver rope toward the Su-dic, who was now but a few feet from her.	The boat halted and Coo ee oh drew back her arm to throw the silver rope toward the Su dic, who was now but a few feet from her.
