7241_90850_000000_000000	An instant later, a green monkey swung off into the tree-tops.	An instant later, a green monkey swung off into the tree tops.	false	0	3.06	22.974817
7241_90850_000008_000002	Then, before anyone could prevent her, the poor Queen beat open the rotted fastening of an old casement window, sprang upon the ledge, and giving one last look of love and tenderness to her unhappy child, leaped down into the sea surging and pounding over the rocks hundreds of feet below.	Then, before anyone could prevent her, the poor Queen beat open the rotted fastening of an old casement window, sprang upon the ledge, and giving one last look of love and tenderness to her unhappy child, leaped down into the sea surging and pounding over the rocks hundreds of feet below.	true	116.96	135.13	20.08602
7241_90850_000008_000003	She certainly would have been dashed to pieces, had not a good spirit of the ocean taken pity on her, and changed her into a great gray bird.	She certainly would have been dashed to pieces, had not a good spirit of the ocean taken pity on her, and changed her into a great gray bird.	true	135.23	144.4	20
7241_90850_000008_000004	Crying mournfully, the bird circled the old tower thrice, and disappeared over the white-capped waters.	Crying mournfully, the bird circled the old tower thrice, and disappeared over the white capped waters.	true	144.62	152.95	22.109793
7241_90850_000009_000000	In spite of his roughness, however, the jailer was neither a brutal nor a wicked man, and he did not relish the cruel task which the King had given him.	In spite of his roughness, however, the jailer was neither a brutal nor a wicked man, and he did not relish the cruel task which the King had given him.	true	153.41	162.9	18
7241_90850_000009_000001	So, instead of killing the bird-boy, he carried him many leagues back into the dark forest which bordered the sea, and gave him to a family of charcoal-burners.	So, instead of killing the bird boy, he carried him many leagues back into the dark forest which bordered the sea, and gave him to a family of charcoal burners.	true	162.9	173.83	20.403427
7241_90850_000009_000002	With these rough, good people the bird-boy lived till he was five years old.	With these rough, good people the bird boy lived till he was five years old.	true	173.9	178.93	19.486832
7241_90850_000009_000003	And every year, on the boy's birthday, a great gray bird came flying over the forest from the distant ocean, circled thrice the charcoal-burners' hut, and disappeared again, crying mournfully.	And every year, on the boy's birthday, a great gray bird came flying over the forest from the distant ocean, circled thrice the charcoal burners' hut, and disappeared again, crying mournfully.	true	179.06	192.4	21.58265
7241_90850_000010_000000	One midsummer day, with a great deal of merry hallooing and blowing of sweet-voiced horns, the King of the country, accompanied by his young wife, came hunting through the wood.	One midsummer day, with a great deal of merry hallooing and blowing of sweet voiced horns, the King of the country, accompanied by his young wife, came hunting through the wood.	true	192.5	203.595	20.863567
7241_90850_000010_000001	There was a pretty spring near the door of the hut, and the party came to a halt at its edge.	There was a pretty spring near the door of the hut, and the party came to a halt at its edge.	true	203.595	209.19	23.248022
7241_90850_000010_000002	Out ran the winged boy and his two little foster-brothers, to see the wonderful sight.	Out ran the winged boy and his two little foster brothers, to see the wonderful sight.	true	209.19	214.33	19.512268
7241_90850_000010_000003	And a wonderful sight it was, indeed, to see the horses tossing their jeweled bridles, the hooded falcons riding on the saddlebow, clutching the leather with their curving claws, the merry young pages in their dark suits, and all the gay company in rich attire.	And a wonderful sight it was, indeed, to see the horses tossing their jeweled bridles, the hooded falcons riding on the saddlebow, clutching the leather with their curving claws, the merry young pages in their dark suits, and all the gay company in rich attire.	true	214.34	230.565	20
7241_90850_000011_000000	"Why, see," said the young Queen to her husband, "yon little boy hath wings.	"Why, see," said the young Queen to her husband, "yon little boy hath wings.	true	230.565	235.86	16
7241_90850_000011_000001	Really, dear, I must have him for my page.	Really, dear, I must have him for my page.	true	235.86	239.115	21
7241_90850_000011_000002	Would n't it be wonderful to have a winged page?	Would n't it be wonderful to have a winged page?	true	239.115	241.995	17
7241_90850_000011_000003	Besides, he will be a playmate for Rosabella."	Besides, he will be a playmate for Rosabella."	true	241.995	245.31	20.967815
7241_90850_000012_000000	So the King gave the charcoal-burner and his wife fifty pieces of bright gold, which pleased them very much, and the charcoal-burner himself lifted the bird-boy up in his arms, and placed him on the King's saddle. Then the bird-boy waved good-bye to his two little ragged foster-brothers, who were howling as if their hearts would break, and rode away with the King.	So the King gave the charcoal burner and his wife fifty pieces of bright gold, which pleased them very much, and the charcoal burner himself lifted the bird boy up in his arms, and placed him on the King's saddle. Then the bird boy waved good bye to his two little ragged foster brothers, who were howling as if their hearts would break, and rode away with the King.	false	245.31	267.88	20.63959
7241_90850_000012_000001	In a few hours the company came to a splendid castle of shining white stone, standing in beautiful green gardens running down to the sea.	In a few hours the company came to a splendid castle of shining white stone, standing in beautiful green gardens running down to the sea.	true	267.95	277.45	18.186575
7241_90850_000012_000002	Once at home, the Queen commanded that the little winged boy be washed and tidied, and his charcoal-burner's rags replaced with a pretty black velvet suit.	Once at home, the Queen commanded that the little winged boy be washed and tidied, and his charcoal burner's rags replaced with a pretty black velvet suit.	true	277.46	288.16	19.885418
7241_90850_000012_000003	You may be sure that, when the bird-boy was washed and dressed, there was no handsomer, more winning little boy in all the world.	You may be sure that, when the bird boy was washed and dressed, there was no handsomer, more winning little boy in all the world.	true	288.26	295.87	18.513813
7241_90850_000013_000000	So the bird-boy became the best beloved playmate of the Queen's only child, her darling Rosabella.	So the bird boy became the best beloved playmate of the Queen's only child, her darling Rosabella.	true	296.06	302.47	21.126528
7241_90850_000013_000001	Now, if the bird-boy was the prettiest little boy in all the world, Rosabella was the prettiest little girl. Moreover, she had a sweet disposition, which is a gift even more precious than the gift of beauty.	Now, if the bird boy was the prettiest little boy in all the world, Rosabella was the prettiest little girl. Moreover, she had a sweet disposition, which is a gift even more precious than the gift of beauty.	true	302.48	314.05	20.26546
7241_90850_000013_000002	It was a lovely picture to see the children building toy castles on the floor of the nursery in the castle tower, the sun streaming on the black-brown hair and silver white wings of the little boy, and on the golden curls of Rosabella.	It was a lovely picture to see the children building toy castles on the floor of the nursery in the castle tower, the sun streaming on the black brown hair and silver white wings of the little boy, and on the golden curls of Rosabella.	true	314.12	327.64	20
7241_90850_000014_000000	Twelve years passed.	Twelve years passed.	true	327.89	329.89	21.847113
7241_90850_000014_000001	The bird-boy grew into a handsome lad; Rosabella into the loveliest of princesses.	The bird boy grew into a handsome lad; Rosabella into the loveliest of princesses.	true	329.96	335.29	19.756441
7241_90850_000014_000002	Twice had the bird-boy saved Rosabella's life.	Twice had the bird boy saved Rosabella's life.	true	335.42	338.74	19.14601
7241_90850_000014_000003	He had saved her the first time by swooping down and catching her in his wings just as she was about to tread on a wicked yellow viper; he had saved her in the same way when she had fallen over a cliff at the edge of the sea.	He had saved her the first time by swooping down and catching her in his wings just as she was about to tread on a wicked yellow viper; he had saved her in the same way when she had fallen over a cliff at the edge of the sea.	true	338.75	352	18.853302
7241_90850_000015_000000	Every year, on the bird-boy's birthday, a great gray bird would fly in from over the sea, circle the castle thrice, and disappear, crying mournfully.	Every year, on the bird boy's birthday, a great gray bird would fly in from over the sea, circle the castle thrice, and disappear, crying mournfully.	true	352.19	362.38	20.6214
7241_90850_000016_000000	Now when the bird-boy and Rosabella were in their seventeenth year, it came to pass that the King was summoned to war.	Now when the bird boy and Rosabella were in their seventeenth year, it came to pass that the King was summoned to war.	false	362.69	369.315	19
7241_90850_000016_000001	His enemy was no other than the wicked chamberlain Malefico, who had succeeded to the kingdom of the bird-boy's father, when that Prince had died some years before. So the good King, who had been a real father to the bird-boy, put on his shining armor, kissed his dear wife and child good-bye, and rode off to the battlefield.	His enemy was no other than the wicked chamberlain Malefico, who had succeeded to the kingdom of the bird boy's father, when that Prince had died some years before. So the good King, who had been a real father to the bird boy, put on his shining armor, kissed his dear wife and child good bye, and rode off to the battlefield.	true	369.315	390.25	20.31131
7241_90850_000016_000002	The bird-boy begged and pleaded to be taken with him as his squire, but the King would not hear of it, and insisted that he remain in the castle to take care of the Queen and Rosabella.	The bird boy begged and pleaded to be taken with him as his squire, but the King would not hear of it, and insisted that he remain in the castle to take care of the Queen and Rosabella.	false	390.26	400.99	22.346788
7241_90850_000016_000003	There was little cheer in the castle that unhappy evening.	There was little cheer in the castle that unhappy evening.	true	401.09	404.38	19
7241_90850_000016_000004	And all night long, the bird-boy thought he could hear the wings of a great bird beating fiercely against the window-panes.	And all night long, the bird boy thought he could hear the wings of a great bird beating fiercely against the window panes.	true	404.45	411.4	18
7241_90850_000017_000000	A month passed, an unhappy month in which there were no tidings from the King.	A month passed, an unhappy month in which there were no tidings from the King.	true	411.53	416.47	22.852152
7241_90850_000017_000001	Then, one rainy morning, a messenger who had ridden so hard that his poor horse could scarcely stagger, rode to the castle gate bearing very evil news.	Then, one rainy morning, a messenger who had ridden so hard that his poor horse could scarcely stagger, rode to the castle gate bearing very evil news.	true	416.57	426.19	17
7241_90850_000017_000002	A great battle had been fought, the army of Rosabella's father had been completely defeated, and the troops of the wicked Malefico were hurrying toward the castle as fast as they could come.	A great battle had been fought, the army of Rosabella's father had been completely defeated, and the troops of the wicked Malefico were hurrying toward the castle as fast as they could come.	true	426.32	437.41	20.73659
7241_90850_000018_000000	And so it was; for before the Queen had had time to summon the people and gather together a few belongings, the troops of the enemy burst in at the gate, and a dozen fierce soldiers surrounded the Queen, Rosabella, and the bird-boy, and dragged them to Malefico.	And so it was; for before the Queen had had time to summon the people and gather together a few belongings, the troops of the enemy burst in at the gate, and a dozen fierce soldiers surrounded the Queen, Rosabella, and the bird boy, and dragged them to Malefico.	true	437.42	452.445	19.855474
7241_90850_000019_000000	When Malefico saw the bird-boy, a look of surprise appeared on his face, for he had believed that the wonderful child was dead.	When Malefico saw the bird boy, a look of surprise appeared on his face, for he had believed that the wonderful child was dead.	true	452.445	460.15	20
7241_90850_000019_000001	Then he fell to thinking, and as he thought, wicked purposes swept over his cruel face just as the shadows of dark clouds sweep over a gloomy pool.	Then he fell to thinking, and as he thought, wicked purposes swept over his cruel face just as the shadows of dark clouds sweep over a gloomy pool.	true	460.25	471.39	19
7241_90850_000020_000000	"If it were known that the winged child is alive," he thought, "the people would thrust me from my place, and restore him to his father's throne.	"If it were known that the winged child is alive," he thought, "the people would thrust me from my place, and restore him to his father's throne.	true	471.39	481.27	20.042984
7241_90850_000020_000001	Now that the bird-boy is in my hands, I will destroy him, and be sure of my power."	Now that the bird boy is in my hands, I will destroy him, and be sure of my power."	true	481.52	488.32	20.584621
7241_90850_000021_000000	So he smiled, and began to think of some manner in which he could bring the bird-boy to a shameful end.	So he smiled, and began to think of some manner in which he could bring the bird boy to a shameful end.	true	488.78	495.75	18.227612
7241_90850_000021_000001	At last he hit upon a plan.	At last he hit upon a plan.	false	495.75	498.435	19.983778
7241_90850_000021_000002	He would declare that the bird-boy was not a human lad at all, but a witch-child; he would then accuse the good King of having protected a witch-child, and condemn them both to be stoned.	He would declare that the bird boy was not a human lad at all, but a witch child; he would then accuse the good King of having protected a witch child, and condemn them both to be stoned.	false	498.435	511.32	20.10519
7241_90850_000021_000003	So he threw the King and the Queen, Rosabella and the bird-boy, into an old dungeon-tower, and went through the mockery of having a trial.	So he threw the King and the Queen, Rosabella and the bird boy, into an old dungeon tower, and went through the mockery of having a trial.	true	511.32	519.76	17
7241_90850_000021_000004	When it was over, he sent a soldier to tell the King and the bird-boy that they were to be punished the following day.	When it was over, he sent a soldier to tell the King and the bird boy that they were to be punished the following day.	true	520.01	526.69	22.211973
7241_90850_000022_000000	And now dawned the unhappy day.	And now dawned the unhappy day.	true	527.27	529.69	20
7241_90850_000022_000001	The bird-boy took Rosabella's hand in his, and together they went to the barred window of the prison and looked out upon the world.	The bird boy took Rosabella's hand in his, and together they went to the barred window of the prison and looked out upon the world.	false	529.76	538.06	19.058691
7241_90850_000022_000002	The morning was fresh and fair; a pleasant southwest wind was blowing.	The morning was fresh and fair; a pleasant southwest wind was blowing.	true	538.46	543.52	20.934044
7241_90850_000022_000003	The King and the bird-boy were to be led forth at noon.	The King and the bird boy were to be led forth at noon.	true	543.83	547.81	18.763378
7241_90850_000022_000004	The clock marked a quarter to twelve.	The clock marked a quarter to twelve.	true	548.18	551.11	23.631012
7241_90850_000023_000000	"Dear Rosabella," said the bird-boy sadly, "we have forgotten that to-day is the day on which the great gray bird comes from the ocean and circles the castle towers.	"Dear Rosabella," said the bird boy sadly, "we have forgotten that to day is the day on which the great gray bird comes from the ocean and circles the castle towers.	true	551.15	561.19	19.475449
7241_90850_000023_000001	If thou shouldst see the bird when I am gone, greet it in my name, as we did when we were happy children."	If thou shouldst see the bird when I am gone, greet it in my name, as we did when we were happy children."	true	561.77	568.54	18.962336
7241_90850_000024_000000	"The bird may come," said Rosabella amid her sobs.	"The bird may come," said Rosabella amid her sobs.	true	569.96	575.02	18.768476
7241_90850_000025_000000	"No, Rosabella," said the bird-boy, "I shall never see the gray bird again.	"No, Rosabella," said the bird boy, "I shall never see the gray bird again.	true	575.45	580.6	18.643326
7241_90850_000025_000001	And even if it were to come, what could it do to save us from these cruel people?"	And even if it were to come, what could it do to save us from these cruel people?"	true	581.03	586.45	21.904877
7241_90850_000026_000000	When the clock stood at five minutes to twelve, there was a confused noise below, and Malefico and the judges who shared with him the guilt of the unrighteous punishment took their places on a kind of platform which overlooked the place of execution.	When the clock stood at five minutes to twelve, there was a confused noise below, and Malefico and the judges who shared with him the guilt of the unrighteous punishment took their places on a kind of platform which overlooked the place of execution.	true	586.76	601.9	21.968044
7241_90850_000027_000000	"They will soon be coming to get us," said the King to the bird-boy.	"They will soon be coming to get us," said the King to the bird boy.	true	602.18	606.79	20.359486
7241_90850_000028_000000	And sure enough, they heard the jangle of the jailer's keys at the foot of the stair.	And sure enough, they heard the jangle of the jailer's keys at the foot of the stair.	true	606.98	612.43	20.630915
7241_90850_000029_000000	Suddenly the sunlight in the room faded swiftly into a strange gray gloom, and the bird-boy rushed to the window to see if a storm was at hand.	Suddenly the sunlight in the room faded swiftly into a strange gray gloom, and the bird boy rushed to the window to see if a storm was at hand.	true	613.1	623.02	18.954237
7241_90850_000029_000001	A great shadowy cloud, advancing with inconceivable rapidity, already filled half the sky, and as the boy gazed into this cloud, he saw to his astonishment that it was not a cloud at all, but hundreds and hundreds of thousands of great gray birds, flapping their long wings. The shadow of the birds fell over the platform on which the cruel Malefico sat waiting for the King and the bird-boy to be brought forth, and then ceased moving even as a ship that has come into harbor.	A great shadowy cloud, advancing with inconceivable rapidity, already filled half the sky, and as the boy gazed into this cloud, he saw to his astonishment that it was not a cloud at all, but hundreds and hundreds of thousands of great gray birds, flapping their long wings. The shadow of the birds fell over the platform on which the cruel Malefico sat waiting for the King and the bird boy to be brought forth, and then ceased moving even as a ship that has come into harbor.	true	623.51	653.65	20.027855
7241_90850_000030_000000	Far ahead of the vast swarm flew one lonely bird, and suddenly this bird uttered a shrill and piercing cry.	Far ahead of the vast swarm flew one lonely bird, and suddenly this bird uttered a shrill and piercing cry.	true	653.81	661.96	18.500057
7241_90850_000030_000001	Immediately every bird let fall a great beach-stone which he held in his claws, and for a long minute, the sky rained stones, round, polished stones that fell like bolts of thunder.	Immediately every bird let fall a great beach stone which he held in his claws, and for a long minute, the sky rained stones, round, polished stones that fell like bolts of thunder.	false	662.15	674.77	21.784706
7241_90850_000030_000002	When the storm was over, and the cloud had begun to break into rifts and speckles of light and flapping gray wings, the wicked Malefico and his cruel nobles lay buried forever beneath mound upon mound of stones.	When the storm was over, and the cloud had begun to break into rifts and speckles of light and flapping gray wings, the wicked Malefico and his cruel nobles lay buried forever beneath mound upon mound of stones.	true	674.93	688.93	19.169579
7241_90850_000030_000003	The doom which Malefico had intended for another had overtaken him.	The doom which Malefico had intended for another had overtaken him.	true	689.69	694.84	20.262394
7241_90850_000031_000000	The King and the Queen, Rosabella and the bird-boy, rushed down the stairs and out into the sunlight.	The King and the Queen, Rosabella and the bird boy, rushed down the stairs and out into the sunlight.	true	695.54	703.06	23.839989
7241_90850_000031_000001	As they did so, the gray bird who had led the cloud, sank through the air and alighted at their feet.	As they did so, the gray bird who had led the cloud, sank through the air and alighted at their feet.	true	703.25	709.87	19.024418
7241_90850_000031_000002	But scarcely had the bird's claws touched the ground, when there was a flash of flame, and the bird-boy's mother stood before them.	But scarcely had the bird's claws touched the ground, when there was a flash of flame, and the bird boy's mother stood before them.	true	710.6	718.12	18.730894
7241_90850_000031_000003	She took her son in her arms, and told them all his history and her misfortunes, and how she had watched over him year after year and gathered the birds to save him.	She took her son in her arms, and told them all his history and her misfortunes, and how she had watched over him year after year and gathered the birds to save him.	true	718.37	730.81	20.246021
7241_90850_000032_000000	Thus it came to pass that, when the troops of Malefico saw their former Queen and heard her story, they acclaimed the bird-boy as their rightful king, and carried him back in triumph into his own country.	Thus it came to pass that, when the troops of Malefico saw their former Queen and heard her story, they acclaimed the bird boy as their rightful king, and carried him back in triumph into his own country.	true	731.15	743.44	20.891397
7241_90850_000032_000001	So the bird-boy became a king, married Rosabella, and lived happily ever after.	So the bird boy became a king, married Rosabella, and lived happily ever after.	false	743.69	755.76	19.866318
