7297_92812_000000_000000	"Three months on the Island," said the Magistrate in the Police Court the next morning.	"Three months on the Island," said the Magistrate in the Police Court the next morning.	false	0	20.61	22.307398
7297_92812_000004_000000	But the chief thing at Cypher's was Milly.	But the chief thing at Cypher's was Milly.	true	107.63	110.02	23.15076
7297_92812_000004_000001	Milly was a waitress.	Milly was a waitress.	true	110.06	111.55	22.57643
7297_92812_000004_000002	She was a grand example of Kraft's theory of the artistic adjustment of nature.	She was a grand example of Kraft's theory of the artistic adjustment of nature.	false	111.62	115.9	21.797937
7297_92812_000004_000003	She belonged, largely, to waiting, as Minerva did to the art of scrapping, or Venus to the science of serious flirtation.	She belonged, largely, to waiting, as Minerva did to the art of scrapping, or Venus to the science of serious flirtation.	true	115.97	122.8	18
7297_92812_000004_000004	Pedestalled and in bronze she might have stood with the noblest of her heroic sisters as "Liver-and-Bacon Enlivening the World." She belonged to Cypher's.	Pedestalled and in bronze she might have stood with the noblest of her heroic sisters as "Liver and Bacon Enlivening the World." She belonged to Cypher's.	true	123.05	132.4	21.67751
7297_92812_000004_000005	You expected to see her colossal figure loom through that reeking blue cloud of smoke from frying fat just as you expect the Palisades to appear through a drifting Hudson River fog.	You expected to see her colossal figure loom through that reeking blue cloud of smoke from frying fat just as you expect the Palisades to appear through a drifting Hudson River fog.	true	132.41	142.54	22
7297_92812_000004_000006	There amid the steam of vegetables and the vapours of acres of "ham and," the crash of crockery, the clatter of steel, the screaming of "short orders," the cries of the hungering and all the horrid tumult of feeding man, surrounded by swarms of the buzzing winged beasts bequeathed us by Pharaoh, Milly steered her magnificent way like some great liner cleaving among the canoes of howling savages.	There amid the steam of vegetables and the vapours of acres of "ham and," the crash of crockery, the clatter of steel, the screaming of "short orders," the cries of the hungering and all the horrid tumult of feeding man, surrounded by swarms of the buzzing winged beasts bequeathed us by Pharaoh, Milly steered her magnificent way like some great liner cleaving among the canoes of howling savages.	true	142.85	164.29	19
7297_92812_000005_000000	Our Goddess of Grub was built on lines so majestic that they could be followed only with awe.	Our Goddess of Grub was built on lines so majestic that they could be followed only with awe.	true	164.72	169.84	19
7297_92812_000005_000001	Her sleeves were always rolled above her elbows. She could have taken us three musketeers in her two hands and dropped us out of the window.	Her sleeves were always rolled above her elbows. She could have taken us three musketeers in her two hands and dropped us out of the window.	true	169.94	177.13	21
7297_92812_000005_000002	She had seen fewer years than any of us, but she was of such superb Evehood and simplicity that she mothered us from the beginning.	She had seen fewer years than any of us, but she was of such superb Evehood and simplicity that she mothered us from the beginning.	true	177.17	184.33	20.580141
7297_92812_000005_000003	Cypher's store of eatables she poured out upon us with royal indifference to price and quantity, as from a cornucopia that knew no exhaustion.	Cypher's store of eatables she poured out upon us with royal indifference to price and quantity, as from a cornucopia that knew no exhaustion.	true	184.49	192.31	19
7297_92812_000005_000004	Her voice rang like a great silver bell; her smile was many-toothed and frequent; she seemed like a yellow sunrise on mountain tops.	Her voice rang like a great silver bell; her smile was many toothed and frequent; she seemed like a yellow sunrise on mountain tops.	false	192.41	199.99	22.271706
7297_92812_000005_000005	I never saw her but I thought of the Yosemite.	I never saw her but I thought of the Yosemite.	true	200.06	202.45	21.870544
7297_92812_000005_000006	And yet, somehow, I could never think of her as existing outside of Cypher's.	And yet, somehow, I could never think of her as existing outside of Cypher's.	true	202.67	206.89	20
7297_92812_000005_000007	There nature had placed her, and she had taken root and grown mightily.	There nature had placed her, and she had taken root and grown mightily.	true	207.08	210.945	22
7297_92812_000005_000008	She seemed happy, and took her few poor dollars on Saturday nights with the flushed pleasure of a child that receives an unexpected donation.	She seemed happy, and took her few poor dollars on Saturday nights with the flushed pleasure of a child that receives an unexpected donation.	false	210.945	218.44	19
7297_92812_000006_000000	It was Kraft who first voiced the fear that each of us must have held latently.	It was Kraft who first voiced the fear that each of us must have held latently.	true	219.02	223.27	22.788105
7297_92812_000006_000001	It came up apropos, of course, of certain questions of art at which we were hammering.	It came up apropos, of course, of certain questions of art at which we were hammering.	true	223.28	227.745	18
7297_92812_000006_000002	One of us compared the harmony existing between a Haydn symphony and pistache ice cream to the exquisite congruity between Milly and Cypher's.	One of us compared the harmony existing between a Haydn symphony and pistache ice cream to the exquisite congruity between Milly and Cypher's.	false	227.745	235.66	16
7297_92812_000007_000000	"There is a certain fate hanging over Milly," said Kraft, "and if it overtakes her she is lost to Cypher's and to us."	"There is a certain fate hanging over Milly," said Kraft, "and if it overtakes her she is lost to Cypher's and to us."	false	235.85	242.5	22.04123
7297_92812_000008_000000	"She will grow fat?" asked Judkins, fearsomely.	"She will grow fat?" asked Judkins, fearsomely.	false	242.84	245.73	23.993616
7297_92812_000009_000000	"She will go to night school and become refined?" I ventured anxiously.	"She will go to night school and become refined?" I ventured anxiously.	true	245.73	249.39	21.850574
7297_92812_000010_000000	"It is this," said Kraft, punctuating in a puddle of spilled coffee with a stiff forefinger.	"It is this," said Kraft, punctuating in a puddle of spilled coffee with a stiff forefinger.	false	249.39	255.1	22.427326
7297_92812_000010_000001	"Caesar had his Brutus--the cotton has its bollworm, the chorus girl has her Pittsburger, the summer boarder has his poison ivy, the hero has his Carnegie medal, art has its Morgan, the rose has its--"	"Caesar had his Brutus-the cotton has its bollworm, the chorus girl has her Pittsburger, the summer boarder has his poison ivy, the hero has his Carnegie medal, art has its Morgan, the rose has its-"	true	255.41	266.68	22
7297_92812_000011_000000	"Speak," I interrupted, much perturbed.	"Speak," I interrupted, much perturbed.	true	266.75	269.52	24.839006
7297_92812_000011_000001	"You do not think that Milly will begin to lace?"	"You do not think that Milly will begin to lace?"	true	269.52	271.99	22.230467
7297_92812_000012_000000	"One day," concluded Kraft, solemnly, "there will come to Cypher's for a plate of beans a millionaire lumberman from Wisconsin, and he will marry Milly."	"One day," concluded Kraft, solemnly, "there will come to Cypher's for a plate of beans a millionaire lumberman from Wisconsin, and he will marry Milly."	true	272.42	281.47	20.774136
7297_92812_000013_000000	"Never!" exclaimed Judkins and I, in horror.	"Never!" exclaimed Judkins and I, in horror.	true	281.75	284.77	22.340551
7297_92812_000014_000000	"A lumberman," repeated Kraft, hoarsely.	"A lumberman," repeated Kraft, hoarsely.	true	284.87	287.53	22.624239
7297_92812_000015_000000	"And a millionaire lumberman!" I sighed, despairingly.	"And a millionaire lumberman!" I sighed, despairingly.	true	287.93	291.52	20.269146
7297_92812_000016_000000	"From Wisconsin!" groaned Judkins.	"From Wisconsin!" groaned Judkins.	true	291.62	294.76	26.008453
7297_92812_000017_000000	We agreed that the awful fate seemed to menace her.	We agreed that the awful fate seemed to menace her.	true	295.64	298.545	21.974089
7297_92812_000017_000001	Few things were less improbable.	Few things were less improbable.	true	298.545	300.52	22.44717
7297_92812_000017_000002	Milly, like some vast virgin stretch of pine woods, was made to catch the lumberman's eye.	Milly, like some vast virgin stretch of pine woods, was made to catch the lumberman's eye.	true	300.62	305.85	24.154566
7297_92812_000017_000003	And well we knew the habits of the Badgers, once fortune smiled upon them.	And well we knew the habits of the Badgers, once fortune smiled upon them.	true	305.85	309.55	18
7297_92812_000017_000004	Straight to New York they hie, and lay their goods at the feet of the girl who serves them beans in a beanery.	Straight to New York they h i e, and lay their goods at the feet of the girl who serves them beans in a beanery.	false	309.62	314.62	21
7297_92812_000017_000005	Why, the alphabet itself connives.	Why, the alphabet itself connives.	true	314.69	316.635	21.367886
7297_92812_000017_000006	The Sunday newspaper's headliner's work is cut for him.	The Sunday newspaper's headliner's work is cut for him.	true	316.635	319.75	25.304884
7297_92812_000018_000000	"Winsome Waitress Wins Wealthy Wisconsin Woodsman."	"Winsome Waitress Wins Wealthy Wisconsin Woodsman."	true	319.85	323.02	22
7297_92812_000019_000000	For a while we felt that Milly was on the verge of being lost to us.	For a while we felt that Milly was on the verge of being lost to us.	true	323.72	327.13	18.265749
7297_92812_000020_000000	It was our love of the Unerring Artistic Adjustment of Nature that inspired us.	It was our love of the Unerring Artistic Adjustment of Nature that inspired us.	false	327.56	331.72	17
7297_92812_000020_000001	We could not give her over to a lumberman, doubly accursed by wealth and provincialism.	We could not give her over to a lumberman, doubly accursed by wealth and provincialism.	true	331.76	336.22	19.96433
7297_92812_000020_000002	We shuddered to think of Milly, with her voice modulated and her elbows covered, pouring tea in the marble teepee of a tree murderer.	We shuddered to think of Milly, with her voice modulated and her elbows covered, pouring tea in the marble teepee of a tree murderer.	true	336.32	343.24	20
7297_92812_000020_000003	No!	No!	true	343.34	343.995	23.744776
7297_92812_000020_000004	In Cypher's she belonged--in the bacon smoke, the cabbage perfume, the grand, Wagnerian chorus of hurled ironstone china and rattling casters.	In Cypher's she belonged-in the bacon smoke, the cabbage perfume, the grand, Wagnerian chorus of hurled ironstone china and rattling casters.	true	343.995	352.42	20
7297_92812_000021_000000	Our fears must have been prophetic, for on that same evening the wildwood discharged upon us Milly's preordained confiscator--our fee to adjustment and order.	Our fears must have been prophetic, for on that same evening the wildwood discharged upon us Milly's preordained confiscator-our fee to adjustment and order.	false	352.94	362.23	23.728092
7297_92812_000021_000001	But Alaska and not Wisconsin bore the burden of the visitation.	But Alaska and not Wisconsin bore the burden of the visitation.	true	362.45	366.19	22
7297_92812_000022_000000	We were at our supper of beef stew and dried apples when he trotted in as if on the heels of a dog team, and made one of the mess at our table. With the freedom of the camps he assaulted our ears and claimed the fellowship of men lost in the wilds of a hash house.	We were at our supper of beef stew and dried apples when he trotted in as if on the heels of a dog team, and made one of the mess at our table. With the freedom of the camps he assaulted our ears and claimed the fellowship of men lost in the wilds of a hash house.	false	366.83	380.29	19
7297_92812_000022_000001	We embraced him as a specimen, and in three minutes we had all but died for one another as friends.	We embraced him as a specimen, and in three minutes we had all but died for one another as friends.	true	380.36	385.27	22
7297_92812_000023_000000	He was rugged and bearded and wind-dried.	He was rugged and bearded and wind dried.	true	385.55	388.035	19.257376
7297_92812_000023_000001	He had just come off the "trail," he said, at one of the North River ferries.	He had just come off the "trail," he said, at one of the North River ferries.	true	388.035	392.17	23.623278
7297_92812_000023_000002	I fancied I could see the snow dust of Chilcoot yet powdering his shoulders.	I fancied I could see the snow dust of Chilcoot yet powdering his shoulders.	true	392.33	396.28	19
7297_92812_000023_000003	And then he strewed the table with the nuggets, stuffed ptarmigans, bead work and seal pelts of the returned Klondiker, and began to prate to us of his millions.	And then he strewed the table with the nuggets, stuffed ptarmigans, bead work and seal pelts of the returned Klondiker, and began to prate to us of his millions.	false	396.29	404.29	21
7297_92812_000024_000000	"Bank drafts for two millions," was his summing up, "and a thousand a day piling up from my claims.	"Bank drafts for two millions," was his summing up, "and a thousand a day piling up from my claims.	true	404.78	410.71	21.208319
7297_92812_000024_000001	And now I want some beef stew and canned peaches.	And now I want some beef stew and canned peaches.	true	410.72	413.37	23
7297_92812_000024_000002	I never got off the train since I mushed out of Seattle, and I'm hungry.	I never got off the train since I mushed out of Seattle, and I'm hungry.	true	413.37	417.24	18
7297_92812_000024_000003	The stuff the niggers feed you on Pullmans don't count.	The stuff the niggers feed you on Pullmans don't count.	false	417.24	420.54	22.731556
7297_92812_000024_000004	You gentlemen order what you want."	You gentlemen order what you want."	true	420.54	422.47	20.020933
7297_92812_000025_000000	And then Milly loomed up with a thousand dishes on her bare arm--loomed up big and white and pink and awful as Mount Saint Elias--with a smile like day breaking in a gulch.	And then Milly loomed up with a thousand dishes on her bare arm-loomed up big and white and pink and awful as Mount Saint Elias-with a smile like day breaking in a gulch.	false	422.96	432.73	21.61381
7297_92812_000025_000001	And the Klondiker threw down his pelts and nuggets as dross, and let his jaw fall half-way, and stared at her.	And the Klondiker threw down his pelts and nuggets as dross, and let his jaw fall half-way, and stared at her.	true	432.95	438.465	17
7297_92812_000025_000002	You could almost see the diamond tiaras on Milly's brow and the hand-embroidered silk Paris gowns that he meant to buy for her.	You could almost see the diamond tiaras on Milly's brow and the hand embroidered silk Paris gowns that he meant to buy for her.	true	438.465	445.12	18
7297_92812_000026_000000	At last the bollworm had attacked the cotton--the poison ivy was reaching out its tendrils to entwine the summer boarder--the millionaire lumberman, thinly disguised as the Alaskan miner, was about to engulf our Milly and upset Nature's adjustment.	At last the bollworm had attacked the cotton-the poison ivy was reaching out its tendrils to entwine the summer boarder-the millionaire lumberman, thinly disguised as the Alaskan miner, was about to engulf our Milly and upset Nature's adjustment.	true	445.43	458.56	21
7297_92812_000027_000000	Kraft was the first to act.	Kraft was the first to act.	true	458.75	460.42	24.573835
7297_92812_000027_000001	He leaped up and pounded the Klondiker's back.	He leaped up and pounded the Klondiker's back.	true	460.46	462.88	23.891848
7297_92812_000027_000002	"Come out and drink," he shouted.	"Come out and drink," he shouted.	true	462.92	464.76	22.84458
7297_92812_000027_000003	"Drink first and eat afterward." Judkins seized one arm and I the other.	"Drink first and eat afterward." Judkins seized one arm and I the other.	true	464.76	469.455	21.905018
7297_92812_000027_000004	Gaily, roaringly, irresistibly, in jolly-good-fellow style, we dragged him from the restaurant to a cafe, stuffing his pockets with his embalmed birds and indigestible nuggets.	Gaily, roaringly, irresistibly, in jolly good fellow style, we dragged him from the restaurant to a cafe, stuffing his pockets with his embalmed birds and indigestible nuggets.	true	469.455	479.44	18
7297_92812_000028_000000	There he rumbled a roughly good-humoured protest.	There he rumbled a roughly good humoured protest.	true	479.81	482.475	20.395695
7297_92812_000028_000001	"That's the girl for my money," he declared.	"That's the girl for my money," he declared.	true	482.475	485.11	20.39893
7297_92812_000028_000002	"She can eat out of my skillet the rest of her life.	"She can eat out of my skillet the rest of her life.	true	485.18	487.995	20.592438
7297_92812_000028_000003	Why, I never see such a fine girl.	Why, I never see such a fine girl.	true	487.995	490.42	15
7297_92812_000028_000004	I'm going back there and ask her to marry me.	I'm going back there and ask her to marry me.	true	490.49	492.885	20
7297_92812_000028_000005	I guess she won't want to sling hash any more when she sees the pile of dust I've got."	I guess she won't want to sling hash any more when she sees the pile of dust I've got."	false	492.885	497.29	17
7297_92812_000029_000000	"You'll take another whiskey and milk now," Kraft persuaded, with Satan's smile.	"You'll take another whiskey and milk now," Kraft persuaded, with Satan's smile.	true	497.57	501.82	25.237917
7297_92812_000029_000001	"I thought you up-country fellows were better sports."	"I thought you up country fellows were better sports."	true	501.92	505.33	24
7297_92812_000030_000000	Kraft spent his puny store of coin at the bar and then gave Judkins and me such an appealing look that we went down to the last dime we had in toasting our guest.	Kraft spent his puny store of coin at the bar and then gave Judkins and me such an appealing look that we went down to the last dime we had in toasting our guest.	true	506.15	514.87	19
7297_92812_000031_000000	Then, when our ammunition was gone and the Klondiker, still somewhat sober, began to babble again of Milly, Kraft whispered into his ear such a polite, barbed insult relating to people who were miserly with their funds, that the miner crashed down handful after handful of silver and notes, calling for all the fluids in the world to drown the imputation.	Then, when our ammunition was gone and the Klondiker, still somewhat sober, began to babble again of Milly, Kraft whispered into his ear such a polite, barbed insult relating to people who were miserly with their funds, that the miner crashed down handful after handful of silver and notes, calling for all the fluids in the world to drown the imputation.	true	515.18	533.73	16
7297_92812_000032_000000	Thus the work was accomplished.	Thus the work was accomplished.	false	533.73	536.08	23.51715
7297_92812_000032_000001	With his own guns we drove him from the field.	With his own guns we drove him from the field.	true	536.12	538.71	20.441528
7297_92812_000032_000002	And then we had him carted to a distant small hotel and put to bed with his nuggets and baby seal-skins stuffed around him.	And then we had him carted to a distant small hotel and put to bed with his nuggets and baby seal skins stuffed around him.	true	538.71	545.23	19
7297_92812_000033_000000	"He will never find Cypher's again," said Kraft.	"He will never find Cypher's again," said Kraft.	true	545.54	548.59	21.142868
7297_92812_000033_000001	"He will propose to the first white apron he sees in a dairy restaurant to-morrow.	"He will propose to the first white apron he sees in a dairy restaurant to morrow.	true	548.78	552.9	22.523602
7297_92812_000033_000002	And Milly--I mean the Natural Adjustment--is saved!"	And Milly-I mean the Natural Adjustment-is saved!"	true	552.9	556.6	24.131128
7297_92812_000034_000000	And back to Cypher's went we three, and, finding customers scarce, we joined hands and did an Indian dance with Milly in the centre.	And back to Cypher's went we three, and, finding customers scarce, we joined hands and did an Indian dance with Milly in the centre.	true	557.09	564.01	20
7297_92812_000035_000000	This, I say, happened three years ago.	This, I say, happened three years ago.	true	564.29	566.62	21.57492
7297_92812_000035_000001	And about that time a little luck descended upon us three, and we were enabled to buy costlier and less wholesome food than Cypher's.	And about that time a little luck descended upon us three, and we were enabled to buy costlier and less wholesome food than Cypher's.	true	566.69	573.73	21
7297_92812_000035_000002	Our paths separated, and I saw Kraft no more and Judkins seldom.	Our paths separated, and I saw Kraft no more and Judkins seldom.	true	573.98	577.93	23.02077
7297_92812_000036_000000	But, as I said, I saw a painting the other day that was sold for $5,000.	But, as I said, I saw a painting the other day that was sold for five thousand dollars.	true	578.39	582.61	21
7297_92812_000036_000001	The title was "Boadicea," and the figure seemed to fill all out-of-doors.	The title was "Boadicea," and the figure seemed to fill all out of doors.	true	582.62	586.42	23.477736
7297_92812_000036_000002	But of all the picture's admirers who stood before it, I believe I was the only one who longed for Boadicea to stalk from her frame, bringing me corned-beef hash with poached egg.	But of all the picture's admirers who stood before it, I believe I was the only one who longed for Boadicea to stalk from her frame, bringing me corned beef hash with poached egg.	true	586.64	595.39	22
7297_92812_000037_000000	I hurried away to see Kraft.	I hurried away to see Kraft.	true	595.52	597.165	24.645178
7297_92812_000037_000001	His satanic eyes were the same, his hair was worse tangled, but his clothes had been made by a tailor.	His satanic eyes were the same, his hair was worse tangled, but his clothes had been made by a tailor.	true	597.165	602.38	23
7297_92812_000038_000000	"I didn't know," I said to him.	"I didn't know," I said to him.	true	602.69	604.77	24.554169
7297_92812_000039_000000	"We've bought a cottage in the Bronx with the money," said he.	"We've bought a cottage in the Bronx with the money," said he.	false	604.77	608.1	22.808376
7297_92812_000039_000001	"Any evening at 7."	"Any evening at seven."	true	608.1	609.55	20.869986
7297_92812_000040_000000	"Then," said I, "when you led us against the lumberman--the--Klondiker --it wasn't altogether on account of the Unerring Artistic Adjustment of Nature?"	"Then," said I, "when you led us against the lumberman-the-Klondiker --it wasn't altogether on account of the Unerring Artistic Adjustment of Nature?"	true	609.77	618.19	23.19381
7297_92812_000041_000000	"Well, not altogether," said Kraft, with a grin.	"Well, not altogether," said Kraft, with a grin.	false	618.5	630	20.060595
