1259_137770_000000_000000	It is convenient to follow him in the discharge of his duties.	It is convenient to follow him in the discharge of his duties.	false	0	1.59	17.090637
1259_137770_000005_000004	She knew her own heart with a thoroughness that commonplace people believe impossible.	She knew her own heart with a thoroughness that commonplace people believe impossible.	true	149.51	153.94	17.93789
1259_137770_000005_000005	The heart of Mrs. Wilcox was alone hidden, and perhaps it is superstitious to speculate on the feelings of the dead.	The heart of mrs Wilcox was alone hidden, and perhaps it is superstitious to speculate on the feelings of the dead.	true	154.4	161.38	21.572176
1259_137770_000005_000006	They were married quietly--really quietly, for as the day approached she refused to go through another Oniton.	They were married quietly-really quietly, for as the day approached she refused to go through another Oniton.	true	161.9	168.7	22.886683
1259_137770_000005_000007	Her brother gave her away, her aunt, who was out of health, presided over a few colourless refreshments.	Her brother gave her away, her aunt, who was out of health, presided over a few colourless refreshments.	true	168.98	175.27	19.777773
1259_137770_000005_000008	The Wilcoxes were represented by Charles, who witnessed the marriage settlement, and by Mr. Cahill.	The Wilcoxes were represented by Charles, who witnessed the marriage settlement, and by mr Cahill.	false	175.4	181.5	20.766813
1259_137770_000005_000009	Paul did send a cablegram.	Paul did send a cablegram.	true	181.5	183.55	21.100246
1259_137770_000005_000010	In a few minutes, and without the aid of music, the clergyman made them man and wife, and soon the glass shade had fallen that cuts off married couples from the world.	In a few minutes, and without the aid of music, the clergyman made them man and wife, and soon the glass shade had fallen that cuts off married couples from the world.	false	183.98	193.57	20.267899
1259_137770_000005_000011	She, a monogamist, regretted the cessation of some of life's innocent odours; he, whose instincts were polygamous, felt morally braced by the change, and less liable to the temptations that had assailed him in the past.	She, a monogamist, regretted the cessation of some of life's innocent odours; he, whose instincts were polygamous, felt morally braced by the change, and less liable to the temptations that had assailed him in the past.	true	193.79	208.06	19.943604
1259_137770_000006_000000	They spent their honeymoon near Innsbruck.	They spent their honeymoon near Innsbruck.	true	208.67	211.03	18.692884
1259_137770_000006_000001	Henry knew of a reliable hotel there, and Margaret hoped for a meeting with her sister.	Henry knew of a reliable hotel there, and Margaret hoped for a meeting with her sister.	true	211.25	216.1	20.886856
1259_137770_000006_000002	In this she was disappointed.	In this she was disappointed.	true	216.56	218.77	18.873539
1259_137770_000006_000003	As they came south, Helen retreated over the Brenner, and wrote an unsatisfactory postcard from the shores of the Lake of Garda, saying that her plans were uncertain and had better be ignored.	As they came south, Helen retreated over the Brenner, and wrote an unsatisfactory postcard from the shores of the Lake of Garda, saying that her plans were uncertain and had better be ignored.	true	218.96	230.26	19.87345
1259_137770_000006_000004	Evidently she disliked meeting Henry.	Evidently she disliked meeting Henry.	true	230.42	232.84	20.963366
1259_137770_000006_000005	Two months are surely enough to accustom an outsider to a situation which a wife has accepted in two days, and Margaret had again to regret her sister's lack of self-control.	Two months are surely enough to accustom an outsider to a situation which a wife has accepted in two days, and Margaret had again to regret her sister's lack of self control.	true	233.36	243.7	19
1259_137770_000006_000006	In a long letter she pointed out the need of charity in sexual matters: so little is known about them; it is hard enough for those who are personally touched to judge; then how futile must be the verdict of Society.	In a long letter she pointed out the need of charity in sexual matters: so little is known about them; it is hard enough for those who are personally touched to judge; then how futile must be the verdict of Society.	false	244.22	256.51	19.669806
1259_137770_000006_000007	"I don't say there is no standard, for that would destroy morality; only that there can be no standard until our impulses are classified and better understood." Helen thanked her for her kind letter--rather a curious reply.	"I don't say there is no standard, for that would destroy morality; only that there can be no standard until our impulses are classified and better understood." Helen thanked her for her kind letter-rather a curious reply.	false	256.88	271.21	19.141857
1259_137770_000006_000008	She moved south again, and spoke of wintering in Naples.	She moved south again, and spoke of wintering in Naples.	true	271.58	275.17	20.262604
1259_137770_000007_000000	Mr. Wilcox was not sorry that the meeting failed.	mr Wilcox was not sorry that the meeting failed.	true	275.9	278.95	24.515268
1259_137770_000007_000001	Helen left him time to grow skin over his wound.	Helen left him time to grow skin over his wound.	true	279.14	282.13	18.603067
1259_137770_000007_000002	There were still moments when it pained him.	There were still moments when it pained him.	true	282.38	284.71	19.090395
1259_137770_000007_000003	Had he only known that Margaret was awaiting him--Margaret, so lively and intelligent, and yet so submissive--he would have kept himself worthier of her.	Had he only known that Margaret was awaiting him-Margaret, so lively and intelligent, and yet so submissive-he would have kept himself worthier of her.	true	284.96	294.46	19.671125
1259_137770_000007_000004	Incapable of grouping the past, he confused the episode of Jacky with another episode that had taken place in the days of his bachelorhood.	Incapable of grouping the past, he confused the episode of Jacky with another episode that had taken place in the days of his bachelorhood.	true	294.8	302.44	19
1259_137770_000007_000005	The two made one crop of wild oats, for which he was heartily sorry, and he could not see that those oats are of a darker stock which are rooted in another's dishonour.	The two made one crop of wild oats, for which he was heartily sorry, and he could not see that those oats are of a darker stock which are rooted in another's dishonour.	true	302.72	312.91	19.792046
1259_137770_000007_000006	Unchastity and infidelity were as confused to him as to the Middle Ages, his only moral teacher.	Unchastity and infidelity were as confused to him as to the Middle Ages, his only moral teacher.	false	313.49	320.23	17
1259_137770_000007_000007	Ruth (poor old Ruth!) did not enter into his calculations at all, for poor old Ruth had never found him out.	ruth (poor old ruth!) did not enter into his calculations at all, for poor old ruth had never found him out.	true	320.57	328.3	18.012945
1259_137770_000008_000000	His affection for his present wife grew steadily.	His affection for his present wife grew steadily.	true	329.3	332.38	20.940252
1259_137770_000008_000001	Her cleverness gave him no trouble, and, indeed, he liked to see her reading poetry or something about social questions; it distinguished her from the wives of other men.	Her cleverness gave him no trouble, and, indeed, he liked to see her reading poetry or something about social questions; it distinguished her from the wives of other men.	true	332.69	341.98	20
1259_137770_000008_000002	He had only to call, and she clapped the book up and was ready to do what he wished.	He had only to call, and she clapped the book up and was ready to do what he wished.	true	342.29	346.9	21.864056
1259_137770_000008_000003	Then they would argue so jollily, and once or twice she had him in quite a tight corner, but as soon as he grew really serious, she gave in.	Then they would argue so jollily, and once or twice she had him in quite a tight corner, but as soon as he grew really serious, she gave in.	true	347.21	356.08	19.073162
1259_137770_000008_000004	Man is for war, woman for the recreation of the warrior, but he does not dislike it if she makes a show of fight.	Man is for war, woman for the recreation of the warrior, but he does not dislike it if she makes a show of fight.	true	356.45	363.82	19.741558
1259_137770_000008_000005	She cannot win in a real battle, having no muscles, only nerves.	She cannot win in a real battle, having no muscles, only nerves.	true	364.07	368.59	20.760683
1259_137770_000008_000006	Nerves make her jump out of a moving motor-car, or refuse to be married fashionably.	Nerves make her jump out of a moving motor car, or refuse to be married fashionably.	true	368.84	373.87	19.781303
1259_137770_000008_000007	The warrior may well allow her to triumph on such occasions; they move not the imperishable plinth of things that touch his peace.	The warrior may well allow her to triumph on such occasions; they move not the imperishable plinth of things that touch his peace.	false	374.18	381.64	19.116455
1259_137770_000009_000000	Margaret had a bad attack of these nerves during the honeymoon.	Margaret had a bad attack of these nerves during the honeymoon.	true	382.58	385.84	20.157183
1259_137770_000009_000001	He told her--casually, as was his habit--that Oniton Grange was let.	He told her-casually, as was his habit-that Oniton Grange was let.	true	386.03	390.94	19.651703
1259_137770_000009_000002	She showed her annoyance, and asked rather crossly why she had not been consulted.	She showed her annoyance, and asked rather crossly why she had not been consulted.	true	391.34	396.31	20.023775
1259_137770_000010_000000	"I didn't want to bother you," he replied.	"I didn't want to bother you," he replied.	true	397.19	399.79	20.892838
1259_137770_000010_000001	"Besides, I have only heard for certain this morning."	"Besides, I have only heard for certain this morning."	true	399.92	402.7	20.36848
1259_137770_000011_000000	"Where are we to live?" said Margaret, trying to laugh.	"Where are we to live?" said Margaret, trying to laugh.	true	403.04	406.96	22.050406
1259_137770_000011_000001	"I loved the place extraordinarily.	"I loved the place extraordinarily.	true	407.03	409.06	23.616632
1259_137770_000011_000002	Don't you believe in having a permanent home, Henry?"	Don't you believe in having a permanent home, Henry?"	true	409.43	412.09	20.395437
1259_137770_000012_000000	He assured her that she misunderstood him.	He assured her that she misunderstood him.	true	412.91	415.18	18.674303
1259_137770_000012_000001	It is home life that distinguishes us from the foreigner.	It is home life that distinguishes us from the foreigner.	true	415.31	418.21	18.676126
1259_137770_000012_000002	But he did not believe in a damp home.	But he did not believe in a damp home.	true	418.4	420.79	21.163054
1259_137770_000013_000000	"This is news.	"This is news.	true	421.58	422.86	19.416151
1259_137770_000013_000001	I never heard till this minute that Oniton was damp."	I never heard till this minute that Oniton was damp."	true	422.99	425.98	21.579344
1259_137770_000014_000000	"My dear girl!"--he flung out his hand--"have you eyes?	"My dear girl!"--he flung out his hand-"have you eyes?	true	426.53	431.17	20.37853
1259_137770_000014_000001	have you a skin?	have you a skin?	true	431.33	432.64	22.603815
1259_137770_000014_000002	How could it be anything but damp in such a situation?	How could it be anything but damp in such a situation?	true	432.92	436.18	21.498678
1259_137770_000014_000003	In the first place, the Grange is on clay, and built where the castle moat must have been; then there's that destestable little river, steaming all night like a kettle.	In the first place, the Grange is on clay, and built where the castle moat must have been; then there's that destestable little river, steaming all night like a kettle.	true	436.55	446.41	21.065653
1259_137770_000014_000004	Feel the cellar walls; look up under the eaves.	Feel the cellar walls; look up under the eaves.	true	446.54	449.83	20.071453
1259_137770_000014_000005	Ask Sir James or anyone.	Ask Sir james or anyone.	true	449.96	451.96	22.463423
1259_137770_000014_000006	Those Shropshire valleys are notorious.	Those Shropshire valleys are notorious.	false	452.12	454.57	21.230156
1259_137770_000014_000007	The only possible place for a house in Shropshire is on a hill; but, for my part, I think the country is too far from London, and the scenery nothing special.	The only possible place for a house in Shropshire is on a hill; but, for my part, I think the country is too far from London, and the scenery nothing special.	false	454.82	464.16	20.778612
1259_137770_000014_000008	"	quote	false	464.16	465.24	-20
1259_137770_000015_000000	Margaret could not resist saying, "Why did you go there, then?"	Margaret could not resist saying, "Why did you go there, then?"	true	465.24	469.45	22.366978
1259_137770_000016_000000	"I--because--"	"I-because-"	false	470.15	472.59	21.566582
1259_137770_000016_000001	He drew his head back and grew rather angry.	He drew his head back and grew rather angry.	true	472.59	474.85	16.51169
1259_137770_000016_000002	"Why have we come to the Tyrol, if it comes to that?	"Why have we come to the Tyrol, if it comes to that?	true	475.49	478.12	19.666723
1259_137770_000016_000003	One might go on asking such questions indefinitely."	One might go on asking such questions indefinitely."	true	478.22	481.78	21.02998
1259_137770_000017_000000	One might; but he was only gaining time for a plausible answer.	One might; but he was only gaining time for a plausible answer.	true	482.78	486.4	16
1259_137770_000017_000001	Out it came, and he believed it as soon as it was spoken.	Out it came, and he believed it as soon as it was spoken.	false	486.77	489.73	19.929214
1259_137770_000018_000000	"The truth is, I took Oniton on account of Evie.	"The truth is, I took Oniton on account of Evie.	true	490.52	494.08	19.022116
1259_137770_000018_000001	Don't let this go any further."	Don't let this go any further."	true	494.21	496.03	23.422909
1259_137770_000019_000000	"Certainly not."	"Certainly not."	true	496.52	497.74	18.033241
1259_137770_000020_000000	"I shouldn't like her to know that she nearly let me in for a very bad bargain.	"I shouldn't like her to know that she nearly let me in for a very bad bargain.	true	498.38	502.18	19
1259_137770_000020_000001	No sooner did I sign the agreement than she got engaged.	No sooner did I sign the agreement than she got engaged.	true	502.58	505.87	20.66715
1259_137770_000020_000002	Poor little girl!	Poor little girl!	true	505.88	507.01	21.845488
1259_137770_000020_000003	She was so keen on it all, and wouldn't even wait to make proper inquiries about the shooting.	She was so keen on it all, and wouldn't even wait to make proper inquiries about the shooting.	false	507.26	512.56	21.791737
1259_137770_000020_000004	Afraid it would get snapped up--just like all of your sex.	Afraid it would get snapped up-just like all of your sex.	false	512.84	516.4	22.467384
1259_137770_000020_000005	Well, no harm's done.	Well, no harm's done.	true	516.8	518.26	19.60382
1259_137770_000020_000006	She has had her country wedding, and I've got rid of my house to some fellows who are starting a preparatory school."	She has had her country wedding, and I've got rid of my house to some fellows who are starting a preparatory school."	true	518.48	524.11	21.038843
1259_137770_000021_000000	"Where shall we live, then, Henry?	"Where shall we live, then, Henry?	false	525.26	527.2	20.211384
1259_137770_000021_000001	I should enjoy living somewhere."	I should enjoy living somewhere."	true	527.45	529.36	18.527988
1259_137770_000022_000000	"I have not yet decided.	"I have not yet decided.	true	530.21	531.94	19.756813
1259_137770_000022_000001	What about Norfolk?"	What about Norfolk?"	true	531.95	533.26	19.651594
1259_137770_000023_000000	Margaret was silent.	Margaret was silent.	true	534.41	535.81	22.067043
1259_137770_000023_000001	Marriage had not saved her from the sense of flux.	Marriage had not saved her from the sense of flux.	true	536	539.08	22.369404
1259_137770_000023_000002	London was but a foretaste of this nomadic civilization which is altering human nature so profoundly, and throws upon personal relations a stress greater than they have ever borne before.	London was but a foretaste of this nomadic civilization which is altering human nature so profoundly, and throws upon personal relations a stress greater than they have ever borne before.	true	539.33	549.97	16
1259_137770_000023_000003	Under cosmopolitanism, if it comes, we shall receive no help from the earth.	Under cosmopolitanism, if it comes, we shall receive no help from the earth.	true	550.61	556.03	23.01269
1259_137770_000023_000004	Trees and meadows and mountains will only be a spectacle, and the binding force that they once exercised on character must be entrusted to Love alone.	Trees and meadows and mountains will only be a spectacle, and the binding force that they once exercised on character must be entrusted to Love alone.	true	556.07	565.06	17.654749
1259_137770_000023_000005	May Love be equal to the task!	May Love be equal to the task!	true	565.34	567.82	19.062822
1259_137770_000024_000000	"It is now what?" continued Henry.	"It is now what?" continued Henry.	true	568.46	570.82	21.016645
1259_137770_000024_000001	"Nearly October. Let us camp for the winter at Ducie Street, and look out for something in the spring.	"Nearly October. Let us camp for the winter at Ducie Street, and look out for something in the spring.	false	570.98	577.33	22.291042
1259_137770_000025_000000	"If possible, something permanent.	"If possible, something permanent.	true	577.94	580.33	21.15458
1259_137770_000025_000001	I can't be as young as I was, for these alterations don't suit me.	I can't be as young as I was, for these alterations don't suit me.	true	580.43	584.67	19.413149
1259_137770_000025_000002	"	quote	false	584.67	585.33	-20
1259_137770_000026_000000	"But, my dear, which would you rather have--alterations or rheumatism?"	"But, my dear, which would you rather have-alterations or rheumatism?"	false	585.33	589.87	19.597893
1259_137770_000027_000000	"I see your point," said Margaret, getting up.	"I see your point," said Margaret, getting up.	true	590.96	593.95	23.363358
1259_137770_000027_000001	"If Oniton is really damp, it is impossible, and must be inhabited by little boys.	"If Oniton is really damp, it is impossible, and must be inhabited by little boys.	true	594.2	599.62	22.7352
1259_137770_000027_000002	Only, in the spring, let us look before we leap.	Only, in the spring, let us look before we leap.	true	599.87	602.77	20.525684
1259_137770_000027_000003	I will take warning by Evie, and not hurry you.	I will take warning by Evie, and not hurry you.	false	602.84	605.83	20.516176
1259_137770_000027_000004	Remember that you have a free hand this time.	Remember that you have a free hand this time.	true	606.17	608.62	19.953241
1259_137770_000027_000005	These endless moves must be bad for the furniture, and are certainly expensive."	These endless moves must be bad for the furniture, and are certainly expensive."	false	608.84	613.66	20.367765
1259_137770_000028_000000	"What a practical little woman it is!	"What a practical little woman it is!	true	614.27	616.21	17
1259_137770_000028_000001	What's it been reading?	What's it been reading?	true	616.67	617.98	24.872871
1259_137770_000028_000002	Theo--theo--how much?"	Theo-theo-how much?"	true	618.11	620.71	20.50334
1259_137770_000029_000000	"Theosophy."	"Theosophy."	true	621.29	622.45	19.184483
1259_137770_000030_000000	So Ducie Street was her first fate--a pleasant enough fate.	So Ducie Street was her first fate-a pleasant enough fate.	false	622.85	626.88	20.170868
1259_137770_000030_000001	The house, being only a little larger than Wickham Place, trained her for the immense establishment that was promised in the spring.	The house, being only a little larger than Wickham Place, trained her for the immense establishment that was promised in the spring.	true	626.88	633.67	19.626087
1259_137770_000030_000002	They were frequently away, but at home life ran fairly regularly.	They were frequently away, but at home life ran fairly regularly.	true	633.86	638.08	18.25579
1259_137770_000030_000003	In the morning Henry went to the business, and his sandwich--a relic this of some prehistoric craving--was always cut by her own hand.	In the morning Henry went to the business, and his sandwich-a relic this of some prehistoric craving-was always cut by her own hand.	false	638.21	646.51	18.83543
1259_137770_000030_000004	He did not rely upon the sandwich for lunch, but liked to have it by him in case he grew hungry at eleven.	He did not rely upon the sandwich for lunch, but liked to have it by him in case he grew hungry at eleven.	true	646.79	652.6	20.283524
1259_137770_000030_000005	When he had gone, there was the house to look after, and the servants to humanize, and several kettles of Helen's to keep on the boil.	When he had gone, there was the house to look after, and the servants to humanize, and several kettles of Helen's to keep on the boil.	true	653.06	660.31	20.375727
1259_137770_000030_000006	Her conscience pricked her a little about the Basts; she was not sorry to have lost sight of them.	Her conscience pricked her a little about the Basts; she was not sorry to have lost sight of them.	false	660.74	666.01	22.910137
1259_137770_000030_000007	No doubt Leonard was worth helping, but being Henry's wife, she preferred to help someone else.	No doubt Leonard was worth helping, but being Henry's wife, she preferred to help someone else.	true	666.32	671.92	23.121552
1259_137770_000030_000008	As for theatres and discussion societies, they attracted her less and less.	As for theatres and discussion societies, they attracted her less and less.	false	672.23	677.34	18.859594
1259_137770_000030_000009	She began to "miss" new movements, and to spend her spare time re-reading or thinking, rather to the concern of her Chelsea friends.	She began to "miss" new movements, and to spend her spare time re reading or thinking, rather to the concern of her Chelsea friends.	true	677.34	685.065	21.095528
1259_137770_000030_000010	They attributed the change to her marriage, and perhaps some deep instinct did warn her not to travel further from her husband than was inevitable.	They attributed the change to her marriage, and perhaps some deep instinct did warn her not to travel further from her husband than was inevitable.	true	685.065	692.98	18
1259_137770_000030_000011	Yet the main cause lay deeper still; she had outgrown stimulants, and was passing from words to things.	Yet the main cause lay deeper still; she had outgrown stimulants, and was passing from words to things.	true	693.44	700.84	20.02631
1259_137770_000030_000012	It was doubtless a pity not to keep up with Wedekind or John, but some closing of the gates is inevitable after thirty, if the mind itself is to become a creative power.	It was doubtless a pity not to keep up with Wedekind or john, but some closing of the gates is inevitable after thirty, if the mind itself is to become a creative power.	false	701.06	719.97	20.398314
