6567_53342_000000_000000	THE PRIDE OF THE VILLAGE.	THE PRIDE OF THE VILLAGE.	false	29.865	42.07	20.113651
6567_53342_000008_000006	The good man watched over her education with paternal care; it was limited and suitable to the sphere in which she was to move, for he only sought to make her an ornament to her station in life, not to raise her above it. The tenderness and indulgence of her parents and the exemption from all ordinary occupations had fostered a natural grace and delicacy of character that accorded with the fragile loveliness of her form.	The good man watched over her education with paternal care; it was limited and suitable to the sphere in which she was to move, for he only sought to make her an ornament to her station in life, not to raise her above it. The tenderness and indulgence of her parents and the exemption from all ordinary occupations had fostered a natural grace and delicacy of character that accorded with the fragile loveliness of her form.	true	426.29	458.77	22.174084
6567_53342_000008_000007	She appeared like some tender plant of the garden blooming accidentally amid the hardier natives of the fields.	She appeared like some tender plant of the garden blooming accidentally amid the hardier natives of the fields.	true	459.59	467.8	20
6567_53342_000009_000000	The superiority of her charms was felt and acknowledged by her companions, but without envy, for it was surpassed by the unassuming gentleness and winning kindness of her manners.	The superiority of her charms was felt and acknowledged by her companions, but without envy, for it was surpassed by the unassuming gentleness and winning kindness of her manners.	true	469.61	484.45	21.503601
6567_53342_000009_000001	It might be truly said of her:	It might be truly said of her:	true	484.97	487.39	24.120031
6567_53342_000010_000000	"This is the prettiest low-born lass, that ever Ran on the green-sward: nothing she does or seems But smacks of something greater than herself; Too noble for this place."	"This is the prettiest low born lass, that ever Ran on the green sward: nothing she does or seems But smacks of something greater than herself; Too noble for this place."	true	487.73	501.34	20.36932
6567_53342_000011_000000	The village was one of those sequestered spots which still retain some vestiges of old English customs.	The village was one of those sequestered spots which still retain some vestiges of old English customs.	true	502.49	510.37	21.959452
6567_53342_000011_000001	It had its rural festivals and holiday pastimes, and still kept up some faint observance of the once popular rites of May.	It had its rural festivals and holiday pastimes, and still kept up some faint observance of the once popular rites of May.	true	510.68	521.11	21
6567_53342_000011_000002	These, indeed, had been promoted by its present pastor, who was a lover of old customs and one of those simple Christians that think their mission fulfilled by promoting joy on earth and good-will among mankind.	These, indeed, had been promoted by its present pastor, who was a lover of old customs and one of those simple Christians that think their mission fulfilled by promoting joy on earth and good will among mankind.	true	521.69	539.38	20.847652
6567_53342_000011_000003	Under his auspices the May-pole stood from year to year in the centre of the village green; on Mayday it was decorated with garlands and streamers, and a queen or lady of the May was appointed, as in former times, to preside at the sports and distribute the prizes and rewards.	Under his auspices the May pole stood from year to year in the centre of the village green; on Mayday it was decorated with garlands and streamers, and a queen or lady of the May was appointed, as in former times, to preside at the sports and distribute the prizes and rewards.	true	539.96	561.28	20
6567_53342_000011_000004	The picturesque situation of the village and the fancifulness of its rustic fetes would often attract the notice of casual visitors. Among these, on one May-day, was a young officer whose regiment had been recently quartered in the neighborhood.	The picturesque situation of the village and the fancifulness of its rustic fetes would often attract the notice of casual visitors. Among these, on one May day, was a young officer whose regiment had been recently quartered in the neighborhood.	false	562.22	581.5	21.102154
6567_53342_000011_000005	He was charmed with the native taste that pervaded this village pageant, but, above all, with the dawning loveliness of the queen of May.	He was charmed with the native taste that pervaded this village pageant, but, above all, with the dawning loveliness of the queen of May.	true	582.11	593.92	20.618198
6567_53342_000011_000006	It was the village favorite who was crowned with flowers, and blushing and smiling in all the beautiful confusion of girlish diffidence and delight.	It was the village favorite who was crowned with flowers, and blushing and smiling in all the beautiful confusion of girlish diffidence and delight.	true	594.62	604.84	16
6567_53342_000011_000007	The artlessness of rural habits enabled him readily to make her acquaintance; he gradually won his way into her intimacy, and paid his court to her in that unthinking way in which young officers are too apt to trifle with rustic simplicity.	The artlessness of rural habits enabled him readily to make her acquaintance; he gradually won his way into her intimacy, and paid his court to her in that unthinking way in which young officers are too apt to trifle with rustic simplicity.	true	605.36	623.02	21.03536
6567_53342_000012_000000	There was nothing in his advances to startle or alarm.	There was nothing in his advances to startle or alarm.	true	624.35	629.02	21
6567_53342_000012_000001	He never even talked of love, but there are modes of making it more eloquent than language, and which convey it subtilely and irresistibly to the heart. The beam of the eye, the tone of voice, the thousand tendernesses which emanate from every word and look and action,--these form the true eloquence of love, and can always be felt and understood, but never described.	He never even talked of love, but there are modes of making it more eloquent than language, and which convey it subtilely and irresistibly to the heart. The beam of the eye, the tone of voice, the thousand tendernesses which emanate from every word and look and action,--these form the true eloquence of love, and can always be felt and understood, but never described.	true	629.63	665.47	22.046583
6567_53342_000012_000002	Can we wonder that they should readily win a heart young, guileless, and susceptible?	Can we wonder that they should readily win a heart young, guileless, and susceptible?	true	666.5	673.6	20.82302
6567_53342_000012_000003	As to her, she loved almost unconsciously; she scarcely inquired what was the growing passion that was absorbing every thought and feeling, or what were to be its consequences.	As to her, she loved almost unconsciously; she scarcely inquired what was the growing passion that was absorbing every thought and feeling, or what were to be its consequences.	true	674.57	690.67	21.196133
6567_53342_000012_000004	She, indeed, looked not to the future.	She, indeed, looked not to the future.	true	691.85	695.74	24.049719
6567_53342_000012_000005	When present, his looks and words occupied her whole attention; when absent, she thought but of what had passed at their recent interview.	When present, his looks and words occupied her whole attention; when absent, she thought but of what had passed at their recent interview.	true	696.62	709	22.608223
6567_53342_000012_000006	She would wander with him through the green lanes and rural scenes of the vicinity.	She would wander with him through the green lanes and rural scenes of the vicinity.	true	709.97	715.84	14
6567_53342_000012_000007	He taught her to see new beauties in Nature; he talked in the language of polite and cultivated life, and breathed into her ear the witcheries of romance and poetry.	He taught her to see new beauties in Nature; he talked in the language of polite and cultivated life, and breathed into her ear the witcheries of romance and poetry.	true	716.33	732.79	20.517643
6567_53342_000013_000000	Perhaps there could not have been a passion between the sexes more pure than this innocent girl's.	Perhaps there could not have been a passion between the sexes more pure than this innocent girl's.	true	733.76	741.16	18
6567_53342_000013_000001	The gallant figure of her youthful admirer and the splendor of his military attire might at first have charmed her eye, but it was not these that had captivated her heart.	The gallant figure of her youthful admirer and the splendor of his military attire might at first have charmed her eye, but it was not these that had captivated her heart.	true	741.89	756.34	22.218655
6567_53342_000013_000002	Her attachment had something in it of idolatry.	Her attachment had something in it of idolatry.	true	757.1	760.84	23.83219
6567_53342_000013_000003	She looked up to him as to a being of a superior order.	She looked up to him as to a being of a superior order.	true	761.75	766.96	20
6567_53342_000013_000004	She felt in his society the enthusiasm of a mind naturally delicate and poetical, and now first awakened to a keen perception of the beautiful and grand.	She felt in his society the enthusiasm of a mind naturally delicate and poetical, and now first awakened to a keen perception of the beautiful and grand.	true	767.99	780.88	21
6567_53342_000013_000005	Of the sordid distinctions of rank and fortune she thought nothing; it was the difference of intellect, of demeanor, of manners, from those of the rustic society to which she had been accustomed, that elevated him in her opinion.	Of the sordid distinctions of rank and fortune she thought nothing; it was the difference of intellect, of demeanor, of manners, from those of the rustic society to which she had been accustomed, that elevated him in her opinion.	true	781.76	800.23	20.705566
6567_53342_000013_000006	She would listen to him with charmed ear and downcast look of mute delight, and her cheek would mantle with enthusiasm; or if ever she ventured a shy glance of timid admiration, it was as quickly withdrawn, and she would sigh and blush at the idea of her comparative unworthiness.	She would listen to him with charmed ear and downcast look of mute delight, and her cheek would mantle with enthusiasm; or if ever she ventured a shy glance of timid admiration, it was as quickly withdrawn, and she would sigh and blush at the idea of her comparative unworthiness.	true	801.47	825.46	21.893646
6567_53342_000014_000000	Her lover was equally impassioned, but his passion was mingled with feelings of a coarser nature.	Her lover was equally impassioned, but his passion was mingled with feelings of a coarser nature.	true	826.7	835.24	21.120104
6567_53342_000014_000001	He had begun the connection in levity, for he had often heard his brother-officers boast of their village conquests, and thought some triumph of the kind necessary to his reputation as a man of spirit.	He had begun the connection in levity, for he had often heard his brother officers boast of their village conquests, and thought some triumph of the kind necessary to his reputation as a man of spirit.	true	836.18	851.98	21.451365
6567_53342_000014_000002	But he was too full of youthful fervor. His heart had not yet been rendered sufficiently cold and selfish by a wandering and a dissipated life: it caught fire from the very flame it sought to kindle, and before he was aware of the nature of his situation he became really in love.	But he was too full of youthful fervor. His heart had not yet been rendered sufficiently cold and selfish by a wandering and a dissipated life: it caught fire from the very flame it sought to kindle, and before he was aware of the nature of his situation he became really in love.	false	852.86	876.85	21.472828
6567_53342_000015_000000	What was he to do?	What was he to do?	true	878.21	879.85	21.549356
6567_53342_000015_000001	There were the old obstacles which so incessantly occur in these heedless attachments.	There were the old obstacles which so incessantly occur in these heedless attachments.	true	880.46	886.54	19
6567_53342_000015_000002	His rank in life, the prejudices of titled connections, his dependence upon a proud and unyielding father, all forbade him to think of matrimony; but when he looked down upon this innocent being, so tender and confiding, there was a purity in her manners, a blamelessness in her life, and a beseeching modesty in her looks that awed down every licentious feeling.	His rank in life, the prejudices of titled connections, his dependence upon a proud and unyielding father, all forbade him to think of matrimony; but when he looked down upon this innocent being, so tender and confiding, there was a purity in her manners, a blamelessness in her life, and a beseeching modesty in her looks that awed down every licentious feeling.	false	887.42	921.67	20.837648
6567_53342_000015_000003	In vain did he try to fortify himself by a thousand heartless examples of men of fashion, and to chill the glow of generous sentiment with that cold derisive levity with which he had heard them talk of female virtue: whenever he came into her presence she was still surrounded by that mysterious but impassive charm of virgin purity in whose hallowed sphere no guilty thought can live.	In vain did he try to fortify himself by a thousand heartless examples of men of fashion, and to chill the glow of generous sentiment with that cold derisive levity with which he had heard them talk of female virtue: whenever he came into her presence she was still surrounded by that mysterious but impassive charm of virgin purity in whose hallowed sphere no guilty thought can live.	true	922.43	954.16	21.12983
6567_53342_000016_000000	The sudden arrival of orders for the regiment to repair to the Continent completed the confusion of his mind.	The sudden arrival of orders for the regiment to repair to the Continent completed the confusion of his mind.	false	955.22	962.23	16
6567_53342_000016_000001	He remained for a short time in a state of the most painful irresolution; he hesitated to communicate the tidings until the day for marching was at hand, when he gave her the intelligence in the course of an evening ramble.	He remained for a short time in a state of the most painful irresolution; he hesitated to communicate the tidings until the day for marching was at hand, when he gave her the intelligence in the course of an evening ramble.	true	962.84	979.96	21.838415
6567_53342_000017_000000	The idea of parting had never before occurred to her.	The idea of parting had never before occurred to her.	true	980.78	985.06	19
6567_53342_000017_000001	It broke in at once upon her dream of felicity; she looked upon it as a sudden and insurmountable evil, and wept with the guileless simplicity of a child. He drew her to his bosom and kissed the tears from her soft cheek; nor did he meet with a repulse, for there are moments of mingled sorrow and tenderness which hallow the caresses of affection.	It broke in at once upon her dream of felicity; she looked upon it as a sudden and insurmountable evil, and wept with the guileless simplicity of a child. He drew her to his bosom and kissed the tears from her soft cheek; nor did he meet with a repulse, for there are moments of mingled sorrow and tenderness which hallow the caresses of affection.	true	985.43	1013.23	22.313478
6567_53342_000017_000002	He was naturally impetuous, and the sight of beauty apparently yielding in his arms, the confidence of his power over her, and the dread of losing her forever all conspired to overwhelm his better feelings: he ventured to propose that she should leave her home and be the companion of his fortunes.	He was naturally impetuous, and the sight of beauty apparently yielding in his arms, the confidence of his power over her, and the dread of losing her forever all conspired to overwhelm his better feelings: he ventured to propose that she should leave her home and be the companion of his fortunes.	true	1014.29	1039.06	20.767105
6567_53342_000018_000000	He was quite a novice in seduction, and blushed and faltered at his own baseness; but so innocent of mind was his intended victim that she was at first at a loss to comprehend his meaning, and why she should leave her native village and the humble roof of her parents.	He was quite a novice in seduction, and blushed and faltered at his own baseness; but so innocent of mind was his intended victim that she was at first at a loss to comprehend his meaning, and why she should leave her native village and the humble roof of her parents.	true	1040.27	1063.96	20.706978
6567_53342_000018_000001	When at last the nature of his proposal flashed upon her pure mind, the effect was withering.	When at last the nature of his proposal flashed upon her pure mind, the effect was withering.	true	1064.99	1072.66	20
6567_53342_000018_000002	She did not weep; she did not break forth into reproach; she said not a word, but she shrunk back aghast as from a viper, gave him a look of anguish that pierced to his very soul, and, clasping her hands in agony, fled, as if for refuge, to her father's cottage.	She did not weep; she did not break forth into reproach; she said not a word, but she shrunk back aghast as from a viper, gave him a look of anguish that pierced to his very soul, and, clasping her hands in agony, fled, as if for refuge, to her father's cottage.	true	1073.33	1097.89	21.981451
6567_53342_000019_000000	The officer retired confounded, humiliated, and repentant.	The officer retired confounded, humiliated, and repentant.	true	1098.65	1103.92	23
6567_53342_000019_000001	It is uncertain what might have been the result of the conflict of his feelings, had not his thoughts been diverted by the bustle of departure. New scenes, new pleasures, and new companions soon dissipated his self-reproach and stifled his tenderness; yet, amidst the stir of camps, the revelries of garrisons, the array of armies, and even the din of battles, his thoughts would sometimes steal back to the scenes of rural quiet and village simplicity--the white cottage, the footpath along the silver brook and up the hawthorn hedge, and the little village maid loitering along it, leaning on his arm and listening to him with eyes beaming with unconscious affection.	It is uncertain what might have been the result of the conflict of his feelings, had not his thoughts been diverted by the bustle of departure. New scenes, new pleasures, and new companions soon dissipated his self reproach and stifled his tenderness; yet, amidst the stir of camps, the revelries of garrisons, the array of armies, and even the din of battles, his thoughts would sometimes steal back to the scenes of rural quiet and village simplicity-the white cottage, the footpath along the silver brook and up the hawthorn hedge, and the little village maid loitering along it, leaning on his arm and listening to him with eyes beaming with unconscious affection.	false	1104.68	1163.2	21.035929
6567_53342_000020_000000	The shock which the poor girl had received in the destruction of all her ideal world had indeed been cruel.	The shock which the poor girl had received in the destruction of all her ideal world had indeed been cruel.	true	1164.62	1173.13	19
6567_53342_000020_000001	Faintings and hysterics had at first shaken her tender frame, and were succeeded by a settled and pining melancholy.	Faintings and hysterics had at first shaken her tender frame, and were succeeded by a settled and pining melancholy.	true	1173.65	1183.39	22.547377
6567_53342_000020_000002	She had beheld from her window the march of the departing troops.	She had beheld from her window the march of the departing troops.	true	1184.54	1189.78	22.34253
6567_53342_000020_000003	She had seen her faithless lover borne off, as if in triumph, amidst the sound of drum and trumpet and the pomp of arms.	She had seen her faithless lover borne off, as if in triumph, amidst the sound of drum and trumpet and the pomp of arms.	true	1190.36	1199.38	18
6567_53342_000020_000004	She strained a last aching gaze after him as the morning sun glittered about his figure and his plume waved in the breeze; he passed away like a bright vision from her sight, and left her all in darkness.	She strained a last aching gaze after him as the morning sun glittered about his figure and his plume waved in the breeze; he passed away like a bright vision from her sight, and left her all in darkness.	true	1200.2	1220.32	21.862865
6567_53342_000021_000000	It would be trite to dwell on the particulars of her after story.	It would be trite to dwell on the particulars of her after story.	true	1222.25	1227.37	20
6567_53342_000021_000001	It was, like other tales of love, melancholy.	It was, like other tales of love, melancholy.	true	1227.77	1233.16	22.896578
6567_53342_000021_000002	She avoided society and wandered out alone in the walks she had most frequented with her lover. She sought, like the stricken deer, to weep in silence and loneliness and brood over the barbed sorrow that rankled in her soul.	She avoided society and wandered out alone in the walks she had most frequented with her lover. She sought, like the stricken deer, to weep in silence and loneliness and brood over the barbed sorrow that rankled in her soul.	true	1234.19	1253.47	21.245255
6567_53342_000021_000003	Sometimes she would be seen late of an evening sitting in the porch of the village church, and the milk-maids, returning from the fields, would now and then overhear her singing some plaintive ditty in the hawthorn walk.	Sometimes she would be seen late of an evening sitting in the porch of the village church, and the milk maids, returning from the fields, would now and then overhear her singing some plaintive ditty in the hawthorn walk.	true	1254.08	1269.64	21
6567_53342_000021_000004	She became fervent in her devotions at church, and as the old people saw her approach, so wasted away, yet with a hectic gloom and that hallowed air which melancholy diffuses round the form, they would make way for her as for something spiritual, and looking after her, would shake their heads in gloomy foreboding.	She became fervent in her devotions at church, and as the old people saw her approach, so wasted away, yet with a hectic gloom and that hallowed air which melancholy diffuses round the form, they would make way for her as for something spiritual, and looking after her, would shake their heads in gloomy foreboding.	true	1269.92	1295.14	22.710405
6567_53342_000022_000000	She felt a conviction that she was hastening to the tomb, but looked forward to it as a place of rest.	She felt a conviction that she was hastening to the tomb, but looked forward to it as a place of rest.	true	1295.93	1304.95	23.08347
6567_53342_000022_000001	The silver cord that had bound her to existence was loosed, and there seemed to be no more pleasure under the sun.	The silver cord that had bound her to existence was loosed, and there seemed to be no more pleasure under the sun	true	1305.59	1313.83	20.570751
6567_53342_000022_000002	If ever her gentle bosom had entertained resentment against her lover, it was extinguished.	If ever her gentle bosom had entertained resentment against her lover, it was extinguished.	true	1314.41	1321.99	21.529242
6567_53342_000022_000003	She was incapable of angry passions, and in a moment of saddened tenderness she penned him a farewell letter.	She was incapable of angry passions, and in a moment of saddened tenderness she penned him a farewell letter.	true	1322.33	1332.37	21.564156
6567_53342_000022_000004	It was couched in the simplest language, but touching from its very simplicity. She told him that she was dying, and did not conceal from him that his conduct was the cause.	It was couched in the simplest language, but touching from its very simplicity. She told him that she was dying, and did not conceal from him that his conduct was the cause.	false	1333.43	1349.8	22.299784
6567_53342_000022_000005	She even depicted the sufferings which she had experienced, but concluded with saying that she could not die in peace until she had sent him her forgiveness and her blessing.	She even depicted the sufferings which she had experienced, but concluded with saying that she could not die in peace until she had sent him her forgiveness and her blessing.	true	1350.38	1366.48	21.429764
6567_53342_000023_000000	By degrees her strength declined that she could no longer leave the cottage.	By degrees her strength declined that she could no longer leave the cottage.	true	1367.69	1373.86	16
6567_53342_000023_000001	She could only totter to the window, where, propped up in her chair, it was her enjoyment to sit all day and look out upon the landscape.	She could only totter to the window, where, propped up in her chair, it was her enjoyment to sit all day and look out upon the landscape.	true	1374.44	1384.9	23.636997
6567_53342_000023_000002	Still she uttered no complaint nor imparted to any one the malady that was preying on her heart.	Still she uttered no complaint nor imparted to any one the malady that was preying on her heart.	true	1386.05	1394.89	22.52341
6567_53342_000023_000003	She never even mentioned her lover's name, but would lay her head on her mother's bosom and weep in silence.	She never even mentioned her lover's name, but would lay her head on her mother's bosom and weep in silence.	true	1395.65	1405.48	20.683023
6567_53342_000023_000004	Her poor parents hung in mute anxiety over this fading blossom of their hopes, still flattering themselves that it might again revive to freshness and that the bright unearthly bloom which sometimes flushed her cheek might be the promise of returning health.	Her poor parents hung in mute anxiety over this fading blossom of their hopes, still flattering themselves that it might again revive to freshness and that the bright unearthly bloom which sometimes flushed her cheek might be the promise of returning health.	true	1406.57	1425.4	22.75805
6567_53342_000024_000000	In this way she was seated between them one Sunday afternoon; her hands were clasped in theirs, the lattice was thrown open, and the soft air that stole in brought with it the fragrance of the clustering honeysuckle which her own hands had trained round the window.	In this way she was seated between them one Sunday afternoon; her hands were clasped in theirs, the lattice was thrown open, and the soft air that stole in brought with it the fragrance of the clustering honeysuckle which her own hands had trained round the window.	true	1426.25	1447.63	21.610699
6567_53342_000025_000000	Her father had just been reading a chapter in the Bible: it spoke of the vanity of worldly things and of the joys of heaven: it seemed to have diffused comfort and serenity through her bosom.	Her father had just been reading a chapter in the Bible: it spoke of the vanity of worldly things and of the joys of heaven: it seemed to have diffused comfort and serenity through her bosom.	true	1448.48	1465.12	20.277143
6567_53342_000025_000001	Her eye was fixed on the distant village church: the bell had tolled for the evening service; the last villager was lagging into the porch, and everything had sunk into that hallowed stillness peculiar to the day of rest.	Her eye was fixed on the distant village church: the bell had tolled for the evening service; the last villager was lagging into the porch, and everything had sunk into that hallowed stillness peculiar to the day of rest.	true	1466.27	1485.16	20.866617
6567_53342_000025_000002	Her parents were gazing on her with yearning hearts.	Her parents were gazing on her with yearning hearts.	true	1486.73	1490.62	20
6567_53342_000025_000003	Sickness and sorrow, which pass so roughly over some faces, had given to hers the expression of a seraph's.	Sickness and sorrow, which pass so roughly over some faces, had given to hers the expression of a seraph's.	true	1491.14	1500.37	20.253195
6567_53342_000025_000004	A tear trembled in her soft blue eye.	A tear trembled in her soft blue eye.	true	1501.43	1504.84	23
6567_53342_000025_000005	Was she thinking of her faithless lover? or were her thoughts wandering to that distant churchyard, into whose bosom she might soon be gathered?	Was she thinking of her faithless lover? or were her thoughts wandering to that distant churchyard, into whose bosom she might soon be gathered?	true	1505.84	1518.55	20.960413
6567_53342_000026_000000	Suddenly the clang of hoofs was heard: a horseman galloped to the cottage; he dismounted before the window; the poor girl gave a faint exclamation and sunk back in her chair: it was her repentant lover.	Suddenly the clang of hoofs was heard: a horseman galloped to the cottage; he dismounted before the window; the poor girl gave a faint exclamation and sunk back in her chair: it was her repentant lover.	false	1519.61	1538.05	21.098722
6567_53342_000026_000001	He rushed into the house and flew to clasp her to his bosom; but her wasted form, her deathlike countenance--so wan, yet so lovely in its desolation--smote him to the soul, and he threw himself in agony at her feet.	He rushed into the house and flew to clasp her to his bosom; but her wasted form, her deathlike countenance-so wan, yet so lovely in its desolation-smote him to the soul, and he threw himself in agony at her feet.	false	1538.72	1558.75	20.964588
