1748_1562_000000_000000	CHAPTER III	CHAPTER three	true	20.13	21.07	22.522758
1748_1562_000003_000018	I had eaten nothing that day, and for an hour past had been feeling the want of food.	I had eaten nothing that day, and for an hour past had been feeling the want of food.	true	251.99	256.96	21
1748_1562_000003_000019	So I grew afraid lest I should find nothing to meet my human necessities in this strange place; but once more I comforted myself with hope and went on.	So I grew afraid lest I should find nothing to meet my human necessities in this strange place; but once more I comforted myself with hope and went on.	false	257.21	265.9	19.362259
1748_1562_000004_000000	Before noon, I fancied I saw a thin blue smoke rising amongst the stems of larger trees in front of me; and soon I came to an open spot of ground in which stood a little cottage, so built that the stems of four great trees formed its corners, while their branches met and intertwined over its roof, heaping a great cloud of leaves over it, up towards the heavens.	Before noon, I fancied I saw a thin blue smoke rising amongst the stems of larger trees in front of me; and soon I came to an open spot of ground in which stood a little cottage, so built that the stems of four great trees formed its corners, while their branches met and intertwined over its roof, heaping a great cloud of leaves over it, up towards the heavens.	false	267.41	288.58	21.022463
1748_1562_000004_000001	I wondered at finding a human dwelling in this neighbourhood; and yet it did not look altogether human, though sufficiently so to encourage me to expect to find some sort of food.	I wondered at finding a human dwelling in this neighbourhood; and yet it did not look altogether human, though sufficiently so to encourage me to expect to find some sort of food.	true	289.13	298.78	22.044853
1748_1562_000004_000002	Seeing no door, I went round to the other side, and there I found one, wide open.	Seeing no door, I went round to the other side, and there I found one, wide open.	true	299.57	304.36	19.904722
1748_1562_000004_000003	A woman sat beside it, preparing some vegetables for dinner.	A woman sat beside it, preparing some vegetables for dinner.	true	304.79	308.17	21.704996
1748_1562_000004_000004	This was homely and comforting.	This was homely and comforting.	true	308.78	310.45	23.427485
1748_1562_000004_000005	As I came near, she looked up, and seeing me, showed no surprise, but bent her head again over her work, and said in a low tone:	As I came near, she looked up, and seeing me, showed no surprise, but bent her head again over her work, and said in a low tone:	true	310.94	318.28	21.804638
1748_1562_000005_000000	"Did you see my daughter?"	"Did you see my daughter?"	true	318.92	320.17	21.933939
1748_1562_000006_000000	"I believe I did," said I. "Can you give me something to eat, for I am very hungry?" "With pleasure," she replied, in the same tone; "but do not say anything more, till you come into the house, for the Ash is watching us."	"I believe I did," said i "Can you give me something to eat, for I am very hungry?" "With pleasure," she replied, in the same tone; "but do not say anything more, till you come into the house, for the Ash is watching us."	false	321.26	334.57	20.03053
1748_1562_000007_000000	Having said this, she rose and led the way into the cottage; which, I now saw, was built of the stems of small trees set closely together, and was furnished with rough chairs and tables, from which even the bark had not been removed.	Having said this, she rose and led the way into the cottage; which, I now saw, was built of the stems of small trees set closely together, and was furnished with rough chairs and tables, from which even the bark had not been removed.	true	335.72	348.31	20.201397
1748_1562_000007_000001	As soon as she had shut the door and set a chair--	As soon as she had shut the door and set a chair-	true	348.65	351.31	24.787645
1748_1562_000008_000000	"You have fairy blood in you," said she, looking hard at me.	"You have fairy blood in you," said she, looking hard at me.	true	352.04	355.09	18.926277
1748_1562_000009_000000	"How do you know that?"	"How do you know that?"	true	355.91	357.01	19.793203
1748_1562_000010_000000	"You could not have got so far into this wood if it were not so; and I am trying to find out some trace of it in your countenance.	"You could not have got so far into this wood if it were not so; and I am trying to find out some trace of it in your countenance.	false	357.59	363.37	20.347538
1748_1562_000010_000001	I think I see it."	I think I see it."	true	363.77	364.9	21.672417
1748_1562_000011_000000	"What do you see?"	"What do you see?"	true	365.81	366.72	21.081778
1748_1562_000012_000000	"Oh, never mind: I may be mistaken in that."	"Oh, never mind: I may be mistaken in that."	false	366.72	370.33	21.181322
1748_1562_000013_000000	"But how then do you come to live here?"	"But how then do you come to live here?"	true	370.91	372.85	23.066133
1748_1562_000014_000000	"Because I too have fairy blood in me."	"Because I too have fairy blood in me."	true	373.25	375.28	18.832968
1748_1562_000015_000000	Here I, in my turn, looked hard at her, and thought I could perceive, notwithstanding the coarseness of her features, and especially the heaviness of her eyebrows, a something unusual--I could hardly call it grace, and yet it was an expression that strangely contrasted with the form of her features.	Here I, in my turn, looked hard at her, and thought I could perceive, notwithstanding the coarseness of her features, and especially the heaviness of her eyebrows, a something unusual-I could hardly call it grace, and yet it was an expression that strangely contrasted with the form of her features.	false	376.19	392.89	20.93772
1748_1562_000015_000001	I noticed too that her hands were delicately formed, though brown with work and exposure.	I noticed too that her hands were delicately formed, though brown with work and exposure.	true	393.26	398.41	21.719345
1748_1562_000016_000000	"I should be ill," she continued, "if I did not live on the borders of the fairies' country, and now and then eat of their food.	"I should be ill," she continued, "if I did not live on the borders of the fairies' country, and now and then eat of their food.	true	399.23	405.19	19
1748_1562_000016_000001	And I see by your eyes that you are not quite free of the same need; though, from your education and the activity of your mind, you have felt it less than I. You may be further removed too from the fairy race."	And I see by your eyes that you are not quite free of the same need; though, from your education and the activity of your mind, you have felt it less than i You may be further removed too from the fairy race."	true	405.59	417.1	19.376162
1748_1562_000017_000000	I remembered what the lady had said about my grandmothers.	I remembered what the lady had said about my grandmothers.	true	417.59	420.37	17
1748_1562_000018_000000	Here she placed some bread and some milk before me, with a kindly apology for the homeliness of the fare, with which, however, I was in no humour to quarrel.	Here she placed some bread and some milk before me, with a kindly apology for the homeliness of the fare, with which, however, I was in no humour to quarrel.	true	421.19	429.13	19
1748_1562_000018_000001	I now thought it time to try to get some explanation of the strange words both of her daughter and herself.	I now thought it time to try to get some explanation of the strange words both of her daughter and herself.	true	429.74	435.16	19
1748_1562_000019_000000	"What did you mean by speaking so about the Ash?"	"What did you mean by speaking so about the Ash?"	true	436.19	438.91	20
1748_1562_000020_000000	She rose and looked out of the little window.	She rose and looked out of the little window.	true	439.58	442	17.515928
1748_1562_000020_000001	My eyes followed her; but as the window was too small to allow anything to be seen from where I was sitting, I rose and looked over her shoulder.	My eyes followed her; but as the window was too small to allow anything to be seen from where I was sitting, I rose and looked over her shoulder.	true	442.49	449.83	20.550747
1748_1562_000020_000002	I had just time to see, across the open space, on the edge of the denser forest, a single large ash-tree, whose foliage showed bluish, amidst the truer green of the other trees around it; when she pushed me back with an expression of impatience and terror, and then almost shut out the light from the window by setting up a large old book in it.	I had just time to see, across the open space, on the edge of the denser forest, a single large ash tree, whose foliage showed bluish, amidst the truer green of the other trees around it; when she pushed me back with an expression of impatience and terror, and then almost shut out the light from the window by setting up a large old book in it.	true	450.47	469.42	21.330366
1748_1562_000021_000000	"In general," said she, recovering her composure, "there is no danger in the daytime, for then he is sound asleep; but there is something unusual going on in the woods; there must be some solemnity among the fairies to-night, for all the trees are restless, and although they cannot come awake, they see and hear in their sleep."	"In general," said she, recovering her composure, "there is no danger in the daytime, for then he is sound asleep; but there is something unusual going on in the woods; there must be some solemnity among the fairies to night, for all the trees are restless, and although they cannot come awake, they see and hear in their sleep."	true	470.42	489.34	19.067041
1748_1562_000022_000000	"But what danger is to be dreaded from him?"	"But what danger is to be dreaded from him?"	true	490.07	492.22	20.612707
1748_1562_000023_000000	Instead of answering the question, she went again to the window and looked out, saying she feared the fairies would be interrupted by foul weather, for a storm was brewing in the west.	Instead of answering the question, she went again to the window and looked out, saying she feared the fairies would be interrupted by foul weather, for a storm was brewing in the west.	true	493.31	502.84	20.282726
1748_1562_000024_000000	"And the sooner it grows dark, the sooner the Ash will be awake," added she.	"And the sooner it grows dark, the sooner the Ash will be awake," added she.	true	503.78	508.12	24.127499
1748_1562_000025_000000	I asked her how she knew that there was any unusual excitement in the woods.	I asked her how she knew that there was any unusual excitement in the woods.	true	508.79	512.5	15
1748_1562_000025_000001	She replied--	She replied-	true	512.96	514.09	22.16079
1748_1562_000026_000000	"Besides the look of the trees, the dog there is unhappy; and the eyes and ears of the white rabbit are redder than usual, and he frisks about as if he expected some fun.	"Besides the look of the trees, the dog there is unhappy; and the eyes and ears of the white rabbit are redder than usual, and he frisks about as if he expected some fun.	true	514.73	524.02	19.995981
1748_1562_000026_000001	If the cat were at home, she would have her back up; for the young fairies pull the sparks out of her tail with bramble thorns, and she knows when they are coming.	If the cat were at home, she would have her back up; for the young fairies pull the sparks out of her tail with bramble thorns, and she knows when they are coming.	true	524.57	533.14	21.63206
1748_1562_000026_000002	So do I, in another way."	So do I, in another way."	true	533.6	535.48	20.209717
1748_1562_000027_000000	At this instant, a grey cat rushed in like a demon, and disappeared in a hole in the wall.	At this instant, a grey cat rushed in like a demon, and disappeared in a hole in the wall.	true	536.36	541	18
1748_1562_000028_000000	"There, I told you!" said the woman.	"There, I told you!" said the woman.	true	541.79	544.09	23.721373
1748_1562_000029_000000	"But what of the ash-tree?" said I, returning once more to the subject.	"But what of the ash tree?" said I, returning once more to the subject.	false	545.06	548.92	19.731358
1748_1562_000029_000001	Here, however, the young woman, whom I had met in the morning, entered.	Here, however, the young woman, whom I had met in the morning, entered.	true	549.38	553.09	21.546251
1748_1562_000029_000002	A smile passed between the mother and daughter; and then the latter began to help her mother in little household duties.	A smile passed between the mother and daughter; and then the latter began to help her mother in little household duties.	true	553.49	559.33	20
1748_1562_000030_000000	"I should like to stay here till the evening," I said; "and then go on my journey, if you will allow me."	"I should like to stay here till the evening," I said; "and then go on my journey, if you will allow me."	true	560.48	565.21	22
1748_1562_000031_000000	"You are welcome to do as you please; only it might be better to stay all night, than risk the dangers of the wood then.	"You are welcome to do as you please; only it might be better to stay all night, than risk the dangers of the wood then.	true	566.18	571.9	21
1748_1562_000031_000001	Where are you going?"	Where are you going?"	true	572.39	573.43	18.45489
1748_1562_000032_000000	"Nay, that I do not know," I replied, "but I wish to see all that is to be seen, and therefore I should like to start just at sundown." "You are a bold youth, if you have any idea of what you are daring; but a rash one, if you know nothing about it; and, excuse me, you do not seem very well informed about the country and its manners.	"Nay, that I do not know," I replied, "but I wish to see all that is to be seen, and therefore I should like to start just at sundown." "You are a bold youth, if you have any idea of what you are daring; but a rash one, if you know nothing about it; and, excuse me, you do not seem very well informed about the country and its manners.	true	574.28	592.63	19.57587
1748_1562_000032_000001	However, no one comes here but for some reason, either known to himself or to those who have charge of him; so you shall do just as you wish."	However, no one comes here but for some reason, either known to himself or to those who have charge of him; so you shall do just as you wish."	false	593.12	600.82	21.196064
1748_1562_000033_000000	Accordingly I sat down, and feeling rather tired, and disinclined for further talk, I asked leave to look at the old book which still screened the window.	Accordingly I sat down, and feeling rather tired, and disinclined for further talk, I asked leave to look at the old book which still screened the window.	true	601.79	610.45	22.563442
1748_1562_000033_000001	The woman brought it to me directly, but not before taking another look towards the forest, and then drawing a white blind over the window.	The woman brought it to me directly, but not before taking another look towards the forest, and then drawing a white blind over the window.	true	610.97	617.8	21.939293
1748_1562_000033_000002	I sat down opposite to it by the table, on which I laid the great old volume, and read.	I sat down opposite to it by the table, on which I laid the great old volume, and read.	true	618.38	623.05	19
1748_1562_000033_000003	It contained many wondrous tales of Fairy Land, and olden times, and the Knights of King Arthur's table.	It contained many wondrous tales of Fairy Land, and olden times, and the Knights of King Arthur's table.	true	623.63	629.65	20.36685
1748_1562_000033_000004	I read on and on, till the shades of the afternoon began to deepen; for in the midst of the forest it gloomed earlier than in the open country.	I read on and on, till the shades of the afternoon began to deepen; for in the midst of the forest it gloomed earlier than in the open country.	true	630.11	638.47	20.480629
1748_1562_000033_000005	At length I came to this passage--	At length I came to this passage-	true	638.84	641.02	25
1748_1562_000034_000000	"Here it chanced, that upon their quest, Sir Galahad and Sir Percivale rencountered in the depths of a great forest.	"Here it chanced, that upon their quest, Sir Galahad and Sir Percivale rencountered in the depths of a great forest.	false	642.65	649.48	22.53448
1748_1562_000034_000001	Now, Sir Galahad was dight all in harness of silver, clear and shining; the which is a delight to look upon, but full hasty to tarnish, and withouten the labour of a ready squire, uneath to be kept fair and clean.	Now, Sir Galahad was dight all in harness of silver, clear and shining; the which is a delight to look upon, but full hasty to tarnish, and withouten the labour of a ready squire, uneath to be kept fair and clean.	false	649.82	663.49	20.210907
1748_1562_000034_000002	And yet withouten squire or page, Sir Galahad's armour shone like the moon.	And yet withouten squire or page, Sir Galahad's armour shone like the moon.	true	664.16	669.09	18
1748_1562_000034_000003	And he rode a great white mare, whose bases and other housings were black, but all besprent with fair lilys of silver sheen.	And he rode a great white mare, whose bases and other housings were black, but all besprent with fair lilys of silver sheen.	false	669.09	676.81	18.516268
1748_1562_000034_000004	Whereas Sir Percivale bestrode a red horse, with a tawny mane and tail; whose trappings were all to-smirched with mud and mire; and his armour was wondrous rosty to behold, ne could he by any art furbish it again; so that as the sun in his going down shone twixt the bare trunks of the trees, full upon the knights twain, the one did seem all shining with light, and the other all to glow with ruddy fire.	Whereas Sir Percivale bestrode a red horse, with a tawny mane and tail; whose trappings were all to smirched with mud and mire; and his armour was wondrous rosty to behold, ne could he by any art furbish it again; so that as the sun in his going down shone twixt the bare trunks of the trees, full upon the knights twain, the one did seem all shining with light, and the other all to glow with ruddy fire.	true	677.33	703.21	20.05091
1748_1562_000034_000005	Now it came about in this wise.	Now it came about in this wise.	true	703.79	705.79	21.039318
1748_1562_000034_000006	For Sir Percivale, after his escape from the demon lady, whenas the cross on the handle of his sword smote him to the heart, and he rove himself through the thigh, and escaped away, he came to a great wood; and, in nowise cured of his fault, yet bemoaning the same, the damosel of the alder tree encountered him, right fair to see; and with her fair words and false countenance she comforted him and beguiled him, until he followed her where she led him to a---"	For Sir Percivale, after his escape from the demon lady, whenas the cross on the handle of his sword smote him to the heart, and he rove himself through the thigh, and escaped away, he came to a great wood; and, in nowise cured of his fault, yet bemoaning the same, the damosel of the alder tree encountered him, right fair to see; and with her fair words and false countenance she comforted him and beguiled him, until he followed her where she led him to a---"	false	705.8	733.54	20.112415
1748_1562_000035_000000	Here a low hurried cry from my hostess caused me to look up from the book, and I read no more.	Here a low hurried cry from my hostess caused me to look up from the book, and I read no more.	true	735.05	739.66	17
1748_1562_000036_000000	"Look there!" she said; "look at his fingers!"	"Look there!" she said; "look at his fingers!"	true	740.33	742.81	20.424774
1748_1562_000037_000000	Just as I had been reading in the book, the setting sun was shining through a cleft in the clouds piled up in the west; and a shadow as of a large distorted hand, with thick knobs and humps on the fingers, so that it was much wider across the fingers than across the undivided part of the hand, passed slowly over the little blind, and then as slowly returned in the opposite direction.	Just as I had been reading in the book, the setting sun was shining through a cleft in the clouds piled up in the west; and a shadow as of a large distorted hand, with thick knobs and humps on the fingers, so that it was much wider across the fingers than across the undivided part of the hand, passed slowly over the little blind, and then as slowly returned in the opposite direction.	true	743.96	765.34	20
1748_1562_000038_000000	"He is almost awake, mother; and greedier than usual to-night."	"He is almost awake, mother; and greedier than usual to night."	true	766.1	769.86	21.10036
1748_1562_000039_000000	"Hush, child; you need not make him more angry with us than he is; for you do not know how soon something may happen to oblige us to be in the forest after nightfall."	"Hush, child; you need not make him more angry with us than he is; for you do not know how soon something may happen to oblige us to be in the forest after nightfall."	false	769.86	778.98	20.108894
1748_1562_000040_000000	"But you are in the forest," said I; "how is it that you are safe here?"	"But you are in the forest," said I; "how is it that you are safe here?"	false	778.98	784.33	20.108593
1748_1562_000041_000000	"He dares not come nearer than he is now," she replied; "for any of those four oaks, at the corners of our cottage, would tear him to pieces; they are our friends.	"He dares not come nearer than he is now," she replied; "for any of those four oaks, at the corners of our cottage, would tear him to pieces; they are our friends.	false	785.12	794.83	20.429552
1748_1562_000041_000001	But he stands there and makes awful faces at us sometimes, and stretches out his long arms and fingers, and tries to kill us with fright; for, indeed, that is his favourite way of doing. Pray, keep out of his way to-night."	But he stands there and makes awful faces at us sometimes, and stretches out his long arms and fingers, and tries to kill us with fright; for, indeed, that is his favourite way of doing. Pray, keep out of his way to night."	true	795.26	807.94	19.404211
1748_1562_000042_000000	"Shall I be able to see these things?" said I.	"Shall I be able to see these things?" said i	true	809.27	812.08	20.020422
1748_1562_000043_000000	"That I cannot tell yet, not knowing how much of the fairy nature there is in you.	"That I cannot tell yet, not knowing how much of the fairy nature there is in you.	false	812.87	816.67	19
1748_1562_000043_000001	But we shall soon see whether you can discern the fairies in my little garden, and that will be some guide to us."	But we shall soon see whether you can discern the fairies in my little garden, and that will be some guide to us."	true	816.98	822.46	18
1748_1562_000044_000000	"Are the trees fairies too, as well as the flowers?" I asked.	"Are the trees fairies too, as well as the flowers?" I asked.	true	823.67	827.25	21.376867
1748_1562_000045_000000	"They are of the same race," she replied; "though those you call fairies in your country are chiefly the young children of the flower fairies. They are very fond of having fun with the thick people, as they call you; for, like most children, they like fun better than anything else."	"They are of the same race," she replied; "though those you call fairies in your country are chiefly the young children of the flower fairies. They are very fond of having fun with the thick people, as they call you; for, like most children, they like fun better than anything else."	false	827.25	842.77	20.406172
1748_1562_000046_000000	"Why do you have flowers so near you then?	"Why do you have flowers so near you then?	true	843.68	845.71	16.801537
1748_1562_000046_000001	Do they not annoy you?"	Do they not annoy you?"	true	845.78	847.12	19.755043
1748_1562_000047_000000	"Oh, no, they are very amusing, with their mimicries of grown people, and mock solemnities.	"Oh, no, they are very amusing, with their mimicries of grown people, and mock solemnities.	true	847.79	852.88	19.744621
1748_1562_000047_000001	Sometimes they will act a whole play through before my eyes, with perfect composure and assurance, for they are not afraid of me.	Sometimes they will act a whole play through before my eyes, with perfect composure and assurance, for they are not afraid of me.	true	853.25	860.35	20.728739
1748_1562_000047_000002	Only, as soon as they have done, they burst into peals of tiny laughter, as if it was such a joke to have been serious over anything.	Only, as soon as they have done, they burst into peals of tiny laughter, as if it was such a joke to have been serious over anything.	true	860.81	867.43	20
1748_1562_000047_000003	These I speak of, however, are the fairies of the garden. They are more staid and educated than those of the fields and woods. Of course they have near relations amongst the wild flowers, but they patronise them, and treat them as country cousins, who know nothing of life, and very little of manners.	These I speak of, however, are the fairies of the garden. They are more staid and educated than those of the fields and woods. Of course they have near relations amongst the wild flowers, but they patronise them, and treat them as country cousins, who know nothing of life, and very little of manners.	true	868.04	884.11	20.499933
1748_1562_000047_000004	Now and then, however, they are compelled to envy the grace and simplicity of the natural flowers."	Now and then, however, they are compelled to envy the grace and simplicity of the natural flowers."	true	884.48	889.39	19
1748_1562_000048_000000	"Do they live IN the flowers?" I said.	"Do they live IN the flowers?" I said.	true	890.36	892.87	20.817322
1748_1562_000049_000000	"I cannot tell," she replied.	"I cannot tell," she replied.	true	893.39	895.27	20.386274
1748_1562_000049_000001	"There is something in it I do not understand.	"There is something in it I do not understand.	true	895.55	897.94	23
1748_1562_000049_000002	Sometimes they disappear altogether, even from me, though I know they are near.	Sometimes they disappear altogether, even from me, though I know they are near.	true	898.37	903.55	17.20575
1748_1562_000049_000003	They seem to die always with the flowers they resemble, and by whose names they are called; but whether they return to life with the fresh flowers, or, whether it be new flowers, new fairies, I cannot tell.	They seem to die always with the flowers they resemble, and by whose names they are called; but whether they return to life with the fresh flowers, or, whether it be new flowers, new fairies, I cannot tell.	true	904.22	914.74	19.74284
1748_1562_000049_000004	They have as many sorts of dispositions as men and women, while their moods are yet more variable; twenty different expressions will cross their little faces in half a minute.	They have as many sorts of dispositions as men and women, while their moods are yet more variable; twenty different expressions will cross their little faces in half a minute.	true	915.41	924.16	19.416622
1748_1562_000049_000005	I often amuse myself with watching them, but I have never been able to make personal acquaintance with any of them.	I often amuse myself with watching them, but I have never been able to make personal acquaintance with any of them.	true	924.56	929.89	19.902927
1748_1562_000049_000006	If I speak to one, he or she looks up in my face, as if I were not worth heeding, gives a little laugh, and runs away." Here the woman started, as if suddenly recollecting herself, and said in a low voice to her daughter, "Make haste--go and watch him, and see in what direction he goes."	If I speak to one, he or she looks up in my face, as if I were not worth heeding, gives a little laugh, and runs away." Here the woman started, as if suddenly recollecting herself, and said in a low voice to her daughter, "Make haste-go and watch him, and see in what direction he goes."	true	930.2	946.18	21.399258
1748_1562_000050_000000	I may as well mention here, that the conclusion I arrived at from the observations I was afterwards able to make, was, that the flowers die because the fairies go away; not that the fairies disappear because the flowers die.	I may as well mention here, that the conclusion I arrived at from the observations I was afterwards able to make, was, that the flowers die because the fairies go away; not that the fairies disappear because the flowers die.	true	947.27	959.05	21
1748_1562_000050_000001	The flowers seem a sort of houses for them, or outer bodies, which they can put on or off when they please.	The flowers seem a sort of houses for them, or outer bodies, which they can put on or off when they please.	true	959.69	965.56	20
1748_1562_000050_000002	Just as you could form some idea of the nature of a man from the kind of house he built, if he followed his own taste, so you could, without seeing the fairies, tell what any one of them is like, by looking at the flower till you feel that you understand it.	Just as you could form some idea of the nature of a man from the kind of house he built, if he followed his own taste, so you could, without seeing the fairies, tell what any one of them is like, by looking at the flower till you feel that you understand it.	true	966.38	978.97	19
1748_1562_000050_000003	For just what the flower says to you, would the face and form of the fairy say; only so much more plainly as a face and human figure can express more than a flower.	For just what the flower says to you, would the face and form of the fairy say; only so much more plainly as a face and human figure can express more than a flower.	true	979.55	988.6	19.843239
1748_1562_000050_000004	For the house or the clothes, though like the inhabitant or the wearer, cannot be wrought into an equal power of utterance.	For the house or the clothes, though like the inhabitant or the wearer, cannot be wrought into an equal power of utterance.	false	989.27	995.74	19
1748_1562_000050_000005	Yet you would see a strange resemblance, almost oneness, between the flower and the fairy, which you could not describe, but which described itself to you.	Yet you would see a strange resemblance, almost oneness, between the flower and the fairy, which you could not describe, but which described itself to you.	true	996.23	1004.65	20
1748_1562_000050_000006	Whether all the flowers have fairies, I cannot determine, any more than I can be sure whether all men and women have souls.	Whether all the flowers have fairies, I cannot determine, any more than I can be sure whether all men and women have souls.	true	1005.26	1011.37	15
1748_1562_000051_000000	The woman and I continued the conversation for a few minutes longer.	The woman and I continued the conversation for a few minutes longer.	true	1012.58	1016.14	17
1748_1562_000051_000001	I was much interested by the information she gave me, and astonished at the language in which she was able to convey it.	I was much interested by the information she gave me, and astonished at the language in which she was able to convey it.	true	1016.57	1022.38	17
1748_1562_000051_000002	It seemed that intercourse with the fairies was no bad education in itself.	It seemed that intercourse with the fairies was no bad education in itself.	true	1022.93	1027.09	18.285257
