5655_46267_000000_000000	"Oh, yes, please, grandmother," begged Keith, with an arm around her neck.	"Oh, yes, please, grandmother," begged Keith, with an arm around her neck.	false	0	4.23	25.156517
5655_46267_000025_000001	"Come on, we'll ask the man now."	"Come on, we'll ask the man now."	true	318.825	321.07	20.372515
5655_46267_000026_000000	But the man shook his head, when they dashed into the cabin and told their errand.	But the man shook his head, when they dashed into the cabin and told their errand.	true	321.53	325.72	20
5655_46267_000026_000001	"No, sonny, that ain't a tenth of what it's worth to me," he said.	"No, sonny, that ain't a tenth of what it's worth to me," he said.	true	325.91	330.25	22.233421
5655_46267_000026_000002	"I've raised that bear from the time it was a teeny cub.	"I've raised that bear from the time it was a teeny cub.	false	330.56	334	20.121572
5655_46267_000026_000003	I've taught it, and fed it, and looked to it for company when I hadn't nobody in the world to care for me.	I've taught it, and fed it, and looked to it for company when I hadn't nobody in the world to care for me.	true	334.04	340.51	22.560656
5655_46267_000026_000004	Couldn't sell that bear for no such sum as that.	Couldn't sell that bear for no such sum as that.	false	340.67	343.93	21.956179
5655_46267_000026_000005	Couldn't you raise any more money than that?"	Couldn't you raise any more money than that?"	true	344.15	346.9	17.440336
5655_46267_000027_000000	It was Malcolm's turn to shake his head.	It was Malcolm's turn to shake his head.	true	347.63	349.99	19.888262
5655_46267_000027_000001	He turned away, too disappointed to trust himself to answer any other way.	He turned away, too disappointed to trust himself to answer any other way.	true	350.09	354.73	21.985594
5655_46267_000027_000002	The tears sprang to Keith's eyes.	The tears sprang to Keith's eyes.	true	355.1	357.7	25.945072
5655_46267_000027_000003	He had set his heart on having that bear.	He had set his heart on having that bear.	true	357.77	360.25	20.38442
5655_46267_000028_000000	"Never mind, brother," said Malcolm, moving toward the door.	"Never mind, brother," said Malcolm, moving toward the door.	true	360.68	364.21	14.870466
5655_46267_000028_000001	"Papa will get us one when he comes home and finds how much we want one."	"Papa will get us one when he comes home and finds how much we want one."	true	364.31	368.8	20.492561
5655_46267_000029_000000	"Oh, don't be in such a hurry, young gen'lemen," whined the man, when he saw that they were really going.	"Oh, don't be in such a hurry, young gen'lemen," whined the man, when he saw that they were really going.	true	370.04	376.06	17
5655_46267_000029_000001	"I didn't say that I wouldn't sell it to you for that much.	"I didn't say that I wouldn't sell it to you for that much.	true	376.13	379.395	18
5655_46267_000029_000002	You've been so kind to me that I ought to be willing to make any sacrifice for you.	You've been so kind to me that I ought to be willing to make any sacrifice for you.	true	379.395	384.99	21
5655_46267_000029_000003	I happen to need four dollars very particular just now, and I've a mind to sell him to you on your own terms." He paused a moment, looking thoughtfully at a crack in the floor, as he stood by the fire with his hands in his pockets.	I happen to need four dollars very particular just now, and I've a mind to sell him to you on your own terms." He paused a moment, looking thoughtfully at a crack in the floor, as he stood by the fire with his hands in his pockets.	false	384.99	401.05	22.620483
5655_46267_000029_000004	"Yes," he said, at last, "you can have him for four dollars, if you'll keep mum about us being here for one more day.	"Yes," he said, at last, "you can have him for four dollars, if you'll keep mum about us being here for one more day.	true	401.39	410.29	19.420475
5655_46267_000029_000005	You can leave the bear here till we go."	You can leave the bear here till we go."	true	410.39	412.93	24.067617
5655_46267_000030_000000	"No!	"No!	true	413.51	414.06	100
5655_46267_000030_000001	No!" cried Keith, throwing his arms around the animal's neck.	No!" cried Keith, throwing his arms around the animal's neck.	true	414.06	417.705	16
5655_46267_000030_000002	"He is ours now, and we must take him with us.	"He is ours now, and we must take him with us.	true	417.705	420.96	19.48903
5655_46267_000030_000003	We can hide him away in the barn.	We can hide him away in the barn.	true	420.96	422.82	17
5655_46267_000030_000004	It is so dark out-doors now that nobody will see us.	It is so dark out doors now that nobody will see us.	false	422.82	426.37	17
5655_46267_000030_000005	It wouldn't seem like he is really ours if we couldn't take him with us."	It wouldn't seem like he is really ours if we couldn't take him with us."	true	426.38	430.45	21.37996
5655_46267_000031_000000	After some grumbling the man consented, and pocketed the four dollars, first asking very particularly the exact spot in the barn where they expected to hide their huge pet.	After some grumbling the man consented, and pocketed the four dollars, first asking very particularly the exact spot in the barn where they expected to hide their huge pet.	true	431.3	442.59	24.623734
5655_46267_000032_000000	Unc' Henry, coming up from the carriage-house through the twilight, thought he saw some one stealing along by the clump of cedars by the spring-house.	u n c' Henry, coming up from the carriage house through the twilight, thought he saw some one stealing along by the clump of cedars by the spring house.	false	442.59	451.515	23.09145
5655_46267_000032_000001	"Who's prowlin' roun' dis yere premises?" he called.	"Who's prowlin' roun' dis yere premises?" he called.	false	451.515	455.44	21.85869
5655_46267_000032_000002	There was no answer, and, after peering intently through the dusk for a moment, the old darkey concluded that he must have been mistaken, and passed on.	There was no answer, and, after peering intently through the dusk for a moment, the old darkey concluded that he must have been mistaken, and passed on.	true	455.72	464.68	23.976261
5655_46267_000032_000003	As soon as he was gone, the boys came out from behind the cedars, and crept up the snowy hillside.	As soon as he was gone, the boys came out from behind the cedars, and crept up the snowy hillside.	true	465.14	470.92	20
5655_46267_000032_000004	They were leading the bear between them.	They were leading the bear between them.	true	471.14	473.29	21.06889
5655_46267_000033_000000	"We'll put him away back in the hay-mow where he'll be warm and comfortable to-night," whispered Malcolm.	"We'll put him away back in the hay mow where he'll be warm and comfortable to night," whispered Malcolm.	true	473.51	478.66	24.026672
5655_46267_000033_000001	"Then in the morning we can tell everybody."	"Then in the morning we can tell everybody."	true	478.73	481.33	21.662584
5655_46267_000034_000000	While they were busily scooping out a big hollow in the hay, they were startled by a rustling behind them.	While they were busily scooping out a big hollow in the hay, they were startled by a rustling behind them.	true	482	487.99	21
5655_46267_000034_000001	They looked into each other's frightened faces, and then glanced around the dark barn in alarm.	They looked into each other's frightened faces, and then glanced around the dark barn in alarm.	true	488.18	493.39	23.70465
5655_46267_000034_000002	An old cap pushed up through the hay.	An old cap pushed up through the hay.	true	493.55	495.87	25
5655_46267_000034_000003	Then a weak little cough betrayed Jonesy. He had followed them.	Then a weak little cough betrayed Jonesy. He had followed them.	false	495.87	500.94	22.085135
5655_46267_000035_000000	"Sh!" he said, in a warning whisper.	"Sh!" he said, in a warning whisper.	false	500.94	503.86	16
5655_46267_000035_000001	"I'm afraid the boss will find out that I'm here.	"I'm afraid the boss will find out that I'm here.	false	503.96	506.68	20
5655_46267_000035_000002	He started to the store for some tobacco as soon as you left.	He started to the store for some tobacco as soon as you left.	true	506.84	510.67	21.909016
5655_46267_000035_000003	He's been wild fer some, but didn't have no money.	He's been wild fer some, but didn't have no money.	false	510.68	513.6	17.593336
5655_46267_000035_000004	_Don't you leave that bear out here to-night, if you ever expect to see it again!_ That wasn't true what he told you.	underscore Don't you leave that bear out here to night, if you ever expect to see it again!underscore That wasn't true what he told you.	false	513.6	521.26	22
5655_46267_000035_000005	He never saw the bear till two months ago, and he sold it to you cheap because he's a-goin' to steal it back again to-night, and make off up the road with it.	He never saw the bear till two months ago, and he sold it to you cheap because he's a goin' to steal it back again to night, and make off up the road with it.	true	521.27	530.56	20
5655_46267_000035_000006	He went off a-grinnin' over the slick way he'd fooled you, and I jes' had to come and tell, 'cause you've been so good to me.	He went off a grinnin' over the slick way he'd fooled you, and I jes' had to come and tell, 'cause you've been so good to me.	false	530.69	538.84	20.370535
5655_46267_000035_000007	I'll never forget the little kid's givin' me the coat off his own back, if I live to be a hundred.	I'll never forget the little kid's givin' me the coat off his own back, if I live to be a hundred.	true	538.97	545.04	22.486944
5655_46267_000035_000008	Now don't blab on me, or the boss would nearly kill me."	Now don't blab on me, or the boss would nearly kill me."	false	545.04	548.89	23.86347
5655_46267_000036_000000	"Is that man your father?" began Keith, but Jonesy, alarmed by some sudden noise, sprang to the door, and disappeared in the twilight.	"Is that man your father?" began Keith, but Jonesy, alarmed by some sudden noise, sprang to the door, and disappeared in the twilight.	false	549.86	558.4	22.42854
5655_46267_000037_000000	The boys looked at each other a moment, with surprise and indignation in their faces.	The boys looked at each other a moment, with surprise and indignation in their faces.	false	559.55	564.46	17.774473
5655_46267_000037_000001	There was a hurried consultation in the hay-mow.	There was a hurried consultation in the hay mow.	true	564.71	567.49	20.839926
5655_46267_000037_000002	A few moments later the boys were smuggling their new pet into the house, and up the back stairs.	A few moments later the boys were smuggling their new pet into the house, and up the back stairs.	true	567.68	574.81	19.966932
5655_46267_000037_000003	They scarcely dared breathe until it was safe in their own room.	They scarcely dared breathe until it was safe in their own room.	true	574.97	580.15	22
5655_46267_000038_000000	All the time that they were dressing for the party, they were trying to decide where to put it for the night, so that neither the tramp nor the family could discover it.	All the time that they were dressing for the party, they were trying to decide where to put it for the night, so that neither the tramp nor the family could discover it.	true	580.46	589.54	22
5655_46267_000038_000001	What Jonesy had told them about the man's dishonest intention did not relieve them from their promise.	What Jonesy had told them about the man's dishonest intention did not relieve them from their promise.	true	590.06	595.81	18
5655_46267_000038_000002	They were amazed that any one could be so mean, and longed to tell their Aunt Allison all about it; still, one of the conditions on which they had bought the bear was that they were to "keep mum," and they stuck strictly to that promise.	They were amazed that any one could be so mean, and longed to tell their Aunt Allison all about it; still, one of the conditions on which they had bought the bear was that they were to "keep mum," and they stuck strictly to that promise.	true	595.82	610.3	21.901165
5655_46267_000039_000000	By the time they were dressed, they had decided to put it in the blue room, a guest-chamber in the north wing, seldom used in winter, because it was so hard to heat.	By the time they were dressed, they had decided to put it in the blue room, a guest chamber in the north wing, seldom used in winter, because it was so hard to heat.	true	610.76	620.11	21.421476
5655_46267_000039_000001	"Nobody will ever think of coming in here," said Malcolm, "and it will be plenty warm for a bear if we turn on the furnace a little." As he spoke, he was tying the bear's rope around a leg of the big, high-posted bed.	"Nobody will ever think of coming in here," said Malcolm, "and it will be plenty warm for a bear if we turn on the furnace a little." As he spoke, he was tying the bear's rope around a leg of the big, high posted bed.	false	620.33	633.84	22.534266
5655_46267_000040_000000	"Won't Ginger be surprised?" answered Keith.	"Won't Ginger be surprised?" answered Keith.	true	633.84	636.72	19.43414
5655_46267_000040_000001	"We'll tell her that we have a valentine six feet long, and keep her guessing."	"We'll tell her that we have a valentine six feet long, and keep her guessing."	true	636.72	641.17	21.052914
5655_46267_000041_000000	There was no time for teasing, however, as the first guest arrived while they were still in the blue room.	There was no time for teasing, however, as the first guest arrived while they were still in the blue room.	true	641.3	647.28	22
5655_46267_000042_000000	"I hate to go off and leave him in the dark," said Keith, with a final loving pat.	"I hate to go off and leave him in the dark," said Keith, with a final loving pat.	false	647.28	652.51	22.794012
5655_46267_000042_000001	"I guess he'll not mind, though.	"I guess he'll not mind, though.	true	652.88	654.82	22.960552
5655_46267_000042_000002	Maybe he'll think he is in the woods if I put this good-smelling pine pillow on the rug beside him."	Maybe he'll think he is in the woods if I put this good smelling pine pillow on the rug beside him."	false	654.83	660.25	22.355331
5655_46267_000043_000000	"Oh, boys," called Virginia from the hall down-stairs.	"Oh, boys," called Virginia from the hall down stairs.	true	660.8	664.45	17.791414
5655_46267_000043_000001	"See what an enormous valentine pie Aunt Allison has made!"	"See what an enormous valentine pie Aunt Allison has made!"	true	664.52	668.5	20.671305
5655_46267_000044_000000	Looking over the banisters, the boys saw that a table had been drawn into the middle of the wide reception-hall, and on it sat the largest pie that they had ever seen.	Looking over the banisters, the boys saw that a table had been drawn into the middle of the wide reception hall, and on it sat the largest pie that they had ever seen.	true	669.35	680.32	21.32275
5655_46267_000044_000001	It was in a bright new tin pan, and its daintily browned crust would have made them hungry even if their appetites had not been sharpened by the cold and exercise of the afternoon.	It was in a bright new tin pan, and its daintily browned crust would have made them hungry even if their appetites had not been sharpened by the cold and exercise of the afternoon.	true	680.69	691.48	21.644968
5655_46267_000045_000000	"What a queer place to serve pie," said Malcolm, in a disapproving undertone to his brother.	"What a queer place to serve pie," said Malcolm, in a disapproving undertone to his brother.	true	691.91	697.66	23.297386
5655_46267_000045_000001	"Why don't they have it in the dining-room?	"Why don't they have it in the dining room?	true	697.82	700.03	20.461475
5655_46267_000045_000002	It looks mighty good, but somehow it doesn't seem proper to have it stuck out here in the hall.	It looks mighty good, but somehow it doesn't seem proper to have it stuck out here in the hall.	true	700.07	706.21	25.474478
5655_46267_000045_000003	Mamma would never do such a thing."	Mamma would never do such a thing."	true	706.34	708.72	22.747555
5655_46267_000046_000000	"Aw, it's made of paper!	"Aw, it's made of paper!	false	708.72	711.075	30.493961
5655_46267_000046_000001	She fooled us, sure, Malcolm," called back Keith, who had run on ahead to look.	She fooled us, sure, Malcolm," called back Keith, who had run on ahead to look.	true	711.075	716.64	21.885183
5655_46267_000046_000002	"It is only painted to look like a pie.	"It is only painted to look like a pie.	false	716.64	718.87	26.269892
5655_46267_000046_000003	But isn't it a splendid imitation?"	But isn't it a splendid imitation?"	true	718.97	721.45	20.439829
5655_46267_000047_000000	Virginia, pleased to have caught them so cleverly, showed them the ends of twenty-four pieces of narrow ribbon, peeping from under the delicately brown top crust.	Virginia, pleased to have caught them so cleverly, showed them the ends of twenty four pieces of narrow ribbon, peeping from under the delicately brown top crust.	true	722.06	733.06	23.159775
5655_46267_000047_000001	"The white ones are for the girls, and the red ones for the boys," she explained.	"The white ones are for the girls, and the red ones for the boys," she explained.	false	733.46	737.79	22
5655_46267_000047_000002	"There is a valentine on the end of each one, and those on the red ribbons match the ones on the white. We'll all pull at once, and the ones who have valentines alike will go out to dinner together."	"There is a valentine on the end of each one, and those on the red ribbons match the ones on the white. We'll all pull at once, and the ones who have valentines alike will go out to dinner together."	false	737.79	749.44	23.086157
5655_46267_000048_000000	The guests came promptly.	The guests came promptly.	true	750.26	752.23	22.22423
5655_46267_000048_000001	They had been invited for half-past six, and dinner was to be served soon after that time.	They had been invited for half past six, and dinner was to be served soon after that time.	true	752.42	758.05	20
5655_46267_000048_000002	The last to arrive was the Little Colonel.	The last to arrive was the Little Colonel.	true	758.39	761.235	29.139631
5655_46267_000048_000003	She came in charge of an old coloured woman, Mom Beck, who had been her mother's nurse as well as her own.	She came in charge of an old coloured woman, Mom Beck, who had been her mother's nurse as well as her own.	true	761.235	767.77	21.93883
5655_46267_000048_000004	The child was so hidden in her wraps when Mom Beck led her up-stairs, that no one could tell how she looked.	The child was so hidden in her wraps when Mom Beck led her up stairs, that no one could tell how she looked.	true	767.96	775.09	23.032297
5655_46267_000048_000005	The boys had been curious to see her, ever since they had heard so many tales of her mischievous pranks.	The boys had been curious to see her, ever since they had heard so many tales of her mischievous pranks.	true	775.34	781.51	16
5655_46267_000048_000006	A few minutes later, when she appeared in the parlours, there was a buzz of admiration.	A few minutes later, when she appeared in the parlours, there was a buzz of admiration.	true	781.91	786.79	20.139278
5655_46267_000048_000007	Maybe it was not so much for the soft light hair, the star-like beauty of her big dark eyes, or the delicate colour in her cheeks that made them as pink as a wild rose, as it was for the valentine costume she wore.	Maybe it was not so much for the soft light hair, the star like beauty of her big dark eyes, or the delicate colour in her cheeks that made them as pink as a wild rose, as it was for the valentine costume she wore.	true	787.07	800.86	22
5655_46267_000048_000008	It was of dainty white tulle, sprinkled with hundreds of tiny red velvet hearts, and there was a coronet of glittering rhinestones on her long fair hair.	It was of dainty white tulle, sprinkled with hundreds of tiny red velvet hearts, and there was a coronet of glittering rhinestones on her long fair hair.	false	801.23	812.35	22.01516
5655_46267_000049_000000	"The Queen of Hearts," announced Aunt Allison, leading her forward.	"The Queen of Hearts," announced Aunt Allison, leading her forward.	true	813.11	817.275	22.874968
5655_46267_000049_000001	"You know 'she made some tarts, upon a summer day,' and now she shall open the valentine pie and see if it is as good as her Majesty's."	"You know 'she made some tarts, upon a summer day,' and now she shall open the valentine pie and see if it is as good as her Majesty's."	false	817.275	826.33	19
5655_46267_000050_000000	The big music-box in the hall began playing one of its liveliest waltzes, the children gathered around the great pie, and twenty-four little hands reached out to grasp the floating ends of ribbon.	The big music box in the hall began playing one of its liveliest waltzes, the children gathered around the great pie, and twenty four little hands reached out to grasp the floating ends of ribbon.	true	827.12	839.59	22.253109
5655_46267_000051_000000	"Pull!" cried the little Queen of Hearts.	"Pull!" cried the little Queen of Hearts.	true	840.14	842.65	28.861784
5655_46267_000051_000001	The paper crust flew off, and twenty-four yards of ribbon, each with a valentine attached, fluttered brightly through the air for an instant.	The paper crust flew off, and twenty four yards of ribbon, each with a valentine attached, fluttered brightly through the air for an instant.	true	842.78	851.68	23.631422
5655_46267_000052_000000	"Now match your verses," cried her Majesty again, opening her own to read what was in it.	"Now match your verses," cried her Majesty again, opening her own to read what was in it.	true	852.2	857.98	21
5655_46267_000052_000001	There was much laughing and peeping over shoulders, and tangling of white and scarlet ribbons, while the gay music-box played on.	There was much laughing and peeping over shoulders, and tangling of white and scarlet ribbons, while the gay music box played on.	false	858.17	865.87	17
5655_46267_000053_000000	In the midst of it Virginia beckoned to the Little Colonel.	In the midst of it Virginia beckoned to the Little Colonel.	true	866.66	869.89	25.138971
5655_46267_000053_000001	"Come up-stairs with me for a minute, Lloyd," she whispered, "and help me look for something.	"Come up stairs with me for a minute, Lloyd," she whispered, "and help me look for something.	true	870.08	874.81	24.923912
5655_46267_000053_000002	Aunt Allison has forgotten where she put the box of arrows that we are to use in the archery contest after dinner.	Aunt Allison has forgotten where she put the box of arrows that we are to use in the archery contest after dinner.	true	874.91	881.53	21.968657
5655_46267_000053_000003	There is the prettiest prize for the one who hits the red heart in the centre of the target."	There is the prettiest prize for the one who hits the red heart in the centre of the target."	true	881.84	887.43	20.449154
5655_46267_000054_000000	"Oh, do you suppose you can hit it?" asked Lloyd, as she and Virginia slipped their arms around each other, and went skipping up the stairs.	"Oh, do you suppose you can hit it?" asked Lloyd, as she and Virginia slipped their arms around each other, and went skipping up the stairs.	false	887.43	895.72	20
5655_46267_000055_000000	"Yes, indeed!" answered Virginia.	"Yes, indeed!" answered Virginia.	true	896.06	898.2	17.149158
