1859_145701_000000_000000	And now she desired him to guide her thither at once.	And now she desired him to guide her thither at once.	false	0	2.07	22.528784
1859_145701_000004_000000	So the Princess stayed with him, and said to the old man, 'Go back to the castle and tell my parents that I am staying here.'	So the Princess stayed with him, and said to the old man, 'Go back to the castle and tell my parents that I am staying here.'	false	12.93	16.05	25.41189
1859_145701_000005_000000	Her parents were very much vexed when the old man came back and told them this, but as soon as the three months of the Prince's enchantment were over, he ceased to be an eagle and became once more a man, and they returned home together.	Her parents were very much vexed when the old man came back and told them this, but as soon as the three months of the Prince's enchantment were over, he ceased to be an eagle and became once more a man, and they returned home together.	false	16.05	19.56	22.08064
1859_145701_000005_000001	And then they lived happily, and we who hear the story are happier still.	And then they lived happily, and we who hear the story are happier still.	false	19.56	21.27	27.4602
1859_145701_000006_000000	THE IRON STOVE(7)	THE IRON STOVE(seven)	false	21.27	22.83	21.618793
1859_145701_000007_000000	(7) Grimm.	(seven) Grimm.	false	22.83	27.33	20.032974
1859_145701_000008_000000	Once upon a time when wishes came true there was a king's son who was enchanted by an old witch, so that he was obliged to sit in a large iron stove in a wood.	Once upon a time when wishes came true there was a king's son who was enchanted by an old witch, so that he was obliged to sit in a large iron stove in a wood.	true	27.33	37.81	15
1859_145701_000008_000001	There he lived for many years, and no one could free him.	There he lived for many years, and no one could free him.	true	38.21	42.13	17
1859_145701_000008_000002	At last a king's daughter came into the wood; she had lost her way, and could not find her father's kingdom again.	At last a king's daughter came into the wood; she had lost her way, and could not find her father's kingdom again.	true	42.35	48.94	16
1859_145701_000008_000003	She had been wandering round and round for nine days, and she came at last to the iron case.	She had been wandering round and round for nine days, and she came at last to the iron case.	true	49.13	54.79	12
1859_145701_000008_000004	A voice came from within and asked her, 'Where do you come from, and where do you want to go?' She answered, 'I have lost my way to my father's kingdom, and I shall never get home again.' Then the voice from the iron stove said, 'I will help you to find your home again, and that in a very short time, if you will promise to do what I ask you.	A voice came from within and asked her, 'Where do you come from, and where do you want to go?' She answered, 'I have lost my way to my father's kingdom, and I shall never get home again.' Then the voice from the iron stove said, 'I will help you to find your home again, and that in a very short time, if you will promise to do what I ask you.	false	55.13	76	21.39805
1859_145701_000008_000005	I am a greater prince than you are a princess, and I will marry you.' Then she grew frightened, and thought, 'What can a young lassie do with an iron stove?' But as she wanted very much to go home to her father, she promised to do what he wished.	I am a greater prince than you are a princess, and I will marry you.' Then she grew frightened, and thought, 'What can a young lassie do with an iron stove?' But as she wanted very much to go home to her father, she promised to do what he wished.	true	76.22	91.45	19.752611
1859_145701_000009_000000	He said, 'You must come again, and bring a knife with you to scrape a hole in the iron.'	He said, 'You must come again, and bring a knife with you to scrape a hole in the iron.'	true	92.51	97.72	18
1859_145701_000010_000000	Then he gave her someone for a guide, who walked near her and said nothing, but he brought her in two hours to her house.	Then he gave her someone for a guide, who walked near her and said nothing, but he brought her in two hours to her house.	true	98.27	105.1	16
1859_145701_000010_000001	There was great joy in the castle when the Princess came back, and the old King fell on her neck and kissed her.	There was great joy in the castle when the Princess came back, and the old King fell on her neck and kissed her.	true	105.2	111.25	19
1859_145701_000010_000002	But she was very much troubled, and said, 'Dear father, listen to what has befallen me!	But she was very much troubled, and said, 'Dear father, listen to what has befallen me!	true	111.5	116.49	19
1859_145701_000010_000003	I should never have come home again out of the great wild wood if I had not come to an iron stove, to whom I have had to promise that I will go back to free him and marry him!' The old King was so frightened that he nearly fainted, for she was his only daughter.	I should never have come home again out of the great wild wood if I had not come to an iron stove, to whom I have had to promise that I will go back to free him and marry him!' The old King was so frightened that he nearly fainted, for she was his only daughter.	true	116.49	132.13	20
1859_145701_000010_000004	So they consulted together, and determined that the miller's daughter, who was very beautiful, should take her place.	So they consulted together, and determined that the miller's daughter, who was very beautiful, should take her place.	true	132.41	138.82	20
1859_145701_000010_000005	They took her there, gave her a knife, and said she must scrape at the iron stove.	They took her there, gave her a knife, and said she must scrape at the iron stove.	true	139.34	144.51	23
1859_145701_000010_000006	She scraped for twenty-four hours, but did not make the least impression.	She scraped for twenty four hours, but did not make the least impression.	true	144.51	149.2	20
1859_145701_000010_000007	When the day broke, a voice called from the iron stove, 'It seems to me that it is day outside.' Then she answered, 'It seems so to me; I think I hear my father's mill rattling.'	When the day broke, a voice called from the iron stove, 'It seems to me that it is day outside.' Then she answered, 'It seems so to me; I think I hear my father's mill rattling.'	false	149.39	160.24	22.528889
1859_145701_000011_000000	'So you are a miller's daughter!	'So you are a miller's daughter!	true	160.43	162.48	14
1859_145701_000011_000001	Then go away at once, and tell the King's daughter to come.'	Then go away at once, and tell the King's daughter to come.'	false	162.48	166.3	25.554293
1859_145701_000012_000000	Then she went away, and told the old King that the thing inside the iron stove would not have her, but wanted the Princess.	Then she went away, and told the old King that the thing inside the iron stove would not have her, but wanted the Princess.	true	167.45	174.07	15
1859_145701_000012_000001	The old King was frightened, and his daughter wept.	The old King was frightened, and his daughter wept.	true	175.28	178.275	22
1859_145701_000012_000002	But they had a swineherd's daughter who was even more beautiful than the miller's daughter, and they gave her a piece of gold to go to the iron stove instead of the Princess. Then she was taken out, and had to scrape for four-and-twenty hours, but she could make no impression.	But they had a swineherd's daughter who was even more beautiful than the miller's daughter, and they gave her a piece of gold to go to the iron stove instead of the Princess. Then she was taken out, and had to scrape for four and twenty hours, but she could make no impression.	true	178.275	193.51	18
1859_145701_000012_000003	As soon as the day broke the voice from the stove called out, 'It seems to be daylight outside.' Then she answered, 'It seems so to me too; I think I hear my father blowing his horn.' 'So you are a swineherd's daughter!	As soon as the day broke the voice from the stove called out, 'It seems to be daylight outside.' Then she answered, 'It seems so to me too; I think I hear my father blowing his horn.' 'So you are a swineherd's daughter!	true	193.64	207.31	20.61799
1859_145701_000012_000004	Go away at once, and let the King's daughter come.	Go away at once, and let the King's daughter come.	true	207.35	210.66	27
1859_145701_000012_000005	And say to her that what I foretell shall come to pass, and if she does not come everything in the kingdom shall fall into ruin, and not one stone shall be left upon another.' When the Princess heard this she began to cry, but it was no good; she had to keep her word.	And say to her that what I foretell shall come to pass, and if she does not come everything in the kingdom shall fall into ruin, and not one stone shall be left upon another.' When the Princess heard this she began to cry, but it was no good; she had to keep her word.	true	210.66	227.62	20.763004
1859_145701_000012_000006	She took leave of her father, put a knife in her belt, and went to the iron stove in the wood.	She took leave of her father, put a knife in her belt, and went to the iron stove in the wood.	true	227.87	232.81	21
1859_145701_000012_000007	As soon as she reached it she began to scrape, and the iron gave way and before two hours had passed she had made a little hole.	As soon as she reached it she began to scrape, and the iron gave way and before two hours had passed she had made a little hole.	true	233.63	240.97	19
1859_145701_000012_000008	Then she peeped in and saw such a beautiful youth all shining with gold and precious stones that she fell in love with him on the spot.	Then she peeped in and saw such a beautiful youth all shining with gold and precious stones that she fell in love with him on the spot.	true	241.16	250.99	19
1859_145701_000012_000009	So she scraped away harder than ever, and made the hole so large that he could get out.	So she scraped away harder than ever, and made the hole so large that he could get out.	true	251.06	255.85	18
1859_145701_000012_000010	Then he said, 'You are mine, and I am thine; you are my bride and have set me free!' He wanted to take her with him to his kingdom, but she begged him just to let her go once more to her father; and the Prince let her go, but told her not to say more than three words to her father, then to come back again.	Then he said, 'You are mine, and I am thine; you are my bride and have set me free!' He wanted to take her with him to his kingdom, but she begged him just to let her go once more to her father; and the Prince let her go, but told her not to say more than three words to her father, then to come back again.	false	255.92	275.38	21
1859_145701_000012_000011	So she went home, but alas! she said MORE THAN THREE WORDS; and immediately the iron stove vanished and went away over a mountain of glass and sharp swords. But the Prince was free, and was no longer shut up in it.	So she went home, but alas! she said MORE THAN THREE WORDS; and immediately the iron stove vanished and went away over a mountain of glass and sharp swords. But the Prince was free, and was no longer shut up in it.	false	275.93	292.15	19.831486
1859_145701_000012_000012	Then she said good-bye to her father, and took a little money with her, and went again into the great wood to look for the iron stove; but she could not find it.	Then she said good bye to her father, and took a little money with her, and went again into the great wood to look for the iron stove; but she could not find it.	false	292.61	301.45	21
1859_145701_000012_000013	She sought it for nine days, and then her hunger became so great that she did not know how she could live any longer.	She sought it for nine days, and then her hunger became so great that she did not know how she could live any longer.	true	302.9	310.3	15
1859_145701_000012_000014	And when it was evening she climbed a little tree and wished that the night would not come, because she was afraid of the wild beasts.	And when it was evening she climbed a little tree and wished that the night would not come, because she was afraid of the wild beasts.	true	310.46	318.04	18
1859_145701_000012_000015	When midnight came she saw afar off a little light, and thought, 'Ah! if only I could reach that!' Then she got down from the tree and went towards the light.	When midnight came she saw afar off a little light, and thought, 'Ah! if only I could reach that!' Then she got down from the tree and went towards the light.	false	318.59	328.39	24.658697
1859_145701_000012_000016	She came to a little old house with a great deal of grass growing round, and stood in front of a little heap of wood.	She came to a little old house with a great deal of grass growing round, and stood in front of a little heap of wood.	true	328.52	334.99	16
1859_145701_000012_000017	She thought, 'Alas! what am I coming to?' and peeped through the window; but she saw nothing inside except big and little toads, and a table beautifully spread with roast meats and wine, and all the dishes and drinking-cups were of silver. Then she took heart and knocked.	She thought, 'Alas! what am I coming to?' and peeped through the window; but she saw nothing inside except big and little toads, and a table beautifully spread with roast meats and wine, and all the dishes and drinking cups were of silver. Then she took heart and knocked.	false	335.39	352.84	21
1859_145701_000012_000018	Then a fat toad called out:	Then a fat toad called out:	true	352.91	355.36	19.441824
1859_145701_000013_000000	'Little green toad with leg like crook, Open wide the door, and look Who it was the latch that shook.'	'Little green toad with leg like crook, Open wide the door, and look Who it was the latch that shook.'	true	356.06	364.15	21.476103
1859_145701_000014_000000	And a little toad came forward and let her in.	And a little toad came forward and let her in.	true	364.22	367.06	17
1859_145701_000014_000001	When she entered they all bid her welcome, and made her sit down.	When she entered they all bid her welcome, and made her sit down.	false	367.43	371.41	15
1859_145701_000014_000002	They asked her how she came there and what she wanted.	They asked her how she came there and what she wanted.	true	371.51	374.38	16
1859_145701_000014_000003	Then she told everything that had happened to her, and how, because she had exceeded her permission only to speak three words, the stove had disappeared with the Prince; and how she had searched a very long time, and must wander over mountain and valley till she found him.	Then she told everything that had happened to her, and how, because she had exceeded her permission only to speak three words, the stove had disappeared with the Prince; and how she had searched a very long time, and must wander over mountain and valley till she found him.	true	374.45	389.74	18
1859_145701_000015_000000	Then the old toad said:	Then the old toad said:	true	390.47	392.05	24.429436
1859_145701_000016_000000	'Little green toad whose leg doth twist, Go to the corner of which you wist, And bring to me the large old kist.'	'Little green toad whose leg doth twist, Go to the corner of which you wist, And bring to me the large old kist.'	true	392.27	400.57	22.397469
1859_145701_000017_000000	And the little toad went and brought out a great chest.	And the little toad went and brought out a great chest.	true	401.36	404.98	23.473957
1859_145701_000017_000001	Then they gave her food and drink, and led her to a beautifully made bed of silk and samite, on which she lay down and slept soundly.	Then they gave her food and drink, and led her to a beautifully made bed of silk and samite, on which she lay down and slept soundly.	true	405.26	412.9	18
1859_145701_000017_000002	When the day dawned she arose, and the old toad gave her three things out of the huge chest to take with her.	When the day dawned she arose, and the old toad gave her three things out of the huge chest to take with her.	true	413.18	419.47	16
1859_145701_000017_000003	She would have need of them, for she had to cross a high glass mountain, three cutting swords, and a great lake.	She would have need of them, for she had to cross a high glass mountain, three cutting swords, and a great lake.	true	419.96	426.7	21
1859_145701_000017_000004	When she had passed these she would find her lover again.	When she had passed these she would find her lover again.	true	426.89	429.85	15
1859_145701_000017_000005	So she was given three large needles, a plough-wheel, and three nuts, which she was to take great care of.	So she was given three large needles, a plough wheel, and three nuts, which she was to take great care of.	true	429.89	437.68	21.508095
1859_145701_000017_000006	She set out with these things, and when she came to the glass mountain which was so slippery she stuck the three needles behind her feet and then in front, and so got over it, and when she was on the other side put them carefully away.	She set out with these things, and when she came to the glass mountain which was so slippery she stuck the three needles behind her feet and then in front, and so got over it, and when she was on the other side put them carefully away.	true	437.78	451.27	16
1859_145701_000018_000000	Then she reached the three cutting swords, and got on her plough-wheel and rolled over them.	Then she reached the three cutting swords, and got on her plough wheel and rolled over them.	true	452.03	457.57	17
1859_145701_000018_000001	At last she came to a great lake, and, when she had crossed that, arrived at a beautiful castle.	At last she came to a great lake, and, when she had crossed that, arrived at a beautiful castle.	true	457.88	464.86	22
1859_145701_000018_000002	She went in and gave herself out as a servant, a poor maid who would gladly be engaged.	She went in and gave herself out as a servant, a poor maid who would gladly be engaged.	true	465.92	471.55	16
1859_145701_000018_000003	But she knew that the Prince whom she had freed from the iron stove in the great wood was in the castle.	But she knew that the Prince whom she had freed from the iron stove in the great wood was in the castle.	true	471.56	477.22	18
1859_145701_000018_000004	So she was taken on as a kitchen-maid for very small wages.	So she was taken on as a kitchen maid for very small wages.	true	477.29	481.24	17
1859_145701_000018_000005	Now the Prince was about to marry another princess, for he thought she was dead long ago.	Now the Prince was about to marry another princess, for he thought she was dead long ago.	true	482.09	487.33	15
1859_145701_000019_000000	In the evening, when she had washed up and was ready, she felt in her pocket and found the three nuts which the old toad had given her.	In the evening, when she had washed up and was ready, she felt in her pocket and found the three nuts which the old toad had given her.	true	487.91	496.27	21
1859_145701_000019_000001	She cracked one and was going to eat the kernel, when behold!	She cracked one and was going to eat the kernel, when behold!	true	496.49	500.14	17
1859_145701_000019_000002	there was a beautiful royal dress inside it!	there was a beautiful royal dress inside it!	true	500.18	503.23	19
1859_145701_000019_000003	When the bride heard of this, she came and begged for the dress, and wanted to buy it, saying that it was not a dress for a serving-maid.	When the bride heard of this, she came and begged for the dress, and wanted to buy it, saying that it was not a dress for a serving maid.	true	503.45	510.55	16
1859_145701_000019_000004	Then she said she would not sell it unless she was granted one favour--namely, to sleep by the Prince's door.	Then she said she would not sell it unless she was granted one favour-namely, to sleep by the Prince's door.	true	510.89	517.96	20
1859_145701_000019_000005	The bride granted her this, because the dress was so beautiful and she had so few like it.	The bride granted her this, because the dress was so beautiful and she had so few like it.	true	518.12	523.39	18
1859_145701_000019_000006	When it was evening she said to her bridegroom, 'That stupid maid wants to sleep by your door.'	When it was evening she said to her bridegroom, 'That stupid maid wants to sleep by your door.'	true	523.79	529.21	20
1859_145701_000020_000000	'If you are contented, I am,' he said.	'If you are contented, I am,' he said.	true	529.37	532.18	23.623686
1859_145701_000020_000001	But she gave him a glass of wine in which she had poured a sleeping-draught.	But she gave him a glass of wine in which she had poured a sleeping draught.	false	532.25	536.67	18
1859_145701_000020_000002	Then they both went to his room, but he slept so soundly that she could not wake him.	Then they both went to his room, but he slept so soundly that she could not wake him.	true	536.67	541.6	19
1859_145701_000020_000003	The maid wept all night long, and said, 'I freed you in the wild wood out of the iron stove; I have sought you, and have crossed a glassy mountain, three sharp swords, and a great lake before I found you, and will you not hear me now?' The servants outside heard how she cried the whole night, and they told their master in the morning.	The maid wept all night long, and said, 'I freed you in the wild wood out of the iron stove; I have sought you, and have crossed a glassy mountain, three sharp swords, and a great lake before I found you, and will you not hear me now?' The servants outside heard how she cried the whole night, and they told their master in the morning.	false	541.76	562.78	19
1859_145701_000021_000000	When she had washed up the next evening she bit the second nut, and there was a still more beautiful dress inside.	When she had washed up the next evening she bit the second nut, and there was a still more beautiful dress inside.	true	562.97	569.86	16
1859_145701_000021_000001	When the bride saw it she wanted to buy it also.	When the bride saw it she wanted to buy it also.	true	569.93	572.98	15
1859_145701_000021_000002	But the maid did not want money, and asked that she should sleep again by the Prince's door.	But the maid did not want money, and asked that she should sleep again by the Prince's door.	true	572.99	578.47	16
1859_145701_000021_000003	The bride, however, gave him a sleeping-draught, and he slept so soundly that he heard nothing. But the kitchen-maid wept the whole night long, and said, 'I have freed you in a wood and from an iron stove; I sought you and have crossed a glassy mountain, three sharp swords, and a great lake to find you, and now you will not hear me!' The servants outside heard how she cried the whole night, and in the morning they told their master.	The bride, however, gave him a sleeping draught, and he slept so soundly that he heard nothing. But the kitchen maid wept the whole night long, and said, 'I have freed you in a wood and from an iron stove; I sought you and have crossed a glassy mountain, three sharp swords, and a great lake to find you, and now you will not hear me!' The servants outside heard how she cried the whole night, and in the morning they told their master.	false	578.75	606.94	20
1859_145701_000022_000000	And when she had washed up on the third night she bit the third nut, and there was a still more beautiful dress inside that was made of pure gold.	And when she had washed up on the third night she bit the third nut, and there was a still more beautiful dress inside that was made of pure gold.	true	607.61	617.86	20
1859_145701_000022_000001	When the bride saw it she wanted to have it, but the maid would only give it her on condition that she should sleep for the third time by the Prince's door.	When the bride saw it she wanted to have it, but the maid would only give it her on condition that she should sleep for the third time by the Prince's door.	false	618.35	627.04	20
1859_145701_000022_000002	But the Prince took care not to drink the sleeping-draught.	But the Prince took care not to drink the sleeping draught.	false	627.26	631.53	24.806618
1859_145701_000022_000003	When she began to weep and to say, 'Dearest sweetheart, I freed you in the horrible wild wood, and from an iron stove,' he jumped up and said, 'You are right.	When she began to weep and to say, 'Dearest sweetheart, I freed you in the horrible wild wood, and from an iron stove,' he jumped up and said, 'You are right.	true	631.53	641.625	17
1859_145701_000022_000004	You are mine, and I am thine.' Though it was still night, he got into a carriage with her, and they took the false bride's clothes away, so that she could not follow them.	You are mine, and I am thine.' Though it was still night, he got into a carriage with her, and they took the false bride's clothes away, so that she could not follow them.	true	641.625	650.89	20
1859_145701_000022_000005	When they came to the great lake they rowed across, and when they reached the three sharp swords they sat on the plough-wheel, and on the glassy mountain they stuck the three needles in.	When they came to the great lake they rowed across, and when they reached the three sharp swords they sat on the plough wheel, and on the glassy mountain they stuck the three needles in.	true	651.29	662.29	18
1859_145701_000022_000006	So they arrived at last at the little old house, but when they stepped inside it turned into a large castle.	So they arrived at last at the little old house, but when they stepped inside it turned into a large castle.	true	662.63	670.36	21.965471
1859_145701_000022_000007	The toads were all freed, and were beautiful King's children, running about for joy.	The toads were all freed, and were beautiful King's children, running about for joy.	true	670.55	675.82	17
1859_145701_000022_000008	There they were married, and they remained in the castle, which was much larger than that of the Princess's father's.	There they were married, and they remained in the castle, which was much larger than that of the Princess's father's.	true	676.01	681.82	16
1859_145701_000022_000009	But because the old man did not like being left alone, they went and fetched him.	But because the old man did not like being left alone, they went and fetched him.	true	681.92	686.05	20.218903
1859_145701_000022_000010	So they had two kingdoms and lived in great wealth.	So they had two kingdoms and lived in great wealth.	false	686.06	695.58	21.689154
