7868_246932_000001_000000	THE SHEATH.	THE SHEATH.
7868_246932_000008_000004	I cannot run, for, if I attempt it, I am in a moment unable even to walk--from palpitation and choking.	I cannot run, for, if I attempt it, I am in a moment unable even to walk-from palpitation and choking.
7868_246932_000009_000001	I stood and listened for a moment, but all seemed still as the grave.	I stood and listened for a moment, but all seemed still as the grave.
7868_246932_000009_000002	I must go in, and see whether anyone was there in want of help.	I must go in, and see whether anyone was there in want of help.
7868_246932_000009_000003	You may well smile at the idea of my helping anyone, for what could I do if it came to a struggle?"	You may well smile at the idea of my helping anyone, for what could I do if it came to a struggle?"
7868_246932_000010_000000	"On the contrary," interrupted Wingfold, "I was smiling with admiration of your pluck."	"On the contrary," interrupted Wingfold, "I was smiling with admiration of your pluck."
7868_246932_000011_000000	"At least," resumed Polwarth, "I have this advantage over some, that I cannot be fooled with the fancy that this poor miserable body of mine is worth thinking of beside the smallest suspicion of duty.	"At least," resumed Polwarth, "I have this advantage over some, that I cannot be fooled with the fancy that this poor miserable body of mine is worth thinking of beside the smallest suspicion of duty.
7868_246932_000011_000001	What is it but a cracked jug?	What is it but a cracked jug?
7868_246932_000011_000002	So down the slope I went, got into the garden, and made my way through the tangled bushes to the house.	So down the slope I went, got into the garden, and made my way through the tangled bushes to the house.
7868_246932_000011_000003	I knew the place perfectly, for I had often wandered all over it, sometimes spending hours there.	I knew the place perfectly, for I had often wandered all over it, sometimes spending hours there.
7868_246932_000012_000003	Ere I could breathe again after it, the tall figure of a woman rushed past me, tearing its way through the bushes towards the door.	Ere I could breathe again after it, the tall figure of a woman rushed past me, tearing its way through the bushes towards the door.
7868_246932_000012_000004	I followed instantly, saw her run up the steps, and heard her open and shut the door.	I followed instantly, saw her run up the steps, and heard her open and shut the door.
7868_246932_000012_000008	I cannot describe the horror of it.	I cannot describe the horror of it.
7868_246932_000012_000011	I approached it softly, and finding that door inside a small closet, knew at once where I was. As I was in office on the ground, and it could hardly be any thing righteous that led to such an outcry in the house, which, although deserted, was still my master's, I felt justified in searching further into the matter.	I approached it softly, and finding that door inside a small closet, knew at once where I was. As I was in office on the ground, and it could hardly be any thing righteous that led to such an outcry in the house, which, although deserted, was still my master's, I felt justified in searching further into the matter.
7868_246932_000012_000012	Laying my ear therefore against the door, I heard what was plainly a lady's voice.	Laying my ear therefore against the door, I heard what was plainly a lady's voice.
7868_246932_000012_000014	She soothed, she expostulated, she condoled, she coaxed.	She soothed, she expostulated, she condoled, she coaxed.
7868_246932_000012_000020	I crept out of the house, and up to the higher ground.	I crept out of the house, and up to the higher ground.
7868_246932_000012_000022	But I had no longer any pleasure in the world.	But I had no longer any pleasure in the world.
7868_246932_000012_000023	I went straight home, and to bed again--but had brought little repose with me: I must do something--but what?	I went straight home, and to bed again-but had brought little repose with me: I must do something-but what?
7868_246932_000012_000024	The only result certain to follow, was more trouble to the troubled already.	The only result certain to follow, was more trouble to the troubled already.
7868_246932_000012_000026	And the lady might be his wife, who had gone as soon as she could leave him to find help, but had failed.	And the lady might be his wife, who had gone as soon as she could leave him to find help, but had failed.
7868_246932_000012_000027	There MUST be some simple explanation of the matter, however strange it showed!	There MUST be some simple explanation of the matter, however strange it showed!
7868_246932_000012_000028	I might, in the morning, be of service to them.	I might, in the morning, be of service to them.
7868_246932_000012_000029	And partly comforted by the temporary conclusion, I got a little troubled sleep.	And partly comforted by the temporary conclusion, I got a little troubled sleep.
7868_246932_000013_000000	"As soon as I had had a cup of tea, I set out for the old house.	"As soon as I had had a cup of tea, I set out for the old house.
7868_246932_000013_000001	I heard the sounds of the workmen's hammers on the new one as I went.	I heard the sounds of the workmen's hammers on the new one as I went.
7868_246932_000013_000002	All else was silence.	All else was silence.
7868_246932_000013_000004	When I got into the garden I began to sing and knock the bushes about, then opened the door noisily, and clattered about in the hall and the lower rooms before going up the stair.	When I got into the garden I began to sing and knock the bushes about, then opened the door noisily, and clattered about in the hall and the lower rooms before going up the stair.
7868_246932_000013_000005	Along every passage and into every room I went, to give good warning ere I approached that in which I had heard the voices.	Along every passage and into every room I went, to give good warning ere I approached that in which I had heard the voices.
7868_246932_000013_000007	I knocked again.	I knocked again.
7868_246932_000013_000008	Still no answer.	Still no answer.
7868_246932_000013_000009	I opened it and peeped in.	I opened it and peeped in.
7868_246932_000013_000010	There was no one there!	There was no one there!
7868_246932_000013_000011	An old bedstead was all I saw.	An old bedstead was all I saw.
7868_246932_000015_000000	"Would you mind taking care of it, Mr. Wingfold?" the gate-keeper continued as the curate examined it; "I don't like having it.	"Would you mind taking care of it, mr Wingfold?" the gate keeper continued as the curate examined it; "I don't like having it.
7868_246932_000015_000001	I can't even bear to think of it even in the house, and yet I don't quite care to destroy it."	I can't even bear to think of it even in the house, and yet I don't quite care to destroy it."
7868_246932_000016_000000	"I don't in the least mind taking charge of it," answered Wingfold.	"I don't in the least mind taking charge of it," answered Wingfold.
7868_246932_000017_000002	Why should he think of her now?	Why should he think of her now?
7868_246932_000017_000004	Certainly he had never till then thought of her with the slightest interest, and why should she come up to him now?	Certainly he had never till then thought of her with the slightest interest, and why should she come up to him now?
7868_246932_000017_000006	Good heavens!	Good heavens!
7868_246932_000017_000007	There was her brother ill!	There was her brother ill!
7868_246932_000017_000008	And had not Faber said there seemed something unusual about the character of his illness?--What could it mean?--It was impossible of course--but yet--and yet--	And had not Faber said there seemed something unusual about the character of his illness?--What could it mean?--It was impossible of course-but yet-and yet-
7868_246932_000018_000000	"Do you think," he said, "we are in any way bound to inquire further into the affair?"	"Do you think," he said, "we are in any way bound to inquire further into the affair?"
7868_246932_000019_000000	"If I had thought so, I should not have left it unmentioned till now," answered Polwarth.	"If I had thought so, I should not have left it unmentioned till now," answered Polwarth.
7868_246932_000019_000002	Meantime I have the relief of the confessional."	Meantime I have the relief of the confessional."
