6965_277899_000001_000000	THE BAG	THE BAG
6965_277899_000039_000000	"Aha, we'll have a good gallop after that brush to-morrow," said the Major, with a transient gleam of good humour.	"Aha, we'll have a good gallop after that brush to morrow," said the Major, with a transient gleam of good humour.
6965_277899_000040_000000	"What is exciting him?" asked his mistress, as the dog suddenly broke into short angry barks, with a running accompaniment of tremulous whines.	"What is exciting him?" asked his mistress, as the dog suddenly broke into short angry barks, with a running accompaniment of tremulous whines.
6965_277899_000041_000000	"Why," she continued, "it's your game-bag, Vladimir!	"Why," she continued, "it's your game bag, Vladimir!
6965_277899_000042_000000	"By Gad," said the Major, who was now standing up; "there's a pretty warm scent!"	"By Gad," said the Major, who was now standing up; "there's a pretty warm scent!"
6965_277899_000043_000000	And then a simultaneous idea flashed on himself and Mrs. Hoopington. Their faces flushed to distinct but harmonious tones of purple, and with one accusing voice they screamed, "You've shot the fox!"	And then a simultaneous idea flashed on himself and mrs Hoopington. Their faces flushed to distinct but harmonious tones of purple, and with one accusing voice they screamed, "You've shot the fox!"
6965_277899_000044_000000	Norah tried hastily to palliate Vladimir's misdeed in their eyes, but it is doubtful whether they heard her.	Norah tried hastily to palliate Vladimir's misdeed in their eyes, but it is doubtful whether they heard her.
6965_277899_000044_000001	The Major's fury clothed and reclothed itself in words as frantically as a woman up in town for one day's shopping tries on a succession of garments.	The Major's fury clothed and reclothed itself in words as frantically as a woman up in town for one day's shopping tries on a succession of garments.
6965_277899_000044_000002	He reviled and railed at fate and the general scheme of things, he pitied himself with a strong, deep pity too poignent for tears, he condemned every one with whom he had ever come in contact to endless and abnormal punishments.	He reviled and railed at fate and the general scheme of things, he pitied himself with a strong, deep pity too poignent for tears, he condemned every one with whom he had ever come in contact to endless and abnormal punishments.
6965_277899_000044_000003	In fact, he conveyed the impression that if a destroying angel had been lent to him for a week it would have had very little time for private study. In the lulls of his outcry could be heard the querulous monotone of Mrs. Hoopington and the sharp staccato barking of the fox-terrier.	In fact, he conveyed the impression that if a destroying angel had been lent to him for a week it would have had very little time for private study. In the lulls of his outcry could be heard the querulous monotone of mrs Hoopington and the sharp staccato barking of the fox terrier.
6965_277899_000044_000005	His mind strayed back to the youth in the old Russian folk-tale who shot an enchanted bird with dramatic results.	His mind strayed back to the youth in the old Russian folk tale who shot an enchanted bird with dramatic results.
6965_277899_000044_000006	Meanwhile, the Major, roaming round the hall like an imprisoned cyclone, had caught sight of and joyfully pounced on the telephone apparatus, and lost no time in ringing up the hunt secretary and announcing his resignation of the Mastership.	Meanwhile, the Major, roaming round the hall like an imprisoned cyclone, had caught sight of and joyfully pounced on the telephone apparatus, and lost no time in ringing up the hunt secretary and announcing his resignation of the Mastership.
6965_277899_000044_000007	A servant had by this time brought his horse round to the door, and in a few seconds Mrs. Hoopington's shrill monotone had the field to itself.	A servant had by this time brought his horse round to the door, and in a few seconds mrs Hoopington's shrill monotone had the field to itself.
6965_277899_000044_000008	But after the Major's display her best efforts at vocal violence missed their full effect; it was as though one had come straight out from a Wagner opera into a rather tame thunderstorm.	But after the Major's display her best efforts at vocal violence missed their full effect; it was as though one had come straight out from a Wagner opera into a rather tame thunderstorm.
6965_277899_000046_000000	"Bury it," said Norah.	"Bury it," said Norah.
6965_277899_000047_000000	"Just plain burial?" said Vladimir, rather relieved.	"Just plain burial?" said Vladimir, rather relieved.
6965_277899_000047_000001	He had almost expected that some of the local clergy would have insisted on being present, or that a salute might have to be fired over the grave.	He had almost expected that some of the local clergy would have insisted on being present, or that a salute might have to be fired over the grave.
