5290_26685_000000_000000	CHAPTER XXIX	CHAPTER twenty nine	false	0.66	24.81	20.823837
5290_26685_000006_000004	He would hold them both to his heart.	He would hold them both to his heart.	true	159.05	161.2	22
5290_26685_000006_000005	She would see him smile again and look in his eyes, and all this foreboding would cease, and the woful sounds die out of the air and become only the natural roar of the activities and traffic of a great city.	She would see him smile again and look in his eyes, and all this foreboding would cease, and the woful sounds die out of the air and become only the natural roar of the activities and traffic of a great city.	false	161.42	173.38	19
5290_26685_000006_000006	She must get used to all this, and not expect to find all the world like her own sunny mountains.	She must get used to all this, and not expect to find all the world like her own sunny mountains.	true	173.84	179.53	21
5290_26685_000007_000000	The bishop's careful little wife had tried to explain to her how to meet her new experiences.	The bishop's careful little wife had tried to explain to her how to meet her new experiences.	true	180.35	185.5	19
5290_26685_000007_000001	She was to go nowhere alone, without taking a cab, and never start out on foot, carrying her baby in her arms, as she might do at home.	She was to go nowhere alone, without taking a cab, and never start out on foot, carrying her baby in her arms, as she might do at home.	true	185.9	194.5	21.99584
5290_26685_000007_000002	She had given her written instructions how to conduct herself under all ordinary circumstances, at her hotel or on the street--how to ring for a servant, order her meals, or call a cab.	She had given her written instructions how to conduct herself under all ordinary circumstances, at her hotel or on the street-how to ring for a servant, order her meals, or call a cab.	true	194.87	206.8	22.013227
5290_26685_000008_000000	Now, standing before her mirror, Cassandra essayed to arrange her hair as she had seen other young women wear theirs, but she thought the new way looked untidy, and she took it all down and rearranged it as she was used to wear it.	Now, standing before her mirror, Cassandra essayed to arrange her hair as she had seen other young women wear theirs, but she thought the new way looked untidy, and she took it all down and rearranged it as she was used to wear it.	false	207.62	220.66	21
5290_26685_000008_000001	David would not mind if she did not do her hair as others did, he would be so glad to see her and his little son.	David would not mind if she did not do her hair as others did, he would be so glad to see her and his little son.	false	221.33	227.73	22.1541
5290_26685_000008_000002	Ah, the comfort of that little son!	Ah, the comfort of that little son!	false	227.73	230.41	25.114832
5290_26685_000008_000003	She leaned over the bed, half dressed as she was, and murmured pretty cooing phrases, kissing and cuddling him to contented laughter.	She leaned over the bed, half dressed as she was, and murmured pretty cooing phrases, kissing and cuddling him to contented laughter.	true	230.81	239.05	21.295286
5290_26685_000009_000000	Betty Towers had procured clothing for her--a modest supply--using her own good taste, and not disguising Cassandra's natural grace and dignity by a too-close adherence to the prevailing mode.	Betty Towers had procured clothing for her-a modest supply-using her own good taste, and not disguising Cassandra's natural grace and dignity by a too close adherence to the prevailing mode.	true	240.26	251.95	23.716164
5290_26685_000009_000001	There were a blue travelling gown and jacket, and a toque of the same color with a white wing; a soft clinging black silk, made with girlish simplicity which admirably became her, and a wide, flexible brimmed hat with a single heavy plume taken from Betty's own hat of the last winter.	There were a blue travelling gown and jacket, and a toque of the same color with a white wing; a soft clinging black silk, made with girlish simplicity which admirably became her, and a wide, flexible brimmed hat with a single heavy plume taken from Betty's own hat of the last winter.	false	252.41	270.67	24.367987
5290_26685_000009_000002	Cassandra stood a long moment before the two gowns.	Cassandra stood a long moment before the two gowns.	true	271.4	274.35	20.84046
5290_26685_000009_000003	She desired to don the silk, but Betty had told her always to wear the blue in the morning, so at last she obeyed her kind adviser.	She desired to don the silk, but Betty had told her always to wear the blue in the morning, so at last she obeyed her kind adviser.	false	274.35	282.58	24.60741
5290_26685_000010_000000	While waiting with her baby in her arms for the hotel boy to call her cab, she observed another lady, young and graceful, enter a cab, and a maid following her wearing a pretty cap, and carrying a child.	While waiting with her baby in her arms for the hotel boy to call her cab, she observed another lady, young and graceful, enter a cab, and a maid following her wearing a pretty cap, and carrying a child.	true	283.46	296.41	23.160896
5290_26685_000010_000001	Eager, for David's sake, to draw no adverse comment upon herself, she took note of everything.	Eager, for David's sake, to draw no adverse comment upon herself, she took note of everything.	true	296.81	302.59	22.609987
5290_26685_000010_000002	Ought she then to arrive attended by a maid, carrying her baby?	Ought she then to arrive attended by a maid, carrying her baby?	true	303.08	306.94	22.914173
5290_26685_000010_000003	But David would know she did not need one; bringing him his little son in her own arms, what would he care for anything more?	But David would know she did not need one; bringing him his little son in her own arms, what would he care for anything more?	true	307.52	314.71	21.563522
5290_26685_000010_000004	So the address was given the cabman, and they were rattled away over the rough paving, a long, lonely ride through the wonderful city--so many miles of houses and splendid buildings, of gardens and monuments.	So the address was given the cabman, and they were rattled away over the rough paving, a long, lonely ride through the wonderful city-so many miles of houses and splendid buildings, of gardens and monuments.	true	315.47	328	22.266647
5290_26685_000011_000000	Strangely, the people of _Vanity Fair_ leaped out of the book she had read, and walked the streets or dashed by her in cabs--albeit in modern dress.	Strangely, the people of underscore Vanity Fair underscore leaped out of the book she had read, and walked the streets or dashed by her in cabs-albeit in modern dress.	false	328.85	337.33	23
5290_26685_000011_000001	The soldiers--the guardsmen--the liveried lackeys--the errand boys--all were there, and the ladies in fine carriages.	The soldiers-the guardsmen-the liveried lackeys-the errand boys-all were there, and the ladies in fine carriages.	false	337.7	346.06	22.37158
5290_26685_000011_000002	There were the nursemaids--the babies--the beggars--the ragged urchins and the venders of the street, with their raucous cries rending the air.	There were the nursemaids-the babies-the beggars-the ragged urchins and the venders of the street, with their raucous cries rending the air.	true	346.25	354.88	23.94861
5290_26685_000011_000003	Her brain whirled, and a new feeling to which she had hitherto been blessedly a stranger crept over her, a feeling of fear.	Her brain whirled, and a new feeling to which she had hitherto been blessedly a stranger crept over her, a feeling of fear.	true	355.22	363.49	22
5290_26685_000012_000000	As the great two-story coaches and trams thundered by, she clasped her baby closer, until he looked up in her face with round-eyed wonder and put up his lip in pitiful protest.	As the great two story coaches and trams thundered by, she clasped her baby closer, until he looked up in her face with round eyed wonder and put up his lip in pitiful protest.	true	364.58	376	23.593119
5290_26685_000012_000001	She soothed and comforted him until her panic passed, and when, at last, they stopped before a great house built in on either side by other houses, with wide steps of stone descending directly upon the street, she had regained a measure of composure.	She soothed and comforted him until her panic passed, and when, at last, they stopped before a great house built in on either side by other houses, with wide steps of stone descending directly upon the street, she had regained a measure of composure.	true	376.25	393.21	24.402178
5290_26685_000012_000002	She was assured by the cabman, leaning respectfully down to her with his cap in his hand, that this was "the 'ouse, ma'm," and should he wait?	She was assured by the cabman, leaning respectfully down to her with his cap in his hand, that this was "the 'ouse, ma'm," and should he wait?	false	393.21	402.85	22.954067
5290_26685_000013_000000	"Oh, yes.	"Oh, yes.	true	403.46	404.775	21.65756
5290_26685_000013_000001	Wait," cried Cassandra.	Wait," cried Cassandra.	true	404.775	406.75	25.655258
5290_26685_000013_000002	What if David were not there!	What if David were not there!	true	407.48	409.27	22.472824
5290_26685_000013_000003	And of course, he might be out.	And of course, he might be out.	true	409.43	411.24	24.638275
5290_26685_000013_000004	Then they were swallowed up in the dark interior.	Then they were swallowed up in the dark interior.	true	411.24	413.77	22.118935
5290_26685_000013_000005	She was admitted to a hall that seemed to her empty and vast, by a little old man in livery.	She was admitted to a hall that seemed to her empty and vast, by a little old man in livery.	true	413.96	419.14	19
5290_26685_000013_000006	For a moment, bewildered, she could hardly understand what he was saying to her.	For a moment, bewildered, she could hardly understand what he was saying to her.	true	419.72	424.11	24
5290_26685_000013_000007	"'Er ladyship's at 'er country 'ome and the 'ouse closed."	"'Er ladyship's at 'er country 'o m e and the 'ouse closed."	false	424.11	428.68	22.188637
5290_26685_000014_000000	Although dazed and baffled, Cassandra betrayed no sign of the tumult within, and the little old man stood before her hesitating, his curiosity piqued into a determination to discover her business and identity.	Although dazed and baffled, Cassandra betrayed no sign of the tumult within, and the little old man stood before her hesitating, his curiosity piqued into a determination to discover her business and identity.	true	429.74	443.2	21.68714
5290_26685_000014_000001	Her gravity and silence gave her a poise and dignity that allayed suspicion, but he and his old wife liked diversion, and a spice of gossip lightened the monotony of their lives, so he waited, then coughed behind his hand.	Her gravity and silence gave her a poise and dignity that allayed suspicion, but he and his old wife liked diversion, and a spice of gossip lightened the monotony of their lives, so he waited, then coughed behind his hand.	true	443.81	459.61	23.003042
5290_26685_000015_000000	"Yes, 'er ladyship and Lady Laura are at their country 'ome now, ma'm. Maybe you came to see the 'ouse, ma'm?"	"Yes, 'er ladyship and Lady Laura are at their country 'o m e now, ma'm. Maybe you came to see the 'ouse, ma'm?"	false	461.6	469.63	22.034752
5290_26685_000016_000000	"No, it was not the house--it was--" Again she waited, not knowing how to introduce her husband's name.	"No, it was not the house-it was-" Again she waited, not knowing how to introduce her husband's name.	true	470.57	478.54	21.687828
5290_26685_000017_000000	A mystery!	A mystery!	true	479.03	480.31	21.77296
5290_26685_000017_000001	A visitor at this hour, and seemingly a lady, yet with a baby in her arms, and alone, and not to see the house.	A visitor at this hour, and seemingly a lady, yet with a baby in her arms, and alone, and not to see the house.	true	480.41	487.99	22
5290_26685_000017_000002	Again he coughed behind his hand.	Again he coughed behind his hand.	true	488.27	490.77	24.59952
5290_26685_000018_000000	"A many do come to see the 'ouse, ma'm, with a permit from 'is lordship, ma'm. 'E's not 'ere now, but strangers are halways welcome--to the gallery, ma'm."	"A many do come to see the 'ouse, ma'm, with a permit from 'is lordship, ma'm. 'E's not 'ere now, but strangers are halways welcome-to the gallery, ma'm."	false	490.77	500.23	20.929075
5290_26685_000019_000000	"Yes, I'm a stranger." She caught at the word.	"Yes, I'm a stranger." She caught at the word.	true	500.84	505.095	21.098574
5290_26685_000019_000001	Seized by an inward terror of the small eyes fixed curiously on her, she intuitively shrank from betraying her identity, and the old servant had told her what she needed to know.	Seized by an inward terror of the small eyes fixed curiously on her, she intuitively shrank from betraying her identity, and the old servant had told her what she needed to know.	true	505.095	516.34	23
5290_26685_000019_000002	Of course her husband was "his lordship," over here.	Of course her husband was "his lordship," over here.	true	516.83	520.27	20.510277
5290_26685_000019_000003	"I am from America, and I would like to see the gallery." She must do so to give a pretext for having come to visit an empty house.	"I am from America, and I would like to see the gallery." She must do so to give a pretext for having come to visit an empty house.	true	521.12	529.57	23.280802
5290_26685_000019_000004	David must not be compromised before the old servant, but a great lump filled her throat, and tears were burning unshed beneath her eyes.	David must not be compromised before the old servant, but a great lump filled her throat, and tears were burning unshed beneath her eyes.	false	529.79	539.05	22.531502
5290_26685_000020_000000	For all of the warm August sun shining without, a chill struck to her bones as they passed through the vast, closed rooms.	For all of the warm August sun shining without, a chill struck to her bones as they passed through the vast, closed rooms.	false	540.17	547.78	25.160297
5290_26685_000020_000001	She held her now sleeping baby close to her breast as she followed the old man about from picture to picture.	She held her now sleeping baby close to her breast as she followed the old man about from picture to picture.	true	548.12	554.29	22.52646
5290_26685_000021_000000	"Yes, a many do come 'ere--especially hartists--to see this gallery. They say as 'ow 'is lordship wouldn't take a thousand pounds for this one, ma'm.	"Yes, a many do come 'ere-especially hartists-to see this gallery. They say as 'ow 'is lordship wouldn't take a thousand pounds for this one, ma'm.	false	555.11	565.17	21.201593
5290_26685_000021_000001	We'll let in a little more light.	We'll let in a little more light.	true	565.17	566.89	21.950983
5290_26685_000021_000002	A Vandyke--and worth it's weight in gold."	A Vandyke-and worth it's weight in gold."	true	567.17	570.25	25.05411
5290_26685_000022_000000	Cassandra watched him cross the floor, his short bow legs reflected grotesquely in its shining surface as he walked, then turned and gazed again at the life-size, half-length portrait of a young man with sunny hair like David's and warm brown eyes.	Cassandra watched him cross the floor, his short bow legs reflected grotesquely in its shining surface as he walked, then turned and gazed again at the life-size, half length portrait of a young man with sunny hair like David's and warm brown eyes.	true	570.98	586.9	23.195255
5290_26685_000023_000000	"There, you see, it's more than a Vandyke to the family, ma'm, for it's a hancestor, and my wife says it's as like as two peas to 'is young lordship, who has just come into the title, ma'm.	"There, you see, it's more than a Vandyke to the family, ma'm, for it's a hancestor, and my wife says it's as like as two peas to 'is young lordship, who has just come into the title, ma'm.	false	587.39	600.33	22.466448
5290_26685_000023_000001	And that's strange, isn't it, for 'im to look so like, being as 'e belonged to the younger branch who 'aven't 'eld the title for four generations; but come to dress 'im in velvet and gold lace, and the likeness would be nigh as perfect as if 'e 'ad stood for it."	And that's strange, isn't it, for 'im to look so like, being as 'e belonged to the younger branch who 'aven't 'eld the title for four generations; but come to dress 'im in velvet and gold lace, and the likeness would be nigh as perfect as if 'e 'ad stood for it."	false	600.33	616.15	23.110624
5290_26685_000024_000000	Cassandra gazed so long silently at this picture that again the little man coughed his deprecatory cough and essayed to lead her on; but she was seeing visions and did not heed him.	Cassandra gazed so long silently at this picture that again the little man coughed his deprecatory cough and essayed to lead her on; but she was seeing visions and did not heed him.	false	616.91	629.68	22.01052
5290_26685_000024_000001	When at last she turned, her gray eyes had deepened, and a clearly defined spot of delicate red burned on one pale cheek.	When at last she turned, her gray eyes had deepened, and a clearly defined spot of delicate red burned on one pale cheek.	false	630.08	638.59	24.039274
5290_26685_000024_000002	She drew a deep breath and looked down the length of the long gallery.	She drew a deep breath and looked down the length of the long gallery.	true	638.81	642.79	23.288628
5290_26685_000024_000003	Everything was being impressed upon her mind as upon sensitized paper.	Everything was being impressed upon her mind as upon sensitized paper.	true	643.46	647.56	22.084743
5290_26685_000025_000000	She followed slowly in the old man's wake, never opening her lips until they had made the circuit and were again standing before the portrait of the fair-haired youth.	She followed slowly in the old man's wake, never opening her lips until they had made the circuit and were again standing before the portrait of the fair haired youth.	true	648.65	658.3	22.632841
5290_26685_000025_000001	Then, roused suddenly by a direct question, she responded.	Then, roused suddenly by a direct question, she responded.	false	658.91	662.59	21.821651
5290_26685_000026_000000	The old servant was saying: "You 'aven't 'appened to meet a Samuel Cutter in America, 'ave you?	The old servant was saying: "You 'aven't 'appened to meet a Samuel Cutter in America, 'ave you?	true	663.05	668.68	23.87778
5290_26685_000026_000001	'E's our son.	'E's our son.	true	669.08	670.39	23.118065
5290_26685_000026_000002	England was too slow for 'im. Young men aren't like old ones; they wants hadventure, and they gets it. That's 'ow so many of 'em joins the harmy and gets killed like 'is lordship's two sons, and young Lord Thryng's brother as would 'ave been 'is lordship, if 'e' ad lived.	England was too slow for 'im. Young men aren't like old ones; they wants hadventure, and they gets it. That's 'ow so many of 'em joins the harmy and gets killed like 'is lordship's two sons, and young Lord Thryng's brother as would 'ave been 'is lordship, if 'e' ad lived.	false	670.61	688.6	22.170444
5290_26685_000026_000003	You 'aven't 'appened to know a Samuel Cutter over there?	You 'aven't 'appened to know a Samuel Cutter over there?	false	688.91	691.99	23.360125
5290_26685_000026_000004	'E went to Canada."	'E went to Canada."	false	692.51	695.13	23.18285
5290_26685_000027_000000	"No, I never met any one by that name.	"No, I never met any one by that name.	true	695.13	698.29	21.299349
5290_26685_000027_000001	I live a long way from Canada."	I live a long way from Canada."	true	698.42	700.54	19.071861
5290_26685_000028_000000	"About 'ow far do you think, ma'm?"	"About 'ow far do you think, ma'm?"	true	700.85	702.76	26.146402
5290_26685_000029_000000	Cassandra had no idea of the distance, but she knew how long David and Hoyle were journeying there, so she answered as best she could.	Cassandra had no idea of the distance, but she knew how long David and Hoyle were journeying there, so she answered as best she could.	true	703.58	711.34	21.761774
5290_26685_000029_000001	"It takes three or four days to get there from my home."	"It takes three or four days to get there from my home."	true	711.8	715.69	22.865881
5290_26685_000030_000000	The old man's eyes opened wide, and his jaw dropped.	The old man's eyes opened wide, and his jaw dropped.	true	716.48	720.04	25.047586
5290_26685_000030_000001	"It's a big country--America is.	"It's a big country-America is.	true	720.5	722.86	27.071468
5290_26685_000030_000002	England may be a small place, but she 'as tremendous big possessions." He felt it all belonged to England, and spoke with swelling pride as his short legs carried him toward the door. There again he paused.	England may be a small place, but she 'as tremendous big possessions." He felt it all belonged to England, and spoke with swelling pride as his short legs carried him toward the door. There again he paused.	true	723.17	737.32	22.049788
5290_26685_000030_000003	He had learned nothing of this young woman to tell his old wife, except that she came from America, and had never met Samuel Cutter.	He had learned nothing of this young woman to tell his old wife, except that she came from America, and had never met Samuel Cutter.	true	737.42	744.73	22.714289
5290_26685_000030_000004	The mystery was still unsolved.	The mystery was still unsolved.	true	745.22	747.49	21.526237
5290_26685_000031_000000	"Yes, 'is young lordship do look amazing like that picture.	"Yes, 'is young lordship do look amazing like that picture.	true	748.25	752.26	23.369436
5290_26685_000031_000001	If you'd ever seen 'im, you'd think 'e'd dressed up in velvet and lace and stood for it.	If you'd ever seen 'im, you'd think 'e'd dressed up in velvet and lace and stood for it.	true	752.54	757.12	23
5290_26685_000031_000002	'E's lived in America five years, but if you never were in Canada and never met our Sammy, it's more likely you never saw 'im either."	'E's lived in America five years, but if you never were in Canada and never met our Sammy, it's more likely you never saw 'im either."	true	757.34	765.43	22.639427
5290_26685_000032_000000	"Is he at their country home also?" Cassandra asked.	"Is he at their country home also?" Cassandra asked.	false	766.43	770.32	24.572996
5290_26685_000032_000001	She had seated herself in the hall, for her heart throbbed chokingly, and the lump was heavy in her throat.	She had seated herself in the hall, for her heart throbbed chokingly, and the lump was heavy in her throat.	true	770.78	777.31	21.976
5290_26685_000032_000002	It was as she had dreamed sometimes, when her feet seemed to cling to the earth, and would not lift her weight up some steep hill.	It was as she had dreamed sometimes, when her feet seemed to cling to the earth, and would not lift her weight up some steep hill.	false	777.59	784.6	21.697115
5290_26685_000033_000000	"'Is lordship is still in Hafrica, mam.	"'Is lordship is still in Hafrica, mam.	true	785.39	787.62	24.562866
5290_26685_000033_000001	'E 'ave been a great traveller, but 'e can't stay much longer now, for Lady Laura is to 'ave a grand coming out, and 'is lordship is to be married.	'E 'ave been a great traveller, but 'e can't stay much longer now, for Lady Laura is to 'ave a grand coming out, and 'is lordship is to be married.	false	787.62	796.75	23.216118
5290_26685_000033_000002	Her ladyship's 'eart is set on it, and on 'is marrying 'igh, too.	Her ladyship's 'eart is set on it, and on 'is marrying 'i g h, too.	false	797.09	802.08	22.75335
5290_26685_000033_000003	That's gossip, you know."	That's gossip, you know."	true	802.08	803.35	25.766544
5290_26685_000034_000000	Cassandra rose and stood suddenly poised for flight.	Cassandra rose and stood suddenly poised for flight.	true	804.35	807.42	20.87274
5290_26685_000034_000001	She must get out of that house and hear no more.	She must get out of that house and hear no more.	true	807.42	809.92	22.101242
5290_26685_000034_000002	She had a silver shilling in her hand, for Betty Towers had told her all servants expected a tip, and this was intended for the cabman.	She had a silver shilling in her hand, for Betty Towers had told her all servants expected a tip, and this was intended for the cabman.	true	810.17	818.41	22.411348
5290_26685_000034_000003	Had she followed her impulse, she would have darted by with her fingers in her ears, but instead, she dropped the shilling in the old man's hand, and quietly turned toward the door.	Had she followed her impulse, she would have darted by with her fingers in her ears, but instead, she dropped the shilling in the old man's hand, and quietly turned toward the door.	true	818.84	828.49	22.329157
5290_26685_000035_000000	"Thank you," his fingers closed over the shilling.	"Thank you," his fingers closed over the shilling.	true	829.01	832.99	21.297531
5290_26685_000035_000001	Her pallor struck him then, even as the red spot on her cheek deepened, and he held out his arms for the child.	Her pallor struck him then, even as the red spot on her cheek deepened, and he held out his arms for the child.	true	833.27	840.07	25.22061
5290_26685_000036_000000	"Let me carry 'im for you, ma'm.	"Let me carry 'im for you, ma'm.	true	840.38	842.41	22.754728
5290_26685_000036_000001	Is it a boy?"	Is it a boy?"	true	842.45	843.73	23.444632
5290_26685_000037_000000	But her arms closed tighter about her baby.	But her arms closed tighter about her baby.	true	843.92	846.28	21.758587
5290_26685_000037_000001	"He is my little son." It was almost a cry, as she said it, but again she forced herself to calmness, and, walking slowly out, added, with a quiet smile: "I always keep him myself.	"He is my little son." It was almost a cry, as she said it, but again she forced herself to calmness, and, walking slowly out, added, with a quiet smile: "I always keep him myself.	true	846.53	858.675	21.85507
5290_26685_000037_000002	We do in America."	We do in America."	true	858.675	860.26	28.284729
5290_26685_000038_000000	In a moment she was gone.	In a moment she was gone.	true	860.93	862.78	23.36209
5290_26685_000038_000001	The warm sunlight burst in on them and flooded the cold hall as the old man stood in the doorway looking after the retreating cab, and down at the silver shilling.	The warm sunlight burst in on them and flooded the cold hall as the old man stood in the doorway looking after the retreating cab, and down at the silver shilling.	false	863.15	872.41	21.081547
5290_26685_000039_000000	Darker, dingier, stuffier, seemed the box of a room, as she walked into it and laid her still sleeping babe on the bed.	Darker, dingier, stuffier, seemed the box of a room, as she walked into it and laid her still sleeping babe on the bed.	true	873.86	881.71	25.017199
5290_26685_000039_000001	She felt herself moving in an unreal world.	She felt herself moving in an unreal world.	true	882.14	885.01	20.431269
5290_26685_000039_000002	David--her David--she had not come to him after all; she had come to an empty place.	David-her David-she had not come to him after all; she had come to an empty place.	true	885.08	891.07	22.726557
5290_26685_000039_000003	She knelt and threw her arms about her little son, encircling his head and his feet.	She knelt and threw her arms about her little son, encircling his head and his feet.	false	891.38	896.08	20.727243
5290_26685_000039_000004	She neither wept nor prayed; and the red spot burned against the creamy whiteness of her skin.	She neither wept nor prayed; and the red spot burned against the creamy whiteness of her skin.	true	896.21	902.14	25.560644
5290_26685_000039_000005	She was not thinking, only looking, seeing into the past and down the long vista of her future.	She was not thinking, only looking, seeing into the past and down the long vista of her future.	true	902.42	908.86	21.360222
5290_26685_000040_000000	Pictures came to her--pictures of her girlhood--her dim aspirations--her melancholy-eyed father--his hilltop--and beloved, sunlit mountains.	Pictures came to her-pictures of her girlhood-her dim aspirations-her melancholy eyed father-his hilltop-and beloved, sunlit mountains.	false	909.59	919.84	22.741882
5290_26685_000040_000001	In the radiance of the spring, she saw them, and in the glory of the autumn; she breathed the fragrance of the pines in winter and heard the soft patter of summer rains on widespreading leaves.	In the radiance of the spring, she saw them, and in the glory of the autumn; she breathed the fragrance of the pines in winter and heard the soft patter of summer rains on widespreading leaves.	true	920.33	931.96	22.304977
5290_26685_000040_000002	She saw David walking at her side, and heard his laugh, sun-bright and glorious he seemed, her Phoebus Apollo--the father of her little son.	She saw David walking at her side, and heard his laugh, sun bright and glorious he seemed, her Phoebus Apollo-the father of her little son.	true	932.18	941.86	24.0457
5290_26685_000041_000000	She saw the terrible sea which she had crossed to come to him--the white-crested waves, with turquoise lights and indigo depths, shifting and sliding unceasingly where all the world seemed swallowed in space, and the huge steamship so small a thing in the vast and perilous deep; and now--now she was here.	She saw the terrible sea which she had crossed to come to him-the white crested waves, with turquoise lights and indigo depths, shifting and sliding unceasingly where all the world seemed swallowed in space, and the huge steamship so small a thing in the vast and perilous deep; and now-now she was here.	true	942.62	963.07	22.188545
5290_26685_000041_000001	What was she?	What was she?	true	963.56	964.93	23.531025
5290_26685_000041_000002	What was life?	What was life?	true	965.3	966.7	19.460136
5290_26685_000042_000000	She had tried to find him, her David, and had been shown the dead, and the glory of the dead--all past and gone--her David's glory.	She had tried to find him, her David, and had been shown the dead, and the glory of the dead-all past and gone-her David's glory.	true	967.31	976.15	25.044333
5290_26685_000042_000001	Shown that long, empty gallery resounding with those aged footsteps, and the pictures--pictures--pictures--of men and women who had once been babes like her little son and David's, now dead and gone--not one soul among them all to greet her.	Shown that long, empty gallery resounding with those aged footsteps, and the pictures-pictures-pictures-of men and women who had once been babes like her little son and David's, now dead and gone-not one soul among them all to greet her.	true	976.43	992.32	21.59915
5290_26685_000042_000002	Proud lords and dames in frames of gold; young men and maidens in costly silks and velvets of marvellous dyes, red-cheeked, red-lipped, and soullessly silent; and she, alone and undefended in their midst, holding in her arms their last descendant. All those painted fingers seemed lifted to point at her; those silent red lips parted to cry out at her, "Look at this stranger claiming to be one of us; send her away."	Proud lords and dames in frames of gold; young men and maidens in costly silks and velvets of marvellous dyes, red cheeked, red lipped, and soullessly silent; and she, alone and undefended in their midst, holding in her arms their last descendant. All those painted fingers seemed lifted to point at her; those silent red lips parted to cry out at her, "Look at this stranger claiming to be one of us; send her away."	false	992.78	1022.86	21.578691
5290_26685_000043_000000	And David--her David--was one of these!	And David-her David-was one of these!	true	1023.5	1027.18	24.158026
5290_26685_000043_000001	What they had felt--what they had thought and striven for--was it all intensified and concentrated in him?	What they had felt-what they had thought and striven for-was it all intensified and concentrated in him?	true	1027.34	1034.53	23.649967
5290_26685_000043_000002	Oh, if her soul could only reach to him, wherever he was, and penetrate this impalpable veil that stretched between them!	Oh, if her soul could only reach to him, wherever he was, and penetrate this impalpable veil that stretched between them!	true	1034.99	1042.06	20
5290_26685_000043_000003	If her hands could only touch him, her eyes look into his and see what lay in their depths for her!	If her hands could only touch him, her eyes look into his and see what lay in their depths for her!	false	1042.34	1048.75	20.708225
