512_124520_000004_000000	GOPHER PRAIRIE was digging in for the winter.	GOPHER PRAIRIE was digging in for the winter.
512_124520_000033_000000	"It's infuriating to have to pay attention to what people think.	"It's infuriating to have to pay attention to what people think.
512_124520_000033_000002	But here I'm spied on.	But here I'm spied on.
512_124520_000033_000003	They're watching me.	They're watching me.
512_124520_000034_000000	III	three
512_124520_000035_000000	A thaw which stripped the snow from the sidewalks; a ringing iron night when the lakes could be heard booming; a clear roistering morning.	A thaw which stripped the snow from the sidewalks; a ringing iron night when the lakes could be heard booming; a clear roistering morning.
512_124520_000035_000001	In tam o'shanter and tweed skirt Carol felt herself a college junior going out to play hockey.	In tam o'shanter and tweed skirt Carol felt herself a college junior going out to play hockey.
512_124520_000035_000002	She wanted to whoop, her legs ached to run.	She wanted to whoop, her legs ached to run.
512_124520_000035_000004	She galloped down a block and as she jumped from a curb across a welter of slush, she gave a student "Yippee!"	She galloped down a block and as she jumped from a curb across a welter of slush, she gave a student "Yippee!"
512_124520_000036_000002	Across the street, at another window, the curtain had secretively moved.	Across the street, at another window, the curtain had secretively moved.
512_124520_000036_000003	She stopped, walked on sedately, changed from the girl Carol into Mrs. Dr. Kennicott.	She stopped, walked on sedately, changed from the girl Carol into mrs dr Kennicott.
512_124520_000040_000002	Then the town exploded.	Then the town exploded.
512_124520_000042_000000	Carol stepped into a sirocco of furnace heat.	Carol stepped into a sirocco of furnace heat.
512_124520_000042_000001	They were already playing. Despite her flabby resolves she had not yet learned bridge.	They were already playing. Despite her flabby resolves she had not yet learned bridge.
512_124520_000044_000002	She twittered, "You're perfectly right.	She twittered, "You're perfectly right.
512_124520_000044_000003	I'm a lazy thing.	I'm a lazy thing.
512_124520_000050_000001	Some one giggled.	Some one giggled.
512_124520_000052_000005	The olives need not be stuffed.	The olives need not be stuffed.
512_124520_000054_000000	She tried to get back into the current.	She tried to get back into the current.
512_124520_000055_000002	She talked.	She talked.
512_124520_000055_000004	Isn't the country lovely!	Isn't the country lovely!
512_124520_000056_000000	"Oh, do you THINK so?" protested Mrs. Jackson Elder.	"Oh, do you THINK so?" protested mrs Jackson Elder.
512_124520_000058_000000	Juanita Haydock rattled, "They're ungrateful, all that class of people. I do think the domestic problem is simply becoming awful.	Juanita Haydock rattled, "They're ungrateful, all that class of people. I do think the domestic problem is simply becoming awful.
512_124520_000059_000000	They were off, riding hard.	They were off, riding hard.
512_124520_000061_000000	Mrs. Dave Dyer snapped, "Honest?	mrs Dave Dyer snapped, "Honest?
512_124520_000061_000001	Do you call it honest to hold us up for every cent of pay they can get?	Do you call it honest to hold us up for every cent of pay they can get?
512_124520_000062_000000	"How much do the maids get here?" Carol ventured.	"How much do the maids get here?" Carol ventured.
512_124520_000063_000000	Mrs. B. J. Gougerling, wife of the banker, stated in a shocked manner, "Any place from three-fifty to five-fifty a week!	mrs b j Gougerling, wife of the banker, stated in a shocked manner, "Any place from three fifty to five fifty a week!
512_124520_000063_000001	I know positively that Mrs. Clark, after swearing that she wouldn't weaken and encourage them in their outrageous demands, went and paid five-fifty--think of it! practically a dollar a day for unskilled work and, of course, her food and room and a chance to do her own washing right in with the rest of the wash.	I know positively that mrs Clark, after swearing that she wouldn't weaken and encourage them in their outrageous demands, went and paid five fifty-think of it! practically a dollar a day for unskilled work and, of course, her food and room and a chance to do her own washing right in with the rest of the wash.
512_124520_000063_000002	HOW MUCH DO YOU PAY, Mrs. KENNICOTT?"	HOW MUCH DO YOU PAY, mrs KENNICOTT?"
512_124520_000064_000000	"Yes!	"Yes!
512_124520_000064_000001	How much do you pay?" insisted half a dozen.	How much do you pay?" insisted half a dozen.
512_124520_000066_000000	They gasped.	They gasped.
512_124520_000067_000000	Carol was angry.	Carol was angry.
512_124520_000067_000001	"I don't care!	"I don't care!
512_124520_000067_000002	A maid has one of the hardest jobs on earth.	A maid has one of the hardest jobs on earth.
512_124520_000069_000000	Carol was retorting, "But a maid does it for strangers, and all she gets out of it is the pay----"	Carol was retorting, "But a maid does it for strangers, and all she gets out of it is the pay----"
512_124520_000070_000000	Their eyes were hostile.	Their eyes were hostile.
512_124520_000071_000001	What angry passions--and what an idiotic discussion!	What angry passions-and what an idiotic discussion!
512_124520_000071_000003	Stop it!	Stop it!
512_124520_000071_000004	Carol Kennicott, you're probably right, but you're too much ahead of the times.	Carol Kennicott, you're probably right, but you're too much ahead of the times.
512_124520_000071_000005	Juanita, quit looking so belligerent.	Juanita, quit looking so belligerent.
512_124520_000071_000006	What is this, a card party or a hen fight? Carol, you stop admiring yourself as the Joan of Arc of the hired girls, or I'll spank you.	What is this, a card party or a hen fight? Carol, you stop admiring yourself as the Joan of Arc of the hired girls, or I'll spank you.
512_124520_000071_000008	Boooooo!	Boooooo!
512_124520_000071_000009	If there's any more pecking, I'll take charge of the hen roost myself!"	If there's any more pecking, I'll take charge of the hen roost myself!"
512_124520_000072_000000	They all laughed artificially, and Carol obediently "talked libraries."	They all laughed artificially, and Carol obediently "talked libraries."
512_124520_000077_000001	We have two thousand more books than Wakamin."	We have two thousand more books than Wakamin."
512_124520_000078_000002	I've had some experience, in St. Paul."	I've had some experience, in saint Paul."
512_124520_000079_000000	"So I have been informed.	"So I have been informed.
512_124520_000081_000000	"You feel so?	"You feel so?
512_124520_000087_000000	She walked home.	She walked home.
512_124520_000087_000004	Only----I can't!	Only----I can't!
