14_208_000000_000000	CHAPTER 11	CHAPTER eleven	true	25.305	30.85	17.046907
14_208_000015_000002	This is just the time of day for it to clear up, and I do think it looks a little lighter.	This is just the time of day for it to clear up, and I do think it looks a little lighter.	true	194.66	198.55	21
14_208_000015_000003	There, it is twenty minutes after twelve, and now I shall give it up entirely.	There, it is twenty minutes after twelve, and now I shall give it up entirely.	true	199.22	203.02	22.701416
14_208_000015_000004	Oh!	Oh!	true	203.12	203.89	17.393595
14_208_000015_000005	That we had such weather here as they had at Udolpho, or at least in Tuscany and the south of France!--the night that poor St. Aubin died!--such beautiful weather!"	That we had such weather here as they had at Udolpho, or at least in Tuscany and the south of France!--the night that poor st Aubin died!--such beautiful weather!"	false	204.5	214.3	22.13518
14_208_000016_000000	At half past twelve, when Catherine's anxious attention to the weather was over and she could no longer claim any merit from its amendment, the sky began voluntarily to clear.	At half past twelve, when Catherine's anxious attention to the weather was over and she could no longer claim any merit from its amendment, the sky began voluntarily to clear.	false	216.11	226.75	21.794796
14_208_000016_000001	A gleam of sunshine took her quite by surprise; she looked round; the clouds were parting, and she instantly returned to the window to watch over and encourage the happy appearance. Ten minutes more made it certain that a bright afternoon would succeed, and justified the opinion of Mrs. Allen, who had "always thought it would clear up." But whether Catherine might still expect her friends, whether there had not been too much rain for Miss Tilney to venture, must yet be a question.	A gleam of sunshine took her quite by surprise; she looked round; the clouds were parting, and she instantly returned to the window to watch over and encourage the happy appearance. Ten minutes more made it certain that a bright afternoon would succeed, and justified the opinion of mrs Allen, who had "always thought it would clear up." But whether Catherine might still expect her friends, whether there had not been too much rain for Miss Tilney to venture, must yet be a question.	true	227.51	256.12	20.487219
14_208_000017_000000	It was too dirty for Mrs. Allen to accompany her husband to the pump-room; he accordingly set off by himself, and Catherine had barely watched him down the street when her notice was claimed by the approach of the same two open carriages, containing the same three people that had surprised her so much a few mornings back.	It was too dirty for mrs Allen to accompany her husband to the pump room; he accordingly set off by himself, and Catherine had barely watched him down the street when her notice was claimed by the approach of the same two open carriages, containing the same three people that had surprised her so much a few mornings back.	true	258.71	277.36	20.336256
14_208_000018_000000	"Isabella, my brother, and Mr. Thorpe, I declare!	"Isabella, my brother, and mr Thorpe, I declare!	true	278.87	281.89	23
14_208_000018_000001	They are coming for me perhaps--but I shall not go--I cannot go indeed, for you know Miss Tilney may still call." Mrs. Allen agreed to it.	They are coming for me perhaps-but I shall not go-I cannot go indeed, for you know Miss Tilney may still call." mrs Allen agreed to it.	true	282.35	291.58	21.715378
14_208_000018_000002	John Thorpe was soon with them, and his voice was with them yet sooner, for on the stairs he was calling out to Miss Morland to be quick.	john Thorpe was soon with them, and his voice was with them yet sooner, for on the stairs he was calling out to Miss Morland to be quick.	true	291.74	298.66	22.185572
14_208_000018_000003	"Make haste!	"Make haste!	true	299.15	299.85	23
14_208_000018_000004	Make haste!" as he threw open the door.	Make haste!" as he threw open the door.	true	299.85	301.87	20
14_208_000018_000005	"Put on your hat this moment--there is no time to be lost--we are going to Bristol.	"Put on your hat this moment-there is no time to be lost-we are going to Bristol.	true	301.94	305.95	19.681482
14_208_000018_000006	How d'ye do, Mrs. Allen?"	How d'ye do, mrs Allen?"	false	305.99	307.51	19.747627
14_208_000019_000000	"To Bristol!	"To Bristol!	true	309.17	310.24	26.768318
14_208_000019_000001	Is not that a great way off?	Is not that a great way off?	false	310.31	312.13	25.890444
14_208_000019_000002	But, however, I cannot go with you today, because I am engaged; I expect some friends every moment." This was of course vehemently talked down as no reason at all; Mrs. Allen was called on to second him, and the two others walked in, to give their assistance.	But, however, I cannot go with you today, because I am engaged; I expect some friends every moment." This was of course vehemently talked down as no reason at all; mrs Allen was called on to second him, and the two others walked in, to give their assistance.	true	312.23	327.52	20.940514
14_208_000019_000003	"My sweetest Catherine, is not this delightful?	"My sweetest Catherine, is not this delightful?	true	328.46	331.57	20.659025
14_208_000019_000004	We shall have a most heavenly drive.	We shall have a most heavenly drive.	true	331.58	333.61	18.625051
14_208_000019_000005	You are to thank your brother and me for the scheme; it darted into our heads at breakfast-time, I verily believe at the same instant; and we should have been off two hours ago if it had not been for this detestable rain.	You are to thank your brother and me for the scheme; it darted into our heads at breakfast time, I verily believe at the same instant; and we should have been off two hours ago if it had not been for this detestable rain.	true	333.65	345.01	19.8935
14_208_000019_000006	But it does not signify, the nights are moonlight, and we shall do delightfully.	But it does not signify, the nights are moonlight, and we shall do delightfully.	true	345.2	348.91	19
14_208_000019_000007	Oh!	Oh!	true	349.34	350.115	25.838758
14_208_000019_000008	I am in such ecstasies at the thoughts of a little country air and quiet!	I am in such ecstasies at the thoughts of a little country air and quiet!	true	350.115	354.01	22.330456
14_208_000019_000009	So much better than going to the Lower Rooms.	So much better than going to the Lower Rooms.	true	354.17	356.68	20
14_208_000019_000010	We shall drive directly to Clifton and dine there; and, as soon as dinner is over, if there is time for it, go on to Kingsweston."	We shall drive directly to Clifton and dine there; and, as soon as dinner is over, if there is time for it, go on to Kingsweston."	false	356.87	363.73	21.034052
14_208_000020_000000	"I doubt our being able to do so much," said Morland.	"I doubt our being able to do so much," said Morland.	true	366.2	369.16	21
14_208_000021_000000	"You croaking fellow!" cried Thorpe.	"You croaking fellow!" cried Thorpe.	true	369.5	371.65	22.51045
14_208_000021_000001	"We shall be able to do ten times more.	"We shall be able to do ten times more.	true	371.69	373.665	21
14_208_000021_000002	Kingsweston!	Kingsweston!	true	373.665	374.65	20.031616
14_208_000021_000003	Aye, and Blaize Castle too, and anything else we can hear of; but here is your sister says she will not go."	Aye, and Blaize Castle too, and anything else we can hear of; but here is your sister says she will not go."	true	374.75	380.92	23.172033
14_208_000022_000000	"Blaize Castle!" cried Catherine.	"Blaize Castle!" cried Catherine.	true	382.01	384.43	24.083254
14_208_000022_000001	"What is that?"	"What is that?"	true	384.98	386.05	23.603638
14_208_000023_000000	"The finest place in England--worth going fifty miles at any time to see."	"The finest place in England-worth going fifty miles at any time to see."	true	387.56	391.51	20.636276
14_208_000024_000000	"What, is it really a castle, an old castle?"	"What, is it really a castle, an old castle?"	true	393.05	395.98	23.859415
14_208_000025_000000	"The oldest in the kingdom."	"The oldest in the kingdom."	true	396.89	398.41	22.453655
14_208_000026_000000	"But is it like what one reads of?"	"But is it like what one reads of?"	true	399.89	401.8	20.383593
14_208_000027_000000	"Exactly--the very same."	"Exactly-the very same."	true	402.95	406.36	19.713598
14_208_000028_000000	"But now really--are there towers and long galleries?"	"But now really-are there towers and long galleries?"	false	407.18	410.32	19
14_208_000029_000000	"By dozens."	"By dozens."	true	411.11	412.2	17.082798
14_208_000030_000000	"Then I should like to see it; but I cannot--I cannot go."	"Then I should like to see it; but I cannot-I cannot go."	false	412.2	416.65	21.015549
14_208_000031_000000	"Not go!	"Not go!	true	417.14	418.15	22.91
14_208_000031_000001	My beloved creature, what do you mean?"	My beloved creature, what do you mean?"	true	418.16	420.13	17.673311
14_208_000032_000000	"I cannot go, because"--looking down as she spoke, fearful of Isabella's smile--"I expect Miss Tilney and her brother to call on me to take a country walk.	"I cannot go, because"--looking down as she spoke, fearful of Isabella's smile-"I expect Miss Tilney and her brother to call on me to take a country walk.	true	421.13	431.08	21.070347
14_208_000032_000001	They promised to come at twelve, only it rained; but now, as it is so fine, I dare say they will be here soon."	They promised to come at twelve, only it rained; but now, as it is so fine, I dare say they will be here soon."	true	431.24	438.01	21.406511
14_208_000033_000000	"Not they indeed," cried Thorpe; "for, as we turned into Broad Street, I saw them--does he not drive a phaeton with bright chestnuts?"	"Not they indeed," cried Thorpe; "for, as we turned into Broad Street, I saw them-does he not drive a phaeton with bright chestnuts?"	true	439.34	446.56	22.93315
14_208_000034_000000	"I do not know indeed."	"I do not know indeed."	true	447.65	449.14	21.3622
14_208_000035_000000	"Yes, I know he does; I saw him.	"Yes, I know he does; I saw him.	true	449.75	451.9	16.654982
14_208_000035_000001	You are talking of the man you danced with last night, are not you?"	You are talking of the man you danced with last night, are not you?"	true	452.03	454.75	19.84626
14_208_000036_000000	"Yes."	"Yes."	true	455.66	456.61	15.815885
14_208_000037_000000	"Well, I saw him at that moment turn up the Lansdown Road, driving a smart-looking girl."	"Well, I saw him at that moment turn up the Lansdown Road, driving a smart looking girl."	false	457.7	461.89	21
14_208_000038_000000	"Did you indeed?"	"Did you indeed?"	true	463.19	464.44	27.64623
14_208_000039_000000	"Did upon my soul; knew him again directly, and he seemed to have got some very pretty cattle too."	"Did upon my soul; knew him again directly, and he seemed to have got some very pretty cattle too."	true	464.93	469.68	20.577639
14_208_000040_000000	"It is very odd!	"It is very odd!	false	469.68	472.5	18.60599
14_208_000040_000001	But I suppose they thought it would be too dirty for a walk."	But I suppose they thought it would be too dirty for a walk."	true	472.5	475.21	21.662668
14_208_000041_000000	"And well they might, for I never saw so much dirt in my life.	"And well they might, for I never saw so much dirt in my life.	true	476.27	479.505	20.54499
14_208_000041_000001	Walk! You could no more walk than you could fly!	Walk! You could no more walk than you could fly!	true	479.505	481.995	19.96962
14_208_000041_000002	It has not been so dirty the whole winter; it is ankle-deep everywhere."	It has not been so dirty the whole winter; it is ankle deep everywhere."	true	481.995	485.83	23.014824
14_208_000042_000000	Isabella corroborated it: "My dearest Catherine, you cannot form an idea of the dirt; come, you must go; you cannot refuse going now."	Isabella corroborated it: "My dearest Catherine, you cannot form an idea of the dirt; come, you must go; you cannot refuse going now."	true	487.22	495.49	20.405142
14_208_000043_000000	"I should like to see the castle; but may we go all over it?	"I should like to see the castle; but may we go all over it?	true	497	501.34	19.06399
14_208_000043_000001	May we go up every staircase, and into every suite of rooms?"	May we go up every staircase, and into every suite of rooms?"	true	501.38	504.91	17
14_208_000044_000000	"Yes, yes, every hole and corner."	"Yes, yes, every hole and corner."	true	505.97	508.12	20.185734
14_208_000045_000000	"But then, if they should only be gone out for an hour till it is dryer, and call by and by?"	"But then, if they should only be gone out for an hour till it is dryer, and call by and by?"	true	509.63	514.54	21.577797
14_208_000046_000000	"Make yourself easy, there is no danger of that, for I heard Tilney hallooing to a man who was just passing by on horseback, that they were going as far as Wick Rocks."	"Make yourself easy, there is no danger of that, for I heard Tilney hallooing to a man who was just passing by on horseback, that they were going as far as Wick Rocks."	true	516.23	524.83	20
14_208_000047_000000	"Then I will.	"Then I will.	true	526.73	527.98	20
14_208_000047_000001	Shall I go, Mrs. Allen?"	Shall I go, mrs Allen?"	true	528.32	530.05	17.72758
14_208_000048_000000	"Just as you please, my dear."	"Just as you please, my dear."	true	531.32	532.9	19.692778
14_208_000049_000000	"Mrs. Allen, you must persuade her to go," was the general cry.	"mrs Allen, you must persuade her to go," was the general cry.	true	534.5	538.035	19.298851
14_208_000049_000001	Mrs. Allen was not inattentive to it: "Well, my dear," said she, "suppose you go." And in two minutes they were off.	mrs Allen was not inattentive to it: "Well, my dear," said she, "suppose you go." And in two minutes they were off.	true	538.035	546.79	21.047083
14_208_000050_000000	Catherine's feelings, as she got into the carriage, were in a very unsettled state; divided between regret for the loss of one great pleasure, and the hope of soon enjoying another, almost its equal in degree, however unlike in kind.	Catherine's feelings, as she got into the carriage, were in a very unsettled state; divided between regret for the loss of one great pleasure, and the hope of soon enjoying another, almost its equal in degree, however unlike in kind.	false	548.75	562.36	21.055323
14_208_000050_000001	She could not think the Tilneys had acted quite well by her, in so readily giving up their engagement, without sending her any message of excuse.	She could not think the Tilneys had acted quite well by her, in so readily giving up their engagement, without sending her any message of excuse.	true	562.82	570.55	20.575798
14_208_000050_000002	It was now but an hour later than the time fixed on for the beginning of their walk; and, in spite of what she had heard of the prodigious accumulation of dirt in the course of that hour, she could not from her own observation help thinking that they might have gone with very little inconvenience.	It was now but an hour later than the time fixed on for the beginning of their walk; and, in spite of what she had heard of the prodigious accumulation of dirt in the course of that hour, she could not from her own observation help thinking that they might have gone with very little inconvenience.	true	571.34	586.69	20.948336
14_208_000050_000003	To feel herself slighted by them was very painful.	To feel herself slighted by them was very painful.	true	587.87	590.65	19.961313
14_208_000050_000004	On the other hand, the delight of exploring an edifice like Udolpho, as her fancy represented Blaize Castle to be, was such a counterpoise of good as might console her for almost anything.	On the other hand, the delight of exploring an edifice like Udolpho, as her fancy represented Blaize Castle to be, was such a counterpoise of good as might console her for almost anything.	true	591.41	602.26	20.330864
14_208_000051_000000	They passed briskly down Pulteney Street, and through Laura Place, without the exchange of many words.	They passed briskly down Pulteney Street, and through Laura Place, without the exchange of many words.	true	604.13	610.48	20.383884
14_208_000051_000001	Thorpe talked to his horse, and she meditated, by turns, on broken promises and broken arches, phaetons and false hangings, Tilneys and trap-doors.	Thorpe talked to his horse, and she meditated, by turns, on broken promises and broken arches, phaetons and false hangings, Tilneys and trap doors.	true	611.03	620.86	20.906372
14_208_000051_000002	As they entered Argyle Buildings, however, she was roused by this address from her companion, "Who is that girl who looked at you so hard as she went by?"	As they entered Argyle Buildings, however, she was roused by this address from her companion, "Who is that girl who looked at you so hard as she went by?"	true	621.77	630.97	20.099958
14_208_000052_000000	"Who?	"Who?	true	632.15	632.655	26.847885
14_208_000052_000001	Where?"	Where?"	true	632.655	633.28	22.489908
14_208_000053_000000	"On the right-hand pavement--she must be almost out of sight now." Catherine looked round and saw Miss Tilney leaning on her brother's arm, walking slowly down the street.	"On the right-hand pavement-she must be almost out of sight now." Catherine looked round and saw Miss Tilney leaning on her brother's arm, walking slowly down the street.	true	635.54	644.5	21.4859
14_208_000053_000001	She saw them both looking back at her. "Stop, stop, Mr. Thorpe," she impatiently cried; "it is Miss Tilney; it is indeed.	She saw them both looking back at her. "Stop, stop, mr Thorpe," she impatiently cried; "it is Miss Tilney; it is indeed.	true	644.84	651.945	23.017347
14_208_000053_000002	How could you tell me they were gone?	How could you tell me they were gone?	true	651.945	653.565	24.683355
14_208_000053_000003	Stop, stop, I will get out this moment and go to them." But to what purpose did she speak? Thorpe only lashed his horse into a brisker trot; the Tilneys, who had soon ceased to look after her, were in a moment out of sight round the corner of Laura Place, and in another moment she was herself whisked into the marketplace.	Stop, stop, I will get out this moment and go to them." But to what purpose did she speak? Thorpe only lashed his horse into a brisker trot; the Tilneys, who had soon ceased to look after her, were in a moment out of sight round the corner of Laura Place, and in another moment she was herself whisked into the marketplace.	false	653.565	671.74	21.183617
14_208_000053_000004	Still, however, and during the length of another street, she entreated him to stop.	Still, however, and during the length of another street, she entreated him to stop.	true	672.53	677.34	21.338531
14_208_000053_000005	"Pray, pray stop, Mr. Thorpe.	"Pray, pray stop, mr Thorpe.	true	677.34	679.845	21.0098
14_208_000053_000006	I cannot go on.	I cannot go on.	true	679.845	681	22.765968
14_208_000053_000007	I will not go on.	I will not go on.	true	681	682.245	18.714281
14_208_000053_000008	I must go back to Miss Tilney." But Mr. Thorpe only laughed, smacked his whip, encouraged his horse, made odd noises, and drove on; and Catherine, angry and vexed as she was, having no power of getting away, was obliged to give up the point and submit. Her reproaches, however, were not spared.	I must go back to Miss Tilney." But mr Thorpe only laughed, smacked his whip, encouraged his horse, made odd noises, and drove on; and Catherine, angry and vexed as she was, having no power of getting away, was obliged to give up the point and submit. Her reproaches, however, were not spared.	true	682.245	701.77	20.612793
14_208_000053_000009	"How could you deceive me so, Mr. Thorpe?	"How could you deceive me so, mr Thorpe?	true	702.53	705.045	17.96456
14_208_000053_000010	How could you say that you saw them driving up the Lansdown Road?	How could you say that you saw them driving up the Lansdown Road?	true	705.045	708.07	20.45502
14_208_000053_000011	I would not have had it happen so for the world.	I would not have had it happen so for the world.	true	709.25	711.82	20.820885
14_208_000053_000012	They must think it so strange, so rude of me!	They must think it so strange, so rude of me!	true	711.98	714.4	20.043232
14_208_000053_000013	To go by them, too, without saying a word! You do not know how vexed I am; I shall have no pleasure at Clifton, nor in anything else.	To go by them, too, without saying a word! You do not know how vexed I am; I shall have no pleasure at Clifton, nor in anything else.	true	714.44	721.72	20.340927
14_208_000053_000014	I had rather, ten thousand times rather, get out now, and walk back to them.	I had rather, ten thousand times rather, get out now, and walk back to them.	true	722.09	726.22	20.437738
14_208_000053_000015	How could you say you saw them driving out in a phaeton?" Thorpe defended himself very stoutly, declared he had never seen two men so much alike in his life, and would hardly give up the point of its having been Tilney himself.	How could you say you saw them driving out in a phaeton?" Thorpe defended himself very stoutly, declared he had never seen two men so much alike in his life, and would hardly give up the point of its having been Tilney himself.	false	726.59	739.45	19.13047
14_208_000054_000000	Their drive, even when this subject was over, was not likely to be very agreeable.	Their drive, even when this subject was over, was not likely to be very agreeable.	true	742.37	746.56	19.787067
14_208_000054_000001	Catherine's complaisance was no longer what it had been in their former airing.	Catherine's complaisance was no longer what it had been in their former airing.	true	747.2	750.88	18
14_208_000054_000002	She listened reluctantly, and her replies were short.	She listened reluctantly, and her replies were short.	true	751.37	754.36	20.090385
14_208_000054_000003	Blaize Castle remained her only comfort; towards that, she still looked at intervals with pleasure; though rather than be disappointed of the promised walk, and especially rather than be thought ill of by the Tilneys, she would willingly have given up all the happiness which its walls could supply--the happiness of a progress through a long suite of lofty rooms, exhibiting the remains of magnificent furniture, though now for many years deserted--the happiness of being stopped in their way along narrow, winding vaults, by a low, grated door; or even of having their lamp, their only lamp, extinguished by a sudden gust of wind, and of being left in total darkness.	Blaize Castle remained her only comfort; towards that, she still looked at intervals with pleasure; though rather than be disappointed of the promised walk, and especially rather than be thought ill of by the Tilneys, she would willingly have given up all the happiness which its walls could supply-the happiness of a progress through a long suite of lofty rooms, exhibiting the remains of magnificent furniture, though now for many years deserted-the happiness of being stopped in their way along narrow, winding vaults, by a low, grated door; or even of having their lamp, their only lamp, extinguished by a sudden gust of wind, and of being left in total darkness.	false	754.97	795.28	20.219524
14_208_000054_000004	In the meanwhile, they proceeded on their journey without any mischance, and were within view of the town of Keynsham, when a halloo from Morland, who was behind them, made his friend pull up, to know what was the matter.	In the meanwhile, they proceeded on their journey without any mischance, and were within view of the town of Keynsham, when a halloo from Morland, who was behind them, made his friend pull up, to know what was the matter.	false	795.74	807.88	18.970005
14_208_000054_000005	The others then came close enough for conversation, and Morland said, "We had better go back, Thorpe; it is too late to go on today; your sister thinks so as well as I. We have been exactly an hour coming from Pulteney Street, very little more than seven miles; and, I suppose, we have at least eight more to go.	The others then came close enough for conversation, and Morland said, "We had better go back, Thorpe; it is too late to go on today; your sister thinks so as well as i We have been exactly an hour coming from Pulteney Street, very little more than seven miles; and, I suppose, we have at least eight more to go.	false	808.76	826.42	18.404781
14_208_000054_000006	It will never do.	It will never do.	true	826.67	827.86	21.228962
14_208_000054_000007	We set out a great deal too late.	We set out a great deal too late.	true	827.87	829.96	19.748407
14_208_000054_000008	We had much better put it off till another day, and turn round."	We had much better put it off till another day, and turn round."	true	830.27	833.5	17
14_208_000055_000000	"It is all one to me," replied Thorpe rather angrily; and instantly turning his horse, they were on their way back to Bath.	"It is all one to me," replied Thorpe rather angrily; and instantly turning his horse, they were on their way back to Bath.	true	836.72	843.22	18
14_208_000056_000000	"If your brother had not got such a d--beast to drive," said he soon afterwards, "we might have done it very well.	"If your brother had not got such a d-beast to drive," said he soon afterwards, "we might have done it very well.	false	846.5	852.91	21.417946
14_208_000056_000001	My horse would have trotted to Clifton within the hour, if left to himself, and I have almost broke my arm with pulling him in to that cursed broken-winded jade's pace.	My horse would have trotted to Clifton within the hour, if left to himself, and I have almost broke my arm with pulling him in to that cursed broken winded jade's pace.	true	853.01	861.19	18
14_208_000056_000002	Morland is a fool for not keeping a horse and gig of his own."	Morland is a fool for not keeping a horse and gig of his own."	true	861.59	864.64	16.99731
14_208_000057_000000	"No, he is not," said Catherine warmly, "for I am sure he could not afford it."	"No, he is not," said Catherine warmly, "for I am sure he could not afford it."	true	866.06	870.37	17.52433
14_208_000058_000000	"And why cannot he afford it?"	"And why cannot he afford it?"	true	871.88	873.61	17.756277
14_208_000059_000000	"Because he has not money enough."	"Because he has not money enough."	true	874.58	876.49	19.40035
14_208_000060_000000	"And whose fault is that?"	"And whose fault is that?"	true	876.92	878.35	19.948765
14_208_000061_000000	"Nobody's, that I know of." Thorpe then said something in the loud, incoherent way to which he had often recourse, about its being a d--thing to be miserly; and that if people who rolled in money could not afford things, he did not know who could, which Catherine did not even endeavour to understand.	"Nobody's, that I know of." Thorpe then said something in the loud, incoherent way to which he had often recourse, about its being a d-thing to be miserly; and that if people who rolled in money could not afford things, he did not know who could, which Catherine did not even endeavour to understand.	false	879.5	896.98	20.110981
14_208_000061_000001	Disappointed of what was to have been the consolation for her first disappointment, she was less and less disposed either to be agreeable herself or to find her companion so; and they returned to Pulteney Street without her speaking twenty words.	Disappointed of what was to have been the consolation for her first disappointment, she was less and less disposed either to be agreeable herself or to find her companion so; and they returned to Pulteney Street without her speaking twenty words.	true	899.12	912.61	18.969002
14_208_000062_000000	As she entered the house, the footman told her that a gentleman and lady had called and inquired for her a few minutes after her setting off; that, when he told them she was gone out with Mr. Thorpe, the lady had asked whether any message had been left for her; and on his saying no, had felt for a card, but said she had none about her, and went away. Pondering over these heart-rending tidings, Catherine walked slowly upstairs.	As she entered the house, the footman told her that a gentleman and lady had called and inquired for her a few minutes after her setting off; that, when he told them she was gone out with mr Thorpe, the lady had asked whether any message had been left for her; and on his saying no, had felt for a card, but said she had none about her, and went away. Pondering over these heart rending tidings, Catherine walked slowly upstairs.	true	913.91	938.11	18.737701
14_208_000062_000001	At the head of them she was met by Mr. Allen, who, on hearing the reason of their speedy return, said, "I am glad your brother had so much sense; I am glad you are come back.	At the head of them she was met by mr Allen, who, on hearing the reason of their speedy return, said, "I am glad your brother had so much sense; I am glad you are come back.	true	938.63	948.82	19.453836
14_208_000062_000002	It was a strange, wild scheme."	It was a strange, wild scheme."	true	948.92	951.1	19.271276
14_208_000063_000000	They all spent the evening together at Thorpe's.	They all spent the evening together at Thorpe's.	true	953.42	955.93	19
14_208_000063_000001	Catherine was disturbed and out of spirits; but Isabella seemed to find a pool of commerce, in the fate of which she shared, by private partnership with Morland, a very good equivalent for the quiet and country air of an inn at Clifton. Her satisfaction, too, in not being at the Lower Rooms was spoken more than once.	Catherine was disturbed and out of spirits; but Isabella seemed to find a pool of commerce, in the fate of which she shared, by private partnership with Morland, a very good equivalent for the quiet and country air of an inn at Clifton. Her satisfaction, too, in not being at the Lower Rooms was spoken more than once.	true	956.12	974.86	19.392582
14_208_000063_000002	"How I pity the poor creatures that are going there!	"How I pity the poor creatures that are going there!	true	975.92	978.43	15
14_208_000063_000003	How glad I am that I am not amongst them!	How glad I am that I am not amongst them!	true	978.77	981.13	19
14_208_000063_000004	I wonder whether it will be a full ball or not!	I wonder whether it will be a full ball or not!	true	981.35	983.86	21
14_208_000063_000005	They have not begun dancing yet.	They have not begun dancing yet.	true	984.08	985.9	18.150074
14_208_000063_000006	I would not be there for all the world.	I would not be there for all the world.	false	986.24	988.42	21.54947
14_208_000063_000007	It is so delightful to have an evening now and then to oneself.	It is so delightful to have an evening now and then to oneself.	true	988.7	992.08	16
14_208_000063_000008	I dare say it will not be a very good ball.	I dare say it will not be a very good ball.	true	992.48	994.87	19.256735
14_208_000063_000009	I know the Mitchells will not be there.	I know the Mitchells will not be there.	true	995.3	997.12	17.868439
