4744_31668_000000_000000	~VI~	~ VI ~	false	8.79	18.99	25.118246
4744_31668_000005_000010	He could not live for long away from them without a strange, acute nostalgia that stole his peace of mind and consequently his strength of body.	He could not live for long away from them without a strange, acute nostalgia that stole his peace of mind and consequently his strength of body.	true	219.71	227.23	21.788834
4744_31668_000005_000011	A forest made him happy and at peace; it nursed and fed and soothed his deepest moods.	A forest made him happy and at peace; it nursed and fed and soothed his deepest moods.	false	227.87	233.02	22.558826
4744_31668_000005_000012	Trees influenced the sources of his life, lowered or raised the very heart-beat in him.	Trees influenced the sources of his life, lowered or raised the very heart beat in him.	true	233.6	238.005	21.244892
4744_31668_000005_000013	Cut off from them he languished as a lover of the sea can droop inland, or a mountaineer may pine in the flat monotony of the plains.	Cut off from them he languished as a lover of the sea can droop inland, or a mountaineer may pine in the flat monotony of the plains.	true	238.005	245.5	21.975592
4744_31668_000006_000000	This she could understand, in a fashion at least, and make allowances for.	This she could understand, in a fashion at least, and make allowances for.	true	245.87	250.12	25.009884
4744_31668_000006_000001	She had yielded gently, even sweetly, to his choice of their English home; for in the little island there is nothing that suggests the woods of wilder countries so nearly as the New Forest.	She had yielded gently, even sweetly, to his choice of their English home; for in the little island there is nothing that suggests the woods of wilder countries so nearly as the New Forest.	false	250.61	261.61	21.509592
4744_31668_000006_000002	It has the genuine air and mystery, the depth and splendor, the loneliness, and there and there the strong, untamable quality of old-time forests as Bittacy of the Department knew them.	It has the genuine air and mystery, the depth and splendor, the loneliness, and there and there the strong, untamable quality of old time forests as Bittacy of the Department knew them.	true	261.86	272.89	21.70068
4744_31668_000007_000000	In a single detail only had he yielded to her wishes.	In a single detail only had he yielded to her wishes.	false	273.44	276.4	19.030817
4744_31668_000007_000001	He consented to a cottage on the edge, instead of in the heart of it.	He consented to a cottage on the edge, instead of in the heart of it.	true	276.89	280.27	21.830433
4744_31668_000007_000002	And for a dozen years now they had dwelt in peace and happiness at the lips of this great spreading thing that covered so many leagues with its tangle of swamps and moors and splendid ancient trees.	And for a dozen years now they had dwelt in peace and happiness at the lips of this great spreading thing that covered so many leagues with its tangle of swamps and moors and splendid ancient trees.	true	280.31	290.26	18
4744_31668_000008_000000	Only with the last two years or so--with his own increasing age, and physical decline perhaps--had come this marked growth of passionate interest in the welfare of the Forest.	Only with the last two years or so-with his own increasing age, and physical decline perhaps-had come this marked growth of passionate interest in the welfare of the Forest.	true	290.75	300.88	21.974411
4744_31668_000008_000001	She had watched it grow, at first had laughed at it, then talked sympathetically so far as sincerity permitted, then had argued mildly, and finally come to realize that its treatment lay altogether beyond her powers, and so had come to fear it with all her heart.	She had watched it grow, at first had laughed at it, then talked sympathetically so far as sincerity permitted, then had argued mildly, and finally come to realize that its treatment lay altogether beyond her powers, and so had come to fear it with all her heart.	false	301.07	313.09	21.217968
4744_31668_000009_000000	The six weeks they annually spent away from their English home, each regarded very differently, of course.	The six weeks they annually spent away from their English home, each regarded very differently, of course.	true	313.28	318.94	23.869375
4744_31668_000009_000001	For her husband it meant a painful exile that did his health no good; he yearned for his trees--the sight and sound and smell of them; but for herself it meant release from a haunting dread--escape.	For her husband it meant a painful exile that did his health no good; he yearned for his trees-the sight and sound and smell of them; but for herself it meant release from a haunting dread-escape.	false	319.1	331.75	22.051725
4744_31668_000009_000002	To renounce those six weeks by the sea on the sunny, shining coast of France, was almost more than this little woman, even with her unselfishness, could face.	To renounce those six weeks by the sea on the sunny, shining coast of France, was almost more than this little woman, even with her unselfishness, could face.	true	331.91	340.72	19.88723
4744_31668_000010_000000	After the first shock of the announcement, she reflected as deeply as her nature permitted, prayed, wept in secret--and made up her mind. Duty, she felt clearly, pointed to renouncement.	After the first shock of the announcement, she reflected as deeply as her nature permitted, prayed, wept in secret-and made up her mind. Duty, she felt clearly, pointed to renouncement.	false	341.12	352.63	22.830694
4744_31668_000010_000001	The discipline would certainly be severe--she did not dream at the moment how severe!--but this fine, consistent little Christian saw it plain; she accepted it, too, without any sighing of the martyr, though the courage she showed was of the martyr order.	The discipline would certainly be severe-she did not dream at the moment how severe!--but this fine, consistent little Christian saw it plain; she accepted it, too, without any sighing of the martyr, though the courage she showed was of the martyr order.	true	353	367.57	22.494808
4744_31668_000010_000002	Her husband should never know the cost.	Her husband should never know the cost.	true	368.03	370.3	22.365078
4744_31668_000010_000003	In all but this one passion his unselfishness was ever as great as her own.	In all but this one passion his unselfishness was ever as great as her own.	true	370.61	374.83	20.86047
4744_31668_000010_000004	The love she had borne him all these years, like the love she bore her anthropomorphic deity, was deep and real.	The love she had borne him all these years, like the love she bore her anthropomorphic deity, was deep and real.	false	375.2	381.19	20.644835
4744_31668_000010_000005	She loved to suffer for them both.	She loved to suffer for them both.	true	381.44	383.53	23.907646
4744_31668_000010_000006	Besides, the way her husband had put it to her was singular.	Besides, the way her husband had put it to her was singular.	true	384.02	387.64	22.25877
4744_31668_000010_000007	It did not take the form of a mere selfish predilection.	It did not take the form of a mere selfish predilection.	true	387.86	391.03	24.402174
4744_31668_000010_000008	Something higher than two wills in conflict seeking compromise was in it from the beginning.	Something higher than two wills in conflict seeking compromise was in it from the beginning.	true	391.34	396.13	23.945326
4744_31668_000011_000000	"I feel, Sophia, it would be really more than I could manage," he said slowly, gazing into the fire over the tops of his stretched-out muddy boots.	"I feel, Sophia, it would be really more than I could manage," he said slowly, gazing into the fire over the tops of his stretched out muddy boots.	false	396.26	404.08	22.045515
4744_31668_000011_000001	"My duty and my happiness lie here with the Forest and with you. My life is deeply rooted in this place.	"My duty and my happiness lie here with the Forest and with you. My life is deeply rooted in this place.	true	404.57	410.77	22.166538
4744_31668_000011_000002	Something I can't define connects my inner being with these trees, and separation would make me ill--might even kill me.	Something I can't define connects my inner being with these trees, and separation would make me ill-might even kill me.	true	411.2	418.99	22.289984
4744_31668_000011_000003	My hold on life would weaken; here is my source of supply.	My hold on life would weaken; here is my source of supply.	true	419.45	423.04	20.56197
4744_31668_000011_000004	I cannot explain it better than that." He looked up steadily into her face across the table so that she saw the gravity of his expression and the shining of his steady eyes.	I cannot explain it better than that." He looked up steadily into her face across the table so that she saw the gravity of his expression and the shining of his steady eyes.	true	423.47	432.49	20.636276
4744_31668_000012_000000	"David, you feel it as strongly as that!" she said, forgetting the tea things altogether.	"David, you feel it as strongly as that!" she said, forgetting the tea things altogether.	true	433.16	438.16	20.321966
4744_31668_000013_000000	"Yes," he replied, "I do.	"Yes," he replied, "I do.	true	438.65	440.955	22.36213
4744_31668_000013_000001	And it's not of the body only, I feel it in my soul."	And it's not of the body only, I feel it in my soul."	true	440.955	444.16	22.181763
4744_31668_000014_000000	The reality of what he hinted at crept into that shadow-covered room like an actual Presence and stood beside them.	The reality of what he hinted at crept into that shadow covered room like an actual Presence and stood beside them.	true	444.77	451.18	22.822956
4744_31668_000014_000001	It came not by the windows or the door, but it filled the entire space between the walls and ceiling.	It came not by the windows or the door, but it filled the entire space between the walls and ceiling.	false	451.67	457.02	21.887045
4744_31668_000014_000002	It took the heat from the fire before her face.	It took the heat from the fire before her face.	false	457.02	460.06	22.370653
4744_31668_000014_000003	She felt suddenly cold, confused a little, frightened.	She felt suddenly cold, confused a little, frightened.	true	460.4	463.81	22.005552
4744_31668_000014_000004	She almost felt the rush of foliage in the wind.	She almost felt the rush of foliage in the wind.	true	463.91	466.42	24.781923
4744_31668_000014_000005	It stood between them.	It stood between them.	true	466.64	468.13	20.660988
4744_31668_000015_000000	"There are things--some things," she faltered, "we are not intended to know, I think." The words expressed her general attitude to life, not alone to this particular incident.	"There are things-some things," she faltered, "we are not intended to know, I think." The words expressed her general attitude to life, not alone to this particular incident.	true	468.53	478.42	23.058603
4744_31668_000016_000000	And after a pause of several minutes, disregarding the criticism as though he had not heard it--"I cannot explain it better than that, you see," his grave voice answered.	And after a pause of several minutes, disregarding the criticism as though he had not heard it-"I cannot explain it better than that, you see," his grave voice answered.	true	478.97	488.76	22.733713
4744_31668_000016_000001	"There is this deep, tremendous link,--some secret power they emanate that keeps me well and happy and--alive.	"There is this deep, tremendous link,--some secret power they emanate that keeps me well and happy and-alive.	true	488.76	495.55	23.67463
4744_31668_000016_000002	If you cannot understand, I feel at least you may be able to--forgive." His tone grew tender, gentle, soft.	If you cannot understand, I feel at least you may be able to-forgive." His tone grew tender, gentle, soft.	true	495.83	502.995	22.740688
4744_31668_000016_000003	"My selfishness, I know, must seem quite unforgivable.	"My selfishness, I know, must seem quite unforgivable.	true	502.995	506.35	20.588772
4744_31668_000016_000004	I cannot help it somehow; these trees, this ancient Forest, both seem knitted into all that makes me live, and if I go--"	I cannot help it somehow; these trees, this ancient Forest, both seem knitted into all that makes me live, and if I go-"	true	506.51	514.84	20.425905
4744_31668_000017_000000	There was a little sound of collapse in his voice.	There was a little sound of collapse in his voice.	false	515.6	518.02	21.769688
4744_31668_000017_000001	He stopped abruptly, and sank back in his chair.	He stopped abruptly, and sank back in his chair.	true	518.21	520.81	24.797026
4744_31668_000017_000002	And, at that, a distinct lump came up into her throat which she had great difficulty in managing while she went over and put her arms about him.	And, at that, a distinct lump came up into her throat which she had great difficulty in managing while she went over and put her arms about him.	false	521.33	528.46	21.525867
4744_31668_000018_000000	"My dear," she murmured, "God will direct.	"My dear," she murmured, "God will direct.	true	528.68	531.405	22.225756
4744_31668_000018_000001	We will accept His guidance. He has always shown the way before."	We will accept His guidance. He has always shown the way before."	false	531.405	534.73	25.573404
4744_31668_000019_000000	"My selfishness afflicts me--" he began, but she would not let him finish.	"My selfishness afflicts me-" he began, but she would not let him finish.	true	535.46	539.62	20.445091
4744_31668_000020_000000	"David, He will direct.	"David, He will direct.	true	539.9	541.395	20.436964
4744_31668_000020_000001	Nothing shall harm you.	Nothing shall harm you.	true	541.395	542.71	21.25658
4744_31668_000020_000002	You've never once been selfish, and I cannot bear to hear you say such things.	You've never once been selfish, and I cannot bear to hear you say such things.	true	542.87	546.97	21.50579
4744_31668_000020_000003	The way will open that is best for you--for both of us." She kissed him, she would not let him speak; her heart was in her throat, and she felt for him far more than for herself.	The way will open that is best for you-for both of us." She kissed him, she would not let him speak; her heart was in her throat, and she felt for him far more than for herself.	false	547.1	556.96	22.41167
4744_31668_000021_000000	And then he had suggested that she should go alone perhaps for a shorter time, and stay in her brother's villa with the children, Alice and Stephen.	And then he had suggested that she should go alone perhaps for a shorter time, and stay in her brother's villa with the children, Alice and Stephen.	true	557.48	564.13	21.53965
4744_31668_000021_000001	It was always open to her as she well knew.	It was always open to her as she well knew.	true	564.23	566.29	18.71567
4744_31668_000022_000000	"You need the change," he said, when the lamps had been lit and the servant had gone out again; "you need it as much as I dread it.	"You need the change," he said, when the lamps had been lit and the servant had gone out again; "you need it as much as I dread it.	false	566.72	573.46	22.557245
4744_31668_000022_000001	I could manage somehow until you returned, and should feel happier that way if you went.	I could manage somehow until you returned, and should feel happier that way if you went.	false	573.92	578.17	26.022455
4744_31668_000022_000002	I cannot leave this Forest that I love so well.	I cannot leave this Forest that I love so well.	true	578.33	580.63	20.337162
4744_31668_000022_000003	I even feel, Sophie dear"--he sat up straight and faced her as he half whispered it--"that I can _never_ leave it again.	I even feel, Sophie dear"--he sat up straight and faced her as he half whispered it-"that I can underscore never underscore leave it again.	false	580.97	588.76	23.240585
4744_31668_000022_000004	My life and happiness lie here together."	My life and happiness lie here together."	true	589.04	591.79	20.099552
4744_31668_000023_000000	And eve while scorning the idea that she could leave him alone with the Influence of the Forest all about him to have its unimpeded way, she felt the pangs of that subtle jealousy bite keen and close.	And eve while scorning the idea that she could leave him alone with the Influence of the Forest all about him to have its unimpeded way, she felt the pangs of that subtle jealousy bite keen and close.	false	592.07	603.37	20.794838
4744_31668_000023_000001	He loved the Forest better than herself, for he placed it first.	He loved the Forest better than herself, for he placed it first.	true	603.89	607.99	20.91906
4744_31668_000023_000002	Behind the words, moreover, hid the unuttered thought that made her so uneasy.	Behind the words, moreover, hid the unuttered thought that made her so uneasy.	true	608.6	613.21	22.21662
4744_31668_000023_000003	The terror Sanderson had brought revived and shook its wings before her very eyes. For the whole conversation, of which this was a fragment, conveyed the unutterable implication that while he could not spare the trees, they equally could not spare him.	The terror Sanderson had brought revived and shook its wings before her very eyes. For the whole conversation, of which this was a fragment, conveyed the unutterable implication that while he could not spare the trees, they equally could not spare him.	true	613.43	628.48	22.287466
4744_31668_000023_000004	The vividness with which he managed to conceal and yet betray the fact brought a profound distress that crossed the border between presentiment and warning into positive alarm.	The vividness with which he managed to conceal and yet betray the fact brought a profound distress that crossed the border between presentiment and warning into positive alarm.	true	628.82	638.92	23.00683
4744_31668_000024_000000	He clearly felt that the trees would miss him--the trees he tended, guarded, watched over, loved.	He clearly felt that the trees would miss him-the trees he tended, guarded, watched over, loved.	false	639.11	644.74	23.400234
4744_31668_000025_000000	"David, I shall stay here with you.	"David, I shall stay here with you.	true	645.56	647.52	19.997395
4744_31668_000025_000001	I think you need me really,--don't you?" Eagerly, with a touch of heart-felt passion, the words poured out.	I think you need me really,--don't you?" Eagerly, with a touch of heart felt passion, the words poured out.	true	647.52	653.8	22.513918
4744_31668_000026_000000	"Now more than ever, dear.	"Now more than ever, dear.	true	654.14	655.69	20.074114
4744_31668_000026_000001	God bless you for you sweet unselfishness. And your sacrifice," he added, "is all the greater because you cannot understand the thing that makes it necessary for me to stay."	God bless you for you sweet unselfishness. And your sacrifice," he added, "is all the greater because you cannot understand the thing that makes it necessary for me to stay."	true	655.91	665.23	21.005224
4744_31668_000027_000000	"Perhaps in the spring instead--" she said, with a tremor in the voice.	"Perhaps in the spring instead-" she said, with a tremor in the voice.	true	665.63	669.67	22.20555
4744_31668_000028_000000	"In the spring--perhaps," he answered gently, almost beneath his breath. "For they will not need me then.	"In the spring-perhaps," he answered gently, almost beneath his breath. "For they will not need me then.	true	670.46	676.48	23.396458
4744_31668_000028_000001	All the world can love them in the spring.	All the world can love them in the spring.	true	676.61	678.66	24.76968
4744_31668_000028_000002	It's in the winter that they're lonely and neglected.	It's in the winter that they're lonely and neglected.	false	678.66	681.34	21.989313
4744_31668_000028_000003	I wish to stay with them particularly then.	I wish to stay with them particularly then.	true	681.35	683.74	22.438654
4744_31668_000028_000004	I even feel I ought to--and I must."	I even feel I ought to-and I must."	true	683.99	686.8	21.81704
4744_31668_000029_000000	And in this way, without further speech, the decision was made.	And in this way, without further speech, the decision was made.	true	687.44	690.7	22.470945
4744_31668_000029_000001	Mrs. Bittacy, at least, asked no more questions.	mrs Bittacy, at least, asked no more questions.	true	690.86	693.51	22.30438
4744_31668_000029_000002	Yet she could not bring herself to show more sympathy than was necessary.	Yet she could not bring herself to show more sympathy than was necessary.	false	693.51	697.48	21.986517
4744_31668_000029_000003	She felt, for one thing, that if she did, it might lead him to speak freely, and to tell her things she could not possibly bear to know.	She felt, for one thing, that if she did, it might lead him to speak freely, and to tell her things she could not possibly bear to know.	false	698	704.98	23.33016
4744_31668_000029_000004	And she dared not take the risk of that.	And she dared not take the risk of that.	false	705.32	707.82	20.757383
4744_31668_000030_000000	~VII~	~ seven ~	false	707.82	707.85	-20
4744_31668_000031_000000	This was at the end of summer, but the autumn followed close.	This was at the end of summer, but the autumn followed close.	false	707.85	708.03	-20
4744_31668_000031_000001	The conversation really marked the threshold between the two seasons, and marked at the same time the line between her husband's negative and aggressive state.	The conversation really marked the threshold between the two seasons, and marked at the same time the line between her husband's negative and aggressive state.	false	708.03	709.29	27.053747
4744_31668_000031_000002	She almost felt she had done wrong to yield; he grew so bold, concealment all discarded.	She almost felt she had done wrong to yield; he grew so bold, concealment all discarded.	false	709.29	710.28	21.231718
4744_31668_000031_000003	He went, that is, quite openly to the woods, forgetting all his duties, all his former occupations.	He went, that is, quite openly to the woods, forgetting all his duties, all his former occupations.	false	710.28	711.36	3
4744_31668_000031_000004	He even sought to coax her to go with him.	He even sought to coax her to go with him.	false	711.36	711.99	-3
4744_31668_000031_000005	The hidden thing blazed out without disguise.	The hidden thing blazed out without disguise.	false	711.99	712.44	-20
4744_31668_000031_000006	And, while she trembled at his energy, she admired the virile passion he displayed.	And, while she trembled at his energy, she admired the virile passion he displayed.	false	712.44	713.31	-4
4744_31668_000031_000007	Her jealousy had long ago retired before her fear, accepting the second place.	Her jealousy had long ago retired before her fear, accepting the second place.	false	713.31	714.12	2
4744_31668_000031_000008	Her one desire now was to protect. The wife turned wholly mother.	Her one desire now was to protect. The wife turned wholly mother.	false	714.12	714.9	-1
