303_123500_000000_000000	CHAPTER II	CHAPTER two	true	19.23	20.325	24.915728
303_123500_000004_000001	That he could see me in the dim light of the cave I was sure for the early morning sun was falling full upon me through the opening.	That he could see me in the dim light of the cave I was sure for the early morning sun was falling full upon me through the opening.	true	110.09	116.5	19
303_123500_000005_000000	The fellow, instead of approaching, merely stood and stared; his eyes bulging and his jaw dropped.	The fellow, instead of approaching, merely stood and stared; his eyes bulging and his jaw dropped.	true	118.01	124.93	23.303587
303_123500_000005_000001	And then another savage face appeared, and a third and fourth and fifth, craning their necks over the shoulders of their fellows whom they could not pass upon the narrow ledge.	And then another savage face appeared, and a third and fourth and fifth, craning their necks over the shoulders of their fellows whom they could not pass upon the narrow ledge.	true	125.3	134.38	21.794209
303_123500_000005_000002	Each face was the picture of awe and fear, but for what reason I did not know, nor did I learn until ten years later.	Each face was the picture of awe and fear, but for what reason I did not know, nor did I learn until ten years later.	true	135.29	141.82	22.256979
303_123500_000005_000003	That there were still other braves behind those who regarded me was apparent from the fact that the leaders passed back whispered word to those behind them.	That there were still other braves behind those who regarded me was apparent from the fact that the leaders passed back whispered word to those behind them.	true	142.4	149.62	22
303_123500_000006_000000	Suddenly a low but distinct moaning sound issued from the recesses of the cave behind me, and, as it reached the ears of the Indians, they turned and fled in terror, panic-stricken.	Suddenly a low but distinct moaning sound issued from the recesses of the cave behind me, and, as it reached the ears of the Indians, they turned and fled in terror, panic stricken.	true	150.83	160.48	19
303_123500_000006_000001	So frantic were their efforts to escape from the unseen thing behind me that one of the braves was hurled headlong from the cliff to the rocks below.	So frantic were their efforts to escape from the unseen thing behind me that one of the braves was hurled headlong from the cliff to the rocks below.	true	160.91	168.04	20.975815
303_123500_000006_000002	Their wild cries echoed in the canyon for a short time, and then all was still once more.	Their wild cries echoed in the canyon for a short time, and then all was still once more.	true	168.86	174.64	25.46821
303_123500_000007_000000	The sound which had frightened them was not repeated, but it had been sufficient as it was to start me speculating on the possible horror which lurked in the shadows at my back.	The sound which had frightened them was not repeated, but it had been sufficient as it was to start me speculating on the possible horror which lurked in the shadows at my back.	true	176.3	184.9	22.314423
303_123500_000007_000001	Fear is a relative term and so I can only measure my feelings at that time by what I had experienced in previous positions of danger and by those that I have passed through since; but I can say without shame that if the sensations I endured during the next few minutes were fear, then may God help the coward, for cowardice is of a surety its own punishment.	Fear is a relative term and so I can only measure my feelings at that time by what I had experienced in previous positions of danger and by those that I have passed through since; but I can say without shame that if the sensations I endured during the next few minutes were fear, then may God help the coward, for cowardice is of a surety its own punishment.	true	185.51	204.79	22.271011
303_123500_000008_000000	To be held paralyzed, with one's back toward some horrible and unknown danger from the very sound of which the ferocious Apache warriors turn in wild stampede, as a flock of sheep would madly flee from a pack of wolves, seems to me the last word in fearsome predicaments for a man who had ever been used to fighting for his life with all the energy of a powerful physique.	To be held paralyzed, with one's back toward some horrible and unknown danger from the very sound of which the ferocious Apache warriors turn in wild stampede, as a flock of sheep would madly flee from a pack of wolves, seems to me the last word in fearsome predicaments for a man who had ever been used to fighting for his life with all the energy of a powerful physique.	true	206.54	226.6	20.591963
303_123500_000009_000000	Several times I thought I heard faint sounds behind me as of somebody moving cautiously, but eventually even these ceased, and I was left to the contemplation of my position without interruption.	Several times I thought I heard faint sounds behind me as of somebody moving cautiously, but eventually even these ceased, and I was left to the contemplation of my position without interruption.	true	227.72	239.32	20.20336
303_123500_000009_000001	I could but vaguely conjecture the cause of my paralysis, and my only hope lay in that it might pass off as suddenly as it had fallen upon me.	I could but vaguely conjecture the cause of my paralysis, and my only hope lay in that it might pass off as suddenly as it had fallen upon me.	false	239.51	246.88	21
303_123500_000010_000000	Late in the afternoon my horse, which had been standing with dragging rein before the cave, started slowly down the trail, evidently in search of food and water, and I was left alone with my mysterious unknown companion and the dead body of my friend, which lay just within my range of vision upon the ledge where I had placed it in the early morning.	Late in the afternoon my horse, which had been standing with dragging rein before the cave, started slowly down the trail, evidently in search of food and water, and I was left alone with my mysterious unknown companion and the dead body of my friend, which lay just within my range of vision upon the ledge where I had placed it in the early morning.	false	248.03	266.5	21.562584
303_123500_000011_000000	From then until possibly midnight all was silence, the silence of the dead; then, suddenly, the awful moan of the morning broke upon my startled ears, and there came again from the black shadows the sound of a moving thing, and a faint rustling as of dead leaves.	From then until possibly midnight all was silence, the silence of the dead; then, suddenly, the awful moan of the morning broke upon my startled ears, and there came again from the black shadows the sound of a moving thing, and a faint rustling as of dead leaves.	false	268.19	284.2	19.285828
303_123500_000011_000001	The shock to my already overstrained nervous system was terrible in the extreme, and with a superhuman effort I strove to break my awful bonds.	The shock to my already overstrained nervous system was terrible in the extreme, and with a superhuman effort I strove to break my awful bonds.	true	284.96	293.2	18
303_123500_000011_000002	It was an effort of the mind, of the will, of the nerves; not muscular, for I could not move even so much as my little finger, but none the less mighty for all that.	It was an effort of the mind, of the will, of the nerves; not muscular, for I could not move even so much as my little finger, but none the less mighty for all that.	true	294.11	304.42	19.493616
303_123500_000011_000003	And then something gave, there was a momentary feeling of nausea, a sharp click as of the snapping of a steel wire, and I stood with my back against the wall of the cave facing my unknown foe.	And then something gave, there was a momentary feeling of nausea, a sharp click as of the snapping of a steel wire, and I stood with my back against the wall of the cave facing my unknown foe.	true	305.18	318.31	22.203966
303_123500_000012_000000	And then the moonlight flooded the cave, and there before me lay my own body as it had been lying all these hours, with the eyes staring toward the open ledge and the hands resting limply upon the ground.	And then the moonlight flooded the cave, and there before me lay my own body as it had been lying all these hours, with the eyes staring toward the open ledge and the hands resting limply upon the ground.	false	320.24	331.51	18.852962
303_123500_000012_000001	I looked first at my lifeless clay there upon the floor of the cave and then down at myself in utter bewilderment; for there I lay clothed, and yet here I stood but naked as at the minute of my birth.	I looked first at my lifeless clay there upon the floor of the cave and then down at myself in utter bewilderment; for there I lay clothed, and yet here I stood but naked as at the minute of my birth.	true	332.33	346.53	23.57184
303_123500_000013_000000	The transition had been so sudden and so unexpected that it left me for a moment forgetful of aught else than my strange metamorphosis.	The transition had been so sudden and so unexpected that it left me for a moment forgetful of aught else than my strange metamorphosis.	false	346.53	353.59	17
303_123500_000013_000001	My first thought was, is this then death!	My first thought was, is this then death!	true	354.14	357.43	24.050716
303_123500_000013_000002	Have I indeed passed over forever into that other life!	Have I indeed passed over forever into that other life!	true	358.13	361.69	22.080368
303_123500_000013_000003	But I could not well believe this, as I could feel my heart pounding against my ribs from the exertion of my efforts to release myself from the anaesthesis which had held me.	But I could not well believe this, as I could feel my heart pounding against my ribs from the exertion of my efforts to release myself from the anaesthesis which had held me.	true	362.27	371.74	20.051682
303_123500_000013_000004	My breath was coming in quick, short gasps, cold sweat stood out from every pore of my body, and the ancient experiment of pinching revealed the fact that I was anything other than a wraith.	My breath was coming in quick, short gasps, cold sweat stood out from every pore of my body, and the ancient experiment of pinching revealed the fact that I was anything other than a wraith.	true	372.65	382.93	20
303_123500_000014_000000	Again was I suddenly recalled to my immediate surroundings by a repetition of the weird moan from the depths of the cave.	Again was I suddenly recalled to my immediate surroundings by a repetition of the weird moan from the depths of the cave.	false	384.23	390.73	20.136137
303_123500_000014_000001	Naked and unarmed as I was, I had no desire to face the unseen thing which menaced me.	Naked and unarmed as I was, I had no desire to face the unseen thing which menaced me.	true	391.19	396.19	19.889244
303_123500_000015_000000	My revolvers were strapped to my lifeless body which, for some unfathomable reason, I could not bring myself to touch.	My revolvers were strapped to my lifeless body which, for some unfathomable reason, I could not bring myself to touch.	true	397.73	403.99	17
303_123500_000015_000001	My carbine was in its boot, strapped to my saddle, and as my horse had wandered off I was left without means of defense.	My carbine was in its boot, strapped to my saddle, and as my horse had wandered off I was left without means of defense.	true	404.6	410.65	20
303_123500_000015_000002	My only alternative seemed to lie in flight and my decision was crystallized by a recurrence of the rustling sound from the thing which now seemed, in the darkness of the cave and to my distorted imagination, to be creeping stealthily upon me.	My only alternative seemed to lie in flight and my decision was crystallized by a recurrence of the rustling sound from the thing which now seemed, in the darkness of the cave and to my distorted imagination, to be creeping stealthily upon me.	false	410.96	423.49	20
303_123500_000016_000000	Unable longer to resist the temptation to escape this horrible place I leaped quickly through the opening into the starlight of a clear Arizona night.	Unable longer to resist the temptation to escape this horrible place I leaped quickly through the opening into the starlight of a clear Arizona night.	true	425.12	433.39	20
303_123500_000016_000001	The crisp, fresh mountain air outside the cave acted as an immediate tonic and I felt new life and new courage coursing through me.	The crisp, fresh mountain air outside the cave acted as an immediate tonic and I felt new life and new courage coursing through me.	true	433.97	441.64	24
303_123500_000016_000002	Pausing upon the brink of the ledge I upbraided myself for what now seemed to me wholly unwarranted apprehension.	Pausing upon the brink of the ledge I upbraided myself for what now seemed to me wholly unwarranted apprehension.	true	442.61	448.12	17
303_123500_000016_000003	I reasoned with myself that I had lain helpless for many hours within the cave, yet nothing had molested me, and my better judgment, when permitted the direction of clear and logical reasoning, convinced me that the noises I had heard must have resulted from purely natural and harmless causes; probably the conformation of the cave was such that a slight breeze had caused the sounds I heard.	I reasoned with myself that I had lain helpless for many hours within the cave, yet nothing had molested me, and my better judgment, when permitted the direction of clear and logical reasoning, convinced me that the noises I had heard must have resulted from purely natural and harmless causes; probably the conformation of the cave was such that a slight breeze had caused the sounds I heard.	true	448.58	470.475	21.535704
303_123500_000017_000000	I decided to investigate, but first I lifted my head to fill my lungs with the pure, invigorating night air of the mountains.	I decided to investigate, but first I lifted my head to fill my lungs with the pure, invigorating night air of the mountains.	true	470.475	477.58	20.157791
303_123500_000017_000001	As I did so I saw stretching far below me the beautiful vista of rocky gorge, and level, cacti-studded flat, wrought by the moonlight into a miracle of soft splendor and wondrous enchantment.	As I did so I saw stretching far below me the beautiful vista of rocky gorge, and level, cacti studded flat, wrought by the moonlight into a miracle of soft splendor and wondrous enchantment.	true	478.04	489.64	21.625015
303_123500_000018_000000	Few western wonders are more inspiring than the beauties of an Arizona moonlit landscape; the silvered mountains in the distance, the strange lights and shadows upon hog back and arroyo, and the grotesque details of the stiff, yet beautiful cacti form a picture at once enchanting and inspiring; as though one were catching for the first time a glimpse of some dead and forgotten world, so different is it from the aspect of any other spot upon our earth.	Few western wonders are more inspiring than the beauties of an Arizona moonlit landscape; the silvered mountains in the distance, the strange lights and shadows upon hog back and arroyo, and the grotesque details of the stiff, yet beautiful cacti form a picture at once enchanting and inspiring; as though one were catching for the first time a glimpse of some dead and forgotten world, so different is it from the aspect of any other spot upon our earth.	true	490.97	517.99	22.404486
303_123500_000019_000000	As I stood thus meditating, I turned my gaze from the landscape to the heavens where the myriad stars formed a gorgeous and fitting canopy for the wonders of the earthly scene.	As I stood thus meditating, I turned my gaze from the landscape to the heavens where the myriad stars formed a gorgeous and fitting canopy for the wonders of the earthly scene.	true	518.6	527.92	20
303_123500_000019_000001	My attention was quickly riveted by a large red star close to the distant horizon.	My attention was quickly riveted by a large red star close to the distant horizon.	true	528.65	533.17	20
303_123500_000019_000002	As I gazed upon it I felt a spell of overpowering fascination--it was Mars, the god of war, and for me, the fighting man, it had always held the power of irresistible enchantment.	As I gazed upon it I felt a spell of overpowering fascination-it was Mars, the god of war, and for me, the fighting man, it had always held the power of irresistible enchantment.	true	533.96	545.53	21.457392
303_123500_000019_000003	As I gazed at it on that far-gone night it seemed to call across the unthinkable void, to lure me to it, to draw me as the lodestone attracts a particle of iron.	As I gazed at it on that far gone night it seemed to call across the unthinkable void, to lure me to it, to draw me as the lodestone attracts a particle of iron.	true	546.14	556.63	22.19037
303_123500_000020_000000	My longing was beyond the power of opposition; I closed my eyes, stretched out my arms toward the god of my vocation and felt myself drawn with the suddenness of thought through the trackless immensity of space.	My longing was beyond the power of opposition; I closed my eyes, stretched out my arms toward the god of my vocation and felt myself drawn with the suddenness of thought through the trackless immensity of space.	true	557.3	571.3	20.891378
303_123500_000020_000001	There was an instant of extreme cold and utter darkness.	There was an instant of extreme cold and utter darkness.	true	571.76	576.9	21.787569
303_123500_000021_000000	CHAPTER III	CHAPTER three	false	576.9	576.99	-20
303_123500_000022_000000	MY ADVENT ON MARS	MY ADVENT ON MARS	false	576.99	577.17	-6
303_123500_000023_000000	I opened my eyes upon a strange and weird landscape.	I opened my eyes upon a strange and weird landscape.	false	577.17	577.86	29.09357
303_123500_000023_000001	I knew that I was on Mars; not once did I question either my sanity or my wakefulness.	I knew that I was on Mars; not once did I question either my sanity or my wakefulness.	false	577.86	578.76	27.22262
303_123500_000023_000002	I was not asleep, no need for pinching here; my inner consciousness told me as plainly that I was upon Mars as your conscious mind tells you that you are upon Earth.	I was not asleep, no need for pinching here; my inner consciousness told me as plainly that I was upon Mars as your conscious mind tells you that you are upon Earth.	false	578.76	580.38	-20
303_123500_000023_000003	You do not question the fact; neither did I.	You do not question the fact; neither did i	false	580.38	580.86	-20
